ko:K19744	paeu:BN889_04293
ko:K01879	paeu:BN889_00036
ko:K01878	paeu:BN889_00038
ko:K01246	paeu:BN889_00039
ko:K02517	paeu:BN889_00040
ko:K09125	paeu:BN889_00043
ko:K03499	paeu:BN889_00046
ko:K03500	paeu:BN889_00047
ko:K00604	paeu:BN889_00049
ko:K01462	paeu:BN889_00050
ko:K04096	paeu:BN889_00052
ko:K03501	paeu:BN889_00018
ko:K03495	paeu:BN889_00019
ko:K03650	paeu:BN889_00021
ko:K03217	paeu:BN889_00022
ko:K03536	paeu:BN889_00024
ko:K02914	paeu:BN889_00025
ko:K02313	paeu:BN889_00026
ko:K02338	paeu:BN889_00028
ko:K03629	paeu:BN889_00029
ko:K02470	paeu:BN889_00030
ko:K00655	paeu:BN889_00031
ko:K03273	paeu:BN889_00032
ko:K07490	paeu:BN889_04846
ko:K04759	paeu:BN889_04848
ko:K04758	paeu:BN889_04849
ko:K05596	paeu:BN889_04854
ko:K09964	paeu:BN889_04855
ko:K06895	paeu:BN889_04856
ko:K04564	paeu:BN889_04857
ko:K03744	paeu:BN889_04860
ko:K07231	paeu:BN889_04861
ko:K07338	paeu:BN889_04863
ko:K09947	paeu:BN889_04864
ko:K03585	paeu:BN889_04865
ko:K18138	paeu:BN889_04866
ko:K00763	paeu:BN889_04867
ko:K06199	paeu:BN889_04875
ko:K04077	paeu:BN889_04877
ko:K04078	paeu:BN889_04878
ko:K07113	paeu:BN889_04879
ko:K07226	paeu:BN889_04880
ko:K00059	paeu:BN889_04881
ko:K07443	paeu:BN889_04884
ko:K08218	paeu:BN889_04885
ko:K03442	paeu:BN889_04886
ko:K09767	paeu:BN889_04887
ko:K00077	paeu:BN889_04889
ko:K00798	paeu:BN889_04891
ko:K03574	paeu:BN889_04892
ko:K06207	paeu:BN889_05687
ko:K03151	paeu:BN889_05688
ko:K01915	paeu:BN889_05689
ko:K07708	paeu:BN889_05695
ko:K07712	paeu:BN889_05696
ko:K03216	paeu:BN889_05698
ko:K03071	paeu:BN889_05699
ko:K15633	paeu:BN889_05702
ko:K07052	paeu:BN889_05704
ko:K03797	paeu:BN889_05707
ko:K09798	paeu:BN889_05709
ko:K02030	paeu:BN889_05713
ko:K02500	paeu:BN889_05714
ko:K01814	paeu:BN889_05715
ko:K02501	paeu:BN889_05717
ko:K01693	paeu:BN889_05718
ko:K07289	paeu:BN889_05722
ko:K03575	paeu:BN889_05723
ko:K02028	paeu:BN889_05730
ko:K02030	paeu:BN889_05731
ko:K02029	paeu:BN889_05732
ko:K02029	paeu:BN889_05733
ko:K00808	paeu:BN889_06565
ko:K03672	paeu:BN889_06570
ko:K02042	paeu:BN889_06573
ko:K02044	paeu:BN889_06574
ko:K02041	paeu:BN889_06575
ko:K03579	paeu:BN889_06597
ko:K09159	paeu:BN889_00783
ko:K00278	paeu:BN889_00785
ko:K03088	paeu:BN889_00786
ko:K03597	paeu:BN889_00787
ko:K03598	paeu:BN889_00788
ko:K03803	paeu:BN889_00789
ko:K03596	paeu:BN889_00791
ko:K03100	paeu:BN889_00793
ko:K03685	paeu:BN889_00795
ko:K03584	paeu:BN889_00797
ko:K03474	paeu:BN889_00798
ko:K15257	paeu:BN889_00799
ko:K15256	paeu:BN889_00800
ko:K02030	paeu:BN889_00802
ko:K14475	paeu:BN889_00803
ko:K01338	paeu:BN889_00804
ko:K02014	paeu:BN889_00807
ko:K13821	paeu:BN889_00808
ko:K01118	paeu:BN889_00811
ko:K07090	paeu:BN889_00820
ko:K01720	paeu:BN889_00822
ko:K01659	paeu:BN889_00825
ko:K03417	paeu:BN889_00826
ko:K03322	paeu:BN889_00839
ko:K01560	paeu:BN889_00841
ko:K07044	paeu:BN889_00851
ko:K13788	paeu:BN889_00860
ko:K00925	paeu:BN889_00861
ko:K03775	paeu:BN889_00862
ko:K00432	paeu:BN889_00863
ko:K16137	paeu:BN889_00864
ko:K01658	paeu:BN889_00736
ko:K00766	paeu:BN889_00737
ko:K01609	paeu:BN889_00738
ko:K10914	paeu:BN889_00739
ko:K07397	paeu:BN889_00740
ko:K01611	paeu:BN889_00741
ko:K06134	paeu:BN889_00742
ko:K02503	paeu:BN889_00743
ko:K07124	paeu:BN889_00745
ko:K00459	paeu:BN889_00747
ko:K08973	paeu:BN889_00748
ko:K00145	paeu:BN889_00749
ko:K15724	paeu:BN889_00752
ko:K09001	paeu:BN889_00753
ko:K01866	paeu:BN889_00755
ko:K07118	paeu:BN889_00762
ko:K00140	paeu:BN889_00768
ko:K03648	paeu:BN889_00771
ko:K07120	paeu:BN889_00772
ko:K07793	paeu:BN889_00773
ko:K07795	paeu:BN889_00775
ko:K07774	paeu:BN889_00778
ko:K07649	paeu:BN889_00779
ko:K06980	paeu:BN889_00781
ko:K11688	paeu:BN889_00921
ko:K11689	paeu:BN889_00922
ko:K10022	paeu:BN889_00926
ko:K10023	paeu:BN889_00928
ko:K06987	paeu:BN889_00929
ko:K10025	paeu:BN889_00930
ko:K00673	paeu:BN889_00934
ko:K00673	paeu:BN889_00936
ko:K06447	paeu:BN889_00938
ko:K01484	paeu:BN889_00939
ko:K05526	paeu:BN889_00941
ko:K01620	paeu:BN889_00942
ko:K00928	paeu:BN889_00945
ko:K03563	paeu:BN889_00946
ko:K06213	paeu:BN889_00957
ko:K14441	paeu:BN889_00960
ko:K03549	paeu:BN889_00961
ko:K12262	paeu:BN889_00962
ko:K14205	paeu:BN889_00965
ko:K02346	paeu:BN889_00969
ko:K07014	paeu:BN889_00970
ko:K00974	paeu:BN889_00676
ko:K09786	paeu:BN889_00679
ko:K07180	paeu:BN889_00680
ko:K02439	paeu:BN889_00681
ko:K01525	paeu:BN889_00682
ko:K06195	paeu:BN889_00683
ko:K02528	paeu:BN889_00684
ko:K00097	paeu:BN889_00686
ko:K03771	paeu:BN889_00688
ko:K04744	paeu:BN889_00689
ko:K07102	paeu:BN889_00694
ko:K05801	paeu:BN889_00696
ko:K02052	paeu:BN889_00703
ko:K02055	paeu:BN889_00704
ko:K02054	paeu:BN889_00705
ko:K02053	paeu:BN889_00706
ko:K01783	paeu:BN889_00707
ko:K01091	paeu:BN889_00708
ko:K01657	paeu:BN889_00710
ko:K01114	paeu:BN889_00871
ko:K06203	paeu:BN889_00873
ko:K03386	paeu:BN889_00875
ko:K01754	paeu:BN889_00879
ko:K01679	paeu:BN889_00883
ko:K09924	paeu:BN889_00885
ko:K05527	paeu:BN889_00886
ko:K07146	paeu:BN889_00887
ko:K07396	paeu:BN889_00888
ko:K07396	paeu:BN889_00889
ko:K00457	paeu:BN889_00898
ko:K11734	paeu:BN889_00899
ko:K15034	paeu:BN889_00901
ko:K07262	paeu:BN889_00902
ko:K00832	paeu:BN889_00904
ko:K01724	paeu:BN889_00905
ko:K00500	paeu:BN889_00906
ko:K00564	paeu:BN889_05156
ko:K11733	paeu:BN889_05157
ko:K03406	paeu:BN889_05163
ko:K07507	paeu:BN889_05165
ko:K07286	paeu:BN889_05171
ko:K00116	paeu:BN889_05172
ko:K04750	paeu:BN889_05173
ko:K00761	paeu:BN889_05177
ko:K02824	paeu:BN889_05178
ko:K07346	paeu:BN889_05182
ko:K07347	paeu:BN889_05183
ko:K01772	paeu:BN889_05186
ko:K07071	paeu:BN889_05187
ko:K06955	paeu:BN889_05188
ko:K01669	paeu:BN889_05191
ko:K01776	paeu:BN889_05193
ko:K02493	paeu:BN889_05195
ko:K02835	paeu:BN889_05196
ko:K02492	paeu:BN889_05197
ko:K02494	paeu:BN889_05200
ko:K00919	paeu:BN889_05201
ko:K02897	paeu:BN889_05203
ko:K01056	paeu:BN889_05204
ko:K06942	paeu:BN889_05205
ko:K03521	paeu:BN889_05997
ko:K07727	paeu:BN889_05999
ko:K00479	paeu:BN889_06007
ko:K01620	paeu:BN889_06012
ko:K00303	paeu:BN889_06016
ko:K00305	paeu:BN889_06019
ko:K01433	paeu:BN889_06020
ko:K01792	paeu:BN889_06024
ko:K09950	paeu:BN889_06025
ko:K01589	paeu:BN889_06027
ko:K01588	paeu:BN889_06028
ko:K13953	paeu:BN889_06029
ko:K01744	paeu:BN889_06031
ko:K07112	paeu:BN889_06032
ko:K00375	paeu:BN889_06033
ko:K03835	paeu:BN889_06036
ko:K01960	paeu:BN889_06037
ko:K01959	paeu:BN889_06038
ko:K00036	paeu:BN889_06042
ko:K08303	paeu:BN889_06044
ko:K03657	paeu:BN889_06049
ko:K01153	paeu:BN889_06905
ko:K03760	paeu:BN889_06907
ko:K03311	paeu:BN889_06908
ko:K07245	paeu:BN889_06912
ko:K07156	paeu:BN889_06913
ko:K17686	paeu:BN889_06914
ko:K07233	paeu:BN889_06917
ko:K07644	paeu:BN889_06921
ko:K00925	paeu:BN889_06925
ko:K00574	paeu:BN889_06927
ko:K00620	paeu:BN889_04894
ko:K02535	paeu:BN889_04898
ko:K03531	paeu:BN889_04899
ko:K03590	paeu:BN889_04900
ko:K03589	paeu:BN889_04901
ko:K01921	paeu:BN889_04903
ko:K01924	paeu:BN889_04904
ko:K02563	paeu:BN889_04905
ko:K03588	paeu:BN889_04907
ko:K01925	paeu:BN889_04908
ko:K01000	paeu:BN889_04909
ko:K01929	paeu:BN889_04910
ko:K01928	paeu:BN889_04911
ko:K03587	paeu:BN889_04913
ko:K03586	paeu:BN889_04914
ko:K03438	paeu:BN889_04915
ko:K03925	paeu:BN889_04916
ko:K07056	paeu:BN889_04917
ko:K07121	paeu:BN889_04918
ko:K07460	paeu:BN889_04919
ko:K03271	paeu:BN889_04920
ko:K03600	paeu:BN889_04922
ko:K03599	paeu:BN889_04923
ko:K00413	paeu:BN889_04924
ko:K00412	paeu:BN889_04925
ko:K00411	paeu:BN889_04926
ko:K02996	paeu:BN889_04927
ko:K02871	paeu:BN889_04928
ko:K06916	paeu:BN889_04934
ko:K01867	paeu:BN889_04935
ko:K07018	paeu:BN889_04936
ko:K09908	paeu:BN889_04937
ko:K00955	paeu:BN889_04938
ko:K00957	paeu:BN889_04939
ko:K00957	paeu:BN889_04940
ko:K08305	paeu:BN889_04941
ko:K04691	paeu:BN889_04943
ko:K03543	paeu:BN889_05737
ko:K03446	paeu:BN889_05738
ko:K00067	paeu:BN889_05742
ko:K00973	paeu:BN889_05743
ko:K01790	paeu:BN889_05744
ko:K10125	paeu:BN889_05745
ko:K10126	paeu:BN889_05746
ko:K11688	paeu:BN889_05747
ko:K11689	paeu:BN889_05748
ko:K03758	paeu:BN889_05750
ko:K01478	paeu:BN889_05751
ko:K00611	paeu:BN889_05752
ko:K00926	paeu:BN889_05753
ko:K01082	paeu:BN889_05756
ko:K08312	paeu:BN889_05757
ko:K02379	paeu:BN889_05761
ko:K04093	paeu:BN889_05767
ko:K07107	paeu:BN889_05768
ko:K04083	paeu:BN889_05776
ko:K04762	paeu:BN889_05779
ko:K05844	paeu:BN889_05781
ko:K07638	paeu:BN889_05783
ko:K07659	paeu:BN889_05784
ko:K06959	paeu:BN889_05785
ko:K02614	paeu:BN889_05787
ko:K01919	paeu:BN889_05788
ko:K15977	paeu:BN889_06600
ko:K03424	paeu:BN889_06603
ko:K15011	paeu:BN889_06608
ko:K15012	paeu:BN889_06609
ko:K02358	paeu:BN889_06618
ko:K07726	paeu:BN889_06649
ko:K03778	paeu:BN889_00973
ko:K03615	paeu:BN889_03875
ko:K03614	paeu:BN889_03876
ko:K03612	paeu:BN889_03877
ko:K03613	paeu:BN889_03878
ko:K10773	paeu:BN889_03879
ko:K01756	paeu:BN889_03883
ko:K01756	paeu:BN889_03884
ko:K07213	paeu:BN889_03887
ko:K01759	paeu:BN889_03892
ko:K01940	paeu:BN889_03893
ko:K01465	paeu:BN889_03896
ko:K03683	paeu:BN889_03897
ko:K03386	paeu:BN889_03898
ko:K02192	paeu:BN889_03899
ko:K03594	paeu:BN889_03900
ko:K07390	paeu:BN889_03903
ko:K12685	paeu:BN889_03905
ko:K00611	paeu:BN889_03907
ko:K02010	paeu:BN889_03908
ko:K09861	paeu:BN889_03909
ko:K00066	paeu:BN889_03910
ko:K16081	paeu:BN889_03915
ko:K07806	paeu:BN889_03923
ko:K10012	paeu:BN889_03924
ko:K10011	paeu:BN889_03925
ko:K13014	paeu:BN889_03926
ko:K06889	paeu:BN889_04087
ko:K04567	paeu:BN889_04092
ko:K02836	paeu:BN889_04093
ko:K11444	paeu:BN889_04094
ko:K13491	paeu:BN889_04095
ko:K13490	paeu:BN889_04096
ko:K13489	paeu:BN889_04097
ko:K13486	paeu:BN889_04098
ko:K13488	paeu:BN889_04099
ko:K13487	paeu:BN889_04100
ko:K00316	paeu:BN889_04106
ko:K07687	paeu:BN889_04107
ko:K07462	paeu:BN889_04119
ko:K09980	paeu:BN889_04126
ko:K01733	paeu:BN889_04130
ko:K00003	paeu:BN889_04131
ko:K03981	paeu:BN889_04133
ko:K11175	paeu:BN889_00994
ko:K01933	paeu:BN889_00995
ko:K09938	paeu:BN889_00996
ko:K10763	paeu:BN889_00997
ko:K03809	paeu:BN889_00999
ko:K00537	paeu:BN889_01000
ko:K07058	paeu:BN889_01001
ko:K01512	paeu:BN889_01005
ko:K01881	paeu:BN889_01007
ko:K18093	paeu:BN889_01010
ko:K03745	paeu:BN889_01012
ko:K03704	paeu:BN889_01013
ko:K04047	paeu:BN889_01014
ko:K01876	paeu:BN889_01015
ko:K01159	paeu:BN889_01017
ko:K01159	paeu:BN889_01018
ko:K03550	paeu:BN889_01019
ko:K03551	paeu:BN889_01021
ko:K01075	paeu:BN889_01022
ko:K03562	paeu:BN889_01023
ko:K03560	paeu:BN889_01024
ko:K02012	paeu:BN889_05214
ko:K02011	paeu:BN889_05216
ko:K03808	paeu:BN889_05220
ko:K17247	paeu:BN889_05223
ko:K00053	paeu:BN889_05226
ko:K01653	paeu:BN889_05227
ko:K01652	paeu:BN889_05228
ko:K05365	paeu:BN889_05232
ko:K07028	paeu:BN889_05233
ko:K02013	paeu:BN889_05238
ko:K02015	paeu:BN889_05239
ko:K02016	paeu:BN889_05240
ko:K07225	paeu:BN889_05241
ko:K16087	paeu:BN889_05242
ko:K14261	paeu:BN889_05248
ko:K07054	paeu:BN889_05251
ko:K06901	paeu:BN889_05255
ko:K06206	paeu:BN889_05257
ko:K06204	paeu:BN889_05259
ko:K08978	paeu:BN889_06050
ko:K18118	paeu:BN889_06051
ko:K12995	paeu:BN889_06054
ko:K01711	paeu:BN889_06060
ko:K07088	paeu:BN889_06074
ko:K03300	paeu:BN889_06076
ko:K02839	paeu:BN889_06078
ko:K03324	paeu:BN889_06081
ko:K11102	paeu:BN889_06088
ko:K11384	paeu:BN889_06092
ko:K11066	paeu:BN889_06094
ko:K13590	paeu:BN889_06096
ko:K03673	paeu:BN889_06098
ko:K03978	paeu:BN889_06101
ko:K00150	paeu:BN889_06934
ko:K03688	paeu:BN889_06935
ko:K03778	paeu:BN889_06937
ko:K00948	paeu:BN889_06940
ko:K00758	paeu:BN889_06941
ko:K07576	paeu:BN889_06942
ko:K06872	paeu:BN889_06944
ko:K03744	paeu:BN889_06945
ko:K01533	paeu:BN889_06948
ko:K13639	paeu:BN889_06957
ko:K03641	paeu:BN889_01026
ko:K03640	paeu:BN889_01027
ko:K10026	paeu:BN889_01029
ko:K06920	paeu:BN889_01030
ko:K07347	paeu:BN889_01046
ko:K00567	paeu:BN889_01047
ko:K02406	paeu:BN889_01160
ko:K06603	paeu:BN889_01161
ko:K02407	paeu:BN889_01162
ko:K02422	paeu:BN889_01163
ko:K10941	paeu:BN889_01166
ko:K10942	paeu:BN889_01167
ko:K10943	paeu:BN889_01168
ko:K02408	paeu:BN889_01169
ko:K02409	paeu:BN889_01171
ko:K02410	paeu:BN889_01172
ko:K02411	paeu:BN889_01173
ko:K02411	paeu:BN889_01174
ko:K02412	paeu:BN889_01175
ko:K02413	paeu:BN889_01176
ko:K06182	paeu:BN889_01182
ko:K06147	paeu:BN889_01188
ko:K00243	paeu:BN889_01191
ko:K01462	paeu:BN889_01197
ko:K01129	paeu:BN889_01200
ko:K12990	paeu:BN889_01205
ko:K05523	paeu:BN889_01209
ko:K07678	paeu:BN889_00974
ko:K12339	paeu:BN889_00978
ko:K03215	paeu:BN889_00980
ko:K00951	paeu:BN889_00981
ko:K04765	paeu:BN889_00983
ko:K09912	paeu:BN889_00985
ko:K01657	paeu:BN889_01053
ko:K01658	paeu:BN889_01054
ko:K03517	paeu:BN889_01056
ko:K03548	paeu:BN889_01059
ko:K03564	paeu:BN889_01060
ko:K03567	paeu:BN889_01061
ko:K01714	paeu:BN889_01062
ko:K07287	paeu:BN889_01063
ko:K01923	paeu:BN889_01065
ko:K07068	paeu:BN889_01069
ko:K08196	paeu:BN889_01073
ko:K00459	paeu:BN889_01080
ko:K00128	paeu:BN889_01084
ko:K09760	paeu:BN889_01089
ko:K07116	paeu:BN889_01092
ko:K09858	paeu:BN889_01099
ko:K08993	paeu:BN889_01103
ko:K14977	paeu:BN889_01214
ko:K07491	paeu:BN889_01230
ko:K07661	paeu:BN889_01235
ko:K07639	paeu:BN889_01236
ko:K03704	paeu:BN889_01237
ko:K00563	paeu:BN889_01239
ko:K01439	paeu:BN889_01241
ko:K02362	paeu:BN889_01245
ko:K02569	paeu:BN889_01252
ko:K02568	paeu:BN889_01253
ko:K02567	paeu:BN889_01254
ko:K02570	paeu:BN889_01255
ko:K02572	paeu:BN889_01256
ko:K02571	paeu:BN889_01257
ko:K07660	paeu:BN889_01259
ko:K07637	paeu:BN889_01260
ko:K11103	paeu:BN889_01263
ko:K03566	paeu:BN889_01264
ko:K12536	paeu:BN889_01323
ko:K12537	paeu:BN889_01325
ko:K03406	paeu:BN889_01330
ko:K02028	paeu:BN889_01335
ko:K02029	paeu:BN889_01336
ko:K02029	paeu:BN889_01337
ko:K02030	paeu:BN889_01340
ko:K12658	paeu:BN889_01350
ko:K16092	paeu:BN889_01355
ko:K02224	paeu:BN889_01357
ko:K04719	paeu:BN889_01358
ko:K02232	paeu:BN889_01360
ko:K02231	paeu:BN889_01361
ko:K00768	paeu:BN889_01363
ko:K02226	paeu:BN889_01364
ko:K02233	paeu:BN889_01365
ko:K08167	paeu:BN889_01366
ko:K02300	paeu:BN889_01424
ko:K16090	paeu:BN889_01427
ko:K01754	paeu:BN889_01433
ko:K01173	paeu:BN889_01434
ko:K10680	paeu:BN889_01441
ko:K17061	paeu:BN889_01442
ko:K17060	paeu:BN889_01443
ko:K05597	paeu:BN889_01444
ko:K10004	paeu:BN889_01447
ko:K10002	paeu:BN889_01448
ko:K10003	paeu:BN889_01449
ko:K10001	paeu:BN889_01450
ko:K03088	paeu:BN889_01460
ko:K04750	paeu:BN889_01462
ko:K11939	paeu:BN889_01470
ko:K03327	paeu:BN889_01472
ko:K03088	paeu:BN889_01474
ko:K02014	paeu:BN889_01477
ko:K02416	paeu:BN889_01531
ko:K02417	paeu:BN889_01532
ko:K02418	paeu:BN889_01533
ko:K02419	paeu:BN889_01534
ko:K02420	paeu:BN889_01535
ko:K02421	paeu:BN889_01536
ko:K02401	paeu:BN889_01537
ko:K06872	paeu:BN889_01538
ko:K06872	paeu:BN889_01539
ko:K02400	paeu:BN889_01540
ko:K02404	paeu:BN889_01541
ko:K04562	paeu:BN889_01542
ko:K02405	paeu:BN889_01543
ko:K03413	paeu:BN889_01544
ko:K03414	paeu:BN889_01545
ko:K03407	paeu:BN889_01547
ko:K03412	paeu:BN889_01548
ko:K02556	paeu:BN889_01549
ko:K02557	paeu:BN889_01550
ko:K03408	paeu:BN889_01553
ko:K03408	paeu:BN889_01554
ko:K00799	paeu:BN889_01556
ko:K05810	paeu:BN889_01559
ko:K00059	paeu:BN889_01561
ko:K04061	paeu:BN889_01563
ko:K02193	paeu:BN889_01565
ko:K02194	paeu:BN889_01566
ko:K02195	paeu:BN889_01567
ko:K02196	paeu:BN889_01568
ko:K02197	paeu:BN889_01569
ko:K02198	paeu:BN889_01570
ko:K02199	paeu:BN889_01571
ko:K02200	paeu:BN889_01572
ko:K02200	paeu:BN889_01573
ko:K01266	paeu:BN889_01577
ko:K00864	paeu:BN889_01578
ko:K02444	paeu:BN889_01583
ko:K04023	paeu:BN889_01584
ko:K03630	paeu:BN889_01695
ko:K00658	paeu:BN889_01696
ko:K00382	paeu:BN889_01698
ko:K01903	paeu:BN889_01699
ko:K01902	paeu:BN889_01700
ko:K03311	paeu:BN889_01701
ko:K04079	paeu:BN889_01709
ko:K00606	paeu:BN889_01711
ko:K18029	paeu:BN889_01715
ko:K03406	paeu:BN889_01721
ko:K00647	paeu:BN889_01723
ko:K01716	paeu:BN889_01724
ko:K02014	paeu:BN889_01727
ko:K00057	paeu:BN889_01728
ko:K08296	paeu:BN889_01729
ko:K03449	paeu:BN889_01740
ko:K00074	paeu:BN889_01742
ko:K07395	paeu:BN889_01856
ko:K07088	paeu:BN889_01858
ko:K00626	paeu:BN889_01860
ko:K01782	paeu:BN889_01861
ko:K01692	paeu:BN889_01873
ko:K06975	paeu:BN889_01874
ko:K01626	paeu:BN889_01875
ko:K00077	paeu:BN889_01877
ko:K13634	paeu:BN889_01879
ko:K00390	paeu:BN889_01881
ko:K02203	paeu:BN889_01882
ko:K01665	paeu:BN889_01883
ko:K03556	paeu:BN889_01884
ko:K03556	paeu:BN889_01885
