ko:K19079	saut:SAI1T1_2005110
ko:K03750	saut:SAI1T1_2016760
ko:K03637	saut:SAI1T1_2016770
ko:K03638	saut:SAI1T1_2016780
ko:K03644	saut:SAI1T1_2006500
ko:K03367	saut:SAI1T1_2006540
ko:K03739	saut:SAI1T1_2006550
ko:K03740	saut:SAI1T1_2006560
ko:K03885	saut:SAI1T1_2006570
ko:K03885	saut:SAI1T1_2006580
ko:K01255	saut:SAI1T1_2006590
ko:K07084	saut:SAI1T1_2006600
ko:K05569	saut:SAI1T1_2006620
ko:K05568	saut:SAI1T1_2006630
ko:K05565	saut:SAI1T1_2006640
ko:K03768	saut:SAI1T1_2006660
ko:K00819	saut:SAI1T1_2006680
ko:K00260	saut:SAI1T1_2006690
ko:K01126	saut:SAI1T1_2006700
ko:K01755	saut:SAI1T1_2006710
ko:K01940	saut:SAI1T1_2006720
ko:K01810	saut:SAI1T1_2006730
ko:K03100	saut:SAI1T1_2006750
ko:K03100	saut:SAI1T1_2006760
ko:K16899	saut:SAI1T1_2006770
ko:K16898	saut:SAI1T1_2006780
ko:K08255	saut:SAI1T1_2006800
ko:K03695	saut:SAI1T1_2006830
ko:K06910	saut:SAI1T1_2006880
ko:K00648	saut:SAI1T1_2006890
ko:K09458	saut:SAI1T1_2006900
ko:K15581	saut:SAI1T1_2006910
ko:K15582	saut:SAI1T1_2006920
ko:K15583	saut:SAI1T1_2006930
ko:K10823	saut:SAI1T1_2006940
ko:K15580	saut:SAI1T1_2006950
ko:K02035	saut:SAI1T1_2006960
ko:K03564	saut:SAI1T1_2014090
ko:K01845	saut:SAI1T1_2014100
ko:K11085	saut:SAI1T1_2014120
ko:K07586	saut:SAI1T1_2014130
ko:K03575	saut:SAI1T1_2014140
ko:K07038	saut:SAI1T1_2014150
ko:K09693	saut:SAI1T1_2014170
ko:K03565	saut:SAI1T1_2014180
ko:K04478	saut:SAI1T1_2014190
ko:K05520	saut:SAI1T1_2014200
ko:K01104	saut:SAI1T1_2014240
ko:K07058	saut:SAI1T1_2014250
ko:K07694	saut:SAI1T1_2014260
ko:K07681	saut:SAI1T1_2014270
ko:K01265	saut:SAI1T1_2014290
ko:K07009	saut:SAI1T1_2014320
ko:K02217	saut:SAI1T1_2014340
ko:K02342	saut:SAI1T1_2014350
ko:K02773	saut:SAI1T1_2001880
ko:K02775	saut:SAI1T1_2001890
ko:K00008	saut:SAI1T1_2001900
ko:K00008	saut:SAI1T1_2001910
ko:K05352	saut:SAI1T1_2001930
ko:K07322	saut:SAI1T1_2002000
ko:K07704	saut:SAI1T1_2002010
ko:K05339	saut:SAI1T1_2002030
ko:K03489	saut:SAI1T1_2002040
ko:K01223	saut:SAI1T1_2002060
ko:K00852	saut:SAI1T1_2002080
ko:K06726	saut:SAI1T1_2002090
ko:K06216	saut:SAI1T1_2002100
ko:K02529	saut:SAI1T1_2002110
ko:K01442	saut:SAI1T1_2002130
ko:K01990	saut:SAI1T1_2002150
ko:K01992	saut:SAI1T1_2002160
ko:K01992	saut:SAI1T1_2002170
ko:K03466	saut:SAI1T1_2002220
ko:K03311	saut:SAI1T1_2002320
ko:K02004	saut:SAI1T1_2002340
ko:K02003	saut:SAI1T1_2002350
ko:K07778	saut:SAI1T1_2009480
ko:K00928	saut:SAI1T1_2009530
ko:K00003	saut:SAI1T1_2009540
ko:K01733	saut:SAI1T1_2009550
ko:K00872	saut:SAI1T1_2009560
ko:K03781	saut:SAI1T1_2009590
ko:K00364	saut:SAI1T1_2009600
ko:K01356	saut:SAI1T1_2009620
ko:K00615	saut:SAI1T1_2009630
ko:K03547	saut:SAI1T1_2009650
ko:K05020	saut:SAI1T1_2009680
ko:K01681	saut:SAI1T1_2009690
ko:K07107	saut:SAI1T1_2009700
ko:K08591	saut:SAI1T1_2009710
ko:K02622	saut:SAI1T1_2009720
ko:K02621	saut:SAI1T1_2009730
ko:K03310	saut:SAI1T1_2009740
ko:K03480	saut:SAI1T1_2009750
ko:K14205	saut:SAI1T1_2009770
ko:K07304	saut:SAI1T1_2009780
ko:K04517	saut:SAI1T1_2009810
ko:K01657	saut:SAI1T1_2009830
ko:K01658	saut:SAI1T1_2009840
ko:K00766	saut:SAI1T1_2009850
ko:K01609	saut:SAI1T1_2009860
ko:K01696	saut:SAI1T1_2009870
ko:K01695	saut:SAI1T1_2009880
ko:K11694	saut:SAI1T1_2009890
ko:K11695	saut:SAI1T1_2009900
ko:K02034	saut:SAI1T1_2009960
ko:K02033	saut:SAI1T1_2009970
ko:K02017	saut:SAI1T1_2016800
ko:K02018	saut:SAI1T1_2016810
ko:K02020	saut:SAI1T1_2016820
ko:K02379	saut:SAI1T1_2016830
ko:K03523	saut:SAI1T1_2016850
ko:K02016	saut:SAI1T1_2016870
ko:K08717	saut:SAI1T1_2016890
ko:K01428	saut:SAI1T1_2016900
ko:K03188	saut:SAI1T1_2016920
ko:K03189	saut:SAI1T1_2016930
ko:K03190	saut:SAI1T1_2016940
ko:K03315	saut:SAI1T1_2016980
ko:K00123	saut:SAI1T1_2017040
ko:K07052	saut:SAI1T1_2017080
ko:K03453	saut:SAI1T1_2017130
ko:K02749	saut:SAI1T1_2017150
ko:K02750	saut:SAI1T1_2017150
ko:K03481	saut:SAI1T1_2017160
ko:K01468	saut:SAI1T1_2017230
ko:K01712	saut:SAI1T1_2017240
ko:K11210	saut:SAI1T1_2017260
ko:K01479	saut:SAI1T1_2017270
ko:K02033	saut:SAI1T1_2006990
ko:K02034	saut:SAI1T1_2007000
ko:K01867	saut:SAI1T1_2007010
ko:K16511	saut:SAI1T1_2007020
ko:K06198	saut:SAI1T1_2007030
ko:K08602	saut:SAI1T1_2007040
ko:K07816	saut:SAI1T1_2007070
ko:K00858	saut:SAI1T1_2007080
ko:K06180	saut:SAI1T1_2007090
ko:K06213	saut:SAI1T1_2007100
ko:K03455	saut:SAI1T1_2007120
ko:K00208	saut:SAI1T1_2007130
ko:K03310	saut:SAI1T1_2007150
ko:K05362	saut:SAI1T1_2007200
ko:K02837	saut:SAI1T1_2007210
ko:K02250	saut:SAI1T1_2007280
ko:K03800	saut:SAI1T1_2007290
ko:K07052	saut:SAI1T1_2007300
ko:K02003	saut:SAI1T1_2007320
ko:K02016	saut:SAI1T1_2007330
ko:K02548	saut:SAI1T1_2007350
ko:K02552	saut:SAI1T1_2007360
ko:K02551	saut:SAI1T1_2007370
ko:K08680	saut:SAI1T1_2007380
ko:K01661	saut:SAI1T1_2007390
ko:K13715	saut:SAI1T1_2007400
ko:K00841	saut:SAI1T1_2007420
ko:K02346	saut:SAI1T1_2014360
ko:K03215	saut:SAI1T1_2014380
ko:K02434	saut:SAI1T1_2014400
ko:K02433	saut:SAI1T1_2014410
ko:K11928	saut:SAI1T1_2014420
ko:K01972	saut:SAI1T1_2014440
ko:K03657	saut:SAI1T1_2014450
ko:K07094	saut:SAI1T1_2014460
ko:K01756	saut:SAI1T1_2014470
ko:K08258	saut:SAI1T1_2014480
ko:K01916	saut:SAI1T1_2014500
ko:K00763	saut:SAI1T1_2014510
ko:K00491	saut:SAI1T1_2014520
ko:K04518	saut:SAI1T1_2014530
ko:K14445	saut:SAI1T1_2014540
ko:K15986	saut:SAI1T1_2014570
ko:K00128	saut:SAI1T1_2014580
ko:K01992	saut:SAI1T1_2014650
ko:K01990	saut:SAI1T1_2014660
ko:K01990	saut:SAI1T1_2014680
ko:K16329	saut:SAI1T1_2002380
ko:K03307	saut:SAI1T1_2002400
ko:K01639	saut:SAI1T1_2002410
ko:K01788	saut:SAI1T1_2002440
ko:K03800	saut:SAI1T1_2002520
ko:K03475	saut:SAI1T1_2002540
ko:K02445	saut:SAI1T1_2002570
ko:K00299	saut:SAI1T1_2002600
ko:K03817	saut:SAI1T1_2002630
ko:K07224	saut:SAI1T1_2002640
ko:K16301	saut:SAI1T1_2002650
ko:K07243	saut:SAI1T1_2002660
ko:K03118	saut:SAI1T1_2002670
ko:K01990	saut:SAI1T1_2002690
ko:K00626	saut:SAI1T1_2002720
ko:K00549	saut:SAI1T1_2002740
ko:K01760	saut:SAI1T1_2002760
ko:K01739	saut:SAI1T1_2002770
ko:K06942	saut:SAI1T1_2002800
ko:K01834	saut:SAI1T1_2002850
ko:K03387	saut:SAI1T1_2002870
ko:K02039	saut:SAI1T1_2009990
ko:K02036	saut:SAI1T1_2010000
ko:K02038	saut:SAI1T1_2010010
ko:K02037	saut:SAI1T1_2010020
ko:K02040	saut:SAI1T1_2010030
ko:K00243	saut:SAI1T1_2010040
ko:K00928	saut:SAI1T1_2010060
ko:K00133	saut:SAI1T1_2010070
ko:K01714	saut:SAI1T1_2010080
ko:K00215	saut:SAI1T1_2010090
ko:K05822	saut:SAI1T1_2010100
ko:K01775	saut:SAI1T1_2010120
ko:K01586	saut:SAI1T1_2010130
ko:K03311	saut:SAI1T1_2010160
ko:K00658	saut:SAI1T1_2010200
ko:K00164	saut:SAI1T1_2010210
ko:K02563	saut:SAI1T1_2010250
ko:K03797	saut:SAI1T1_2010270
ko:K07304	saut:SAI1T1_2010290
ko:K09125	saut:SAI1T1_2010340
ko:K08170	saut:SAI1T1_2010360
ko:K03294	saut:SAI1T1_2010370
ko:K01754	saut:SAI1T1_2010380
ko:K00259	saut:SAI1T1_2010390
ko:K07444	saut:SAI1T1_2010430
ko:K03700	saut:SAI1T1_2010450
ko:K01807	saut:SAI1T1_2017290
ko:K01785	saut:SAI1T1_2017310
ko:K01992	saut:SAI1T1_2017320
ko:K01990	saut:SAI1T1_2017330
ko:K03652	saut:SAI1T1_2017350
ko:K03312	saut:SAI1T1_2017360
ko:K01823	saut:SAI1T1_2017370
ko:K03284	saut:SAI1T1_2017380
ko:K07107	saut:SAI1T1_2017390
ko:K07552	saut:SAI1T1_2017450
ko:K09814	saut:SAI1T1_2017480
ko:K09813	saut:SAI1T1_2017490
ko:K00116	saut:SAI1T1_2017530
ko:K03303	saut:SAI1T1_2017540
ko:K02809	saut:SAI1T1_2017630
ko:K02810	saut:SAI1T1_2017630
ko:K11102	saut:SAI1T1_2017660
ko:K10850	saut:SAI1T1_2017680
ko:K07696	saut:SAI1T1_2017710
ko:K07683	saut:SAI1T1_2017720
ko:K00374	saut:SAI1T1_2017730
ko:K00373	saut:SAI1T1_2017740
ko:K00371	saut:SAI1T1_2017750
ko:K00370	saut:SAI1T1_2017760
ko:K03386	saut:SAI1T1_2002880
ko:K06956	saut:SAI1T1_2002900
ko:K03816	saut:SAI1T1_2002950
ko:K16169	saut:SAI1T1_2002960
ko:K00088	saut:SAI1T1_2002970
ko:K01951	saut:SAI1T1_2002980
ko:K11042	saut:SAI1T1_2003020
ko:K03427	saut:SAI1T1_2003120
ko:K01154	saut:SAI1T1_2003130
ko:K05577	saut:SAI1T1_2003290
ko:K09822	saut:SAI1T1_2003300
ko:K03928	saut:SAI1T1_2003330
ko:K03308	saut:SAI1T1_2003340
ko:K17216	saut:SAI1T1_2003350
ko:K17217	saut:SAI1T1_2003360
ko:K02071	saut:SAI1T1_2003370
ko:K02072	saut:SAI1T1_2003380
ko:K02073	saut:SAI1T1_2003390
ko:K05366	saut:SAI1T1_2010460
ko:K10773	saut:SAI1T1_2010470
ko:K02086	saut:SAI1T1_2010480
ko:K01893	saut:SAI1T1_2010490
ko:K03524	saut:SAI1T1_2010510
ko:K00974	saut:SAI1T1_2010520
ko:K06973	saut:SAI1T1_2010540
ko:K00800	saut:SAI1T1_2010580
ko:K01735	saut:SAI1T1_2010590
ko:K01736	saut:SAI1T1_2010600
ko:K00940	saut:SAI1T1_2010610
ko:K00805	saut:SAI1T1_2010620
ko:K03183	saut:SAI1T1_2010630
ko:K00057	saut:SAI1T1_2010650
ko:K03977	saut:SAI1T1_2010660
ko:K02945	saut:SAI1T1_2010670
ko:K00945	saut:SAI1T1_2010680
ko:K01424	saut:SAI1T1_2010690
ko:K03654	saut:SAI1T1_2010720
ko:K07651	saut:SAI1T1_2010810
ko:K07775	saut:SAI1T1_2010820
ko:K06178	saut:SAI1T1_2010830
ko:K06024	saut:SAI1T1_2010840
ko:K05896	saut:SAI1T1_2010850
ko:K09763	saut:SAI1T1_2010860
ko:K04763	saut:SAI1T1_2010870
ko:K01515	saut:SAI1T1_2010880
ko:K07124	saut:SAI1T1_2010900
ko:K00286	saut:SAI1T1_2010910
ko:K00784	saut:SAI1T1_2010920
ko:K00036	saut:SAI1T1_2010930
ko:K02303	saut:SAI1T1_2017770
ko:K00362	saut:SAI1T1_2017780
ko:K09815	saut:SAI1T1_2017830
ko:K10010	saut:SAI1T1_2017870
ko:K10009	saut:SAI1T1_2017880
ko:K02424	saut:SAI1T1_2017890
ko:K01834	saut:SAI1T1_2017910
ko:K14197	saut:SAI1T1_2017930
ko:K00652	saut:SAI1T1_2017990
ko:K01012	saut:SAI1T1_2018000
ko:K00833	saut:SAI1T1_2018010
ko:K01935	saut:SAI1T1_2018020
ko:K06147	saut:SAI1T1_2018030
ko:K06147	saut:SAI1T1_2018040
ko:K00865	saut:SAI1T1_2018050
ko:K11737	saut:SAI1T1_2018110
ko:K00077	saut:SAI1T1_2018160
ko:K08170	saut:SAI1T1_2018170
ko:K05846	saut:SAI1T1_2018180
ko:K05845	saut:SAI1T1_2018190
ko:K05846	saut:SAI1T1_2018200
ko:K05847	saut:SAI1T1_2018210
ko:K03929	saut:SAI1T1_2018240
ko:K00265	saut:SAI1T1_2003450
ko:K00266	saut:SAI1T1_2003460
ko:K02818	saut:SAI1T1_2003480
ko:K02819	saut:SAI1T1_2003480
ko:K01226	saut:SAI1T1_2003490
ko:K03486	saut:SAI1T1_2003500
ko:K02343	saut:SAI1T1_2003520
ko:K06187	saut:SAI1T1_2003530
ko:K00943	saut:SAI1T1_2003590
ko:K02341	saut:SAI1T1_2003600
ko:K07056	saut:SAI1T1_2003630
ko:K01874	saut:SAI1T1_2003640
ko:K03424	saut:SAI1T1_2003650
ko:K05985	saut:SAI1T1_2003660
ko:K02528	saut:SAI1T1_2003670
ko:K00919	saut:SAI1T1_2003680
ko:K09685	saut:SAI1T1_2003690
ko:K04042	saut:SAI1T1_2003700
ko:K00948	saut:SAI1T1_2003710
ko:K02897	saut:SAI1T1_2003720
ko:K01056	saut:SAI1T1_2003730
ko:K03723	saut:SAI1T1_2003740
ko:K02499	saut:SAI1T1_2003760
ko:K04075	saut:SAI1T1_2003770
ko:K00760	saut:SAI1T1_2003780
ko:K03798	saut:SAI1T1_2003790
ko:K04083	saut:SAI1T1_2003800
ko:K01738	saut:SAI1T1_2003810
ko:K00796	saut:SAI1T1_2003820
ko:K04567	saut:SAI1T1_2003830
ko:K01187	saut:SAI1T1_2010950
ko:K00033	saut:SAI1T1_2010980
ko:K09699	saut:SAI1T1_2011010
ko:K00167	saut:SAI1T1_2011020
ko:K00166	saut:SAI1T1_2011030
ko:K00382	saut:SAI1T1_2011040
ko:K03631	saut:SAI1T1_2011050
ko:K13789	saut:SAI1T1_2011060
ko:K03601	saut:SAI1T1_2011070
ko:K01961	saut:SAI1T1_2011080
ko:K02160	saut:SAI1T1_2011090
ko:K02356	saut:SAI1T1_2011100
ko:K01262	saut:SAI1T1_2011110
ko:K03800	saut:SAI1T1_2011130
ko:K00283	saut:SAI1T1_2011140
ko:K00282	saut:SAI1T1_2011150
ko:K00605	saut:SAI1T1_2011160
ko:K00891	saut:SAI1T1_2011170
ko:K02244	saut:SAI1T1_2011190
ko:K02243	saut:SAI1T1_2011200
ko:K00845	saut:SAI1T1_2011220
ko:K12553	saut:SAI1T1_2011250
ko:K04564	saut:SAI1T1_2011260
ko:K09816	saut:SAI1T1_2011270
ko:K09817	saut:SAI1T1_2011280
ko:K01151	saut:SAI1T1_2011290
ko:K06967	saut:SAI1T1_2011320
ko:K03086	saut:SAI1T1_2011330
ko:K09773	saut:SAI1T1_2011350
ko:K01880	saut:SAI1T1_2011370
ko:K03584	saut:SAI1T1_2011380
ko:K02069	saut:SAI1T1_2018260
ko:K02068	saut:SAI1T1_2018270
ko:K10824	saut:SAI1T1_2018330
ko:K15587	saut:SAI1T1_2018340
ko:K15586	saut:SAI1T1_2018350
ko:K15585	saut:SAI1T1_2018360
ko:K15584	saut:SAI1T1_2018370
ko:K12942	saut:SAI1T1_2018430
ko:K01835	saut:SAI1T1_2018550
ko:K00963	saut:SAI1T1_2018600
ko:K13732	saut:SAI1T1_2018610
ko:K03299	saut:SAI1T1_2018620
ko:K00851	saut:SAI1T1_2018630
ko:K11476	saut:SAI1T1_2018640
ko:K03535	saut:SAI1T1_2018690
ko:K01990	saut:SAI1T1_2018710
ko:K00375	saut:SAI1T1_2003950
ko:K06215	saut:SAI1T1_2003960
ko:K08681	saut:SAI1T1_2003970
ko:K11535	saut:SAI1T1_2003980
ko:K03708	saut:SAI1T1_2003990
ko:K03696	saut:SAI1T1_2004020
ko:K04485	saut:SAI1T1_2004030
ko:K09698	saut:SAI1T1_2004050
ko:K00640	saut:SAI1T1_2004060
ko:K01883	saut:SAI1T1_2004070
ko:K03218	saut:SAI1T1_2004080
ko:K06962	saut:SAI1T1_2004090
ko:K03091	saut:SAI1T1_2004100
ko:K02601	saut:SAI1T1_2004110
ko:K02863	saut:SAI1T1_2004120
ko:K02864	saut:SAI1T1_2004130
ko:K03043	saut:SAI1T1_2004150
ko:K03046	saut:SAI1T1_2004160
ko:K02992	saut:SAI1T1_2004170
ko:K02355	saut:SAI1T1_2004180
ko:K02358	saut:SAI1T1_2004190
ko:K00639	saut:SAI1T1_2004210
ko:K05523	saut:SAI1T1_2004220
ko:K00853	saut:SAI1T1_2004230
ko:K00826	saut:SAI1T1_2004250
ko:K01091	saut:SAI1T1_2004260
ko:K15519	saut:SAI1T1_1004270
ko:K15518	saut:SAI1T1_1004280
ko:K14194	saut:SAI1T1_2004310
ko:K14194	saut:SAI1T1_2004320
ko:K14194	saut:SAI1T1_2004330
ko:K00712	saut:SAI1T1_2004340
ko:K00712	saut:SAI1T1_2004350
ko:K09007	saut:SAI1T1_2004370
ko:K02564	saut:SAI1T1_2004390
ko:K08093	saut:SAI1T1_2004400
ko:K08094	saut:SAI1T1_2004410
ko:K03762	saut:SAI1T1_2004430
ko:K09761	saut:SAI1T1_2011450
ko:K02687	saut:SAI1T1_2011460
ko:K03686	saut:SAI1T1_2011470
ko:K04043	saut:SAI1T1_2011480
ko:K03687	saut:SAI1T1_2011490
ko:K03705	saut:SAI1T1_2011500
ko:K03596	saut:SAI1T1_2011520
ko:K02340	saut:SAI1T1_2011530
ko:K02238	saut:SAI1T1_2011540
ko:K02237	saut:SAI1T1_2011560
ko:K00969	saut:SAI1T1_2011590
ko:K00014	saut:SAI1T1_2011600
ko:K06948	saut:SAI1T1_2011610
ko:K07015	saut:SAI1T1_2011620
ko:K01243	saut:SAI1T1_2011630
ko:K07160	saut:SAI1T1_2011660
ko:K01961	saut:SAI1T1_2011670
ko:K03624	saut:SAI1T1_2011700
ko:K00876	saut:SAI1T1_2011710
ko:K08303	saut:SAI1T1_2011720
ko:K01872	saut:SAI1T1_2011750
ko:K03581	saut:SAI1T1_2011760
ko:K00566	saut:SAI1T1_2011780
ko:K04487	saut:SAI1T1_2011790
ko:K07478	saut:SAI1T1_2011810
ko:K01876	saut:SAI1T1_2011830
ko:K01892	saut:SAI1T1_2011840
ko:K01448	saut:SAI1T1_2011850
ko:K00951	saut:SAI1T1_2011860
ko:K00759	saut:SAI1T1_2011870
ko:K07462	saut:SAI1T1_2011880
ko:K12257	saut:SAI1T1_2011890
ko:K04041	saut:SAI1T1_2018730
ko:K06999	saut:SAI1T1_2018750
ko:K15975	saut:SAI1T1_2018760
ko:K07104	saut:SAI1T1_2018770
ko:K03778	saut:SAI1T1_2018790
ko:K16917	saut:SAI1T1_2018810
ko:K16916	saut:SAI1T1_2018820
ko:K07284	saut:SAI1T1_2018830
ko:K03823	saut:SAI1T1_2018840
ko:K01752	saut:SAI1T1_2018850
