ko:K07489	ypl:CH46_4177
ko:K09973	ypl:CH46_2013
ko:K17686	ypl:CH46_2014
ko:K07340	ypl:CH46_2016
ko:K05838	ypl:CH46_2018
ko:K10804	ypl:CH46_2020
ko:K02003	ypl:CH46_2021
ko:K02004	ypl:CH46_2022
ko:K01589	ypl:CH46_2023
ko:K01588	ypl:CH46_2024
ko:K03269	ypl:CH46_2025
ko:K03281	ypl:CH46_2843
ko:K01935	ypl:CH46_2844
ko:K15545	ypl:CH46_2846
ko:K08224	ypl:CH46_2848
ko:K10748	ypl:CH46_2849
ko:K01679	ypl:CH46_2850
ko:K01809	ypl:CH46_2851
ko:K14347	ypl:CH46_2854
ko:K02099	ypl:CH46_2856
ko:K10538	ypl:CH46_2857
ko:K10539	ypl:CH46_2858
ko:K10537	ypl:CH46_2859
ko:K00853	ypl:CH46_2860
ko:K01804	ypl:CH46_2861
ko:K12531	ypl:CH46_2863
ko:K12532	ypl:CH46_2864
ko:K12532	ypl:CH46_2865
ko:K12530	ypl:CH46_2866
ko:K03617	ypl:CH46_2868
ko:K03616	ypl:CH46_2869
ko:K03615	ypl:CH46_2870
ko:K03614	ypl:CH46_2872
ko:K03612	ypl:CH46_2873
ko:K03613	ypl:CH46_2874
ko:K10773	ypl:CH46_2875
ko:K01147	ypl:CH46_2878
ko:K06200	ypl:CH46_2879
ko:K08313	ypl:CH46_2881
ko:K04062	ypl:CH46_2884
ko:K03113	ypl:CH46_2885
ko:K01591	ypl:CH46_2886
ko:K08992	ypl:CH46_2889
ko:K09458	ypl:CH46_3703
ko:K07491	ypl:CH46_3704
ko:K09857	ypl:CH46_3705
ko:K06192	ypl:CH46_3706
ko:K03808	ypl:CH46_3707
ko:K15738	ypl:CH46_3708
ko:K12297	ypl:CH46_3709
ko:K07140	ypl:CH46_3710
ko:K18657	ypl:CH46_3711
ko:K00254	ypl:CH46_3712
ko:K01256	ypl:CH46_3713
ko:K00763	ypl:CH46_3714
ko:K01893	ypl:CH46_3715
ko:K09476	ypl:CH46_3716
ko:K00813	ypl:CH46_3717
ko:K07491	ypl:CH46_3721
ko:K03632	ypl:CH46_3722
ko:K03804	ypl:CH46_3723
ko:K03633	ypl:CH46_3724
ko:K06219	ypl:CH46_3725
ko:K00979	ypl:CH46_3727
ko:K09791	ypl:CH46_3728
ko:K03704	ypl:CH46_3729
ko:K00912	ypl:CH46_3731
ko:K11085	ypl:CH46_3732
ko:K02238	ypl:CH46_3733
ko:K05788	ypl:CH46_3734
ko:K02945	ypl:CH46_3736
ko:K00945	ypl:CH46_3737
ko:K00800	ypl:CH46_3738
ko:K00831	ypl:CH46_3739
ko:K12342	ypl:CH46_3740
ko:K12342	ypl:CH46_3741
ko:K01424	ypl:CH46_3742
ko:K09136	ypl:CH46_3743
ko:K06212	ypl:CH46_3744
ko:K00656	ypl:CH46_3745
ko:K07270	ypl:CH46_3746
ko:K04069	ypl:CH46_3747
ko:K08219	ypl:CH46_3748
ko:K01875	ypl:CH46_3749
ko:K09807	ypl:CH46_1
ko:K05596	ypl:CH46_2
ko:K01807	ypl:CH46_3
ko:K00058	ypl:CH46_4
ko:K01934	ypl:CH46_5
ko:K09888	ypl:CH46_6
ko:K09895	ypl:CH46_7
ko:K01262	ypl:CH46_8
ko:K03185	ypl:CH46_9
ko:K18800	ypl:CH46_10
ko:K00605	ypl:CH46_11
ko:K02437	ypl:CH46_12
ko:K00281	ypl:CH46_13
ko:K11068	ypl:CH46_18
ko:K06980	ypl:CH46_20
ko:K09159	ypl:CH46_21
ko:K07663	ypl:CH46_22
ko:K07641	ypl:CH46_23
ko:K06143	ypl:CH46_24
ko:K03840	ypl:CH46_25
ko:K04763	ypl:CH46_26
ko:K03981	ypl:CH46_27
ko:K07462	ypl:CH46_28
ko:K02836	ypl:CH46_29
ko:K04567	ypl:CH46_30
ko:K13651	ypl:CH46_36
ko:K13655	ypl:CH46_37
ko:K07733	ypl:CH46_40
ko:K17205	ypl:CH46_57
ko:K17206	ypl:CH46_58
ko:K17207	ypl:CH46_59
ko:K10111	ypl:CH46_60
ko:K15770	ypl:CH46_61
ko:K07058	ypl:CH46_886
ko:K06207	ypl:CH46_888
ko:K01915	ypl:CH46_889
ko:K07708	ypl:CH46_890
ko:K07712	ypl:CH46_891
ko:K09894	ypl:CH46_893
ko:K03978	ypl:CH46_894
ko:K07491	ypl:CH46_895
ko:K01610	ypl:CH46_778
ko:K07638	ypl:CH46_779
ko:K07659	ypl:CH46_780
ko:K04760	ypl:CH46_781
ko:K06959	ypl:CH46_782
ko:K04758	ypl:CH46_783
ko:K04759	ypl:CH46_784
ko:K07490	ypl:CH46_785
ko:K02170	ypl:CH46_787
ko:K07400	ypl:CH46_789
ko:K00705	ypl:CH46_790
ko:K00688	ypl:CH46_791
ko:K03556	ypl:CH46_793
ko:K02439	ypl:CH46_794
ko:K02441	ypl:CH46_795
ko:K02444	ypl:CH46_796
ko:K07483	ypl:CH46_797
ko:K00297	ypl:CH46_799
ko:K12525	ypl:CH46_800
ko:K01739	ypl:CH46_802
ko:K03764	ypl:CH46_803
ko:K02909	ypl:CH46_805
ko:K04066	ypl:CH46_806
ko:K05499	ypl:CH46_808
ko:K03591	ypl:CH46_809
ko:K01419	ypl:CH46_810
ko:K03667	ypl:CH46_811
ko:K02548	ypl:CH46_812
ko:K02553	ypl:CH46_813
ko:K13408	ypl:CH46_816
ko:K13409	ypl:CH46_817
ko:K13409	ypl:CH46_820
ko:K07491	ypl:CH46_821
ko:K09892	ypl:CH46_822
ko:K02440	ypl:CH46_823
ko:K00864	ypl:CH46_824
ko:K02446	ypl:CH46_825
ko:K00528	ypl:CH46_826
ko:K01803	ypl:CH46_829
ko:K16516	ypl:CH46_830
ko:K16515	ypl:CH46_831
ko:K10218	ypl:CH46_832
ko:K09862	ypl:CH46_1659
ko:K18778	ypl:CH46_1660
ko:K00859	ypl:CH46_1661
ko:K00364	ypl:CH46_1662
ko:K02505	ypl:CH46_1663
ko:K02504	ypl:CH46_1664
ko:K02682	ypl:CH46_1665
ko:K00767	ypl:CH46_1666
ko:K03806	ypl:CH46_1667
ko:K03807	ypl:CH46_1668
ko:K11734	ypl:CH46_1669
ko:K00163	ypl:CH46_1671
ko:K00627	ypl:CH46_1672
ko:K00382	ypl:CH46_1673
ko:K07491	ypl:CH46_1674
ko:K01682	ypl:CH46_1675
ko:K09910	ypl:CH46_1676
ko:K01611	ypl:CH46_1678
ko:K00797	ypl:CH46_1679
ko:K14588	ypl:CH46_1681
ko:K00760	ypl:CH46_1682
ko:K01673	ypl:CH46_1683
ko:K01990	ypl:CH46_1684
ko:K01992	ypl:CH46_1685
ko:K01579	ypl:CH46_1687
ko:K01918	ypl:CH46_1688
ko:K00606	ypl:CH46_1689
ko:K00950	ypl:CH46_1690
ko:K00970	ypl:CH46_1691
ko:K01894	ypl:CH46_1692
ko:K06204	ypl:CH46_1693
ko:K06206	ypl:CH46_1694
ko:K01975	ypl:CH46_1695
ko:K03579	ypl:CH46_1696
ko:K05365	ypl:CH46_1697
ko:K02013	ypl:CH46_1698
ko:K02016	ypl:CH46_1699
ko:K02015	ypl:CH46_1700
ko:K01845	ypl:CH46_1701
ko:K03281	ypl:CH46_1702
ko:K15724	ypl:CH46_1703
ko:K07258	ypl:CH46_2514
ko:K09158	ypl:CH46_2515
ko:K03801	ypl:CH46_2516
ko:K03644	ypl:CH46_2517
ko:K03425	ypl:CH46_2518
ko:K06199	ypl:CH46_2519
ko:K03704	ypl:CH46_2520
ko:K06147	ypl:CH46_2527
ko:K03337	ypl:CH46_2529
ko:K03335	ypl:CH46_2530
ko:K03338	ypl:CH46_2531
ko:K17209	ypl:CH46_2533
ko:K17210	ypl:CH46_2534
ko:K17208	ypl:CH46_2535
ko:K00010	ypl:CH46_2536
ko:K00010	ypl:CH46_2537
ko:K03336	ypl:CH46_2538
ko:K00140	ypl:CH46_2539
ko:K08996	ypl:CH46_2542
ko:K06894	ypl:CH46_2544
ko:K02822	ypl:CH46_2547
ko:K02821	ypl:CH46_2548
ko:K13788	ypl:CH46_2550
ko:K00925	ypl:CH46_2551
ko:K09899	ypl:CH46_2552
ko:K09161	ypl:CH46_2553
ko:K08722	ypl:CH46_2556
ko:K14260	ypl:CH46_2557
ko:K00330	ypl:CH46_2559
ko:K00331	ypl:CH46_2560
ko:K13378	ypl:CH46_2561
ko:K00334	ypl:CH46_2562
ko:K00335	ypl:CH46_2563
ko:K00336	ypl:CH46_2564
ko:K00337	ypl:CH46_2565
ko:K00338	ypl:CH46_2566
ko:K12973	ypl:CH46_3377
ko:K11734	ypl:CH46_3378
ko:K06147	ypl:CH46_3387
ko:K07178	ypl:CH46_3388
ko:K09933	ypl:CH46_3390
ko:K02529	ypl:CH46_3395
ko:K01815	ypl:CH46_3398
ko:K00065	ypl:CH46_3399
ko:K01731	ypl:CH46_3400
ko:K10193	ypl:CH46_3401
ko:K10194	ypl:CH46_3402
ko:K10195	ypl:CH46_3403
ko:K10192	ypl:CH46_3404
ko:K07038	ypl:CH46_3406
ko:K06956	ypl:CH46_3407
ko:K11066	ypl:CH46_3408
ko:K01730	ypl:CH46_3410
ko:K08169	ypl:CH46_3411
ko:K07346	ypl:CH46_3412
ko:K07345	ypl:CH46_3413
ko:K07347	ypl:CH46_3414
ko:K15540	ypl:CH46_3415
ko:K07345	ypl:CH46_3416
ko:K03799	ypl:CH46_3417
ko:K03797	ypl:CH46_3419
ko:K03607	ypl:CH46_3420
ko:K03808	ypl:CH46_3422
ko:K07346	ypl:CH46_3427
ko:K07347	ypl:CH46_3428
ko:K06895	ypl:CH46_4229
ko:K02337	ypl:CH46_4235
ko:K07128	ypl:CH46_4262
ko:K07128	ypl:CH46_4264
ko:K07491	ypl:CH46_4276
ko:K01586	ypl:CH46_121
ko:K02529	ypl:CH46_120
ko:K08351	ypl:CH46_122
ko:K05939	ypl:CH46_123
ko:K08227	ypl:CH46_124
ko:K03573	ypl:CH46_128
ko:K08311	ypl:CH46_129
ko:K08484	ypl:CH46_130
ko:K13292	ypl:CH46_131
ko:K02679	ypl:CH46_134
ko:K06147	ypl:CH46_146
ko:K06147	ypl:CH46_147
ko:K16321	ypl:CH46_151
ko:K11904	ypl:CH46_154
ko:K14445	ypl:CH46_159
ko:K02529	ypl:CH46_160
ko:K07483	ypl:CH46_163
ko:K06077	ypl:CH46_164
ko:K06077	ypl:CH46_165
ko:K02557	ypl:CH46_169
ko:K02556	ypl:CH46_170
ko:K02405	ypl:CH46_171
ko:K02415	ypl:CH46_172
ko:K02379	ypl:CH46_991
ko:K00123	ypl:CH46_992
ko:K00123	ypl:CH46_993
ko:K00124	ypl:CH46_994
ko:K00127	ypl:CH46_995
ko:K02380	ypl:CH46_996
ko:K01042	ypl:CH46_997
ko:K08160	ypl:CH46_1005
ko:K07483	ypl:CH46_1007
ko:K00854	ypl:CH46_1014
ko:K01805	ypl:CH46_1015
ko:K10543	ypl:CH46_1016
ko:K10545	ypl:CH46_1017
ko:K10544	ypl:CH46_1018
ko:K02529	ypl:CH46_1019
ko:K02013	ypl:CH46_1028
ko:K02015	ypl:CH46_1030
ko:K02015	ypl:CH46_1031
ko:K02016	ypl:CH46_1032
ko:K00759	ypl:CH46_1035
ko:K01738	ypl:CH46_1036
ko:K01712	ypl:CH46_1037
ko:K01745	ypl:CH46_1038
ko:K16234	ypl:CH46_1039
ko:K12975	ypl:CH46_1041
ko:K07675	ypl:CH46_1043
ko:K00346	ypl:CH46_1867
ko:K00347	ypl:CH46_1868
ko:K00348	ypl:CH46_1869
ko:K00349	ypl:CH46_1870
ko:K00350	ypl:CH46_1871
ko:K00351	ypl:CH46_1872
ko:K03734	ypl:CH46_1873
ko:K05952	ypl:CH46_1874
ko:K02346	ypl:CH46_1876
ko:K01270	ypl:CH46_1877
ko:K00769	ypl:CH46_1881
ko:K11750	ypl:CH46_1882
ko:K11926	ypl:CH46_1883
ko:K00931	ypl:CH46_1884
ko:K00147	ypl:CH46_1885
ko:K00891	ypl:CH46_1890
ko:K09913	ypl:CH46_1891
ko:K03554	ypl:CH46_1892
ko:K00847	ypl:CH46_1893
ko:K03547	ypl:CH46_1897
ko:K07657	ypl:CH46_1898
ko:K07636	ypl:CH46_1899
ko:K02040	ypl:CH46_1900
ko:K03311	ypl:CH46_1901
ko:K11736	ypl:CH46_1902
ko:K01187	ypl:CH46_1903
ko:K00681	ypl:CH46_1905
ko:K07491	ypl:CH46_1907
ko:K03386	ypl:CH46_1908
ko:K08682	ypl:CH46_1909
ko:K07568	ypl:CH46_1910
ko:K03319	ypl:CH46_833
ko:K02020	ypl:CH46_834
ko:K03673	ypl:CH46_897
ko:K09896	ypl:CH46_899
ko:K03752	ypl:CH46_900
ko:K03753	ypl:CH46_901
ko:K00852	ypl:CH46_910
ko:K06726	ypl:CH46_911
ko:K03549	ypl:CH46_912
ko:K03924	ypl:CH46_913
ko:K01914	ypl:CH46_915
ko:K03718	ypl:CH46_916
ko:K06205	ypl:CH46_917
ko:K03495	ypl:CH46_918
ko:K03501	ypl:CH46_919
ko:K02116	ypl:CH46_920
ko:K02108	ypl:CH46_921
ko:K02110	ypl:CH46_922
ko:K02109	ypl:CH46_923
ko:K02113	ypl:CH46_924
ko:K02111	ypl:CH46_925
ko:K02115	ypl:CH46_926
ko:K02112	ypl:CH46_927
ko:K02114	ypl:CH46_928
ko:K04042	ypl:CH46_929
ko:K00820	ypl:CH46_930
ko:K02040	ypl:CH46_931
ko:K02037	ypl:CH46_932
ko:K02038	ypl:CH46_933
ko:K02036	ypl:CH46_934
ko:K02039	ypl:CH46_935
ko:K02030	ypl:CH46_937
ko:K01265	ypl:CH46_1758
ko:K01676	ypl:CH46_1760
ko:K00880	ypl:CH46_1761
ko:K02057	ypl:CH46_1763
ko:K02057	ypl:CH46_1764
ko:K02056	ypl:CH46_1765
ko:K07491	ypl:CH46_1766
ko:K02058	ypl:CH46_1767
ko:K02430	ypl:CH46_1768
ko:K07306	ypl:CH46_1770
ko:K07307	ypl:CH46_1771
ko:K07308	ypl:CH46_1772
ko:K12262	ypl:CH46_1774
ko:K15536	ypl:CH46_1775
ko:K03782	ypl:CH46_1776
ko:K17202	ypl:CH46_1777
ko:K17204	ypl:CH46_1779
ko:K17203	ypl:CH46_1780
ko:K00615	ypl:CH46_1781
ko:K00615	ypl:CH46_1782
ko:K00864	ypl:CH46_1783
ko:K03743	ypl:CH46_1787
ko:K03565	ypl:CH46_1789
ko:K01872	ypl:CH46_1790
ko:K03563	ypl:CH46_1791
ko:K01919	ypl:CH46_1798
ko:K07173	ypl:CH46_1799
ko:K07491	ypl:CH46_1800
ko:K03106	ypl:CH46_1803
ko:K02959	ypl:CH46_1804
ko:K02860	ypl:CH46_1805
ko:K00554	ypl:CH46_1806
ko:K02884	ypl:CH46_1807
ko:K07491	ypl:CH46_1808
ko:K07283	ypl:CH46_1809
ko:K07792	ypl:CH46_1810
ko:K07792	ypl:CH46_1811
ko:K03451	ypl:CH46_2618
ko:K15125	ypl:CH46_2622
ko:K10111	ypl:CH46_2630
ko:K01840	ypl:CH46_2631
ko:K02027	ypl:CH46_2633
ko:K02025	ypl:CH46_2634
ko:K02026	ypl:CH46_2635
ko:K16053	ypl:CH46_2640
ko:K15342	ypl:CH46_2641
ko:K07012	ypl:CH46_2642
ko:K19127	ypl:CH46_2643
ko:K19128	ypl:CH46_2644
ko:K19129	ypl:CH46_2645
ko:K19130	ypl:CH46_2646
ko:K10713	ypl:CH46_2648
ko:K08368	ypl:CH46_2649
ko:K07146	ypl:CH46_2656
ko:K11744	ypl:CH46_2657
ko:K02846	ypl:CH46_2659
ko:K11606	ypl:CH46_2664
ko:K11605	ypl:CH46_2665
ko:K11607	ypl:CH46_2666
ko:K11604	ypl:CH46_2667
ko:K08308	ypl:CH46_2668
ko:K05595	ypl:CH46_2669
ko:K00566	ypl:CH46_3487
ko:K07153	ypl:CH46_3488
ko:K01756	ypl:CH46_3489
ko:K07660	ypl:CH46_3491
ko:K07637	ypl:CH46_3492
ko:K18850	ypl:CH46_3493
ko:K01258	ypl:CH46_3494
ko:K12410	ypl:CH46_3495
ko:K00884	ypl:CH46_3496
ko:K09808	ypl:CH46_3497
ko:K09810	ypl:CH46_3498
ko:K09808	ypl:CH46_3499
ko:K03723	ypl:CH46_3500
ko:K03885	ypl:CH46_3507
ko:K07000	ypl:CH46_3508
ko:K01207	ypl:CH46_3509
ko:K07251	ypl:CH46_3510
ko:K07337	ypl:CH46_3511
ko:K02503	ypl:CH46_3513
ko:K00014	ypl:CH46_3514
ko:K07491	ypl:CH46_3515
ko:K02778	ypl:CH46_3516
ko:K02779	ypl:CH46_3516
ko:K03424	ypl:CH46_3517
ko:K02341	ypl:CH46_3518
ko:K00943	ypl:CH46_3519
ko:K07082	ypl:CH46_3520
ko:K02619	ypl:CH46_3521
ko:K07491	ypl:CH46_3522
ko:K09458	ypl:CH46_3523
ko:K02078	ypl:CH46_3524
ko:K00059	ypl:CH46_3525
ko:K00645	ypl:CH46_3526
ko:K00648	ypl:CH46_3527
ko:K03621	ypl:CH46_3528
ko:K02911	ypl:CH46_3529
ko:K07040	ypl:CH46_3530
ko:K07491	ypl:CH46_3532
ko:K06179	ypl:CH46_3533
ko:K08300	ypl:CH46_3534
ko:K01465	ypl:CH46_3537
ko:K12149	ypl:CH46_3538
ko:K03230	ypl:CH46_4343
ko:K04060	ypl:CH46_4344
ko:K04059	ypl:CH46_4345
ko:K04058	ypl:CH46_4348
ko:K03224	ypl:CH46_4349
ko:K04056	ypl:CH46_4350
ko:K03225	ypl:CH46_4352
ko:K03226	ypl:CH46_4353
ko:K03227	ypl:CH46_4354
ko:K03228	ypl:CH46_4355
ko:K03229	ypl:CH46_4356
ko:K04049	ypl:CH46_4359
ko:K03219	ypl:CH46_4360
ko:K03220	ypl:CH46_4361
ko:K04050	ypl:CH46_4362
ko:K03221	ypl:CH46_4363
ko:K04051	ypl:CH46_4364
ko:K04052	ypl:CH46_4365
ko:K04053	ypl:CH46_4366
ko:K03222	ypl:CH46_4367
ko:K04054	ypl:CH46_4368
ko:K03223	ypl:CH46_4369
ko:K08598	ypl:CH46_4376
ko:K07483	ypl:CH46_4379
ko:K07483	ypl:CH46_4388
ko:K07483	ypl:CH46_4390
ko:K02048	ypl:CH46_835
ko:K00850	ypl:CH46_837
ko:K13283	ypl:CH46_838
ko:K06006	ypl:CH46_840
ko:K07640	ypl:CH46_842
ko:K10778	ypl:CH46_843
ko:K03216	ypl:CH46_844
ko:K00640	ypl:CH46_845
ko:K00057	ypl:CH46_846
ko:K03071	ypl:CH46_847
ko:K15633	ypl:CH46_850
ko:K09798	ypl:CH46_852
ko:K00060	ypl:CH46_854
ko:K00639	ypl:CH46_855
ko:K03274	ypl:CH46_856
ko:K02843	ypl:CH46_857
ko:K02841	ypl:CH46_858
ko:K02527	ypl:CH46_859
ko:K12984	ypl:CH46_860
ko:K00954	ypl:CH46_861
ko:K10563	ypl:CH46_862
ko:K02913	ypl:CH46_863
ko:K02902	ypl:CH46_864
ko:K03630	ypl:CH46_865
ko:K13038	ypl:CH46_866
ko:K05501	ypl:CH46_868
ko:K00762	ypl:CH46_869
ko:K00989	ypl:CH46_870
ko:K01972	ypl:CH46_873
ko:K00942	ypl:CH46_874
ko:K03060	ypl:CH46_875
ko:K00556	ypl:CH46_877
ko:K03655	ypl:CH46_878
ko:K03312	ypl:CH46_879
ko:K16345	ypl:CH46_880
ko:K07560	ypl:CH46_885
ko:K06858	ypl:CH46_1705
ko:K01243	ypl:CH46_1706
ko:K01129	ypl:CH46_1707
ko:K07678	ypl:CH46_1709
ko:K00951	ypl:CH46_1710
ko:K04765	ypl:CH46_1711
ko:K01937	ypl:CH46_1712
ko:K01689	ypl:CH46_1713
ko:K04565	ypl:CH46_1714
ko:K10026	ypl:CH46_1715
ko:K01737	ypl:CH46_1716
ko:K00380	ypl:CH46_1717
ko:K00381	ypl:CH46_1718
ko:K00390	ypl:CH46_1719
ko:K00390	ypl:CH46_1724
ko:K02302	ypl:CH46_1728
ko:K00957	ypl:CH46_1729
ko:K00956	ypl:CH46_1730
ko:K00860	ypl:CH46_1731
ko:K05589	ypl:CH46_1733
ko:K00991	ypl:CH46_1734
ko:K01770	ypl:CH46_1735
ko:K06176	ypl:CH46_1736
ko:K03787	ypl:CH46_1737
ko:K00573	ypl:CH46_1738
ko:K06194	ypl:CH46_1739
ko:K03087	ypl:CH46_1740
ko:K03555	ypl:CH46_1741
ko:K01808	ypl:CH46_1742
ko:K05878	ypl:CH46_1745
ko:K05879	ypl:CH46_1746
ko:K03893	ypl:CH46_1748
ko:K01713	ypl:CH46_1752
ko:K00428	ypl:CH46_1753
ko:K16089	ypl:CH46_1755
ko:K02014	ypl:CH46_1756
ko:K00339	ypl:CH46_2567
ko:K00340	ypl:CH46_2568
ko:K00341	ypl:CH46_2569
ko:K00342	ypl:CH46_2570
ko:K00343	ypl:CH46_2571
ko:K00851	ypl:CH46_2574
ko:K00046	ypl:CH46_2575
ko:K01690	ypl:CH46_2581
ko:K05594	ypl:CH46_2583
ko:K02552	ypl:CH46_2585
ko:K02551	ypl:CH46_2586
ko:K08680	ypl:CH46_2587
ko:K01661	ypl:CH46_2588
ko:K02549	ypl:CH46_2589
ko:K01911	ypl:CH46_2590
ko:K06970	ypl:CH46_2593
ko:K03406	ypl:CH46_2598
ko:K10038	ypl:CH46_2599
ko:K10037	ypl:CH46_2600
ko:K10036	ypl:CH46_2601
ko:K04047	ypl:CH46_2603
ko:K00598	ypl:CH46_2604
ko:K11939	ypl:CH46_2606
ko:K11934	ypl:CH46_2607
ko:K00008	ypl:CH46_2611
ko:K10439	ypl:CH46_2612
ko:K10441	ypl:CH46_2613
ko:K10440	ypl:CH46_2614
ko:K02529	ypl:CH46_2615
ko:K16135	ypl:CH46_2616
ko:K07246	ypl:CH46_2617
ko:K01775	ypl:CH46_3439
ko:K03414	ypl:CH46_3445
ko:K03413	ypl:CH46_3446
ko:K03412	ypl:CH46_3447
ko:K00575	ypl:CH46_3448
ko:K03408	ypl:CH46_3459
ko:K03407	ypl:CH46_3460
ko:K02557	ypl:CH46_3461
ko:K02556	ypl:CH46_3462
ko:K02402	ypl:CH46_3463
ko:K02403	ypl:CH46_3464
ko:K01531	ypl:CH46_3465
ko:K07507	ypl:CH46_3466
ko:K05876	ypl:CH46_3467
ko:K05876	ypl:CH46_3468
ko:K03704	ypl:CH46_3470
ko:K01190	ypl:CH46_3471
ko:K03719	ypl:CH46_3474
ko:K01093	ypl:CH46_3477
ko:K03776	ypl:CH46_3481
ko:K00031	ypl:CH46_3484
ko:K06181	ypl:CH46_3485
