ko:K03638	lmox:AX24_02635
ko:K02822	lmox:AX24_11265
ko:K01990	lmox:AX24_11290
ko:K02358	lmox:AX24_11315
ko:K02355	lmox:AX24_11320
ko:K02992	lmox:AX24_11325
ko:K02950	lmox:AX24_11330
ko:K01129	lmox:AX24_11335
ko:K01783	lmox:AX24_11350
ko:K00615	lmox:AX24_11355
ko:K01783	lmox:AX24_11360
ko:K03797	lmox:AX24_07020
ko:K07213	lmox:AX24_07025
ko:K17686	lmox:AX24_07030
ko:K07260	lmox:AX24_07040
ko:K03784	lmox:AX24_07045
ko:K03810	lmox:AX24_07055
ko:K07305	lmox:AX24_07060
ko:K07304	lmox:AX24_07065
ko:K11068	lmox:AX24_07085
ko:K09773	lmox:AX24_07095
ko:K01006	lmox:AX24_07100
ko:K00563	lmox:AX24_07130
ko:K01938	lmox:AX24_07150
ko:K03704	lmox:AX24_07165
ko:K03469	lmox:AX24_07170
ko:K02954	lmox:AX24_07180
ko:K16169	lmox:AX24_07190
ko:K03816	lmox:AX24_07195
ko:K04069	lmox:AX24_04520
ko:K07727	lmox:AX24_04540
ko:K00626	lmox:AX24_04555
ko:K01641	lmox:AX24_04560
ko:K06902	lmox:AX24_04570
ko:K00075	lmox:AX24_04585
ko:K05847	lmox:AX24_04590
ko:K05845	lmox:AX24_04595
ko:K05846	lmox:AX24_04595
ko:K03322	lmox:AX24_04605
ko:K05846	lmox:AX24_04610
ko:K05845	lmox:AX24_04615
ko:K05846	lmox:AX24_04620
ko:K05847	lmox:AX24_04625
ko:K16789	lmox:AX24_04630
ko:K00383	lmox:AX24_04650
ko:K12574	lmox:AX24_04655
ko:K01714	lmox:AX24_04660
ko:K00928	lmox:AX24_04665
ko:K00133	lmox:AX24_04670
ko:K04564	lmox:AX24_04685
ko:K07533	lmox:AX24_04710
ko:K02076	lmox:AX24_04715
ko:K09816	lmox:AX24_04720
ko:K09817	lmox:AX24_04725
ko:K15986	lmox:AX24_04730
ko:K01151	lmox:AX24_04735
ko:K03527	lmox:AX24_04745
ko:K06967	lmox:AX24_04755
ko:K03086	lmox:AX24_04760
ko:K09768	lmox:AX24_04770
ko:K09773	lmox:AX24_04775
ko:K01879	lmox:AX24_04780
ko:K01878	lmox:AX24_04785
ko:K03584	lmox:AX24_04790
ko:K00891	lmox:AX24_06465
ko:K03215	lmox:AX24_06480
ko:K02434	lmox:AX24_06495
ko:K02433	lmox:AX24_06500
ko:K02435	lmox:AX24_06505
ko:K01972	lmox:AX24_06515
ko:K03657	lmox:AX24_06520
ko:K07094	lmox:AX24_06525
ko:K03308	lmox:AX24_06535
ko:K01945	lmox:AX24_06550
ko:K00602	lmox:AX24_06555
ko:K11175	lmox:AX24_06560
ko:K01933	lmox:AX24_06565
ko:K00764	lmox:AX24_06570
ko:K01952	lmox:AX24_06575
ko:K01952	lmox:AX24_06580
ko:K01952	lmox:AX24_06585
ko:K01923	lmox:AX24_06590
ko:K01756	lmox:AX24_06595
ko:K01589	lmox:AX24_06600
ko:K01588	lmox:AX24_06605
ko:K06950	lmox:AX24_06630
ko:K02013	lmox:AX24_06635
ko:K01258	lmox:AX24_06645
ko:K01142	lmox:AX24_06655
ko:K02887	lmox:AX24_06660
ko:K02916	lmox:AX24_06665
ko:K02520	lmox:AX24_06670
ko:K02884	lmox:AX24_06695
ko:K00554	lmox:AX24_06720
ko:K02860	lmox:AX24_06725
ko:K07010	lmox:AX24_06735
ko:K06960	lmox:AX24_06740
ko:K02959	lmox:AX24_06745
ko:K01104	lmox:AX24_06760
ko:K03106	lmox:AX24_06765
ko:K09787	lmox:AX24_06770
ko:K03110	lmox:AX24_06775
ko:K03529	lmox:AX24_06780
ko:K03685	lmox:AX24_06785
ko:K02078	lmox:AX24_06795
ko:K00059	lmox:AX24_06800
ko:K00645	lmox:AX24_06805
ko:K03621	lmox:AX24_06810
ko:K03655	lmox:AX24_06820
ko:K01752	lmox:AX24_06825
ko:K01752	lmox:AX24_06830
ko:K07030	lmox:AX24_06835
ko:K02902	lmox:AX24_06845
ko:K00949	lmox:AX24_06850
ko:K01783	lmox:AX24_06855
ko:K06949	lmox:AX24_06860
ko:K03500	lmox:AX24_06875
ko:K00604	lmox:AX24_06880
ko:K04066	lmox:AX24_06885
ko:K13038	lmox:AX24_06890
ko:K03060	lmox:AX24_06895
ko:K00942	lmox:AX24_06900
ko:K00762	lmox:AX24_06920
ko:K01591	lmox:AX24_06925
ko:K17828	lmox:AX24_06930
ko:K02823	lmox:AX24_06935
ko:K01955	lmox:AX24_06940
ko:K01956	lmox:AX24_06945
ko:K01465	lmox:AX24_06950
ko:K00609	lmox:AX24_06955
ko:K02824	lmox:AX24_06960
ko:K02825	lmox:AX24_06965
ko:K06180	lmox:AX24_06980
ko:K03101	lmox:AX24_06985
ko:K06901	lmox:AX24_06990
ko:K03327	lmox:AX24_06995
ko:K00989	lmox:AX24_03580
ko:K02428	lmox:AX24_03585
ko:K07095	lmox:AX24_03590
ko:K04750	lmox:AX24_03640
ko:K03574	lmox:AX24_03665
ko:K03486	lmox:AX24_03715
ko:K01226	lmox:AX24_03720
ko:K02818	lmox:AX24_03725
ko:K02819	lmox:AX24_03725
ko:K00147	lmox:AX24_03745
ko:K00931	lmox:AX24_03750
ko:K03545	lmox:AX24_03785
ko:K03544	lmox:AX24_03795
ko:K03100	lmox:AX24_03800
ko:K03100	lmox:AX24_03805
ko:K03100	lmox:AX24_03810
ko:K14540	lmox:AX24_03815
ko:K03470	lmox:AX24_03820
ko:K04096	lmox:AX24_03825
ko:K03168	lmox:AX24_03830
ko:K04094	lmox:AX24_03835
ko:K03733	lmox:AX24_03840
ko:K01419	lmox:AX24_03845
ko:K03667	lmox:AX24_03850
ko:K03706	lmox:AX24_03855
ko:K07107	lmox:AX24_03860
ko:K08591	lmox:AX24_03875
ko:K02622	lmox:AX24_03885
ko:K02621	lmox:AX24_03890
ko:K07173	lmox:AX24_03895
ko:K01126	lmox:AX24_03915
ko:K00111	lmox:AX24_03920
ko:K00791	lmox:AX24_03925
ko:K03666	lmox:AX24_03930
ko:K03665	lmox:AX24_03935
ko:K03713	lmox:AX24_03950
ko:K01915	lmox:AX24_03955
ko:K03893	lmox:AX24_03960
ko:K01356	lmox:AX24_03970
ko:K00615	lmox:AX24_03985
ko:K09976	lmox:AX24_03990
ko:K09903	lmox:AX24_04020
ko:K02838	lmox:AX24_04025
ko:K00806	lmox:AX24_04030
ko:K00981	lmox:AX24_04035
ko:K00099	lmox:AX24_04040
ko:K11749	lmox:AX24_04045
ko:K01881	lmox:AX24_04050
ko:K03763	lmox:AX24_04055
ko:K09748	lmox:AX24_04060
ko:K02600	lmox:AX24_04065
ko:K07742	lmox:AX24_04070
ko:K02519	lmox:AX24_04080
ko:K09764	lmox:AX24_04085
ko:K02834	lmox:AX24_04090
ko:K03177	lmox:AX24_04095
ko:K11753	lmox:AX24_04100
ko:K02956	lmox:AX24_04105
ko:K00962	lmox:AX24_04110
ko:K06949	lmox:AX24_04115
ko:K02913	lmox:AX24_04130
ko:K01934	lmox:AX24_04135
ko:K00845	lmox:AX24_04150
ko:K02249	lmox:AX24_04160
ko:K02248	lmox:AX24_04165
ko:K02247	lmox:AX24_04170
ko:K02246	lmox:AX24_04175
ko:K02245	lmox:AX24_04180
ko:K02244	lmox:AX24_04185
ko:K02243	lmox:AX24_04190
ko:K00605	lmox:AX24_04200
ko:K00282	lmox:AX24_04205
ko:K00283	lmox:AX24_04210
ko:K01262	lmox:AX24_04230
ko:K02356	lmox:AX24_04235
ko:K02160	lmox:AX24_04240
ko:K01961	lmox:AX24_04245
ko:K03625	lmox:AX24_04255
ko:K01491	lmox:AX24_04260
ko:K03601	lmox:AX24_04265
ko:K03602	lmox:AX24_04270
ko:K13789	lmox:AX24_04275
ko:K03704	lmox:AX24_04280
ko:K01662	lmox:AX24_04285
ko:K06442	lmox:AX24_04290
ko:K03402	lmox:AX24_04295
ko:K03631	lmox:AX24_04300
ko:K00929	lmox:AX24_04310
ko:K00382	lmox:AX24_04315
ko:K00166	lmox:AX24_04320
ko:K00167	lmox:AX24_04325
ko:K09699	lmox:AX24_04330
ko:K00033	lmox:AX24_04350
ko:K03217	lmox:AX24_04370
ko:K01512	lmox:AX24_04380
ko:K01823	lmox:AX24_04390
ko:K07146	lmox:AX24_04395
ko:K03466	lmox:AX24_04405
ko:K00286	lmox:AX24_04410
ko:K07335	lmox:AX24_04420
ko:K02056	lmox:AX24_04425
ko:K02057	lmox:AX24_04430
ko:K02057	lmox:AX24_04435
ko:K00059	lmox:AX24_04450
ko:K00995	lmox:AX24_04460
ko:K03742	lmox:AX24_04465
ko:K03823	lmox:AX24_04485
ko:K09769	lmox:AX24_04490
ko:K03555	lmox:AX24_04500
ko:K03572	lmox:AX24_04505
ko:K02443	lmox:AX24_04510
ko:K00656	lmox:AX24_04515
ko:K03439	lmox:AX24_05620
ko:K00824	lmox:AX24_05640
ko:K01439	lmox:AX24_05645
ko:K03574	lmox:AX24_05650
ko:K01695	lmox:AX24_05680
ko:K01696	lmox:AX24_05685
ko:K01817	lmox:AX24_05690
ko:K01609	lmox:AX24_05695
ko:K00766	lmox:AX24_05700
ko:K01658	lmox:AX24_05705
ko:K01657	lmox:AX24_05710
ko:K04072	lmox:AX24_05715
ko:K01246	lmox:AX24_05740
ko:K01681	lmox:AX24_05750
ko:K03547	lmox:AX24_05775
ko:K00655	lmox:AX24_05780
ko:K02357	lmox:AX24_05840
ko:K02967	lmox:AX24_05845
ko:K01808	lmox:AX24_11365
ko:K00008	lmox:AX24_11375
ko:K00008	lmox:AX24_11380
ko:K02775	lmox:AX24_11385
ko:K02774	lmox:AX24_11390
ko:K02773	lmox:AX24_11395
ko:K01808	lmox:AX24_11430
ko:K07667	lmox:AX24_11450
ko:K07646	lmox:AX24_11455
ko:K01548	lmox:AX24_11460
ko:K01547	lmox:AX24_11465
ko:K01546	lmox:AX24_11470
ko:K02760	lmox:AX24_11480
ko:K02761	lmox:AX24_11485
ko:K02759	lmox:AX24_11490
ko:K01531	lmox:AX24_11505
ko:K00943	lmox:AX24_11535
ko:K05878	lmox:AX24_11545
ko:K05879	lmox:AX24_11550
ko:K08310	lmox:AX24_11575
ko:K06187	lmox:AX24_11590
ko:K09747	lmox:AX24_11595
ko:K02343	lmox:AX24_11600
ko:K02761	lmox:AX24_11625
ko:K00851	lmox:AX24_11655
ko:K16012	lmox:AX24_11675
ko:K16013	lmox:AX24_11680
ko:K00426	lmox:AX24_11685
ko:K00425	lmox:AX24_11690
ko:K11991	lmox:AX24_11695
ko:K01895	lmox:AX24_11700
ko:K04750	lmox:AX24_11755
ko:K02768	lmox:AX24_11800
ko:K02769	lmox:AX24_11800
ko:K02770	lmox:AX24_11800
ko:K01191	lmox:AX24_11805
ko:K00865	lmox:AX24_11815
ko:K03699	lmox:AX24_11825
ko:K12410	lmox:AX24_11830
ko:K08161	lmox:AX24_11840
ko:K00616	lmox:AX24_11850
ko:K18104	lmox:AX24_11860
ko:K07343	lmox:AX24_11865
ko:K01875	lmox:AX24_11870
ko:K03342	lmox:AX24_11885
ko:K07258	lmox:AX24_11910
ko:K06978	lmox:AX24_11920
ko:K03654	lmox:AX24_11930
ko:K00088	lmox:AX24_11935
ko:K02760	lmox:AX24_11975
ko:K02761	lmox:AX24_11980
ko:K02759	lmox:AX24_11990
ko:K01990	lmox:AX24_12010
ko:K01919	lmox:AX24_12015
ko:K01223	lmox:AX24_12020
ko:K02755	lmox:AX24_12025
ko:K02756	lmox:AX24_12025
ko:K02757	lmox:AX24_12025
ko:K03488	lmox:AX24_12030
ko:K02003	lmox:AX24_12045
ko:K02004	lmox:AX24_12050
ko:K06942	lmox:AX24_12075
ko:K02759	lmox:AX24_12080
ko:K05349	lmox:AX24_12085
ko:K02760	lmox:AX24_12090
ko:K02761	lmox:AX24_12095
ko:K03491	lmox:AX24_12100
ko:K03781	lmox:AX24_12105
ko:K02798	lmox:AX24_12150
ko:K02799	lmox:AX24_12160
ko:K02800	lmox:AX24_12160
ko:K01788	lmox:AX24_12170
ko:K03501	lmox:AX24_12175
ko:K03495	lmox:AX24_12245
ko:K03650	lmox:AX24_12250
ko:K00059	lmox:AX24_12270
ko:K08170	lmox:AX24_12285
ko:K00058	lmox:AX24_12315
ko:K00831	lmox:AX24_12320
ko:K07078	lmox:AX24_12340
ko:K01838	lmox:AX24_12350
ko:K00865	lmox:AX24_12355
ko:K04844	lmox:AX24_12360
ko:K02026	lmox:AX24_12380
ko:K02025	lmox:AX24_12385
ko:K02027	lmox:AX24_12390
ko:K03534	lmox:AX24_12430
ko:K01629	lmox:AX24_12435
ko:K01813	lmox:AX24_12440
ko:K00848	lmox:AX24_12445
ko:K06610	lmox:AX24_12450
ko:K06346	lmox:AX24_12465
ko:K03217	lmox:AX24_12470
ko:K03536	lmox:AX24_12475
ko:K02914	lmox:AX24_12480
ko:K02313	lmox:AX24_12490
ko:K02338	lmox:AX24_12495
ko:K03629	lmox:AX24_12510
ko:K02470	lmox:AX24_12515
ko:K02469	lmox:AX24_12520
ko:K06131	lmox:AX24_12525
ko:K00657	lmox:AX24_12530
ko:K00869	lmox:AX24_12540
ko:K01597	lmox:AX24_12545
ko:K00938	lmox:AX24_12550
ko:K02826	lmox:AX24_12575
ko:K02827	lmox:AX24_12580
ko:K02828	lmox:AX24_12585
ko:K02829	lmox:AX24_12590
ko:K07282	lmox:AX24_12595
ko:K01223	lmox:AX24_12600
ko:K02793	lmox:AX24_12615
ko:K02794	lmox:AX24_12620
ko:K02795	lmox:AX24_12625
ko:K06201	lmox:AX24_12640
ko:K02755	lmox:AX24_12645
ko:K02756	lmox:AX24_12645
ko:K02757	lmox:AX24_12645
ko:K01990	lmox:AX24_12660
ko:K02529	lmox:AX24_12695
ko:K02761	lmox:AX24_12710
ko:K13252	lmox:AX24_12720
ko:K10536	lmox:AX24_12730
ko:K00926	lmox:AX24_12735
ko:K10536	lmox:AX24_12740
ko:K03481	lmox:AX24_12745
ko:K03975	lmox:AX24_12750
ko:K01478	lmox:AX24_12755
ko:K02990	lmox:AX24_12760
ko:K02963	lmox:AX24_12770
ko:K07813	lmox:AX24_12780
ko:K07706	lmox:AX24_12790
ko:K07707	lmox:AX24_12795
ko:K02939	lmox:AX24_12805
ko:K01939	lmox:AX24_12820
ko:K03466	lmox:AX24_12855
ko:K01183	lmox:AX24_13140
ko:K06147	lmox:AX24_13150
ko:K06147	lmox:AX24_13155
ko:K01448	lmox:AX24_13260
ko:K01081	lmox:AX24_13265
ko:K00088	lmox:AX24_13275
ko:K06975	lmox:AX24_13290
ko:K02035	lmox:AX24_13295
ko:K02033	lmox:AX24_13300
ko:K02034	lmox:AX24_13305
ko:K02035	lmox:AX24_13375
ko:K09815	lmox:AX24_13385
ko:K09817	lmox:AX24_13390
ko:K09816	lmox:AX24_13395
ko:K17763	lmox:AX24_13425
ko:K02341	lmox:AX24_13430
ko:K03478	lmox:AX24_13560
ko:K09685	lmox:AX24_13565
ko:K02005	lmox:AX24_13570
ko:K02003	lmox:AX24_13575
ko:K02004	lmox:AX24_13580
ko:K06412	lmox:AX24_13585
ko:K06412	lmox:AX24_13590
ko:K04042	lmox:AX24_13600
ko:K00948	lmox:AX24_13605
ko:K01771	lmox:AX24_13615
ko:K11031	lmox:AX24_13620
ko:K01114	lmox:AX24_13635
ko:K00016	lmox:AX24_13660
ko:K02897	lmox:AX24_13665
ko:K01056	lmox:AX24_13675
ko:K03723	lmox:AX24_13680
ko:K07571	lmox:AX24_13705
ko:K03798	lmox:AX24_13715
ko:K03525	lmox:AX24_13720
ko:K04083	lmox:AX24_13725
ko:K01738	lmox:AX24_13730
ko:K00796	lmox:AX24_13750
ko:K01633	lmox:AX24_13755
ko:K00950	lmox:AX24_13760
ko:K02809	lmox:AX24_05855
ko:K02810	lmox:AX24_05855
ko:K07106	lmox:AX24_05860
ko:K01869	lmox:AX24_05870
ko:K07139	lmox:AX24_05875
ko:K01953	lmox:AX24_05885
ko:K00789	lmox:AX24_05890
ko:K00016	lmox:AX24_05905
ko:K08998	lmox:AX24_05920
ko:K09815	lmox:AX24_05925
ko:K01911	lmox:AX24_05930
ko:K01661	lmox:AX24_05935
ko:K08680	lmox:AX24_05940
ko:K02551	lmox:AX24_05945
ko:K02552	lmox:AX24_05950
ko:K02548	lmox:AX24_05955
ko:K01760	lmox:AX24_05965
ko:K01739	lmox:AX24_05970
ko:K00549	lmox:AX24_05975
ko:K09825	lmox:AX24_06110
ko:K01845	lmox:AX24_06120
ko:K07586	lmox:AX24_06130
ko:K10780	lmox:AX24_06135
ko:K03575	lmox:AX24_06140
ko:K07038	lmox:AX24_06150
ko:K03565	lmox:AX24_06165
ko:K07071	lmox:AX24_06170
ko:K14205	lmox:AX24_06175
ko:K03790	lmox:AX24_06190
ko:K07058	lmox:AX24_06235
ko:K01265	lmox:AX24_06250
ko:K03839	lmox:AX24_06260
ko:K03569	lmox:AX24_06280
ko:K09963	lmox:AX24_06305
ko:K02759	lmox:AX24_06310
ko:K02760	lmox:AX24_06315
ko:K01990	lmox:AX24_06335
ko:K02529	lmox:AX24_06350
ko:K05349	lmox:AX24_06360
ko:K02027	lmox:AX24_06365
ko:K02025	lmox:AX24_06370
ko:K02026	lmox:AX24_06375
ko:K00266	lmox:AX24_06380
ko:K00265	lmox:AX24_06385
ko:K08317	lmox:AX24_06400
ko:K02030	lmox:AX24_06405
ko:K02028	lmox:AX24_06410
ko:K02029	lmox:AX24_06415
ko:K01486	lmox:AX24_06430
ko:K02004	lmox:AX24_06450
ko:K02003	lmox:AX24_06455
ko:K01299	lmox:AX24_07200
ko:K07444	lmox:AX24_07205
ko:K03700	lmox:AX24_07230
ko:K10773	lmox:AX24_07245
ko:K02086	lmox:AX24_07250
ko:K01893	lmox:AX24_07255
ko:K00812	lmox:AX24_07260
ko:K01579	lmox:AX24_07275
ko:K01918	lmox:AX24_07280
ko:K00606	lmox:AX24_07285
ko:K03524	lmox:AX24_07295
ko:K00974	lmox:AX24_07300
ko:K01734	lmox:AX24_07305
ko:K00215	lmox:AX24_07310
ko:K00027	lmox:AX24_07350
ko:K00656	lmox:AX24_07360
ko:K07007	lmox:AX24_07365
ko:K06973	lmox:AX24_07370
ko:K00800	lmox:AX24_07390
ko:K04517	lmox:AX24_07395
ko:K00817	lmox:AX24_07400
ko:K06208	lmox:AX24_07405
ko:K01735	lmox:AX24_07410
ko:K01736	lmox:AX24_07415
ko:K00940	lmox:AX24_07420
ko:K00805	lmox:AX24_07425
ko:K03183	lmox:AX24_07430
ko:K00805	lmox:AX24_07435
ko:K01495	lmox:AX24_07440
ko:K03530	lmox:AX24_07445
ko:K01104	lmox:AX24_07455
ko:K00057	lmox:AX24_07460
ko:K03977	lmox:AX24_07465
ko:K03639	lmox:AX24_02630
ko:K03827	lmox:AX24_02985
ko:K06889	lmox:AX24_02995
ko:K01358	lmox:AX24_03060
ko:K02304	lmox:AX24_03070
ko:K04031	lmox:AX24_03085
ko:K04029	lmox:AX24_03090
ko:K02231	lmox:AX24_03100
ko:K02233	lmox:AX24_03105
ko:K02226	lmox:AX24_03110
ko:K13919	lmox:AX24_03140
ko:K13920	lmox:AX24_03145
ko:K13923	lmox:AX24_03170
ko:K04024	lmox:AX24_03175
ko:K13922	lmox:AX24_03195
ko:K13921	lmox:AX24_03200
ko:K02440	lmox:AX24_03205
ko:K00925	lmox:AX24_03210
ko:K04720	lmox:AX24_03215
ko:K16651	lmox:AX24_03220
ko:K04019	lmox:AX24_03255
ko:K03735	lmox:AX24_03260
ko:K03736	lmox:AX24_03265
ko:K04026	lmox:AX24_03270
ko:K04027	lmox:AX24_03285
ko:K04032	lmox:AX24_03290
ko:K04023	lmox:AX24_03315
ko:K04030	lmox:AX24_03320
ko:K02224	lmox:AX24_03335
ko:K02227	lmox:AX24_03340
ko:K06042	lmox:AX24_03345
ko:K02188	lmox:AX24_03350
ko:K03399	lmox:AX24_03355
ko:K02191	lmox:AX24_03360
ko:K05936	lmox:AX24_03365
ko:K02189	lmox:AX24_03370
ko:K05895	lmox:AX24_03380
ko:K13542	lmox:AX24_03385
ko:K02190	lmox:AX24_03390
ko:K03394	lmox:AX24_03395
ko:K02007	lmox:AX24_03400
ko:K02009	lmox:AX24_03405
ko:K02008	lmox:AX24_03410
ko:K02006	lmox:AX24_03415
ko:K02232	lmox:AX24_03420
ko:K09936	lmox:AX24_03430
ko:K09936	lmox:AX24_03435
ko:K03437	lmox:AX24_03475
ko:K01889	lmox:AX24_03490
ko:K01890	lmox:AX24_03495
ko:K02003	lmox:AX24_03500
ko:K02004	lmox:AX24_03505
ko:K06994	lmox:AX24_03515
ko:K03648	lmox:AX24_03520
ko:K03471	lmox:AX24_03525
ko:K09888	lmox:AX24_03530
ko:K02347	lmox:AX24_03540
ko:K07456	lmox:AX24_03545
ko:K03671	lmox:AX24_03550
ko:K03703	lmox:AX24_03555
ko:K00928	lmox:AX24_03560
ko:K01776	lmox:AX24_03575
ko:K01489	lmox:AX24_04805
ko:K07042	lmox:AX24_04815
ko:K07037	lmox:AX24_04820
ko:K09117	lmox:AX24_04835
ko:K02970	lmox:AX24_04840
ko:K09761	lmox:AX24_04845
ko:K02687	lmox:AX24_04850
ko:K03686	lmox:AX24_04855
ko:K04043	lmox:AX24_04860
ko:K03687	lmox:AX24_04865
ko:K03705	lmox:AX24_04870
ko:K03596	lmox:AX24_04890
ko:K02968	lmox:AX24_04895
ko:K02340	lmox:AX24_04900
ko:K02238	lmox:AX24_04905
ko:K02237	lmox:AX24_04915
ko:K09710	lmox:AX24_04925
ko:K00969	lmox:AX24_04935
ko:K07574	lmox:AX24_04940
ko:K00014	lmox:AX24_04945
ko:K06948	lmox:AX24_04950
ko:K07015	lmox:AX24_04955
ko:K01243	lmox:AX24_04965
ko:K03624	lmox:AX24_04975
ko:K00876	lmox:AX24_04985
ko:K07082	lmox:AX24_04995
ko:K07447	lmox:AX24_05010
ko:K01872	lmox:AX24_05020
ko:K02003	lmox:AX24_05025
ko:K02004	lmox:AX24_05030
ko:K03581	lmox:AX24_05045
ko:K00566	lmox:AX24_05060
ko:K04487	lmox:AX24_05065
ko:K07478	lmox:AX24_05070
ko:K17472	lmox:AX24_05075
ko:K03320	lmox:AX24_05085
ko:K04751	lmox:AX24_05090
ko:K01876	lmox:AX24_05100
ko:K01892	lmox:AX24_05105
ko:K01448	lmox:AX24_05110
ko:K07560	lmox:AX24_05115
ko:K00951	lmox:AX24_05120
ko:K00759	lmox:AX24_05125
ko:K07462	lmox:AX24_05130
ko:K12257	lmox:AX24_05140
ko:K03210	lmox:AX24_05150
ko:K00773	lmox:AX24_05155
ko:K07568	lmox:AX24_05160
ko:K03551	lmox:AX24_05165
ko:K03550	lmox:AX24_05170
ko:K00016	lmox:AX24_05175
ko:K04518	lmox:AX24_05185
ko:K03979	lmox:AX24_05190
ko:K00864	lmox:AX24_05195
ko:K02440	lmox:AX24_05200
ko:K02899	lmox:AX24_05205
ko:K07584	lmox:AX24_05210
ko:K02888	lmox:AX24_05215
ko:K08301	lmox:AX24_05220
ko:K03609	lmox:AX24_05225
ko:K03610	lmox:AX24_05230
ko:K03571	lmox:AX24_05235
ko:K03570	lmox:AX24_05240
ko:K03569	lmox:AX24_05245
ko:K03630	lmox:AX24_05255
ko:K02236	lmox:AX24_05260
ko:K11754	lmox:AX24_05270
ko:K01873	lmox:AX24_05275
ko:K01845	lmox:AX24_05280
ko:K01698	lmox:AX24_05285
ko:K01719	lmox:AX24_05290
ko:K01749	lmox:AX24_05295
ko:K02492	lmox:AX24_05300
ko:K03978	lmox:AX24_05305
ko:K01868	lmox:AX24_05310
ko:K11144	lmox:AX24_05320
ko:K03346	lmox:AX24_05325
ko:K04567	lmox:AX24_13770
ko:K03708	lmox:AX24_13850
ko:K03696	lmox:AX24_13865
ko:K04485	lmox:AX24_13870
ko:K01770	lmox:AX24_13885
ko:K09698	lmox:AX24_13890
ko:K00640	lmox:AX24_13900
ko:K01883	lmox:AX24_13905
ko:K11145	lmox:AX24_13910
ko:K03218	lmox:AX24_13915
ko:K06962	lmox:AX24_13920
ko:K03091	lmox:AX24_13925
ko:K02913	lmox:AX24_13930
ko:K03073	lmox:AX24_13935
ko:K02601	lmox:AX24_13940
ko:K02867	lmox:AX24_13950
ko:K02863	lmox:AX24_13955
ko:K02864	lmox:AX24_13960
ko:K02935	lmox:AX24_13965
ko:K00564	lmox:AX24_13970
ko:K00991	lmox:AX24_13880
ko:K02072	lmox:AX24_14190
ko:K02071	lmox:AX24_14195
ko:K02073	lmox:AX24_14200
ko:K08969	lmox:AX24_14205
ko:K07668	lmox:AX24_14210
ko:K07652	lmox:AX24_14215
ko:K00783	lmox:AX24_14255
ko:K03491	lmox:AX24_14275
ko:K02761	lmox:AX24_14280
ko:K02760	lmox:AX24_14285
