ko:K19302	hpye:HPOKI154_04350
ko:K01079	hpye:HPOKI154_03335
ko:K02217	hpye:HPOKI154_03340
ko:K18285	hpye:HPOKI154_03345
ko:K07277	hpye:HPOKI154_03350
ko:K11784	hpye:HPOKI154_03355
ko:K02434	hpye:HPOKI154_03365
ko:K03469	hpye:HPOKI154_03380
ko:K03685	hpye:HPOKI154_03385
ko:K01736	hpye:HPOKI154_03390
ko:K11473	hpye:HPOKI154_03405
ko:K03306	hpye:HPOKI154_07460
ko:K01928	hpye:HPOKI154_07475
ko:K00616	hpye:HPOKI154_07480
ko:K02897	hpye:HPOKI154_07485
ko:K01056	hpye:HPOKI154_07490
ko:K11720	hpye:HPOKI154_07495
ko:K07318	hpye:HPOKI154_07500
ko:K09943	hpye:HPOKI154_07525
ko:K17686	hpye:HPOKI154_07530
ko:K11752	hpye:HPOKI154_07540
ko:K03312	hpye:HPOKI154_07545
ko:K00290	hpye:HPOKI154_07550
ko:K08591	hpye:HPOKI154_07560
ko:K01633	hpye:HPOKI154_07565
ko:K02014	hpye:HPOKI154_07575
ko:K01042	hpye:HPOKI154_07580
ko:K02600	hpye:HPOKI154_07585
ko:K01156	hpye:HPOKI154_07615
ko:K03655	hpye:HPOKI154_07625
ko:K01142	hpye:HPOKI154_07640
ko:K02313	hpye:HPOKI154_07655
ko:K00820	hpye:HPOKI154_07670
ko:K03427	hpye:HPOKI154_07685
ko:K01153	hpye:HPOKI154_07690
ko:K07043	hpye:HPOKI154_07695
ko:K16091	hpye:HPOKI154_07700
ko:K01476	hpye:HPOKI154_07710
ko:K00259	hpye:HPOKI154_07715
ko:K00858	hpye:HPOKI154_07735
ko:K03190	hpye:HPOKI154_00390
ko:K03189	hpye:HPOKI154_00395
ko:K03188	hpye:HPOKI154_00400
ko:K03187	hpye:HPOKI154_00405
ko:K03191	hpye:HPOKI154_00410
ko:K01428	hpye:HPOKI154_00420
ko:K14048	hpye:HPOKI154_00425
ko:K03101	hpye:HPOKI154_00435
ko:K03431	hpye:HPOKI154_00440
ko:K02968	hpye:HPOKI154_00445
ko:K02835	hpye:HPOKI154_00450
ko:K07491	hpye:HPOKI154_00470
ko:K03406	hpye:HPOKI154_00485
ko:K02996	hpye:HPOKI154_00490
ko:K02871	hpye:HPOKI154_00495
ko:K00116	hpye:HPOKI154_00510
ko:K03086	hpye:HPOKI154_00520
ko:K18284	hpye:HPOKI154_00525
ko:K00645	hpye:HPOKI154_00530
ko:K01733	hpye:HPOKI154_00575
ko:K03406	hpye:HPOKI154_00580
ko:K09765	hpye:HPOKI154_00585
ko:K01119	hpye:HPOKI154_00605
ko:K07173	hpye:HPOKI154_00610
ko:K01760	hpye:HPOKI154_00615
ko:K01738	hpye:HPOKI154_00620
ko:K04043	hpye:HPOKI154_00630
ko:K03687	hpye:HPOKI154_00635
ko:K03705	hpye:HPOKI154_00640
ko:K01628	hpye:HPOKI154_00645
ko:K01775	hpye:HPOKI154_04780
ko:K03310	hpye:HPOKI154_04785
ko:K00285	hpye:HPOKI154_04790
ko:K09022	hpye:HPOKI154_04795
ko:K00783	hpye:HPOKI154_04840
ko:K01963	hpye:HPOKI154_04845
ko:K03743	hpye:HPOKI154_04855
ko:K13292	hpye:HPOKI154_04870
ko:K06179	hpye:HPOKI154_04875
ko:K02527	hpye:HPOKI154_04880
ko:K07164	hpye:HPOKI154_04885
ko:K01878	hpye:HPOKI154_04895
ko:K00057	hpye:HPOKI154_04900
ko:K15726	hpye:HPOKI154_04925
ko:K01879	hpye:HPOKI154_04940
ko:K15633	hpye:HPOKI154_04950
ko:K02435	hpye:HPOKI154_04955
ko:K00833	hpye:HPOKI154_04960
ko:K03770	hpye:HPOKI154_04965
ko:K03590	hpye:HPOKI154_04970
ko:K03531	hpye:HPOKI154_04975
ko:K04075	hpye:HPOKI154_03695
ko:K00769	hpye:HPOKI154_03730
ko:K01095	hpye:HPOKI154_03740
ko:K01921	hpye:HPOKI154_03745
ko:K01929	hpye:HPOKI154_03755
ko:K00948	hpye:HPOKI154_03765
ko:K06180	hpye:HPOKI154_03785
ko:K03439	hpye:HPOKI154_03795
ko:K09812	hpye:HPOKI154_03800
ko:K09811	hpye:HPOKI154_03805
ko:K06603	hpye:HPOKI154_03815
ko:K02407	hpye:HPOKI154_03820
ko:K02422	hpye:HPOKI154_03825
ko:K12251	hpye:HPOKI154_03845
ko:K07084	hpye:HPOKI154_03855
ko:K18682	hpye:HPOKI154_03865
ko:K01934	hpye:HPOKI154_03870
ko:K03110	hpye:HPOKI154_03885
ko:K06940	hpye:HPOKI154_03890
ko:K03639	hpye:HPOKI154_03910
ko:K03752	hpye:HPOKI154_03915
ko:K02401	hpye:HPOKI154_03920
ko:K01448	hpye:HPOKI154_03930
ko:K00459	hpye:HPOKI154_03935
ko:K01866	hpye:HPOKI154_03940
ko:K03060	hpye:HPOKI154_03950
ko:K09903	hpye:HPOKI154_03955
ko:K11782	hpye:HPOKI154_03960
ko:K01918	hpye:HPOKI154_08030
ko:K01591	hpye:HPOKI154_08035
ko:K01673	hpye:HPOKI154_08040
ko:K01627	hpye:HPOKI154_08045
ko:K00794	hpye:HPOKI154_08050
ko:K02406	hpye:HPOKI154_00660
ko:K03168	hpye:HPOKI154_00665
ko:K01868	hpye:HPOKI154_00690
ko:K02520	hpye:HPOKI154_00695
ko:K02916	hpye:HPOKI154_00700
ko:K02887	hpye:HPOKI154_00705
ko:K03837	hpye:HPOKI154_00735
ko:K01626	hpye:HPOKI154_00740
ko:K03564	hpye:HPOKI154_00755
ko:K00782	hpye:HPOKI154_00760
ko:K18929	hpye:HPOKI154_00765
ko:K18928	hpye:HPOKI154_00770
ko:K03303	hpye:HPOKI154_00775
ko:K03303	hpye:HPOKI154_00780
ko:K03575	hpye:HPOKI154_00785
ko:K09477	hpye:HPOKI154_00790
ko:K00404	hpye:HPOKI154_00795
ko:K00405	hpye:HPOKI154_00800
ko:K00407	hpye:HPOKI154_00805
ko:K00406	hpye:HPOKI154_00810
ko:K11785	hpye:HPOKI154_00840
ko:K01689	hpye:HPOKI154_00850
ko:K00891	hpye:HPOKI154_00865
ko:K03279	hpye:HPOKI154_00875
ko:K07126	hpye:HPOKI154_00880
ko:K01698	hpye:HPOKI154_00895
ko:K02484	hpye:HPOKI154_00900
ko:K08303	hpye:HPOKI154_00920
ko:K01585	hpye:HPOKI154_05105
ko:K15257	hpye:HPOKI154_05120
ko:K01772	hpye:HPOKI154_05125
ko:K01874	hpye:HPOKI154_05130
ko:K00574	hpye:HPOKI154_05135
ko:K16052	hpye:HPOKI154_05140
ko:K15846	hpye:HPOKI154_05180
ko:K01951	hpye:HPOKI154_05185
ko:K07812	hpye:HPOKI154_05195
ko:K02503	hpye:HPOKI154_05210
ko:K01889	hpye:HPOKI154_05220
ko:K01890	hpye:HPOKI154_05225
ko:K00800	hpye:HPOKI154_05230
ko:K03527	hpye:HPOKI154_05235
ko:K02945	hpye:HPOKI154_05240
ko:K00058	hpye:HPOKI154_05250
ko:K03182	hpye:HPOKI154_05255
ko:K13819	hpye:HPOKI154_01205
ko:K04485	hpye:HPOKI154_01220
ko:K12267	hpye:HPOKI154_01230
ko:K07090	hpye:HPOKI154_01240
ko:K03321	hpye:HPOKI154_01250
ko:K00979	hpye:HPOKI154_01265
ko:K03981	hpye:HPOKI154_01270
ko:K07126	hpye:HPOKI154_01295
ko:K01749	hpye:HPOKI154_01305
ko:K01881	hpye:HPOKI154_01310
ko:K02492	hpye:HPOKI154_01315
ko:K02523	hpye:HPOKI154_01320
ko:K04047	hpye:HPOKI154_01335
ko:K07710	hpye:HPOKI154_01340
ko:K02394	hpye:HPOKI154_01350
ko:K05592	hpye:HPOKI154_01355
ko:K13896	hpye:HPOKI154_01370
ko:K13895	hpye:HPOKI154_01375
ko:K01939	hpye:HPOKI154_01400
ko:K11749	hpye:HPOKI154_01415
ko:K03601	hpye:HPOKI154_01420
ko:K07316	hpye:HPOKI154_01425
ko:K03695	hpye:HPOKI154_01445
ko:K06196	hpye:HPOKI154_01450
ko:K01465	hpye:HPOKI154_01455
ko:K06168	hpye:HPOKI154_01470
ko:K09778	hpye:HPOKI154_01475
ko:K03640	hpye:HPOKI154_05610
ko:K03641	hpye:HPOKI154_05615
ko:K03559	hpye:HPOKI154_05625
ko:K02114	hpye:HPOKI154_05635
ko:K02112	hpye:HPOKI154_05640
ko:K02115	hpye:HPOKI154_05645
ko:K02111	hpye:HPOKI154_05650
ko:K02113	hpye:HPOKI154_05655
ko:K02109	hpye:HPOKI154_05660
ko:K02109	hpye:HPOKI154_05665
ko:K03497	hpye:HPOKI154_05670
ko:K03496	hpye:HPOKI154_05675
ko:K03524	hpye:HPOKI154_05680
ko:K00604	hpye:HPOKI154_05685
ko:K02884	hpye:HPOKI154_05720
ko:K00554	hpye:HPOKI154_05725
ko:K02860	hpye:HPOKI154_05730
ko:K06960	hpye:HPOKI154_05735
ko:K02959	hpye:HPOKI154_05740
ko:K03106	hpye:HPOKI154_05745
ko:K01873	hpye:HPOKI154_05750
ko:K02563	hpye:HPOKI154_05760
ko:K00286	hpye:HPOKI154_05775
ko:K04095	hpye:HPOKI154_05780
ko:K07042	hpye:HPOKI154_05785
ko:K03839	hpye:HPOKI154_05790
ko:K00384	hpye:HPOKI154_05805
ko:K01810	hpye:HPOKI154_05815
ko:K06200	hpye:HPOKI154_05830
ko:K02029	hpye:HPOKI154_05835
ko:K02029	hpye:HPOKI154_05840
ko:K02028	hpye:HPOKI154_05845
ko:K02030	hpye:HPOKI154_05850
ko:K02429	hpye:HPOKI154_05860
ko:K06997	hpye:HPOKI154_05260
ko:K03269	hpye:HPOKI154_05265
ko:K03415	hpye:HPOKI154_05270
ko:K03407	hpye:HPOKI154_05275
ko:K03408	hpye:HPOKI154_05280
ko:K11065	hpye:HPOKI154_05290
ko:K04564	hpye:HPOKI154_05295
ko:K15256	hpye:HPOKI154_05300
ko:K04066	hpye:HPOKI154_05305
ko:K06013	hpye:HPOKI154_05330
ko:K02493	hpye:HPOKI154_05335
ko:K00262	hpye:HPOKI154_05340
ko:K15896	hpye:HPOKI154_01765
ko:K00912	hpye:HPOKI154_01770
ko:K01916	hpye:HPOKI154_01775
ko:K03609	hpye:HPOKI154_01790
ko:K03608	hpye:HPOKI154_01795
ko:K04096	hpye:HPOKI154_01800
ko:K07447	hpye:HPOKI154_01805
ko:K07126	hpye:HPOKI154_01810
ko:K06180	hpye:HPOKI154_01830
ko:K07462	hpye:HPOKI154_01835
ko:K01937	hpye:HPOKI154_01840
ko:K02409	hpye:HPOKI154_01850
ko:K02410	hpye:HPOKI154_01855
ko:K02411	hpye:HPOKI154_01860
ko:K01662	hpye:HPOKI154_01865
ko:K03596	hpye:HPOKI154_01870
ko:K02392	hpye:HPOKI154_01885
ko:K03761	hpye:HPOKI154_01890
ko:K03466	hpye:HPOKI154_01895
ko:K00615	hpye:HPOKI154_01905
ko:K11753	hpye:HPOKI154_01910
ko:K06442	hpye:HPOKI154_01915
ko:K00609	hpye:HPOKI154_01925
ko:K11085	hpye:HPOKI154_01935
ko:K07241	hpye:HPOKI154_01960
ko:K17686	hpye:HPOKI154_01985
ko:K17103	hpye:HPOKI154_01990
ko:K03798	hpye:HPOKI154_02000
ko:K02687	hpye:HPOKI154_02005
ko:K03413	hpye:HPOKI154_02010
ko:K06950	hpye:HPOKI154_02030
ko:K01945	hpye:HPOKI154_06135
ko:K01990	hpye:HPOKI154_06140
ko:K00806	hpye:HPOKI154_06145
ko:K18930	hpye:HPOKI154_06150
ko:K01719	hpye:HPOKI154_06160
ko:K06199	hpye:HPOKI154_06165
ko:K08311	hpye:HPOKI154_06180
ko:K00928	hpye:HPOKI154_06185
ko:K02341	hpye:HPOKI154_06195
ko:K00796	hpye:HPOKI154_06200
ko:K09804	hpye:HPOKI154_06225
ko:K01956	hpye:HPOKI154_06230
ko:K01455	hpye:HPOKI154_06235
ko:K01119	hpye:HPOKI154_06240
ko:K06287	hpye:HPOKI154_06250
ko:K01872	hpye:HPOKI154_06255
ko:K09794	hpye:HPOKI154_06260
ko:K02963	hpye:HPOKI154_06290
ko:K03111	hpye:HPOKI154_06295
ko:K02990	hpye:HPOKI154_06300
ko:K02340	hpye:HPOKI154_06305
ko:K12573	hpye:HPOKI154_06310
ko:K00014	hpye:HPOKI154_06315
ko:K13894	hpye:HPOKI154_06325
ko:K13893	hpye:HPOKI154_06330
ko:K01867	hpye:HPOKI154_06335
ko:K02169	hpye:HPOKI154_06340
