ko:K02495	elu:UM146_19570
ko:K07711	elu:UM146_03940
ko:K07715	elu:UM146_03950
ko:K04751	elu:UM146_03955
ko:K05916	elu:UM146_03960
ko:K00600	elu:UM146_03965
ko:K02057	elu:UM146_03990
ko:K15977	elu:UM146_04005
ko:K05820	elu:UM146_04010
ko:K15396	elu:UM146_04040
ko:K13643	elu:UM146_04045
ko:K04487	elu:UM146_04050
ko:K04082	elu:UM146_04065
ko:K04044	elu:UM146_04070
ko:K04755	elu:UM146_04075
ko:K07751	elu:UM146_04085
ko:K06894	elu:UM146_04100
ko:K00940	elu:UM146_04115
ko:K06941	elu:UM146_04120
ko:K15539	elu:UM146_04125
ko:K01892	elu:UM146_04135
ko:K03977	elu:UM146_04150
ko:K13735	elu:UM146_04160
ko:K03601	elu:UM146_04175
ko:K01951	elu:UM146_04185
ko:K01792	elu:UM146_08245
ko:K00134	elu:UM146_08250
ko:K09916	elu:UM146_08260
ko:K08369	elu:UM146_08270
ko:K08369	elu:UM146_08300
ko:K08281	elu:UM146_08305
ko:K04773	elu:UM146_08315
ko:K01008	elu:UM146_08325
ko:K00262	elu:UM146_08335
ko:K08320	elu:UM146_08345
ko:K05779	elu:UM146_08360
ko:K05778	elu:UM146_08365
ko:K01142	elu:UM146_08400
ko:K00840	elu:UM146_08405
ko:K00673	elu:UM146_08410
ko:K03557	elu:UM146_00060
ko:K02687	elu:UM146_00070
ko:K14392	elu:UM146_00075
ko:K10441	elu:UM146_00105
ko:K01961	elu:UM146_00130
ko:K02160	elu:UM146_00135
ko:K03569	elu:UM146_00155
ko:K03570	elu:UM146_00160
ko:K03571	elu:UM146_00170
ko:K06287	elu:UM146_00175
ko:K08301	elu:UM146_00180
ko:K03568	elu:UM146_00190
ko:K15548	elu:UM146_00205
ko:K03468	elu:UM146_00210
ko:K03623	elu:UM146_00215
ko:K03402	elu:UM146_00225
ko:K00024	elu:UM146_00230
ko:K04691	elu:UM146_00235
ko:K09908	elu:UM146_00245
ko:K06916	elu:UM146_00250
ko:K02871	elu:UM146_00255
ko:K02996	elu:UM146_00260
ko:K03599	elu:UM146_00265
ko:K03600	elu:UM146_00270
ko:K03290	elu:UM146_00285
ko:K00885	elu:UM146_00295
ko:K00266	elu:UM146_00305
ko:K07139	elu:UM146_00325
ko:K07648	elu:UM146_00330
ko:K03814	elu:UM146_00340
ko:K07223	elu:UM146_04480
ko:K11191	elu:UM146_04485
ko:K11192	elu:UM146_04485
ko:K07106	elu:UM146_04490
ko:K02048	elu:UM146_04500
ko:K02046	elu:UM146_04505
ko:K02047	elu:UM146_04510
ko:K02045	elu:UM146_04515
ko:K12339	elu:UM146_04520
ko:K00868	elu:UM146_04530
ko:K01738	elu:UM146_04550
ko:K06203	elu:UM146_04555
ko:K03528	elu:UM146_04560
ko:K01972	elu:UM146_04565
ko:K09954	elu:UM146_04570
ko:K14347	elu:UM146_04575
ko:K03815	elu:UM146_04590
ko:K11537	elu:UM146_04595
ko:K11535	elu:UM146_04630
ko:K03322	elu:UM146_04640
ko:K11202	elu:UM146_04665
ko:K11203	elu:UM146_04670
ko:K08326	elu:UM146_04675
ko:K08483	elu:UM146_04685
ko:K11189	elu:UM146_04685
ko:K11201	elu:UM146_04685
ko:K02478	elu:UM146_04700
ko:K08354	elu:UM146_08805
ko:K03327	elu:UM146_08830
ko:K00793	elu:UM146_08835
ko:K00574	elu:UM146_08840
ko:K04564	elu:UM146_08870
ko:K07390	elu:UM146_08880
ko:K03683	elu:UM146_08890
ko:K10680	elu:UM146_08900
ko:K06938	elu:UM146_08910
ko:K06077	elu:UM146_08945
ko:K09001	elu:UM146_08950
ko:K00275	elu:UM146_08960
ko:K01866	elu:UM146_08965
ko:K00868	elu:UM146_08970
ko:K03305	elu:UM146_08980
ko:K10773	elu:UM146_08990
ko:K00684	elu:UM146_13110
ko:K02518	elu:UM146_13115
ko:K15342	elu:UM146_13150
ko:K03694	elu:UM146_13155
ko:K06891	elu:UM146_13160
ko:K03704	elu:UM146_13245
ko:K05685	elu:UM146_13250
ko:K13888	elu:UM146_13255
ko:K09824	elu:UM146_13260
ko:K06188	elu:UM146_13275
ko:K11933	elu:UM146_13290
ko:K00156	elu:UM146_13295
ko:K01620	elu:UM146_13300
ko:K11066	elu:UM146_13315
ko:K09997	elu:UM146_13335
ko:K09999	elu:UM146_13340
ko:K09996	elu:UM146_13350
ko:K03212	elu:UM146_13355
ko:K11074	elu:UM146_13365
ko:K00133	elu:UM146_17270
ko:K06156	elu:UM146_17280
ko:K06145	elu:UM146_17290
ko:K06911	elu:UM146_17295
ko:K01126	elu:UM146_17335
ko:K05813	elu:UM146_17355
ko:K01996	elu:UM146_17360
ko:K01995	elu:UM146_17365
ko:K01998	elu:UM146_17370
ko:K01997	elu:UM146_17375
ko:K01999	elu:UM146_17380
ko:K01999	elu:UM146_17395
ko:K01714	elu:UM146_17425
ko:K03089	elu:UM146_17430
ko:K09811	elu:UM146_17435
ko:K09812	elu:UM146_17440
ko:K03110	elu:UM146_17445
ko:K08993	elu:UM146_17455
ko:K01534	elu:UM146_17470
ko:K09125	elu:UM146_17480
ko:K06133	elu:UM146_17500
ko:K15584	elu:UM146_17505
ko:K15585	elu:UM146_17510
ko:K15586	elu:UM146_17515
ko:K15587	elu:UM146_17520
ko:K00610	elu:UM146_21485
ko:K00609	elu:UM146_21490
ko:K00611	elu:UM146_21510
ko:K00926	elu:UM146_21515
ko:K00611	elu:UM146_21530
ko:K09893	elu:UM146_21535
ko:K03828	elu:UM146_21540
ko:K01873	elu:UM146_21550
ko:K02339	elu:UM146_21555
ko:K01255	elu:UM146_21560
ko:K07091	elu:UM146_21565
ko:K11720	elu:UM146_21570
ko:K06915	elu:UM146_21575
ko:K06146	elu:UM146_21580
ko:K06157	elu:UM146_21585
ko:K00098	elu:UM146_21595
ko:K12957	elu:UM146_21605
ko:K07347	elu:UM146_21735
ko:K09968	elu:UM146_03595
ko:K03664	elu:UM146_03615
ko:K09801	elu:UM146_03625
ko:K06186	elu:UM146_03630
ko:K03631	elu:UM146_03635
ko:K00858	elu:UM146_03640
ko:K14064	elu:UM146_07685
ko:K02403	elu:UM146_07690
ko:K02402	elu:UM146_07695
ko:K02556	elu:UM146_07700
ko:K02557	elu:UM146_07705
ko:K03407	elu:UM146_07710
ko:K03408	elu:UM146_07715
ko:K03412	elu:UM146_07735
ko:K03413	elu:UM146_07740
ko:K03414	elu:UM146_07745
ko:K02401	elu:UM146_07755
ko:K02400	elu:UM146_07760
ko:K03516	elu:UM146_07765
ko:K01887	elu:UM146_07770
ko:K09907	elu:UM146_07780
ko:K07821	elu:UM146_07790
ko:K15257	elu:UM146_07800
ko:K15256	elu:UM146_07805
ko:K01876	elu:UM146_07820
ko:K08310	elu:UM146_07825
ko:K01159	elu:UM146_07835
ko:K03550	elu:UM146_07845
ko:K03551	elu:UM146_07850
ko:K09816	elu:UM146_07855
ko:K09817	elu:UM146_07860
ko:K02560	elu:UM146_07875
ko:K00873	elu:UM146_07880
ko:K00036	elu:UM146_07895
ko:K01690	elu:UM146_07900
ko:K01625	elu:UM146_07905
ko:K08289	elu:UM146_07910
ko:K09918	elu:UM146_07915
ko:K01354	elu:UM146_07935
ko:K10857	elu:UM146_07940
ko:K01465	elu:UM146_12020
ko:K12149	elu:UM146_12025
ko:K12148	elu:UM146_12030
ko:K02846	elu:UM146_12035
ko:K07146	elu:UM146_12055
ko:K02517	elu:UM146_12060
ko:K12147	elu:UM146_12070
ko:K03669	elu:UM146_12080
ko:K03670	elu:UM146_12085
ko:K11941	elu:UM146_12090
ko:K04336	elu:UM146_12110
ko:K04334	elu:UM146_12115
ko:K04335	elu:UM146_12120
ko:K04337	elu:UM146_12130
ko:K04338	elu:UM146_12135
ko:K06214	elu:UM146_12140
ko:K12972	elu:UM146_12160
ko:K12687	elu:UM146_12220
ko:K06946	elu:UM146_12225
ko:K08307	elu:UM146_16275
ko:K06222	elu:UM146_16295
ko:K00014	elu:UM146_16315
ko:K07566	elu:UM146_16320
ko:K07479	elu:UM146_16325
ko:K04096	elu:UM146_16335
ko:K01462	elu:UM146_16340
ko:K00604	elu:UM146_16345
ko:K03500	elu:UM146_16350
ko:K03282	elu:UM146_16360
ko:K09890	elu:UM146_16365
ko:K02879	elu:UM146_16380
ko:K03040	elu:UM146_16385
ko:K02986	elu:UM146_16390
ko:K02948	elu:UM146_16395
ko:K02952	elu:UM146_16400
ko:K02919	elu:UM146_16405
ko:K03076	elu:UM146_16410
ko:K02876	elu:UM146_16415
ko:K02907	elu:UM146_16420
ko:K06447	elu:UM146_08415
ko:K01484	elu:UM146_08425
ko:K05526	elu:UM146_08430
ko:K09975	elu:UM146_08440
ko:K05984	elu:UM146_08445
ko:K04064	elu:UM146_08455
ko:K02760	elu:UM146_08460
ko:K02761	elu:UM146_08465
ko:K02759	elu:UM146_08470
ko:K03490	elu:UM146_08475
ko:K03781	elu:UM146_08490
ko:K15722	elu:UM146_08495
ko:K06956	elu:UM146_08500
ko:K07038	elu:UM146_08505
ko:K09023	elu:UM146_12565
ko:K09019	elu:UM146_12570
ko:K09024	elu:UM146_12575
ko:K09016	elu:UM146_12585
ko:K03809	elu:UM146_12595
ko:K01085	elu:UM146_12605
ko:K05516	elu:UM146_12610
ko:K03533	elu:UM146_12620
ko:K07811	elu:UM146_12625
ko:K03532	elu:UM146_12630
ko:K11930	elu:UM146_12640
ko:K07647	elu:UM146_12645
ko:K03704	elu:UM146_12665
ko:K03704	elu:UM146_12670
ko:K01093	elu:UM146_12675
ko:K00426	elu:UM146_12685
ko:K00425	elu:UM146_12690
ko:K03618	elu:UM146_12695
ko:K03619	elu:UM146_12700
ko:K03620	elu:UM146_12710
ko:K01512	elu:UM146_12735
ko:K06969	elu:UM146_12740
ko:K11940	elu:UM146_12745
ko:K06929	elu:UM146_12750
ko:K01734	elu:UM146_12760
ko:K03658	elu:UM146_12765
ko:K09911	elu:UM146_12795
ko:K04770	elu:UM146_12800
ko:K01716	elu:UM146_12805
ko:K03812	elu:UM146_12810
ko:K09857	elu:UM146_12815
ko:K06192	elu:UM146_12820
ko:K03808	elu:UM146_12825
ko:K02935	elu:UM146_16735
ko:K02864	elu:UM146_16740
ko:K02863	elu:UM146_16745
ko:K02867	elu:UM146_16750
ko:K02601	elu:UM146_16755
ko:K03073	elu:UM146_16760
ko:K02358	elu:UM146_16765
ko:K02355	elu:UM146_16770
ko:K02992	elu:UM146_16775
ko:K02950	elu:UM146_16780
ko:K07237	elu:UM146_16785
ko:K07236	elu:UM146_16790
ko:K07235	elu:UM146_16795
ko:K03745	elu:UM146_16810
ko:K03775	elu:UM146_16815
ko:K07070	elu:UM146_16820
ko:K06158	elu:UM146_16835
ko:K00855	elu:UM146_16850
ko:K07397	elu:UM146_16855
ko:K04095	elu:UM146_16885
ko:K06141	elu:UM146_16905
ko:K00362	elu:UM146_16910
ko:K00363	elu:UM146_16915
ko:K02598	elu:UM146_16920
ko:K02302	elu:UM146_16925
ko:K01867	elu:UM146_16975
ko:K01091	elu:UM146_16980
ko:K01783	elu:UM146_16985
ko:K03112	elu:UM146_16995
ko:K04078	elu:UM146_20950
ko:K04077	elu:UM146_20955
ko:K02356	elu:UM146_20975
ko:K03098	elu:UM146_20995
ko:K00246	elu:UM146_21010
ko:K04568	elu:UM146_21025
ko:K01613	elu:UM146_21050
ko:K06949	elu:UM146_21055
ko:K13288	elu:UM146_21060
ko:K06925	elu:UM146_21075
ko:K01448	elu:UM146_21080
ko:K03572	elu:UM146_21085
ko:K00791	elu:UM146_21090
ko:K03666	elu:UM146_21095
ko:K03665	elu:UM146_21100
ko:K04088	elu:UM146_21105
ko:K04087	elu:UM146_21110
ko:K09937	elu:UM146_21115
ko:K01939	elu:UM146_21125
ko:K13771	elu:UM146_21130
ko:K12573	elu:UM146_21135
ko:K03218	elu:UM146_21140
ko:K09980	elu:UM146_21145
ko:K08989	elu:UM146_21160
ko:K09456	elu:UM146_21175
ko:K03477	elu:UM146_21195
ko:K02988	elu:UM146_16425
ko:K02881	elu:UM146_16430
ko:K02933	elu:UM146_16435
ko:K02994	elu:UM146_16440
ko:K02954	elu:UM146_16445
ko:K02931	elu:UM146_16450
ko:K02895	elu:UM146_16455
ko:K02874	elu:UM146_16460
ko:K02961	elu:UM146_16465
ko:K02904	elu:UM146_16470
ko:K02878	elu:UM146_16475
ko:K02982	elu:UM146_16480
ko:K02890	elu:UM146_16485
ko:K02965	elu:UM146_16490
ko:K02886	elu:UM146_16495
ko:K10126	elu:UM146_20450
ko:K10125	elu:UM146_20455
ko:K03788	elu:UM146_20460
ko:K03701	elu:UM146_20475
ko:K13631	elu:UM146_20495
ko:K13639	elu:UM146_20500
ko:K06901	elu:UM146_20505
ko:K14393	elu:UM146_20530
ko:K01895	elu:UM146_20540
ko:K03385	elu:UM146_20545
ko:K04013	elu:UM146_20550
ko:K04016	elu:UM146_20565
ko:K11102	elu:UM146_20580
ko:K02034	elu:UM146_20600
ko:K15550	elu:UM146_20625
ko:K15547	elu:UM146_20630
ko:K15549	elu:UM146_20635
ko:K00881	elu:UM146_20650
ko:K10549	elu:UM146_20675
ko:K01808	elu:UM146_20685
ko:K06167	elu:UM146_20695
ko:K09022	elu:UM146_00765
ko:K05589	elu:UM146_02815
ko:K00991	elu:UM146_02820
ko:K01770	elu:UM146_02825
ko:K06176	elu:UM146_02830
ko:K03787	elu:UM146_02835
ko:K00573	elu:UM146_02840
ko:K06194	elu:UM146_02845
ko:K07314	elu:UM146_02895
ko:K03555	elu:UM146_02910
ko:K15836	elu:UM146_02925
ko:K04654	elu:UM146_02935
ko:K04653	elu:UM146_02940
ko:K04651	elu:UM146_02950
ko:K15833	elu:UM146_02955
ko:K15827	elu:UM146_02960
ko:K15828	elu:UM146_02965
ko:K15829	elu:UM146_02970
ko:K15830	elu:UM146_02975
ko:K15831	elu:UM146_02980
ko:K15832	elu:UM146_02985
ko:K15834	elu:UM146_02990
ko:K08315	elu:UM146_02995
ko:K01223	elu:UM146_03010
ko:K02752	elu:UM146_03015
ko:K02753	elu:UM146_03015
ko:K03487	elu:UM146_03020
ko:K05796	elu:UM146_03025
ko:K04656	elu:UM146_03030
ko:K12265	elu:UM146_03035
ko:K12264	elu:UM146_03040
ko:K12266	elu:UM146_03045
ko:K02467	elu:UM146_03050
ko:K02468	elu:UM146_03055
ko:K02781	elu:UM146_03070
ko:K13635	elu:UM146_07210
ko:K01241	elu:UM146_07225
ko:K15721	elu:UM146_07260
ko:K05374	elu:UM146_07270
ko:K04785	elu:UM146_07275
ko:K04786	elu:UM146_07280
ko:K05373	elu:UM146_07310
ko:K09933	elu:UM146_07330
ko:K07127	elu:UM146_07350
ko:K05523	elu:UM146_07365
ko:K06950	elu:UM146_07380
ko:K07458	elu:UM146_07390
ko:K09781	elu:UM146_07400
ko:K07026	elu:UM146_07415
ko:K00031	elu:UM146_11635
ko:K06181	elu:UM146_11640
ko:K12152	elu:UM146_11645
ko:K00566	elu:UM146_11650
ko:K07153	elu:UM146_11655
ko:K01756	elu:UM146_11660
ko:K07637	elu:UM146_11670
ko:K12410	elu:UM146_11720
ko:K09808	elu:UM146_11730
ko:K09808	elu:UM146_11740
ko:K03723	elu:UM146_11750
ko:K12151	elu:UM146_11760
ko:K02168	elu:UM146_15730
ko:K02167	elu:UM146_15735
ko:K07357	elu:UM146_15755
ko:K00782	elu:UM146_15780
ko:K13735	elu:UM146_15825
ko:K02909	elu:UM146_15865
ko:K02919	elu:UM146_15870
ko:K06940	elu:UM146_15905
ko:K08996	elu:UM146_15910
ko:K03657	elu:UM146_15980
ko:K12525	elu:UM146_19940
ko:K05517	elu:UM146_19945
ko:K00297	elu:UM146_19965
ko:K03782	elu:UM146_19970
ko:K09974	elu:UM146_19980
ko:K00005	elu:UM146_19985
ko:K08483	elu:UM146_19995
ko:K11189	elu:UM146_19995
ko:K11201	elu:UM146_19995
ko:K11203	elu:UM146_20000
ko:K11202	elu:UM146_20005
ko:K00656	elu:UM146_20010
ko:K04069	elu:UM146_20015
ko:K11202	elu:UM146_20020
ko:K01595	elu:UM146_20035
ko:K01438	elu:UM146_20040
ko:K00145	elu:UM146_20045
ko:K00930	elu:UM146_20050
ko:K01755	elu:UM146_20055
ko:K04761	elu:UM146_20070
ko:K00322	elu:UM146_20075
ko:K01776	elu:UM146_20110
ko:K03827	elu:UM146_20120
ko:K00651	elu:UM146_20125
ko:K01638	elu:UM146_20130
ko:K01637	elu:UM146_20135
ko:K00906	elu:UM146_20140
ko:K03832	elu:UM146_24591
ko:K01586	elu:UM146_02235
ko:K02529	elu:UM146_02240
ko:K05939	elu:UM146_02245
ko:K08227	elu:UM146_02250
ko:K03573	elu:UM146_02270
ko:K08311	elu:UM146_02275
ko:K08484	elu:UM146_02280
ko:K13292	elu:UM146_02285
ko:K02679	elu:UM146_02295
ko:K02680	elu:UM146_02300
ko:K02681	elu:UM146_02310
ko:K03583	elu:UM146_02315
ko:K01407	elu:UM146_02320
ko:K03582	elu:UM146_02325
ko:K03581	elu:UM146_02330
ko:K14682	elu:UM146_02335
ko:K01448	elu:UM146_02340
ko:K11911	elu:UM146_02380
ko:K11905	elu:UM146_02385
ko:K11906	elu:UM146_02390
ko:K11895	elu:UM146_02395
ko:K11896	elu:UM146_02400
ko:K11910	elu:UM146_02425
ko:K11891	elu:UM146_02430
ko:K11907	elu:UM146_02465
ko:K11903	elu:UM146_02470
ko:K11892	elu:UM146_02480
ko:K11893	elu:UM146_02485
ko:K11900	elu:UM146_02490
ko:K11901	elu:UM146_02495
ko:K08304	elu:UM146_02500
ko:K02426	elu:UM146_02510
ko:K00067	elu:UM146_06595
ko:K00973	elu:UM146_06600
ko:K01790	elu:UM146_06605
ko:K00012	elu:UM146_06655
ko:K05789	elu:UM146_06660
ko:K11755	elu:UM146_06665
ko:K02500	elu:UM146_06670
ko:K01814	elu:UM146_06675
ko:K02501	elu:UM146_06680
ko:K01089	elu:UM146_06685
ko:K00817	elu:UM146_06690
ko:K00013	elu:UM146_06695
ko:K00765	elu:UM146_06700
ko:K01141	elu:UM146_06730
ko:K07470	elu:UM146_06745
ko:K09802	elu:UM146_06755
ko:K07001	elu:UM146_06810
ko:K02016	elu:UM146_06835
ko:K02015	elu:UM146_06840
ko:K02013	elu:UM146_06845
ko:K07300	elu:UM146_10975
ko:K01627	elu:UM146_10985
ko:K02493	elu:UM146_11000
ko:K02835	elu:UM146_11005
ko:K02492	elu:UM146_11010
ko:K02494	elu:UM146_11015
ko:K00919	elu:UM146_11020
ko:K00948	elu:UM146_11025
ko:K03321	elu:UM146_11030
ko:K01056	elu:UM146_11040
ko:K06942	elu:UM146_11045
ko:K05880	elu:UM146_11055
ko:K05878	elu:UM146_11060
ko:K05879	elu:UM146_11065
ko:K05881	elu:UM146_11070
ko:K01194	elu:UM146_11075
ko:K02016	elu:UM146_11080
ko:K02015	elu:UM146_11085
ko:K02013	elu:UM146_11090
ko:K03813	elu:UM146_11100
ko:K08308	elu:UM146_11120
ko:K01775	elu:UM146_11135
ko:K00285	elu:UM146_11140
ko:K03603	elu:UM146_11150
ko:K03314	elu:UM146_11155
ko:K03611	elu:UM146_11160
ko:K09160	elu:UM146_11180
ko:K09902	elu:UM146_11190
ko:K03610	elu:UM146_11205
ko:K03609	elu:UM146_11210
ko:K03608	elu:UM146_11215
ko:K03545	elu:UM146_15175
ko:K05527	elu:UM146_15185
ko:K07286	elu:UM146_15190
ko:K08218	elu:UM146_15195
ko:K02297	elu:UM146_15200
ko:K02298	elu:UM146_15205
ko:K02299	elu:UM146_15210
ko:K02300	elu:UM146_15215
ko:K09767	elu:UM146_15230
ko:K00077	elu:UM146_15235
ko:K03152	elu:UM146_15240
ko:K03151	elu:UM146_15245
ko:K03602	elu:UM146_15250
ko:K00795	elu:UM146_15255
ko:K01662	elu:UM146_15260
ko:K01095	elu:UM146_15270
ko:K00946	elu:UM146_15275
ko:K03625	elu:UM146_15280
ko:K00526	elu:UM146_05630
ko:K12340	elu:UM146_01130
ko:K09920	elu:UM146_01140
ko:K03651	elu:UM146_01145
ko:K07000	elu:UM146_01150
ko:K02622	elu:UM146_01155
ko:K02013	elu:UM146_01165
ko:K02015	elu:UM146_01170
ko:K02015	elu:UM146_01175
ko:K02016	elu:UM146_01180
ko:K03923	elu:UM146_01195
ko:K07150	elu:UM146_01680
ko:K01581	elu:UM146_01685
ko:K08306	elu:UM146_01695
ko:K03575	elu:UM146_01705
ko:K03439	elu:UM146_01710
ko:K09923	elu:UM146_01715
ko:K09131	elu:UM146_01750
ko:K02221	elu:UM146_01755
ko:K06997	elu:UM146_01760
ko:K02669	elu:UM146_01765
ko:K07447	elu:UM146_01770
ko:K07735	elu:UM146_01775
ko:K01920	elu:UM146_01780
ko:K09761	elu:UM146_01785
ko:K01150	elu:UM146_01790
ko:K02742	elu:UM146_01795
ko:K08137	elu:UM146_01800
ko:K00789	elu:UM146_01805
ko:K07387	elu:UM146_01835
ko:K00615	elu:UM146_01840
ko:K03472	elu:UM146_01910
ko:K00927	elu:UM146_01915
ko:K01624	elu:UM146_01920
ko:K06895	elu:UM146_01930
ko:K09807	elu:UM146_01935
ko:K05596	elu:UM146_01950
ko:K10542	elu:UM146_06045
ko:K05541	elu:UM146_06090
ko:K07262	elu:UM146_06115
ko:K03777	elu:UM146_06120
ko:K05349	elu:UM146_06125
ko:K05845	elu:UM146_06130
ko:K05846	elu:UM146_06135
ko:K05847	elu:UM146_06140
ko:K05846	elu:UM146_06145
ko:K02478	elu:UM146_06160
ko:K01874	elu:UM146_06220
ko:K00878	elu:UM146_06270
ko:K00941	elu:UM146_06275
ko:K06178	elu:UM146_10440
ko:K07053	elu:UM146_10455
ko:K01657	elu:UM146_10460
ko:K13497	elu:UM146_10465
ko:K13498	elu:UM146_10470
ko:K01696	elu:UM146_10475
ko:K01695	elu:UM146_10480
ko:K07644	elu:UM146_14665
ko:K11740	elu:UM146_14670
ko:K11739	elu:UM146_14675
ko:K01491	elu:UM146_14710
ko:K07038	elu:UM146_14720
ko:K01883	elu:UM146_14725
ko:K03269	elu:UM146_14735
ko:K01588	elu:UM146_14745
ko:K01589	elu:UM146_14750
ko:K00926	elu:UM146_14755
ko:K02083	elu:UM146_14780
ko:K14977	elu:UM146_14785
ko:K00865	elu:UM146_14790
ko:K10975	elu:UM146_14805
ko:K01608	elu:UM146_14820
ko:K10973	elu:UM146_14825
ko:K01483	elu:UM146_14830
ko:K10972	elu:UM146_14835
ko:K06917	elu:UM146_14840
ko:K02003	elu:UM146_14850
ko:K10804	elu:UM146_14855
ko:K05838	elu:UM146_14865
ko:K02069	elu:UM146_14870
ko:K02068	elu:UM146_14875
ko:K07340	elu:UM146_14885
ko:K02110	elu:UM146_18875
ko:K02108	elu:UM146_18880
ko:K03501	elu:UM146_18890
ko:K03495	elu:UM146_18895
ko:K06205	elu:UM146_18900
ko:K01914	elu:UM146_18910
ko:K03924	elu:UM146_18920
ko:K03549	elu:UM146_18925
ko:K06726	elu:UM146_18930
ko:K10441	elu:UM146_18935
ko:K02529	elu:UM146_18955
ko:K09897	elu:UM146_18975
ko:K07391	elu:UM146_18980
ko:K01652	elu:UM146_18985
ko:K11258	elu:UM146_18990
ko:K00826	elu:UM146_18995
ko:K01687	elu:UM146_19000
ko:K01754	elu:UM146_19005
ko:K02521	elu:UM146_19010
ko:K00053	elu:UM146_19015
ko:K03656	elu:UM146_19025
ko:K01524	elu:UM146_19030
ko:K03732	elu:UM146_19035
ko:K03671	elu:UM146_19040
ko:K03628	elu:UM146_19050
ko:K05790	elu:UM146_19065
ko:K02472	elu:UM146_19075
ko:K00973	elu:UM146_19085
ko:K02805	elu:UM146_19095
ko:K12582	elu:UM146_19105
ko:K02853	elu:UM146_19110
ko:K02063	elu:UM146_23130
ko:K02064	elu:UM146_23135
ko:K11925	elu:UM146_23140
ko:K01704	elu:UM146_23150
ko:K01703	elu:UM146_23155
ko:K00052	elu:UM146_23160
ko:K01649	elu:UM146_23165
