ko:K19405	ctrf:SOTONF3_00715
ko:K00349	ctrf:SOTONF3_00289
ko:K00350	ctrf:SOTONF3_00290
ko:K02437	ctrf:SOTONF3_00291
ko:K03800	ctrf:SOTONF3_00294
ko:K03696	ctrf:SOTONF3_00295
ko:K00566	ctrf:SOTONF3_00296
ko:K01963	ctrf:SOTONF3_00302
ko:K04564	ctrf:SOTONF3_00303
ko:K03583	ctrf:SOTONF3_00677
ko:K03168	ctrf:SOTONF3_00680
ko:K02221	ctrf:SOTONF3_00682
ko:K01972	ctrf:SOTONF3_00150
ko:K02913	ctrf:SOTONF3_00154
ko:K09808	ctrf:SOTONF3_00155
ko:K09810	ctrf:SOTONF3_00156
ko:K03720	ctrf:SOTONF3_00171
ko:K01696	ctrf:SOTONF3_00172
ko:K01695	ctrf:SOTONF3_00173
ko:K03611	ctrf:SOTONF3_00179
ko:K00979	ctrf:SOTONF3_00187
ko:K01937	ctrf:SOTONF3_00188
ko:K07447	ctrf:SOTONF3_00189
ko:K00036	ctrf:SOTONF3_00190
ko:K01057	ctrf:SOTONF3_00191
ko:K02343	ctrf:SOTONF3_00192
ko:K00943	ctrf:SOTONF3_00193
ko:K02469	ctrf:SOTONF3_00194
ko:K02470	ctrf:SOTONF3_00195
ko:K00773	ctrf:SOTONF3_00198
ko:K06213	ctrf:SOTONF3_00199
ko:K03581	ctrf:SOTONF3_00689
ko:K06861	ctrf:SOTONF3_00691
ko:K01627	ctrf:SOTONF3_00693
ko:K06180	ctrf:SOTONF3_00697
ko:K06960	ctrf:SOTONF3_00698
ko:K02469	ctrf:SOTONF3_00699
ko:K02470	ctrf:SOTONF3_00700
ko:K02492	ctrf:SOTONF3_00701
ko:K03224	ctrf:SOTONF3_00708
ko:K02417	ctrf:SOTONF3_00711
ko:K03219	ctrf:SOTONF3_00713
ko:K02838	ctrf:SOTONF3_00719
ko:K09903	ctrf:SOTONF3_00720
ko:K02357	ctrf:SOTONF3_00721
ko:K02967	ctrf:SOTONF3_00722
ko:K03162	ctrf:SOTONF3_00725
ko:K09013	ctrf:SOTONF3_00729
ko:K09015	ctrf:SOTONF3_00730
ko:K11717	ctrf:SOTONF3_00731
ko:K03685	ctrf:SOTONF3_00306
ko:K04485	ctrf:SOTONF3_00307
ko:K01749	ctrf:SOTONF3_00308
ko:K01873	ctrf:SOTONF3_00311
ko:K03046	ctrf:SOTONF3_00323
ko:K03043	ctrf:SOTONF3_00324
ko:K02935	ctrf:SOTONF3_00325
ko:K02864	ctrf:SOTONF3_00326
ko:K02863	ctrf:SOTONF3_00327
ko:K02867	ctrf:SOTONF3_00328
ko:K02601	ctrf:SOTONF3_00329
ko:K03073	ctrf:SOTONF3_00330
ko:K02358	ctrf:SOTONF3_00332
ko:K02518	ctrf:SOTONF3_00334
ko:K01803	ctrf:SOTONF3_00343
ko:K03601	ctrf:SOTONF3_00344
ko:K03602	ctrf:SOTONF3_00345
ko:K01662	ctrf:SOTONF3_00347
ko:K00873	ctrf:SOTONF3_00348
ko:K03701	ctrf:SOTONF3_00349
ko:K02343	ctrf:SOTONF3_00350
ko:K09747	ctrf:SOTONF3_00351
ko:K11381	ctrf:SOTONF3_00357
ko:K03686	ctrf:SOTONF3_00358
ko:K07220	ctrf:SOTONF3_00735
ko:K03306	ctrf:SOTONF3_00736
ko:K00927	ctrf:SOTONF3_00737
ko:K10773	ctrf:SOTONF3_00741
ko:K03650	ctrf:SOTONF3_00742
ko:K01613	ctrf:SOTONF3_00743
ko:K03070	ctrf:SOTONF3_00745
ko:K03977	ctrf:SOTONF3_00747
ko:K03544	ctrf:SOTONF3_00749
ko:K01358	ctrf:SOTONF3_00750
ko:K03545	ctrf:SOTONF3_00751
ko:K03569	ctrf:SOTONF3_00754
ko:K00057	ctrf:SOTONF3_00759
ko:K02412	ctrf:SOTONF3_00762
ko:K02411	ctrf:SOTONF3_00763
ko:K02409	ctrf:SOTONF3_00764
ko:K13819	ctrf:SOTONF3_00765
ko:K04487	ctrf:SOTONF3_00766
ko:K06178	ctrf:SOTONF3_00768
ko:K03524	ctrf:SOTONF3_00770
ko:K05837	ctrf:SOTONF3_00771
ko:K01875	ctrf:SOTONF3_00774
ko:K11752	ctrf:SOTONF3_00775
ko:K14652	ctrf:SOTONF3_00776
ko:K00794	ctrf:SOTONF3_00777
ko:K03310	ctrf:SOTONF3_00780
ko:K02970	ctrf:SOTONF3_00359
ko:K01338	ctrf:SOTONF3_00361
ko:K03733	ctrf:SOTONF3_00364
ko:K06287	ctrf:SOTONF3_00366
ko:K03075	ctrf:SOTONF3_00369
ko:K01462	ctrf:SOTONF3_00370
ko:K02528	ctrf:SOTONF3_00371
ko:K06888	ctrf:SOTONF3_00373
ko:K03523	ctrf:SOTONF3_00377
ko:K01714	ctrf:SOTONF3_00380
ko:K00928	ctrf:SOTONF3_00381
ko:K00133	ctrf:SOTONF3_00382
ko:K00215	ctrf:SOTONF3_00383
ko:K00800	ctrf:SOTONF3_00385
ko:K00891	ctrf:SOTONF3_00386
ko:K01736	ctrf:SOTONF3_00387
ko:K01735	ctrf:SOTONF3_00388
ko:K13832	ctrf:SOTONF3_00389
ko:K03758	ctrf:SOTONF3_00393
ko:K00024	ctrf:SOTONF3_00395
ko:K01810	ctrf:SOTONF3_00397
ko:K03665	ctrf:SOTONF3_00398
ko:K06167	ctrf:SOTONF3_00399
ko:K09996	ctrf:SOTONF3_00400
ko:K06966	ctrf:SOTONF3_00407
ko:K09131	ctrf:SOTONF3_00408
ko:K10206	ctrf:SOTONF3_00410
ko:K03466	ctrf:SOTONF3_00784
ko:K03559	ctrf:SOTONF3_00630
ko:K00351	ctrf:SOTONF3_00789
ko:K03210	ctrf:SOTONF3_00790
ko:K00231	ctrf:SOTONF3_00794
ko:K01599	ctrf:SOTONF3_00796
ko:K03723	ctrf:SOTONF3_00797
ko:K01872	ctrf:SOTONF3_00798
ko:K00615	ctrf:SOTONF3_00802
ko:K01241	ctrf:SOTONF3_00803
ko:K02356	ctrf:SOTONF3_00804
ko:K01929	ctrf:SOTONF3_00809
ko:K01000	ctrf:SOTONF3_00810
ko:K01925	ctrf:SOTONF3_00811
ko:K03588	ctrf:SOTONF3_00813
ko:K02563	ctrf:SOTONF3_00814
ko:K06960	ctrf:SOTONF3_00816
ko:K00791	ctrf:SOTONF3_00819
ko:K09710	ctrf:SOTONF3_00822
ko:K09458	ctrf:SOTONF3_00823
ko:K00263	ctrf:SOTONF3_00826
ko:K00655	ctrf:SOTONF3_00828
ko:K04066	ctrf:SOTONF3_00831
ko:K04567	ctrf:SOTONF3_00834
ko:K01883	ctrf:SOTONF3_00835
ko:K01881	ctrf:SOTONF3_00413
ko:K03705	ctrf:SOTONF3_00414
ko:K03687	ctrf:SOTONF3_00415
ko:K04043	ctrf:SOTONF3_00416
ko:K12573	ctrf:SOTONF3_00417
ko:K07164	ctrf:SOTONF3_00418
ko:K06041	ctrf:SOTONF3_00419
ko:K00658	ctrf:SOTONF3_00420
ko:K00912	ctrf:SOTONF3_00422
ko:K03437	ctrf:SOTONF3_00423
ko:K06969	ctrf:SOTONF3_00424
ko:K00793	ctrf:SOTONF3_00425
ko:K07738	ctrf:SOTONF3_00426
ko:K06204	ctrf:SOTONF3_00427
ko:K03101	ctrf:SOTONF3_00428
ko:K03310	ctrf:SOTONF3_00429
ko:K00748	ctrf:SOTONF3_00431
ko:K09817	ctrf:SOTONF3_00437
ko:K09816	ctrf:SOTONF3_00438
ko:K03979	ctrf:SOTONF3_00439
ko:K02899	ctrf:SOTONF3_00440
ko:K02888	ctrf:SOTONF3_00441
ko:K07042	ctrf:SOTONF3_00446
ko:K03183	ctrf:SOTONF3_00452
ko:K01778	ctrf:SOTONF3_00454
ko:K01358	ctrf:SOTONF3_00455
ko:K00600	ctrf:SOTONF3_00456
ko:K01770	ctrf:SOTONF3_00458
ko:K02946	ctrf:SOTONF3_00460
ko:K02355	ctrf:SOTONF3_00461
ko:K02992	ctrf:SOTONF3_00462
ko:K02950	ctrf:SOTONF3_00463
ko:K09779	ctrf:SOTONF3_00002
ko:K02435	ctrf:SOTONF3_00003
ko:K02434	ctrf:SOTONF3_00005
ko:K02517	ctrf:SOTONF3_00011
ko:K00425	ctrf:SOTONF3_00014
ko:K00426	ctrf:SOTONF3_00015
ko:K07175	ctrf:SOTONF3_00016
ko:K01870	ctrf:SOTONF3_00021
ko:K03100	ctrf:SOTONF3_00022
ko:K02909	ctrf:SOTONF3_00024
ko:K02835	ctrf:SOTONF3_00025
ko:K02493	ctrf:SOTONF3_00026
ko:K03106	ctrf:SOTONF3_00027
ko:K02959	ctrf:SOTONF3_00028
ko:K00554	ctrf:SOTONF3_00029
ko:K02884	ctrf:SOTONF3_00030
ko:K03470	ctrf:SOTONF3_00031
ko:K00942	ctrf:SOTONF3_00032
ko:K01874	ctrf:SOTONF3_00034
ko:K03581	ctrf:SOTONF3_00035
ko:K03536	ctrf:SOTONF3_00837
ko:K02919	ctrf:SOTONF3_00838
ko:K02954	ctrf:SOTONF3_00839
ko:K03703	ctrf:SOTONF3_00843
ko:K03555	ctrf:SOTONF3_00844
ko:K14164	ctrf:SOTONF3_00848
ko:K00995	ctrf:SOTONF3_00849
ko:K00703	ctrf:SOTONF3_00850
ko:K02897	ctrf:SOTONF3_00852
ko:K01056	ctrf:SOTONF3_00853
ko:K02990	ctrf:SOTONF3_00854
ko:K02963	ctrf:SOTONF3_00855
ko:K02939	ctrf:SOTONF3_00856
ko:K00919	ctrf:SOTONF3_00857
ko:K00630	ctrf:SOTONF3_00861
ko:K08301	ctrf:SOTONF3_00862
ko:K02911	ctrf:SOTONF3_00865
ko:K03621	ctrf:SOTONF3_00866
ko:K03431	ctrf:SOTONF3_00871
ko:K00820	ctrf:SOTONF3_00872
ko:K03834	ctrf:SOTONF3_00873
ko:K03834	ctrf:SOTONF3_00875
ko:K06890	ctrf:SOTONF3_00876
ko:K03110	ctrf:SOTONF3_00877
ko:K01903	ctrf:SOTONF3_00878
ko:K01902	ctrf:SOTONF3_00879
ko:K09760	ctrf:SOTONF3_00882
ko:K00075	ctrf:SOTONF3_00888
ko:K02520	ctrf:SOTONF3_00890
ko:K01985	ctrf:SOTONF3_00788
ko:K01985	ctrf:SOTONF3_00801
ko:K02028	ctrf:SOTONF3_00132
ko:K14220	ctrf:SOTONF3_00040
ko:K15035	ctrf:SOTONF3_00020
ko:K14222	ctrf:SOTONF3_00808
ko:K01977	ctrf:SOTONF3_00786
ko:K01977	ctrf:SOTONF3_00799
ko:K01980	ctrf:SOTONF3_00787
ko:K01980	ctrf:SOTONF3_00800
ko:K17103	ctrf:SOTONF3_00883
ko:K14233	ctrf:SOTONF3_00374
ko:K14228	ctrf:SOTONF3_00923
ko:K04084	ctrf:SOTONF3_00628
ko:K14236	ctrf:SOTONF3_00145
ko:K14227	ctrf:SOTONF3_00184
ko:K14218	ctrf:SOTONF3_00673
ko:K14230	ctrf:SOTONF3_00213
ko:K14230	ctrf:SOTONF3_00341
ko:K14235	ctrf:SOTONF3_00331
ko:K14233	ctrf:SOTONF3_00526
ko:K14231	ctrf:SOTONF3_00442
ko:K14228	ctrf:SOTONF3_00491
ko:K14221	ctrf:SOTONF3_00229
ko:K14233	ctrf:SOTONF3_00435
ko:K14228	ctrf:SOTONF3_00534
ko:K14228	ctrf:SOTONF3_00570
ko:K14219	ctrf:SOTONF3_00495
ko:K14219	ctrf:SOTONF3_00637
ko:K14219	ctrf:SOTONF3_00694
ko:K14232	ctrf:SOTONF3_00667
ko:K14229	ctrf:SOTONF3_00717
ko:K14224	ctrf:SOTONF3_00718
ko:K14226	ctrf:SOTONF3_00785
ko:K14223	ctrf:SOTONF3_00851
ko:K14218	ctrf:SOTONF3_00185
ko:K14234	ctrf:SOTONF3_00714
ko:K14225	ctrf:SOTONF3_00723
ko:K14228	ctrf:SOTONF3_00499
ko:K14232	ctrf:SOTONF3_00063
ko:K14237	ctrf:SOTONF3_00230
ko:K14230	ctrf:SOTONF3_00214
ko:K14234	ctrf:SOTONF3_00144
ko:K14234	ctrf:SOTONF3_00333
ko:K00033	ctrf:SOTONF3_00067
ko:K11707	ctrf:SOTONF3_00071
ko:K11710	ctrf:SOTONF3_00072
ko:K14225	ctrf:SOTONF3_00752
ko:K08483	ctrf:SOTONF3_00352
ko:K11189	ctrf:SOTONF3_00353
ko:K00784	ctrf:SOTONF3_00363
ko:K01719	ctrf:SOTONF3_00457
ko:K00380	ctrf:SOTONF3_00459
ko:K01885	ctrf:SOTONF3_00470
ko:K07098	ctrf:SOTONF3_00486
ko:K02342	ctrf:SOTONF3_00567
ko:K07258	ctrf:SOTONF3_00583
ko:K03227	ctrf:SOTONF3_00595
ko:K00939	ctrf:SOTONF3_00130
ko:K02035	ctrf:SOTONF3_00141
ko:K06889	ctrf:SOTONF3_00153
ko:K02035	ctrf:SOTONF3_00178
ko:K00059	ctrf:SOTONF3_00246
ko:K07052	ctrf:SOTONF3_00263
ko:K02342	ctrf:SOTONF3_00270
ko:K02049	ctrf:SOTONF3_00183
ko:K01409	ctrf:SOTONF3_00202
ko:K15582	ctrf:SOTONF3_00205
ko:K10823	ctrf:SOTONF3_00206
ko:K15583	ctrf:SOTONF3_00207
ko:K06889	ctrf:SOTONF3_00211
ko:K02806	ctrf:SOTONF3_00299
ko:K02806	ctrf:SOTONF3_00300
ko:K02124	ctrf:SOTONF3_00313
ko:K02123	ctrf:SOTONF3_00314
ko:K02120	ctrf:SOTONF3_00315
ko:K02118	ctrf:SOTONF3_00316
ko:K02117	ctrf:SOTONF3_00317
ko:K02121	ctrf:SOTONF3_00319
ko:K00616	ctrf:SOTONF3_00322
ko:K03856	ctrf:SOTONF3_00401
ko:K00970	ctrf:SOTONF3_00430
ko:K09815	ctrf:SOTONF3_00436
ko:K00567	ctrf:SOTONF3_00504
ko:K02033	ctrf:SOTONF3_00506
ko:K02035	ctrf:SOTONF3_00507
ko:K02030	ctrf:SOTONF3_00515
ko:K02454	ctrf:SOTONF3_00603
ko:K01262	ctrf:SOTONF3_00606
ko:K07315	ctrf:SOTONF3_00620
ko:K00241	ctrf:SOTONF3_00626
ko:K03386	ctrf:SOTONF3_00636
ko:K02428	ctrf:SOTONF3_00640
ko:K00970	ctrf:SOTONF3_00748
ko:K01596	ctrf:SOTONF3_00755
ko:K00972	ctrf:SOTONF3_00760
ko:K01507	ctrf:SOTONF3_00825
ko:K01082	ctrf:SOTONF3_00827
ko:K01909	ctrf:SOTONF3_00829
ko:K00652	ctrf:SOTONF3_00830
ko:K01408	ctrf:SOTONF3_00860
ko:K04763	ctrf:SOTONF3_00925
ko:K00700	ctrf:SOTONF3_00927
ko:K00813	ctrf:SOTONF3_00674
ko:K01934	ctrf:SOTONF3_00686
ko:K01834	ctrf:SOTONF3_00767
ko:K06910	ctrf:SOTONF3_00781
ko:K07117	ctrf:SOTONF3_00782
ko:K01679	ctrf:SOTONF3_00914
ko:K02433	ctrf:SOTONF3_00004
ko:K03471	ctrf:SOTONF3_00009
ko:K11708	ctrf:SOTONF3_00073
ko:K11709	ctrf:SOTONF3_00074
ko:K03177	ctrf:SOTONF3_00096
ko:K06179	ctrf:SOTONF3_00108
ko:K14237	ctrf:SOTONF3_00886
ko:K01840	ctrf:SOTONF3_00304
ko:K06972	ctrf:SOTONF3_00881
ko:K07081	ctrf:SOTONF3_00451
ko:K00239	ctrf:SOTONF3_00625
ko:K03625	ctrf:SOTONF3_00889
ko:K08275	ctrf:SOTONF3_00083
ko:K01802	ctrf:SOTONF3_00573
ko:K03309	ctrf:SOTONF3_00421
ko:K08719	ctrf:SOTONF3_00758
ko:K01921	ctrf:SOTONF3_00815
ko:K01924	ctrf:SOTONF3_00815
ko:K08274	ctrf:SOTONF3_00396
ko:K01829	ctrf:SOTONF3_00833
ko:K01829	ctrf:SOTONF3_00836
ko:K07033	ctrf:SOTONF3_00728
ko:K01214	ctrf:SOTONF3_00045
ko:K03825	ctrf:SOTONF3_00483
ko:K03111	ctrf:SOTONF3_00047
ko:K03496	ctrf:SOTONF3_00614
ko:K03497	ctrf:SOTONF3_00732
ko:K03496	ctrf:SOTONF3_p7
ko:K02626	ctrf:SOTONF3_00392
ko:K11991	ctrf:SOTONF3_00902
ko:K04771	ctrf:SOTONF3_00880
ko:K19411	ctrf:SOTONF3_00716
ko:K02031	ctrf:SOTONF3_00734
ko:K07125	ctrf:SOTONF3_00336
ko:K22100	ctrf:SOTONF3_00342
ko:K12132	ctrf:SOTONF3_00310
ko:K20265	ctrf:SOTONF3_00223
ko:K20074	ctrf:SOTONF3_00268
ko:K11749	ctrf:SOTONF3_00076
ko:K22099	ctrf:SOTONF3_00646
ko:K00526	ctrf:SOTONF3_00885
ko:K02335	ctrf:SOTONF3_00522
ko:K01520	ctrf:SOTONF3_00301
ko:K02314	ctrf:SOTONF3_00527
ko:K00287	ctrf:SOTONF3_00647
ko:K02316	ctrf:SOTONF3_00845
ko:K02314	ctrf:SOTONF3_p3
ko:K03553	ctrf:SOTONF3_00687
ko:K02032	ctrf:SOTONF3_00733
ko:K00525	ctrf:SOTONF3_00884
ko:K02050	ctrf:SOTONF3_00913
ko:K02051	ctrf:SOTONF3_00913
ko:K01534	ctrf:SOTONF3_00772
ko:K16239	ctrf:SOTONF3_00087
