ko:K11720	sys:SYNPCCN_2878
ko:K05585	sys:SYNPCCN_1569
ko:K02357	sys:SYNPCCN_1570
ko:K02967	sys:SYNPCCN_1571
ko:K07300	sys:SYNPCCN_1572
ko:K01494	sys:SYNPCCN_1573
ko:K06876	sys:SYNPCCN_1582
ko:K02066	sys:SYNPCCN_1585
ko:K13799	sys:SYNPCCN_1589
ko:K01673	sys:SYNPCCN_1590
ko:K03551	sys:SYNPCCN_2385
ko:K03149	sys:SYNPCCN_2386
ko:K06980	sys:SYNPCCN_2388
ko:K02233	sys:SYNPCCN_2390
ko:K01878	sys:SYNPCCN_2392
ko:K03442	sys:SYNPCCN_2393
ko:K01999	sys:SYNPCCN_2399
ko:K02551	sys:SYNPCCN_2401
ko:K07259	sys:SYNPCCN_2404
ko:K01874	sys:SYNPCCN_2406
ko:K01129	sys:SYNPCCN_2408
ko:K02469	sys:SYNPCCN_2415
ko:K02007	sys:SYNPCCN_2419
ko:K00677	sys:SYNPCCN_2426
ko:K03723	sys:SYNPCCN_2430
ko:K03642	sys:SYNPCCN_2432
ko:K00147	sys:SYNPCCN_2434
ko:K02654	sys:SYNPCCN_0064
ko:K00939	sys:SYNPCCN_0065
ko:K00215	sys:SYNPCCN_0066
ko:K03671	sys:SYNPCCN_0067
ko:K01952	sys:SYNPCCN_0068
ko:K01515	sys:SYNPCCN_0070
ko:K00942	sys:SYNPCCN_0072
ko:K07090	sys:SYNPCCN_0075
ko:K08300	sys:SYNPCCN_0080
ko:K03470	sys:SYNPCCN_0081
ko:K03574	sys:SYNPCCN_0082
ko:K00962	sys:SYNPCCN_0083
ko:K07089	sys:SYNPCCN_0898
ko:K03116	sys:SYNPCCN_0900
ko:K03798	sys:SYNPCCN_0902
ko:K04655	sys:SYNPCCN_0903
ko:K03787	sys:SYNPCCN_0905
ko:K01462	sys:SYNPCCN_0906
ko:K04567	sys:SYNPCCN_0908
ko:K15578	sys:SYNPCCN_0915
ko:K15577	sys:SYNPCCN_0916
ko:K15576	sys:SYNPCCN_0917
ko:K03531	sys:SYNPCCN_0921
ko:K03589	sys:SYNPCCN_0922
ko:K03797	sys:SYNPCCN_0923
ko:K03438	sys:SYNPCCN_0925
ko:K03187	sys:SYNPCCN_0927
ko:K03657	sys:SYNPCCN_0930
ko:K08999	sys:SYNPCCN_0931
ko:K07071	sys:SYNPCCN_0932
ko:K07267	sys:SYNPCCN_1756
ko:K00958	sys:SYNPCCN_1759
ko:K03867	sys:SYNPCCN_1760
ko:K10960	sys:SYNPCCN_1763
ko:K01923	sys:SYNPCCN_0936
ko:K07277	sys:SYNPCCN_0937
ko:K02837	sys:SYNPCCN_0938
ko:K06955	sys:SYNPCCN_0941
ko:K00239	sys:SYNPCCN_0944
ko:K02503	sys:SYNPCCN_0946
ko:K09005	sys:SYNPCCN_0948
ko:K02192	sys:SYNPCCN_0949
ko:K02950	sys:SYNPCCN_1748
ko:K09931	sys:SYNPCCN_1749
ko:K01945	sys:SYNPCCN_1750
ko:K01808	sys:SYNPCCN_1752
ko:K09932	sys:SYNPCCN_1755
ko:K02014	sys:SYNPCCN_0016
ko:K03046	sys:SYNPCCN_0789
ko:K03043	sys:SYNPCCN_0790
ko:K03424	sys:SYNPCCN_0791
ko:K02968	sys:SYNPCCN_0792
ko:K03657	sys:SYNPCCN_0795
ko:K03529	sys:SYNPCCN_0796
ko:K04096	sys:SYNPCCN_0801
ko:K03572	sys:SYNPCCN_0805
ko:K02005	sys:SYNPCCN_0813
ko:K02230	sys:SYNPCCN_0818
ko:K02657	sys:SYNPCCN_0821
ko:K03786	sys:SYNPCCN_0823
ko:K06213	sys:SYNPCCN_0824
ko:K03215	sys:SYNPCCN_0830
ko:K01754	sys:SYNPCCN_0831
ko:K09772	sys:SYNPCCN_0832
ko:K01809	sys:SYNPCCN_0833
ko:K09803	sys:SYNPCCN_0834
ko:K04078	sys:SYNPCCN_0835
ko:K04077	sys:SYNPCCN_0836
ko:K01736	sys:SYNPCCN_0840
ko:K02935	sys:SYNPCCN_0841
ko:K02639	sys:SYNPCCN_1672
ko:K00609	sys:SYNPCCN_1676
ko:K07259	sys:SYNPCCN_1686
ko:K06147	sys:SYNPCCN_1689
ko:K03046	sys:SYNPCCN_1690
ko:K00612	sys:SYNPCCN_1691
ko:K02864	sys:SYNPCCN_0842
ko:K03588	sys:SYNPCCN_1693
ko:K07391	sys:SYNPCCN_2491
ko:K02863	sys:SYNPCCN_0843
ko:K02704	sys:SYNPCCN_2493
ko:K00652	sys:SYNPCCN_2500
ko:K01265	sys:SYNPCCN_2501
ko:K03574	sys:SYNPCCN_2503
ko:K02071	sys:SYNPCCN_1650
ko:K02945	sys:SYNPCCN_1652
ko:K07566	sys:SYNPCCN_1655
ko:K06872	sys:SYNPCCN_1656
ko:K02640	sys:SYNPCCN_1660
ko:K01579	sys:SYNPCCN_2504
ko:K00024	sys:SYNPCCN_2505
ko:K01056	sys:SYNPCCN_2508
ko:K01265	sys:SYNPCCN_2513
ko:K03113	sys:SYNPCCN_2522
ko:K02340	sys:SYNPCCN_2524
ko:K01895	sys:SYNPCCN_2534
ko:K06042	sys:SYNPCCN_1663
ko:K02040	sys:SYNPCCN_2540
ko:K02377	sys:SYNPCCN_2542
ko:K02914	sys:SYNPCCN_1665
ko:K03536	sys:SYNPCCN_1666
ko:K03217	sys:SYNPCCN_1668
ko:K06346	sys:SYNPCCN_1669
ko:K01092	sys:SYNPCCN_1671
ko:K03403	sys:SYNPCCN_0464
ko:K02428	sys:SYNPCCN_0467
ko:K00721	sys:SYNPCCN_0468
ko:K02067	sys:SYNPCCN_0473
ko:K02065	sys:SYNPCCN_0474
ko:K00057	sys:SYNPCCN_0477
ko:K03823	sys:SYNPCCN_0478
ko:K01915	sys:SYNPCCN_0479
ko:K01934	sys:SYNPCCN_0483
ko:K01091	sys:SYNPCCN_0484
ko:K05795	sys:SYNPCCN_0487
ko:K01580	sys:SYNPCCN_0488
ko:K03190	sys:SYNPCCN_0492
ko:K06978	sys:SYNPCCN_0497
ko:K02712	sys:SYNPCCN_0499
ko:K07390	sys:SYNPCCN_0502
ko:K09747	sys:SYNPCCN_0503
ko:K00013	sys:SYNPCCN_0504
ko:K01428	sys:SYNPCCN_0507
ko:K01662	sys:SYNPCCN_0514
ko:K02707	sys:SYNPCCN_0517
ko:K06864	sys:SYNPCCN_1328
ko:K02372	sys:SYNPCCN_1330
ko:K05979	sys:SYNPCCN_1331
ko:K01876	sys:SYNPCCN_1333
ko:K00088	sys:SYNPCCN_1335
ko:K08481	sys:SYNPCCN_1344
ko:K08482	sys:SYNPCCN_1345
ko:K03316	sys:SYNPCCN_1348
ko:K01546	sys:SYNPCCN_1351
ko:K01547	sys:SYNPCCN_1352
ko:K01548	sys:SYNPCCN_1354
ko:K07646	sys:SYNPCCN_1355
ko:K09800	sys:SYNPCCN_1356
ko:K09879	sys:SYNPCCN_1357
ko:K03839	sys:SYNPCCN_1370
ko:K14540	sys:SYNPCCN_1372
ko:K06942	sys:SYNPCCN_1373
ko:K05579	sys:SYNPCCN_1362
ko:K01784	sys:SYNPCCN_1374
ko:K00274	sys:SYNPCCN_2175
ko:K08479	sys:SYNPCCN_2176
ko:K01803	sys:SYNPCCN_2178
ko:K02635	sys:SYNPCCN_2182
ko:K02637	sys:SYNPCCN_2183
ko:K07019	sys:SYNPCCN_1365
ko:K03685	sys:SYNPCCN_2186
ko:K04656	sys:SYNPCCN_2187
ko:K03684	sys:SYNPCCN_2190
ko:K03527	sys:SYNPCCN_2192
ko:K02970	sys:SYNPCCN_2202
ko:K02033	sys:SYNPCCN_2205
ko:K13038	sys:SYNPCCN_1367
ko:K01892	sys:SYNPCCN_2206
ko:K03547	sys:SYNPCCN_2214
ko:K03696	sys:SYNPCCN_2215
ko:K00099	sys:SYNPCCN_2216
ko:K01624	sys:SYNPCCN_2217
ko:K01845	sys:SYNPCCN_2218
ko:K08304	sys:SYNPCCN_2219
ko:K03797	sys:SYNPCCN_2222
ko:K01601	sys:SYNPCCN_2223
ko:K01057	sys:SYNPCCN_3020
ko:K02290	sys:SYNPCCN_3026
ko:K01703	sys:SYNPCCN_3030
ko:K04037	sys:SYNPCCN_3037
ko:K04038	sys:SYNPCCN_3038
ko:K01689	sys:SYNPCCN_3041
ko:K01962	sys:SYNPCCN_3046
ko:K01835	sys:SYNPCCN_3051
ko:K08481	sys:SYNPCCN_3053
ko:K08482	sys:SYNPCCN_3054
ko:K02699	sys:SYNPCCN_3065
ko:K02696	sys:SYNPCCN_3066
ko:K02563	sys:SYNPCCN_3067
ko:K07063	sys:SYNPCCN_1505
ko:K05356	sys:SYNPCCN_0001
ko:K06181	sys:SYNPCCN_0002
ko:K02377	sys:SYNPCCN_0006
ko:K01711	sys:SYNPCCN_0007
ko:K02708	sys:SYNPCCN_0518
ko:K02713	sys:SYNPCCN_0519
ko:K02711	sys:SYNPCCN_0520
ko:K00931	sys:SYNPCCN_0521
ko:K02469	sys:SYNPCCN_0527
ko:K09933	sys:SYNPCCN_0529
ko:K03711	sys:SYNPCCN_0534
ko:K09815	sys:SYNPCCN_0535
ko:K09817	sys:SYNPCCN_0536
ko:K09816	sys:SYNPCCN_0537
ko:K02290	sys:SYNPCCN_0543
ko:K05516	sys:SYNPCCN_0547
ko:K04043	sys:SYNPCCN_0548
ko:K00600	sys:SYNPCCN_0549
ko:K02238	sys:SYNPCCN_0551
ko:K01448	sys:SYNPCCN_0556
ko:K03587	sys:SYNPCCN_0568
ko:K11473	sys:SYNPCCN_0570
ko:K02010	sys:SYNPCCN_1385
ko:K02011	sys:SYNPCCN_1386
ko:K02012	sys:SYNPCCN_1387
ko:K01425	sys:SYNPCCN_1390
ko:K15226	sys:SYNPCCN_1393
ko:K02274	sys:SYNPCCN_1394
ko:K02276	sys:SYNPCCN_1395
ko:K04083	sys:SYNPCCN_1397
ko:K03782	sys:SYNPCCN_1398
ko:K07399	sys:SYNPCCN_1399
ko:K01652	sys:SYNPCCN_1400
ko:K06045	sys:SYNPCCN_1401
ko:K01652	sys:SYNPCCN_1407
ko:K11532	sys:SYNPCCN_1411
ko:K06886	sys:SYNPCCN_1414
ko:K03110	sys:SYNPCCN_1419
ko:K08591	sys:SYNPCCN_1422
ko:K00759	sys:SYNPCCN_1424
ko:K03453	sys:SYNPCCN_1427
ko:K01602	sys:SYNPCCN_2225
ko:K07507	sys:SYNPCCN_2227
ko:K00748	sys:SYNPCCN_2229
ko:K02639	sys:SYNPCCN_2230
ko:K00790	sys:SYNPCCN_2232
ko:K01679	sys:SYNPCCN_2233
ko:K07347	sys:SYNPCCN_2235
ko:K10206	sys:SYNPCCN_2238
ko:K03655	sys:SYNPCCN_2240
ko:K04773	sys:SYNPCCN_2241
ko:K01951	sys:SYNPCCN_2243
ko:K06153	sys:SYNPCCN_2245
ko:K02231	sys:SYNPCCN_2246
ko:K14330	sys:SYNPCCN_2249
ko:K14331	sys:SYNPCCN_2250
ko:K00973	sys:SYNPCCN_2251
ko:K01879	sys:SYNPCCN_2252
ko:K04094	sys:SYNPCCN_2255
ko:K03495	sys:SYNPCCN_2257
ko:K03798	sys:SYNPCCN_2264
ko:K01338	sys:SYNPCCN_2265
ko:K03118	sys:SYNPCCN_2266
ko:K01247	sys:SYNPCCN_2269
ko:K04077	sys:SYNPCCN_2274
ko:K02657	sys:SYNPCCN_0627
ko:K01147	sys:SYNPCCN_0628
ko:K03798	sys:SYNPCCN_0630
ko:K04758	sys:SYNPCCN_0632
ko:K04759	sys:SYNPCCN_0633
ko:K09775	sys:SYNPCCN_0636
ko:K11780	sys:SYNPCCN_0642
ko:K06999	sys:SYNPCCN_0643
ko:K06381	sys:SYNPCCN_0644
ko:K01991	sys:SYNPCCN_0649
ko:K01875	sys:SYNPCCN_0652
ko:K02286	sys:SYNPCCN_0654
ko:K02286	sys:SYNPCCN_0655
ko:K02284	sys:SYNPCCN_0656
ko:K02285	sys:SYNPCCN_0657
ko:K07213	sys:SYNPCCN_0664
ko:K02337	sys:SYNPCCN_0666
ko:K05567	sys:SYNPCCN_0675
ko:K05567	sys:SYNPCCN_0677
ko:K01698	sys:SYNPCCN_1490
ko:K01735	sys:SYNPCCN_1492
ko:K03568	sys:SYNPCCN_1497
ko:K02493	sys:SYNPCCN_1498
ko:K01251	sys:SYNPCCN_1503
ko:K02112	sys:SYNPCCN_1511
ko:K02114	sys:SYNPCCN_1512
ko:K09458	sys:SYNPCCN_1514
ko:K05588	sys:SYNPCCN_1519
ko:K07259	sys:SYNPCCN_1529
ko:K02697	sys:SYNPCCN_1531
ko:K02694	sys:SYNPCCN_1532
ko:K01409	sys:SYNPCCN_1533
ko:K02860	sys:SYNPCCN_1534
ko:K07056	sys:SYNPCCN_1537
ko:K03593	sys:SYNPCCN_2332
ko:K01961	sys:SYNPCCN_2333
ko:K00604	sys:SYNPCCN_2336
ko:K02986	sys:SYNPCCN_2339
ko:K00147	sys:SYNPCCN_2341
ko:K03702	sys:SYNPCCN_2344
ko:K02722	sys:SYNPCCN_2346
ko:K11175	sys:SYNPCCN_2347
ko:K03980	sys:SYNPCCN_2354
ko:K01911	sys:SYNPCCN_2357
ko:K01809	sys:SYNPCCN_2358
ko:K00003	sys:SYNPCCN_2360
ko:K06133	sys:SYNPCCN_2361
ko:K01889	sys:SYNPCCN_2363
ko:K03088	sys:SYNPCCN_2369
ko:K02036	sys:SYNPCCN_2372
ko:K02036	sys:SYNPCCN_2373
ko:K02038	sys:SYNPCCN_2374
ko:K02037	sys:SYNPCCN_2375
ko:K02040	sys:SYNPCCN_2376
ko:K02040	sys:SYNPCCN_2377
ko:K09458	sys:SYNPCCN_0736
ko:K02078	sys:SYNPCCN_0737
ko:K03594	sys:SYNPCCN_0740
ko:K02897	sys:SYNPCCN_0742
ko:K01939	sys:SYNPCCN_0743
ko:K02909	sys:SYNPCCN_0745
ko:K02996	sys:SYNPCCN_0746
ko:K02871	sys:SYNPCCN_0747
ko:K06173	sys:SYNPCCN_0748
ko:K02879	sys:SYNPCCN_0749
ko:K01972	sys:SYNPCCN_0010
ko:K02015	sys:SYNPCCN_0012
ko:K01585	sys:SYNPCCN_0009
ko:K02015	sys:SYNPCCN_0013
ko:K02013	sys:SYNPCCN_0014
ko:K02016	sys:SYNPCCN_0015
ko:K02016	sys:SYNPCCN_0020
ko:K02014	sys:SYNPCCN_0021
ko:K02014	sys:SYNPCCN_0024
ko:K03561	sys:SYNPCCN_0026
ko:K02867	sys:SYNPCCN_0844
ko:K02601	sys:SYNPCCN_0845
ko:K03073	sys:SYNPCCN_0846
ko:K02884	sys:SYNPCCN_0847
ko:K02639	sys:SYNPCCN_0853
ko:K03821	sys:SYNPCCN_0855
ko:K05575	sys:SYNPCCN_0859
ko:K05577	sys:SYNPCCN_0860
ko:K02689	sys:SYNPCCN_0862
ko:K02690	sys:SYNPCCN_0863
ko:K06147	sys:SYNPCCN_0865
ko:K00162	sys:SYNPCCN_0870
ko:K00865	sys:SYNPCCN_0873
ko:K01738	sys:SYNPCCN_0875
ko:K00036	sys:SYNPCCN_0876
ko:K03701	sys:SYNPCCN_0877
ko:K03530	sys:SYNPCCN_0883
ko:K03654	sys:SYNPCCN_0886
ko:K02188	sys:SYNPCCN_0888
ko:K01770	sys:SYNPCCN_0891
ko:K03327	sys:SYNPCCN_0892
ko:K02294	sys:SYNPCCN_0893
ko:K03088	sys:SYNPCCN_0896
ko:K02662	sys:SYNPCCN_1699
ko:K02666	sys:SYNPCCN_1702
ko:K04075	sys:SYNPCCN_1705
ko:K01733	sys:SYNPCCN_1706
ko:K05582	sys:SYNPCCN_1708
ko:K05581	sys:SYNPCCN_1709
ko:K07052	sys:SYNPCCN_1718
ko:K01704	sys:SYNPCCN_1722
ko:K01937	sys:SYNPCCN_1723
ko:K10257	sys:SYNPCCN_1726
ko:K00275	sys:SYNPCCN_1727
ko:K05896	sys:SYNPCCN_1728
ko:K03106	sys:SYNPCCN_1730
ko:K02434	sys:SYNPCCN_1733
ko:K07447	sys:SYNPCCN_3072
ko:K01524	sys:SYNPCCN_3073
ko:K00799	sys:SYNPCCN_3075
ko:K01778	sys:SYNPCCN_3077
ko:K02348	sys:SYNPCCN_3086
ko:K04561	sys:SYNPCCN_3087
ko:K01687	sys:SYNPCCN_3099
ko:K03177	sys:SYNPCCN_3106
ko:K01091	sys:SYNPCCN_3107
ko:K04079	sys:SYNPCCN_3113
ko:K00975	sys:SYNPCCN_3114
ko:K09001	sys:SYNPCCN_3117
ko:K02835	sys:SYNPCCN_3118
ko:K09807	sys:SYNPCCN_2277
ko:K03787	sys:SYNPCCN_3120
ko:K02954	sys:SYNPCCN_2379
ko:K03969	sys:SYNPCCN_2380
ko:K03070	sys:SYNPCCN_2382
ko:K02948	sys:SYNPCCN_0751
ko:K02952	sys:SYNPCCN_0752
ko:K02919	sys:SYNPCCN_0753
ko:K02518	sys:SYNPCCN_0754
ko:K00939	sys:SYNPCCN_0755
ko:K03076	sys:SYNPCCN_0756
ko:K02876	sys:SYNPCCN_0757
ko:K02988	sys:SYNPCCN_0758
ko:K02881	sys:SYNPCCN_0759
ko:K02933	sys:SYNPCCN_0760
ko:K02994	sys:SYNPCCN_0761
ko:K02931	sys:SYNPCCN_0762
ko:K02895	sys:SYNPCCN_0763
ko:K03040	sys:SYNPCCN_0750
ko:K02874	sys:SYNPCCN_0764
ko:K02961	sys:SYNPCCN_0765
ko:K02904	sys:SYNPCCN_0766
ko:K02878	sys:SYNPCCN_0767
ko:K02982	sys:SYNPCCN_0768
ko:K02890	sys:SYNPCCN_0769
ko:K02965	sys:SYNPCCN_0770
ko:K02886	sys:SYNPCCN_0771
ko:K02892	sys:SYNPCCN_0772
ko:K02926	sys:SYNPCCN_0773
ko:K02906	sys:SYNPCCN_0774
ko:K04047	sys:SYNPCCN_0775
ko:K08906	sys:SYNPCCN_0779
ko:K00930	sys:SYNPCCN_0781
ko:K03188	sys:SYNPCCN_0782
ko:K00640	sys:SYNPCCN_1591
ko:K01810	sys:SYNPCCN_1592
ko:K10255	sys:SYNPCCN_1593
ko:K01929	sys:SYNPCCN_1595
ko:K02939	sys:SYNPCCN_1597
ko:K04653	sys:SYNPCCN_1604
ko:K02259	sys:SYNPCCN_1606
ko:K14652	sys:SYNPCCN_1614
ko:K02500	sys:SYNPCCN_1616
ko:K02230	sys:SYNPCCN_1620
ko:K03666	sys:SYNPCCN_1622
ko:K03977	sys:SYNPCCN_1630
ko:K00620	sys:SYNPCCN_1632
ko:K04652	sys:SYNPCCN_1736
ko:K01297	sys:SYNPCCN_1738
ko:K02946	sys:SYNPCCN_1744
ko:K02358	sys:SYNPCCN_1745
ko:K02355	sys:SYNPCCN_1746
ko:K02992	sys:SYNPCCN_1747
ko:K02913	sys:SYNPCCN_2544
ko:K02963	sys:SYNPCCN_2545
ko:K01775	sys:SYNPCCN_2546
ko:K03321	sys:SYNPCCN_2548
ko:K02034	sys:SYNPCCN_2549
ko:K03924	sys:SYNPCCN_2553
ko:K02355	sys:SYNPCCN_2556
ko:K01933	sys:SYNPCCN_2557
ko:K03183	sys:SYNPCCN_2558
ko:K01772	sys:SYNPCCN_2559
ko:K01426	sys:SYNPCCN_2560
ko:K05577	sys:SYNPCCN_2566
ko:K00240	sys:SYNPCCN_2569
ko:K00954	sys:SYNPCCN_2573
ko:K03501	sys:SYNPCCN_2575
ko:K09014	sys:SYNPCCN_2578
ko:K09013	sys:SYNPCCN_2579
ko:K09015	sys:SYNPCCN_2580
ko:K11717	sys:SYNPCCN_2581
ko:K03273	sys:SYNPCCN_2584
ko:K03271	sys:SYNPCCN_2585
ko:K01737	sys:SYNPCCN_2586
ko:K03469	sys:SYNPCCN_2589
ko:K07657	sys:SYNPCCN_2590
ko:K14441	sys:SYNPCCN_2591
ko:K05592	sys:SYNPCCN_2592
ko:K00145	sys:SYNPCCN_2593
ko:K02501	sys:SYNPCCN_2594
ko:K01868	sys:SYNPCCN_2595
ko:K02010	sys:SYNPCCN_1637
ko:K06203	sys:SYNPCCN_1641
ko:K01955	sys:SYNPCCN_2438
ko:K02825	sys:SYNPCCN_2440
ko:K01495	sys:SYNPCCN_2441
ko:K01787	sys:SYNPCCN_1634
ko:K07460	sys:SYNPCCN_2443
ko:K01807	sys:SYNPCCN_2448
ko:K09942	sys:SYNPCCN_2452
ko:K03087	sys:SYNPCCN_2454
ko:K02221	sys:SYNPCCN_2456
ko:K02471	sys:SYNPCCN_2459
ko:K12073	sys:SYNPCCN_2463
ko:K01885	sys:SYNPCCN_2464
ko:K07028	sys:SYNPCCN_2465
ko:K08998	sys:SYNPCCN_2472
ko:K00548	sys:SYNPCCN_2473
ko:K03592	sys:SYNPCCN_2478
ko:K03327	sys:SYNPCCN_2481
ko:K00366	sys:SYNPCCN_2483
ko:K01725	sys:SYNPCCN_2484
ko:K03750	sys:SYNPCCN_2485
ko:K03639	sys:SYNPCCN_2486
ko:K03637	sys:SYNPCCN_2487
ko:K03636	sys:SYNPCCN_2488
ko:K03635	sys:SYNPCCN_2489
ko:K02014	sys:SYNPCCN_0031
ko:K06168	sys:SYNPCCN_0578
ko:K06118	sys:SYNPCCN_0579
ko:K11312	sys:SYNPCCN_0585
ko:K01070	sys:SYNPCCN_0588
ko:K00121	sys:SYNPCCN_0589
ko:K03405	sys:SYNPCCN_0591
ko:K01061	sys:SYNPCCN_0614
ko:K02660	sys:SYNPCCN_0624
ko:K02658	sys:SYNPCCN_0626
ko:K01881	sys:SYNPCCN_1431
ko:K03498	sys:SYNPCCN_1439
ko:K03621	sys:SYNPCCN_1440
ko:K00648	sys:SYNPCCN_1441
ko:K01866	sys:SYNPCCN_0592
ko:K02717	sys:SYNPCCN_1442
ko:K07086	sys:SYNPCCN_1443
ko:K01866	sys:SYNPCCN_0595
ko:K00858	sys:SYNPCCN_1445
ko:K03100	sys:SYNPCCN_0608
ko:K04564	sys:SYNPCCN_1450
ko:K00052	sys:SYNPCCN_1451
ko:K02548	sys:SYNPCCN_1453
ko:K07079	sys:SYNPCCN_1455
ko:K03665	sys:SYNPCCN_1456
ko:K07075	sys:SYNPCCN_1461
ko:K01255	sys:SYNPCCN_1462
ko:K00425	sys:SYNPCCN_0610
ko:K07130	sys:SYNPCCN_1481
ko:K00058	sys:SYNPCCN_1483
ko:K07107	sys:SYNPCCN_2282
ko:K02549	sys:SYNPCCN_2283
ko:K02356	sys:SYNPCCN_2285
ko:K02160	sys:SYNPCCN_2286
ko:K00812	sys:SYNPCCN_2295
ko:K00426	sys:SYNPCCN_0611
ko:K03439	sys:SYNPCCN_0612
ko:K01647	sys:SYNPCCN_2296
ko:K08296	sys:SYNPCCN_2297
ko:K03154	sys:SYNPCCN_2300
ko:K00784	sys:SYNPCCN_2301
ko:K01433	sys:SYNPCCN_2304
ko:K01673	sys:SYNPCCN_2305
ko:K00925	sys:SYNPCCN_0613
ko:K07395	sys:SYNPCCN_2306
ko:K00799	sys:SYNPCCN_2308
ko:K01653	sys:SYNPCCN_2310
ko:K07042	sys:SYNPCCN_2312
ko:K00901	sys:SYNPCCN_2313
ko:K04040	sys:SYNPCCN_2315
ko:K14518	sys:SYNPCCN_2317
ko:K07001	sys:SYNPCCN_2322
ko:K04043	sys:SYNPCCN_2325
ko:K03687	sys:SYNPCCN_2326
ko:K02652	sys:SYNPCCN_2327
ko:K07444	sys:SYNPCCN_2328
ko:K11752	sys:SYNPCCN_2330
ko:K08983	sys:SYNPCCN_3126
ko:K12957	sys:SYNPCCN_3132
ko:K01940	sys:SYNPCCN_3133
ko:K01589	sys:SYNPCCN_3136
ko:K00926	sys:SYNPCCN_3145
ko:K02004	sys:SYNPCCN_3150
ko:K03711	sys:SYNPCCN_3151
ko:K01470	sys:SYNPCCN_3152
ko:K00602	sys:SYNPCCN_3153
ko:K00384	sys:SYNPCCN_3158
ko:K02337	sys:SYNPCCN_3162
ko:K03596	sys:SYNPCCN_3163
ko:K07393	sys:SYNPCCN_3164
ko:K11755	sys:SYNPCCN_3167
ko:K00626	sys:SYNPCCN_1305
ko:K02291	sys:SYNPCCN_1271
ko:K08226	sys:SYNPCCN_1307
ko:K01430	sys:SYNPCCN_1273
ko:K13282	sys:SYNPCCN_1312
ko:K03802	sys:SYNPCCN_1313
ko:K00799	sys:SYNPCCN_1315
ko:K03650	sys:SYNPCCN_1319
ko:K07090	sys:SYNPCCN_1279
ko:K11754	sys:SYNPCCN_1322
ko:K00135	sys:SYNPCCN_2124
ko:K07636	sys:SYNPCCN_2125
ko:K01963	sys:SYNPCCN_2126
ko:K07116	sys:SYNPCCN_2132
ko:K00943	sys:SYNPCCN_2133
ko:K01759	sys:SYNPCCN_2135
ko:K00059	sys:SYNPCCN_2136
ko:K00033	sys:SYNPCCN_2139
ko:K04487	sys:SYNPCCN_2143
ko:K04039	sys:SYNPCCN_2148
ko:K03499	sys:SYNPCCN_2149
ko:K03072	sys:SYNPCCN_2152
ko:K03074	sys:SYNPCCN_2153
ko:K02536	sys:SYNPCCN_2154
ko:K02887	sys:SYNPCCN_2155
ko:K02916	sys:SYNPCCN_2156
ko:K03630	sys:SYNPCCN_2157
ko:K07146	sys:SYNPCCN_2158
ko:K00764	sys:SYNPCCN_2166
ko:K02718	sys:SYNPCCN_2167
ko:K07978	sys:SYNPCCN_1281
ko:K07738	sys:SYNPCCN_2168
ko:K03386	sys:SYNPCCN_2170
ko:K02834	sys:SYNPCCN_2171
