ko:K11707	ctv:CTG9301_00355
ko:K09817	ctv:CTG9301_02155
ko:K09816	ctv:CTG9301_02160
ko:K03979	ctv:CTG9301_02165
ko:K02899	ctv:CTG9301_02170
ko:K02888	ctv:CTG9301_02175
ko:K07042	ctv:CTG9301_02195
ko:K03183	ctv:CTG9301_02225
ko:K01778	ctv:CTG9301_02235
ko:K01358	ctv:CTG9301_02240
ko:K00600	ctv:CTG9301_02245
ko:K01770	ctv:CTG9301_02260
ko:K02946	ctv:CTG9301_02270
ko:K02355	ctv:CTG9301_02275
ko:K02992	ctv:CTG9301_02280
ko:K02950	ctv:CTG9301_02285
ko:K03797	ctv:CTG9301_02295
ko:K07462	ctv:CTG9301_02335
ko:K03582	ctv:CTG9301_03375
ko:K03583	ctv:CTG9301_03380
ko:K03168	ctv:CTG9301_03395
ko:K02221	ctv:CTG9301_03405
ko:K03581	ctv:CTG9301_03445
ko:K06861	ctv:CTG9301_03455
ko:K01627	ctv:CTG9301_03465
ko:K06180	ctv:CTG9301_03485
ko:K06960	ctv:CTG9301_03490
ko:K02469	ctv:CTG9301_03495
ko:K02470	ctv:CTG9301_03500
ko:K02492	ctv:CTG9301_03505
ko:K03224	ctv:CTG9301_03540
ko:K02417	ctv:CTG9301_03555
ko:K03219	ctv:CTG9301_03565
ko:K02838	ctv:CTG9301_03585
ko:K09903	ctv:CTG9301_03590
ko:K02357	ctv:CTG9301_03595
ko:K02967	ctv:CTG9301_03600
ko:K03046	ctv:CTG9301_01605
ko:K03043	ctv:CTG9301_01610
ko:K02935	ctv:CTG9301_01615
ko:K02864	ctv:CTG9301_01620
ko:K02863	ctv:CTG9301_01625
ko:K02867	ctv:CTG9301_01630
ko:K02601	ctv:CTG9301_01635
ko:K03073	ctv:CTG9301_01640
ko:K02358	ctv:CTG9301_01645
ko:K02518	ctv:CTG9301_01650
ko:K01803	ctv:CTG9301_01680
ko:K03601	ctv:CTG9301_01685
ko:K03602	ctv:CTG9301_01690
ko:K01662	ctv:CTG9301_01700
ko:K00873	ctv:CTG9301_01705
ko:K03701	ctv:CTG9301_01710
ko:K02343	ctv:CTG9301_01715
ko:K09747	ctv:CTG9301_01720
ko:K11381	ctv:CTG9301_01750
ko:K03686	ctv:CTG9301_01755
ko:K02970	ctv:CTG9301_01760
ko:K01338	ctv:CTG9301_01770
ko:K03733	ctv:CTG9301_01785
ko:K06287	ctv:CTG9301_01795
ko:K04487	ctv:CTG9301_01325
ko:K07083	ctv:CTG9301_01345
ko:K01962	ctv:CTG9301_01360
ko:K01448	ctv:CTG9301_01375
ko:K01928	ctv:CTG9301_01380
ko:K03587	ctv:CTG9301_01385
ko:K03438	ctv:CTG9301_01395
ko:K02313	ctv:CTG9301_01410
ko:K00347	ctv:CTG9301_01425
ko:K00348	ctv:CTG9301_01430
ko:K00349	ctv:CTG9301_01435
ko:K00350	ctv:CTG9301_01440
ko:K02437	ctv:CTG9301_01445
ko:K03800	ctv:CTG9301_01460
ko:K03696	ctv:CTG9301_01465
ko:K00566	ctv:CTG9301_01470
ko:K01963	ctv:CTG9301_01505
ko:K04564	ctv:CTG9301_01510
ko:K03685	ctv:CTG9301_01525
ko:K04485	ctv:CTG9301_01530
ko:K01749	ctv:CTG9301_01535
ko:K01873	ctv:CTG9301_01545
ko:K02600	ctv:CTG9301_00500
ko:K02945	ctv:CTG9301_00505
ko:K00384	ctv:CTG9301_00510
ko:K00997	ctv:CTG9301_00515
ko:K00208	ctv:CTG9301_00540
ko:K03575	ctv:CTG9301_00555
ko:K04077	ctv:CTG9301_00570
ko:K04078	ctv:CTG9301_00575
ko:K08602	ctv:CTG9301_00580
ko:K03695	ctv:CTG9301_00585
ko:K01783	ctv:CTG9301_00625
ko:K02356	ctv:CTG9301_00630
ko:K02160	ctv:CTG9301_00635
ko:K01961	ctv:CTG9301_00640
ko:K02871	ctv:CTG9301_00645
ko:K02996	ctv:CTG9301_00650
ko:K02029	ctv:CTG9301_00665
ko:K07058	ctv:CTG9301_00680
ko:K06999	ctv:CTG9301_00700
ko:K07566	ctv:CTG9301_00705
ko:K09125	ctv:CTG9301_00720
ko:K07039	ctv:CTG9301_00725
ko:K01972	ctv:CTG9301_00755
ko:K02913	ctv:CTG9301_00775
ko:K09808	ctv:CTG9301_00780
ko:K09779	ctv:CTG9301_00010
ko:K02435	ctv:CTG9301_00015
ko:K02434	ctv:CTG9301_00025
ko:K02517	ctv:CTG9301_00055
ko:K00425	ctv:CTG9301_00070
ko:K00426	ctv:CTG9301_00075
ko:K07175	ctv:CTG9301_00080
ko:K01870	ctv:CTG9301_00105
ko:K03100	ctv:CTG9301_00110
ko:K02909	ctv:CTG9301_00120
ko:K02835	ctv:CTG9301_00125
ko:K02493	ctv:CTG9301_00130
ko:K03106	ctv:CTG9301_00135
ko:K02959	ctv:CTG9301_00140
ko:K00554	ctv:CTG9301_00145
ko:K02884	ctv:CTG9301_00150
ko:K03470	ctv:CTG9301_00155
ko:K00942	ctv:CTG9301_00160
ko:K01874	ctv:CTG9301_00170
ko:K03581	ctv:CTG9301_00175
ko:K01494	ctv:CTG9301_00205
ko:K03551	ctv:CTG9301_00215
ko:K04066	ctv:CTG9301_04130
ko:K04567	ctv:CTG9301_04150
ko:K01883	ctv:CTG9301_04155
ko:K03536	ctv:CTG9301_04165
ko:K02919	ctv:CTG9301_04170
ko:K02954	ctv:CTG9301_04175
ko:K03703	ctv:CTG9301_04200
ko:K03555	ctv:CTG9301_04205
ko:K14164	ctv:CTG9301_04225
ko:K00995	ctv:CTG9301_04235
ko:K00703	ctv:CTG9301_04240
ko:K02897	ctv:CTG9301_04245
ko:K01056	ctv:CTG9301_04250
ko:K02990	ctv:CTG9301_04255
ko:K02963	ctv:CTG9301_04260
ko:K02939	ctv:CTG9301_04265
ko:K00919	ctv:CTG9301_04270
ko:K00630	ctv:CTG9301_04290
ko:K08301	ctv:CTG9301_04295
ko:K02911	ctv:CTG9301_04305
ko:K03621	ctv:CTG9301_04310
ko:K03431	ctv:CTG9301_04340
ko:K00820	ctv:CTG9301_04345
ko:K03834	ctv:CTG9301_04350
ko:K03834	ctv:CTG9301_04360
ko:K06890	ctv:CTG9301_04365
ko:K03110	ctv:CTG9301_04370
ko:K01903	ctv:CTG9301_04375
ko:K01902	ctv:CTG9301_04380
ko:K00240	ctv:CTG9301_03115
ko:K00239	ctv:CTG9301_03120
ko:K03424	ctv:CTG9301_03135
ko:K03562	ctv:CTG9301_03145
ko:K03641	ctv:CTG9301_03160
ko:K03640	ctv:CTG9301_03165
ko:K03648	ctv:CTG9301_03205
ko:K03657	ctv:CTG9301_03210
ko:K03092	ctv:CTG9301_03215
ko:K06137	ctv:CTG9301_03220
ko:K13941	ctv:CTG9301_03235
ko:K01633	ctv:CTG9301_03240
ko:K03086	ctv:CTG9301_03245
ko:K02968	ctv:CTG9301_03255
ko:K03980	ctv:CTG9301_03290
ko:K01151	ctv:CTG9301_03295
ko:K02986	ctv:CTG9301_03305
ko:K07146	ctv:CTG9301_03310
ko:K13789	ctv:CTG9301_03315
ko:K01698	ctv:CTG9301_03345
ko:K00346	ctv:CTG9301_03350
ko:K12257	ctv:CTG9301_02345
ko:K00806	ctv:CTG9301_02355
ko:K00981	ctv:CTG9301_02365
ko:K00945	ctv:CTG9301_02370
ko:K00655	ctv:CTG9301_02375
ko:K01887	ctv:CTG9301_02380
ko:K00790	ctv:CTG9301_02385
ko:K02836	ctv:CTG9301_02405
ko:K00991	ctv:CTG9301_02420
ko:K06173	ctv:CTG9301_02425
ko:K07710	ctv:CTG9301_02445
ko:K03584	ctv:CTG9301_02460
ko:K08998	ctv:CTG9301_02485
ko:K01890	ctv:CTG9301_02495
ko:K02034	ctv:CTG9301_02510
ko:K01772	ctv:CTG9301_02555
ko:K07099	ctv:CTG9301_02570
ko:K00975	ctv:CTG9301_02575
ko:K03628	ctv:CTG9301_02585
ko:K00859	ctv:CTG9301_02590
ko:K03720	ctv:CTG9301_00865
ko:K01696	ctv:CTG9301_00875
ko:K01695	ctv:CTG9301_00880
ko:K03611	ctv:CTG9301_00910
ko:K00979	ctv:CTG9301_00940
ko:K01937	ctv:CTG9301_00945
ko:K07447	ctv:CTG9301_00950
ko:K00036	ctv:CTG9301_00955
ko:K01057	ctv:CTG9301_00960
ko:K02343	ctv:CTG9301_00965
ko:K00943	ctv:CTG9301_00970
ko:K02469	ctv:CTG9301_00975
ko:K02470	ctv:CTG9301_00980
ko:K00773	ctv:CTG9301_00995
ko:K06213	ctv:CTG9301_01000
ko:K15580	ctv:CTG9301_01020
ko:K15581	ctv:CTG9301_01025
ko:K03319	ctv:CTG9301_01050
ko:K02527	ctv:CTG9301_01070
ko:K01869	ctv:CTG9301_01075
ko:K01845	ctv:CTG9301_01080
ko:K07735	ctv:CTG9301_01085
ko:K08999	ctv:CTG9301_01090
ko:K01807	ctv:CTG9301_01095
ko:K03787	ctv:CTG9301_01120
ko:K03179	ctv:CTG9301_01125
ko:K03186	ctv:CTG9301_01130
ko:K03308	ctv:CTG9301_01190
ko:K02078	ctv:CTG9301_01215
ko:K00645	ctv:CTG9301_01225
ko:K00648	ctv:CTG9301_01230
ko:K06187	ctv:CTG9301_01235
ko:K07277	ctv:CTG9301_01240
ko:K06142	ctv:CTG9301_01245
ko:K02536	ctv:CTG9301_01250
ko:K00161	ctv:CTG9301_01260
ko:K00162	ctv:CTG9301_01265
ko:K00627	ctv:CTG9301_01270
ko:K00688	ctv:CTG9301_01275
ko:K02313	ctv:CTG9301_01285
ko:K03217	ctv:CTG9301_01290
ko:K03162	ctv:CTG9301_03615
ko:K00970	ctv:CTG9301_03735
ko:K01596	ctv:CTG9301_03770
ko:K00972	ctv:CTG9301_03795
ko:K07098	ctv:CTG9301_02415
ko:K00567	ctv:CTG9301_02505
ko:K02033	ctv:CTG9301_02515
ko:K02035	ctv:CTG9301_02520
ko:K02030	ctv:CTG9301_02560
ko:K06179	ctv:CTG9301_00550
ko:K00939	ctv:CTG9301_00660
ko:K02035	ctv:CTG9301_00715
ko:K06889	ctv:CTG9301_00770
ko:K02123	ctv:CTG9301_01560
ko:K02120	ctv:CTG9301_01565
ko:K02118	ctv:CTG9301_01570
ko:K02117	ctv:CTG9301_01575
ko:K02121	ctv:CTG9301_01585
ko:K00616	ctv:CTG9301_01600
ko:K08483	ctv:CTG9301_01725
ko:K11189	ctv:CTG9301_01730
ko:K00784	ctv:CTG9301_01780
ko:K02342	ctv:CTG9301_02820
ko:K01934	ctv:CTG9301_03425
ko:K06910	ctv:CTG9301_03905
ko:K07117	ctv:CTG9301_03910
ko:K01507	ctv:CTG9301_04100
ko:K01082	ctv:CTG9301_04110
ko:K01909	ctv:CTG9301_04120
ko:K03856	ctv:CTG9301_01975
ko:K02035	ctv:CTG9301_00905
ko:K02049	ctv:CTG9301_00930
ko:K01409	ctv:CTG9301_01015
ko:K15582	ctv:CTG9301_01030
ko:K02433	ctv:CTG9301_00020
ko:K03471	ctv:CTG9301_00045
ko:K00652	ctv:CTG9301_04125
ko:K01408	ctv:CTG9301_04285
ko:K07258	ctv:CTG9301_02895
ko:K03227	ctv:CTG9301_02970
ko:K02454	ctv:CTG9301_03010
ko:K01262	ctv:CTG9301_03025
ko:K07315	ctv:CTG9301_03100
ko:K06889	ctv:CTG9301_01060
ko:K00059	ctv:CTG9301_01220
ko:K00380	ctv:CTG9301_02265
ko:K01885	ctv:CTG9301_02325
ko:K00970	ctv:CTG9301_02125
ko:K09815	ctv:CTG9301_02150
ko:K01719	ctv:CTG9301_02255
ko:K00033	ctv:CTG9301_00330
ko:K03177	ctv:CTG9301_00485
ko:K01679	ctv:CTG9301_04565
ko:K04763	ctv:CTG9301_04615
ko:K00700	ctv:CTG9301_04625
ko:K07052	ctv:CTG9301_01305
ko:K02342	ctv:CTG9301_01340
ko:K02806	ctv:CTG9301_01490
ko:K02806	ctv:CTG9301_01495
ko:K02124	ctv:CTG9301_01555
ko:K00241	ctv:CTG9301_03125
ko:K00241	ctv:CTG9301_03130
ko:K03386	ctv:CTG9301_03180
ko:K02428	ctv:CTG9301_03195
ko:K00813	ctv:CTG9301_03365
ko:K14232	ctv:CTG9301_t04684
ko:K14233	ctv:CTG9301_t04710
ko:K14228	ctv:CTG9301_t04754
ko:K01840	ctv:CTG9301_01515
ko:K11645	ctv:CTG9301_01105
ko:K15583	ctv:CTG9301_01040
ko:K14221	ctv:CTG9301_t04698
ko:K00850	ctv:CTG9301_01055
ko:K10823	ctv:CTG9301_01035
ko:K14223	ctv:CTG9301_t04748
ko:K01834	ctv:CTG9301_03830
ko:K14226	ctv:CTG9301_t04744
ko:K07714	ctv:CTG9301_02450
ko:K00895	ctv:CTG9301_01065
ko:K01985	ctv:CTG9301_r04756
ko:K01985	ctv:CTG9301_r04758
ko:K11709	ctv:CTG9301_00370
ko:K11708	ctv:CTG9301_00365
ko:K11710	ctv:CTG9301_00360
ko:K14233	ctv:CTG9301_t04752
ko:K03559	ctv:CTG9301_03150
ko:K14219	ctv:CTG9301_t04732
ko:K14227	ctv:CTG9301_t04690
ko:K09810	ctv:CTG9301_00785
ko:K14234	ctv:CTG9301_t04686
ko:K02028	ctv:CTG9301_00670
ko:K14220	ctv:CTG9301_t04682
ko:K14222	ctv:CTG9301_t04746
ko:K01980	ctv:CTG9301_r04764
ko:K01980	ctv:CTG9301_r04766
ko:K17103	ctv:CTG9301_04400
ko:K01977	ctv:CTG9301_r04760
ko:K01977	ctv:CTG9301_r04762
ko:K14233	ctv:CTG9301_t04708
ko:K14228	ctv:CTG9301_t04714
ko:K04084	ctv:CTG9301_03140
ko:K14236	ctv:CTG9301_t04688
ko:K14218	ctv:CTG9301_t04730
ko:K14230	ctv:CTG9301_t04694
ko:K14230	ctv:CTG9301_t04706
ko:K14235	ctv:CTG9301_t04702
ko:K14233	ctv:CTG9301_t04720
ko:K14231	ctv:CTG9301_t04712
ko:K14228	ctv:CTG9301_t04722
ko:K14228	ctv:CTG9301_t04724
ko:K14219	ctv:CTG9301_t04716
ko:K14232	ctv:CTG9301_t04728
ko:K14229	ctv:CTG9301_t04736
ko:K14224	ctv:CTG9301_t04738
ko:K14218	ctv:CTG9301_t04692
ko:K14219	ctv:CTG9301_t04726
ko:K14234	ctv:CTG9301_t04734
ko:K14225	ctv:CTG9301_t04740
ko:K14228	ctv:CTG9301_t04718
ko:K14237	ctv:CTG9301_t04700
ko:K14230	ctv:CTG9301_t04696
ko:K14234	ctv:CTG9301_t04704
ko:K14225	ctv:CTG9301_t04742
ko:K14237	ctv:CTG9301_t04750
ko:K06972	ctv:CTG9301_04390
ko:K08719	ctv:CTG9301_03785
ko:K07081	ctv:CTG9301_02220
ko:K02520	ctv:CTG9301_04440
ko:K08275	ctv:CTG9301_00420
ko:K01802	ctv:CTG9301_02845
ko:K08274	ctv:CTG9301_01950
ko:K01921	ctv:CTG9301_04050
ko:K01924	ctv:CTG9301_04050
ko:K01829	ctv:CTG9301_04140
ko:K01829	ctv:CTG9301_04160
ko:K03309	ctv:CTG9301_02080
ko:K07033	ctv:CTG9301_03635
ko:K01214	ctv:CTG9301_00225
ko:K03825	ctv:CTG9301_02400
ko:K03496	ctv:CTG9301_03070
ko:K03497	ctv:CTG9301_03655
ko:K03111	ctv:CTG9301_00235
ko:K02626	ctv:CTG9301_01930
ko:K11991	ctv:CTG9301_04500
ko:K02031	ctv:CTG9301_03665
ko:K04771	ctv:CTG9301_04385
ko:K19411	ctv:CTG9301_03575
ko:K19405	ctv:CTG9301_03570
ko:K07125	ctv:CTG9301_01660
ko:K22100	ctv:CTG9301_01675
ko:K12132	ctv:CTG9301_01540
ko:K20265	ctv:CTG9301_01110
ko:K20074	ctv:CTG9301_01330
ko:K11749	ctv:CTG9301_00380
ko:K22099	ctv:CTG9301_03225
ko:K00526	ctv:CTG9301_04410
ko:K02335	ctv:CTG9301_02595
ko:K01520	ctv:CTG9301_01500
ko:K02314	ctv:CTG9301_02625
ko:K00287	ctv:CTG9301_03230
ko:K03553	ctv:CTG9301_03435
ko:K02316	ctv:CTG9301_04210
ko:K02032	ctv:CTG9301_03660
ko:K00525	ctv:CTG9301_04405
ko:K02050	ctv:CTG9301_04560
ko:K02051	ctv:CTG9301_04560
ko:K01534	ctv:CTG9301_03860
ko:K16239	ctv:CTG9301_00440
