ko:K00813	cpsc:B711_0007
ko:K04075	cpsc:B711_0876
ko:K07091	cpsc:B711_0877
ko:K11720	cpsc:B711_0878
ko:K01889	cpsc:B711_0881
ko:K02887	cpsc:B711_0882
ko:K02916	cpsc:B711_0883
ko:K02520	cpsc:B711_0884
ko:K02520	cpsc:B711_0885
ko:K03625	cpsc:B711_0886
ko:K00075	cpsc:B711_0887
ko:K03439	cpsc:B711_0890
ko:K09760	cpsc:B711_0894
ko:K01902	cpsc:B711_0898
ko:K01903	cpsc:B711_0899
ko:K03110	cpsc:B711_0900
ko:K06890	cpsc:B711_0901
ko:K03834	cpsc:B711_0902
ko:K00820	cpsc:B711_0903
ko:K03431	cpsc:B711_0904
ko:K00748	cpsc:B711_0906
ko:K00263	cpsc:B711_0964
ko:K09458	cpsc:B711_0967
ko:K09710	cpsc:B711_0968
ko:K00791	cpsc:B711_0974
ko:K03926	cpsc:B711_0977
ko:K06960	cpsc:B711_0978
ko:K02563	cpsc:B711_0980
ko:K03588	cpsc:B711_0981
ko:K01925	cpsc:B711_0983
ko:K01000	cpsc:B711_0984
ko:K01929	cpsc:B711_0985
ko:K02356	cpsc:B711_0991
ko:K01241	cpsc:B711_0992
ko:K00615	cpsc:B711_0993
ko:K01872	cpsc:B711_0994
ko:K03723	cpsc:B711_0995
ko:K01599	cpsc:B711_0997
ko:K00231	cpsc:B711_0999
ko:K03210	cpsc:B711_1003
ko:K00351	cpsc:B711_1004
ko:K03466	cpsc:B711_1013
ko:K03569	cpsc:B711_1045
ko:K03545	cpsc:B711_1048
ko:K01358	cpsc:B711_1050
ko:K03544	cpsc:B711_1051
ko:K03977	cpsc:B711_1053
ko:K03070	cpsc:B711_1055
ko:K01613	cpsc:B711_1057
ko:K03650	cpsc:B711_1058
ko:K10773	cpsc:B711_1060
ko:K03311	cpsc:B711_1062
ko:K00382	cpsc:B711_1065
ko:K03644	cpsc:B711_1066
ko:K03222	cpsc:B711_1067
ko:K03223	cpsc:B711_1069
ko:K03226	cpsc:B711_1071
ko:K03228	cpsc:B711_1074
ko:K02886	cpsc:B711_0116
ko:K02994	cpsc:B711_0126
ko:K02933	cpsc:B711_0127
ko:K02881	cpsc:B711_0128
ko:K02988	cpsc:B711_0129
ko:K02876	cpsc:B711_0130
ko:K03076	cpsc:B711_0131
ko:K02952	cpsc:B711_0132
ko:K02948	cpsc:B711_0133
ko:K03040	cpsc:B711_0134
ko:K02879	cpsc:B711_0135
ko:K00134	cpsc:B711_0136
ko:K01159	cpsc:B711_0141
ko:K03550	cpsc:B711_0142
ko:K00940	cpsc:B711_0143
ko:K03800	cpsc:B711_0144
ko:K03495	cpsc:B711_0145
ko:K00995	cpsc:B711_0148
ko:K03301	cpsc:B711_0149
ko:K00350	cpsc:B711_0419
ko:K00349	cpsc:B711_0420
ko:K00348	cpsc:B711_0422
ko:K00347	cpsc:B711_0423
ko:K02313	cpsc:B711_0426
ko:K03438	cpsc:B711_0429
ko:K03587	cpsc:B711_0431
ko:K01928	cpsc:B711_0434
ko:K01448	cpsc:B711_0435
ko:K01962	cpsc:B711_0440
ko:K07083	cpsc:B711_0443
ko:K01937	cpsc:B711_0689
ko:K01937	cpsc:B711_0690
ko:K07447	cpsc:B711_0691
ko:K15581	cpsc:B711_0696
ko:K03319	cpsc:B711_0701
ko:K02527	cpsc:B711_0707
ko:K01869	cpsc:B711_0708
ko:K01972	cpsc:B711_0713
ko:K03695	cpsc:B711_0729
ko:K02065	cpsc:B711_0731
ko:K02066	cpsc:B711_0732
ko:K01845	cpsc:B711_0733
ko:K07735	cpsc:B711_0734
ko:K08999	cpsc:B711_0735
ko:K01807	cpsc:B711_0736
ko:K02935	cpsc:B711_0798
ko:K02864	cpsc:B711_0799
ko:K02863	cpsc:B711_0800
ko:K02867	cpsc:B711_0801
ko:K02601	cpsc:B711_0802
ko:K03073	cpsc:B711_0803
ko:K02358	cpsc:B711_0805
ko:K02518	cpsc:B711_0807
ko:K03523	cpsc:B711_0812
ko:K01714	cpsc:B711_0818
ko:K00928	cpsc:B711_0819
ko:K00133	cpsc:B711_0820
ko:K00215	cpsc:B711_0821
ko:K09125	cpsc:B711_0823
ko:K01012	cpsc:B711_0826
ko:K01935	cpsc:B711_0828
ko:K00833	cpsc:B711_0829
ko:K00800	cpsc:B711_0832
ko:K00891	cpsc:B711_0833
ko:K01736	cpsc:B711_0834
ko:K01735	cpsc:B711_0835
ko:K13832	cpsc:B711_0836
ko:K03758	cpsc:B711_0840
ko:K00024	cpsc:B711_0843
ko:K01810	cpsc:B711_0845
ko:K03621	cpsc:B711_0924
ko:K02911	cpsc:B711_0925
ko:K08301	cpsc:B711_0927
ko:K00630	cpsc:B711_0928
ko:K00919	cpsc:B711_0932
ko:K02939	cpsc:B711_0933
ko:K02963	cpsc:B711_0934
ko:K02990	cpsc:B711_0935
ko:K01056	cpsc:B711_0936
ko:K02897	cpsc:B711_0937
ko:K00703	cpsc:B711_0939
ko:K00995	cpsc:B711_0940
ko:K14164	cpsc:B711_0942
ko:K03555	cpsc:B711_0948
ko:K03703	cpsc:B711_0949
ko:K02954	cpsc:B711_0951
ko:K02919	cpsc:B711_0952
ko:K01883	cpsc:B711_0956
ko:K04567	cpsc:B711_0957
ko:K04066	cpsc:B711_0960
ko:K00655	cpsc:B711_0962
ko:K03310	cpsc:B711_1017
ko:K00794	cpsc:B711_1021
ko:K14652	cpsc:B711_1022
ko:K11752	cpsc:B711_1023
ko:K01875	cpsc:B711_1024
ko:K05837	cpsc:B711_1027
ko:K03524	cpsc:B711_1028
ko:K06178	cpsc:B711_1030
ko:K04487	cpsc:B711_1032
ko:K13819	cpsc:B711_1033
ko:K02409	cpsc:B711_1035
ko:K02411	cpsc:B711_1036
ko:K02412	cpsc:B711_1037
ko:K00057	cpsc:B711_1040
ko:K02455	cpsc:B711_1080
ko:K02453	cpsc:B711_1082
ko:K03572	cpsc:B711_1086
ko:K01868	cpsc:B711_1092
ko:K01867	cpsc:B711_1097
ko:K03702	cpsc:B711_1098
ko:K01689	cpsc:B711_1100
ko:K00240	cpsc:B711_1107
ko:K00239	cpsc:B711_1108
ko:K03424	cpsc:B711_1110
ko:K03562	cpsc:B711_1112
ko:K03641	cpsc:B711_1115
ko:K03640	cpsc:B711_1116
ko:K03648	cpsc:B711_1125
ko:K03657	cpsc:B711_1126
ko:K03092	cpsc:B711_1128
ko:K02931	cpsc:B711_0125
ko:K00859	cpsc:B711_0152
ko:K03628	cpsc:B711_0153
ko:K00762	cpsc:B711_0156
ko:K00975	cpsc:B711_0157
ko:K07099	cpsc:B711_0158
ko:K01772	cpsc:B711_0161
ko:K02034	cpsc:B711_0171
ko:K01890	cpsc:B711_0174
ko:K03584	cpsc:B711_0179
ko:K00208	cpsc:B711_0448
ko:K03575	cpsc:B711_0453
ko:K04487	cpsc:B711_0463
ko:K01494	cpsc:B711_0467
ko:K03551	cpsc:B711_0468
ko:K03168	cpsc:B711_1130
ko:K02221	cpsc:B711_1132
ko:K06137	cpsc:B711_1138
ko:K13941	cpsc:B711_1141
ko:K01633	cpsc:B711_1144
ko:K03086	cpsc:B711_1145
ko:K02968	cpsc:B711_1148
ko:K03581	cpsc:B711_1150
ko:K13789	cpsc:B711_1154
ko:K01255	cpsc:B711_0473
ko:K02340	cpsc:B711_0476
ko:K07056	cpsc:B711_0477
ko:K00164	cpsc:B711_0485
ko:K00658	cpsc:B711_0486
ko:K05810	cpsc:B711_0487
ko:K03526	cpsc:B711_0488
ko:K03980	cpsc:B711_0018
ko:K02838	cpsc:B711_0057
ko:K09903	cpsc:B711_0058
ko:K02357	cpsc:B711_0059
ko:K02967	cpsc:B711_0060
ko:K03162	cpsc:B711_0062
ko:K09013	cpsc:B711_0066
ko:K09015	cpsc:B711_0067
ko:K11717	cpsc:B711_0068
ko:K07220	cpsc:B711_0074
ko:K03306	cpsc:B711_0075
ko:K00927	cpsc:B711_0076
ko:K02337	cpsc:B711_0091
ko:K07783	cpsc:B711_0092
ko:K01892	cpsc:B711_0095
ko:K01876	cpsc:B711_0096
ko:K03216	cpsc:B711_0098
ko:K03671	cpsc:B711_0099
ko:K06925	cpsc:B711_0103
ko:K03820	cpsc:B711_0106
ko:K02535	cpsc:B711_0107
ko:K02372	cpsc:B711_0108
ko:K00677	cpsc:B711_0109
ko:K01698	cpsc:B711_0001
ko:K00346	cpsc:B711_0002
ko:K07714	cpsc:B711_0183
ko:K07710	cpsc:B711_0185
ko:K06173	cpsc:B711_0190
ko:K00991	cpsc:B711_0191
ko:K02836	cpsc:B711_0194
ko:K00790	cpsc:B711_0199
ko:K01887	cpsc:B711_0200
ko:K00655	cpsc:B711_0201
ko:K00945	cpsc:B711_0202
ko:K00981	cpsc:B711_0203
ko:K00806	cpsc:B711_0205
ko:K02400	cpsc:B711_0500
ko:K02405	cpsc:B711_0501
ko:K01866	cpsc:B711_0503
ko:K03596	cpsc:B711_0505
ko:K03301	cpsc:B711_0507
ko:K00099	cpsc:B711_0514
ko:K03629	cpsc:B711_0517
ko:K02338	cpsc:B711_0518
ko:K03664	cpsc:B711_0519
ko:K03734	cpsc:B711_0520
ko:K01491	cpsc:B711_0521
ko:K12257	cpsc:B711_0209
ko:K07462	cpsc:B711_0210
ko:K03797	cpsc:B711_0218
ko:K02950	cpsc:B711_0223
ko:K02992	cpsc:B711_0224
ko:K02355	cpsc:B711_0225
ko:K02946	cpsc:B711_0226
ko:K01770	cpsc:B711_0228
ko:K02888	cpsc:B711_0231
ko:K02899	cpsc:B711_0232
ko:K03979	cpsc:B711_0233
ko:K09817	cpsc:B711_0234
ko:K00788	cpsc:B711_0237
ko:K00878	cpsc:B711_0238
ko:K03310	cpsc:B711_0243
ko:K03101	cpsc:B711_0244
ko:K06204	cpsc:B711_0245
ko:K07738	cpsc:B711_0246
ko:K00793	cpsc:B711_0247
ko:K06969	cpsc:B711_0248
ko:K03437	cpsc:B711_0249
ko:K00912	cpsc:B711_0250
ko:K00658	cpsc:B711_0252
ko:K06041	cpsc:B711_0253
ko:K07164	cpsc:B711_0254
ko:K00600	cpsc:B711_0260
ko:K01358	cpsc:B711_0261
ko:K01778	cpsc:B711_0262
ko:K03183	cpsc:B711_0264
ko:K07042	cpsc:B711_0271
ko:K03652	cpsc:B711_0275
ko:K12573	cpsc:B711_0276
ko:K04043	cpsc:B711_0277
ko:K03687	cpsc:B711_0279
ko:K03705	cpsc:B711_0280
ko:K01881	cpsc:B711_0281
ko:K09131	cpsc:B711_0284
ko:K10206	cpsc:B711_0286
ko:K06966	cpsc:B711_0289
ko:K09996	cpsc:B711_0299
ko:K06167	cpsc:B711_0301
ko:K03665	cpsc:B711_0302
ko:K09779	cpsc:B711_0340
ko:K02435	cpsc:B711_0342
ko:K02434	cpsc:B711_0344
ko:K06888	cpsc:B711_0356
ko:K02528	cpsc:B711_0358
ko:K01662	cpsc:B711_0359
ko:K03602	cpsc:B711_0361
ko:K03601	cpsc:B711_0362
ko:K01803	cpsc:B711_0363
ko:K03075	cpsc:B711_0365
ko:K03582	cpsc:B711_0011
ko:K03583	cpsc:B711_0012
ko:K07146	cpsc:B711_0014
ko:K02986	cpsc:B711_0015
ko:K01151	cpsc:B711_0016
ko:K01462	cpsc:B711_0367
ko:K06287	cpsc:B711_0371
ko:K03733	cpsc:B711_0374
ko:K01338	cpsc:B711_0377
ko:K02970	cpsc:B711_0379
ko:K03686	cpsc:B711_0380
ko:K11381	cpsc:B711_0381
ko:K09747	cpsc:B711_0387
ko:K02343	cpsc:B711_0388
ko:K07037	cpsc:B711_0390
ko:K02902	cpsc:B711_0530
ko:K00705	cpsc:B711_0531
ko:K04058	cpsc:B711_0533
ko:K03230	cpsc:B711_0534
ko:K03229	cpsc:B711_0535
ko:K06942	cpsc:B711_0536
ko:K11753	cpsc:B711_0537
ko:K02834	cpsc:B711_0539
ko:K02519	cpsc:B711_0540
ko:K02600	cpsc:B711_0541
ko:K02945	cpsc:B711_0542
ko:K00384	cpsc:B711_0543
ko:K00997	cpsc:B711_0545
ko:K03217	cpsc:B711_0548
ko:K02313	cpsc:B711_0549
ko:K00688	cpsc:B711_0551
ko:K00627	cpsc:B711_0552
ko:K00162	cpsc:B711_0553
ko:K00161	cpsc:B711_0554
ko:K02536	cpsc:B711_0556
ko:K06142	cpsc:B711_0557
ko:K07277	cpsc:B711_0558
ko:K06187	cpsc:B711_0559
ko:K00648	cpsc:B711_0560
ko:K00645	cpsc:B711_0561
ko:K02078	cpsc:B711_0563
ko:K03308	cpsc:B711_0569
ko:K06213	cpsc:B711_0573
ko:K00604	cpsc:B711_0110
ko:K02906	cpsc:B711_0113
ko:K02926	cpsc:B711_0114
ko:K02892	cpsc:B711_0115
ko:K02965	cpsc:B711_0117
ko:K02890	cpsc:B711_0118
ko:K02982	cpsc:B711_0119
ko:K02878	cpsc:B711_0120
ko:K02904	cpsc:B711_0121
ko:K02961	cpsc:B711_0122
ko:K02874	cpsc:B711_0123
ko:K02895	cpsc:B711_0124
ko:K01749	cpsc:B711_0394
ko:K04485	cpsc:B711_0395
ko:K03685	cpsc:B711_0396
ko:K04564	cpsc:B711_0399
ko:K01963	cpsc:B711_0400
ko:K00566	cpsc:B711_0409
ko:K03696	cpsc:B711_0410
ko:K03800	cpsc:B711_0412
ko:K02437	cpsc:B711_0416
ko:K00850	cpsc:B711_0702
ko:K00895	cpsc:B711_0704
ko:K02806	cpsc:B711_0403
ko:K02806	cpsc:B711_0404
ko:K00939	cpsc:B711_0618
ko:K01409	cpsc:B711_0625
ko:K00088	cpsc:B711_0661
ko:K02049	cpsc:B711_0683
ko:K02124	cpsc:B711_0786
ko:K02123	cpsc:B711_0787
ko:K02120	cpsc:B711_0788
ko:K02118	cpsc:B711_0789
ko:K02117	cpsc:B711_0790
ko:K02121	cpsc:B711_0792
ko:K00616	cpsc:B711_0795
ko:K01679	cpsc:B711_0858
ko:K00970	cpsc:B711_0905
ko:K01082	cpsc:B711_0963
ko:K01507	cpsc:B711_0965
ko:K01596	cpsc:B711_1044
ko:K00970	cpsc:B711_1052
ko:K03227	cpsc:B711_1072
ko:K03307	cpsc:B711_0294
ko:K03856	cpsc:B711_0296
ko:K00700	cpsc:B711_0307
ko:K02035	cpsc:B711_0693
ko:K02035	cpsc:B711_0694
ko:K02035	cpsc:B711_0695
ko:K15582	cpsc:B711_0697
ko:K10823	cpsc:B711_0698
ko:K15583	cpsc:B711_0699
ko:K06889	cpsc:B711_0703
ko:K06889	cpsc:B711_0710
ko:K00652	cpsc:B711_0827
ko:K04763	cpsc:B711_0846
ko:K01408	cpsc:B711_0929
ko:K01909	cpsc:B711_0961
ko:K08719	cpsc:B711_1041
ko:K07098	cpsc:B711_0192
ko:K00033	cpsc:B711_0504
ko:K07117	cpsc:B711_1015
ko:K06910	cpsc:B711_1016
ko:K07315	cpsc:B711_1102
ko:K00241	cpsc:B711_1109
ko:K03386	cpsc:B711_1119
ko:K02428	cpsc:B711_1123
ko:K00972	cpsc:B711_1039
ko:K02454	cpsc:B711_1081
ko:K01262	cpsc:B711_1084
ko:K02030	cpsc:B711_0160
ko:K02035	cpsc:B711_0169
ko:K02033	cpsc:B711_0170
ko:K00567	cpsc:B711_0172
ko:K02342	cpsc:B711_0444
ko:K06179	cpsc:B711_0452
ko:K07052	cpsc:B711_0455
ko:K01934	cpsc:B711_1136
ko:K01885	cpsc:B711_0213
ko:K00380	cpsc:B711_0227
ko:K02433	cpsc:B711_0343
ko:K03471	cpsc:B711_0348
ko:K09815	cpsc:B711_0235
ko:K01719	cpsc:B711_0259
ko:K11189	cpsc:B711_0385
ko:K08483	cpsc:B711_0386
ko:K03177	cpsc:B711_0538
ko:K00059	cpsc:B711_0562
ko:K00784	cpsc:B711_0375
ko:K01985	cpsc:B711_1006
ko:K02067	cpsc:B711_0730
ko:K11707	cpsc:B711_0509
ko:K11709	cpsc:B711_0513
ko:K11708	cpsc:B711_0512
ko:K11710	cpsc:B711_0510
ko:K14226	cpsc:B711_1010
ko:K14233	cpsc:B711_0880
ko:K14232	cpsc:B711_0496
ko:K14234	cpsc:B711_0051
ko:K03559	cpsc:B711_1113
ko:K14219	cpsc:B711_0027
ko:K01834	cpsc:B711_1031
ko:K11645	cpsc:B711_0576
ko:K09810	cpsc:B711_0613
ko:K14234	cpsc:B711_0604
ko:K14223	cpsc:B711_0938
ko:K14220	cpsc:B711_0748
ko:K14227	cpsc:B711_0684
ko:K02028	cpsc:B711_0628
ko:K14233	cpsc:B711_0236
ko:K01980	cpsc:B711_1007
ko:K14224	cpsc:B711_0056
ko:K17103	cpsc:B711_0893
ko:K14219	cpsc:B711_0182
ko:K04084	cpsc:B711_1111
ko:K14218	cpsc:B711_0006
ko:K14218	cpsc:B711_0685
ko:K14229	cpsc:B711_0055
ko:K14225	cpsc:B711_0061
ko:K14228	cpsc:B711_0100
ko:K14228	cpsc:B711_0139
ko:K14228	cpsc:B711_0187
ko:K14228	cpsc:B711_0177
ko:K14228	cpsc:B711_0848
ko:K14233	cpsc:B711_0147
ko:K14233	cpsc:B711_0355
ko:K14219	cpsc:B711_0436
ko:K14219	cpsc:B711_1120
ko:K14231	cpsc:B711_0230
ko:K14232	cpsc:B711_1155
ko:K14221	cpsc:B711_0598
ko:K14237	cpsc:B711_0599
ko:K14236	cpsc:B711_0605
ko:K14230	cpsc:B711_0705
ko:K14230	cpsc:B711_0706
ko:K14230	cpsc:B711_0810
ko:K14235	cpsc:B711_0804
ko:K14222	cpsc:B711_0986
ko:K01977	cpsc:B711_1008
ko:K14225	cpsc:B711_1047
ko:K14234	cpsc:B711_0806
ko:K14237	cpsc:B711_0889
ko:K07315	cpsc:B711_1101
ko:K01840	cpsc:B711_0398
ko:K06972	cpsc:B711_0895
ko:K01627	cpsc:B711_0026
ko:K06960	cpsc:B711_0028
ko:K06180	cpsc:B711_0029
ko:K02469	cpsc:B711_0032
ko:K02470	cpsc:B711_0035
ko:K02492	cpsc:B711_0036
ko:K06861	cpsc:B711_0024
ko:K03224	cpsc:B711_0045
ko:K02417	cpsc:B711_0048
ko:K03219	cpsc:B711_0050
ko:K07081	cpsc:B711_0265
ko:K00806	cpsc:B711_0204
ko:K02400	cpsc:B711_0498
ko:K11708	cpsc:B711_0511
ko:K04043	cpsc:B711_0278
ko:K03733	cpsc:B711_0373
ko:K00384	cpsc:B711_0544
ko:K02160	cpsc:B711_0639
ko:K00773	cpsc:B711_0671
ko:K00426	cpsc:B711_0774
ko:K02517	cpsc:B711_0778
ko:K03723	cpsc:B711_0996
ko:K03311	cpsc:B711_1061
ko:K03228	cpsc:B711_1073
ko:K01869	cpsc:B711_0709
ko:K03695	cpsc:B711_0728
ko:K00800	cpsc:B711_0831
ko:K03572	cpsc:B711_1085
ko:K01689	cpsc:B711_1099
ko:K04077	cpsc:B711_1121
ko:K03657	cpsc:B711_1127
ko:K01892	cpsc:B711_0094
ko:K02050	cpsc:B711_0859
ko:K02051	cpsc:B711_0859
ko:K08275	cpsc:B711_0523
ko:K08274	cpsc:B711_0844
ko:K18707	cpsc:B711_0303
ko:K03825	cpsc:B711_0195
ko:K03497	cpsc:B711_0071
ko:K03496	cpsc:B711_1093
ko:K03496	cpsc:B711_p0004
ko:K03111	cpsc:B711_0472
ko:K02626	cpsc:B711_0839
ko:K11991	cpsc:B711_0872
ko:K04771	cpsc:B711_0897
ko:K11749	cpsc:B711_0515
ko:K19405	cpsc:B711_0053
ko:K19411	cpsc:B711_0054
ko:K01963	cpsc:B711_0401
ko:K07033	cpsc:B711_0065
ko:K01802	cpsc:B711_0097
ko:K03309	cpsc:B711_0251
ko:K12132	cpsc:B711_0783
ko:K20074	cpsc:B711_0462
ko:K20265	cpsc:B711_0575
ko:K18707	cpsc:B711_0304
ko:K01214	cpsc:B711_0470
ko:K22099	cpsc:B711_1139
ko:K00526	cpsc:B711_0891
ko:K02335	cpsc:B711_0151
ko:K01520	cpsc:B711_0402
ko:K02314	cpsc:B711_0146
ko:K02316	cpsc:B711_0947
ko:K03553	cpsc:B711_1137
ko:K00287	cpsc:B711_1140
ko:K02314	cpsc:B711_p0008
ko:K00525	cpsc:B711_0892
ko:K02031	cpsc:B711_0073
ko:K01829	cpsc:B711_0953
ko:K01534	cpsc:B711_1026
ko:K16239	cpsc:B711_0529
