ko:K19743	apw:APA42C_08140
ko:K00766	apw:APA42C_12210
ko:K01657	apw:APA42C_12230
ko:K03770	apw:APA42C_12240
ko:K01803	apw:APA42C_12250
ko:K03075	apw:APA42C_12260
ko:K01937	apw:APA42C_12270
ko:K01627	apw:APA42C_12280
ko:K02470	apw:APA42C_12290
ko:K03629	apw:APA42C_12300
ko:K02338	apw:APA42C_12310
ko:K02313	apw:APA42C_12320
ko:K02968	apw:APA42C_12330
ko:K03183	apw:APA42C_12350
ko:K13038	apw:APA42C_12360
ko:K01887	apw:APA42C_21180
ko:K01129	apw:APA42C_21190
ko:K01142	apw:APA42C_21210
ko:K06136	apw:APA42C_21260
ko:K06137	apw:APA42C_21270
ko:K06138	apw:APA42C_21280
ko:K06139	apw:APA42C_21290
ko:K01358	apw:APA42C_21310
ko:K14261	apw:APA42C_21330
ko:K00003	apw:APA42C_21340
ko:K07462	apw:APA42C_21360
ko:K03089	apw:APA42C_21370
ko:K06180	apw:APA42C_21380
ko:K02015	apw:APA42C_21390
ko:K02013	apw:APA42C_21400
ko:K00826	apw:APA42C_21420
ko:K07152	apw:APA42C_21440
ko:K03762	apw:APA42C_21460
ko:K00426	apw:APA42C_21490
ko:K00425	apw:APA42C_21500
ko:K07223	apw:APA42C_21510
ko:K11738	apw:APA42C_21530
ko:K05358	apw:APA42C_21550
ko:K00822	apw:APA42C_21580
ko:K01153	apw:APA42C_43180
ko:K01154	apw:APA42C_43200
ko:K03427	apw:APA42C_43210
ko:K07267	apw:APA42C_18440
ko:K00794	apw:APA42C_18550
ko:K14652	apw:APA42C_18560
ko:K00793	apw:APA42C_18570
ko:K11752	apw:APA42C_18580
ko:K00412	apw:APA42C_18590
ko:K00413	apw:APA42C_18600
ko:K00411	apw:APA42C_18610
ko:K06901	apw:APA42C_18650
ko:K02888	apw:APA42C_18810
ko:K02899	apw:APA42C_18820
ko:K03979	apw:APA42C_18830
ko:K00931	apw:APA42C_18840
ko:K00036	apw:APA42C_18870
ko:K03925	apw:APA42C_18900
ko:K03438	apw:APA42C_18910
ko:K03587	apw:APA42C_18930
ko:K01928	apw:APA42C_18940
ko:K01929	apw:APA42C_18950
ko:K01000	apw:APA42C_18960
ko:K01925	apw:APA42C_18970
ko:K03588	apw:APA42C_18980
ko:K03530	apw:APA42C_40350
ko:K08325	apw:APA42C_40430
ko:K01546	apw:APA42C_40500
ko:K01547	apw:APA42C_40510
ko:K01548	apw:APA42C_40520
ko:K07646	apw:APA42C_40530
ko:K07667	apw:APA42C_40540
ko:K03569	apw:APA42C_00760
ko:K00220	apw:APA42C_02020
ko:K04761	apw:APA42C_02040
ko:K04756	apw:APA42C_02060
ko:K04754	apw:APA42C_02150
ko:K05801	apw:APA42C_02160
ko:K00773	apw:APA42C_02190
ko:K07568	apw:APA42C_02200
ko:K00297	apw:APA42C_02240
ko:K01491	apw:APA42C_02250
ko:K09919	apw:APA42C_02260
ko:K01087	apw:APA42C_02330
ko:K00697	apw:APA42C_02340
ko:K03702	apw:APA42C_02400
ko:K06168	apw:APA42C_10780
ko:K07278	apw:APA42C_10810
ko:K09800	apw:APA42C_10820
ko:K01142	apw:APA42C_10830
ko:K01273	apw:APA42C_10840
ko:K03703	apw:APA42C_10850
ko:K03636	apw:APA42C_10880
ko:K00833	apw:APA42C_10900
ko:K02170	apw:APA42C_10920
ko:K01356	apw:APA42C_10940
ko:K03750	apw:APA42C_10950
ko:K02913	apw:APA42C_10960
ko:K01689	apw:APA42C_10980
ko:K03154	apw:APA42C_11010
ko:K03149	apw:APA42C_11020
ko:K00788	apw:APA42C_11030
ko:K03655	apw:APA42C_11040
ko:K09159	apw:APA42C_11050
ko:K03723	apw:APA42C_11060
ko:K14347	apw:APA42C_11080
ko:K09883	apw:APA42C_11100
ko:K03801	apw:APA42C_11150
ko:K00963	apw:APA42C_11170
ko:K03639	apw:APA42C_11190
ko:K00928	apw:APA42C_11270
ko:K15539	apw:APA42C_11290
ko:K03777	apw:APA42C_20440
ko:K00767	apw:APA42C_20490
ko:K03517	apw:APA42C_20500
ko:K03885	apw:APA42C_20530
ko:K06911	apw:APA42C_20580
ko:K03581	apw:APA42C_41760
ko:K01154	apw:APA42C_41860
ko:K03427	apw:APA42C_41890
ko:K01438	apw:APA42C_41960
ko:K00362	apw:APA42C_42110
ko:K02575	apw:APA42C_42150
ko:K07303	apw:APA42C_04660
ko:K07302	apw:APA42C_04670
ko:K07146	apw:APA42C_05200
ko:K03832	apw:APA42C_13490
ko:K03561	apw:APA42C_13510
ko:K03088	apw:APA42C_13610
ko:K03088	apw:APA42C_13660
ko:K15553	apw:APA42C_13670
ko:K15554	apw:APA42C_13690
ko:K03119	apw:APA42C_13710
ko:K02188	apw:APA42C_14480
ko:K05936	apw:APA42C_14490
ko:K02189	apw:APA42C_14500
ko:K05895	apw:APA42C_14520
ko:K03394	apw:APA42C_14540
ko:K06042	apw:APA42C_14550
ko:K02229	apw:APA42C_14560
ko:K00117	apw:APA42C_14620
ko:K08137	apw:APA42C_22940
ko:K03303	apw:APA42C_22960
ko:K03274	apw:APA42C_22980
ko:K13292	apw:APA42C_22990
ko:K05810	apw:APA42C_23010
ko:K09771	apw:APA42C_23060
ko:K00817	apw:APA42C_23090
ko:K00615	apw:APA42C_23110
ko:K13810	apw:APA42C_23120
ko:K01057	apw:APA42C_23150
ko:K01807	apw:APA42C_23160
ko:K02016	apw:APA42C_23200
ko:K03281	apw:APA42C_23210
ko:K06997	apw:APA42C_23230
ko:K03549	apw:APA42C_23240
ko:K01673	apw:APA42C_06410
ko:K00950	apw:APA42C_06430
ko:K03060	apw:APA42C_06440
ko:K00997	apw:APA42C_06460
ko:K03100	apw:APA42C_06470
ko:K03685	apw:APA42C_06480
ko:K09903	apw:APA42C_06500
ko:K02838	apw:APA42C_06510
ko:K00806	apw:APA42C_06520
ko:K00981	apw:APA42C_06530
ko:K00099	apw:APA42C_06540
ko:K11749	apw:APA42C_06550
ko:K07277	apw:APA42C_06560
ko:K02536	apw:APA42C_06580
ko:K02372	apw:APA42C_06590
ko:K00677	apw:APA42C_06600
ko:K02914	apw:APA42C_06640
ko:K03536	apw:APA42C_06650
ko:K03217	apw:APA42C_06660
ko:K03978	apw:APA42C_06670
ko:K00930	apw:APA42C_06680
ko:K06173	apw:APA42C_06720
ko:K00604	apw:APA42C_06730
ko:K01462	apw:APA42C_06740
ko:K07140	apw:APA42C_06790
ko:K06861	apw:APA42C_06800
ko:K09774	apw:APA42C_06810
ko:K11719	apw:APA42C_06820
ko:K06041	apw:APA42C_06830
ko:K03684	apw:APA42C_06840
ko:K03218	apw:APA42C_06850
ko:K00942	apw:APA42C_06880
ko:K03272	apw:APA42C_06890
ko:K02065	apw:APA42C_06950
ko:K08169	apw:APA42C_15800
ko:K03088	apw:APA42C_15880
ko:K11720	apw:APA42C_16110
ko:K01091	apw:APA42C_16140
ko:K04042	apw:APA42C_16150
ko:K00820	apw:APA42C_16160
ko:K00432	apw:APA42C_16240
ko:K09808	apw:APA42C_16260
ko:K01881	apw:APA42C_16270
ko:K03525	apw:APA42C_16290
ko:K02956	apw:APA42C_24360
ko:K02066	apw:APA42C_24380
ko:K02065	apw:APA42C_24390
ko:K06192	apw:APA42C_24400
ko:K09857	apw:APA42C_24410
ko:K03558	apw:APA42C_24510
ko:K00764	apw:APA42C_24520
ko:K09857	apw:APA42C_24530
ko:K06192	apw:APA42C_24540
ko:K03808	apw:APA42C_24550
ko:K02109	apw:APA42C_24590
ko:K02109	apw:APA42C_24600
ko:K02110	apw:APA42C_24610
ko:K02108	apw:APA42C_24620
ko:K03110	apw:APA42C_24640
ko:K01778	apw:APA42C_24660
ko:K05592	apw:APA42C_24690
ko:K02996	apw:APA42C_24720
ko:K02871	apw:APA42C_24730
ko:K02039	apw:APA42C_24760
ko:K02036	apw:APA42C_24770
ko:K02038	apw:APA42C_24780
ko:K02037	apw:APA42C_24790
ko:K01687	apw:APA42C_24800
ko:K00413	apw:APA42C_08080
ko:K10679	apw:APA42C_08130
ko:K00154	apw:APA42C_08150
ko:K00606	apw:APA42C_08560
ko:K04775	apw:APA42C_08600
ko:K01586	apw:APA42C_08630
ko:K01755	apw:APA42C_08650
ko:K01953	apw:APA42C_17360
ko:K06980	apw:APA42C_17370
ko:K00748	apw:APA42C_17390
ko:K02291	apw:APA42C_17430
ko:K04564	apw:APA42C_17440
ko:K03695	apw:APA42C_17450
ko:K03665	apw:APA42C_17470
ko:K03666	apw:APA42C_17480
ko:K13599	apw:APA42C_17490
ko:K13598	apw:APA42C_17500
ko:K07712	apw:APA42C_17510
ko:K07708	apw:APA42C_17520
ko:K12506	apw:APA42C_17540
ko:K00761	apw:APA42C_17660
ko:K00012	apw:APA42C_17690
ko:K04752	apw:APA42C_17710
ko:K00640	apw:APA42C_17720
ko:K03185	apw:APA42C_17730
ko:K02356	apw:APA42C_17810
ko:K03704	apw:APA42C_17840
ko:K01061	apw:APA42C_17850
ko:K00566	apw:APA42C_25990
ko:K04755	apw:APA42C_26000
ko:K04487	apw:APA42C_26010
ko:K04487	apw:APA42C_26020
ko:K07018	apw:APA42C_26030
ko:K01883	apw:APA42C_26050
ko:K11754	apw:APA42C_26070
ko:K01963	apw:APA42C_26080
ko:K03671	apw:APA42C_26090
ko:K06925	apw:APA42C_26120
ko:K13584	apw:APA42C_26130
ko:K03431	apw:APA42C_26140
ko:K00796	apw:APA42C_26150
ko:K03798	apw:APA42C_26160
ko:K04075	apw:APA42C_26170
ko:K03640	apw:APA42C_26190
ko:K03641	apw:APA42C_26200
ko:K03562	apw:APA42C_26230
ko:K07107	apw:APA42C_26240
ko:K03551	apw:APA42C_26250
ko:K03550	apw:APA42C_26260
ko:K01159	apw:APA42C_26270
ko:K03070	apw:APA42C_26290
ko:K00620	apw:APA42C_26310
ko:K00286	apw:APA42C_26410
ko:K03530	apw:APA42C_26450
ko:K01173	apw:APA42C_03550
ko:K03924	apw:APA42C_09740
ko:K09986	apw:APA42C_09750
ko:K03543	apw:APA42C_09780
ko:K03446	apw:APA42C_09790
ko:K08311	apw:APA42C_09800
ko:K09798	apw:APA42C_09810
ko:K03797	apw:APA42C_09820
ko:K15633	apw:APA42C_09840
ko:K01754	apw:APA42C_09850
ko:K03624	apw:APA42C_09860
ko:K01955	apw:APA42C_09870
ko:K01956	apw:APA42C_09880
ko:K09117	apw:APA42C_09890
ko:K03086	apw:APA42C_09910
ko:K02990	apw:APA42C_09930
ko:K02963	apw:APA42C_09940
ko:K02939	apw:APA42C_09950
ko:K00574	apw:APA42C_09960
ko:K02528	apw:APA42C_09970
ko:K03771	apw:APA42C_09980
ko:K04744	apw:APA42C_09990
ko:K11720	apw:APA42C_10000
ko:K07091	apw:APA42C_10010
ko:K03608	apw:APA42C_10050
ko:K03609	apw:APA42C_10060
ko:K03610	apw:APA42C_10070
ko:K07007	apw:APA42C_10090
ko:K07056	apw:APA42C_10110
ko:K07736	apw:APA42C_10130
ko:K01070	apw:APA42C_10150
ko:K09811	apw:APA42C_10170
ko:K09812	apw:APA42C_10180
ko:K01419	apw:APA42C_10230
ko:K03667	apw:APA42C_10240
ko:K02563	apw:APA42C_18990
ko:K01924	apw:APA42C_19000
ko:K00075	apw:APA42C_19010
ko:K01921	apw:APA42C_19020
ko:K03589	apw:APA42C_19030
ko:K03590	apw:APA42C_19040
ko:K03531	apw:APA42C_19050
ko:K02535	apw:APA42C_19060
ko:K05807	apw:APA42C_19070
ko:K03631	apw:APA42C_19080
ko:K01972	apw:APA42C_19090
ko:K09773	apw:APA42C_19110
ko:K01626	apw:APA42C_19150
ko:K00763	apw:APA42C_19160
ko:K08281	apw:APA42C_19190
ko:K07233	apw:APA42C_19240
ko:K00053	apw:APA42C_19250
ko:K01653	apw:APA42C_19260
ko:K01652	apw:APA42C_19270
ko:K00791	apw:APA42C_19280
ko:K01079	apw:APA42C_19290
ko:K07276	apw:APA42C_19310
ko:K00600	apw:APA42C_19360
ko:K01698	apw:APA42C_19380
ko:K02621	apw:APA42C_19400
ko:K03584	apw:APA42C_19410
ko:K02357	apw:APA42C_19420
ko:K02967	apw:APA42C_19430
ko:K00826	apw:APA42C_19460
ko:K01665	apw:APA42C_19470
ko:K02337	apw:APA42C_19490
ko:K01918	apw:APA42C_19480
ko:K01126	apw:APA42C_40680
ko:K06199	apw:APA42C_40710
ko:K03322	apw:APA42C_40840
ko:K11924	apw:APA42C_40860
ko:K02471	apw:APA42C_40850
ko:K15342	apw:APA42C_41090
ko:K01720	apw:APA42C_03590
ko:K01895	apw:APA42C_03620
ko:K01876	apw:APA42C_03690
ko:K01620	apw:APA42C_03700
ko:K02897	apw:APA42C_03710
ko:K01056	apw:APA42C_03720
ko:K06942	apw:APA42C_03730
ko:K00147	apw:APA42C_03740
ko:K00969	apw:APA42C_03750
ko:K09710	apw:APA42C_03760
ko:K00783	apw:APA42C_03770
ko:K01575	apw:APA42C_03800
ko:K01652	apw:APA42C_03810
ko:K01576	apw:APA42C_03830
ko:K00782	apw:APA42C_03860
ko:K00790	apw:APA42C_03880
ko:K01494	apw:APA42C_03890
ko:K00720	apw:APA42C_03950
ko:K01662	apw:APA42C_03970
ko:K00919	apw:APA42C_04030
ko:K01873	apw:APA42C_12410
ko:K09991	apw:APA42C_12420
ko:K00573	apw:APA42C_12440
ko:K00946	apw:APA42C_12510
ko:K03625	apw:APA42C_12520
ko:K07738	apw:APA42C_12530
ko:K02440	apw:APA42C_12560
ko:K00111	apw:APA42C_12570
ko:K02444	apw:APA42C_12580
ko:K03654	apw:APA42C_12590
ko:K03088	apw:APA42C_12650
ko:K03088	apw:APA42C_12660
ko:K15738	apw:APA42C_12680
ko:K01194	apw:APA42C_12690
ko:K06193	apw:APA42C_12710
ko:K00077	apw:APA42C_12730
ko:K07402	apw:APA42C_12880
ko:K13482	apw:APA42C_12890
ko:K01464	apw:APA42C_21680
ko:K01817	apw:APA42C_21730
ko:K01591	apw:APA42C_21740
ko:K00097	apw:APA42C_21780
ko:K03474	apw:APA42C_21790
ko:K09001	apw:APA42C_21810
ko:K03919	apw:APA42C_21860
ko:K05916	apw:APA42C_21890
ko:K02072	apw:APA42C_21900
ko:K02071	apw:APA42C_21910
ko:K02073	apw:APA42C_21920
ko:K02302	apw:APA42C_21940
ko:K00077	apw:APA42C_22010
ko:K02053	apw:APA42C_22140
ko:K07341	apw:APA42C_43770
ko:K03811	apw:APA42C_05480
ko:K01433	apw:APA42C_05510
ko:K13771	apw:APA42C_05530
ko:K06199	apw:APA42C_05550
ko:K10806	apw:APA42C_05590
ko:K03521	apw:APA42C_05750
ko:K03522	apw:APA42C_05800
ko:K00925	apw:APA42C_14700
ko:K03737	apw:APA42C_14730
ko:K02379	apw:APA42C_14790
ko:K03752	apw:APA42C_14800
ko:K03753	apw:APA42C_14810
ko:K03750	apw:APA42C_14820
ko:K02380	apw:APA42C_14830
ko:K00123	apw:APA42C_14860
ko:K01524	apw:APA42C_14880
ko:K00847	apw:APA42C_14900
ko:K03602	apw:APA42C_14920
ko:K00795	apw:APA42C_14930
ko:K01662	apw:APA42C_14940
ko:K06442	apw:APA42C_14950
ko:K06941	apw:APA42C_14970
ko:K01940	apw:APA42C_14980
ko:K03773	apw:APA42C_14990
ko:K01867	apw:APA42C_15010
ko:K03500	apw:APA42C_15070
ko:K02034	apw:APA42C_15100
ko:K00459	apw:APA42C_15140
ko:K09474	apw:APA42C_15150
ko:K01169	apw:APA42C_15160
ko:K01114	apw:APA42C_15180
ko:K03189	apw:APA42C_23410
ko:K03188	apw:APA42C_23420
ko:K03187	apw:APA42C_23430
ko:K01428	apw:APA42C_23440
ko:K01429	apw:APA42C_23450
ko:K01430	apw:APA42C_23460
ko:K03190	apw:APA42C_23470
ko:K07241	apw:APA42C_23480
ko:K03594	apw:APA42C_23530
ko:K01246	apw:APA42C_23560
ko:K07090	apw:APA42C_23600
ko:K06911	apw:APA42C_23640
ko:K03543	apw:APA42C_23660
ko:K01799	apw:APA42C_23730
ko:K15357	apw:APA42C_23740
ko:K14974	apw:APA42C_23790
ko:K02066	apw:APA42C_06960
ko:K04485	apw:APA42C_06980
ko:K13821	apw:APA42C_07050
ko:K01895	apw:APA42C_07080
ko:K06968	apw:APA42C_07120
ko:K07566	apw:APA42C_07190
ko:K01255	apw:APA42C_07210
ko:K02339	apw:APA42C_07220
ko:K03579	apw:APA42C_07250
ko:K04083	apw:APA42C_07270
ko:K03565	apw:APA42C_07310
ko:K03116	apw:APA42C_07330
ko:K08967	apw:APA42C_07350
ko:K09880	apw:APA42C_07360
ko:K11753	apw:APA42C_07370
ko:K01870	apw:APA42C_07380
ko:K03101	apw:APA42C_07390
ko:K03572	apw:APA42C_07410
ko:K00342	apw:APA42C_07420
ko:K11939	apw:APA42C_07430
ko:K02622	apw:APA42C_07440
ko:K01738	apw:APA42C_07480
ko:K03797	apw:APA42C_07510
ko:K03524	apw:APA42C_16300
ko:K00343	apw:APA42C_16310
ko:K00341	apw:APA42C_16320
ko:K00340	apw:APA42C_16330
ko:K00339	apw:APA42C_16340
ko:K00338	apw:APA42C_16350
ko:K00337	apw:APA42C_16360
ko:K00334	apw:APA42C_16390
ko:K00333	apw:APA42C_16400
ko:K00332	apw:APA42C_16410
ko:K00331	apw:APA42C_16420
ko:K00330	apw:APA42C_16430
ko:K03530	apw:APA42C_16460
ko:K01338	apw:APA42C_16470
ko:K03544	apw:APA42C_16480
ko:K01358	apw:APA42C_16490
ko:K03545	apw:APA42C_16500
ko:K03215	apw:APA42C_16550
ko:K11717	apw:APA42C_16590
ko:K09015	apw:APA42C_16600
ko:K09013	apw:APA42C_16610
ko:K09014	apw:APA42C_16620
ko:K01595	apw:APA42C_16650
ko:K02355	apw:APA42C_16670
ko:K02902	apw:APA42C_16680
ko:K00990	apw:APA42C_16720
ko:K03555	apw:APA42C_16730
ko:K01299	apw:APA42C_16750
ko:K01733	apw:APA42C_16770
ko:K03592	apw:APA42C_16790
ko:K09985	apw:APA42C_24930
ko:K01676	apw:APA42C_24940
ko:K00285	apw:APA42C_24980
ko:K01775	apw:APA42C_24990
ko:K02834	apw:APA42C_25010
ko:K02519	apw:APA42C_25020
ko:K07742	apw:APA42C_25030
ko:K02600	apw:APA42C_25040
ko:K09748	apw:APA42C_25050
ko:K01681	apw:APA42C_25120
ko:K02194	apw:APA42C_25140
ko:K01581	apw:APA42C_25160
ko:K07058	apw:APA42C_25170
ko:K03642	apw:APA42C_25180
ko:K03786	apw:APA42C_25190
ko:K02160	apw:APA42C_25200
ko:K01961	apw:APA42C_25210
ko:K03147	apw:APA42C_25230
ko:K07243	apw:APA42C_25260
ko:K07230	apw:APA42C_25270
ko:K07267	apw:APA42C_25280
ko:K07267	apw:APA42C_25310
ko:K07447	apw:APA42C_25350
ko:K02435	apw:APA42C_25360
ko:K02434	apw:APA42C_25380
ko:K10773	apw:APA42C_25410
ko:K01772	apw:APA42C_25420
ko:K00014	apw:APA42C_08690
ko:K00859	apw:APA42C_08700
ko:K01783	apw:APA42C_08750
ko:K03500	apw:APA42C_08760
ko:K11175	apw:APA42C_08770
ko:K01933	apw:APA42C_08780
ko:K00937	apw:APA42C_08800
ko:K01524	apw:APA42C_08810
ko:K08715	apw:APA42C_08880
ko:K02199	apw:APA42C_08950
ko:K02198	apw:APA42C_08960
ko:K02197	apw:APA42C_08970
ko:K02195	apw:APA42C_08990
ko:K11738	apw:APA42C_02480
ko:K02346	apw:APA42C_02490
ko:K09769	apw:APA42C_02550
ko:K09888	apw:APA42C_02570
ko:K00788	apw:APA42C_02610
ko:K04568	apw:APA42C_02750
ko:K01265	apw:APA42C_02780
ko:K06891	apw:APA42C_02800
ko:K03694	apw:APA42C_02810
ko:K07735	apw:APA42C_02840
ko:K06958	apw:APA42C_02850
ko:K14980	apw:APA42C_02870
ko:K14981	apw:APA42C_02880
ko:K03687	apw:APA42C_02890
ko:K04043	apw:APA42C_02900
ko:K03686	apw:APA42C_02910
ko:K00215	apw:APA42C_02920
ko:K00789	apw:APA42C_02930
ko:K03439	apw:APA42C_02940
ko:K00602	apw:APA42C_02950
ko:K01892	apw:APA42C_11310
ko:K02835	apw:APA42C_11320
ko:K02493	apw:APA42C_11340
ko:K06153	apw:APA42C_11380
ko:K03642	apw:APA42C_11430
ko:K00943	apw:APA42C_11450
ko:K02341	apw:APA42C_11460
ko:K01874	apw:APA42C_11470
ko:K03424	apw:APA42C_11480
ko:K06167	apw:APA42C_11490
ko:K00275	apw:APA42C_11510
ko:K00208	apw:APA42C_11520
ko:K01736	apw:APA42C_11530
ko:K00116	apw:APA42C_11550
ko:K01737	apw:APA42C_11560
ko:K06920	apw:APA42C_11570
ko:K01012	apw:APA42C_11590
ko:K00390	apw:APA42C_11610
ko:K00957	apw:APA42C_11620
ko:K00955	apw:APA42C_11630
ko:K00381	apw:APA42C_11650
ko:K02527	apw:APA42C_11670
ko:K00912	apw:APA42C_11680
ko:K02517	apw:APA42C_11690
ko:K07082	apw:APA42C_11720
ko:K09458	apw:APA42C_11730
ko:K02078	apw:APA42C_11740
ko:K00645	apw:APA42C_11760
ko:K02002	apw:APA42C_11790
ko:K03704	apw:APA42C_11840
ko:K03561	apw:APA42C_20630
ko:K03832	apw:APA42C_20640
ko:K07160	apw:APA42C_20680
ko:K01961	apw:APA42C_20730
ko:K00812	apw:APA42C_20750
ko:K06044	apw:APA42C_20790
ko:K01236	apw:APA42C_20800
ko:K00703	apw:APA42C_20820
ko:K00156	apw:APA42C_20860
ko:K07152	apw:APA42C_20910
ko:K01875	apw:APA42C_21120
ko:K03118	apw:APA42C_21130
ko:K03117	apw:APA42C_21140
ko:K06024	apw:APA42C_21150
ko:K05896	apw:APA42C_21160
ko:K00549	apw:APA42C_42270
ko:K03576	apw:APA42C_42280
ko:K07726	apw:APA42C_42310
ko:K03893	apw:APA42C_42350
ko:K07043	apw:APA42C_42370
ko:K01153	apw:APA42C_42380
ko:K01154	apw:APA42C_42390
ko:K03427	apw:APA42C_42400
ko:K03549	apw:APA42C_42600
ko:K09780	apw:APA42C_09000
ko:K00684	apw:APA42C_09070
ko:K00982	apw:APA42C_09120
ko:K03564	apw:APA42C_09130
ko:K09760	apw:APA42C_09170
ko:K04078	apw:APA42C_17860
ko:K04077	apw:APA42C_17870
ko:K00973	apw:APA42C_18070
ko:K03320	apw:APA42C_18280
ko:K03733	apw:APA42C_18320
ko:K04066	apw:APA42C_18330
ko:K03210	apw:APA42C_18340
ko:K06923	apw:APA42C_18350
ko:K10764	apw:APA42C_18390
ko:K06195	apw:APA42C_18400
ko:K01495	apw:APA42C_18410
ko:K05520	apw:APA42C_18420
ko:K03638	apw:APA42C_18430
ko:K01950	apw:APA42C_26510
ko:K01693	apw:APA42C_26520
ko:K02501	apw:APA42C_26530
ko:K01814	apw:APA42C_26540
ko:K02500	apw:APA42C_26550
ko:K03501	apw:APA42C_26660
ko:K03495	apw:APA42C_26670
ko:K03650	apw:APA42C_26680
ko:K06966	apw:APA42C_26740
ko:K08973	apw:APA42C_26770
ko:K01599	apw:APA42C_26790
ko:K06287	apw:APA42C_26800
ko:K07043	apw:APA42C_01830
ko:K09160	apw:APA42C_01840
ko:K02426	apw:APA42C_10250
ko:K07302	apw:APA42C_10270
ko:K02916	apw:APA42C_10300
ko:K02887	apw:APA42C_10310
ko:K01889	apw:APA42C_10320
ko:K01890	apw:APA42C_10330
ko:K02040	apw:APA42C_10340
ko:K02986	apw:APA42C_10390
ko:K02837	apw:APA42C_10400
ko:K02687	apw:APA42C_10440
ko:K03657	apw:APA42C_10450
ko:K03630	apw:APA42C_10460
ko:K03630	apw:APA42C_10470
ko:K01589	apw:APA42C_10480
ko:K01588	apw:APA42C_10490
ko:K09987	apw:APA42C_10520
ko:K04080	apw:APA42C_10530
ko:K02909	apw:APA42C_10540
ko:K03282	apw:APA42C_10550
ko:K03072	apw:APA42C_10580
ko:K02523	apw:APA42C_10630
ko:K01776	apw:APA42C_10640
ko:K00762	apw:APA42C_10650
ko:K01647	apw:APA42C_10670
ko:K08296	apw:APA42C_10680
ko:K04092	apw:APA42C_10690
ko:K03529	apw:APA42C_10730
ko:K07042	apw:APA42C_10760
ko:K00812	apw:APA42C_19530
ko:K00812	apw:APA42C_19540
ko:K01894	apw:APA42C_19550
ko:K00940	apw:APA42C_19610
ko:K06158	apw:APA42C_19620
ko:K02520	apw:APA42C_19670
ko:K01868	apw:APA42C_19680
ko:K00858	apw:APA42C_19720
ko:K02204	apw:APA42C_19760
ko:K03527	apw:APA42C_19770
ko:K08602	apw:APA42C_19800
ko:K00266	apw:APA42C_19820
ko:K01448	apw:APA42C_19860
ko:K08300	apw:APA42C_19870
ko:K00765	apw:APA42C_19880
ko:K00013	apw:APA42C_19890
ko:K02518	apw:APA42C_19900
ko:K06287	apw:APA42C_19910
ko:K09862	apw:APA42C_19930
ko:K03530	apw:APA42C_41420
ko:K07090	apw:APA42C_41560
ko:K01908	apw:APA42C_41600
ko:K01502	apw:APA42C_41660
ko:K03701	apw:APA42C_00110
ko:K09384	apw:APA42C_00140
ko:K09019	apw:APA42C_00160
ko:K03789	apw:APA42C_00180
ko:K01945	apw:APA42C_00190
ko:K03601	apw:APA42C_00200
ko:K00831	apw:APA42C_00230
ko:K00325	apw:APA42C_00260
ko:K00324	apw:APA42C_00270
ko:K00324	apw:APA42C_00280
ko:K00133	apw:APA42C_00300
ko:K00242	apw:APA42C_00320
ko:K00239	apw:APA42C_00330
ko:K00240	apw:APA42C_00340
ko:K00927	apw:APA42C_00370
ko:K00134	apw:APA42C_00380
ko:K00615	apw:APA42C_00390
ko:K00643	apw:APA42C_00410
ko:K02019	apw:APA42C_00460
ko:K03670	apw:APA42C_00470
ko:K03669	apw:APA42C_00480
