ko:K01175	hiw:NTHI477_01224
ko:K03733	hiw:NTHI477_01774
ko:K01803	hiw:NTHI477_01776
ko:K02439	hiw:NTHI477_01777
ko:K05786	hiw:NTHI477_01778
ko:K02521	hiw:NTHI477_01779
ko:K00053	hiw:NTHI477_01780
ko:K00113	hiw:NTHI477_01781
ko:K00112	hiw:NTHI477_01782
ko:K00111	hiw:NTHI477_01783
ko:K02445	hiw:NTHI477_01784
ko:K01126	hiw:NTHI477_01785
ko:K00864	hiw:NTHI477_01788
ko:K00769	hiw:NTHI477_01789
ko:K06181	hiw:NTHI477_01791
ko:K01524	hiw:NTHI477_01792
ko:K09800	hiw:NTHI477_01793
ko:K07278	hiw:NTHI477_01794
ko:K03775	hiw:NTHI477_01795
ko:K09893	hiw:NTHI477_01796
ko:K06176	hiw:NTHI477_01797
ko:K03787	hiw:NTHI477_01798
ko:K06194	hiw:NTHI477_01801
ko:K03555	hiw:NTHI477_01802
ko:K01042	hiw:NTHI477_01804
ko:K03833	hiw:NTHI477_01805
ko:K07473	hiw:NTHI477_01807
ko:K19157	hiw:NTHI477_01808
ko:K16087	hiw:NTHI477_01809
ko:K03545	hiw:NTHI477_01811
ko:K01358	hiw:NTHI477_01812
ko:K03544	hiw:NTHI477_01813
ko:K03073	hiw:NTHI477_01814
ko:K02601	hiw:NTHI477_01815
ko:K18828	hiw:NTHI477_00760
ko:K13745	hiw:NTHI477_00761
ko:K10563	hiw:NTHI477_00762
ko:K04691	hiw:NTHI477_00763
ko:K11752	hiw:NTHI477_00764
ko:K07738	hiw:NTHI477_00765
ko:K03583	hiw:NTHI477_00766
ko:K02681	hiw:NTHI477_00767
ko:K02680	hiw:NTHI477_00769
ko:K02679	hiw:NTHI477_00770
ko:K01092	hiw:NTHI477_00771
ko:K04016	hiw:NTHI477_00772
ko:K02199	hiw:NTHI477_00773
ko:K02200	hiw:NTHI477_00774
ko:K07007	hiw:NTHI477_00775
ko:K01689	hiw:NTHI477_00776
ko:K03781	hiw:NTHI477_00781
ko:K01878	hiw:NTHI477_00782
ko:K01879	hiw:NTHI477_00786
ko:K02340	hiw:NTHI477_00788
ko:K03643	hiw:NTHI477_00789
ko:K01869	hiw:NTHI477_00790
ko:K00806	hiw:NTHI477_00791
ko:K00981	hiw:NTHI477_00792
ko:K11749	hiw:NTHI477_00793
ko:K07277	hiw:NTHI477_00794
ko:K06142	hiw:NTHI477_00795
ko:K02536	hiw:NTHI477_00796
ko:K02357	hiw:NTHI477_00797
ko:K02967	hiw:NTHI477_00798
ko:K11747	hiw:NTHI477_00800
ko:K03574	hiw:NTHI477_00801
ko:K03070	hiw:NTHI477_00802
ko:K11991	hiw:NTHI477_00805
ko:K13292	hiw:NTHI477_00807
ko:K07090	hiw:NTHI477_00808
ko:K08311	hiw:NTHI477_00809
ko:K00931	hiw:NTHI477_00810
ko:K00567	hiw:NTHI477_01516
ko:K03573	hiw:NTHI477_01517
ko:K04075	hiw:NTHI477_01518
ko:K00868	hiw:NTHI477_01519
ko:K01962	hiw:NTHI477_01520
ko:K09816	hiw:NTHI477_01521
ko:K09817	hiw:NTHI477_01522
ko:K03721	hiw:NTHI477_01524
ko:K03666	hiw:NTHI477_01525
ko:K06179	hiw:NTHI477_01526
ko:K08300	hiw:NTHI477_01527
ko:K00878	hiw:NTHI477_01529
ko:K00941	hiw:NTHI477_01530
ko:K00788	hiw:NTHI477_01531
ko:K08303	hiw:NTHI477_01533
ko:K05590	hiw:NTHI477_01534
ko:K15460	hiw:NTHI477_01535
ko:K03214	hiw:NTHI477_01536
ko:K00998	hiw:NTHI477_01537
ko:K03603	hiw:NTHI477_01538
ko:K03314	hiw:NTHI477_01539
ko:K03611	hiw:NTHI477_01540
ko:K00820	hiw:NTHI477_01541
ko:K05787	hiw:NTHI477_01542
ko:K09891	hiw:NTHI477_01543
ko:K03426	hiw:NTHI477_01544
ko:K07400	hiw:NTHI477_01545
ko:K05366	hiw:NTHI477_01553
ko:K07115	hiw:NTHI477_01554
ko:K09747	hiw:NTHI477_01555
ko:K06187	hiw:NTHI477_01556
ko:K03169	hiw:NTHI477_01557
ko:K03075	hiw:NTHI477_01558
ko:K02769	hiw:NTHI477_01560
ko:K02770	hiw:NTHI477_01560
ko:K00882	hiw:NTHI477_01561
ko:K02768	hiw:NTHI477_01562
ko:K11183	hiw:NTHI477_01562
ko:K00652	hiw:NTHI477_00103
ko:K09789	hiw:NTHI477_00104
ko:K02169	hiw:NTHI477_00105
ko:K01935	hiw:NTHI477_00106
ko:K09810	hiw:NTHI477_00107
ko:K09808	hiw:NTHI477_00108
ko:K01626	hiw:NTHI477_00109
ko:K07862	hiw:NTHI477_00111
ko:K00355	hiw:NTHI477_00112
ko:K04773	hiw:NTHI477_00115
ko:K07271	hiw:NTHI477_00116
ko:K15461	hiw:NTHI477_00120
ko:K00647	hiw:NTHI477_00121
ko:K03576	hiw:NTHI477_00003
ko:K02837	hiw:NTHI477_00007
ko:K00208	hiw:NTHI477_00008
ko:K01147	hiw:NTHI477_00009
ko:K07160	hiw:NTHI477_00012
ko:K01940	hiw:NTHI477_00014
ko:K01923	hiw:NTHI477_00015
ko:K05365	hiw:NTHI477_00016
ko:K09910	hiw:NTHI477_00017
ko:K15724	hiw:NTHI477_00018
ko:K01265	hiw:NTHI477_00019
ko:K00990	hiw:NTHI477_00020
ko:K02851	hiw:NTHI477_00021
ko:K13288	hiw:NTHI477_00024
ko:K06949	hiw:NTHI477_00025
ko:K02784	hiw:NTHI477_00026
ko:K08483	hiw:NTHI477_00027
ko:K02777	hiw:NTHI477_00028
ko:K07666	hiw:NTHI477_00031
ko:K07645	hiw:NTHI477_00032
ko:K02168	hiw:NTHI477_00033
ko:K01255	hiw:NTHI477_00034
ko:K07091	hiw:NTHI477_00035
ko:K11720	hiw:NTHI477_00036
ko:K00549	hiw:NTHI477_00037
ko:K00785	hiw:NTHI477_00040
ko:K07270	hiw:NTHI477_00042
ko:K02019	hiw:NTHI477_00045
ko:K02020	hiw:NTHI477_00046
ko:K02018	hiw:NTHI477_00047
ko:K02017	hiw:NTHI477_00048
ko:K03308	hiw:NTHI477_00049
ko:K10773	hiw:NTHI477_00050
ko:K03613	hiw:NTHI477_00051
ko:K03446	hiw:NTHI477_00813
ko:K03591	hiw:NTHI477_00814
ko:K18138	hiw:NTHI477_00815
ko:K03585	hiw:NTHI477_00816
ko:K18136	hiw:NTHI477_00817
ko:K03732	hiw:NTHI477_00818
ko:K09862	hiw:NTHI477_00819
ko:K00859	hiw:NTHI477_00820
ko:K00600	hiw:NTHI477_00821
ko:K01945	hiw:NTHI477_00823
ko:K00602	hiw:NTHI477_00824
ko:K15977	hiw:NTHI477_00825
ko:K04084	hiw:NTHI477_00826
ko:K07773	hiw:NTHI477_00827
ko:K03310	hiw:NTHI477_00828
ko:K09765	hiw:NTHI477_00829
ko:K02523	hiw:NTHI477_00830
ko:K02888	hiw:NTHI477_00831
ko:K02899	hiw:NTHI477_00832
ko:K03979	hiw:NTHI477_00834
ko:K00940	hiw:NTHI477_00835
ko:K07751	hiw:NTHI477_00836
ko:K01710	hiw:NTHI477_00837
ko:K01915	hiw:NTHI477_00838
ko:K06207	hiw:NTHI477_00840
ko:K00275	hiw:NTHI477_00841
ko:K09125	hiw:NTHI477_00842
ko:K12573	hiw:NTHI477_00843
ko:K03218	hiw:NTHI477_00844
ko:K03695	hiw:NTHI477_00845
ko:K01934	hiw:NTHI477_00846
ko:K09888	hiw:NTHI477_00847
ko:K07226	hiw:NTHI477_00851
ko:K12368	hiw:NTHI477_00852
ko:K03753	hiw:NTHI477_00854
ko:K03803	hiw:NTHI477_00855
ko:K15984	hiw:NTHI477_00856
ko:K00557	hiw:NTHI477_00857
ko:K09897	hiw:NTHI477_00858
ko:K03673	hiw:NTHI477_00859
ko:K09896	hiw:NTHI477_00860
ko:K03752	hiw:NTHI477_00861
ko:K03424	hiw:NTHI477_01568
ko:K02341	hiw:NTHI477_01569
ko:K00943	hiw:NTHI477_01571
ko:K07082	hiw:NTHI477_01572
ko:K03771	hiw:NTHI477_01573
ko:K02825	hiw:NTHI477_01574
ko:K04765	hiw:NTHI477_01575
ko:K09824	hiw:NTHI477_01576
ko:K01338	hiw:NTHI477_01577
ko:K01807	hiw:NTHI477_01579
ko:K00058	hiw:NTHI477_01580
ko:K06980	hiw:NTHI477_01581
ko:K00765	hiw:NTHI477_01583
ko:K00013	hiw:NTHI477_01584
ko:K00817	hiw:NTHI477_01585
ko:K01089	hiw:NTHI477_01586
ko:K02501	hiw:NTHI477_01587
ko:K01814	hiw:NTHI477_01588
ko:K02500	hiw:NTHI477_01589
ko:K11755	hiw:NTHI477_01590
ko:K03834	hiw:NTHI477_01591
ko:K02114	hiw:NTHI477_01592
ko:K02112	hiw:NTHI477_01593
ko:K02115	hiw:NTHI477_01594
ko:K02111	hiw:NTHI477_01595
ko:K02113	hiw:NTHI477_01596
ko:K02109	hiw:NTHI477_01597
ko:K02110	hiw:NTHI477_01598
ko:K02108	hiw:NTHI477_01599
ko:K02116	hiw:NTHI477_01600
ko:K03501	hiw:NTHI477_01601
ko:K07173	hiw:NTHI477_01605
ko:K03788	hiw:NTHI477_01606
ko:K01419	hiw:NTHI477_01607
ko:K03667	hiw:NTHI477_01608
ko:K11069	hiw:NTHI477_01609
ko:K09471	hiw:NTHI477_01610
ko:K09760	hiw:NTHI477_01611
ko:K06726	hiw:NTHI477_01612
ko:K10441	hiw:NTHI477_01613
ko:K10440	hiw:NTHI477_01614
ko:K03674	hiw:NTHI477_00122
ko:K05844	hiw:NTHI477_00123
ko:K03312	hiw:NTHI477_00124
ko:K02621	hiw:NTHI477_00125
ko:K02622	hiw:NTHI477_00126
ko:K02517	hiw:NTHI477_00127
ko:K03272	hiw:NTHI477_00128
ko:K15738	hiw:NTHI477_00129
ko:K15738	hiw:NTHI477_00130
ko:K01673	hiw:NTHI477_00131
ko:K01893	hiw:NTHI477_00132
ko:K00794	hiw:NTHI477_00133
ko:K03625	hiw:NTHI477_00134
ko:K00946	hiw:NTHI477_00135
ko:K01095	hiw:NTHI477_00136
ko:K00215	hiw:NTHI477_00138
ko:K11107	hiw:NTHI477_00139
ko:K01889	hiw:NTHI477_00141
ko:K01890	hiw:NTHI477_00142
ko:K04764	hiw:NTHI477_00143
ko:K12410	hiw:NTHI477_00147
ko:K02933	hiw:NTHI477_00913
ko:K02994	hiw:NTHI477_00914
ko:K02954	hiw:NTHI477_00915
ko:K02931	hiw:NTHI477_00916
ko:K02895	hiw:NTHI477_00917
ko:K02874	hiw:NTHI477_00918
ko:K02961	hiw:NTHI477_00920
ko:K02904	hiw:NTHI477_00921
ko:K02878	hiw:NTHI477_00922
ko:K02982	hiw:NTHI477_00923
ko:K02890	hiw:NTHI477_00924
ko:K02965	hiw:NTHI477_00925
ko:K02886	hiw:NTHI477_00926
ko:K02892	hiw:NTHI477_00927
ko:K02926	hiw:NTHI477_00928
ko:K02906	hiw:NTHI477_00929
ko:K02946	hiw:NTHI477_00930
ko:K01034	hiw:NTHI477_00932
ko:K01035	hiw:NTHI477_00933
ko:K02106	hiw:NTHI477_00934
ko:K00626	hiw:NTHI477_00935
ko:K09811	hiw:NTHI477_00936
ko:K09812	hiw:NTHI477_00937
ko:K03110	hiw:NTHI477_00938
ko:K08316	hiw:NTHI477_00939
ko:K03216	hiw:NTHI477_00940
ko:K07270	hiw:NTHI477_00941
ko:K02858	hiw:NTHI477_00942
ko:K06211	hiw:NTHI477_00943
ko:K08306	hiw:NTHI477_00947
ko:K03575	hiw:NTHI477_00949
ko:K02909	hiw:NTHI477_00950
ko:K01834	hiw:NTHI477_00951
ko:K09798	hiw:NTHI477_00953
ko:K07270	hiw:NTHI477_00954
ko:K01952	hiw:NTHI477_00956
ko:K11065	hiw:NTHI477_00957
ko:K01778	hiw:NTHI477_00958
ko:K01356	hiw:NTHI477_00959
ko:K00631	hiw:NTHI477_00960
ko:K03885	hiw:NTHI477_00961
ko:K07792	hiw:NTHI477_00962
ko:K00033	hiw:NTHI477_01665
ko:K01057	hiw:NTHI477_01667
ko:K00036	hiw:NTHI477_01668
ko:K01082	hiw:NTHI477_01669
ko:K04762	hiw:NTHI477_01672
ko:K03718	hiw:NTHI477_01673
ko:K01914	hiw:NTHI477_01674
ko:K01091	hiw:NTHI477_01675
ko:K01783	hiw:NTHI477_01676
ko:K02470	hiw:NTHI477_01677
ko:K06959	hiw:NTHI477_01678
ko:K04760	hiw:NTHI477_01679
ko:K04761	hiw:NTHI477_01681
ko:K03745	hiw:NTHI477_01683
ko:K03772	hiw:NTHI477_01684
ko:K07235	hiw:NTHI477_01686
ko:K07236	hiw:NTHI477_01687
ko:K07237	hiw:NTHI477_01688
ko:K02358	hiw:NTHI477_01689
ko:K02355	hiw:NTHI477_01690
ko:K02992	hiw:NTHI477_01691
ko:K02950	hiw:NTHI477_01692
ko:K03495	hiw:NTHI477_01693
ko:K01119	hiw:NTHI477_01694
ko:K12940	hiw:NTHI477_01695
ko:K03326	hiw:NTHI477_01696
ko:K05995	hiw:NTHI477_01697
ko:K16087	hiw:NTHI477_01699
ko:K00926	hiw:NTHI477_01701
ko:K00611	hiw:NTHI477_01702
ko:K06199	hiw:NTHI477_01704
ko:K03565	hiw:NTHI477_01705
ko:K07343	hiw:NTHI477_01707
ko:K01462	hiw:NTHI477_01714
ko:K03543	hiw:NTHI477_00812
ko:K03612	hiw:NTHI477_00052
ko:K03614	hiw:NTHI477_00053
ko:K03615	hiw:NTHI477_00054
ko:K03616	hiw:NTHI477_00055
ko:K03617	hiw:NTHI477_00056
ko:K04774	hiw:NTHI477_00057
ko:K09909	hiw:NTHI477_00058
ko:K04485	hiw:NTHI477_00064
ko:K03719	hiw:NTHI477_00065
ko:K03466	hiw:NTHI477_00066
ko:K03634	hiw:NTHI477_00067
ko:K07478	hiw:NTHI477_00068
ko:K00800	hiw:NTHI477_00069
ko:K01433	hiw:NTHI477_00070
ko:K03746	hiw:NTHI477_00071
ko:K01652	hiw:NTHI477_00073
ko:K01653	hiw:NTHI477_00074
ko:K01887	hiw:NTHI477_00075
ko:K09907	hiw:NTHI477_00076
ko:K06077	hiw:NTHI477_00077
ko:K01810	hiw:NTHI477_00080
ko:K01775	hiw:NTHI477_00081
ko:K00873	hiw:NTHI477_00083
ko:K09906	hiw:NTHI477_00089
ko:K07126	hiw:NTHI477_00092
ko:K02835	hiw:NTHI477_00095
ko:K02493	hiw:NTHI477_00097
ko:K01627	hiw:NTHI477_00099
ko:K00018	hiw:NTHI477_00100
ko:K09808	hiw:NTHI477_00101
ko:K07014	hiw:NTHI477_00863
ko:K09904	hiw:NTHI477_00864
ko:K06899	hiw:NTHI477_00865
ko:K06186	hiw:NTHI477_00866
ko:K04568	hiw:NTHI477_00868
ko:K00244	hiw:NTHI477_00869
ko:K00245	hiw:NTHI477_00870
ko:K00246	hiw:NTHI477_00871
ko:K00247	hiw:NTHI477_00872
ko:K03814	hiw:NTHI477_00873
ko:K03720	hiw:NTHI477_00874
ko:K08309	hiw:NTHI477_00875
ko:K09780	hiw:NTHI477_00876
ko:K10806	hiw:NTHI477_00877
ko:K06190	hiw:NTHI477_00878
ko:K10541	hiw:NTHI477_00880
ko:K10542	hiw:NTHI477_00881
ko:K10540	hiw:NTHI477_00882
ko:K02529	hiw:NTHI477_00883
ko:K00965	hiw:NTHI477_00884
ko:K00849	hiw:NTHI477_00885
ko:K01785	hiw:NTHI477_00886
ko:K09895	hiw:NTHI477_00887
ko:K01262	hiw:NTHI477_00888
ko:K06149	hiw:NTHI477_00889
ko:K01872	hiw:NTHI477_00890
ko:K03563	hiw:NTHI477_00891
ko:K00963	hiw:NTHI477_00892
ko:K01755	hiw:NTHI477_00893
ko:K04083	hiw:NTHI477_00894
ko:K01610	hiw:NTHI477_00895
ko:K02838	hiw:NTHI477_00896
ko:K00099	hiw:NTHI477_00897
ko:K07090	hiw:NTHI477_00898
ko:K02879	hiw:NTHI477_00902
ko:K03040	hiw:NTHI477_00903
ko:K02986	hiw:NTHI477_00904
ko:K02948	hiw:NTHI477_00905
ko:K02952	hiw:NTHI477_00906
ko:K02919	hiw:NTHI477_00907
ko:K03076	hiw:NTHI477_00908
ko:K02876	hiw:NTHI477_00909
ko:K02907	hiw:NTHI477_00910
ko:K02988	hiw:NTHI477_00911
ko:K02881	hiw:NTHI477_00912
ko:K10439	hiw:NTHI477_01615
ko:K00852	hiw:NTHI477_01616
ko:K02529	hiw:NTHI477_01617
ko:K02553	hiw:NTHI477_01619
ko:K02548	hiw:NTHI477_01620
ko:K03304	hiw:NTHI477_01622
ko:K03046	hiw:NTHI477_01623
ko:K03043	hiw:NTHI477_01624
ko:K02863	hiw:NTHI477_01625
ko:K02867	hiw:NTHI477_01626
ko:K03784	hiw:NTHI477_01627
ko:K03317	hiw:NTHI477_01628
ko:K01624	hiw:NTHI477_01633
ko:K00927	hiw:NTHI477_01634
ko:K01166	hiw:NTHI477_01635
ko:K03834	hiw:NTHI477_01637
ko:K01409	hiw:NTHI477_01639
ko:K02970	hiw:NTHI477_01640
ko:K03086	hiw:NTHI477_01642
ko:K01744	hiw:NTHI477_01643
ko:K03190	hiw:NTHI477_01644
ko:K03189	hiw:NTHI477_01645
ko:K03188	hiw:NTHI477_01646
ko:K03187	hiw:NTHI477_01647
ko:K01428	hiw:NTHI477_01648
ko:K01429	hiw:NTHI477_01649
ko:K01430	hiw:NTHI477_01650
ko:K04078	hiw:NTHI477_01651
ko:K04077	hiw:NTHI477_01652
ko:K02939	hiw:NTHI477_01653
ko:K02963	hiw:NTHI477_01654
ko:K02686	hiw:NTHI477_01655
ko:K02990	hiw:NTHI477_01656
ko:K02518	hiw:NTHI477_01657
ko:K07270	hiw:NTHI477_01658
ko:K02528	hiw:NTHI477_01660
ko:K01525	hiw:NTHI477_01663
ko:K01792	hiw:NTHI477_00157
ko:K02520	hiw:NTHI477_00158
ko:K02916	hiw:NTHI477_00159
ko:K02887	hiw:NTHI477_00160
ko:K03582	hiw:NTHI477_00161
ko:K03581	hiw:NTHI477_00162
ko:K09911	hiw:NTHI477_00163
ko:K04770	hiw:NTHI477_00164
ko:K01716	hiw:NTHI477_00165
ko:K02956	hiw:NTHI477_00168
ko:K07259	hiw:NTHI477_00169
ko:K03624	hiw:NTHI477_00170
ko:K07574	hiw:NTHI477_00171
ko:K02427	hiw:NTHI477_00172
ko:K03798	hiw:NTHI477_00173
ko:K00796	hiw:NTHI477_00174
ko:K03431	hiw:NTHI477_00175
ko:K08296	hiw:NTHI477_00176
ko:K03088	hiw:NTHI477_00180
ko:K12267	hiw:NTHI477_00185
ko:K06196	hiw:NTHI477_00186
ko:K09901	hiw:NTHI477_00189
ko:K03750	hiw:NTHI477_00191
ko:K01495	hiw:NTHI477_00192
ko:K09902	hiw:NTHI477_00193
ko:K01935	hiw:NTHI477_00194
ko:K00297	hiw:NTHI477_00195
ko:K02871	hiw:NTHI477_00196
ko:K02996	hiw:NTHI477_00197
ko:K03599	hiw:NTHI477_00198
ko:K03600	hiw:NTHI477_00199
ko:K01662	hiw:NTHI477_00200
ko:K00795	hiw:NTHI477_00201
ko:K03602	hiw:NTHI477_00202
ko:K03151	hiw:NTHI477_00203
ko:K03071	hiw:NTHI477_00964
ko:K01840	hiw:NTHI477_00965
ko:K02337	hiw:NTHI477_00966
ko:K01754	hiw:NTHI477_00967
ko:K01687	hiw:NTHI477_00968
ko:K01652	hiw:NTHI477_00969
ko:K03308	hiw:NTHI477_00970
ko:K03269	hiw:NTHI477_00972
ko:K00655	hiw:NTHI477_00973
ko:K04744	hiw:NTHI477_00975
ko:K01881	hiw:NTHI477_00976
ko:K03654	hiw:NTHI477_00977
ko:K06202	hiw:NTHI477_00978
ko:K01586	hiw:NTHI477_00980
ko:K07685	hiw:NTHI477_00981
ko:K09894	hiw:NTHI477_00983
ko:K03273	hiw:NTHI477_00989
ko:K02071	hiw:NTHI477_00990
ko:K02072	hiw:NTHI477_00991
ko:K02073	hiw:NTHI477_00992
ko:K02444	hiw:NTHI477_00993
ko:K02441	hiw:NTHI477_00994
ko:K06177	hiw:NTHI477_00995
ko:K03580	hiw:NTHI477_00996
ko:K02430	hiw:NTHI477_00997
ko:K01818	hiw:NTHI477_00998
ko:K00879	hiw:NTHI477_00999
ko:K02431	hiw:NTHI477_01000
ko:K01628	hiw:NTHI477_01001
ko:K02429	hiw:NTHI477_01002
ko:K01491	hiw:NTHI477_01005
ko:K14445	hiw:NTHI477_01006
ko:K00014	hiw:NTHI477_01007
ko:K00640	hiw:NTHI477_01008
ko:K00057	hiw:NTHI477_01009
ko:K05851	hiw:NTHI477_01010
ko:K02496	hiw:NTHI477_01011
ko:K02498	hiw:NTHI477_01012
ko:K00604	hiw:NTHI477_01715
ko:K03500	hiw:NTHI477_01716
ko:K03499	hiw:NTHI477_01717
ko:K03282	hiw:NTHI477_01718
ko:K09159	hiw:NTHI477_01719
ko:K03088	hiw:NTHI477_01720
ko:K03597	hiw:NTHI477_01721
ko:K03598	hiw:NTHI477_01722
ko:K00867	hiw:NTHI477_01723
ko:K02358	hiw:NTHI477_01728
ko:K05539	hiw:NTHI477_01731
ko:K01867	hiw:NTHI477_01733
ko:K07153	hiw:NTHI477_01734
ko:K01756	hiw:NTHI477_01735
ko:K02864	hiw:NTHI477_01736
ko:K02935	hiw:NTHI477_01737
ko:K04042	hiw:NTHI477_01738
ko:K07812	hiw:NTHI477_01743
ko:K07821	hiw:NTHI477_01744
ko:K01048	hiw:NTHI477_01745
ko:K00133	hiw:NTHI477_01746
ko:K07507	hiw:NTHI477_01747
ko:K03923	hiw:NTHI477_01748
ko:K03656	hiw:NTHI477_01749
ko:K00954	hiw:NTHI477_01751
ko:K02527	hiw:NTHI477_01752
ko:K12984	hiw:NTHI477_01753
ko:K01246	hiw:NTHI477_01754
ko:K00014	hiw:NTHI477_01756
ko:K07566	hiw:NTHI477_01757
ko:K07479	hiw:NTHI477_01758
ko:K06158	hiw:NTHI477_01759
ko:K16087	hiw:NTHI477_01762
ko:K02446	hiw:NTHI477_01765
ko:K00616	hiw:NTHI477_00610
ko:K15580	hiw:NTHI477_00611
ko:K15581	hiw:NTHI477_00612
ko:K15582	hiw:NTHI477_00613
ko:K15583	hiw:NTHI477_00614
ko:K10823	hiw:NTHI477_00615
ko:K09824	hiw:NTHI477_00616
ko:K03978	hiw:NTHI477_00617
ko:K07391	hiw:NTHI477_00618
ko:K01619	hiw:NTHI477_00619
ko:K03274	hiw:NTHI477_00621
ko:K00854	hiw:NTHI477_00622
ko:K01805	hiw:NTHI477_00623
ko:K14155	hiw:NTHI477_00624
ko:K03315	hiw:NTHI477_00625
ko:K02529	hiw:NTHI477_00626
ko:K02843	hiw:NTHI477_00627
ko:K01738	hiw:NTHI477_00629
ko:K06203	hiw:NTHI477_00630
ko:K03528	hiw:NTHI477_00631
ko:K01972	hiw:NTHI477_00632
ko:K02200	hiw:NTHI477_00637
ko:K02199	hiw:NTHI477_00638
ko:K02198	hiw:NTHI477_00639
ko:K02197	hiw:NTHI477_00640
ko:K02196	hiw:NTHI477_00641
ko:K02195	hiw:NTHI477_00642
ko:K02194	hiw:NTHI477_00643
ko:K02193	hiw:NTHI477_00644
ko:K04564	hiw:NTHI477_00645
ko:K02065	hiw:NTHI477_00646
ko:K02066	hiw:NTHI477_00647
ko:K02067	hiw:NTHI477_00648
ko:K07323	hiw:NTHI477_00649
ko:K07122	hiw:NTHI477_00650
ko:K00790	hiw:NTHI477_00652
ko:K02424	hiw:NTHI477_00653
ko:K10009	hiw:NTHI477_00654
ko:K10010	hiw:NTHI477_00655
ko:K03811	hiw:NTHI477_00656
ko:K01937	hiw:NTHI477_00657
ko:K03526	hiw:NTHI477_01410
ko:K01892	hiw:NTHI477_01411
ko:K04755	hiw:NTHI477_01414
ko:K04044	hiw:NTHI477_01415
ko:K04082	hiw:NTHI477_01417
ko:K13628	hiw:NTHI477_01418
ko:K04488	hiw:NTHI477_01419
ko:K04487	hiw:NTHI477_01420
ko:K13643	hiw:NTHI477_01421
ko:K15396	hiw:NTHI477_01422
ko:K04772	hiw:NTHI477_00394
ko:K03593	hiw:NTHI477_00382
ko:K01874	hiw:NTHI477_00383
ko:K16868	hiw:NTHI477_00384
ko:K01069	hiw:NTHI477_00385
ko:K09136	hiw:NTHI477_00388
ko:K02469	hiw:NTHI477_00389
ko:K00641	hiw:NTHI477_00390
ko:K03748	hiw:NTHI477_00391
ko:K11754	hiw:NTHI477_00392
ko:K01963	hiw:NTHI477_00393
ko:K03723	hiw:NTHI477_00395
ko:K06957	hiw:NTHI477_00397
ko:K03702	hiw:NTHI477_00405
ko:K00029	hiw:NTHI477_00407
ko:K06183	hiw:NTHI477_00409
ko:K06901	hiw:NTHI477_01162
ko:K00876	hiw:NTHI477_01163
ko:K01494	hiw:NTHI477_01164
ko:K08159	hiw:NTHI477_01166
ko:K03977	hiw:NTHI477_01167
ko:K02342	hiw:NTHI477_01170
ko:K03469	hiw:NTHI477_01171
ko:K01443	hiw:NTHI477_01173
ko:K02564	hiw:NTHI477_01174
ko:K01639	hiw:NTHI477_01175
ko:K00885	hiw:NTHI477_01177
ko:K01788	hiw:NTHI477_01178
ko:K17948	hiw:NTHI477_01181
ko:K04087	hiw:NTHI477_01183
