ko:K02345	ypq:DJ40_564
ko:K00849	ypq:DJ40_1074
ko:K01785	ypq:DJ40_1075
ko:K01834	ypq:DJ40_1077
ko:K01626	ypq:DJ40_1078
ko:K16264	ypq:DJ40_1080
ko:K03811	ypq:DJ40_1081
ko:K03517	ypq:DJ40_1082
ko:K03640	ypq:DJ40_1087
ko:K03641	ypq:DJ40_1088
ko:K03560	ypq:DJ40_1090
ko:K03562	ypq:DJ40_1091
ko:K07107	ypq:DJ40_1092
ko:K00426	ypq:DJ40_1095
ko:K00425	ypq:DJ40_1096
ko:K01902	ypq:DJ40_1097
ko:K01903	ypq:DJ40_1098
ko:K00658	ypq:DJ40_1099
ko:K00164	ypq:DJ40_1100
ko:K00240	ypq:DJ40_1101
ko:K00239	ypq:DJ40_1102
ko:K00242	ypq:DJ40_1103
ko:K00241	ypq:DJ40_1104
ko:K01647	ypq:DJ40_1105
ko:K03687	ypq:DJ40_1106
ko:K00858	ypq:DJ40_1107
ko:K03631	ypq:DJ40_1108
ko:K06186	ypq:DJ40_1109
ko:K09801	ypq:DJ40_1110
ko:K03664	ypq:DJ40_1112
ko:K03807	ypq:DJ40_1662
ko:K01925	ypq:DJ40_1684
ko:K01000	ypq:DJ40_1685
ko:K01929	ypq:DJ40_1686
ko:K01928	ypq:DJ40_1687
ko:K03587	ypq:DJ40_1688
ko:K03586	ypq:DJ40_1689
ko:K03438	ypq:DJ40_1690
ko:K03925	ypq:DJ40_1691
ko:K03435	ypq:DJ40_1693
ko:K01653	ypq:DJ40_1694
ko:K01652	ypq:DJ40_1695
ko:K01897	ypq:DJ40_1696
ko:K05798	ypq:DJ40_1697
ko:K01649	ypq:DJ40_1699
ko:K00052	ypq:DJ40_1700
ko:K01703	ypq:DJ40_1701
ko:K01704	ypq:DJ40_1702
ko:K03291	ypq:DJ40_1703
ko:K11925	ypq:DJ40_1704
ko:K02064	ypq:DJ40_1706
ko:K02063	ypq:DJ40_1707
ko:K02062	ypq:DJ40_1708
ko:K02336	ypq:DJ40_1710
ko:K00230	ypq:DJ40_2150
ko:K03498	ypq:DJ40_2151
ko:K01825	ypq:DJ40_2154
ko:K05368	ypq:DJ40_2156
ko:K03182	ypq:DJ40_2157
ko:K01698	ypq:DJ40_2159
ko:K03424	ypq:DJ40_2160
ko:K03118	ypq:DJ40_2161
ko:K03117	ypq:DJ40_2162
ko:K03116	ypq:DJ40_2163
ko:K03688	ypq:DJ40_2164
ko:K03690	ypq:DJ40_2165
ko:K03183	ypq:DJ40_2166
ko:K09760	ypq:DJ40_2167
ko:K06200	ypq:DJ40_2169
ko:K00757	ypq:DJ40_2171
ko:K01061	ypq:DJ40_2172
ko:K00549	ypq:DJ40_2173
ko:K00851	ypq:DJ40_2598
ko:K00133	ypq:DJ40_2605
ko:K13735	ypq:DJ40_2606
ko:K02478	ypq:DJ40_2607
ko:K00700	ypq:DJ40_2608
ko:K00975	ypq:DJ40_2610
ko:K00703	ypq:DJ40_2611
ko:K00688	ypq:DJ40_2612
ko:K00111	ypq:DJ40_2613
ko:K02444	ypq:DJ40_2616
ko:K02441	ypq:DJ40_2617
ko:K02439	ypq:DJ40_2618
ko:K03556	ypq:DJ40_2619
ko:K00688	ypq:DJ40_2620
ko:K00705	ypq:DJ40_2621
ko:K07400	ypq:DJ40_2622
ko:K02170	ypq:DJ40_2624
ko:K13735	ypq:DJ40_3061
ko:K02016	ypq:DJ40_3070
ko:K02400	ypq:DJ40_3073
ko:K02401	ypq:DJ40_3074
ko:K02421	ypq:DJ40_3075
ko:K02420	ypq:DJ40_3076
ko:K02419	ypq:DJ40_3077
ko:K02417	ypq:DJ40_3078
ko:K02416	ypq:DJ40_3079
ko:K02408	ypq:DJ40_3081
ko:K02409	ypq:DJ40_3082
ko:K02410	ypq:DJ40_3083
ko:K02411	ypq:DJ40_3084
ko:K02412	ypq:DJ40_3085
ko:K02071	ypq:DJ40_3508
ko:K03273	ypq:DJ40_3509
ko:K06222	ypq:DJ40_3516
ko:K08307	ypq:DJ40_3519
ko:K01069	ypq:DJ40_3520
ko:K02342	ypq:DJ40_3523
ko:K03457	ypq:DJ40_3525
ko:K16842	ypq:DJ40_3526
ko:K02002	ypq:DJ40_3527
ko:K02001	ypq:DJ40_3528
ko:K02000	ypq:DJ40_3529
ko:K03647	ypq:DJ40_3532
ko:K10014	ypq:DJ40_3934
ko:K00337	ypq:DJ40_3962
ko:K00338	ypq:DJ40_3963
ko:K00339	ypq:DJ40_3964
ko:K00340	ypq:DJ40_3965
ko:K00341	ypq:DJ40_3966
ko:K00342	ypq:DJ40_3967
ko:K00343	ypq:DJ40_3968
ko:K00851	ypq:DJ40_3971
ko:K00046	ypq:DJ40_3972
ko:K01690	ypq:DJ40_3978
ko:K05594	ypq:DJ40_3980
ko:K02552	ypq:DJ40_3982
ko:K02551	ypq:DJ40_3983
ko:K08680	ypq:DJ40_3984
ko:K01661	ypq:DJ40_3985
ko:K05874	ypq:DJ40_4165
ko:K04775	ypq:DJ40_70
ko:K11021	ypq:DJ40_74
ko:K01299	ypq:DJ40_75
ko:K07639	ypq:DJ40_76
ko:K07661	ypq:DJ40_77
ko:K03758	ypq:DJ40_79
ko:K00324	ypq:DJ40_81
ko:K00325	ypq:DJ40_82
ko:K14055	ypq:DJ40_83
ko:K00567	ypq:DJ40_85
ko:K01077	ypq:DJ40_86
ko:K01653	ypq:DJ40_89
ko:K01652	ypq:DJ40_90
ko:K01241	ypq:DJ40_95
ko:K02049	ypq:DJ40_96
ko:K02050	ypq:DJ40_97
ko:K02051	ypq:DJ40_98
ko:K17204	ypq:DJ40_100
ko:K17203	ypq:DJ40_101
ko:K17202	ypq:DJ40_102
ko:K02529	ypq:DJ40_104
ko:K03315	ypq:DJ40_105
ko:K14155	ypq:DJ40_106
ko:K00138	ypq:DJ40_110
ko:K16066	ypq:DJ40_112
ko:K03281	ypq:DJ40_115
ko:K01935	ypq:DJ40_116
ko:K15545	ypq:DJ40_118
ko:K08224	ypq:DJ40_119
ko:K01679	ypq:DJ40_121
ko:K01809	ypq:DJ40_122
ko:K03406	ypq:DJ40_969
ko:K16210	ypq:DJ40_971
ko:K09958	ypq:DJ40_975
ko:K09475	ypq:DJ40_977
ko:K07676	ypq:DJ40_980
ko:K07687	ypq:DJ40_981
ko:K07677	ypq:DJ40_982
ko:K02469	ypq:DJ40_983
ko:K00568	ypq:DJ40_984
ko:K11107	ypq:DJ40_987
ko:K08276	ypq:DJ40_988
ko:K03834	ypq:DJ40_990
ko:K03781	ypq:DJ40_992
ko:K01584	ypq:DJ40_997
ko:K03759	ypq:DJ40_998
ko:K05846	ypq:DJ40_999
ko:K05847	ypq:DJ40_1000
ko:K05846	ypq:DJ40_1001
ko:K05845	ypq:DJ40_1002
ko:K01011	ypq:DJ40_1003
ko:K11963	ypq:DJ40_1006
ko:K11962	ypq:DJ40_1007
ko:K11961	ypq:DJ40_1008
ko:K11960	ypq:DJ40_1009
ko:K11959	ypq:DJ40_1010
ko:K02042	ypq:DJ40_1012
ko:K02042	ypq:DJ40_1013
ko:K02044	ypq:DJ40_1014
ko:K02041	ypq:DJ40_1015
ko:K15724	ypq:DJ40_1628
ko:K03281	ypq:DJ40_1629
ko:K01845	ypq:DJ40_1630
ko:K02015	ypq:DJ40_1631
ko:K02016	ypq:DJ40_1632
ko:K02013	ypq:DJ40_1633
ko:K05365	ypq:DJ40_1634
ko:K03579	ypq:DJ40_1635
ko:K01975	ypq:DJ40_1636
ko:K06206	ypq:DJ40_1637
ko:K06204	ypq:DJ40_1638
ko:K01894	ypq:DJ40_1639
ko:K00970	ypq:DJ40_1640
ko:K00950	ypq:DJ40_1641
ko:K00606	ypq:DJ40_1642
ko:K01918	ypq:DJ40_1643
ko:K01579	ypq:DJ40_1644
ko:K01992	ypq:DJ40_1646
ko:K01990	ypq:DJ40_1647
ko:K01673	ypq:DJ40_1648
ko:K00760	ypq:DJ40_1649
ko:K14588	ypq:DJ40_1650
ko:K00797	ypq:DJ40_1652
ko:K01611	ypq:DJ40_1653
ko:K09910	ypq:DJ40_1655
ko:K01682	ypq:DJ40_1656
ko:K03222	ypq:DJ40_2088
ko:K03221	ypq:DJ40_2091
ko:K03220	ypq:DJ40_2094
ko:K03219	ypq:DJ40_2095
ko:K14978	ypq:DJ40_2096
ko:K14979	ypq:DJ40_2097
ko:K11102	ypq:DJ40_2098
ko:K01895	ypq:DJ40_2099
ko:K14393	ypq:DJ40_2101
ko:K00602	ypq:DJ40_2111
ko:K01945	ypq:DJ40_2112
ko:K05787	ypq:DJ40_2114
ko:K09891	ypq:DJ40_2115
ko:K16234	ypq:DJ40_2541
ko:K12975	ypq:DJ40_2543
ko:K07675	ypq:DJ40_2545
ko:K07783	ypq:DJ40_2546
ko:K12368	ypq:DJ40_2552
ko:K12369	ypq:DJ40_2553
ko:K12370	ypq:DJ40_2554
ko:K12371	ypq:DJ40_2555
ko:K12372	ypq:DJ40_2556
ko:K01728	ypq:DJ40_2560
ko:K11103	ypq:DJ40_2562
ko:K00874	ypq:DJ40_2564
ko:K01821	ypq:DJ40_2565
ko:K07290	ypq:DJ40_2567
ko:K01521	ypq:DJ40_2568
ko:K07058	ypq:DJ40_2569
ko:K03086	ypq:DJ40_3006
ko:K02970	ypq:DJ40_3008
ko:K01409	ypq:DJ40_3009
ko:K08591	ypq:DJ40_3010
ko:K01633	ypq:DJ40_3011
ko:K06153	ypq:DJ40_3012
ko:K00974	ypq:DJ40_3013
ko:K07184	ypq:DJ40_3014
ko:K18446	ypq:DJ40_3015
ko:K00982	ypq:DJ40_3016
ko:K03272	ypq:DJ40_3017
ko:K16263	ypq:DJ40_3018
ko:K09806	ypq:DJ40_3019
ko:K02858	ypq:DJ40_3020
ko:K12340	ypq:DJ40_3025
ko:K01515	ypq:DJ40_3026
ko:K09920	ypq:DJ40_3027
ko:K03651	ypq:DJ40_3028
ko:K07000	ypq:DJ40_3029
ko:K02622	ypq:DJ40_3030
ko:K01766	ypq:DJ40_3462
ko:K03566	ypq:DJ40_3464
ko:K06968	ypq:DJ40_3466
ko:K01146	ypq:DJ40_3467
ko:K06966	ypq:DJ40_3468
ko:K06879	ypq:DJ40_3469
ko:K15723	ypq:DJ40_3470
ko:K06175	ypq:DJ40_3472
ko:K00674	ypq:DJ40_3475
ko:K00990	ypq:DJ40_3476
ko:K01265	ypq:DJ40_3477
ko:K02967	ypq:DJ40_3478
ko:K02357	ypq:DJ40_3479
ko:K09903	ypq:DJ40_3480
ko:K02838	ypq:DJ40_3481
ko:K00099	ypq:DJ40_3482
ko:K00806	ypq:DJ40_3483
ko:K00981	ypq:DJ40_3484
ko:K11749	ypq:DJ40_3485
ko:K07277	ypq:DJ40_3486
ko:K06142	ypq:DJ40_3487
ko:K04754	ypq:DJ40_3904
ko:K06076	ypq:DJ40_3905
ko:K01782	ypq:DJ40_3908
ko:K08296	ypq:DJ40_3909
ko:K07320	ypq:DJ40_3911
ko:K01736	ypq:DJ40_3912
ko:K07261	ypq:DJ40_3913
ko:K07090	ypq:DJ40_3914
ko:K09906	ypq:DJ40_3915
ko:K15461	ypq:DJ40_3917
ko:K00647	ypq:DJ40_3918
ko:K01779	ypq:DJ40_3919
ko:K03473	ypq:DJ40_3924
ko:K06173	ypq:DJ40_3926
ko:K03975	ypq:DJ40_3927
ko:K01963	ypq:DJ40_3928
ko:K11754	ypq:DJ40_3929
ko:K03749	ypq:DJ40_3930
ko:K03558	ypq:DJ40_3931
ko:K03604	ypq:DJ40_3
ko:K04564	ypq:DJ40_5
ko:K02013	ypq:DJ40_857
ko:K09996	ypq:DJ40_861
ko:K03212	ypq:DJ40_862
ko:K11074	ypq:DJ40_864
ko:K11075	ypq:DJ40_865
ko:K11076	ypq:DJ40_866
ko:K11073	ypq:DJ40_867
ko:K07085	ypq:DJ40_871
ko:K01619	ypq:DJ40_874
ko:K11534	ypq:DJ40_875
ko:K03837	ypq:DJ40_876
ko:K07258	ypq:DJ40_877
ko:K02072	ypq:DJ40_878
ko:K02071	ypq:DJ40_879
ko:K02073	ypq:DJ40_880
ko:K16089	ypq:DJ40_884
ko:K02013	ypq:DJ40_885
ko:K02015	ypq:DJ40_886
ko:K02016	ypq:DJ40_887
ko:K11733	ypq:DJ40_888
ko:K01151	ypq:DJ40_892
ko:K07347	ypq:DJ40_893
ko:K02769	ypq:DJ40_898
ko:K02770	ypq:DJ40_898
ko:K00882	ypq:DJ40_899
ko:K02768	ypq:DJ40_900
ko:K11183	ypq:DJ40_900
ko:K02057	ypq:DJ40_902
ko:K02056	ypq:DJ40_903
ko:K02058	ypq:DJ40_904
ko:K01807	ypq:DJ40_905
ko:K00854	ypq:DJ40_906
ko:K02057	ypq:DJ40_1574
ko:K00880	ypq:DJ40_1576
ko:K01676	ypq:DJ40_1577
ko:K01265	ypq:DJ40_1579
ko:K16089	ypq:DJ40_1581
ko:K00428	ypq:DJ40_1583
ko:K01713	ypq:DJ40_1584
ko:K03893	ypq:DJ40_1588
ko:K05879	ypq:DJ40_1590
ko:K05878	ypq:DJ40_1591
ko:K01808	ypq:DJ40_1594
ko:K03555	ypq:DJ40_1595
ko:K03087	ypq:DJ40_1596
ko:K06194	ypq:DJ40_1597
ko:K00573	ypq:DJ40_1598
ko:K03787	ypq:DJ40_1599
ko:K06176	ypq:DJ40_1600
ko:K04078	ypq:DJ40_2003
ko:K00832	ypq:DJ40_2032
ko:K01775	ypq:DJ40_2033
ko:K05539	ypq:DJ40_2037
ko:K09823	ypq:DJ40_2038
ko:K01356	ypq:DJ40_2039
ko:K00901	ypq:DJ40_2040
ko:K00631	ypq:DJ40_2041
ko:K03179	ypq:DJ40_2042
ko:K03181	ypq:DJ40_2043
ko:K05795	ypq:DJ40_2051
ko:K05795	ypq:DJ40_2052
ko:K05794	ypq:DJ40_2053
ko:K01879	ypq:DJ40_2486
ko:K02798	ypq:DJ40_2488
ko:K02799	ypq:DJ40_2488
ko:K01484	ypq:DJ40_351
ko:K06447	ypq:DJ40_352
ko:K00673	ypq:DJ40_353
ko:K00840	ypq:DJ40_354
ko:K07673	ypq:DJ40_358
ko:K07300	ypq:DJ40_359
ko:K11937	ypq:DJ40_363
ko:K11936	ypq:DJ40_364
ko:K11931	ypq:DJ40_365
ko:K11935	ypq:DJ40_366
ko:K16868	ypq:DJ40_368
ko:K02003	ypq:DJ40_371
ko:K02004	ypq:DJ40_372
ko:K02004	ypq:DJ40_373
ko:K07230	ypq:DJ40_375
ko:K07243	ypq:DJ40_376
ko:K01425	ypq:DJ40_378
ko:K11738	ypq:DJ40_380
ko:K00350	ypq:DJ40_382
ko:K18292	ypq:DJ40_389
ko:K18290	ypq:DJ40_390
ko:K18288	ypq:DJ40_391
ko:K07688	ypq:DJ40_393
ko:K07679	ypq:DJ40_394
ko:K07345	ypq:DJ40_395
ko:K07347	ypq:DJ40_397
ko:K10111	ypq:DJ40_401
ko:K02026	ypq:DJ40_402
ko:K02025	ypq:DJ40_403
ko:K02027	ypq:DJ40_404
ko:K06946	ypq:DJ40_1247
ko:K06915	ypq:DJ40_1254
ko:K01491	ypq:DJ40_1261
ko:K14761	ypq:DJ40_1262
ko:K01883	ypq:DJ40_1263
ko:K03768	ypq:DJ40_1264
ko:K03269	ypq:DJ40_1265
ko:K01588	ypq:DJ40_1266
ko:K01589	ypq:DJ40_1267
ko:K02004	ypq:DJ40_1268
ko:K02003	ypq:DJ40_1269
ko:K10804	ypq:DJ40_1270
ko:K05838	ypq:DJ40_1272
ko:K07340	ypq:DJ40_1274
ko:K17686	ypq:DJ40_1276
ko:K09973	ypq:DJ40_1277
ko:K05805	ypq:DJ40_1771
ko:K05804	ypq:DJ40_1774
ko:K03720	ypq:DJ40_1775
ko:K08309	ypq:DJ40_1777
ko:K06211	ypq:DJ40_1784
ko:K04485	ypq:DJ40_1785
ko:K01079	ypq:DJ40_1786
ko:K07186	ypq:DJ40_1787
ko:K03784	ypq:DJ40_1788
ko:K01839	ypq:DJ40_1789
ko:K00758	ypq:DJ40_1790
ko:K01619	ypq:DJ40_1791
ko:K03317	ypq:DJ40_1792
ko:K03424	ypq:DJ40_1793
ko:K04065	ypq:DJ40_1796
ko:K02837	ypq:DJ40_1797
ko:K03789	ypq:DJ40_1798
ko:K01778	ypq:DJ40_2230
ko:K06202	ypq:DJ40_2232
ko:K05851	ypq:DJ40_2234
ko:K01749	ypq:DJ40_2235
ko:K01719	ypq:DJ40_2236
ko:K02496	ypq:DJ40_2237
ko:K02498	ypq:DJ40_2238
