ko:K02495	seni:CY43_20935
ko:K01169	seni:CY43_03370
ko:K09477	seni:CY43_03375
ko:K05966	seni:CY43_03380
ko:K05964	seni:CY43_03385
ko:K01643	seni:CY43_03390
ko:K01644	seni:CY43_03395
ko:K01646	seni:CY43_03400
ko:K01910	seni:CY43_03405
ko:K07700	seni:CY43_03410
ko:K07702	seni:CY43_03415
ko:K03326	seni:CY43_03420
ko:K12973	seni:CY43_03425
ko:K03704	seni:CY43_03430
ko:K06199	seni:CY43_03435
ko:K03425	seni:CY43_03445
ko:K03644	seni:CY43_03450
ko:K03801	seni:CY43_03460
ko:K09158	seni:CY43_03465
ko:K07258	seni:CY43_03470
ko:K03642	seni:CY43_03475
ko:K05837	seni:CY43_03480
ko:K05515	seni:CY43_03485
ko:K00783	seni:CY43_03490
ko:K16868	seni:CY43_08210
ko:K03304	seni:CY43_08215
ko:K03817	seni:CY43_08225
ko:K02774	seni:CY43_08235
ko:K02775	seni:CY43_08240
ko:K06971	seni:CY43_08245
ko:K02773	seni:CY43_08250
ko:K14587	seni:CY43_08255
ko:K03929	seni:CY43_08285
ko:K05876	seni:CY43_08300
ko:K11938	seni:CY43_02625
ko:K01738	seni:CY43_02630
ko:K05800	seni:CY43_02635
ko:K04752	seni:CY43_02650
ko:K03320	seni:CY43_02655
ko:K10805	seni:CY43_02660
ko:K09914	seni:CY43_02665
ko:K07443	seni:CY43_02670
ko:K02909	seni:CY43_02680
ko:K02919	seni:CY43_02685
ko:K00661	seni:CY43_02695
ko:K18138	seni:CY43_02710
ko:K03585	seni:CY43_02715
ko:K05802	seni:CY43_02725
ko:K04067	seni:CY43_02740
ko:K09790	seni:CY43_02745
ko:K00759	seni:CY43_02750
ko:K02343	seni:CY43_02755
ko:K09747	seni:CY43_02760
ko:K06187	seni:CY43_02765
ko:K04079	seni:CY43_02770
ko:K00939	seni:CY43_02775
ko:K01772	seni:CY43_02780
ko:K00892	seni:CY43_02790
ko:K03455	seni:CY43_02795
ko:K08223	seni:CY43_02805
ko:K03704	seni:CY43_09375
ko:K08169	seni:CY43_09405
ko:K03799	seni:CY43_09410
ko:K03797	seni:CY43_09415
ko:K03607	seni:CY43_09420
ko:K03808	seni:CY43_09430
ko:K11392	seni:CY43_09440
ko:K01874	seni:CY43_11595
ko:K05541	seni:CY43_11695
ko:K16165	seni:CY43_11710
ko:K00450	seni:CY43_11715
ko:K08195	seni:CY43_11720
ko:K06518	seni:CY43_11730
ko:K01489	seni:CY43_11740
ko:K03748	seni:CY43_11745
ko:K17722	seni:CY43_11755
ko:K17723	seni:CY43_11760
ko:K10541	seni:CY43_11765
ko:K10542	seni:CY43_11770
ko:K10540	seni:CY43_11775
ko:K02529	seni:CY43_11780
ko:K07148	seni:CY43_11785
ko:K01495	seni:CY43_11790
ko:K01070	seni:CY43_11795
ko:K01752	seni:CY43_11805
ko:K03803	seni:CY43_14050
ko:K03598	seni:CY43_14055
ko:K03597	seni:CY43_14060
ko:K03088	seni:CY43_14065
ko:K00278	seni:CY43_14070
ko:K15460	seni:CY43_14075
ko:K05590	seni:CY43_14080
ko:K11249	seni:CY43_14090
ko:K03648	seni:CY43_14100
ko:K03214	seni:CY43_14105
ko:K03575	seni:CY43_16210
ko:K08306	seni:CY43_16220
ko:K03289	seni:CY43_16225
ko:K07150	seni:CY43_16240
ko:K18288	seni:CY43_16255
ko:K18290	seni:CY43_16260
ko:K01130	seni:CY43_16275
ko:K06871	seni:CY43_16280
ko:K06995	seni:CY43_16300
ko:K09471	seni:CY43_16305
ko:K11903	seni:CY43_16325
ko:K08191	seni:CY43_16340
ko:K01686	seni:CY43_16345
ko:K00040	seni:CY43_16350
ko:K01812	seni:CY43_16355
ko:K02470	seni:CY43_19905
ko:K03629	seni:CY43_19910
ko:K02338	seni:CY43_19915
ko:K02313	seni:CY43_19920
ko:K03536	seni:CY43_19925
ko:K03217	seni:CY43_19930
ko:K03650	seni:CY43_19935
ko:K08163	seni:CY43_20165
ko:K06901	seni:CY43_20185
ko:K02414	seni:CY43_10395
ko:K02415	seni:CY43_10400
ko:K02416	seni:CY43_10405
ko:K02417	seni:CY43_10410
ko:K02418	seni:CY43_10415
ko:K02419	seni:CY43_10420
ko:K02420	seni:CY43_10425
ko:K02421	seni:CY43_10430
ko:K07781	seni:CY43_10435
ko:K07026	seni:CY43_10450
ko:K09781	seni:CY43_10465
ko:K07458	seni:CY43_10475
ko:K06950	seni:CY43_10485
ko:K01586	seni:CY43_12630
ko:K03473	seni:CY43_12685
ko:K07052	seni:CY43_12720
ko:K00647	seni:CY43_12725
ko:K15461	seni:CY43_12730
ko:K09906	seni:CY43_12740
ko:K07090	seni:CY43_12745
ko:K07261	seni:CY43_12750
ko:K01736	seni:CY43_12755
ko:K07320	seni:CY43_12760
ko:K08296	seni:CY43_12770
ko:K01782	seni:CY43_12775
ko:K06076	seni:CY43_12790
ko:K04754	seni:CY43_12795
ko:K08477	seni:CY43_12810
ko:K03221	seni:CY43_15005
ko:K02078	seni:CY43_15045
ko:K13284	seni:CY43_15050
ko:K13287	seni:CY43_15055
ko:K13286	seni:CY43_15060
ko:K13285	seni:CY43_15065
ko:K03225	seni:CY43_15095
ko:K10974	seni:CY43_17360
ko:K01485	seni:CY43_17365
ko:K00885	seni:CY43_17375
ko:K01788	seni:CY43_17380
ko:K03290	seni:CY43_17385
ko:K01639	seni:CY43_17390
ko:K03600	seni:CY43_17400
ko:K03599	seni:CY43_17405
ko:K02996	seni:CY43_17415
ko:K02871	seni:CY43_17420
ko:K06916	seni:CY43_17425
ko:K09908	seni:CY43_17430
ko:K04691	seni:CY43_17440
ko:K01572	seni:CY43_17450
ko:K01571	seni:CY43_17455
ko:K01573	seni:CY43_17460
ko:K03780	seni:CY43_17465
ko:K03779	seni:CY43_17470
ko:K00024	seni:CY43_17490
ko:K03402	seni:CY43_17495
ko:K03623	seni:CY43_17515
ko:K03468	seni:CY43_17520
ko:K15548	seni:CY43_17525
ko:K03568	seni:CY43_17540
ko:K08301	seni:CY43_17550
ko:K06287	seni:CY43_17555
ko:K03571	seni:CY43_17560
ko:K03570	seni:CY43_17565
ko:K03569	seni:CY43_17570
ko:K18765	seni:CY43_17575
ko:K17247	seni:CY43_17590
ko:K02160	seni:CY43_17595
ko:K01961	seni:CY43_17600
ko:K14392	seni:CY43_17610
ko:K02687	seni:CY43_17615
ko:K05540	seni:CY43_17620
ko:K03557	seni:CY43_17625
ko:K03453	seni:CY43_21900
ko:K00928	seni:CY43_22040
ko:K01810	seni:CY43_22045
ko:K13256	seni:CY43_22070
ko:K10110	seni:CY43_22075
ko:K10109	seni:CY43_22080
ko:K10108	seni:CY43_22085
ko:K10111	seni:CY43_22090
ko:K02024	seni:CY43_22095
ko:K05775	seni:CY43_22100
ko:K03181	seni:CY43_22105
ko:K03179	seni:CY43_22110
ko:K00631	seni:CY43_22115
ko:K00901	seni:CY43_22120
ko:K01356	seni:CY43_22125
ko:K03327	seni:CY43_22130
ko:K09823	seni:CY43_22145
ko:K05539	seni:CY43_22155
ko:K01775	seni:CY43_22175
ko:K00832	seni:CY43_22180
ko:K03788	seni:CY43_22185
ko:K01611	seni:CY43_00830
ko:K00797	seni:CY43_00835
ko:K14588	seni:CY43_00845
ko:K00117	seni:CY43_00850
ko:K00760	seni:CY43_00855
ko:K01673	seni:CY43_00860
ko:K01990	seni:CY43_00865
ko:K01992	seni:CY43_00870
ko:K07347	seni:CY43_00880
ko:K01579	seni:CY43_00905
ko:K01918	seni:CY43_00910
ko:K00606	seni:CY43_00915
ko:K00950	seni:CY43_00920
ko:K00970	seni:CY43_00925
ko:K01894	seni:CY43_00930
ko:K06204	seni:CY43_00935
ko:K06206	seni:CY43_00940
ko:K03579	seni:CY43_00950
ko:K05365	seni:CY43_00955
ko:K02014	seni:CY43_00960
ko:K02013	seni:CY43_00965
ko:K02016	seni:CY43_00970
ko:K02015	seni:CY43_00975
ko:K01845	seni:CY43_01015
ko:K03281	seni:CY43_01020
ko:K15724	seni:CY43_01025
ko:K06858	seni:CY43_01035
ko:K01243	seni:CY43_01040
ko:K01129	seni:CY43_01045
ko:K02647	seni:CY43_01055
ko:K00674	seni:CY43_01070
ko:K00990	seni:CY43_01075
ko:K01265	seni:CY43_01080
ko:K02967	seni:CY43_01085
ko:K02357	seni:CY43_01090
ko:K01512	seni:CY43_05540
ko:K11179	seni:CY43_05545
ko:K13085	seni:CY43_05575
ko:K02484	seni:CY43_05595
ko:K07127	seni:CY43_05605
ko:K00484	seni:CY43_05610
ko:K00483	seni:CY43_05615
ko:K05921	seni:CY43_05625
ko:K00151	seni:CY43_05630
ko:K00455	seni:CY43_05635
ko:K01826	seni:CY43_05640
ko:K02509	seni:CY43_05645
ko:K02510	seni:CY43_05650
ko:K02511	seni:CY43_05655
ko:K02508	seni:CY43_05660
ko:K05516	seni:CY43_05675
ko:K08344	seni:CY43_05685
ko:K01085	seni:CY43_05700
ko:K03809	seni:CY43_05710
ko:K13821	seni:CY43_05730
ko:K11928	seni:CY43_05735
ko:K03307	seni:CY43_05755
ko:K01788	seni:CY43_05760
ko:K17948	seni:CY43_05765
ko:K12972	seni:CY43_05795
ko:K04477	seni:CY43_05800
ko:K06214	seni:CY43_05815
ko:K04338	seni:CY43_05820
ko:K01703	seni:CY43_01970
ko:K01704	seni:CY43_01975
ko:K01561	seni:CY43_01985
ko:K07347	seni:CY43_02015
ko:K07345	seni:CY43_02025
ko:K04093	seni:CY43_06460
ko:K11250	seni:CY43_06465
ko:K09712	seni:CY43_06490
ko:K03449	seni:CY43_06505
ko:K09786	seni:CY43_06535
ko:K07180	seni:CY43_06540
ko:K06871	seni:CY43_06550
ko:K01792	seni:CY43_06560
ko:K00134	seni:CY43_06570
ko:K07305	seni:CY43_06575
ko:K09916	seni:CY43_06580
ko:K08281	seni:CY43_06585
ko:K01424	seni:CY43_06590
ko:K04773	seni:CY43_06595
ko:K01008	seni:CY43_06605
ko:K00262	seni:CY43_06615
ko:K08320	seni:CY43_06625
ko:K01142	seni:CY43_06630
ko:K00840	seni:CY43_06635
ko:K00673	seni:CY43_06640
ko:K06447	seni:CY43_06645
ko:K01484	seni:CY43_06650
ko:K05526	seni:CY43_06655
ko:K05984	seni:CY43_06665
ko:K01916	seni:CY43_06670
ko:K04064	seni:CY43_06675
ko:K02760	seni:CY43_06680
ko:K02761	seni:CY43_06685
ko:K02759	seni:CY43_06690
ko:K09973	seni:CY43_02820
ko:K17686	seni:CY43_02830
ko:K07340	seni:CY43_02840
ko:K02068	seni:CY43_02850
ko:K02069	seni:CY43_02855
ko:K05838	seni:CY43_02860
ko:K10804	seni:CY43_02870
ko:K02003	seni:CY43_02875
ko:K02004	seni:CY43_02880
ko:K02073	seni:CY43_02895
ko:K02071	seni:CY43_02900
ko:K02072	seni:CY43_02905
ko:K06917	seni:CY43_02910
ko:K10972	seni:CY43_02915
ko:K01483	seni:CY43_02920
ko:K00574	seni:CY43_07260
ko:K03604	seni:CY43_07275
ko:K04564	seni:CY43_07285
ko:K07390	seni:CY43_07295
ko:K03683	seni:CY43_07300
ko:K01759	seni:CY43_07305
ko:K10680	seni:CY43_07310
ko:K16137	seni:CY43_07315
ko:K06938	seni:CY43_07320
ko:K06075	seni:CY43_07350
ko:K06077	seni:CY43_07355
ko:K09001	seni:CY43_07360
ko:K00275	seni:CY43_07370
ko:K01866	seni:CY43_07375
ko:K00868	seni:CY43_07380
ko:K00799	seni:CY43_07385
ko:K03305	seni:CY43_07390
ko:K10773	seni:CY43_07395
ko:K03613	seni:CY43_07400
ko:K03612	seni:CY43_07405
ko:K03614	seni:CY43_07410
ko:K03615	seni:CY43_07415
ko:K03616	seni:CY43_07420
ko:K03617	seni:CY43_07425
ko:K01488	seni:CY43_07450
ko:K01809	seni:CY43_07465
ko:K01676	seni:CY43_07470
ko:K01679	seni:CY43_07475
ko:K07639	seni:CY43_07485
ko:K14062	seni:CY43_07495
ko:K07661	seni:CY43_07505
ko:K03758	seni:CY43_07515
ko:K00324	seni:CY43_07525
ko:K00325	seni:CY43_07530
ko:K11744	seni:CY43_07535
ko:K11743	seni:CY43_07545
ko:K18862	seni:CY43_02395
ko:K11742	seni:CY43_07550
ko:K04775	seni:CY43_07555
ko:K13741	seni:CY43_09470
ko:K07783	seni:CY43_11815
ko:K16089	seni:CY43_11820
ko:K11733	seni:CY43_11825
ko:K02769	seni:CY43_11845
ko:K02770	seni:CY43_11845
ko:K00882	seni:CY43_11850
ko:K02768	seni:CY43_11855
ko:K11183	seni:CY43_11855
ko:K03291	seni:CY43_11865
ko:K06940	seni:CY43_11875
ko:K02356	seni:CY43_11880
ko:K13694	seni:CY43_11895
ko:K13893	seni:CY43_11905
ko:K13894	seni:CY43_11910
ko:K13896	seni:CY43_11920
ko:K07552	seni:CY43_11930
ko:K06183	seni:CY43_11935
ko:K02897	seni:CY43_11945
ko:K06899	seni:CY43_11955
ko:K03672	seni:CY43_14110
ko:K05812	seni:CY43_14115
ko:K00998	seni:CY43_14125
ko:K05811	seni:CY43_14130
ko:K03695	seni:CY43_14165
ko:K05810	seni:CY43_14170
ko:K06180	seni:CY43_14175
ko:K05807	seni:CY43_14180
ko:K05809	seni:CY43_14185
ko:K14170	seni:CY43_14190
ko:K14187	seni:CY43_14200
ko:K01626	seni:CY43_14205
ko:K02884	seni:CY43_14220
ko:K00554	seni:CY43_14225
ko:K02860	seni:CY43_14230
ko:K02959	seni:CY43_14235
ko:K03106	seni:CY43_14240
ko:K01460	seni:CY43_16365
ko:K11209	seni:CY43_16370
ko:K02020	seni:CY43_16375
ko:K02016	seni:CY43_16380
ko:K04653	seni:CY43_16385
ko:K04651	seni:CY43_16390
ko:K03605	seni:CY43_16400
ko:K06281	seni:CY43_16405
ko:K06282	seni:CY43_16420
ko:K03406	seni:CY43_16430
ko:K03559	seni:CY43_16460
ko:K03561	seni:CY43_16465
ko:K01760	seni:CY43_16475
ko:K02039	seni:CY43_20195
ko:K02036	seni:CY43_20200
ko:K02038	seni:CY43_20205
ko:K02037	seni:CY43_20210
ko:K02040	seni:CY43_20215
ko:K02769	seni:CY43_20220
ko:K02770	seni:CY43_20220
ko:K00014	seni:CY43_20225
ko:K00820	seni:CY43_20235
ko:K04042	seni:CY43_20240
ko:K06890	seni:CY43_20250
ko:K02114	seni:CY43_20260
ko:K02112	seni:CY43_20265
ko:K02115	seni:CY43_20270
ko:K02111	seni:CY43_20275
ko:K02113	seni:CY43_20280
ko:K03704	seni:CY43_10500
ko:K08476	seni:CY43_12815
ko:K08475	seni:CY43_12820
ko:K08478	seni:CY43_12825
ko:K11382	seni:CY43_12835
ko:K12974	seni:CY43_12850
ko:K00845	seni:CY43_12860
ko:K03322	seni:CY43_12885
ko:K11535	seni:CY43_12890
ko:K01885	seni:CY43_12920
ko:K03815	seni:CY43_12960
ko:K03230	seni:CY43_15120
ko:K07314	seni:CY43_15175
ko:K03555	seni:CY43_15185
ko:K18140	seni:CY43_17645
ko:K18141	seni:CY43_17650
ko:K18142	seni:CY43_17655
ko:K00014	seni:CY43_17710
ko:K07566	seni:CY43_17715
ko:K07479	seni:CY43_17720
ko:K03747	seni:CY43_17725
ko:K04096	seni:CY43_17730
ko:K01462	seni:CY43_17735
ko:K00604	seni:CY43_17740
ko:K03500	seni:CY43_17745
ko:K03499	seni:CY43_17750
ko:K03282	seni:CY43_17755
ko:K02879	seni:CY43_17770
ko:K03040	seni:CY43_17775
ko:K02986	seni:CY43_17780
ko:K02948	seni:CY43_17785
ko:K02952	seni:CY43_17790
ko:K03076	seni:CY43_17795
ko:K02876	seni:CY43_17800
ko:K02907	seni:CY43_17805
ko:K02988	seni:CY43_17810
ko:K02881	seni:CY43_17815
ko:K02933	seni:CY43_17820
ko:K02994	seni:CY43_17825
ko:K02954	seni:CY43_17830
ko:K02931	seni:CY43_17835
ko:K02895	seni:CY43_17840
ko:K02874	seni:CY43_17845
ko:K02961	seni:CY43_17850
ko:K02904	seni:CY43_17855
ko:K02878	seni:CY43_17860
ko:K02982	seni:CY43_17865
ko:K02890	seni:CY43_17870
ko:K02965	seni:CY43_17875
ko:K02886	seni:CY43_17880
ko:K02892	seni:CY43_17885
ko:K02926	seni:CY43_17890
ko:K02906	seni:CY43_17895
ko:K02946	seni:CY43_17900
ko:K02506	seni:CY43_17905
ko:K03594	seni:CY43_17910
ko:K03701	seni:CY43_22210
ko:K13631	seni:CY43_22260
ko:K13639	seni:CY43_22265
ko:K00799	seni:CY43_22270
ko:K06901	seni:CY43_22275
ko:K03316	seni:CY43_22285
ko:K06518	seni:CY43_22295
ko:K14393	seni:CY43_22305
ko:K01895	seni:CY43_22315
ko:K03385	seni:CY43_22320
ko:K04013	seni:CY43_22325
ko:K04015	seni:CY43_22335
ko:K04016	seni:CY43_22340
ko:K04018	seni:CY43_22345
ko:K11102	seni:CY43_22350
ko:K07126	seni:CY43_22355
ko:K09994	seni:CY43_22375
ko:K04750	seni:CY43_22380
ko:K06193	seni:CY43_22385
ko:K03762	seni:CY43_22390
ko:K07643	seni:CY43_22400
ko:K07771	seni:CY43_22405
ko:K03760	seni:CY43_22410
ko:K03759	seni:CY43_22415
ko:K03755	seni:CY43_22420
ko:K01584	seni:CY43_22425
ko:K07406	seni:CY43_22435
ko:K11104	seni:CY43_22440
ko:K01676	seni:CY43_22445
ko:K07792	seni:CY43_22450
ko:K07703	seni:CY43_22455
ko:K07701	seni:CY43_22460
ko:K07306	seni:CY43_22465
ko:K07307	seni:CY43_22470
ko:K07308	seni:CY43_22475
ko:K08224	seni:CY43_07570
ko:K15545	seni:CY43_07580
ko:K01935	seni:CY43_07585
ko:K03281	seni:CY43_07590
ko:K05847	seni:CY43_07595
ko:K05846	seni:CY43_07600
ko:K05845	seni:CY43_07605
ko:K05846	seni:CY43_07610
ko:K07312	seni:CY43_07620
ko:K07307	seni:CY43_07625
ko:K07310	seni:CY43_07630
ko:K07309	seni:CY43_07635
ko:K00657	seni:CY43_07650
ko:K09771	seni:CY43_07660
ko:K08323	seni:CY43_07665
ko:K08322	seni:CY43_07670
ko:K00040	seni:CY43_07680
ko:K16066	seni:CY43_07695
ko:K01284	seni:CY43_07700
ko:K16264	seni:CY43_04090
ko:K01626	seni:CY43_04100
ko:K01678	seni:CY43_04105
ko:K01677	seni:CY43_04110
ko:K01573	seni:CY43_04130
ko:K01571	seni:CY43_04135
ko:K01572	seni:CY43_04140
ko:K02015	seni:CY43_04150
ko:K02013	seni:CY43_04155
ko:K01834	seni:CY43_04160
ko:K01785	seni:CY43_04165
ko:K00849	seni:CY43_04170
ko:K00965	seni:CY43_04175
ko:K01784	seni:CY43_04180
ko:K05776	seni:CY43_04190
ko:K02019	seni:CY43_04195
ko:K02020	seni:CY43_04205
ko:K02018	seni:CY43_04210
ko:K02017	seni:CY43_04215
ko:K07404	seni:CY43_04225
ko:K01051	seni:CY43_04230
ko:K01468	seni:CY43_04235
ko:K01479	seni:CY43_04240
ko:K05836	seni:CY43_04245
ko:K01712	seni:CY43_04250
ko:K01745	seni:CY43_04255
ko:K06910	seni:CY43_04260
ko:K00833	seni:CY43_04265
ko:K01012	seni:CY43_04270
ko:K00652	seni:CY43_04275
ko:K02169	seni:CY43_04280
ko:K01935	seni:CY43_04285
ko:K03639	seni:CY43_04305
ko:K03638	seni:CY43_04310
ko:K03637	seni:CY43_04315
ko:K03636	seni:CY43_04320
ko:K03635	seni:CY43_04325
ko:K06890	seni:CY43_04330
ko:K06890	seni:CY43_04335
ko:K07027	seni:CY43_04350
ko:K02109	seni:CY43_20285
ko:K02110	seni:CY43_20290
ko:K02108	seni:CY43_20295
ko:K02116	seni:CY43_20300
ko:K03501	seni:CY43_20305
ko:K03495	seni:CY43_20310
ko:K06205	seni:CY43_20315
ko:K03718	seni:CY43_20320
ko:K01914	seni:CY43_20325
ko:K03924	seni:CY43_20335
ko:K03549	seni:CY43_20340
ko:K06726	seni:CY43_20345
ko:K10441	seni:CY43_20350
ko:K10440	seni:CY43_20355
ko:K10439	seni:CY43_20360
ko:K00852	seni:CY43_20365
ko:K02529	seni:CY43_20370
ko:K09897	seni:CY43_20420
ko:K07391	seni:CY43_20425
ko:K01652	seni:CY43_20435
ko:K11258	seni:CY43_20440
ko:K00826	seni:CY43_20445
ko:K01687	seni:CY43_20450
ko:K01754	seni:CY43_20455
ko:K15580	seni:CY43_08580
ko:K14054	seni:CY43_08585
ko:K11065	seni:CY43_08595
ko:K03721	seni:CY43_08600
ko:K08990	seni:CY43_08605
ko:K06918	seni:CY43_08610
ko:K03972	seni:CY43_08615
ko:K07491	seni:CY43_09740
ko:K01151	seni:CY43_11840
ko:K13895	seni:CY43_11915
ko:K09904	seni:CY43_11960
ko:K07014	seni:CY43_11965
ko:K07685	seni:CY43_12060
ko:K02200	seni:CY43_12065
ko:K02199	seni:CY43_12070
ko:K02197	seni:CY43_12080
ko:K02196	seni:CY43_12085
ko:K02195	seni:CY43_12090
ko:K02194	seni:CY43_12095
ko:K02193	seni:CY43_12100
ko:K02569	seni:CY43_12105
ko:K00858	seni:CY43_14265
ko:K03631	seni:CY43_14270
ko:K06186	seni:CY43_14275
ko:K09801	seni:CY43_14280
ko:K03664	seni:CY43_14290
ko:K12543	seni:CY43_14300
ko:K12541	seni:CY43_14305
ko:K12542	seni:CY43_14310
ko:K02783	seni:CY43_14370
ko:K02781	seni:CY43_14375
ko:K02782	seni:CY43_14380
ko:K02783	seni:CY43_14380
ko:K14347	seni:CY43_12975
ko:K09954	seni:CY43_12980
ko:K01972	seni:CY43_12985
ko:K03528	seni:CY43_12990
