ko:K06896	sagi:MSA_20550
ko:K02039	sagi:MSA_20590
ko:K02036	sagi:MSA_20600
ko:K02038	sagi:MSA_20610
ko:K02037	sagi:MSA_20620
ko:K02040	sagi:MSA_20630
ko:K09761	sagi:MSA_20660
ko:K02687	sagi:MSA_20670
ko:K03574	sagi:MSA_20710
ko:K07478	sagi:MSA_20750
ko:K02795	sagi:MSA_20390
ko:K07706	sagi:MSA_20520
ko:K15587	sagi:MSA_16370
ko:K15586	sagi:MSA_16380
ko:K15585	sagi:MSA_16390
ko:K15584	sagi:MSA_16400
ko:K02863	sagi:MSA_16410
ko:K02867	sagi:MSA_16420
ko:K08170	sagi:MSA_16430
ko:K03342	sagi:MSA_16470
ko:K03466	sagi:MSA_16480
ko:K03709	sagi:MSA_16530
ko:K10824	sagi:MSA_16360
ko:K01243	sagi:MSA_16540
ko:K01515	sagi:MSA_16560
ko:K04042	sagi:MSA_16570
ko:K04750	sagi:MSA_16580
ko:K00059	sagi:MSA_16620
ko:K03311	sagi:MSA_16840
ko:K01874	sagi:MSA_16850
ko:K16868	sagi:MSA_16880
ko:K01142	sagi:MSA_16920
ko:K00567	sagi:MSA_16940
ko:K00058	sagi:MSA_16960
ko:K00831	sagi:MSA_16980
ko:K06201	sagi:MSA_16990
ko:K07056	sagi:MSA_17010
ko:K02341	sagi:MSA_17030
ko:K00943	sagi:MSA_17040
ko:K04767	sagi:MSA_17050
ko:K01996	sagi:MSA_17060
ko:K01995	sagi:MSA_17070
ko:K01998	sagi:MSA_17080
ko:K01997	sagi:MSA_17090
ko:K01999	sagi:MSA_17100
ko:K01358	sagi:MSA_17120
ko:K00761	sagi:MSA_17130
ko:K14155	sagi:MSA_17140
ko:K03216	sagi:MSA_17150
ko:K03294	sagi:MSA_17160
ko:K03499	sagi:MSA_17170
ko:K03498	sagi:MSA_17180
ko:K08998	sagi:MSA_17190
ko:K06178	sagi:MSA_17200
ko:K06024	sagi:MSA_17210
ko:K05896	sagi:MSA_17220
ko:K07095	sagi:MSA_17250
ko:K02428	sagi:MSA_17260
ko:K01776	sagi:MSA_17270
ko:K09976	sagi:MSA_17280
ko:K16788	sagi:MSA_17290
ko:K07105	sagi:MSA_17310
ko:K06890	sagi:MSA_17320
ko:K06950	sagi:MSA_17330
ko:K03437	sagi:MSA_17340
ko:K01512	sagi:MSA_17350
ko:K03217	sagi:MSA_17360
ko:K10009	sagi:MSA_17370
ko:K02424	sagi:MSA_17380
ko:K01426	sagi:MSA_17390
ko:K03624	sagi:MSA_17400
ko:K07082	sagi:MSA_17410
ko:K01924	sagi:MSA_17430
ko:K03977	sagi:MSA_17460
ko:K11144	sagi:MSA_17470
ko:K03346	sagi:MSA_17480
ko:K07738	sagi:MSA_17490
ko:K07040	sagi:MSA_17520
ko:K03799	sagi:MSA_17530
ko:K03744	sagi:MSA_17540
ko:K03501	sagi:MSA_17550
ko:K03499	sagi:MSA_17570
ko:K16785	sagi:MSA_17580
ko:K08303	sagi:MSA_8840
ko:K03322	sagi:MSA_8870
ko:K11752	sagi:MSA_8880
ko:K00793	sagi:MSA_8890
ko:K14652	sagi:MSA_8900
ko:K00794	sagi:MSA_8940
ko:K04567	sagi:MSA_8950
ko:K07025	sagi:MSA_8960
ko:K03976	sagi:MSA_8980
ko:K07273	sagi:MSA_9000
ko:K01595	sagi:MSA_9040
ko:K03588	sagi:MSA_9050
ko:K02358	sagi:MSA_9060
ko:K01803	sagi:MSA_9070
ko:K01834	sagi:MSA_9080
ko:K00687	sagi:MSA_9090
ko:K06187	sagi:MSA_9100
ko:K01921	sagi:MSA_9110
ko:K01929	sagi:MSA_9120
ko:K08177	sagi:MSA_9130
ko:K02837	sagi:MSA_9170
ko:K02071	sagi:MSA_9190
ko:K02072	sagi:MSA_9200
ko:K02073	sagi:MSA_9210
ko:K05592	sagi:MSA_9220
ko:K07461	sagi:MSA_9230
ko:K00655	sagi:MSA_9250
ko:K02237	sagi:MSA_9260
ko:K02238	sagi:MSA_9270
ko:K02340	sagi:MSA_9320
ko:K01223	sagi:MSA_9360
ko:K16786	sagi:MSA_17590
ko:K16787	sagi:MSA_17590
ko:K16924	sagi:MSA_17600
ko:K02756	sagi:MSA_9350
ko:K02757	sagi:MSA_9350
ko:K02647	sagi:MSA_9370
ko:K00865	sagi:MSA_9380
ko:K03299	sagi:MSA_9390
ko:K07568	sagi:MSA_9420
ko:K02564	sagi:MSA_9440
ko:K07393	sagi:MSA_9450
ko:K06183	sagi:MSA_9460
ko:K06198	sagi:MSA_9490
ko:K08602	sagi:MSA_9500
ko:K07533	sagi:MSA_9530
ko:K01872	sagi:MSA_9550
ko:K07150	sagi:MSA_9560
ko:K07729	sagi:MSA_9590
ko:K16789	sagi:MSA_9610
ko:K11189	sagi:MSA_9650
ko:K08483	sagi:MSA_9660
ko:K00876	sagi:MSA_9700
ko:K02343	sagi:MSA_9720
ko:K04564	sagi:MSA_9330
ko:K03524	sagi:MSA_9740
ko:K00789	sagi:MSA_9750
ko:K01972	sagi:MSA_9970
ko:K16925	sagi:MSA_9840
ko:K16786	sagi:MSA_9850
ko:K16787	sagi:MSA_9850
ko:K16785	sagi:MSA_9860
ko:K00788	sagi:MSA_9890
ko:K00790	sagi:MSA_9900
ko:K01265	sagi:MSA_9930
ko:K07058	sagi:MSA_9940
ko:K00700	sagi:MSA_10000
ko:K00975	sagi:MSA_10010
ko:K00975	sagi:MSA_10020
ko:K00703	sagi:MSA_10030
ko:K02110	sagi:MSA_10040
ko:K03488	sagi:MSA_9340
ko:K02108	sagi:MSA_10050
ko:K02109	sagi:MSA_10060
ko:K02755	sagi:MSA_9350
ko:K02113	sagi:MSA_10070
ko:K02111	sagi:MSA_10080
ko:K02115	sagi:MSA_10090
ko:K02112	sagi:MSA_10100
ko:K02114	sagi:MSA_10110
ko:K07862	sagi:MSA_17610
ko:K03311	sagi:MSA_17620
ko:K02072	sagi:MSA_17640
ko:K02071	sagi:MSA_17650
ko:K01439	sagi:MSA_17660
ko:K02073	sagi:MSA_17670
ko:K02030	sagi:MSA_17680
ko:K07010	sagi:MSA_17690
ko:K05878	sagi:MSA_17740
ko:K05879	sagi:MSA_17750
ko:K02440	sagi:MSA_17770
ko:K09710	sagi:MSA_17830
ko:K00969	sagi:MSA_17860
ko:K07574	sagi:MSA_17870
ko:K06948	sagi:MSA_17880
ko:K07015	sagi:MSA_17890
ko:K02434	sagi:MSA_17910
ko:K02433	sagi:MSA_17920
ko:K02435	sagi:MSA_17930
ko:K01006	sagi:MSA_17940
ko:K09773	sagi:MSA_17960
ko:K00074	sagi:MSA_17980
ko:K03706	sagi:MSA_18000
ko:K14260	sagi:MSA_18010
ko:K01424	sagi:MSA_18040
ko:K00014	sagi:MSA_18050
ko:K03655	sagi:MSA_18070
ko:K01775	sagi:MSA_18090
ko:K00997	sagi:MSA_18100
ko:K01626	sagi:MSA_18110
ko:K03070	sagi:MSA_18120
ko:K01809	sagi:MSA_18130
ko:K00847	sagi:MSA_18140
ko:K02808	sagi:MSA_18150
ko:K02809	sagi:MSA_18150
ko:K02810	sagi:MSA_18150
ko:K01193	sagi:MSA_18160
ko:K03484	sagi:MSA_18170
ko:K03625	sagi:MSA_18180
ko:K02356	sagi:MSA_18200
ko:K01262	sagi:MSA_18290
ko:K03701	sagi:MSA_18320
ko:K03284	sagi:MSA_18340
ko:K02963	sagi:MSA_18350
ko:K02990	sagi:MSA_18370
ko:K03575	sagi:MSA_18380
ko:K16012	sagi:MSA_18620
ko:K16013	sagi:MSA_18630
ko:K00426	sagi:MSA_18640
ko:K00425	sagi:MSA_18650
ko:K03885	sagi:MSA_18660
ko:K02548	sagi:MSA_18670
ko:K09747	sagi:MSA_18780
ko:K03671	sagi:MSA_18400
ko:K07456	sagi:MSA_18420
ko:K03471	sagi:MSA_18450
ko:K03100	sagi:MSA_18460
ko:K03581	sagi:MSA_18470
ko:K02346	sagi:MSA_18490
ko:K00656	sagi:MSA_18500
ko:K02440	sagi:MSA_18550
ko:K01281	sagi:MSA_18590
ko:K00805	sagi:MSA_18610
ko:K00574	sagi:MSA_18790
ko:K01889	sagi:MSA_10160
ko:K01890	sagi:MSA_10180
ko:K07054	sagi:MSA_10190
ko:K16899	sagi:MSA_10200
ko:K16898	sagi:MSA_10210
ko:K03650	sagi:MSA_10230
ko:K06158	sagi:MSA_10240
ko:K00161	sagi:MSA_10260
ko:K00790	sagi:MSA_10130
ko:K00162	sagi:MSA_10270
ko:K00627	sagi:MSA_10280
ko:K00382	sagi:MSA_10290
ko:K03800	sagi:MSA_10300
ko:K07009	sagi:MSA_10310
ko:K01928	sagi:MSA_10320
ko:K15051	sagi:MSA_10150
ko:K07007	sagi:MSA_18840
ko:K02342	sagi:MSA_18820
ko:K02954	sagi:MSA_18860
ko:K01620	sagi:MSA_18870
ko:K01409	sagi:MSA_18880
ko:K03789	sagi:MSA_18890
ko:K01635	sagi:MSA_13700
ko:K01790	sagi:MSA_13250
ko:K00973	sagi:MSA_13260
ko:K06967	sagi:MSA_13290
ko:K02086	sagi:MSA_13300
ko:K00759	sagi:MSA_13310
ko:K07462	sagi:MSA_13330
ko:K07124	sagi:MSA_13340
ko:K00784	sagi:MSA_13350
ko:K03665	sagi:MSA_13370
ko:K00791	sagi:MSA_13380
ko:K11041	sagi:MSA_13400
ko:K04486	sagi:MSA_13430
ko:K01126	sagi:MSA_13470
ko:K03703	sagi:MSA_13480
ko:K09765	sagi:MSA_13490
ko:K03327	sagi:MSA_13500
ko:K04750	sagi:MSA_13510
ko:K12999	sagi:MSA_13580
ko:K01220	sagi:MSA_13670
ko:K02787	sagi:MSA_13680
ko:K02788	sagi:MSA_13680
ko:K02786	sagi:MSA_13690
ko:K00917	sagi:MSA_13710
ko:K01915	sagi:MSA_18940
ko:K03713	sagi:MSA_18950
ko:K00927	sagi:MSA_18970
ko:K00134	sagi:MSA_18990
ko:K02355	sagi:MSA_19000
ko:K02992	sagi:MSA_19010
ko:K02950	sagi:MSA_19020
ko:K09685	sagi:MSA_19030
ko:K03698	sagi:MSA_19040
ko:K09760	sagi:MSA_19050
ko:K00949	sagi:MSA_19060
ko:K01783	sagi:MSA_19070
ko:K06949	sagi:MSA_19080
ko:K00563	sagi:MSA_19090
ko:K02528	sagi:MSA_19100
ko:K05985	sagi:MSA_19150
ko:K01819	sagi:MSA_13720
ko:K01819	sagi:MSA_13730
ko:K02530	sagi:MSA_13750
ko:K04751	sagi:MSA_13760
ko:K02769	sagi:MSA_13780
ko:K02770	sagi:MSA_13780
ko:K00882	sagi:MSA_13790
ko:K02935	sagi:MSA_14230
ko:K02864	sagi:MSA_14240
ko:K04086	sagi:MSA_14250
ko:K00547	sagi:MSA_14260
ko:K03978	sagi:MSA_14320
ko:K03544	sagi:MSA_14330
ko:K01641	sagi:MSA_14370
ko:K00054	sagi:MSA_14380
ko:K01823	sagi:MSA_14440
ko:K00938	sagi:MSA_14450
ko:K01597	sagi:MSA_14460
ko:K00869	sagi:MSA_14470
ko:K06147	sagi:MSA_14510
ko:K06147	sagi:MSA_14520
ko:K01081	sagi:MSA_14540
ko:K01462	sagi:MSA_14550
ko:K00262	sagi:MSA_14560
ko:K03828	sagi:MSA_14600
ko:K15738	sagi:MSA_14610
ko:K00974	sagi:MSA_14620
ko:K02768	sagi:MSA_14670
ko:K02769	sagi:MSA_14670
ko:K02770	sagi:MSA_14670
ko:K00882	sagi:MSA_14680
ko:K03436	sagi:MSA_14690
ko:K03424	sagi:MSA_19160
ko:K03740	sagi:MSA_19250
ko:K14188	sagi:MSA_19260
ko:K03739	sagi:MSA_19270
ko:K03367	sagi:MSA_19280
ko:K02914	sagi:MSA_19310
ko:K02000	sagi:MSA_19340
ko:K03476	sagi:MSA_19370
ko:K03493	sagi:MSA_19380
ko:K00880	sagi:MSA_19400
ko:K02775	sagi:MSA_19420
ko:K00616	sagi:MSA_19470
ko:K02821	sagi:MSA_19510
ko:K02822	sagi:MSA_19520
ko:K03475	sagi:MSA_19530
ko:K01939	sagi:MSA_19560
ko:K01919	sagi:MSA_19590
ko:K04083	sagi:MSA_19620
ko:K03823	sagi:MSA_19650
ko:K03696	sagi:MSA_19660
ko:K07386	sagi:MSA_19770
ko:K01462	sagi:MSA_19810
ko:K02747	sagi:MSA_19840
ko:K02746	sagi:MSA_19850
ko:K02745	sagi:MSA_19860
ko:K02744	sagi:MSA_19880
ko:K00046	sagi:MSA_19890
ko:K03708	sagi:MSA_19670
ko:K02357	sagi:MSA_19690
ko:K02967	sagi:MSA_19700
ko:K03386	sagi:MSA_19710
ko:K03387	sagi:MSA_19720
ko:K03316	sagi:MSA_19740
ko:K03431	sagi:MSA_10350
ko:K09952	sagi:MSA_10420
ko:K00940	sagi:MSA_10460
ko:K03596	sagi:MSA_10470
ko:K06950	sagi:MSA_10500
ko:K07305	sagi:MSA_10520
ko:K02337	sagi:MSA_10630
ko:K00850	sagi:MSA_10640
ko:K00873	sagi:MSA_10650
ko:K03100	sagi:MSA_10660
ko:K06193	sagi:MSA_10690
ko:K02029	sagi:MSA_10700
ko:K02028	sagi:MSA_10710
ko:K02030	sagi:MSA_10720
ko:K02968	sagi:MSA_10730
ko:K00867	sagi:MSA_10740
ko:K00564	sagi:MSA_10750
ko:K01489	sagi:MSA_10760
ko:K00820	sagi:MSA_10680
ko:K07335	sagi:MSA_10770
ko:K02056	sagi:MSA_10780
ko:K02057	sagi:MSA_10790
ko:K02057	sagi:MSA_10800
ko:K00016	sagi:MSA_10820
ko:K02469	sagi:MSA_10830
ko:K08234	sagi:MSA_10850
ko:K01951	sagi:MSA_10880
ko:K03710	sagi:MSA_10890
ko:K04094	sagi:MSA_10900
ko:K02073	sagi:MSA_10920
ko:K02003	sagi:MSA_10950
ko:K02004	sagi:MSA_10960
ko:K03106	sagi:MSA_11030
ko:K09787	sagi:MSA_11040
ko:K14982	sagi:MSA_11050
ko:K14983	sagi:MSA_11060
ko:K01256	sagi:MSA_11070
ko:K02039	sagi:MSA_11080
ko:K02036	sagi:MSA_11090
ko:K02036	sagi:MSA_11100
ko:K02016	sagi:MSA_11280
ko:K02013	sagi:MSA_11300
ko:K05337	sagi:MSA_15100
ko:K02015	sagi:MSA_11310
ko:K02015	sagi:MSA_11320
ko:K03470	sagi:MSA_11340
ko:K14540	sagi:MSA_11350
ko:K07704	sagi:MSA_11390
ko:K03466	sagi:MSA_11560
ko:K01955	sagi:MSA_11650
ko:K01956	sagi:MSA_11660
ko:K00609	sagi:MSA_11670
ko:K01465	sagi:MSA_11680
ko:K00762	sagi:MSA_11690
ko:K01591	sagi:MSA_11700
ko:K00133	sagi:MSA_11740
ko:K06131	sagi:MSA_11760
ko:K01938	sagi:MSA_11770
ko:K03800	sagi:MSA_11780
ko:K02038	sagi:MSA_11110
ko:K02037	sagi:MSA_11120
ko:K02040	sagi:MSA_11130
ko:K01092	sagi:MSA_11150
ko:K16509	sagi:MSA_11170
ko:K11753	sagi:MSA_11180
ko:K03177	sagi:MSA_11190
ko:K07052	sagi:MSA_11230
ko:K02004	sagi:MSA_11240
ko:K02003	sagi:MSA_11250
ko:K03168	sagi:MSA_11260
ko:K04096	sagi:MSA_11270
ko:K06966	sagi:MSA_20990
ko:K00005	sagi:MSA_21040
ko:K00549	sagi:MSA_21070
ko:K01361	sagi:MSA_21100
ko:K01869	sagi:MSA_21140
ko:K02601	sagi:MSA_21180
ko:K03073	sagi:MSA_21210
ko:K12555	sagi:MSA_21220
ko:K06180	sagi:MSA_21230
ko:K01839	sagi:MSA_21250
ko:K01619	sagi:MSA_21260
ko:K03317	sagi:MSA_21270
ko:K00757	sagi:MSA_21280
ko:K04077	sagi:MSA_21300
ko:K04078	sagi:MSA_21310
ko:K05833	sagi:MSA_21320
ko:K05832	sagi:MSA_21330
ko:K01989	sagi:MSA_21340
ko:K07104	sagi:MSA_21360
ko:K09861	sagi:MSA_21370
ko:K03810	sagi:MSA_21400
ko:K00383	sagi:MSA_14980
ko:K01736	sagi:MSA_15000
ko:K01735	sagi:MSA_15010
ko:K03785	sagi:MSA_15020
ko:K06969	sagi:MSA_15030
ko:K02887	sagi:MSA_15050
ko:K02916	sagi:MSA_15060
ko:K02520	sagi:MSA_15070
ko:K00945	sagi:MSA_15080
ko:K01258	sagi:MSA_15120
ko:K05362	sagi:MSA_15140
ko:K02013	sagi:MSA_15150
ko:K02016	sagi:MSA_15160
ko:K02015	sagi:MSA_15170
ko:K02015	sagi:MSA_15180
ko:K15986	sagi:MSA_15200
ko:K04069	sagi:MSA_15210
ko:K00077	sagi:MSA_14720
ko:K07035	sagi:MSA_14730
ko:K00554	sagi:MSA_14750
ko:K02860	sagi:MSA_14760
ko:K06960	sagi:MSA_14800
ko:K02959	sagi:MSA_14810
ko:K02004	sagi:MSA_14820
ko:K02003	sagi:MSA_14830
ko:K02005	sagi:MSA_14840
ko:K01955	sagi:MSA_14850
ko:K01956	sagi:MSA_14860
ko:K02825	sagi:MSA_14870
ko:K06180	sagi:MSA_14880
ko:K03101	sagi:MSA_14890
ko:K02899	sagi:MSA_14910
ko:K07584	sagi:MSA_14920
ko:K02888	sagi:MSA_14930
ko:K07282	sagi:MSA_14940
ko:K03151	sagi:MSA_14950
ko:K04487	sagi:MSA_14960
ko:K03699	sagi:MSA_15220
ko:K07139	sagi:MSA_15240
ko:K03100	sagi:MSA_15330
ko:K00991	sagi:MSA_15420
ko:K01246	sagi:MSA_21510
ko:K03550	sagi:MSA_21520
ko:K08152	sagi:MSA_21530
ko:K03572	sagi:MSA_21540
ko:K03704	sagi:MSA_21550
ko:K03555	sagi:MSA_21560
ko:K03402	sagi:MSA_21570
ko:K01887	sagi:MSA_21580
ko:K01876	sagi:MSA_21620
ko:K01892	sagi:MSA_21630
ko:K02911	sagi:MSA_21640
ko:K02913	sagi:MSA_21650
ko:K00926	sagi:MSA_21750
ko:K00611	sagi:MSA_21760
ko:K07717	sagi:MSA_21770
ko:K07719	sagi:MSA_21780
ko:K05847	sagi:MSA_21790
ko:K05845	sagi:MSA_21800
ko:K05846	sagi:MSA_21800
ko:K14205	sagi:MSA_21810
ko:K08987	sagi:MSA_21830
ko:K01421	sagi:MSA_21840
ko:K07447	sagi:MSA_21460
ko:K02313	sagi:MSA_10
ko:K02338	sagi:MSA_20
ko:K06942	sagi:MSA_60
ko:K01056	sagi:MSA_70
ko:K03723	sagi:MSA_80
ko:K04075	sagi:MSA_140
ko:K00760	sagi:MSA_150
ko:K03798	sagi:MSA_160
ko:K00948	sagi:MSA_520
ko:K00841	sagi:MSA_530
ko:K03584	sagi:MSA_540
ko:K07052	sagi:MSA_550
ko:K03621	sagi:MSA_560
ko:K02078	sagi:MSA_570
ko:K01923	sagi:MSA_580
ko:K01952	sagi:MSA_610
ko:K00764	sagi:MSA_620
ko:K01933	sagi:MSA_630
ko:K11175	sagi:MSA_640
ko:K00602	sagi:MSA_660
ko:K01788	sagi:MSA_690
ko:K02025	sagi:MSA_710
ko:K01639	sagi:MSA_750
ko:K01060	sagi:MSA_780
ko:K01945	sagi:MSA_810
ko:K01588	sagi:MSA_820
ko:K01589	sagi:MSA_840
ko:K01756	sagi:MSA_870
ko:K03551	sagi:MSA_890
ko:K01104	sagi:MSA_900
ko:K04072	sagi:MSA_930
ko:K13953	sagi:MSA_940
ko:K01733	sagi:MSA_950
ko:K02946	sagi:MSA_970
ko:K02906	sagi:MSA_980
ko:K02926	sagi:MSA_990
ko:K02892	sagi:MSA_1000
ko:K02886	sagi:MSA_1010
ko:K02965	sagi:MSA_1020
ko:K02890	sagi:MSA_1030
ko:K02982	sagi:MSA_1040
ko:K02878	sagi:MSA_1050
ko:K02904	sagi:MSA_1060
ko:K02961	sagi:MSA_1070
ko:K02874	sagi:MSA_1080
ko:K02895	sagi:MSA_1090
ko:K02931	sagi:MSA_1100
ko:K02954	sagi:MSA_1110
ko:K02994	sagi:MSA_1120
ko:K02933	sagi:MSA_1130
ko:K02881	sagi:MSA_1140
ko:K09153	sagi:MSA_15450
ko:K12997	sagi:MSA_15470
ko:K12996	sagi:MSA_15480
ko:K00067	sagi:MSA_15490
ko:K03086	sagi:MSA_15510
ko:K03282	sagi:MSA_15530
ko:K02970	sagi:MSA_15540
ko:K06940	sagi:MSA_15550
ko:K02030	sagi:MSA_15560
ko:K03320	sagi:MSA_15570
ko:K07146	sagi:MSA_15590
ko:K02445	sagi:MSA_15610
ko:K00688	sagi:MSA_15620
ko:K00705	sagi:MSA_15630
ko:K02529	sagi:MSA_15640
ko:K15770	sagi:MSA_15650
ko:K15771	sagi:MSA_15660
ko:K15772	sagi:MSA_15670
ko:K03305	sagi:MSA_15680
ko:K03574	sagi:MSA_15690
ko:K03070	sagi:MSA_15730
ko:K12270	sagi:MSA_15740
ko:K12269	sagi:MSA_15750
ko:K12268	sagi:MSA_15760
ko:K03076	sagi:MSA_15770
ko:K03702	sagi:MSA_15870
ko:K07052	sagi:MSA_15880
ko:K02029	sagi:MSA_15890
ko:K02030	sagi:MSA_15890
ko:K02028	sagi:MSA_15900
ko:K03979	sagi:MSA_15930
ko:K06183	sagi:MSA_15990
ko:K01759	sagi:MSA_16020
ko:K12999	sagi:MSA_16030
ko:K03664	sagi:MSA_16050
ko:K12573	sagi:MSA_16060
ko:K03075	sagi:MSA_16070
ko:K00859	sagi:MSA_16110
ko:K10563	sagi:MSA_16120
ko:K01992	sagi:MSA_3470
ko:K01992	sagi:MSA_4450
ko:K14228	sagi:MSA_1440
ko:K14228	sagi:MSA_3150
ko:K01990	sagi:MSA_10610
ko:K01992	sagi:MSA_20930
ko:K01990	sagi:MSA_4440
ko:K01990	sagi:MSA_3460
ko:K01990	sagi:MSA_16100
ko:K01990	sagi:MSA_20940
ko:K01990	sagi:MSA_3280
ko:K01977	sagi:MSA_1260
ko:K01977	sagi:MSA_2180
ko:K01977	sagi:MSA_3000
ko:K01977	sagi:MSA_4070
ko:K01977	sagi:MSA_4830
ko:K01977	sagi:MSA_170
ko:K01977	sagi:MSA_300
ko:K00951	sagi:MSA_20290
ko:K01598	sagi:MSA_11860
ko:K14237	sagi:MSA_1300
ko:K14237	sagi:MSA_3040
ko:K14237	sagi:MSA_340
ko:K14237	sagi:MSA_210
ko:K14237	sagi:MSA_4870
ko:K14233	sagi:MSA_500
ko:K14236	sagi:MSA_1400
ko:K14236	sagi:MSA_3110
ko:K14236	sagi:MSA_12680
ko:K14235	sagi:MSA_1410
ko:K14235	sagi:MSA_3120
ko:K14226	sagi:MSA_1420
ko:K14226	sagi:MSA_3130
ko:K07271	sagi:MSA_15430
ko:K14218	sagi:MSA_1270
ko:K14218	sagi:MSA_2190
ko:K14218	sagi:MSA_180
ko:K14218	sagi:MSA_310
ko:K14218	sagi:MSA_4080
ko:K14218	sagi:MSA_3010
ko:K14218	sagi:MSA_4840
ko:K14220	sagi:MSA_2220
ko:K14220	sagi:MSA_4110
ko:K14220	sagi:MSA_22510
ko:K14222	sagi:MSA_19730
ko:K01990	sagi:MSA_3730
ko:K10112	sagi:MSA_20110
ko:K14229	sagi:MSA_20760
ko:K02988	sagi:MSA_1150
ko:K02907	sagi:MSA_1160
ko:K02876	sagi:MSA_1170
ko:K03076	sagi:MSA_1180
ko:K00939	sagi:MSA_1190
ko:K02518	sagi:MSA_1200
ko:K02919	sagi:MSA_1210
ko:K02952	sagi:MSA_1220
ko:K02948	sagi:MSA_1230
ko:K03040	sagi:MSA_1240
ko:K02879	sagi:MSA_1250
ko:K09962	sagi:MSA_1490
ko:K12296	sagi:MSA_1540
ko:K03705	sagi:MSA_1580
ko:K03687	sagi:MSA_1590
ko:K04043	sagi:MSA_1600
ko:K03686	sagi:MSA_1610
ko:K06173	sagi:MSA_1630
ko:K00868	sagi:MSA_1640
ko:K03545	sagi:MSA_1680
ko:K03048	sagi:MSA_1690
ko:K01937	sagi:MSA_1700
ko:K06889	sagi:MSA_1710
