ko:K13628	lpa:lpa_02528
ko:K01462	lpa:lpa_01652
ko:K09906	lpa:lpa_02761
ko:K01885	lpa:lpa_02766
ko:K07678	lpa:lpa_02767
ko:K02655	lpa:lpa_02769
ko:K05527	lpa:lpa_02771
ko:K00979	lpa:lpa_02776
ko:K09791	lpa:lpa_02777
ko:K03722	lpa:lpa_02779
ko:K05524	lpa:lpa_02781
ko:K07133	lpa:lpa_02799
ko:K01673	lpa:lpa_02802
ko:K07154	lpa:lpa_02812
ko:K00074	lpa:lpa_02825
ko:K01749	lpa:lpa_03992
ko:K01719	lpa:lpa_03993
ko:K02496	lpa:lpa_03994
ko:K02498	lpa:lpa_03996
ko:K09765	lpa:lpa_04000
ko:K13288	lpa:lpa_04001
ko:K06949	lpa:lpa_04003
ko:K02343	lpa:lpa_04013
ko:K09747	lpa:lpa_04014
ko:K06187	lpa:lpa_04015
ko:K01507	lpa:lpa_04032
ko:K02503	lpa:lpa_04033
ko:K01495	lpa:lpa_04034
ko:K00962	lpa:lpa_04036
ko:K02956	lpa:lpa_04037
ko:K03177	lpa:lpa_04038
ko:K02834	lpa:lpa_04039
ko:K02519	lpa:lpa_04041
ko:K02600	lpa:lpa_04042
ko:K09748	lpa:lpa_04043
ko:K00343	lpa:lpa_04044
ko:K00342	lpa:lpa_04046
ko:K00341	lpa:lpa_04047
ko:K00340	lpa:lpa_04048
ko:K00339	lpa:lpa_04049
ko:K00338	lpa:lpa_04050
ko:K00337	lpa:lpa_04051
ko:K00336	lpa:lpa_04052
ko:K00335	lpa:lpa_04053
ko:K00334	lpa:lpa_04055
ko:K00333	lpa:lpa_04056
ko:K07102	lpa:lpa_00510
ko:K04744	lpa:lpa_00511
ko:K03771	lpa:lpa_00512
ko:K00097	lpa:lpa_00513
ko:K00287	lpa:lpa_00514
ko:K02358	lpa:lpa_00521
ko:K03073	lpa:lpa_00522
ko:K02601	lpa:lpa_00523
ko:K02867	lpa:lpa_00524
ko:K02863	lpa:lpa_00525
ko:K03980	lpa:lpa_01685
ko:K07305	lpa:lpa_01717
ko:K08481	lpa:lpa_01734
ko:K08482	lpa:lpa_01735
ko:K08296	lpa:lpa_02899
ko:K07136	lpa:lpa_02901
ko:K00332	lpa:lpa_04057
ko:K00331	lpa:lpa_04058
ko:K00330	lpa:lpa_04060
ko:K03075	lpa:lpa_04061
ko:K01803	lpa:lpa_04062
ko:K03431	lpa:lpa_04064
ko:K00796	lpa:lpa_04065
ko:K03798	lpa:lpa_04066
ko:K02427	lpa:lpa_04067
ko:K07574	lpa:lpa_04068
ko:K10763	lpa:lpa_04073
ko:K03305	lpa:lpa_04077
ko:K07001	lpa:lpa_04079
ko:K00014	lpa:lpa_04080
ko:K01256	lpa:lpa_04082
ko:K07180	lpa:lpa_04083
ko:K09786	lpa:lpa_04084
ko:K03656	lpa:lpa_04090
ko:K04083	lpa:lpa_04092
ko:K06207	lpa:lpa_04099
ko:K00858	lpa:lpa_04100
ko:K03631	lpa:lpa_04101
ko:K03704	lpa:lpa_04102
ko:K10806	lpa:lpa_04113
ko:K06959	lpa:lpa_04115
ko:K00569	lpa:lpa_04116
ko:K00820	lpa:lpa_04117
ko:K07146	lpa:lpa_04119
ko:K03664	lpa:lpa_04121
ko:K10563	lpa:lpa_00880
ko:K00507	lpa:lpa_00882
ko:K00023	lpa:lpa_00885
ko:K00023	lpa:lpa_00889
ko:K06373	lpa:lpa_00896
ko:K06374	lpa:lpa_00898
ko:K01866	lpa:lpa_00901
ko:K00790	lpa:lpa_00907
ko:K00383	lpa:lpa_00909
ko:K01488	lpa:lpa_00910
ko:K03306	lpa:lpa_00913
ko:K07220	lpa:lpa_00914
ko:K07735	lpa:lpa_00917
ko:K07447	lpa:lpa_00918
ko:K00609	lpa:lpa_00920
ko:K07391	lpa:lpa_00924
ko:K09806	lpa:lpa_00926
ko:K04752	lpa:lpa_00927
ko:K02619	lpa:lpa_00930
ko:K05939	lpa:lpa_00938
ko:K03821	lpa:lpa_00942
ko:K09014	lpa:lpa_00945
ko:K09013	lpa:lpa_00946
ko:K09015	lpa:lpa_00948
ko:K11717	lpa:lpa_00949
ko:K04488	lpa:lpa_00950
ko:K04568	lpa:lpa_00952
ko:K06968	lpa:lpa_00953
ko:K07662	lpa:lpa_02104
ko:K06189	lpa:lpa_02105
ko:K07042	lpa:lpa_02106
ko:K06217	lpa:lpa_02107
ko:K07053	lpa:lpa_02108
ko:K01867	lpa:lpa_02111
ko:K05896	lpa:lpa_02112
ko:K06024	lpa:lpa_02113
ko:K06178	lpa:lpa_02114
ko:K06910	lpa:lpa_02116
ko:K03215	lpa:lpa_02123
ko:K07462	lpa:lpa_02128
ko:K05539	lpa:lpa_02130
ko:K03070	lpa:lpa_02131
ko:K00859	lpa:lpa_02138
ko:K00833	lpa:lpa_02143
ko:K01012	lpa:lpa_02145
ko:K02170	lpa:lpa_02147
ko:K01935	lpa:lpa_02148
ko:K01876	lpa:lpa_02151
ko:K05802	lpa:lpa_02154
ko:K03573	lpa:lpa_02155
ko:K08300	lpa:lpa_03291
ko:K03580	lpa:lpa_03297
ko:K00133	lpa:lpa_03300
ko:K01736	lpa:lpa_03301
ko:K07320	lpa:lpa_03303
ko:K03676	lpa:lpa_03307
ko:K03071	lpa:lpa_03309
ko:K00057	lpa:lpa_03310
ko:K01776	lpa:lpa_03311
ko:K01714	lpa:lpa_03319
ko:K07001	lpa:lpa_03323
ko:K02556	lpa:lpa_03324
ko:K02557	lpa:lpa_03325
ko:K03837	lpa:lpa_03327
ko:K02670	lpa:lpa_03329
ko:K04485	lpa:lpa_03332
ko:K03602	lpa:lpa_03337
ko:K00795	lpa:lpa_03339
ko:K03704	lpa:lpa_00662
ko:K00602	lpa:lpa_00707
ko:K02687	lpa:lpa_00708
ko:K02160	lpa:lpa_00710
ko:K03786	lpa:lpa_00711
ko:K01623	lpa:lpa_00720
ko:K05808	lpa:lpa_00731
ko:K03092	lpa:lpa_00732
ko:K02913	lpa:lpa_00733
ko:K02902	lpa:lpa_00734
ko:K03439	lpa:lpa_00737
ko:K00311	lpa:lpa_01907
ko:K00027	lpa:lpa_01911
ko:K03787	lpa:lpa_01914
ko:K06194	lpa:lpa_01915
ko:K03087	lpa:lpa_01916
ko:K00451	lpa:lpa_01917
ko:K01159	lpa:lpa_01919
ko:K03550	lpa:lpa_01920
ko:K07645	lpa:lpa_01923
ko:K06190	lpa:lpa_01925
ko:K08307	lpa:lpa_01926
ko:K07115	lpa:lpa_01929
ko:K01491	lpa:lpa_01931
ko:K06173	lpa:lpa_01940
ko:K01817	lpa:lpa_01942
ko:K01696	lpa:lpa_01943
ko:K01695	lpa:lpa_01944
ko:K01886	lpa:lpa_01945
ko:K01883	lpa:lpa_01946
ko:K07014	lpa:lpa_01947
ko:K02454	lpa:lpa_01948
ko:K02453	lpa:lpa_01949
ko:K00275	lpa:lpa_03063
ko:K05593	lpa:lpa_03080
ko:K01251	lpa:lpa_03113
ko:K01525	lpa:lpa_04279
ko:K02528	lpa:lpa_04283
ko:K01579	lpa:lpa_04285
ko:K03118	lpa:lpa_04286
ko:K11940	lpa:lpa_04287
ko:K03182	lpa:lpa_04290
ko:K03628	lpa:lpa_04291
ko:K03671	lpa:lpa_04292
ko:K09761	lpa:lpa_04293
ko:K01679	lpa:lpa_04294
ko:K02517	lpa:lpa_04304
ko:K02517	lpa:lpa_04305
ko:K00677	lpa:lpa_04308
ko:K02536	lpa:lpa_04309
ko:K00748	lpa:lpa_04311
ko:K01953	lpa:lpa_04320
ko:K01738	lpa:lpa_04326
ko:K05788	lpa:lpa_04333
ko:K01494	lpa:lpa_04334
ko:K07403	lpa:lpa_04336
ko:K01465	lpa:lpa_04344
ko:K03683	lpa:lpa_04346
ko:K03386	lpa:lpa_04347
ko:K07390	lpa:lpa_04348
ko:K04564	lpa:lpa_04349
ko:K06902	lpa:lpa_00460
ko:K07023	lpa:lpa_00467
ko:K06915	lpa:lpa_00468
ko:K00763	lpa:lpa_00469
ko:K08281	lpa:lpa_00470
ko:K02356	lpa:lpa_00497
ko:K00937	lpa:lpa_00501
ko:K07240	lpa:lpa_00503
ko:K01574	lpa:lpa_01052
ko:K13775	lpa:lpa_02034
ko:K02864	lpa:lpa_00527
ko:K02935	lpa:lpa_00528
ko:K03043	lpa:lpa_00529
ko:K03046	lpa:lpa_00530
ko:K02950	lpa:lpa_00531
ko:K02992	lpa:lpa_00532
ko:K02355	lpa:lpa_00534
ko:K02946	lpa:lpa_00538
ko:K02906	lpa:lpa_00539
ko:K02926	lpa:lpa_00540
ko:K02892	lpa:lpa_00542
ko:K02886	lpa:lpa_00543
ko:K02965	lpa:lpa_00544
ko:K04088	lpa:lpa_00740
ko:K04087	lpa:lpa_00741
ko:K01939	lpa:lpa_00742
ko:K03402	lpa:lpa_00745
ko:K01940	lpa:lpa_00750
ko:K01755	lpa:lpa_00751
ko:K00611	lpa:lpa_00752
ko:K01488	lpa:lpa_00753
ko:K01999	lpa:lpa_00754
ko:K03797	lpa:lpa_00755
ko:K00806	lpa:lpa_00760
ko:K00981	lpa:lpa_00761
ko:K11749	lpa:lpa_00762
ko:K07277	lpa:lpa_00764
ko:K06142	lpa:lpa_00765
ko:K02536	lpa:lpa_00766
ko:K02372	lpa:lpa_00768
ko:K00677	lpa:lpa_00769
ko:K06199	lpa:lpa_00770
ko:K01875	lpa:lpa_00771
ko:K05810	lpa:lpa_01965
ko:K06180	lpa:lpa_01967
ko:K06168	lpa:lpa_01970
ko:K02422	lpa:lpa_01975
ko:K02407	lpa:lpa_01977
ko:K02406	lpa:lpa_01980
ko:K01963	lpa:lpa_01982
ko:K03749	lpa:lpa_01985
ko:K03558	lpa:lpa_01986
ko:K00969	lpa:lpa_01987
ko:K02340	lpa:lpa_01988
ko:K03643	lpa:lpa_01989
ko:K01869	lpa:lpa_01990
ko:K03820	lpa:lpa_01993
ko:K07516	lpa:lpa_01996
ko:K07126	lpa:lpa_01998
ko:K02460	lpa:lpa_02004
ko:K02459	lpa:lpa_02006
ko:K02458	lpa:lpa_02007
ko:K02457	lpa:lpa_02008
ko:K02456	lpa:lpa_02009
ko:K01915	lpa:lpa_02011
ko:K09861	lpa:lpa_02013
ko:K04079	lpa:lpa_02019
ko:K03557	lpa:lpa_02020
ko:K00748	lpa:lpa_02021
ko:K03470	lpa:lpa_02024
ko:K05837	lpa:lpa_02025
ko:K05515	lpa:lpa_02026
ko:K00783	lpa:lpa_02027
ko:K09710	lpa:lpa_02028
ko:K03305	lpa:lpa_02029
ko:K01712	lpa:lpa_02030
ko:K01745	lpa:lpa_02032
ko:K00154	lpa:lpa_02033
ko:K03469	lpa:lpa_02035
ko:K02342	lpa:lpa_02036
ko:K04080	lpa:lpa_03142
ko:K01673	lpa:lpa_03149
ko:K01750	lpa:lpa_03151
ko:K03305	lpa:lpa_03156
ko:K06910	lpa:lpa_03172
ko:K07071	lpa:lpa_03178
ko:K00648	lpa:lpa_03202
ko:K00059	lpa:lpa_03207
ko:K00648	lpa:lpa_03209
ko:K02078	lpa:lpa_03211
ko:K04561	lpa:lpa_03215
ko:K01126	lpa:lpa_04353
ko:K00027	lpa:lpa_04355
ko:K07566	lpa:lpa_04356
ko:K01613	lpa:lpa_04357
ko:K02621	lpa:lpa_04366
ko:K02114	lpa:lpa_04368
ko:K02112	lpa:lpa_04369
ko:K02115	lpa:lpa_04370
ko:K02111	lpa:lpa_04372
ko:K02113	lpa:lpa_04373
ko:K02109	lpa:lpa_04374
ko:K02110	lpa:lpa_04376
ko:K02108	lpa:lpa_04377
ko:K03271	lpa:lpa_04384
ko:K07460	lpa:lpa_04385
ko:K07121	lpa:lpa_04388
ko:K07056	lpa:lpa_04389
ko:K00496	lpa:lpa_04391
ko:K03650	lpa:lpa_04399
ko:K03217	lpa:lpa_04400
ko:K08998	lpa:lpa_04401
ko:K03536	lpa:lpa_04402
ko:K02914	lpa:lpa_04303
ko:K02890	lpa:lpa_00545
ko:K02982	lpa:lpa_00546
ko:K02878	lpa:lpa_00547
ko:K02904	lpa:lpa_00548
ko:K02961	lpa:lpa_00549
ko:K02874	lpa:lpa_00550
ko:K02895	lpa:lpa_00551
ko:K02931	lpa:lpa_00552
ko:K02954	lpa:lpa_00553
ko:K02994	lpa:lpa_00554
ko:K02933	lpa:lpa_00555
ko:K02881	lpa:lpa_00556
ko:K02988	lpa:lpa_00557
ko:K02907	lpa:lpa_00558
ko:K02876	lpa:lpa_00560
ko:K03076	lpa:lpa_00561
ko:K02952	lpa:lpa_00562
ko:K02948	lpa:lpa_00564
ko:K02986	lpa:lpa_00565
ko:K03040	lpa:lpa_00566
ko:K02879	lpa:lpa_00567
ko:K03111	lpa:lpa_00569
ko:K00647	lpa:lpa_00575
ko:K00647	lpa:lpa_00576
ko:K02517	lpa:lpa_00577
ko:K01778	lpa:lpa_00581
ko:K06999	lpa:lpa_00585
ko:K09801	lpa:lpa_00587
ko:K03711	lpa:lpa_00590
ko:K03455	lpa:lpa_01751
ko:K00574	lpa:lpa_01764
ko:K11069	lpa:lpa_01778
ko:K11070	lpa:lpa_01779
ko:K11071	lpa:lpa_01781
ko:K01299	lpa:lpa_01788
ko:K01438	lpa:lpa_01815
ko:K00876	lpa:lpa_01818
ko:K09767	lpa:lpa_01820
ko:K06990	lpa:lpa_01823
ko:K04069	lpa:lpa_01825
ko:K07126	lpa:lpa_01827
ko:K02668	lpa:lpa_01828
ko:K02667	lpa:lpa_01829
ko:K08304	lpa:lpa_02910
ko:K00817	lpa:lpa_02915
ko:K01724	lpa:lpa_02916
ko:K03074	lpa:lpa_02917
ko:K03072	lpa:lpa_02918
ko:K03210	lpa:lpa_02919
ko:K00773	lpa:lpa_02920
ko:K07568	lpa:lpa_02921
ko:K06985	lpa:lpa_02925
ko:K03060	lpa:lpa_02928
ko:K00942	lpa:lpa_02929
ko:K00989	lpa:lpa_02931
ko:K02669	lpa:lpa_02934
ko:K06997	lpa:lpa_02936
ko:K00286	lpa:lpa_02939
ko:K02221	lpa:lpa_02940
ko:K01251	lpa:lpa_02950
ko:K00789	lpa:lpa_02952
ko:K01956	lpa:lpa_02954
ko:K03686	lpa:lpa_02955
ko:K04043	lpa:lpa_02956
ko:K03687	lpa:lpa_02958
ko:K01626	lpa:lpa_02959
ko:K01599	lpa:lpa_02960
ko:K01633	lpa:lpa_02961
ko:K03111	lpa:lpa_01487
ko:K03553	lpa:lpa_02604
ko:K03743	lpa:lpa_02607
ko:K03555	lpa:lpa_02610
ko:K09800	lpa:lpa_02612
ko:K01698	lpa:lpa_02613
ko:K06076	lpa:lpa_02616
ko:K03593	lpa:lpa_02622
ko:K04761	lpa:lpa_02625
ko:K00912	lpa:lpa_02629
ko:K00626	lpa:lpa_02637
ko:K01969	lpa:lpa_02640
ko:K01968	lpa:lpa_02642
ko:K01640	lpa:lpa_02643
ko:K01907	lpa:lpa_02645
ko:K02071	lpa:lpa_02649
ko:K02072	lpa:lpa_02650
ko:K02073	lpa:lpa_02651
ko:K03273	lpa:lpa_02656
ko:K01879	lpa:lpa_02658
ko:K01878	lpa:lpa_02659
ko:K03657	lpa:lpa_02662
ko:K07560	lpa:lpa_02664
ko:K04754	lpa:lpa_02666
ko:K01920	lpa:lpa_02668
ko:K01919	lpa:lpa_02669
ko:K00876	lpa:lpa_02678
ko:K07091	lpa:lpa_03849
ko:K01255	lpa:lpa_03850
ko:K02339	lpa:lpa_03851
ko:K01255	lpa:lpa_03854
ko:K03980	lpa:lpa_03855
ko:K02968	lpa:lpa_03858
ko:K03703	lpa:lpa_03873
ko:K00500	lpa:lpa_03875
ko:K03979	lpa:lpa_03877
ko:K02899	lpa:lpa_03878
ko:K02888	lpa:lpa_03879
ko:K02897	lpa:lpa_03880
