ko:K02022	rpw:M9W_01530
ko:K00773	rpw:M9W_03505
ko:K09985	rpw:M9W_03530
ko:K00859	rpw:M9W_03540
ko:K00645	rpw:M9W_03560
ko:K03821	rpw:M9W_03570
ko:K07042	rpw:M9W_03585
ko:K03644	rpw:M9W_03590
ko:K00600	rpw:M9W_03595
ko:K06999	rpw:M9W_03600
ko:K07390	rpw:M9W_03605
ko:K10773	rpw:M9W_03610
ko:K07056	rpw:M9W_03615
ko:K03116	rpw:M9W_03625
ko:K01095	rpw:M9W_03630
ko:K02888	rpw:M9W_03635
ko:K02899	rpw:M9W_03640
ko:K00928	rpw:M9W_03645
ko:K09888	rpw:M9W_03660
ko:K15371	rpw:M9W_03675
ko:K03650	rpw:M9W_03680
ko:K02078	rpw:M9W_03700
ko:K09458	rpw:M9W_03705
ko:K00942	rpw:M9W_03710
ko:K03570	rpw:M9W_03720
ko:K03569	rpw:M9W_03725
ko:K11720	rpw:M9W_03730
ko:K03640	rpw:M9W_03735
ko:K00648	rpw:M9W_03740
ko:K02911	rpw:M9W_03745
ko:K03110	rpw:M9W_03755
ko:K00789	rpw:M9W_03765
ko:K02337	rpw:M9W_03770
ko:K00012	rpw:M9W_03775
ko:K03118	rpw:M9W_03790
ko:K01875	rpw:M9W_03795
ko:K00339	rpw:M9W_03825
ko:K00340	rpw:M9W_03830
ko:K00341	rpw:M9W_03835
ko:K00342	rpw:M9W_03840
ko:K00338	rpw:M9W_03850
ko:K00337	rpw:M9W_03855
ko:K01681	rpw:M9W_03870
ko:K02114	rpw:M9W_03875
ko:K02112	rpw:M9W_03880
ko:K02115	rpw:M9W_03885
ko:K02111	rpw:M9W_03890
ko:K02113	rpw:M9W_03895
ko:K00382	rpw:M9W_03900
ko:K04047	rpw:M9W_03905
ko:K05366	rpw:M9W_03910
ko:K06168	rpw:M9W_03915
ko:K09710	rpw:M9W_03930
ko:K02518	rpw:M9W_03940
ko:K06287	rpw:M9W_03945
ko:K06204	rpw:M9W_03950
ko:K03733	rpw:M9W_03955
ko:K05367	rpw:M9W_00955
ko:K01868	rpw:M9W_01080
ko:K03821	rpw:M9W_03970
ko:K03182	rpw:M9W_03975
ko:K03466	rpw:M9W_03990
ko:K01265	rpw:M9W_03995
ko:K02195	rpw:M9W_04025
ko:K09817	rpw:M9W_04045
ko:K03701	rpw:M9W_04050
ko:K09131	rpw:M9W_04065
ko:K04079	rpw:M9W_04070
ko:K00643	rpw:M9W_04075
ko:K03545	rpw:M9W_04080
ko:K03979	rpw:M9W_04085
ko:K01647	rpw:M9W_04090
ko:K06180	rpw:M9W_04100
ko:K02493	rpw:M9W_04105
ko:K07566	rpw:M9W_04110
ko:K01879	rpw:M9W_04115
ko:K01878	rpw:M9W_04120
ko:K09765	rpw:M9W_04125
ko:K03762	rpw:M9W_04130
ko:K01872	rpw:M9W_04150
ko:K06173	rpw:M9W_04155
ko:K03086	rpw:M9W_04160
ko:K03624	rpw:M9W_04175
ko:K00324	rpw:M9W_04180
ko:K00324	rpw:M9W_04185
ko:K02343	rpw:M9W_04195
ko:K09747	rpw:M9W_04200
ko:K06985	rpw:M9W_04205
ko:K06167	rpw:M9W_04215
ko:K07091	rpw:M9W_04225
ko:K02339	rpw:M9W_04230
ko:K03801	rpw:M9W_04245
ko:K02959	rpw:M9W_04250
ko:K02913	rpw:M9W_04255
ko:K03572	rpw:M9W_04260
ko:K03762	rpw:M9W_04270
ko:K00228	rpw:M9W_04275
ko:K08973	rpw:M9W_04280
ko:K01772	rpw:M9W_04285
ko:K01599	rpw:M9W_04290
ko:K09991	rpw:M9W_01100
ko:K02622	rpw:M9W_01110
ko:K03797	rpw:M9W_01115
ko:K07716	rpw:M9W_01120
ko:K02871	rpw:M9W_01140
ko:K02996	rpw:M9W_01145
ko:K08311	rpw:M9W_01150
ko:K02356	rpw:M9W_01160
ko:K01613	rpw:M9W_01175
ko:K03543	rpw:M9W_01185
ko:K05527	rpw:M9W_01195
ko:K01924	rpw:M9W_01205
ko:K00075	rpw:M9W_01210
ko:K01921	rpw:M9W_01215
ko:K03589	rpw:M9W_01220
ko:K03590	rpw:M9W_01225
ko:K02535	rpw:M9W_01240
ko:K08300	rpw:M9W_01250
ko:K02259	rpw:M9W_01255
ko:K01142	rpw:M9W_01270
ko:K00161	rpw:M9W_01275
ko:K00162	rpw:M9W_01280
ko:K06207	rpw:M9W_01285
ko:K00031	rpw:M9W_01295
ko:K05571	rpw:M9W_01300
ko:K05566	rpw:M9W_01305
ko:K02194	rpw:M9W_01310
ko:K00411	rpw:M9W_01320
ko:K00412	rpw:M9W_01325
ko:K00413	rpw:M9W_01330
ko:K02836	rpw:M9W_01340
ko:K03596	rpw:M9W_01345
ko:K05837	rpw:M9W_01360
ko:K01354	rpw:M9W_01365
ko:K05567	rpw:M9W_01385
ko:K01524	rpw:M9W_01430
ko:K03555	rpw:M9W_01450
ko:K01808	rpw:M9W_01455
ko:K03641	rpw:M9W_01470
ko:K03089	rpw:M9W_01475
ko:K00566	rpw:M9W_01490
ko:K01892	rpw:M9W_01500
ko:K03562	rpw:M9W_01505
ko:K00133	rpw:M9W_01540
ko:K01419	rpw:M9W_01555
ko:K03667	rpw:M9W_01560
ko:K00748	rpw:M9W_01565
ko:K07082	rpw:M9W_01570
ko:K06202	rpw:M9W_01575
ko:K03523	rpw:M9W_01580
ko:K03168	rpw:M9W_01590
ko:K07447	rpw:M9W_01610
ko:K00067	rpw:M9W_01615
ko:K02986	rpw:M9W_01680
ko:K02860	rpw:M9W_01695
ko:K03602	rpw:M9W_01705
ko:K03652	rpw:M9W_01710
ko:K08998	rpw:M9W_01715
ko:K00334	rpw:M9W_01720
ko:K00333	rpw:M9W_01725
ko:K00332	rpw:M9W_01730
ko:K00331	rpw:M9W_01735
ko:K00330	rpw:M9W_01740
ko:K00208	rpw:M9W_01775
ko:K03820	rpw:M9W_01780
ko:K04566	rpw:M9W_01805
ko:K07088	rpw:M9W_01810
ko:K00029	rpw:M9W_01815
ko:K00024	rpw:M9W_01830
ko:K01937	rpw:M9W_01840
ko:K00979	rpw:M9W_01845
ko:K01495	rpw:M9W_01855
ko:K01881	rpw:M9W_01860
ko:K03550	rpw:M9W_01870
ko:K03551	rpw:M9W_01875
ko:K03642	rpw:M9W_01890
ko:K06190	rpw:M9W_01900
ko:K07243	rpw:M9W_01905
ko:K00449	rpw:M9W_01920
ko:K08309	rpw:M9W_01940
ko:K07010	rpw:M9W_01960
ko:K02275	rpw:M9W_01970
ko:K03101	rpw:M9W_01980
ko:K01925	rpw:M9W_01990
ko:K03588	rpw:M9W_01995
ko:K02563	rpw:M9W_02000
ko:K01778	rpw:M9W_02015
ko:K01889	rpw:M9W_02025
ko:K01890	rpw:M9W_02030
ko:K02338	rpw:M9W_02035
ko:K01869	rpw:M9W_02045
ko:K03684	rpw:M9W_02050
ko:K00981	rpw:M9W_02060
ko:K00806	rpw:M9W_02065
ko:K07659	rpw:M9W_02075
ko:K00826	rpw:M9W_02080
ko:K01714	rpw:M9W_02085
ko:K03664	rpw:M9W_02090
ko:K01902	rpw:M9W_02100
ko:K01903	rpw:M9W_02105
ko:K02834	rpw:M9W_02115
ko:K06187	rpw:M9W_02130
ko:K00858	rpw:M9W_02140
ko:K00057	rpw:M9W_02150
ko:K07088	rpw:M9W_02155
ko:K00384	rpw:M9W_02165
ko:K03657	rpw:M9W_02175
ko:K01754	rpw:M9W_02185
ko:K01338	rpw:M9W_02190
ko:K02919	rpw:M9W_02215
ko:K00382	rpw:M9W_02235
ko:K03684	rpw:M9W_02245
ko:K06980	rpw:M9W_02255
ko:K01749	rpw:M9W_02265
ko:K01867	rpw:M9W_02270
ko:K00655	rpw:M9W_02275
ko:K07018	rpw:M9W_02285
ko:K08218	rpw:M9W_02305
ko:K02523	rpw:M9W_02325
ko:K07638	rpw:M9W_02070
ko:K04487	rpw:M9W_02350
ko:K04487	rpw:M9W_02355
ko:K13643	rpw:M9W_02360
ko:K05810	rpw:M9W_02385
ko:K01915	rpw:M9W_02390
ko:K07058	rpw:M9W_02395
ko:K02956	rpw:M9W_02420
ko:K00962	rpw:M9W_02425
ko:K06041	rpw:M9W_02430
ko:K11719	rpw:M9W_02435
ko:K09774	rpw:M9W_02440
ko:K06861	rpw:M9W_02445
ko:K00791	rpw:M9W_02455
ko:K00384	rpw:M9W_02475
ko:K01491	rpw:M9W_02480
ko:K01358	rpw:M9W_02495
ko:K02945	rpw:M9W_02500
ko:K00945	rpw:M9W_02505
ko:K05788	rpw:M9W_02510
ko:K04773	rpw:M9W_02515
ko:K03628	rpw:M9W_02520
ko:K07462	rpw:M9W_02530
ko:K02835	rpw:M9W_02535
ko:K00627	rpw:M9W_02540
ko:K02520	rpw:M9W_02545
ko:K03524	rpw:M9W_02560
ko:K07001	rpw:M9W_02565
ko:K04564	rpw:M9W_02570
ko:K11754	rpw:M9W_02575
ko:K00343	rpw:M9W_02580
ko:K01698	rpw:M9W_02590
ko:K04066	rpw:M9W_02595
ko:K03186	rpw:M9W_02600
ko:K06178	rpw:M9W_02615
ko:K04485	rpw:M9W_02625
ko:K03584	rpw:M9W_02635
ko:K02519	rpw:M9W_02650
ko:K02600	rpw:M9W_02655
ko:K09748	rpw:M9W_02660
ko:K06442	rpw:M9W_02665
ko:K01866	rpw:M9W_02670
ko:K06894	rpw:M9W_02675
ko:K03185	rpw:M9W_02685
ko:K13599	rpw:M9W_02695
ko:K05515	rpw:M9W_02710
ko:K03587	rpw:M9W_02720
ko:K03438	rpw:M9W_02730
ko:K03925	rpw:M9W_02735
ko:K03703	rpw:M9W_02745
ko:K03070	rpw:M9W_02760
ko:K00997	rpw:M9W_02770
ko:K03060	rpw:M9W_02775
ko:K00790	rpw:M9W_02780
ko:K02470	rpw:M9W_02785
ko:K06213	rpw:M9W_02795
ko:K03210	rpw:M9W_02800
ko:K03072	rpw:M9W_02805
ko:K07152	rpw:M9W_02810
ko:K02197	rpw:M9W_02820
ko:K03980	rpw:M9W_02830
ko:K03655	rpw:M9W_02845
ko:K01000	rpw:M9W_02850
ko:K01929	rpw:M9W_02855
ko:K01928	rpw:M9W_02860
ko:K03723	rpw:M9W_02865
ko:K09159	rpw:M9W_02870
ko:K02313	rpw:M9W_02880
ko:K06942	rpw:M9W_02895
ko:K01056	rpw:M9W_02900
ko:K02897	rpw:M9W_02905
ko:K02916	rpw:M9W_02915
ko:K02887	rpw:M9W_02920
ko:K02914	rpw:M9W_02925
ko:K03536	rpw:M9W_02930
ko:K13598	rpw:M9W_02945
ko:K02970	rpw:M9W_02950
ko:K01870	rpw:M9W_02960
ko:K05939	rpw:M9W_02980
ko:K09816	rpw:M9W_02985
ko:K04077	rpw:M9W_03010
ko:K04078	rpw:M9W_03015
ko:K00989	rpw:M9W_03020
ko:K03687	rpw:M9W_03025
ko:K02968	rpw:M9W_03040
ko:K02879	rpw:M9W_03045
ko:K03040	rpw:M9W_03050
ko:K02948	rpw:M9W_03055
ko:K02952	rpw:M9W_03060
ko:K03076	rpw:M9W_03070
ko:K02876	rpw:M9W_03075
ko:K02907	rpw:M9W_03080
ko:K02988	rpw:M9W_03085
ko:K02881	rpw:M9W_03090
ko:K02933	rpw:M9W_03095
ko:K02994	rpw:M9W_03100
ko:K02954	rpw:M9W_03105
ko:K02931	rpw:M9W_03110
ko:K02895	rpw:M9W_03115
ko:K02874	rpw:M9W_03120
ko:K02961	rpw:M9W_03125
ko:K12340	rpw:M9W_01095
ko:K01679	rpw:M9W_03190
ko:K15383	rpw:M9W_03250
ko:K06147	rpw:M9W_03340
ko:K02067	rpw:M9W_03515
ko:K03469	rpw:M9W_03525
ko:K09949	rpw:M9W_03535
ko:K02342	rpw:M9W_03545
ko:K00626	rpw:M9W_03565
ko:K00059	rpw:M9W_03695
ko:K05794	rpw:M9W_03810
ko:K02193	rpw:M9W_03845
ko:K03455	rpw:M9W_03925
ko:K05568	rpw:M9W_01370
ko:K05568	rpw:M9W_01375
ko:K05568	rpw:M9W_01380
ko:K01082	rpw:M9W_01445
ko:K02258	rpw:M9W_01480
ko:K03294	rpw:M9W_01495
ko:K01885	rpw:M9W_01585
ko:K03386	rpw:M9W_01595
ko:K04763	rpw:M9W_01755
ko:K01989	rpw:M9W_01785
ko:K05832	rpw:M9W_01790
ko:K05833	rpw:M9W_01795
ko:K09691	rpw:M9W_00015
ko:K05524	rpw:M9W_04020
ko:K01439	rpw:M9W_04235
ko:K01092	rpw:M9W_01165
ko:K08738	rpw:M9W_01235
ko:K06179	rpw:M9W_01260
ko:K01782	rpw:M9W_02680
ko:K05570	rpw:M9W_02690
ko:K03769	rpw:M9W_02765
ko:K01507	rpw:M9W_02825
ko:K01965	rpw:M9W_02965
ko:K01966	rpw:M9W_02970
ko:K00568	rpw:M9W_02990
ko:K01885	rpw:M9W_02995
ko:K00939	rpw:M9W_03065
ko:K11085	rpw:M9W_01880
ko:K07258	rpw:M9W_01885
ko:K01297	rpw:M9W_01950
ko:K02274	rpw:M9W_01965
ko:K01823	rpw:M9W_02200
ko:K01934	rpw:M9W_02240
ko:K01262	rpw:M9W_02330
ko:K03294	rpw:M9W_02335
ko:K13628	rpw:M9W_02340
ko:K04488	rpw:M9W_02345
ko:K00799	rpw:M9W_02370
ko:K03177	rpw:M9W_02415
ko:K03301	rpw:M9W_02410
ko:K03301	rpw:M9W_03575
ko:K14235	rpw:M9W_t04305
ko:K14232	rpw:M9W_t04355
ko:K16053	rpw:M9W_00220
ko:K01840	rpw:M9W_02450
ko:K14223	rpw:M9W_t04325
ko:K14233	rpw:M9W_t04351
ko:K14230	rpw:M9W_t04353
ko:K14222	rpw:M9W_t04313
ko:K07323	rpw:M9W_00445
ko:K14233	rpw:M9W_t04321
ko:K14218	rpw:M9W_t04329
ko:K14231	rpw:M9W_t04297
ko:K14224	rpw:M9W_t04299
ko:K14234	rpw:M9W_t04301
ko:K14234	rpw:M9W_t04307
ko:K14234	rpw:M9W_t04361
ko:K14230	rpw:M9W_t04303
ko:K14230	rpw:M9W_t04309
ko:K01980	rpw:M9W_r04367
ko:K01985	rpw:M9W_r04363
ko:K14220	rpw:M9W_t04311
ko:K14229	rpw:M9W_t04315
ko:K14227	rpw:M9W_t04317
ko:K14233	rpw:M9W_t04319
ko:K14219	rpw:M9W_t04323
ko:K14219	rpw:M9W_t04333
ko:K14219	rpw:M9W_t04357
ko:K14221	rpw:M9W_t04327
ko:K14237	rpw:M9W_t04331
ko:K14237	rpw:M9W_t04341
ko:K14218	rpw:M9W_t04335
ko:K14228	rpw:M9W_t04337
ko:K14228	rpw:M9W_t04347
ko:K14228	rpw:M9W_t04359
ko:K14225	rpw:M9W_t04339
ko:K14225	rpw:M9W_t04343
ko:K01977	rpw:M9W_r04365
ko:K14236	rpw:M9W_t04345
ko:K14226	rpw:M9W_t04349
ko:K00335	rpw:M9W_00550
ko:K02030	rpw:M9W_00725
ko:K15270	rpw:M9W_00365
ko:K17717	rpw:M9W_03965
ko:K00951	rpw:M9W_03005
ko:K17716	rpw:M9W_01620
ko:K14998	rpw:M9W_03550
ko:K09810	rpw:M9W_03360
ko:K02488	rpw:M9W_01155
ko:K02028	rpw:M9W_04210
ko:K17103	rpw:M9W_01180
ko:K08316	rpw:M9W_02620
ko:K05540	rpw:M9W_00045
ko:K01791	rpw:M9W_01625
ko:K12574	rpw:M9W_02145
ko:K05973	rpw:M9W_03270
ko:K11528	rpw:M9W_02205
ko:K06867	rpw:M9W_01105
ko:K04771	rpw:M9W_00595
ko:K06900	rpw:M9W_02885
ko:K03446	rpw:M9W_00760
ko:K18588	rpw:M9W_00800
ko:K18587	rpw:M9W_02955
ko:K18707	rpw:M9W_02020
ko:K06147	rpw:M9W_01045
ko:K03496	rpw:M9W_00685
ko:K03496	rpw:M9W_00275
ko:K03497	rpw:M9W_00280
ko:K03201	rpw:M9W_00495
ko:K03201	rpw:M9W_00500
ko:K03201	rpw:M9W_00505
ko:K03201	rpw:M9W_00510
ko:K03201	rpw:M9W_00515
ko:K03111	rpw:M9W_04055
ko:K03204	rpw:M9W_01390
ko:K03203	rpw:M9W_01395
ko:K03203	rpw:M9W_01405
ko:K03204	rpw:M9W_01410
ko:K03196	rpw:M9W_01420
ko:K03205	rpw:M9W_01425
ko:K16898	rpw:M9W_03555
ko:K16899	rpw:M9W_01955
ko:K00336	rpw:M9W_03860
ko:K06867	rpw:M9W_03450
ko:K09690	rpw:M9W_00020
ko:K09796	rpw:M9W_02750
ko:K00507	rpw:M9W_00175
ko:K03198	rpw:M9W_00485
ko:K03199	rpw:M9W_03800
ko:K04755	rpw:M9W_00980
ko:K03195	rpw:M9W_01415
ko:K03199	rpw:M9W_00490
ko:K03553	rpw:M9W_03690
ko:K02316	rpw:M9W_04165
ko:K03465	rpw:M9W_01465
ko:K01520	rpw:M9W_01935
ko:K02314	rpw:M9W_02605
ko:K03676	rpw:M9W_01005
ko:K06889	rpw:M9W_01670
ko:K07552	rpw:M9W_02890
ko:K00525	rpw:M9W_02470
ko:K00526	rpw:M9W_02465
ko:K02335	rpw:M9W_03760
ko:K10026	rpw:M9W_02910
ko:K21929	rpw:M9W_04095
ko:K03595	rpw:M9W_00565
ko:K11991	rpw:M9W_04030
ko:K02257	rpw:M9W_01685
