ko:K09779	ctrb:BOUR_00002
ko:K04564	ctrb:BOUR_00306
ko:K03685	ctrb:BOUR_00309
ko:K04485	ctrb:BOUR_00310
ko:K01749	ctrb:BOUR_00311
ko:K01873	ctrb:BOUR_00314
ko:K03046	ctrb:BOUR_00326
ko:K03043	ctrb:BOUR_00327
ko:K02935	ctrb:BOUR_00328
ko:K02864	ctrb:BOUR_00329
ko:K02863	ctrb:BOUR_00330
ko:K02867	ctrb:BOUR_00331
ko:K02601	ctrb:BOUR_00332
ko:K03073	ctrb:BOUR_00333
ko:K02358	ctrb:BOUR_00335
ko:K02518	ctrb:BOUR_00337
ko:K01961	ctrb:BOUR_00128
ko:K02871	ctrb:BOUR_00129
ko:K02996	ctrb:BOUR_00130
ko:K02029	ctrb:BOUR_00133
ko:K07058	ctrb:BOUR_00136
ko:K06999	ctrb:BOUR_00140
ko:K07566	ctrb:BOUR_00141
ko:K09125	ctrb:BOUR_00144
ko:K07039	ctrb:BOUR_00145
ko:K07039	ctrb:BOUR_00146
ko:K01972	ctrb:BOUR_00153
ko:K02913	ctrb:BOUR_00157
ko:K09808	ctrb:BOUR_00158
ko:K09810	ctrb:BOUR_00159
ko:K03720	ctrb:BOUR_00175
ko:K01696	ctrb:BOUR_00176
ko:K01695	ctrb:BOUR_00177
ko:K03611	ctrb:BOUR_00182
ko:K02160	ctrb:BOUR_00127
ko:K01803	ctrb:BOUR_00346
ko:K03601	ctrb:BOUR_00347
ko:K03602	ctrb:BOUR_00348
ko:K01662	ctrb:BOUR_00350
ko:K00873	ctrb:BOUR_00351
ko:K03701	ctrb:BOUR_00352
ko:K02343	ctrb:BOUR_00353
ko:K09747	ctrb:BOUR_00354
ko:K11381	ctrb:BOUR_00360
ko:K03686	ctrb:BOUR_00361
ko:K02970	ctrb:BOUR_00362
ko:K01338	ctrb:BOUR_00365
ko:K03733	ctrb:BOUR_00368
ko:K06287	ctrb:BOUR_00370
ko:K03075	ctrb:BOUR_00374
ko:K01462	ctrb:BOUR_00375
ko:K02528	ctrb:BOUR_00376
ko:K06888	ctrb:BOUR_00378
ko:K03523	ctrb:BOUR_00382
ko:K01714	ctrb:BOUR_00385
ko:K00928	ctrb:BOUR_00386
ko:K00133	ctrb:BOUR_00387
ko:K00215	ctrb:BOUR_00388
ko:K00800	ctrb:BOUR_00390
ko:K00891	ctrb:BOUR_00391
ko:K01736	ctrb:BOUR_00392
ko:K01735	ctrb:BOUR_00393
ko:K13832	ctrb:BOUR_00394
ko:K03758	ctrb:BOUR_00398
ko:K00024	ctrb:BOUR_00400
ko:K01810	ctrb:BOUR_00402
ko:K03665	ctrb:BOUR_00403
ko:K06167	ctrb:BOUR_00404
ko:K09996	ctrb:BOUR_00405
ko:K06966	ctrb:BOUR_00412
ko:K09131	ctrb:BOUR_00413
ko:K10206	ctrb:BOUR_00415
ko:K01881	ctrb:BOUR_00418
ko:K03705	ctrb:BOUR_00419
ko:K03687	ctrb:BOUR_00420
ko:K04043	ctrb:BOUR_00421
ko:K12573	ctrb:BOUR_00422
ko:K07164	ctrb:BOUR_00423
ko:K06041	ctrb:BOUR_00424
ko:K00658	ctrb:BOUR_00425
ko:K00912	ctrb:BOUR_00427
ko:K03437	ctrb:BOUR_00428
ko:K06969	ctrb:BOUR_00429
ko:K00793	ctrb:BOUR_00430
ko:K07738	ctrb:BOUR_00431
ko:K06204	ctrb:BOUR_00432
ko:K03101	ctrb:BOUR_00433
ko:K03310	ctrb:BOUR_00434
ko:K00748	ctrb:BOUR_00436
ko:K09817	ctrb:BOUR_00442
ko:K09816	ctrb:BOUR_00443
ko:K03979	ctrb:BOUR_00444
ko:K02899	ctrb:BOUR_00445
ko:K02888	ctrb:BOUR_00446
ko:K07042	ctrb:BOUR_00451
ko:K03183	ctrb:BOUR_00457
ko:K01778	ctrb:BOUR_00459
ko:K01358	ctrb:BOUR_00460
ko:K00600	ctrb:BOUR_00461
ko:K01770	ctrb:BOUR_00463
ko:K02946	ctrb:BOUR_00465
ko:K02355	ctrb:BOUR_00466
ko:K02992	ctrb:BOUR_00467
ko:K02950	ctrb:BOUR_00468
ko:K03797	ctrb:BOUR_00470
ko:K07462	ctrb:BOUR_00477
ko:K12257	ctrb:BOUR_00478
ko:K00806	ctrb:BOUR_00480
ko:K00981	ctrb:BOUR_00481
ko:K00945	ctrb:BOUR_00482
ko:K00655	ctrb:BOUR_00483
ko:K01887	ctrb:BOUR_00484
ko:K00790	ctrb:BOUR_00485
ko:K02836	ctrb:BOUR_00489
ko:K00991	ctrb:BOUR_00492
ko:K06173	ctrb:BOUR_00493
ko:K07710	ctrb:BOUR_00498
ko:K07714	ctrb:BOUR_00499
ko:K03584	ctrb:BOUR_00502
ko:K01890	ctrb:BOUR_00507
ko:K02034	ctrb:BOUR_00510
ko:K01772	ctrb:BOUR_00519
ko:K07099	ctrb:BOUR_00522
ko:K00975	ctrb:BOUR_00523
ko:K03628	ctrb:BOUR_00525
ko:K00859	ctrb:BOUR_00526
ko:K03301	ctrb:BOUR_00529
ko:K00995	ctrb:BOUR_00530
ko:K03495	ctrb:BOUR_00533
ko:K03800	ctrb:BOUR_00534
ko:K00940	ctrb:BOUR_00535
ko:K03550	ctrb:BOUR_00536
ko:K01159	ctrb:BOUR_00537
ko:K00134	ctrb:BOUR_00541
ko:K02879	ctrb:BOUR_00542
ko:K03040	ctrb:BOUR_00543
ko:K02948	ctrb:BOUR_00544
ko:K02952	ctrb:BOUR_00545
ko:K03076	ctrb:BOUR_00546
ko:K02876	ctrb:BOUR_00547
ko:K02988	ctrb:BOUR_00548
ko:K02881	ctrb:BOUR_00549
ko:K02933	ctrb:BOUR_00550
ko:K02994	ctrb:BOUR_00551
ko:K02931	ctrb:BOUR_00552
ko:K02895	ctrb:BOUR_00553
ko:K02874	ctrb:BOUR_00554
ko:K02961	ctrb:BOUR_00555
ko:K02904	ctrb:BOUR_00556
ko:K02878	ctrb:BOUR_00557
ko:K02982	ctrb:BOUR_00558
ko:K02890	ctrb:BOUR_00559
ko:K02965	ctrb:BOUR_00560
ko:K02886	ctrb:BOUR_00561
ko:K02892	ctrb:BOUR_00562
ko:K02926	ctrb:BOUR_00563
ko:K02906	ctrb:BOUR_00564
ko:K00604	ctrb:BOUR_00566
ko:K00677	ctrb:BOUR_00567
ko:K02372	ctrb:BOUR_00568
ko:K02535	ctrb:BOUR_00569
ko:K03820	ctrb:BOUR_00570
ko:K06925	ctrb:BOUR_00573
ko:K03671	ctrb:BOUR_00576
ko:K03216	ctrb:BOUR_00577
ko:K01876	ctrb:BOUR_00579
ko:K01892	ctrb:BOUR_00580
ko:K07783	ctrb:BOUR_00581
ko:K02337	ctrb:BOUR_00582
ko:K03311	ctrb:BOUR_00591
ko:K00382	ctrb:BOUR_00594
ko:K03644	ctrb:BOUR_00595
ko:K03222	ctrb:BOUR_00596
ko:K03223	ctrb:BOUR_00598
ko:K03226	ctrb:BOUR_00599
ko:K03228	ctrb:BOUR_00601
ko:K02455	ctrb:BOUR_00607
ko:K02453	ctrb:BOUR_00609
ko:K03572	ctrb:BOUR_00612
ko:K01868	ctrb:BOUR_00618
ko:K01867	ctrb:BOUR_00622
ko:K03702	ctrb:BOUR_00623
ko:K01689	ctrb:BOUR_00624
ko:K00240	ctrb:BOUR_00628
ko:K00239	ctrb:BOUR_00629
ko:K03424	ctrb:BOUR_00632
ko:K03562	ctrb:BOUR_00634
ko:K03641	ctrb:BOUR_00637
ko:K03640	ctrb:BOUR_00638
ko:K03648	ctrb:BOUR_00647
ko:K03657	ctrb:BOUR_00648
ko:K03092	ctrb:BOUR_00649
ko:K06137	ctrb:BOUR_00650
ko:K13941	ctrb:BOUR_00653
ko:K01633	ctrb:BOUR_00654
ko:K03086	ctrb:BOUR_00655
ko:K02968	ctrb:BOUR_00657
ko:K03980	ctrb:BOUR_00664
ko:K01151	ctrb:BOUR_00665
ko:K02986	ctrb:BOUR_00666
ko:K07146	ctrb:BOUR_00667
ko:K13789	ctrb:BOUR_00668
ko:K01698	ctrb:BOUR_00674
ko:K00346	ctrb:BOUR_00675
ko:K03582	ctrb:BOUR_00681
ko:K03583	ctrb:BOUR_00682
ko:K03168	ctrb:BOUR_00685
ko:K02221	ctrb:BOUR_00687
ko:K03581	ctrb:BOUR_00694
ko:K06861	ctrb:BOUR_00696
ko:K01627	ctrb:BOUR_00698
ko:K06180	ctrb:BOUR_00702
ko:K06960	ctrb:BOUR_00703
ko:K02469	ctrb:BOUR_00704
ko:K02470	ctrb:BOUR_00705
ko:K02492	ctrb:BOUR_00706
ko:K03224	ctrb:BOUR_00713
ko:K02417	ctrb:BOUR_00716
ko:K03219	ctrb:BOUR_00718
ko:K02838	ctrb:BOUR_00724
ko:K09903	ctrb:BOUR_00725
ko:K02357	ctrb:BOUR_00726
ko:K02967	ctrb:BOUR_00727
ko:K03162	ctrb:BOUR_00729
ko:K09013	ctrb:BOUR_00733
ko:K09015	ctrb:BOUR_00734
ko:K11717	ctrb:BOUR_00735
ko:K07220	ctrb:BOUR_00739
ko:K03306	ctrb:BOUR_00740
ko:K00927	ctrb:BOUR_00741
ko:K10773	ctrb:BOUR_00745
ko:K03650	ctrb:BOUR_00746
ko:K01613	ctrb:BOUR_00747
ko:K03070	ctrb:BOUR_00749
ko:K03977	ctrb:BOUR_00751
ko:K03544	ctrb:BOUR_00753
ko:K01358	ctrb:BOUR_00754
ko:K03545	ctrb:BOUR_00755
ko:K03569	ctrb:BOUR_00758
ko:K00057	ctrb:BOUR_00763
ko:K02412	ctrb:BOUR_00766
ko:K02411	ctrb:BOUR_00767
ko:K02409	ctrb:BOUR_00768
ko:K13819	ctrb:BOUR_00769
ko:K04487	ctrb:BOUR_00770
ko:K06178	ctrb:BOUR_00772
ko:K03524	ctrb:BOUR_00774
ko:K05837	ctrb:BOUR_00775
ko:K01875	ctrb:BOUR_00778
ko:K11752	ctrb:BOUR_00779
ko:K14652	ctrb:BOUR_00780
ko:K00794	ctrb:BOUR_00781
ko:K03310	ctrb:BOUR_00784
ko:K03466	ctrb:BOUR_00788
ko:K00351	ctrb:BOUR_00793
ko:K03210	ctrb:BOUR_00794
ko:K00231	ctrb:BOUR_00798
ko:K01599	ctrb:BOUR_00800
ko:K03723	ctrb:BOUR_00801
ko:K01872	ctrb:BOUR_00802
ko:K00615	ctrb:BOUR_00806
ko:K01241	ctrb:BOUR_00807
ko:K02356	ctrb:BOUR_00808
ko:K01929	ctrb:BOUR_00813
ko:K01000	ctrb:BOUR_00814
ko:K01925	ctrb:BOUR_00815
ko:K03588	ctrb:BOUR_00817
ko:K02563	ctrb:BOUR_00818
ko:K06960	ctrb:BOUR_00820
ko:K00791	ctrb:BOUR_00823
ko:K09710	ctrb:BOUR_00826
ko:K09458	ctrb:BOUR_00827
ko:K00263	ctrb:BOUR_00830
ko:K00655	ctrb:BOUR_00832
ko:K04066	ctrb:BOUR_00835
ko:K04567	ctrb:BOUR_00838
ko:K01883	ctrb:BOUR_00839
ko:K03536	ctrb:BOUR_00841
ko:K02919	ctrb:BOUR_00842
ko:K02954	ctrb:BOUR_00843
ko:K03703	ctrb:BOUR_00847
ko:K03555	ctrb:BOUR_00848
ko:K14164	ctrb:BOUR_00852
ko:K00995	ctrb:BOUR_00853
ko:K00703	ctrb:BOUR_00854
ko:K02897	ctrb:BOUR_00856
ko:K01056	ctrb:BOUR_00857
ko:K02990	ctrb:BOUR_00858
ko:K02963	ctrb:BOUR_00859
ko:K02939	ctrb:BOUR_00860
ko:K00919	ctrb:BOUR_00861
ko:K00630	ctrb:BOUR_00865
ko:K08301	ctrb:BOUR_00866
ko:K02911	ctrb:BOUR_00869
ko:K03621	ctrb:BOUR_00870
ko:K03431	ctrb:BOUR_00875
ko:K00820	ctrb:BOUR_00876
ko:K03834	ctrb:BOUR_00877
ko:K03834	ctrb:BOUR_00879
ko:K06890	ctrb:BOUR_00880
ko:K03110	ctrb:BOUR_00881
ko:K01903	ctrb:BOUR_00882
ko:K01902	ctrb:BOUR_00883
ko:K09760	ctrb:BOUR_00886
ko:K00075	ctrb:BOUR_00892
ko:K02520	ctrb:BOUR_00894
ko:K02916	ctrb:BOUR_00895
ko:K02887	ctrb:BOUR_00896
ko:K01889	ctrb:BOUR_00897
ko:K11720	ctrb:BOUR_00900
ko:K07091	ctrb:BOUR_00901
ko:K04075	ctrb:BOUR_00902
ko:K03798	ctrb:BOUR_00903
ko:K00962	ctrb:BOUR_00904
ko:K02956	ctrb:BOUR_00905
ko:K01265	ctrb:BOUR_00914
ko:K03321	ctrb:BOUR_00919
ko:K03527	ctrb:BOUR_00922
ko:K03559	ctrb:BOUR_00635
ko:K01985	ctrb:BOUR_00792
ko:K01985	ctrb:BOUR_00805
ko:K02028	ctrb:BOUR_00134
ko:K15035	ctrb:BOUR_00020
ko:K14222	ctrb:BOUR_00812
ko:K14220	ctrb:BOUR_00040
ko:K01977	ctrb:BOUR_00790
ko:K01977	ctrb:BOUR_00803
ko:K01980	ctrb:BOUR_00791
ko:K01980	ctrb:BOUR_00804
ko:K17103	ctrb:BOUR_00887
ko:K14233	ctrb:BOUR_00379
ko:K14228	ctrb:BOUR_00927
ko:K04084	ctrb:BOUR_00633
ko:K14236	ctrb:BOUR_00148
ko:K14227	ctrb:BOUR_00187
ko:K14218	ctrb:BOUR_00188
ko:K14218	ctrb:BOUR_00678
ko:K14230	ctrb:BOUR_00216
ko:K14230	ctrb:BOUR_00344
ko:K14235	ctrb:BOUR_00334
ko:K14233	ctrb:BOUR_00531
ko:K14231	ctrb:BOUR_00447
ko:K14228	ctrb:BOUR_00496
ko:K14221	ctrb:BOUR_00232
ko:K14233	ctrb:BOUR_00440
ko:K14228	ctrb:BOUR_00539
ko:K14228	ctrb:BOUR_00575
ko:K14219	ctrb:BOUR_00500
ko:K14219	ctrb:BOUR_00642
ko:K14219	ctrb:BOUR_00699
ko:K14232	ctrb:BOUR_00672
ko:K14229	ctrb:BOUR_00722
ko:K14224	ctrb:BOUR_00723
ko:K14226	ctrb:BOUR_00789
ko:K14223	ctrb:BOUR_00855
ko:K14234	ctrb:BOUR_00719
ko:K14225	ctrb:BOUR_00728
ko:K14228	ctrb:BOUR_00504
ko:K14232	ctrb:BOUR_00063
ko:K14237	ctrb:BOUR_00233
ko:K14230	ctrb:BOUR_00217
ko:K14234	ctrb:BOUR_00147
ko:K14234	ctrb:BOUR_00336
ko:K14225	ctrb:BOUR_00756
ko:K00033	ctrb:BOUR_00067
ko:K11707	ctrb:BOUR_00071
ko:K11710	ctrb:BOUR_00072
ko:K11708	ctrb:BOUR_00073
ko:K11709	ctrb:BOUR_00074
ko:K03177	ctrb:BOUR_00096
ko:K06179	ctrb:BOUR_00110
ko:K00939	ctrb:BOUR_00132
ko:K01409	ctrb:BOUR_00205
ko:K15582	ctrb:BOUR_00208
ko:K10823	ctrb:BOUR_00209
ko:K15583	ctrb:BOUR_00210
ko:K06889	ctrb:BOUR_00214
ko:K00059	ctrb:BOUR_00249
ko:K00970	ctrb:BOUR_00752
ko:K01596	ctrb:BOUR_00759
ko:K00972	ctrb:BOUR_00764
ko:K00784	ctrb:BOUR_00367
ko:K03856	ctrb:BOUR_00406
ko:K00970	ctrb:BOUR_00435
ko:K09815	ctrb:BOUR_00441
ko:K01719	ctrb:BOUR_00462
ko:K00380	ctrb:BOUR_00464
ko:K01885	ctrb:BOUR_00475
ko:K07098	ctrb:BOUR_00491
ko:K00567	ctrb:BOUR_00509
ko:K02033	ctrb:BOUR_00511
ko:K02035	ctrb:BOUR_00512
ko:K02030	ctrb:BOUR_00520
ko:K02342	ctrb:BOUR_00572
ko:K07258	ctrb:BOUR_00588
ko:K03227	ctrb:BOUR_00600
ko:K02454	ctrb:BOUR_00608
ko:K01262	ctrb:BOUR_00611
ko:K07315	ctrb:BOUR_00625
ko:K00241	ctrb:BOUR_00631
ko:K02035	ctrb:BOUR_00143
ko:K06889	ctrb:BOUR_00156
ko:K02035	ctrb:BOUR_00181
ko:K02049	ctrb:BOUR_00186
ko:K07052	ctrb:BOUR_00266
ko:K02342	ctrb:BOUR_00273
ko:K02806	ctrb:BOUR_00302
ko:K02806	ctrb:BOUR_00303
ko:K02124	ctrb:BOUR_00316
ko:K02123	ctrb:BOUR_00317
ko:K02120	ctrb:BOUR_00318
ko:K02118	ctrb:BOUR_00319
ko:K02117	ctrb:BOUR_00320
ko:K02121	ctrb:BOUR_00322
ko:K00616	ctrb:BOUR_00325
ko:K08483	ctrb:BOUR_00355
ko:K11189	ctrb:BOUR_00356
ko:K06910	ctrb:BOUR_00785
ko:K07117	ctrb:BOUR_00786
ko:K01834	ctrb:BOUR_00771
ko:K03386	ctrb:BOUR_00641
ko:K02428	ctrb:BOUR_00645
ko:K00813	ctrb:BOUR_00679
ko:K01934	ctrb:BOUR_00691
ko:K01507	ctrb:BOUR_00829
ko:K01082	ctrb:BOUR_00831
ko:K01909	ctrb:BOUR_00833
ko:K00652	ctrb:BOUR_00834
ko:K01408	ctrb:BOUR_00864
ko:K01679	ctrb:BOUR_00918
ko:K04763	ctrb:BOUR_00929
ko:K00700	ctrb:BOUR_00931
ko:K14237	ctrb:BOUR_00890
ko:K01840	ctrb:BOUR_00307
ko:K06972	ctrb:BOUR_00885
ko:K07081	ctrb:BOUR_00456
ko:K03625	ctrb:BOUR_00893
ko:K00239	ctrb:BOUR_00630
ko:K08275	ctrb:BOUR_00083
ko:K08274	ctrb:BOUR_00401
ko:K01802	ctrb:BOUR_00578
ko:K03309	ctrb:BOUR_00426
ko:K08719	ctrb:BOUR_00762
ko:K01921	ctrb:BOUR_00819
ko:K01924	ctrb:BOUR_00819
ko:K01829	ctrb:BOUR_00837
ko:K01829	ctrb:BOUR_00840
ko:K07033	ctrb:BOUR_00732
ko:K01214	ctrb:BOUR_00045
ko:K03825	ctrb:BOUR_00488
ko:K03111	ctrb:BOUR_00047
ko:K03496	ctrb:BOUR_00619
ko:K03497	ctrb:BOUR_00736
ko:K03496	ctrb:BOUR_p7
ko:K02626	ctrb:BOUR_00397
ko:K11991	ctrb:BOUR_00906
ko:K04771	ctrb:BOUR_00884
ko:K19411	ctrb:BOUR_00721
ko:K02031	ctrb:BOUR_00738
ko:K07125	ctrb:BOUR_00339
ko:K22100	ctrb:BOUR_00345
ko:K12132	ctrb:BOUR_00313
ko:K20265	ctrb:BOUR_00226
ko:K20074	ctrb:BOUR_00271
ko:K11749	ctrb:BOUR_00076
ko:K22099	ctrb:BOUR_00651
ko:K00526	ctrb:BOUR_00889
ko:K02335	ctrb:BOUR_00527
ko:K02316	ctrb:BOUR_00849
ko:K02314	ctrb:BOUR_p3
ko:K02314	ctrb:BOUR_00532
ko:K01520	ctrb:BOUR_00304
ko:K00287	ctrb:BOUR_00652
ko:K03553	ctrb:BOUR_00692
ko:K02032	ctrb:BOUR_00737
ko:K00525	ctrb:BOUR_00888
ko:K02050	ctrb:BOUR_00917
ko:K02051	ctrb:BOUR_00917
ko:K01534	ctrb:BOUR_00776
ko:K16239	ctrb:BOUR_00087
