ko:K07498	babc:DO78_1705
ko:K06178	babc:DO78_2116
ko:K08316	babc:DO78_2117
ko:K07263	babc:DO78_2118
ko:K07263	babc:DO78_2119
ko:K07263	babc:DO78_2120
ko:K07001	babc:DO78_2121
ko:K03455	babc:DO78_2122
ko:K03592	babc:DO78_2123
ko:K01092	babc:DO78_2124
ko:K09778	babc:DO78_2126
ko:K02527	babc:DO78_2127
ko:K00912	babc:DO78_2128
ko:K03572	babc:DO78_2130
ko:K08196	babc:DO78_2131
ko:K06446	babc:DO78_2133
ko:K00074	babc:DO78_2135
ko:K01845	babc:DO78_2926
ko:K01628	babc:DO78_2928
ko:K03777	babc:DO78_2931
ko:K18676	babc:DO78_2939
ko:K09815	babc:DO78_2942
ko:K09817	babc:DO78_2943
ko:K09816	babc:DO78_2944
ko:K09823	babc:DO78_2945
ko:K02421	babc:DO78_2951
ko:K02400	babc:DO78_2952
ko:K02400	babc:DO78_2953
ko:K02420	babc:DO78_2954
ko:K02389	babc:DO78_2955
ko:K06601	babc:DO78_2956
ko:K06602	babc:DO78_2957
ko:K02397	babc:DO78_2958
ko:K02396	babc:DO78_2959
ko:K02390	babc:DO78_2960
ko:K10565	babc:DO78_2963
ko:K10564	babc:DO78_2964
ko:K02557	babc:DO78_2965
ko:K02409	babc:DO78_2967
ko:K02406	babc:DO78_2968
ko:K10543	babc:DO78_2972
ko:K10545	babc:DO78_2973
ko:K10544	babc:DO78_2974
ko:K02510	babc:DO78_2978
ko:K03529	babc:DO78_435
ko:K16264	babc:DO78_436
ko:K06996	babc:DO78_437
ko:K01006	babc:DO78_438
ko:K03523	babc:DO78_443
ko:K01483	babc:DO78_444
ko:K07127	babc:DO78_445
ko:K01711	babc:DO78_459
ko:K07483	babc:DO78_470
ko:K01840	babc:DO78_472
ko:K00971	babc:DO78_473
ko:K12995	babc:DO78_475
ko:K10441	babc:DO78_476
ko:K10440	babc:DO78_477
ko:K10439	babc:DO78_478
ko:K01805	babc:DO78_481
ko:K00854	babc:DO78_482
ko:K02529	babc:DO78_483
ko:K02167	babc:DO78_487
ko:K03657	babc:DO78_1302
ko:K05805	babc:DO78_1303
ko:K07152	babc:DO78_1305
ko:K02687	babc:DO78_1306
ko:K01262	babc:DO78_1307
ko:K01972	babc:DO78_1309
ko:K03631	babc:DO78_1310
ko:K05807	babc:DO78_1311
ko:K02535	babc:DO78_1312
ko:K03531	babc:DO78_1313
ko:K03590	babc:DO78_1314
ko:K03589	babc:DO78_1315
ko:K01921	babc:DO78_1316
ko:K00075	babc:DO78_1317
ko:K01924	babc:DO78_1318
ko:K02563	babc:DO78_1319
ko:K03588	babc:DO78_1320
ko:K01925	babc:DO78_1321
ko:K01000	babc:DO78_1322
ko:K01929	babc:DO78_1323
ko:K01928	babc:DO78_1324
ko:K03587	babc:DO78_1325
ko:K03438	babc:DO78_1327
ko:K03322	babc:DO78_1328
ko:K05801	babc:DO78_1332
ko:K07273	babc:DO78_1334
ko:K07088	babc:DO78_1336
ko:K03761	babc:DO78_1341
ko:K00598	babc:DO78_1342
ko:K09988	babc:DO78_1346
ko:K00479	babc:DO78_1347
ko:K06193	babc:DO78_1349
ko:K08281	babc:DO78_1351
ko:K09799	babc:DO78_1350
ko:K02484	babc:DO78_2139
ko:K00380	babc:DO78_2144
ko:K03734	babc:DO78_2145
ko:K02164	babc:DO78_2154
ko:K02305	babc:DO78_2156
ko:K04561	babc:DO78_2157
ko:K04748	babc:DO78_2158
ko:K02448	babc:DO78_2159
ko:K00368	babc:DO78_2167
ko:K03435	babc:DO78_2170
ko:K10543	babc:DO78_2171
ko:K10545	babc:DO78_2172
ko:K10544	babc:DO78_2173
ko:K00039	babc:DO78_2174
ko:K00376	babc:DO78_2180
ko:K07218	babc:DO78_2181
ko:K03734	babc:DO78_2185
ko:K07234	babc:DO78_2188
ko:K02051	babc:DO78_2189
ko:K02050	babc:DO78_2190
ko:K02049	babc:DO78_2191
ko:K02509	babc:DO78_2979
ko:K02509	babc:DO78_2980
ko:K00446	babc:DO78_2982
ko:K00151	babc:DO78_2983
ko:K01826	babc:DO78_2984
ko:K07025	babc:DO78_2990
ko:K09472	babc:DO78_2994
ko:K01999	babc:DO78_2996
ko:K01997	babc:DO78_2997
ko:K01995	babc:DO78_2998
ko:K01998	babc:DO78_2998
ko:K01996	babc:DO78_2999
ko:K07090	babc:DO78_3001
ko:K03710	babc:DO78_3002
ko:K02027	babc:DO78_3003
ko:K02026	babc:DO78_3004
ko:K02025	babc:DO78_3005
ko:K10112	babc:DO78_3006
ko:K02049	babc:DO78_3011
ko:K02050	babc:DO78_3012
ko:K16087	babc:DO78_3014
ko:K01999	babc:DO78_3016
ko:K01997	babc:DO78_3017
ko:K01997	babc:DO78_3018
ko:K01998	babc:DO78_3019
ko:K01995	babc:DO78_3020
ko:K01996	babc:DO78_3021
ko:K03496	babc:DO78_3027
ko:K03497	babc:DO78_3028
ko:K18996	babc:DO78_3029
ko:K07341	babc:DO78_489
ko:K03284	babc:DO78_492
ko:K03449	babc:DO78_494
ko:K03449	babc:DO78_495
ko:K06915	babc:DO78_497
ko:K01560	babc:DO78_500
ko:K04564	babc:DO78_501
ko:K01354	babc:DO78_503
ko:K02433	babc:DO78_508
ko:K02426	babc:DO78_509
ko:K11357	babc:DO78_511
ko:K05366	babc:DO78_517
ko:K02200	babc:DO78_540
ko:K02197	babc:DO78_541
ko:K02198	babc:DO78_542
ko:K02200	babc:DO78_543
ko:K00982	babc:DO78_547
ko:K01442	babc:DO78_1353
ko:K09807	babc:DO78_1361
ko:K09160	babc:DO78_1363
ko:K03086	babc:DO78_1365
ko:K03324	babc:DO78_1367
ko:K09117	babc:DO78_1368
ko:K01956	babc:DO78_1369
ko:K07054	babc:DO78_1370
ko:K01955	babc:DO78_1373
ko:K02471	babc:DO78_1374
ko:K03704	babc:DO78_1376
ko:K00799	babc:DO78_1377
ko:K00812	babc:DO78_1378
ko:K00384	babc:DO78_1382
ko:K03498	babc:DO78_1383
ko:K12989	babc:DO78_1385
ko:K03624	babc:DO78_1386
ko:K09922	babc:DO78_1389
ko:K10806	babc:DO78_1391
ko:K03702	babc:DO78_1393
ko:K07659	babc:DO78_1400
ko:K07638	babc:DO78_1401
ko:K06878	babc:DO78_1402
ko:K13292	babc:DO78_1405
ko:K08303	babc:DO78_2193
ko:K03182	babc:DO78_2195
ko:K03182	babc:DO78_2196
ko:K03186	babc:DO78_2197
ko:K03769	babc:DO78_2199
ko:K00374	babc:DO78_2200
ko:K00373	babc:DO78_2201
ko:K00371	babc:DO78_2202
ko:K00370	babc:DO78_2203
ko:K02575	babc:DO78_2204
ko:K02529	babc:DO78_2206
ko:K10236	babc:DO78_2207
ko:K10237	babc:DO78_2208
ko:K10238	babc:DO78_2209
ko:K10111	babc:DO78_2210
ko:K03647	babc:DO78_2216
ko:K03610	babc:DO78_2219
ko:K03609	babc:DO78_2220
ko:K03608	babc:DO78_2221
ko:K02055	babc:DO78_2225
ko:K02052	babc:DO78_2226
ko:K02054	babc:DO78_2227
ko:K02053	babc:DO78_2228
ko:K03585	babc:DO78_2234
ko:K01580	babc:DO78_2236
ko:K01580	babc:DO78_2237
ko:K01425	babc:DO78_2239
ko:K00852	babc:DO78_3032
ko:K02057	babc:DO78_3034
ko:K02057	babc:DO78_3035
ko:K02056	babc:DO78_3036
ko:K07335	babc:DO78_3037
ko:K02362	babc:DO78_3038
ko:K00216	babc:DO78_3040
ko:K01252	babc:DO78_3041
ko:K02363	babc:DO78_3042
ko:K02361	babc:DO78_3043
ko:K02364	babc:DO78_3044
ko:K03088	babc:DO78_3048
ko:K01999	babc:DO78_3051
ko:K01997	babc:DO78_3052
ko:K01998	babc:DO78_3053
ko:K01995	babc:DO78_3054
ko:K01996	babc:DO78_3055
ko:K00059	babc:DO78_3057
ko:K11381	babc:DO78_3059
ko:K00627	babc:DO78_3060
ko:K00014	babc:DO78_3061
ko:K01531	babc:DO78_3062
ko:K07507	babc:DO78_3065
ko:K13589	babc:DO78_3069
ko:K01048	babc:DO78_3072
ko:K04080	babc:DO78_3074
ko:K01620	babc:DO78_3075
ko:K00265	babc:DO78_3076
ko:K00266	babc:DO78_3077
ko:K11737	babc:DO78_3078
ko:K09795	babc:DO78_3079
ko:K03196	babc:DO78_3081
ko:K07716	babc:DO78_549
ko:K01256	babc:DO78_550
ko:K00311	babc:DO78_554
ko:K01241	babc:DO78_556
ko:K07126	babc:DO78_562
ko:K00817	babc:DO78_566
ko:K08309	babc:DO78_573
ko:K01714	babc:DO78_574
ko:K03664	babc:DO78_575
ko:K03060	babc:DO78_578
ko:K00762	babc:DO78_580
ko:K08223	babc:DO78_583
ko:K09928	babc:DO78_585
ko:K00997	babc:DO78_586
ko:K03100	babc:DO78_587
ko:K03685	babc:DO78_588
ko:K03584	babc:DO78_591
ko:K06980	babc:DO78_593
ko:K01465	babc:DO78_594
ko:K06895	babc:DO78_601
ko:K01883	babc:DO78_602
ko:K05810	babc:DO78_1407
ko:K00948	babc:DO78_1410
ko:K06915	babc:DO78_1411
ko:K02897	babc:DO78_1412
ko:K01056	babc:DO78_1413
ko:K06942	babc:DO78_1414
ko:K00759	babc:DO78_1417
ko:K00413	babc:DO78_1419
ko:K00412	babc:DO78_1420
ko:K00411	babc:DO78_1421
ko:K18893	babc:DO78_1422
ko:K18893	babc:DO78_1423
ko:K03216	babc:DO78_1424
ko:K00228	babc:DO78_1427
ko:K03824	babc:DO78_1428
ko:K00970	babc:DO78_1431
ko:K09986	babc:DO78_1433
ko:K03924	babc:DO78_1434
ko:K07393	babc:DO78_1439
ko:K07275	babc:DO78_1440
ko:K01649	babc:DO78_1443
ko:K13503	babc:DO78_1445
ko:K03719	babc:DO78_1446
ko:K02002	babc:DO78_1451
ko:K02001	babc:DO78_1452
ko:K02000	babc:DO78_1453
ko:K12372	babc:DO78_1454
ko:K12371	babc:DO78_1455
ko:K12370	babc:DO78_1456
ko:K12369	babc:DO78_1457
ko:K12368	babc:DO78_1458
ko:K01840	babc:DO78_2245
ko:K00088	babc:DO78_2248
ko:K04761	babc:DO78_2250
ko:K03781	babc:DO78_2251
ko:K03500	babc:DO78_2254
ko:K01243	babc:DO78_2256
ko:K01951	babc:DO78_2257
ko:K07230	babc:DO78_2258
ko:K07243	babc:DO78_2260
ko:K00925	babc:DO78_2263
ko:K01999	babc:DO78_2269
ko:K01997	babc:DO78_2270
ko:K01995	babc:DO78_2271
ko:K01998	babc:DO78_2271
ko:K01996	babc:DO78_2272
ko:K00059	babc:DO78_2273
ko:K00014	babc:DO78_2274
ko:K00135	babc:DO78_2276
ko:K01999	babc:DO78_2277
ko:K01714	babc:DO78_2283
ko:K02034	babc:DO78_2284
ko:K02033	babc:DO78_2285
ko:K02035	babc:DO78_2286
ko:K17948	babc:DO78_2289
ko:K01991	babc:DO78_2294
ko:K03204	babc:DO78_3083
ko:K03203	babc:DO78_3084
ko:K03202	babc:DO78_3085
ko:K03201	babc:DO78_3086
ko:K03194	babc:DO78_3091
ko:K08305	babc:DO78_3092
ko:K08305	babc:DO78_3093
ko:K00963	babc:DO78_3094
ko:K07340	babc:DO78_3097
ko:K01772	babc:DO78_3099
ko:K00808	babc:DO78_3101
ko:K02619	babc:DO78_3102
ko:K01665	babc:DO78_3103
ko:K08602	babc:DO78_3104
ko:K01625	babc:DO78_3107
ko:K07146	babc:DO78_3109
ko:K02020	babc:DO78_3110
ko:K02018	babc:DO78_3111
ko:K02017	babc:DO78_3112
ko:K01426	babc:DO78_3119
ko:K01581	babc:DO78_3120
ko:K00033	babc:DO78_3130
ko:K02052	babc:DO78_3131
ko:K03786	babc:DO78_822
ko:K08300	babc:DO78_826
ko:K01448	babc:DO78_827
ko:K05366	babc:DO78_828
ko:K02836	babc:DO78_829
ko:K03564	babc:DO78_834
ko:K01866	babc:DO78_836
ko:K09001	babc:DO78_838
ko:K03297	babc:DO78_837
ko:K07018	babc:DO78_839
ko:K04487	babc:DO78_840
ko:K09014	babc:DO78_841
ko:K09013	babc:DO78_842
ko:K09015	babc:DO78_843
ko:K11717	babc:DO78_844
ko:K00858	babc:DO78_848
ko:K13628	babc:DO78_850
ko:K07213	babc:DO78_852
ko:K00573	babc:DO78_853
ko:K12340	babc:DO78_854
ko:K09991	babc:DO78_855
ko:K01873	babc:DO78_856
ko:K06076	babc:DO78_858
ko:K02030	babc:DO78_862
ko:K03753	babc:DO78_863
ko:K03752	babc:DO78_864
ko:K03639	babc:DO78_865
ko:K01676	babc:DO78_868
ko:K00602	babc:DO78_1669
ko:K06902	babc:DO78_1670
ko:K15371	babc:DO78_1671
ko:K08988	babc:DO78_1672
ko:K06872	babc:DO78_1673
ko:K03744	babc:DO78_1674
ko:K02959	babc:DO78_1675
ko:K04092	babc:DO78_1676
ko:K03106	babc:DO78_1677
ko:K01673	babc:DO78_1679
ko:K00868	babc:DO78_1680
ko:K00140	babc:DO78_1682
ko:K08311	babc:DO78_1686
ko:K03797	babc:DO78_1687
ko:K00783	babc:DO78_1690
ko:K09710	babc:DO78_1691
ko:K00969	babc:DO78_1692
ko:K00147	babc:DO78_1693
ko:K00931	babc:DO78_1694
ko:K03979	babc:DO78_1695
ko:K02899	babc:DO78_1699
ko:K02888	babc:DO78_1700
ko:K03695	babc:DO78_1716
ko:K02493	babc:DO78_1718
ko:K02835	babc:DO78_1719
ko:K08484	babc:DO78_1720
ko:K00826	babc:DO78_2507
ko:K07090	babc:DO78_2508
ko:K07077	babc:DO78_2509
ko:K00128	babc:DO78_2512
ko:K02016	babc:DO78_2513
ko:K02015	babc:DO78_2514
ko:K02015	babc:DO78_2515
ko:K02013	babc:DO78_2516
ko:K01469	babc:DO78_2518
ko:K02424	babc:DO78_2519
ko:K10009	babc:DO78_2520
ko:K10010	babc:DO78_2521
ko:K01524	babc:DO78_2522
ko:K02427	babc:DO78_2523
ko:K10112	babc:DO78_2526
ko:K17317	babc:DO78_2527
ko:K17316	babc:DO78_2528
ko:K00794	babc:DO78_2532
ko:K02379	babc:DO78_2531
ko:K02011	babc:DO78_2535
ko:K02012	babc:DO78_2536
ko:K02010	babc:DO78_2537
ko:K04565	babc:DO78_2540
ko:K14588	babc:DO78_2541
ko:K04756	babc:DO78_2544
ko:K03386	babc:DO78_2545
ko:K04761	babc:DO78_2546
ko:K00010	babc:DO78_2548
ko:K03338	babc:DO78_2550
ko:K03336	babc:DO78_2551
ko:K03335	babc:DO78_2552
ko:K03337	babc:DO78_2553
ko:K01092	babc:DO78_2554
ko:K02010	babc:DO78_2555
ko:K02011	babc:DO78_2556
ko:K03977	babc:DO78_327
ko:K04046	babc:DO78_328
ko:K02116	babc:DO78_330
ko:K02108	babc:DO78_331
ko:K02110	babc:DO78_332
ko:K02109	babc:DO78_333
ko:K02109	babc:DO78_334
ko:K03470	babc:DO78_335
ko:K00919	babc:DO78_340
ko:K02523	babc:DO78_345
ko:K01878	babc:DO78_347
ko:K01879	babc:DO78_349
ko:K07566	babc:DO78_350
ko:K01945	babc:DO78_358
ko:K03179	babc:DO78_359
ko:K00275	babc:DO78_360
ko:K00208	babc:DO78_363
ko:K03704	babc:DO78_365
ko:K09778	babc:DO78_368
ko:K01736	babc:DO78_370
ko:K14652	babc:DO78_371
ko:K03602	babc:DO78_373
ko:K06911	babc:DO78_377
ko:K01662	babc:DO78_378
ko:K06442	babc:DO78_379
ko:K03215	babc:DO78_380
ko:K02188	babc:DO78_1198
ko:K05895	babc:DO78_1200
ko:K05936	babc:DO78_1199
ko:K02189	babc:DO78_1201
ko:K07090	babc:DO78_1204
ko:K08978	babc:DO78_1203
ko:K02230	babc:DO78_1206
ko:K02234	babc:DO78_1207
ko:K02231	babc:DO78_1208
ko:K02232	babc:DO78_1211
ko:K12257	babc:DO78_1222
ko:K03455	babc:DO78_1223
ko:K07027	babc:DO78_1224
ko:K07002	babc:DO78_1225
ko:K02047	babc:DO78_1226
ko:K02046	babc:DO78_1227
ko:K02048	babc:DO78_1228
ko:K02431	babc:DO78_1234
ko:K02056	babc:DO78_1236
ko:K02057	babc:DO78_1237
ko:K02057	babc:DO78_1238
ko:K02058	babc:DO78_1239
ko:K02013	babc:DO78_1240
ko:K02015	babc:DO78_1242
ko:K02016	babc:DO78_1243
ko:K16092	babc:DO78_1244
ko:K13926	babc:DO78_1246
ko:K13926	babc:DO78_1247
ko:K13766	babc:DO78_2032
ko:K01640	babc:DO78_2033
ko:K01968	babc:DO78_2034
ko:K01969	babc:DO78_2035
ko:K00253	babc:DO78_2036
ko:K22468	babc:DO78_253
ko:K02027	babc:DO78_161
ko:K02025	babc:DO78_162
ko:K02026	babc:DO78_163
ko:K10112	babc:DO78_164
ko:K03534	babc:DO78_166
ko:K18335	babc:DO78_169
ko:K18334	babc:DO78_171
ko:K02395	babc:DO78_185
ko:K09862	babc:DO78_208
ko:K06287	babc:DO78_209
ko:K02518	babc:DO78_210
ko:K00013	babc:DO78_213
ko:K00790	babc:DO78_215
ko:K01689	babc:DO78_1043
ko:K01627	babc:DO78_1044
ko:K01937	babc:DO78_1045
ko:K03075	babc:DO78_1047
ko:K01803	babc:DO78_1048
ko:K03770	babc:DO78_1049
ko:K00766	babc:DO78_1050
ko:K01609	babc:DO78_1051
ko:K03637	babc:DO78_1052
ko:K03750	babc:DO78_1053
ko:K01356	babc:DO78_1055
ko:K01885	babc:DO78_1056
ko:K01647	babc:DO78_1057
ko:K00748	babc:DO78_1058
ko:K09949	babc:DO78_1059
ko:K00677	babc:DO78_1060
ko:K02372	babc:DO78_1061
ko:K02536	babc:DO78_1062
ko:K07277	babc:DO78_1063
ko:K11749	babc:DO78_1064
ko:K00981	babc:DO78_1065
ko:K00806	babc:DO78_1066
ko:K02838	babc:DO78_1067
ko:K09903	babc:DO78_1068
ko:K02357	babc:DO78_1069
ko:K02967	babc:DO78_1070
ko:K09919	babc:DO78_1075
ko:K01760	babc:DO78_664
ko:K09969	babc:DO78_666
ko:K09970	babc:DO78_667
ko:K09971	babc:DO78_669
ko:K09971	babc:DO78_670
ko:K09972	babc:DO78_671
ko:K00480	babc:DO78_672
ko:K00937	babc:DO78_674
ko:K01524	babc:DO78_675
ko:K03684	babc:DO78_676
ko:K01876	babc:DO78_677
ko:K02621	babc:DO78_679
ko:K01698	babc:DO78_682
ko:K00600	babc:DO78_687
ko:K07738	babc:DO78_688
ko:K11752	babc:DO78_689
ko:K00793	babc:DO78_690
ko:K00794	babc:DO78_691
ko:K03625	babc:DO78_692
ko:K15987	babc:DO78_693
ko:K17662	babc:DO78_695
ko:K03621	babc:DO78_697
ko:K00648	babc:DO78_698
ko:K04764	babc:DO78_699
ko:K11741	babc:DO78_701
ko:K01991	babc:DO78_705
ko:K02259	babc:DO78_708
ko:K00145	babc:DO78_709
ko:K01480	babc:DO78_710
ko:K02996	babc:DO78_711
ko:K02871	babc:DO78_712
ko:K00135	babc:DO78_1516
ko:K01247	babc:DO78_1520
ko:K01894	babc:DO78_1521
ko:K01638	babc:DO78_1522
ko:K03823	babc:DO78_1523
ko:K03089	babc:DO78_1524
ko:K06180	babc:DO78_1525
ko:K03711	babc:DO78_1528
ko:K03088	babc:DO78_1533
ko:K03561	babc:DO78_1540
ko:K03559	babc:DO78_1541
ko:K03832	babc:DO78_1542
ko:K05685	babc:DO78_1545
ko:K13888	babc:DO78_1546
ko:K05800	babc:DO78_1548
ko:K01939	babc:DO78_1554
ko:K00058	babc:DO78_1556
ko:K00831	babc:DO78_1557
ko:K03453	babc:DO78_1558
ko:K03431	babc:DO78_1560
ko:K03798	babc:DO78_1561
ko:K04075	babc:DO78_1562
ko:K03640	babc:DO78_1565
ko:K03831	babc:DO78_2348
ko:K07078	babc:DO78_2349
ko:K05559	babc:DO78_2351
ko:K05560	babc:DO78_2352
ko:K05561	babc:DO78_2353
ko:K05562	babc:DO78_2354
ko:K05563	babc:DO78_2355
ko:K05564	babc:DO78_2356
ko:K16013	babc:DO78_2358
ko:K16012	babc:DO78_2359
ko:K00425	babc:DO78_2360
ko:K00426	babc:DO78_2361
ko:K03710	babc:DO78_2363
ko:K18676	babc:DO78_2364
ko:K10117	babc:DO78_2365
ko:K10117	babc:DO78_2366
ko:K10118	babc:DO78_2367
ko:K10119	babc:DO78_2368
ko:K10111	babc:DO78_2370
ko:K00166	babc:DO78_2371
ko:K00167	babc:DO78_2372
ko:K09699	babc:DO78_2373
ko:K00382	babc:DO78_2375
ko:K14998	babc:DO78_2374
ko:K03466	babc:DO78_2377
ko:K01266	babc:DO78_2378
ko:K08369	babc:DO78_2379
ko:K03919	babc:DO78_2380
ko:K10823	babc:DO78_2381
ko:K15583	babc:DO78_2381
ko:K15582	babc:DO78_2382
ko:K15581	babc:DO78_2383
ko:K15580	babc:DO78_2384
ko:K15580	babc:DO78_2385
ko:K00012	babc:DO78_2391
ko:K07039	babc:DO78_2398
ko:K02503	babc:DO78_1076
ko:K03694	babc:DO78_1077
ko:K06891	babc:DO78_1078
ko:K01752	babc:DO78_1082
ko:K09457	babc:DO78_1089
ko:K01966	babc:DO78_1093
