ko:K04112	rpt:Rpal_0724
ko:K02557	rpt:Rpal_3243
ko:K07107	rpt:Rpal_3245
ko:K03750	rpt:Rpal_3248
ko:K01356	rpt:Rpal_3249
ko:K02238	rpt:Rpal_3250
ko:K01886	rpt:Rpal_3251
ko:K01885	rpt:Rpal_3252
ko:K01647	rpt:Rpal_3253
ko:K09949	rpt:Rpal_3256
ko:K00677	rpt:Rpal_3257
ko:K02372	rpt:Rpal_3258
ko:K02536	rpt:Rpal_3259
ko:K07277	rpt:Rpal_3260
ko:K00099	rpt:Rpal_3262
ko:K00981	rpt:Rpal_3263
ko:K00806	rpt:Rpal_3264
ko:K02838	rpt:Rpal_3265
ko:K09903	rpt:Rpal_3266
ko:K02357	rpt:Rpal_3267
ko:K02967	rpt:Rpal_3268
ko:K02337	rpt:Rpal_3270
ko:K09808	rpt:Rpal_3275
ko:K01881	rpt:Rpal_3276
ko:K00979	rpt:Rpal_4216
ko:K03543	rpt:Rpal_4219
ko:K00548	rpt:Rpal_4224
ko:K07461	rpt:Rpal_4225
ko:K00864	rpt:Rpal_4226
ko:K07183	rpt:Rpal_4227
ko:K00366	rpt:Rpal_4231
ko:K00380	rpt:Rpal_4232
ko:K01995	rpt:Rpal_4240
ko:K01875	rpt:Rpal_3185
ko:K01996	rpt:Rpal_4241
ko:K01997	rpt:Rpal_4242
ko:K01998	rpt:Rpal_4243
ko:K01999	rpt:Rpal_4244
ko:K01999	rpt:Rpal_4245
ko:K03527	rpt:Rpal_4255
ko:K06045	rpt:Rpal_4261
ko:K03736	rpt:Rpal_4268
ko:K01673	rpt:Rpal_0231
ko:K02498	rpt:Rpal_0259
ko:K02959	rpt:Rpal_0245
ko:K01937	rpt:Rpal_3231
ko:K04038	rpt:Rpal_1730
ko:K00793	rpt:Rpal_3007
ko:K01961	rpt:Rpal_2713
ko:K02600	rpt:Rpal_0442
ko:K02586	rpt:Rpal_5100
ko:K02591	rpt:Rpal_5099
ko:K02621	rpt:Rpal_2978
ko:K03629	rpt:Rpal_0003
ko:K02313	rpt:Rpal_0001
ko:K02338	rpt:Rpal_0002
ko:K02470	rpt:Rpal_0004
ko:K02160	rpt:Rpal_2714
ko:K01673	rpt:Rpal_0867
ko:K03666	rpt:Rpal_2867
ko:K11337	rpt:Rpal_1709
ko:K04652	rpt:Rpal_1166
ko:K02592	rpt:Rpal_5097
ko:K03789	rpt:Rpal_0455
ko:K04758	rpt:Rpal_5117
ko:K01601	rpt:Rpal_5122
ko:K01624	rpt:Rpal_5123
ko:K00615	rpt:Rpal_5124
ko:K00855	rpt:Rpal_5125
ko:K03841	rpt:Rpal_5126
ko:K03928	rpt:Rpal_5127
ko:K01040	rpt:Rpal_5133
ko:K03585	rpt:Rpal_4427
ko:K06204	rpt:Rpal_4430
ko:K02394	rpt:Rpal_4432
ko:K06602	rpt:Rpal_4436
ko:K06601	rpt:Rpal_4437
ko:K01652	rpt:Rpal_4440
ko:K00162	rpt:Rpal_4445
ko:K00161	rpt:Rpal_4446
ko:K02396	rpt:Rpal_4454
ko:K02390	rpt:Rpal_4455
ko:K07305	rpt:Rpal_4459
ko:K02047	rpt:Rpal_0819
ko:K03089	rpt:Rpal_0371
ko:K06180	rpt:Rpal_0372
ko:K01761	rpt:Rpal_0375
ko:K03672	rpt:Rpal_0377
ko:K06197	rpt:Rpal_0379
ko:K00573	rpt:Rpal_0380
ko:K07406	rpt:Rpal_0382
ko:K00975	rpt:Rpal_0385
ko:K03630	rpt:Rpal_0389
ko:K10979	rpt:Rpal_0391
ko:K01265	rpt:Rpal_0392
ko:K11105	rpt:Rpal_0393
ko:K07261	rpt:Rpal_0394
ko:K01940	rpt:Rpal_0397
ko:K06941	rpt:Rpal_0401
ko:K01724	rpt:Rpal_0408
ko:K02014	rpt:Rpal_0411
ko:K06207	rpt:Rpal_0412
ko:K01507	rpt:Rpal_0415
ko:K09131	rpt:Rpal_0418
ko:K02221	rpt:Rpal_0419
ko:K01951	rpt:Rpal_0422
ko:K09826	rpt:Rpal_0428
ko:K01716	rpt:Rpal_0429
ko:K00208	rpt:Rpal_0431
ko:K00275	rpt:Rpal_1389
ko:K00208	rpt:Rpal_1392
ko:K01736	rpt:Rpal_1394
ko:K06891	rpt:Rpal_1396
ko:K11159	rpt:Rpal_1401
ko:K02034	rpt:Rpal_1408
ko:K02033	rpt:Rpal_1409
ko:K01295	rpt:Rpal_1410
ko:K02035	rpt:Rpal_1411
ko:K00179	rpt:Rpal_1417
ko:K00174	rpt:Rpal_1419
ko:K00175	rpt:Rpal_1420
ko:K00177	rpt:Rpal_1421
ko:K01912	rpt:Rpal_1422
ko:K01997	rpt:Rpal_1423
ko:K01998	rpt:Rpal_1424
ko:K01995	rpt:Rpal_1425
ko:K01996	rpt:Rpal_1426
ko:K03832	rpt:Rpal_1434
ko:K07058	rpt:Rpal_1440
ko:K02233	rpt:Rpal_1450
ko:K01581	rpt:Rpal_2341
ko:K03823	rpt:Rpal_2342
ko:K00376	rpt:Rpal_2351
ko:K07218	rpt:Rpal_2352
ko:K03734	rpt:Rpal_2356
ko:K09779	rpt:Rpal_2361
ko:K02016	rpt:Rpal_2371
ko:K05936	rpt:Rpal_2374
ko:K02189	rpt:Rpal_2375
ko:K05895	rpt:Rpal_2377
ko:K06042	rpt:Rpal_2380
ko:K00768	rpt:Rpal_2384
ko:K02233	rpt:Rpal_2385
ko:K02232	rpt:Rpal_2386
ko:K02228	rpt:Rpal_2387
ko:K06196	rpt:Rpal_4337
ko:K01783	rpt:Rpal_4340
ko:K01952	rpt:Rpal_4344
ko:K01952	rpt:Rpal_4346
ko:K01923	rpt:Rpal_4347
ko:K02533	rpt:Rpal_4361
ko:K09771	rpt:Rpal_4363
ko:K02014	rpt:Rpal_4365
ko:K03455	rpt:Rpal_4368
ko:K03455	rpt:Rpal_4369
ko:K01872	rpt:Rpal_4372
ko:K00605	rpt:Rpal_4373
ko:K02437	rpt:Rpal_4374
ko:K03553	rpt:Rpal_4376
ko:K01676	rpt:Rpal_4397
ko:K01991	rpt:Rpal_5320
ko:K02968	rpt:Rpal_5323
ko:K00180	rpt:Rpal_1418
ko:K04761	rpt:Rpal_0434
ko:K00962	rpt:Rpal_0436
ko:K02956	rpt:Rpal_0437
ko:K03177	rpt:Rpal_0438
ko:K02834	rpt:Rpal_0439
ko:K02519	rpt:Rpal_0440
ko:K07742	rpt:Rpal_0441
ko:K09748	rpt:Rpal_0443
ko:K03439	rpt:Rpal_0446
ko:K07042	rpt:Rpal_0450
ko:K06217	rpt:Rpal_0451
ko:K01867	rpt:Rpal_0459
ko:K03980	rpt:Rpal_0460
ko:K00135	rpt:Rpal_0465
ko:K02050	rpt:Rpal_0469
ko:K02049	rpt:Rpal_0470
ko:K02051	rpt:Rpal_0471
ko:K01999	rpt:Rpal_0486
ko:K07736	rpt:Rpal_0489
ko:K04762	rpt:Rpal_0491
ko:K04047	rpt:Rpal_1521
ko:K03089	rpt:Rpal_1525
ko:K06199	rpt:Rpal_1527
ko:K06199	rpt:Rpal_1528
ko:K07799	rpt:Rpal_1530
ko:K00156	rpt:Rpal_1531
ko:K00425	rpt:Rpal_1533
ko:K00426	rpt:Rpal_1534
ko:K01679	rpt:Rpal_1545
ko:K00116	rpt:Rpal_1548
ko:K02182	rpt:Rpal_1553
ko:K07395	rpt:Rpal_2468
ko:K00769	rpt:Rpal_2473
ko:K00549	rpt:Rpal_2475
ko:K07007	rpt:Rpal_2481
ko:K09768	rpt:Rpal_2485
ko:K01999	rpt:Rpal_2487
ko:K02427	rpt:Rpal_2491
ko:K00088	rpt:Rpal_2495
ko:K07119	rpt:Rpal_2496
ko:K01951	rpt:Rpal_2498
ko:K03312	rpt:Rpal_2504
ko:K00873	rpt:Rpal_2513
ko:K01995	rpt:Rpal_2517
ko:K01996	rpt:Rpal_2518
ko:K01997	rpt:Rpal_2519
ko:K01998	rpt:Rpal_2520
ko:K07220	rpt:Rpal_2522
ko:K03306	rpt:Rpal_2523
ko:K02837	rpt:Rpal_2527
ko:K03704	rpt:Rpal_3463
ko:K00940	rpt:Rpal_3466
ko:K06158	rpt:Rpal_3467
ko:K02339	rpt:Rpal_3469
ko:K01255	rpt:Rpal_3470
ko:K07091	rpt:Rpal_3471
ko:K04744	rpt:Rpal_3473
ko:K03771	rpt:Rpal_3474
ko:K00097	rpt:Rpal_3475
ko:K02528	rpt:Rpal_3476
ko:K00942	rpt:Rpal_3479
ko:K07082	rpt:Rpal_3481
ko:K09458	rpt:Rpal_3482
ko:K02078	rpt:Rpal_3483
ko:K00645	rpt:Rpal_3485
ko:K02990	rpt:Rpal_3487
ko:K02963	rpt:Rpal_3488
ko:K02939	rpt:Rpal_3490
ko:K00574	rpt:Rpal_3492
ko:K02314	rpt:Rpal_3494
ko:K01775	rpt:Rpal_3495
ko:K04485	rpt:Rpal_3499
ko:K02844	rpt:Rpal_2805
ko:K01968	rpt:Rpal_2809
ko:K01640	rpt:Rpal_2810
ko:K06894	rpt:Rpal_2823
ko:K09969	rpt:Rpal_2832
ko:K09970	rpt:Rpal_2833
ko:K09971	rpt:Rpal_2834
ko:K09972	rpt:Rpal_2835
ko:K01738	rpt:Rpal_2837
ko:K07313	rpt:Rpal_3775
ko:K01991	rpt:Rpal_3782
ko:K01996	rpt:Rpal_3826
ko:K00697	rpt:Rpal_3836
ko:K00831	rpt:Rpal_4790
ko:K08223	rpt:Rpal_4797
ko:K03431	rpt:Rpal_4798
ko:K00101	rpt:Rpal_4800
ko:K00014	rpt:Rpal_4803
ko:K02355	rpt:Rpal_4806
ko:K03702	rpt:Rpal_4824
ko:K02045	rpt:Rpal_0818
ko:K01962	rpt:Rpal_0509
ko:K00164	rpt:Rpal_0184
ko:K01902	rpt:Rpal_0185
ko:K01903	rpt:Rpal_0186
ko:K06916	rpt:Rpal_0188
ko:K01975	rpt:Rpal_0189
ko:K02003	rpt:Rpal_0191
ko:K03823	rpt:Rpal_0196
ko:K01681	rpt:Rpal_0199
ko:K02193	rpt:Rpal_0200
ko:K02194	rpt:Rpal_0201
ko:K02195	rpt:Rpal_0202
ko:K02199	rpt:Rpal_0204
ko:K06190	rpt:Rpal_0206
ko:K03110	rpt:Rpal_0207
ko:K00240	rpt:Rpal_0215
ko:K00239	rpt:Rpal_0216
ko:K00242	rpt:Rpal_0217
ko:K00241	rpt:Rpal_0218
ko:K00052	rpt:Rpal_0226
ko:K00133	rpt:Rpal_0229
ko:K01704	rpt:Rpal_0234
ko:K01703	rpt:Rpal_0240
ko:K02884	rpt:Rpal_0242
ko:K00554	rpt:Rpal_0243
ko:K02860	rpt:Rpal_0244
ko:K03106	rpt:Rpal_0246
ko:K02342	rpt:Rpal_1138
ko:K07020	rpt:Rpal_1145
ko:K06281	rpt:Rpal_1155
ko:K03620	rpt:Rpal_1156
ko:K03192	rpt:Rpal_1158
ko:K04653	rpt:Rpal_1159
ko:K03619	rpt:Rpal_1160
ko:K03618	rpt:Rpal_1161
ko:K04656	rpt:Rpal_1167
ko:K04653	rpt:Rpal_1168
ko:K04654	rpt:Rpal_1169
ko:K04655	rpt:Rpal_1170
ko:K01915	rpt:Rpal_1176
ko:K01999	rpt:Rpal_1177
ko:K01997	rpt:Rpal_1178
ko:K01998	rpt:Rpal_1179
ko:K01995	rpt:Rpal_1180
ko:K01996	rpt:Rpal_1181
ko:K03813	rpt:Rpal_1194
ko:K02014	rpt:Rpal_2082
ko:K01442	rpt:Rpal_2085
ko:K06904	rpt:Rpal_2095
ko:K02200	rpt:Rpal_2130
ko:K02197	rpt:Rpal_2131
ko:K02198	rpt:Rpal_2132
ko:K02200	rpt:Rpal_2133
ko:K00982	rpt:Rpal_2144
ko:K02259	rpt:Rpal_3097
ko:K01652	rpt:Rpal_3099
ko:K01740	rpt:Rpal_3102
ko:K06929	rpt:Rpal_3103
ko:K02871	rpt:Rpal_3106
ko:K02996	rpt:Rpal_3107
ko:K03642	rpt:Rpal_3111
ko:K07258	rpt:Rpal_3113
ko:K00943	rpt:Rpal_3114
ko:K02341	rpt:Rpal_3115
ko:K03424	rpt:Rpal_3117
ko:K06167	rpt:Rpal_3118
ko:K05560	rpt:Rpal_3129
ko:K05561	rpt:Rpal_3130
ko:K05562	rpt:Rpal_3131
ko:K05563	rpt:Rpal_3132
ko:K06997	rpt:Rpal_3134
ko:K00600	rpt:Rpal_3135
ko:K00375	rpt:Rpal_3136
ko:K05782	rpt:Rpal_3137
ko:K03657	rpt:Rpal_3142
ko:K01721	rpt:Rpal_3145
ko:K06920	rpt:Rpal_3150
ko:K03153	rpt:Rpal_4092
ko:K03154	rpt:Rpal_4093
ko:K03149	rpt:Rpal_4094
ko:K00788	rpt:Rpal_4095
ko:K03147	rpt:Rpal_4096
ko:K03594	rpt:Rpal_4120
ko:K09803	rpt:Rpal_4127
ko:K09989	rpt:Rpal_4135
ko:K07461	rpt:Rpal_4146
ko:K00432	rpt:Rpal_4148
ko:K06995	rpt:Rpal_5081
ko:K00313	rpt:Rpal_5084
ko:K03522	rpt:Rpal_5085
ko:K03521	rpt:Rpal_5086
ko:K02595	rpt:Rpal_5087
ko:K02596	rpt:Rpal_5096
ko:K02587	rpt:Rpal_5098
ko:K02593	rpt:Rpal_5104
ko:K02597	rpt:Rpal_5105
ko:K02597	rpt:Rpal_5106
ko:K02585	rpt:Rpal_5111
ko:K02584	rpt:Rpal_5113
ko:K04759	rpt:Rpal_5116
ko:K03466	rpt:Rpal_0282
ko:K02622	rpt:Rpal_2765
ko:K04047	rpt:Rpal_3094
ko:K04047	rpt:Rpal_1468
ko:K01756	rpt:Rpal_4343
ko:K06138	rpt:Rpal_2160
ko:K11688	rpt:Rpal_2260
ko:K01420	rpt:Rpal_4713
ko:K03118	rpt:Rpal_3187
ko:K03117	rpt:Rpal_3188
ko:K03116	rpt:Rpal_3189
ko:K01887	rpt:Rpal_3194
ko:K01129	rpt:Rpal_3195
ko:K01142	rpt:Rpal_3202
ko:K00382	rpt:Rpal_3205
ko:K00627	rpt:Rpal_3206
ko:K00033	rpt:Rpal_4156
ko:K00036	rpt:Rpal_4157
ko:K01057	rpt:Rpal_4158
ko:K00851	rpt:Rpal_4159
ko:K00705	rpt:Rpal_4162
ko:K00700	rpt:Rpal_4165
ko:K01236	rpt:Rpal_4167
ko:K06044	rpt:Rpal_4168
ko:K03752	rpt:Rpal_4175
ko:K03188	rpt:Rpal_4179
ko:K03187	rpt:Rpal_4180
ko:K01428	rpt:Rpal_4182
ko:K01429	rpt:Rpal_4184
ko:K01430	rpt:Rpal_4185
ko:K03190	rpt:Rpal_4186
ko:K02518	rpt:Rpal_4193
ko:K03704	rpt:Rpal_4194
ko:K02278	rpt:Rpal_4198
ko:K02279	rpt:Rpal_4199
ko:K02280	rpt:Rpal_4200
ko:K02282	rpt:Rpal_4202
ko:K02283	rpt:Rpal_4203
ko:K01255	rpt:Rpal_4207
ko:K00697	rpt:Rpal_5141
ko:K01649	rpt:Rpal_5146
ko:K03518	rpt:Rpal_5147
ko:K03519	rpt:Rpal_5149
ko:K00451	rpt:Rpal_5153
ko:K04566	rpt:Rpal_5166
ko:K07152	rpt:Rpal_5169
ko:K04101	rpt:Rpal_5183
ko:K01523	rpt:Rpal_5186
ko:K01476	rpt:Rpal_5210
ko:K02057	rpt:Rpal_5057
ko:K01419	rpt:Rpal_0310
ko:K01693	rpt:Rpal_0311
ko:K02501	rpt:Rpal_0313
ko:K01814	rpt:Rpal_0314
ko:K02500	rpt:Rpal_0315
ko:K01523	rpt:Rpal_0316
ko:K00867	rpt:Rpal_0317
ko:K07391	rpt:Rpal_0320
ko:K01920	rpt:Rpal_0324
ko:K07460	rpt:Rpal_0325
ko:K07056	rpt:Rpal_0326
ko:K00989	rpt:Rpal_0332
ko:K03705	rpt:Rpal_0333
ko:K03687	rpt:Rpal_0334
ko:K04043	rpt:Rpal_0336
ko:K01591	rpt:Rpal_0340
ko:K10773	rpt:Rpal_0346
ko:K07458	rpt:Rpal_0353
ko:K03596	rpt:Rpal_0355
ko:K07226	rpt:Rpal_0362
ko:K07566	rpt:Rpal_1267
ko:K01759	rpt:Rpal_2799
ko:K01874	rpt:Rpal_3116
ko:K01890	rpt:Rpal_0036
ko:K00567	rpt:Rpal_5247
ko:K00819	rpt:Rpal_4253
ko:K04518	rpt:Rpal_4217
ko:K00821	rpt:Rpal_5259
ko:K01895	rpt:Rpal_0209
ko:K01847	rpt:Rpal_2039
ko:K07222	rpt:Rpal_2511
ko:K03316	rpt:Rpal_0521
ko:K07090	rpt:Rpal_0115
ko:K01720	rpt:Rpal_2646
ko:K07090	rpt:Rpal_1204
ko:K07090	rpt:Rpal_2075
ko:K01601	rpt:Rpal_2462
ko:K01897	rpt:Rpal_4746
ko:K07090	rpt:Rpal_2422
ko:K07090	rpt:Rpal_0881
ko:K07090	rpt:Rpal_0368
ko:K07090	rpt:Rpal_1898
ko:K00868	rpt:Rpal_3138
ko:K01091	rpt:Rpal_2193
ko:K06998	rpt:Rpal_3592
ko:K09807	rpt:Rpal_0249
ko:K01778	rpt:Rpal_0251
ko:K00057	rpt:Rpal_0255
ko:K01409	rpt:Rpal_0256
ko:K01719	rpt:Rpal_0257
ko:K05838	rpt:Rpal_0268
ko:K07157	rpt:Rpal_0269
ko:K09791	rpt:Rpal_0270
ko:K03185	rpt:Rpal_0271
ko:K10805	rpt:Rpal_0272
ko:K04752	rpt:Rpal_0275
ko:K03320	rpt:Rpal_0276
ko:K04752	rpt:Rpal_0277
ko:K03320	rpt:Rpal_0278
ko:K01142	rpt:Rpal_0284
ko:K06997	rpt:Rpal_0288
ko:K01869	rpt:Rpal_0290
ko:K02340	rpt:Rpal_0292
ko:K03501	rpt:Rpal_0295
ko:K03495	rpt:Rpal_0296
ko:K03650	rpt:Rpal_0297
ko:K03628	rpt:Rpal_0298
ko:K08973	rpt:Rpal_0299
ko:K09773	rpt:Rpal_0300
ko:K06287	rpt:Rpal_0301
ko:K00859	rpt:Rpal_0302
ko:K02342	rpt:Rpal_0303
ko:K03071	rpt:Rpal_0304
ko:K08304	rpt:Rpal_0306
ko:K03667	rpt:Rpal_0308
ko:K03303	rpt:Rpal_1327
ko:K04077	rpt:Rpal_1331
ko:K04078	rpt:Rpal_1332
ko:K00765	rpt:Rpal_1340
ko:K02502	rpt:Rpal_1341
ko:K09761	rpt:Rpal_1342
ko:K03179	rpt:Rpal_1344
ko:K03592	rpt:Rpal_1346
ko:K02527	rpt:Rpal_1349
ko:K00912	rpt:Rpal_1350
ko:K03601	rpt:Rpal_1352
ko:K01945	rpt:Rpal_1353
ko:K06178	rpt:Rpal_1356
ko:K07320	rpt:Rpal_1358
ko:K03635	rpt:Rpal_1359
ko:K03703	rpt:Rpal_1362
ko:K03704	rpt:Rpal_1364
ko:K07115	rpt:Rpal_1365
ko:K03413	rpt:Rpal_1366
ko:K01821	rpt:Rpal_1368
ko:K01892	rpt:Rpal_1369
ko:K00822	rpt:Rpal_1370
ko:K03924	rpt:Rpal_1376
ko:K09986	rpt:Rpal_1377
ko:K03216	rpt:Rpal_1383
ko:K00411	rpt:Rpal_1384
ko:K07507	rpt:Rpal_2287
ko:K00343	rpt:Rpal_3285
ko:K00342	rpt:Rpal_3286
ko:K00341	rpt:Rpal_3287
ko:K00340	rpt:Rpal_3288
ko:K00339	rpt:Rpal_3289
ko:K00338	rpt:Rpal_3290
ko:K00337	rpt:Rpal_3291
ko:K00336	rpt:Rpal_3292
ko:K00335	rpt:Rpal_3293
ko:K00334	rpt:Rpal_3295
ko:K00333	rpt:Rpal_3297
ko:K00332	rpt:Rpal_3298
ko:K00331	rpt:Rpal_3299
ko:K08602	rpt:Rpal_4665
ko:K09948	rpt:Rpal_4671
ko:K00873	rpt:Rpal_4673
ko:K02919	rpt:Rpal_4677
ko:K07001	rpt:Rpal_4688
ko:K01915	rpt:Rpal_4690
ko:K01425	rpt:Rpal_4692
ko:K00381	rpt:Rpal_4694
ko:K01638	rpt:Rpal_4697
ko:K03088	rpt:Rpal_4706
ko:K03189	rpt:Rpal_4708
ko:K06907	rpt:Rpal_0691
ko:K06908	rpt:Rpal_0692
ko:K06906	rpt:Rpal_0696
ko:K03088	rpt:Rpal_0706
ko:K02406	rpt:Rpal_0707
ko:K02407	rpt:Rpal_0708
ko:K02422	rpt:Rpal_0709
ko:K02389	rpt:Rpal_0711
ko:K02390	rpt:Rpal_0712
ko:K02396	rpt:Rpal_0715
ko:K02397	rpt:Rpal_0716
ko:K01996	rpt:Rpal_0732
ko:K01995	rpt:Rpal_0733
ko:K01998	rpt:Rpal_0733
ko:K01997	rpt:Rpal_0734
ko:K01999	rpt:Rpal_0735
ko:K01993	rpt:Rpal_0748
ko:K00528	rpt:Rpal_1766
ko:K08990	rpt:Rpal_1771
ko:K06918	rpt:Rpal_1772
ko:K02488	rpt:Rpal_3541
ko:K02042	rpt:Rpal_0766
ko:K02044	rpt:Rpal_0767
ko:K02041	rpt:Rpal_0768
ko:K06162	rpt:Rpal_0770
ko:K07019	rpt:Rpal_0772
ko:K03926	rpt:Rpal_0777
ko:K06910	rpt:Rpal_0780
ko:K04719	rpt:Rpal_0782
ko:K00768	rpt:Rpal_0783
ko:K02231	rpt:Rpal_0785
ko:K02234	rpt:Rpal_0786
ko:K02230	rpt:Rpal_0787
ko:K02232	rpt:Rpal_0789
ko:K02227	rpt:Rpal_0790
ko:K02225	rpt:Rpal_0792
ko:K02013	rpt:Rpal_0793
ko:K02015	rpt:Rpal_0794
ko:K07241	rpt:Rpal_0795
ko:K00127	rpt:Rpal_0803
ko:K00123	rpt:Rpal_0805
ko:K02379	rpt:Rpal_0806
ko:K00126	rpt:Rpal_0807
ko:K07161	rpt:Rpal_0813
ko:K04040	rpt:Rpal_1719
ko:K08226	rpt:Rpal_1720
ko:K10960	rpt:Rpal_1721
ko:K08738	rpt:Rpal_1724
ko:K04039	rpt:Rpal_1731
ko:K03428	rpt:Rpal_1734
ko:K08226	rpt:Rpal_1735
ko:K00643	rpt:Rpal_1742
ko:K01601	rpt:Rpal_1747
ko:K01602	rpt:Rpal_1748
ko:K01997	rpt:Rpal_1753
ko:K01995	rpt:Rpal_1754
ko:K01998	rpt:Rpal_1754
ko:K01996	rpt:Rpal_1755
ko:K01740	rpt:Rpal_1757
ko:K01354	rpt:Rpal_1758
ko:K01714	rpt:Rpal_1759
ko:K03744	rpt:Rpal_1761
ko:K06872	rpt:Rpal_1762
ko:K01999	rpt:Rpal_2661
ko:K01999	rpt:Rpal_2663
ko:K01997	rpt:Rpal_2664
ko:K01998	rpt:Rpal_2665
ko:K01995	rpt:Rpal_2666
ko:K01996	rpt:Rpal_2667
ko:K02020	rpt:Rpal_2672
ko:K02018	rpt:Rpal_2673
ko:K02072	rpt:Rpal_2680
ko:K02071	rpt:Rpal_2681
ko:K02073	rpt:Rpal_2682
ko:K01912	rpt:Rpal_2684
ko:K02051	rpt:Rpal_2686
ko:K02049	rpt:Rpal_2688
ko:K03306	rpt:Rpal_2689
ko:K00684	rpt:Rpal_2707
ko:K02881	rpt:Rpal_3651
ko:K02933	rpt:Rpal_3652
ko:K02994	rpt:Rpal_3653
ko:K02954	rpt:Rpal_3654
ko:K02931	rpt:Rpal_3655
ko:K02895	rpt:Rpal_3656
ko:K02874	rpt:Rpal_3657
ko:K02961	rpt:Rpal_3658
ko:K02904	rpt:Rpal_3659
ko:K02878	rpt:Rpal_3660
ko:K02982	rpt:Rpal_3661
ko:K02890	rpt:Rpal_3662
ko:K02965	rpt:Rpal_3663
ko:K02886	rpt:Rpal_3664
ko:K02892	rpt:Rpal_3665
ko:K02926	rpt:Rpal_3666
ko:K02906	rpt:Rpal_3667
ko:K02946	rpt:Rpal_3668
ko:K02358	rpt:Rpal_3669
ko:K02355	rpt:Rpal_3670
ko:K02992	rpt:Rpal_3671
ko:K02950	rpt:Rpal_3672
ko:K03046	rpt:Rpal_3686
ko:K03043	rpt:Rpal_3687
ko:K02935	rpt:Rpal_3688
ko:K02864	rpt:Rpal_3689
ko:K02863	rpt:Rpal_3691
ko:K02867	rpt:Rpal_3692
