ko:K19744	pap:PSPA7_1243
ko:K02909	pap:PSPA7_1540
ko:K02919	pap:PSPA7_1541
ko:K02275	pap:PSPA7_0180
ko:K09903	pap:PSPA7_1485
ko:K02567	pap:PSPA7_4205
ko:K01247	pap:PSPA7_3585
ko:K02601	pap:PSPA7_0825
ko:K03602	pap:PSPA7_1059
ko:K04088	pap:PSPA7_5671
ko:K04087	pap:PSPA7_5670
ko:K07042	pap:PSPA7_1126
ko:K03449	pap:PSPA7_3647
ko:K01952	pap:PSPA7_1354
ko:K00088	pap:PSPA7_1346
ko:K09965	pap:PSPA7_1352
ko:K01443	pap:PSPA7_1360
ko:K03710	pap:PSPA7_1361
ko:K06938	pap:PSPA7_1366
ko:K08289	pap:PSPA7_1367
ko:K03106	pap:PSPA7_1373
ko:K02860	pap:PSPA7_1375
ko:K00554	pap:PSPA7_1376
ko:K03981	pap:PSPA7_1382
ko:K01733	pap:PSPA7_1384
ko:K05936	pap:PSPA7_2213
ko:K02189	pap:PSPA7_2214
ko:K02230	pap:PSPA7_2219
ko:K01626	pap:PSPA7_2220
ko:K03435	pap:PSPA7_1582
ko:K03652	pap:PSPA7_1099
ko:K02015	pap:PSPA7_2240
ko:K02016	pap:PSPA7_2241
ko:K02013	pap:PSPA7_2242
ko:K02014	pap:PSPA7_2243
ko:K05895	pap:PSPA7_2245
ko:K03088	pap:PSPA7_2258
ko:K10441	pap:PSPA7_3345
ko:K00882	pap:PSPA7_1584
ko:K00012	pap:PSPA7_1586
ko:K07234	pap:PSPA7_2537
ko:K07084	pap:PSPA7_2547
ko:K03576	pap:PSPA7_1555
ko:K00549	pap:PSPA7_1556
ko:K00111	pap:PSPA7_1559
ko:K02444	pap:PSPA7_1560
ko:K00864	pap:PSPA7_1561
ko:K02440	pap:PSPA7_1562
ko:K00864	pap:PSPA7_1564
ko:K07552	pap:PSPA7_1571
ko:K00140	pap:PSPA7_1574
ko:K01908	pap:PSPA7_1576
ko:K03424	pap:PSPA7_1581
ko:K00927	pap:PSPA7_0655
ko:K03561	pap:PSPA7_2178
ko:K01512	pap:PSPA7_4554
ko:K01546	pap:PSPA7_3640
ko:K03979	pap:PSPA7_5206
ko:K07107	pap:PSPA7_2356
ko:K04754	pap:PSPA7_2357
ko:K00616	pap:PSPA7_2361
ko:K05539	pap:PSPA7_2362
ko:K02170	pap:PSPA7_0602
ko:K02169	pap:PSPA7_0603
ko:K01935	pap:PSPA7_0604
ko:K04748	pap:PSPA7_0621
ko:K01682	pap:PSPA7_3517
ko:K01807	pap:PSPA7_0422
ko:K00833	pap:PSPA7_0520
ko:K00370	pap:PSPA7_1234
ko:K03498	pap:PSPA7_1916
ko:K18094	pap:PSPA7_3269
ko:K18095	pap:PSPA7_3270
ko:K07258	pap:PSPA7_1110
ko:K00127	pap:PSPA7_5529
ko:K00371	pap:PSPA7_1235
ko:K08303	pap:PSPA7_6230
ko:K00859	pap:PSPA7_5165
ko:K00241	pap:PSPA7_3693
ko:K03688	pap:PSPA7_5804
ko:K03185	pap:PSPA7_5966
ko:K00382	pap:PSPA7_2991
ko:K00382	pap:PSPA7_3687
ko:K00627	pap:PSPA7_0935
ko:K08369	pap:PSPA7_1660
ko:K08082	pap:PSPA7_6008
ko:K10763	pap:PSPA7_4562
ko:K11918	pap:PSPA7_2898
ko:K01878	pap:PSPA7_0009
ko:K03551	pap:PSPA7_4541
ko:K00405	pap:PSPA7_3778
ko:K00406	pap:PSPA7_3780
ko:K01610	pap:PSPA7_5935
ko:K03117	pap:PSPA7_5808
ko:K03673	pap:PSPA7_6288
ko:K03092	pap:PSPA7_5035
ko:K03683	pap:PSPA7_1619
ko:K01851	pap:PSPA7_0869
ko:K08083	pap:PSPA7_6007
ko:K03814	pap:PSPA7_0477
ko:K07646	pap:PSPA7_3716
ko:K02654	pap:PSPA7_5164
ko:K03596	pap:PSPA7_4752
ko:K03407	pap:PSPA7_3868
ko:K07091	pap:PSPA7_1283
ko:K07093	pap:PSPA7_2572
ko:K01637	pap:PSPA7_2573
ko:K01756	pap:PSPA7_2578
ko:K07153	pap:PSPA7_2580
ko:K00566	pap:PSPA7_2581
ko:K03704	pap:PSPA7_2585
ko:K02518	pap:PSPA7_2588
ko:K00684	pap:PSPA7_2590
ko:K00384	pap:PSPA7_2591
ko:K01875	pap:PSPA7_2596
ko:K03611	pap:PSPA7_0641
ko:K00789	pap:PSPA7_0649
ko:K02231	pap:PSPA7_4112
ko:K09930	pap:PSPA7_1837
ko:K09458	pap:PSPA7_4011
ko:K03406	pap:PSPA7_2548
ko:K09922	pap:PSPA7_3751
ko:K09936	pap:PSPA7_5534
ko:K03546	pap:PSPA7_4849
ko:K02909	pap:PSPA7_5786
ko:K06213	pap:PSPA7_4599
ko:K07216	pap:PSPA7_3599
ko:K01658	pap:PSPA7_0790
ko:K06206	pap:PSPA7_5437
ko:K02502	pap:PSPA7_5668
ko:K03654	pap:PSPA7_1786
ko:K00528	pap:PSPA7_1733
ko:K02622	pap:PSPA7_5696
ko:K02469	pap:PSPA7_1961
ko:K02621	pap:PSPA7_5693
ko:K03470	pap:PSPA7_1497
ko:K03469	pap:PSPA7_3481
ko:K00350	pap:PSPA7_2164
ko:K00351	pap:PSPA7_2165
ko:K03168	pap:PSPA7_2148
ko:K04063	pap:PSPA7_0059
ko:K01955	pap:PSPA7_5476
ko:K03495	pap:PSPA7_6367
ko:K03501	pap:PSPA7_6366
ko:K03736	pap:PSPA7_1081
ko:K03640	pap:PSPA7_4535
ko:K02305	pap:PSPA7_0624
ko:K01657	pap:PSPA7_4397
ko:K02406	pap:PSPA7_4279
ko:K02871	pap:PSPA7_5005
ko:K02556	pap:PSPA7_3866
ko:K03168	pap:PSPA7_4465
ko:K02874	pap:PSPA7_0847
ko:K02895	pap:PSPA7_0848
ko:K02933	pap:PSPA7_0852
ko:K02110	pap:PSPA7_6361
ko:K02113	pap:PSPA7_6359
ko:K01483	pap:PSPA7_3821
ko:K03687	pap:PSPA7_5482
ko:K02956	pap:PSPA7_5458
ko:K03075	pap:PSPA7_5467
ko:K00957	pap:PSPA7_5015
ko:K03186	pap:PSPA7_1090
ko:K10805	pap:PSPA7_1166
ko:K03569	pap:PSPA7_5095
ko:K05366	pap:PSPA7_5782
ko:K08296	pap:PSPA7_3657
ko:K01652	pap:PSPA7_5410
ko:K03641	pap:PSPA7_4536
ko:K02487	pap:PSPA7_0513
ko:K06596	pap:PSPA7_0513
ko:K03977	pap:PSPA7_1315
ko:K03530	pap:PSPA7_1168
ko:K00901	pap:PSPA7_1538
ko:K03574	pap:PSPA7_2466
ko:K03760	pap:PSPA7_3323
ko:K02825	pap:PSPA7_0503
ko:K02493	pap:PSPA7_5313
ko:K06042	pap:PSPA7_2249
ko:K03835	pap:PSPA7_6222
ko:K02421	pap:PSPA7_3879
ko:K00404	pap:PSPA7_3773
ko:K03183	pap:PSPA7_5802
ko:K02837	pap:PSPA7_1202
ko:K00648	pap:PSPA7_4286
ko:K01652	pap:PSPA7_0913
ko:K00253	pap:PSPA7_3274
ko:K02258	pap:PSPA7_0182
ko:K03555	pap:PSPA7_1519
ko:K06076	pap:PSPA7_4102
ko:K03500	pap:PSPA7_0018
ko:K02401	pap:PSPA7_3878
ko:K03413	pap:PSPA7_3871
ko:K00798	pap:PSPA7_4970
ko:K02238	pap:PSPA7_2177
ko:K02434	pap:PSPA7_5098
ko:K02433	pap:PSPA7_5097
ko:K02435	pap:PSPA7_5096
ko:K02160	pap:PSPA7_5567
ko:K02400	pap:PSPA7_3875
ko:K02404	pap:PSPA7_3874
ko:K04562	pap:PSPA7_3873
ko:K04754	pap:PSPA7_1886
ko:K06192	pap:PSPA7_5396
ko:K03808	pap:PSPA7_5397
ko:K03808	pap:PSPA7_5398
ko:K03406	pap:PSPA7_5811
ko:K06968	pap:PSPA7_3767
ko:K02405	pap:PSPA7_3872
ko:K03923	pap:PSPA7_2636
ko:K09811	pap:PSPA7_0470
ko:K02055	pap:PSPA7_1875
ko:K02054	pap:PSPA7_1873
ko:K02053	pap:PSPA7_1872
ko:K02052	pap:PSPA7_1871
ko:K09857	pap:PSPA7_5692
ko:K03624	pap:PSPA7_5475
ko:K00525	pap:PSPA7_6298
ko:K08591	pap:PSPA7_0724
ko:K02834	pap:PSPA7_5461
ko:K09748	pap:PSPA7_5464
ko:K06446	pap:PSPA7_3642
ko:K02967	pap:PSPA7_1483
ko:K02426	pap:PSPA7_1471
ko:K02675	pap:PSPA7_5195
ko:K01056	pap:PSPA7_5322
ko:K02494	pap:PSPA7_5317
ko:K06204	pap:PSPA7_5439
ko:K03571	pap:PSPA7_5093
ko:K03801	pap:PSPA7_1112
ko:K01659	pap:PSPA7_4723
ko:K02970	pap:PSPA7_0722
ko:K09117	pap:PSPA7_0721
ko:K09912	pap:PSPA7_4573
ko:K09888	pap:PSPA7_5970
ko:K03040	pap:PSPA7_0862
ko:K03578	pap:PSPA7_1827
ko:K07478	pap:PSPA7_2595
ko:K03634	pap:PSPA7_2594
ko:K08963	pap:PSPA7_1960
ko:K01430	pap:PSPA7_5586
ko:K01104	pap:PSPA7_2183
ko:K09928	pap:PSPA7_2176
ko:K09810	pap:PSPA7_2174
ko:K03587	pap:PSPA7_4990
ko:K03531	pap:PSPA7_4979
ko:K00525	pap:PSPA7_4224
ko:K01548	pap:PSPA7_3638
ko:K01657	pap:PSPA7_0753
ko:K02931	pap:PSPA7_0849
ko:K02965	pap:PSPA7_0841
ko:K00324	pap:PSPA7_0275
ko:K02066	pap:PSPA7_1915
ko:K00931	pap:PSPA7_5205
ko:K09800	pap:PSPA7_2695
ko:K03628	pap:PSPA7_5982
ko:K00013	pap:PSPA7_5020
ko:K02297	pap:PSPA7_4073
ko:K03560	pap:PSPA7_4538
ko:K05810	pap:PSPA7_5182
ko:K01595	pap:PSPA7_1451
ko:K00762	pap:PSPA7_6107
ko:K03089	pap:PSPA7_0471
ko:K03110	pap:PSPA7_0468
ko:K06189	pap:PSPA7_1125
ko:K03701	pap:PSPA7_0866
ko:K02340	pap:PSPA7_1119
ko:K03582	pap:PSPA7_4851
ko:K03583	pap:PSPA7_4852
ko:K03581	pap:PSPA7_4850
ko:K03702	pap:PSPA7_1990
ko:K03703	pap:PSPA7_2614
ko:K03657	pap:PSPA7_6233
ko:K03685	pap:PSPA7_4749
ko:K02879	pap:PSPA7_0863
ko:K02336	pap:PSPA7_3400
ko:K01703	pap:PSPA7_2012
ko:K00766	pap:PSPA7_0791
ko:K07568	pap:PSPA7_1289
ko:K02881	pap:PSPA7_0853
ko:K06131	pap:PSPA7_6180
ko:K02276	pap:PSPA7_0183
ko:K03271	pap:PSPA7_4997
ko:K02669	pap:PSPA7_0495
ko:K03073	pap:PSPA7_0824
ko:K08973	pap:PSPA7_0802
ko:K03625	pap:PSPA7_1049
ko:K00600	pap:PSPA7_5243
ko:K02221	pap:PSPA7_0492
ko:K06916	pap:PSPA7_5010
ko:K00411	pap:PSPA7_5003
ko:K04044	pap:PSPA7_1303
ko:K03177	pap:PSPA7_5460
ko:K02919	pap:PSPA7_0858
ko:K02948	pap:PSPA7_0860
ko:K02986	pap:PSPA7_0861
ko:K03629	pap:PSPA7_0003
ko:K03655	pap:PSPA7_6122
ko:K01426	pap:PSPA7_4912
ko:K02528	pap:PSPA7_0736
ko:K02835	pap:PSPA7_5314
ko:K03550	pap:PSPA7_4542
ko:K01159	pap:PSPA7_4543
ko:K03179	pap:PSPA7_6135
ko:K03575	pap:PSPA7_5884
ko:K03648	pap:PSPA7_4770
ko:K02455	pap:PSPA7_2031
ko:K02454	pap:PSPA7_2030
ko:K02461	pap:PSPA7_2037
ko:K06917	pap:PSPA7_3629
ko:K03666	pap:PSPA7_5673
ko:K01956	pap:PSPA7_5478
ko:K00526	pap:PSPA7_4225
ko:K08484	pap:PSPA7_0430
ko:K03562	pap:PSPA7_4539
ko:K02902	pap:PSPA7_6092
ko:K07259	pap:PSPA7_2091
ko:K03498	pap:PSPA7_0016
ko:K00344	pap:PSPA7_0024
ko:K01997	pap:PSPA7_4304
ko:K03111	pap:PSPA7_4462
ko:K05799	pap:PSPA7_5489
ko:K02114	pap:PSPA7_6355
ko:K09458	pap:PSPA7_2196
ko:K02563	pap:PSPA7_4984
ko:K02030	pap:PSPA7_0556
ko:K00059	pap:PSPA7_1010
ko:K03975	pap:PSPA7_1076
ko:K10764	pap:PSPA7_2026
ko:K02661	pap:PSPA7_0512
ko:K06187	pap:PSPA7_3799
ko:K07657	pap:PSPA7_6138
ko:K02111	pap:PSPA7_6358
ko:K03694	pap:PSPA7_2587
ko:K02313	pap:PSPA7_0001
ko:K03427	pap:PSPA7_0075
ko:K10816	pap:PSPA7_3101
ko:K10815	pap:PSPA7_3102
ko:K10814	pap:PSPA7_3103
ko:K03617	pap:PSPA7_1640
ko:K07447	pap:PSPA7_0504
ko:K03613	pap:PSPA7_1635
ko:K07001	pap:PSPA7_3633
ko:K02676	pap:PSPA7_2201
ko:K03424	pap:PSPA7_2202
ko:K02380	pap:PSPA7_5528
ko:K02553	pap:PSPA7_3534
ko:K02624	pap:PSPA7_0233
ko:K03734	pap:PSPA7_2166
ko:K00974	pap:PSPA7_0726
ko:K00970	pap:PSPA7_5444
ko:K03563	pap:PSPA7_4610
ko:K06204	pap:PSPA7_6338
ko:K01998	pap:PSPA7_4305
ko:K03980	pap:PSPA7_5202
ko:K03781	pap:PSPA7_3160
ko:K06223	pap:PSPA7_2376
ko:K09812	pap:PSPA7_0469
ko:K03154	pap:PSPA7_0479
ko:K03149	pap:PSPA7_0480
ko:K03439	pap:PSPA7_0481
ko:K00641	pap:PSPA7_0489
ko:K00432	pap:PSPA7_2329
ko:K06923	pap:PSPA7_2332
ko:K00681	pap:PSPA7_0455
ko:K00154	pap:PSPA7_0460
ko:K07019	pap:PSPA7_0463
ko:K08316	pap:PSPA7_0465
ko:K01153	pap:PSPA7_0077
ko:K09761	pap:PSPA7_0519
ko:K01251	pap:PSPA7_0532
ko:K02014	pap:PSPA7_0535
ko:K01464	pap:PSPA7_0543
ko:K06016	pap:PSPA7_0547
ko:K00252	pap:PSPA7_0549
ko:K03306	pap:PSPA7_0552
ko:K07403	pap:PSPA7_0553
ko:K05591	pap:PSPA7_0558
ko:K03704	pap:PSPA7_0559
ko:K03696	pap:PSPA7_0564
ko:K07663	pap:PSPA7_0568
ko:K06143	pap:PSPA7_0570
ko:K02014	pap:PSPA7_0576
ko:K02457	pap:PSPA7_1412
ko:K02836	pap:PSPA7_1437
ko:K00939	pap:PSPA7_1452
ko:K09914	pap:PSPA7_1465
ko:K03924	pap:PSPA7_2279
ko:K03424	pap:PSPA7_2288
ko:K04760	pap:PSPA7_2295
ko:K02003	pap:PSPA7_2297
ko:K09927	pap:PSPA7_2311
ko:K01626	pap:PSPA7_2312
ko:K05592	pap:PSPA7_2315
ko:K03799	pap:PSPA7_2325
ko:K02224	pap:PSPA7_4117
ko:K07637	pap:PSPA7_4199
ko:K07673	pap:PSPA7_1230
ko:K07665	pap:PSPA7_5607
ko:K01962	pap:PSPA7_1500
ko:K02303	pap:PSPA7_3528
ko:K02072	pap:PSPA7_2911
ko:K02071	pap:PSPA7_2912
ko:K02073	pap:PSPA7_2913
ko:K00075	pap:PSPA7_2184
ko:K04773	pap:PSPA7_2188
ko:K07040	pap:PSPA7_2190
ko:K02911	pap:PSPA7_2191
ko:K03621	pap:PSPA7_2192
ko:K00645	pap:PSPA7_2193
ko:K02078	pap:PSPA7_2195
ko:K07082	pap:PSPA7_2198
ko:K00943	pap:PSPA7_2199
ko:K09986	pap:PSPA7_2207
ko:K00311	pap:PSPA7_2208
ko:K03521	pap:PSPA7_2209
ko:K03522	pap:PSPA7_2210
ko:K01915	pap:PSPA7_0387
ko:K07010	pap:PSPA7_0388
ko:K01915	pap:PSPA7_0389
ko:K11073	pap:PSPA7_0392
ko:K07147	pap:PSPA7_5406
ko:K00053	pap:PSPA7_5408
ko:K07028	pap:PSPA7_5417
ko:K02013	pap:PSPA7_5422
ko:K02015	pap:PSPA7_5423
ko:K02016	pap:PSPA7_5424
ko:K07225	pap:PSPA7_5425
ko:K03650	pap:PSPA7_6368
ko:K03217	pap:PSPA7_6369
ko:K03536	pap:PSPA7_6370
ko:K02914	pap:PSPA7_6371
ko:K02452	pap:PSPA7_3421
ko:K02020	pap:PSPA7_3427
ko:K02018	pap:PSPA7_3428
ko:K02769	pap:PSPA7_1585
ko:K02770	pap:PSPA7_1585
ko:K02806	pap:PSPA7_5037
ko:K03497	pap:PSPA7_6364
ko:K05597	pap:PSPA7_4048
ko:K02108	pap:PSPA7_6362
ko:K02109	pap:PSPA7_6360
ko:K00344	pap:PSPA7_5977
ko:K01754	pap:PSPA7_0423
ko:K08311	pap:PSPA7_0429
ko:K00560	pap:PSPA7_0436
ko:K01126	pap:PSPA7_0440
ko:K00287	pap:PSPA7_0443
ko:K07095	pap:PSPA7_0444
ko:K01687	pap:PSPA7_0446
ko:K06969	pap:PSPA7_0447
ko:K03609	pap:PSPA7_1881
ko:K11250	pap:PSPA7_5477
ko:K09969	pap:PSPA7_1253
ko:K01004	pap:PSPA7_1254
ko:K07461	pap:PSPA7_1257
ko:K06899	pap:PSPA7_1262
ko:K03300	pap:PSPA7_1271
ko:K06970	pap:PSPA7_1273
ko:K05833	pap:PSPA7_1275
ko:K05832	pap:PSPA7_1276
ko:K00134	pap:PSPA7_2158
ko:K05952	pap:PSPA7_2168
ko:K00322	pap:PSPA7_2169
ko:K01126	pap:PSPA7_2170
ko:K09808	pap:PSPA7_2173
ko:K09808	pap:PSPA7_2175
ko:K03559	pap:PSPA7_2179
ko:K00912	pap:PSPA7_2180
ko:K09791	pap:PSPA7_2181
ko:K00979	pap:PSPA7_2182
ko:K02012	pap:PSPA7_5394
ko:K00163	pap:PSPA7_5751
ko:K01028	pap:PSPA7_3295
ko:K01029	pap:PSPA7_3294
ko:K02112	pap:PSPA7_6356
ko:K07402	pap:PSPA7_3811
ko:K09980	pap:PSPA7_1387
ko:K09902	pap:PSPA7_4096
ko:K06136	pap:PSPA7_3308
ko:K06137	pap:PSPA7_3307
ko:K06138	pap:PSPA7_3306
ko:K06139	pap:PSPA7_3305
ko:K08195	pap:PSPA7_0321
ko:K03614	pap:PSPA7_1637
ko:K01995	pap:PSPA7_4306
ko:K03585	pap:PSPA7_0525
ko:K01154	pap:PSPA7_0076
ko:K03565	pap:PSPA7_1524
ko:K05524	pap:PSPA7_1518
ko:K02230	pap:PSPA7_3363
ko:K03741	pap:PSPA7_2962
ko:K00457	pap:PSPA7_4652
ko:K07396	pap:PSPA7_4660
ko:K07146	pap:PSPA7_4661
ko:K09924	pap:PSPA7_4663
ko:K03192	pap:PSPA7_5617
ko:K03088	pap:PSPA7_5619
ko:K01576	pap:PSPA7_5624
ko:K01996	pap:PSPA7_5634
ko:K01995	pap:PSPA7_5635
ko:K01998	pap:PSPA7_5636
ko:K01997	pap:PSPA7_5637
ko:K01999	pap:PSPA7_5638
ko:K00763	pap:PSPA7_5645
ko:K06966	pap:PSPA7_5649
ko:K03442	pap:PSPA7_5651
ko:K03924	pap:PSPA7_4891
ko:K00873	pap:PSPA7_4898
ko:K03322	pap:PSPA7_4904
ko:K07712	pap:PSPA7_5859
ko:K03216	pap:PSPA7_5861
ko:K03071	pap:PSPA7_5862
ko:K03676	pap:PSPA7_5863
ko:K03797	pap:PSPA7_5869
ko:K09798	pap:PSPA7_5870
ko:K01814	pap:PSPA7_5876
ko:K10680	pap:PSPA7_4051
ko:K01754	pap:PSPA7_4064
ko:K02300	pap:PSPA7_4070
ko:K02299	pap:PSPA7_4071
ko:K05306	pap:PSPA7_4080
ko:K03430	pap:PSPA7_4081
ko:K01354	pap:PSPA7_4087
ko:K03100	pap:PSPA7_4088
ko:K03088	pap:PSPA7_4091
ko:K03684	pap:PSPA7_4097
ko:K02035	pap:PSPA7_5111
ko:K00574	pap:PSPA7_6348
ko:K00820	pap:PSPA7_6350
ko:K03311	pap:PSPA7_3325
ko:K01118	pap:PSPA7_3334
ko:K06153	pap:PSPA7_3337
ko:K03811	pap:PSPA7_3339
ko:K00852	pap:PSPA7_3342
ko:K07007	pap:PSPA7_1159
ko:K00928	pap:PSPA7_4611
ko:K01872	pap:PSPA7_4612
ko:K01620	pap:PSPA7_4613
ko:K05526	pap:PSPA7_4614
ko:K01484	pap:PSPA7_4616
ko:K06447	pap:PSPA7_4617
ko:K00673	pap:PSPA7_4618
ko:K00673	pap:PSPA7_4619
ko:K06987	pap:PSPA7_4623
ko:K03721	pap:PSPA7_4643
ko:K00500	pap:PSPA7_4644
ko:K01724	pap:PSPA7_4645
ko:K07262	pap:PSPA7_4648
ko:K03639	pap:PSPA7_3826
ko:K01608	pap:PSPA7_3829
ko:K01816	pap:PSPA7_3830
ko:K00873	pap:PSPA7_3834
ko:K08717	pap:PSPA7_3835
ko:K02048	pap:PSPA7_3839
ko:K02200	pap:PSPA7_3844
ko:K02200	pap:PSPA7_3845
ko:K02199	pap:PSPA7_3846
ko:K02198	pap:PSPA7_3847
ko:K02197	pap:PSPA7_3848
ko:K02196	pap:PSPA7_3849
ko:K02195	pap:PSPA7_3850
ko:K02194	pap:PSPA7_3851
ko:K02278	pap:PSPA7_4862
ko:K02283	pap:PSPA7_4869
ko:K02282	pap:PSPA7_4870
ko:K02280	pap:PSPA7_4871
ko:K02279	pap:PSPA7_4872
ko:K06915	pap:PSPA7_4875
ko:K06986	pap:PSPA7_4879
ko:K01433	pap:PSPA7_4882
ko:K00808	pap:PSPA7_3061
ko:K00097	pap:PSPA7_3077
ko:K01586	pap:PSPA7_3096
ko:K07119	pap:PSPA7_3099
ko:K10001	pap:PSPA7_4043
ko:K10003	pap:PSPA7_4044
ko:K10002	pap:PSPA7_4045
ko:K10004	pap:PSPA7_4046
ko:K00681	pap:PSPA7_4047
ko:K03978	pap:PSPA7_6291
ko:K09815	pap:PSPA7_6299
ko:K09823	pap:PSPA7_6300
ko:K09817	pap:PSPA7_6301
ko:K09816	pap:PSPA7_6302
ko:K02071	pap:PSPA7_6304
ko:K02072	pap:PSPA7_6305
ko:K02073	pap:PSPA7_6306
ko:K01915	pap:PSPA7_6309
ko:K03455	pap:PSPA7_6319
ko:K01915	pap:PSPA7_6323
ko:K01845	pap:PSPA7_6324
ko:K03455	pap:PSPA7_6330
ko:K03761	pap:PSPA7_6332
ko:K03832	pap:PSPA7_6333
ko:K01465	pap:PSPA7_6343
ko:K07080	pap:PSPA7_6347
ko:K02498	pap:PSPA7_6003
ko:K07636	pap:PSPA7_6139
ko:K02500	pap:PSPA7_1979
ko:K03584	pap:PSPA7_4747
ko:K06940	pap:PSPA7_1477
ko:K00990	pap:PSPA7_1481
ko:K02838	pap:PSPA7_1486
ko:K00806	pap:PSPA7_1487
ko:K00981	pap:PSPA7_1488
ko:K00099	pap:PSPA7_1489
ko:K07277	pap:PSPA7_1491
ko:K06142	pap:PSPA7_1492
ko:K02536	pap:PSPA7_1493
ko:K02372	pap:PSPA7_1494
ko:K00677	pap:PSPA7_1495
ko:K03310	pap:PSPA7_1498
ko:K02357	pap:PSPA7_1484
ko:K01937	pap:PSPA7_1502
ko:K01627	pap:PSPA7_1503
ko:K01689	pap:PSPA7_1504
ko:K05589	pap:PSPA7_1505
ko:K00991	pap:PSPA7_1506
ko:K07112	pap:PSPA7_1508
ko:K01770	pap:PSPA7_1512
ko:K00573	pap:PSPA7_1515
ko:K06194	pap:PSPA7_1516
ko:K03743	pap:PSPA7_1522
ko:K06966	pap:PSPA7_1525
ko:K06445	pap:PSPA7_2342
ko:K01695	pap:PSPA7_0037
ko:K06173	pap:PSPA7_2019
ko:K01704	pap:PSPA7_2013
ko:K01012	pap:PSPA7_0600
