ko:K03457	abn:AB57_1559
ko:K03190	abn:AB57_1091
ko:K01430	abn:AB57_1092
ko:K01429	abn:AB57_1093
ko:K01428	abn:AB57_1094
ko:K03187	abn:AB57_1095
ko:K03188	abn:AB57_1096
ko:K03189	abn:AB57_1097
ko:K03192	abn:AB57_1098
ko:K05515	abn:AB57_1100
ko:K00939	abn:AB57_1103
ko:K10773	abn:AB57_1105
ko:K03616	abn:AB57_1106
ko:K00783	abn:AB57_1110
ko:K01338	abn:AB57_1111
ko:K09895	abn:AB57_1118
ko:K01262	abn:AB57_1119
ko:K03185	abn:AB57_1120
ko:K05596	abn:AB57_1127
ko:K07056	abn:AB57_1129
ko:K07460	abn:AB57_1130
ko:K03517	abn:AB57_0762
ko:K00252	abn:AB57_0766
ko:K05527	abn:AB57_0162
ko:K03975	abn:AB57_0167
ko:K01951	abn:AB57_0170
ko:K00984	abn:AB57_0171
ko:K06911	abn:AB57_0174
ko:K01887	abn:AB57_0178
ko:K07223	abn:AB57_0180
ko:K09816	abn:AB57_0182
ko:K09817	abn:AB57_0183
ko:K09823	abn:AB57_0184
ko:K09815	abn:AB57_0185
ko:K02108	abn:AB57_0187
ko:K02014	abn:AB57_1148
ko:K03683	abn:AB57_1149
ko:K01465	abn:AB57_1150
ko:K01940	abn:AB57_1152
ko:K07160	abn:AB57_1453
ko:K09967	abn:AB57_1464
ko:K09967	abn:AB57_1465
ko:K07722	abn:AB57_1471
ko:K00673	abn:AB57_1174
ko:K00154	abn:AB57_1178
ko:K01706	abn:AB57_1183
ko:K01707	abn:AB57_1185
ko:K00052	abn:AB57_0497
ko:K02518	abn:AB57_0500
ko:K00549	abn:AB57_0782
ko:K00526	abn:AB57_0792
ko:K00525	abn:AB57_0794
ko:K07661	abn:AB57_0796
ko:K01092	abn:AB57_3557
ko:K01104	abn:AB57_2372
ko:K03923	abn:AB57_3603
ko:K03177	abn:AB57_3612
ko:K07645	abn:AB57_2643
ko:K02454	abn:AB57_2646
ko:K00528	abn:AB57_2649
ko:K08303	abn:AB57_2652
ko:K10015	abn:AB57_2657
ko:K10016	abn:AB57_2658
ko:K02884	abn:AB57_3615
ko:K00554	abn:AB57_3616
ko:K02860	abn:AB57_3617
ko:K02959	abn:AB57_3618
ko:K02655	abn:AB57_3619
ko:K02674	abn:AB57_3621
ko:K02672	abn:AB57_3623
ko:K08084	abn:AB57_3625
ko:K03527	abn:AB57_3626
ko:K00942	abn:AB57_3627
ko:K03060	abn:AB57_3628
ko:K02192	abn:AB57_3631
ko:K03594	abn:AB57_3632
ko:K06872	abn:AB57_3636
ko:K03744	abn:AB57_3637
ko:K07044	abn:AB57_3638
ko:K00266	abn:AB57_3639
ko:K01735	abn:AB57_3642
ko:K00891	abn:AB57_3643
ko:K02666	abn:AB57_3644
ko:K00600	abn:AB57_2665
ko:K10857	abn:AB57_2668
ko:K02665	abn:AB57_3645
ko:K02662	abn:AB57_3648
ko:K05366	abn:AB57_3649
ko:K00563	abn:AB57_3650
ko:K01000	abn:AB57_3652
ko:K01929	abn:AB57_3653
ko:K01928	abn:AB57_3654
ko:K03587	abn:AB57_3655
ko:K03586	abn:AB57_3656
ko:K03438	abn:AB57_3657
ko:K02048	abn:AB57_3658
ko:K01885	abn:AB57_3660
ko:K01740	abn:AB57_3673
ko:K01673	abn:AB57_3675
ko:K06959	abn:AB57_3676
ko:K07638	abn:AB57_3678
ko:K01693	abn:AB57_3682
ko:K02501	abn:AB57_3683
ko:K01814	abn:AB57_3687
ko:K02204	abn:AB57_3692
ko:K02500	abn:AB57_3693
ko:K06188	abn:AB57_3696
ko:K05837	abn:AB57_2748
ko:K03642	abn:AB57_2750
ko:K02357	abn:AB57_2755
ko:K02967	abn:AB57_2756
ko:K01265	abn:AB57_2757
ko:K02575	abn:AB57_2759
ko:K00322	abn:AB57_2762
ko:K03644	abn:AB57_2763
ko:K06445	abn:AB57_2764
ko:K01251	abn:AB57_2767
ko:K09761	abn:AB57_2769
ko:K00789	abn:AB57_1761
ko:K00615	abn:AB57_1762
ko:K02437	abn:AB57_1774
ko:K09912	abn:AB57_1779
ko:K07862	abn:AB57_1781
ko:K09966	abn:AB57_1786
ko:K00927	abn:AB57_1787
ko:K01624	abn:AB57_1789
ko:K03771	abn:AB57_1790
ko:K04744	abn:AB57_1791
ko:K07102	abn:AB57_1792
ko:K03501	abn:AB57_1794
ko:K03497	abn:AB57_1796
ko:K03561	abn:AB57_1797
ko:K03559	abn:AB57_1798
ko:K00912	abn:AB57_1800
ko:K02341	abn:AB57_1803
ko:K02676	abn:AB57_1804
ko:K03424	abn:AB57_1805
ko:K02456	abn:AB57_1807
ko:K02459	abn:AB57_1809
ko:K02460	abn:AB57_1810
ko:K06916	abn:AB57_1824
ko:K01638	abn:AB57_1825
ko:K03559	abn:AB57_1827
ko:K03559	abn:AB57_1828
ko:K03561	abn:AB57_1829
ko:K03832	abn:AB57_1830
ko:K02014	abn:AB57_1831
ko:K02033	abn:AB57_1835
ko:K02034	abn:AB57_1836
ko:K02968	abn:AB57_1842
ko:K02553	abn:AB57_1844
ko:K07223	abn:AB57_1846
ko:K03723	abn:AB57_1848
ko:K00768	abn:AB57_1885
ko:K02233	abn:AB57_1888
ko:K01626	abn:AB57_1889
ko:K11902	abn:AB57_1491
ko:K02049	abn:AB57_1950
ko:K02014	abn:AB57_1954
ko:K01744	abn:AB57_1955
ko:K02106	abn:AB57_1961
ko:K01029	abn:AB57_1962
ko:K01028	abn:AB57_1963
ko:K02019	abn:AB57_1979
ko:K02020	abn:AB57_1980
ko:K02018	abn:AB57_1981
ko:K00216	abn:AB57_1983
ko:K00937	abn:AB57_1987
ko:K06136	abn:AB57_1989
ko:K06137	abn:AB57_1990
ko:K06139	abn:AB57_1992
ko:K06169	abn:AB57_2956
ko:K01246	abn:AB57_3890
ko:K06222	abn:AB57_3896
ko:K03686	abn:AB57_3901
ko:K01595	abn:AB57_3906
ko:K01687	abn:AB57_3911
ko:K00604	abn:AB57_3912
ko:K03500	abn:AB57_3913
ko:K03308	abn:AB57_3915
ko:K09803	abn:AB57_3924
ko:K02014	abn:AB57_3926
ko:K07347	abn:AB57_2005
ko:K07345	abn:AB57_2007
ko:K03474	abn:AB57_2957
ko:K03584	abn:AB57_2958
ko:K03595	abn:AB57_2960
ko:K03685	abn:AB57_2961
ko:K03100	abn:AB57_2963
ko:K03596	abn:AB57_2964
ko:K07107	abn:AB57_2965
ko:K00278	abn:AB57_2967
ko:K00943	abn:AB57_2969
ko:K07082	abn:AB57_2970
ko:K02048	abn:AB57_2972
ko:K07002	abn:AB57_2974
ko:K02046	abn:AB57_2975
ko:K02047	abn:AB57_2976
ko:K02045	abn:AB57_2977
ko:K06920	abn:AB57_2982
ko:K03564	abn:AB57_2985
ko:K07552	abn:AB57_2991
ko:K01952	abn:AB57_2992
ko:K01129	abn:AB57_2993
ko:K03550	abn:AB57_2994
ko:K03551	abn:AB57_2995
ko:K07107	abn:AB57_2997
ko:K03562	abn:AB57_2998
ko:K03560	abn:AB57_2999
ko:K03641	abn:AB57_3002
ko:K03640	abn:AB57_3003
ko:K09808	abn:AB57_3022
ko:K09768	abn:AB57_3024
ko:K00831	abn:AB57_3027
ko:K01993	abn:AB57_3030
ko:K03522	abn:AB57_3038
ko:K03521	abn:AB57_3039
ko:K03733	abn:AB57_3040
ko:K01778	abn:AB57_3043
ko:K01586	abn:AB57_3044
ko:K04485	abn:AB57_3048
ko:K04568	abn:AB57_3050
ko:K03473	abn:AB57_3051
ko:K02379	abn:AB57_3053
ko:K03543	abn:AB57_2108
ko:K03639	abn:AB57_2348
ko:K03752	abn:AB57_2350
ko:K00372	abn:AB57_2351
ko:K00362	abn:AB57_2353
ko:K07183	abn:AB57_2354
ko:K03502	abn:AB57_2356
ko:K03786	abn:AB57_2358
ko:K02160	abn:AB57_2359
ko:K05820	abn:AB57_2362
ko:K00075	abn:AB57_2371
ko:K07107	abn:AB57_2375
ko:K01114	abn:AB57_2376
ko:K02343	abn:AB57_2377
ko:K07507	abn:AB57_2390
ko:K01531	abn:AB57_2391
ko:K07275	abn:AB57_2400
ko:K03824	abn:AB57_2402
ko:K03576	abn:AB57_2456
ko:K01682	abn:AB57_2462
ko:K00616	abn:AB57_2386
ko:K11250	abn:AB57_2387
ko:K05782	abn:AB57_2389
ko:K03282	abn:AB57_3335
ko:K06207	abn:AB57_3336
ko:K08084	abn:AB57_3345
ko:K00381	abn:AB57_3350
ko:K07267	abn:AB57_3353
ko:K11068	abn:AB57_3363
ko:K03070	abn:AB57_3366
ko:K01963	abn:AB57_3372
ko:K01695	abn:AB57_3373
ko:K01696	abn:AB57_3379
ko:K01817	abn:AB57_3380
ko:K00798	abn:AB57_3382
ko:K01256	abn:AB57_2424
ko:K00878	abn:AB57_2427
ko:K03735	abn:AB57_2436
ko:K03736	abn:AB57_2437
ko:K01951	abn:AB57_2438
ko:K01886	abn:AB57_2440
ko:K03269	abn:AB57_2442
ko:K10679	abn:AB57_2444
ko:K03666	abn:AB57_2446
ko:K00791	abn:AB57_2447
ko:K03572	abn:AB57_2448
ko:K06925	abn:AB57_2449
ko:K00826	abn:AB57_3409
ko:K00982	abn:AB57_3410
ko:K07568	abn:AB57_3412
ko:K03744	abn:AB57_3414
ko:K00773	abn:AB57_3415
ko:K03210	abn:AB57_3416
ko:K03072	abn:AB57_3417
ko:K03074	abn:AB57_3418
ko:K03630	abn:AB57_3420
ko:K08994	abn:AB57_3422
ko:K07053	abn:AB57_3423
ko:K06190	abn:AB57_3424
ko:K09780	abn:AB57_3425
ko:K09800	abn:AB57_2464
ko:K06134	abn:AB57_2467
ko:K07667	abn:AB57_2470
ko:K07646	abn:AB57_2471
ko:K01548	abn:AB57_2472
ko:K01547	abn:AB57_2473
ko:K01546	abn:AB57_2474
ko:K00950	abn:AB57_2475
ko:K01633	abn:AB57_2476
ko:K02493	abn:AB57_2487
ko:K02835	abn:AB57_2488
ko:K09773	abn:AB57_2500
ko:K01007	abn:AB57_2501
ko:K02297	abn:AB57_2503
ko:K02298	abn:AB57_2505
ko:K02299	abn:AB57_2506
ko:K02300	abn:AB57_2507
ko:K02990	abn:AB57_2509
ko:K02963	abn:AB57_2510
ko:K02939	abn:AB57_2511
ko:K02314	abn:AB57_2512
ko:K01775	abn:AB57_2513
ko:K07395	abn:AB57_2514
ko:K03495	abn:AB57_2520
ko:K02687	abn:AB57_2522
ko:K03557	abn:AB57_2524
ko:K01945	abn:AB57_2526
ko:K02073	abn:AB57_2527
ko:K02071	abn:AB57_2528
ko:K02072	abn:AB57_2529
ko:K11103	abn:AB57_2532
ko:K00574	abn:AB57_2545
ko:K09701	abn:AB57_2546
ko:K00507	abn:AB57_2548
ko:K03098	abn:AB57_2549
ko:K07644	abn:AB57_2550
ko:K07127	abn:AB57_2553
ko:K09857	abn:AB57_2554
ko:K06192	abn:AB57_2555
ko:K03808	abn:AB57_2556
ko:K03808	abn:AB57_2557
ko:K07347	abn:AB57_2566
ko:K01126	abn:AB57_3383
ko:K00507	abn:AB57_3385
ko:K07664	abn:AB57_3387
ko:K02014	abn:AB57_3396
ko:K01876	abn:AB57_3398
ko:K09767	abn:AB57_3429
ko:K10806	abn:AB57_3431
ko:K03672	abn:AB57_3432
ko:K00382	abn:AB57_3436
ko:K03665	abn:AB57_3444
ko:K01525	abn:AB57_3448
ko:K02528	abn:AB57_3449
ko:K00097	abn:AB57_3450
ko:K02871	abn:AB57_3451
ko:K02996	abn:AB57_3452
ko:K03599	abn:AB57_3453
ko:K03600	abn:AB57_3454
ko:K07115	abn:AB57_3470
ko:K08309	abn:AB57_3476
ko:K06217	abn:AB57_3478
ko:K07042	abn:AB57_3479
ko:K03832	abn:AB57_3480
ko:K03816	abn:AB57_3483
ko:K03809	abn:AB57_3484
ko:K07058	abn:AB57_3485
ko:K07078	abn:AB57_3490
ko:K01414	abn:AB57_3494
ko:K07070	abn:AB57_3495
ko:K09159	abn:AB57_3501
ko:K02879	abn:AB57_3504
ko:K03040	abn:AB57_3505
ko:K02986	abn:AB57_3506
ko:K02948	abn:AB57_3507
ko:K02952	abn:AB57_3508
ko:K02919	abn:AB57_3509
ko:K03076	abn:AB57_3510
ko:K02876	abn:AB57_3511
ko:K02907	abn:AB57_3512
ko:K02988	abn:AB57_3513
ko:K02881	abn:AB57_3514
ko:K06923	abn:AB57_2574
ko:K02994	abn:AB57_3516
ko:K02954	abn:AB57_3517
ko:K02931	abn:AB57_3518
ko:K02895	abn:AB57_3519
ko:K02874	abn:AB57_3520
ko:K02961	abn:AB57_3521
ko:K02904	abn:AB57_3522
ko:K02878	abn:AB57_3523
ko:K02982	abn:AB57_3524
ko:K02890	abn:AB57_3525
ko:K02965	abn:AB57_3526
ko:K02892	abn:AB57_3528
ko:K02926	abn:AB57_3529
ko:K02906	abn:AB57_3530
ko:K02946	abn:AB57_3531
ko:K06915	abn:AB57_3534
ko:K05916	abn:AB57_3535
ko:K03978	abn:AB57_3537
ko:K07044	abn:AB57_3538
ko:K10805	abn:AB57_3540
ko:K00631	abn:AB57_3541
ko:K03655	abn:AB57_3544
ko:K06966	abn:AB57_3547
ko:K03284	abn:AB57_3548
ko:K07323	abn:AB57_3551
ko:K02067	abn:AB57_3552
ko:K02066	abn:AB57_3553
ko:K02065	abn:AB57_3554
ko:K01662	abn:AB57_3558
ko:K00014	abn:AB57_3561
ko:K03312	abn:AB57_2580
ko:K00140	abn:AB57_2593
ko:K00822	abn:AB57_2594
ko:K06923	abn:AB57_2598
ko:K01409	abn:AB57_2600
ko:K02970	abn:AB57_2601
ko:K09117	abn:AB57_2602
ko:K00764	abn:AB57_2607
ko:K03558	abn:AB57_2608
ko:K02933	abn:AB57_3515
ko:K08151	abn:AB57_3570
ko:K01878	abn:AB57_3571
ko:K01879	abn:AB57_3572
ko:K08296	abn:AB57_2613
ko:K00057	abn:AB57_2614
ko:K03732	abn:AB57_2617
ko:K03704	abn:AB57_2618
ko:K03089	abn:AB57_2620
ko:K01737	abn:AB57_1811
ko:K03648	abn:AB57_1812
ko:K00945	abn:AB57_1816
ko:K02945	abn:AB57_1817
ko:K05788	abn:AB57_1818
ko:K01591	abn:AB57_1821
ko:K04564	abn:AB57_2777
ko:K03179	abn:AB57_2781
ko:K03181	abn:AB57_2782
ko:K01915	abn:AB57_2783
ko:K03305	abn:AB57_2784
ko:K01262	abn:AB57_2785
ko:K01658	abn:AB57_2786
ko:K00766	abn:AB57_2789
ko:K01609	abn:AB57_2790
ko:K07402	abn:AB57_2792
ko:K01495	abn:AB57_2795
ko:K01599	abn:AB57_2800
ko:K02361	abn:AB57_2802
ko:K01590	abn:AB57_2808
ko:K01252	abn:AB57_2809
ko:K02363	abn:AB57_2810
ko:K02014	abn:AB57_2813
ko:K04044	abn:AB57_1852
ko:K04082	abn:AB57_1853
ko:K04488	abn:AB57_1855
ko:K03530	abn:AB57_1860
ko:K03770	abn:AB57_1861
ko:K00496	abn:AB57_1863
ko:K02231	abn:AB57_1884
ko:K06200	abn:AB57_2847
ko:K02356	abn:AB57_2848
ko:K02909	abn:AB57_2853
ko:K10764	abn:AB57_1907
ko:K09747	abn:AB57_1909
ko:K06187	abn:AB57_1910
ko:K03684	abn:AB57_1911
ko:K09902	abn:AB57_1916
ko:K09989	abn:AB57_1920
ko:K07320	abn:AB57_1922
ko:K01736	abn:AB57_1923
ko:K03644	abn:AB57_1927
ko:K00627	abn:AB57_1930
ko:K10003	abn:AB57_1726
ko:K10002	abn:AB57_1727
ko:K10004	abn:AB57_1728
ko:K00990	abn:AB57_1705
ko:K08289	abn:AB57_1706
ko:K06942	abn:AB57_1714
ko:K02072	abn:AB57_1715
ko:K02071	abn:AB57_1716
ko:K02073	abn:AB57_1717
ko:K02073	abn:AB57_1718
ko:K07347	abn:AB57_1745
ko:K07345	abn:AB57_1747
ko:K01012	abn:AB57_1750
ko:K01159	abn:AB57_1753
ko:K03823	abn:AB57_1756
ko:K07113	abn:AB57_1758
ko:K10001	abn:AB57_1725
ko:K00382	abn:AB57_1931
ko:K08994	abn:AB57_1934
ko:K00003	abn:AB57_1939
ko:K01118	abn:AB57_1943
ko:K07240	abn:AB57_1944
ko:K03710	abn:AB57_1945
ko:K02051	abn:AB57_1948
ko:K02050	abn:AB57_1949
ko:K06177	abn:AB57_2893
ko:K01845	abn:AB57_2895
ko:K00788	abn:AB57_2896
ko:K08224	abn:AB57_3719
ko:K06911	abn:AB57_3724
ko:K00135	abn:AB57_3727
ko:K00375	abn:AB57_3729
ko:K03111	abn:AB57_3734
ko:K09799	abn:AB57_3736
ko:K03707	abn:AB57_3737
ko:K08987	abn:AB57_3739
ko:K03701	abn:AB57_3742
ko:K02168	abn:AB57_3745
ko:K02527	abn:AB57_3761
ko:K02836	abn:AB57_3765
ko:K02016	abn:AB57_2814
ko:K02013	abn:AB57_2815
ko:K02015	abn:AB57_2816
ko:K02015	abn:AB57_2817
ko:K06911	abn:AB57_2825
ko:K00275	abn:AB57_3768
ko:K03431	abn:AB57_3769
ko:K00088	abn:AB57_3770
ko:K06940	abn:AB57_3771
ko:K02014	abn:AB57_3773
ko:K00627	abn:AB57_3776
ko:K00163	abn:AB57_3777
ko:K03531	abn:AB57_3782
ko:K03590	abn:AB57_3783
ko:K03589	abn:AB57_3784
ko:K01921	abn:AB57_3785
ko:K01924	abn:AB57_3786
ko:K02563	abn:AB57_3787
ko:K01920	abn:AB57_3788
