ko:K19168	ahj:V469_19090
ko:K05801	ahj:V469_18340
ko:K04744	ahj:V469_18355
ko:K03771	ahj:V469_18360
ko:K00097	ahj:V469_18365
ko:K02528	ahj:V469_18370
ko:K06195	ahj:V469_18375
ko:K01525	ahj:V469_18380
ko:K00666	ahj:V469_18410
ko:K03979	ahj:V469_18420
ko:K02899	ahj:V469_18425
ko:K02888	ahj:V469_18430
ko:K02523	ahj:V469_18435
ko:K09937	ahj:V469_18440
ko:K04087	ahj:V469_18445
ko:K04088	ahj:V469_18450
ko:K03665	ahj:V469_18455
ko:K03666	ahj:V469_18460
ko:K00791	ahj:V469_18465
ko:K03572	ahj:V469_18470
ko:K01448	ahj:V469_18480
ko:K06925	ahj:V469_18485
ko:K17758	ahj:V469_18490
ko:K17759	ahj:V469_18490
ko:K18979	ahj:V469_18495
ko:K00886	ahj:V469_18500
ko:K01129	ahj:V469_18505
ko:K07648	ahj:V469_18510
ko:K09909	ahj:V469_18530
ko:K01923	ahj:V469_18545
ko:K07287	ahj:V469_18550
ko:K01714	ahj:V469_18555
ko:K09862	ahj:V469_02085
ko:K18778	ahj:V469_02090
ko:K00859	ahj:V469_02095
ko:K02654	ahj:V469_02100
ko:K02653	ahj:V469_02105
ko:K02652	ahj:V469_02110
ko:K00767	ahj:V469_02120
ko:K06985	ahj:V469_02125
ko:K03806	ahj:V469_02130
ko:K00163	ahj:V469_02140
ko:K00627	ahj:V469_02145
ko:K00382	ahj:V469_02150
ko:K03406	ahj:V469_02170
ko:K07001	ahj:V469_02175
ko:K01682	ahj:V469_02180
ko:K00950	ahj:V469_02220
ko:K01633	ahj:V469_02225
ko:K08591	ahj:V469_02230
ko:K03415	ahj:V469_02275
ko:K06957	ahj:V469_02285
ko:K02192	ahj:V469_02295
ko:K03594	ahj:V469_02300
ko:K01734	ahj:V469_02310
ko:K07301	ahj:V469_02320
ko:K01424	ahj:V469_02325
ko:K07088	ahj:V469_02335
ko:K03485	ahj:V469_02340
ko:K02818	ahj:V469_02345
ko:K02819	ahj:V469_02345
ko:K01226	ahj:V469_02350
ko:K00661	ahj:V469_02355
ko:K03719	ahj:V469_02360
ko:K11939	ahj:V469_02365
ko:K18676	ahj:V469_05990
ko:K02034	ahj:V469_06010
ko:K02033	ahj:V469_06015
ko:K02035	ahj:V469_06020
ko:K09930	ahj:V469_06055
ko:K15977	ahj:V469_06065
ko:K03406	ahj:V469_06075
ko:K03750	ahj:V469_06095
ko:K03752	ahj:V469_06100
ko:K06857	ahj:V469_06105
ko:K05773	ahj:V469_06110
ko:K05772	ahj:V469_06115
ko:K02379	ahj:V469_06135
ko:K00123	ahj:V469_06175
ko:K00124	ahj:V469_06180
ko:K00127	ahj:V469_06185
ko:K00027	ahj:V469_06195
ko:K02824	ahj:V469_06210
ko:K07404	ahj:V469_06215
ko:K05802	ahj:V469_06225
ko:K00873	ahj:V469_06230
ko:K05994	ahj:V469_06240
ko:K03455	ahj:V469_06245
ko:K00681	ahj:V469_06250
ko:K03554	ahj:V469_06260
ko:K03826	ahj:V469_06265
ko:K00140	ahj:V469_09960
ko:K00059	ahj:V469_09985
ko:K03758	ahj:V469_09990
ko:K07090	ahj:V469_09995
ko:K06889	ahj:V469_10045
ko:K06889	ahj:V469_10050
ko:K06221	ahj:V469_10075
ko:K01223	ahj:V469_10090
ko:K01151	ahj:V469_10125
ko:K02560	ahj:V469_10145
ko:K02560	ahj:V469_10150
ko:K07178	ahj:V469_10155
ko:K02336	ahj:V469_10175
ko:K03327	ahj:V469_10205
ko:K00793	ahj:V469_10215
ko:K08289	ahj:V469_10230
ko:K01118	ahj:V469_10240
ko:K07262	ahj:V469_12500
ko:K01667	ahj:V469_12505
ko:K06876	ahj:V469_12510
ko:K00285	ahj:V469_12515
ko:K07168	ahj:V469_12530
ko:K00549	ahj:V469_12540
ko:K03576	ahj:V469_12545
ko:K02014	ahj:V469_12555
ko:K13653	ahj:V469_12560
ko:K00023	ahj:V469_12565
ko:K07118	ahj:V469_12575
ko:K01761	ahj:V469_12585
ko:K07263	ahj:V469_12590
ko:K00133	ahj:V469_12595
ko:K11741	ahj:V469_12600
ko:K09136	ahj:V469_12605
ko:K06212	ahj:V469_12610
ko:K00656	ahj:V469_12615
ko:K05306	ahj:V469_12620
ko:K00823	ahj:V469_12625
ko:K03430	ahj:V469_12630
ko:K02012	ahj:V469_12640
ko:K02010	ahj:V469_12645
ko:K02011	ahj:V469_12650
ko:K09160	ahj:V469_12660
ko:K01902	ahj:V469_12670
ko:K01903	ahj:V469_12675
ko:K00658	ahj:V469_12680
ko:K00164	ahj:V469_12685
ko:K00240	ahj:V469_12690
ko:K00239	ahj:V469_12695
ko:K00242	ahj:V469_12700
ko:K00241	ahj:V469_12705
ko:K01647	ahj:V469_12710
ko:K00647	ahj:V469_12725
ko:K15461	ahj:V469_12730
ko:K03326	ahj:V469_12740
ko:K01081	ahj:V469_12745
ko:K07043	ahj:V469_12755
ko:K12149	ahj:V469_12765
ko:K02909	ahj:V469_12770
ko:K02197	ahj:V469_15710
ko:K02196	ahj:V469_15715
ko:K02195	ahj:V469_15720
ko:K02194	ahj:V469_15725
ko:K02193	ahj:V469_15730
ko:K03408	ahj:V469_15740
ko:K03408	ahj:V469_15745
ko:K03496	ahj:V469_15750
ko:K02557	ahj:V469_15755
ko:K02556	ahj:V469_15760
ko:K03412	ahj:V469_15765
ko:K03407	ahj:V469_15770
ko:K03414	ahj:V469_15775
ko:K03413	ahj:V469_15780
ko:K02405	ahj:V469_15785
ko:K04562	ahj:V469_15790
ko:K02404	ahj:V469_15795
ko:K02400	ahj:V469_15800
ko:K02401	ahj:V469_15805
ko:K02421	ahj:V469_15810
ko:K02420	ahj:V469_15815
ko:K02419	ahj:V469_15820
ko:K02418	ahj:V469_15825
ko:K02417	ahj:V469_15830
ko:K02416	ahj:V469_15835
ko:K02415	ahj:V469_15840
ko:K02414	ahj:V469_15845
ko:K02413	ahj:V469_15850
ko:K02412	ahj:V469_15855
ko:K02411	ahj:V469_15860
ko:K02410	ahj:V469_15865
ko:K02409	ahj:V469_15870
ko:K02408	ahj:V469_15875
ko:K14441	ahj:V469_15890
ko:K12530	ahj:V469_15915
ko:K12532	ahj:V469_15920
ko:K12531	ahj:V469_15925
ko:K07660	ahj:V469_15930
ko:K07637	ahj:V469_15935
ko:K00845	ahj:V469_15940
ko:K00873	ahj:V469_15950
ko:K04477	ahj:V469_15975
ko:K03567	ahj:V469_18560
ko:K03564	ahj:V469_18565
ko:K09161	ahj:V469_18570
ko:K09899	ahj:V469_18575
ko:K00925	ahj:V469_18580
ko:K13788	ahj:V469_18585
ko:K01653	ahj:V469_18590
ko:K01652	ahj:V469_18595
ko:K01649	ahj:V469_18620
ko:K00052	ahj:V469_18625
ko:K01703	ahj:V469_18630
ko:K01704	ahj:V469_18635
ko:K02064	ahj:V469_18650
ko:K02063	ahj:V469_18655
ko:K02062	ahj:V469_18660
ko:K07175	ahj:V469_18665
ko:K03580	ahj:V469_18710
ko:K06177	ahj:V469_18715
ko:K04077	ahj:V469_18735
ko:K04078	ahj:V469_18740
ko:K07113	ahj:V469_18750
ko:K01744	ahj:V469_18755
ko:K07791	ahj:V469_18760
ko:K08162	ahj:V469_18770
ko:K03817	ahj:V469_18790
ko:K03790	ahj:V469_18795
ko:K07552	ahj:V469_18810
ko:K02428	ahj:V469_18815
ko:K09890	ahj:V469_18825
ko:K00602	ahj:V469_18840
ko:K01945	ahj:V469_18845
ko:K03150	ahj:V469_20885
ko:K03149	ahj:V469_20890
ko:K03154	ahj:V469_20895
ko:K03148	ahj:V469_20900
ko:K14153	ahj:V469_20905
ko:K03147	ahj:V469_20910
ko:K03311	ahj:V469_20940
ko:K05844	ahj:V469_20945
ko:K00548	ahj:V469_20950
ko:K03316	ahj:V469_20955
ko:K07733	ahj:V469_20975
ko:K09923	ahj:V469_20990
ko:K03286	ahj:V469_21000
ko:K07054	ahj:V469_21070
ko:K03788	ahj:V469_21075
ko:K03406	ahj:V469_21090
ko:K07814	ahj:V469_21110
ko:K05595	ahj:V469_21125
ko:K07106	ahj:V469_21135
ko:K11191	ahj:V469_21140
ko:K11192	ahj:V469_21140
ko:K15835	ahj:V469_21155
ko:K03568	ahj:V469_21160
ko:K00137	ahj:V469_02375
ko:K02053	ahj:V469_02380
ko:K02054	ahj:V469_02385
ko:K02052	ahj:V469_02390
ko:K02055	ahj:V469_02395
ko:K03315	ahj:V469_02405
ko:K00975	ahj:V469_02450
ko:K00564	ahj:V469_02455
ko:K01714	ahj:V469_02460
ko:K03666	ahj:V469_02480
ko:K03808	ahj:V469_02485
ko:K06192	ahj:V469_02490
ko:K09857	ahj:V469_02495
ko:K03286	ahj:V469_02500
ko:K02030	ahj:V469_02505
ko:K08306	ahj:V469_02520
ko:K03575	ahj:V469_02530
ko:K02451	ahj:V469_02535
ko:K02450	ahj:V469_02540
ko:K00974	ahj:V469_02550
ko:K06518	ahj:V469_02570
ko:K00375	ahj:V469_02580
ko:K03306	ahj:V469_02605
ko:K07220	ahj:V469_02610
ko:K02517	ahj:V469_02625
ko:K03272	ahj:V469_02630
ko:K12340	ahj:V469_02635
ko:K01515	ahj:V469_02640
ko:K09920	ahj:V469_02645
ko:K03651	ahj:V469_02650
ko:K07000	ahj:V469_02655
ko:K12262	ahj:V469_06290
ko:K08483	ahj:V469_06310
ko:K02784	ahj:V469_06315
ko:K01738	ahj:V469_06320
ko:K09989	ahj:V469_06330
ko:K16872	ahj:V469_06335
ko:K05281	ahj:V469_06345
ko:K06080	ahj:V469_06355
ko:K16012	ahj:V469_06360
ko:K16013	ahj:V469_06365
ko:K07773	ahj:V469_06380
ko:K02553	ahj:V469_06395
ko:K00906	ahj:V469_06410
ko:K02533	ahj:V469_06415
ko:K12524	ahj:V469_06420
ko:K00872	ahj:V469_06425
ko:K01733	ahj:V469_06430
ko:K03784	ahj:V469_06470
ko:K06141	ahj:V469_06475
ko:K07679	ahj:V469_06485
ko:K14683	ahj:V469_06505
ko:K07250	ahj:V469_06535
ko:K00135	ahj:V469_06540
ko:K14056	ahj:V469_06545
ko:K09471	ahj:V469_06550
ko:K03746	ahj:V469_06565
ko:K01626	ahj:V469_06570
ko:K05685	ahj:V469_06585
ko:K13888	ahj:V469_06590
ko:K15986	ahj:V469_06600
ko:K00243	ahj:V469_10265
ko:K09901	ahj:V469_10275
ko:K03814	ahj:V469_10280
ko:K09901	ahj:V469_10285
ko:K03608	ahj:V469_10290
ko:K03609	ahj:V469_10295
ko:K03610	ahj:V469_10300
ko:K09902	ahj:V469_10305
ko:K08305	ahj:V469_10310
ko:K01752	ahj:V469_10315
ko:K01752	ahj:V469_10320
ko:K09913	ahj:V469_10325
ko:K00626	ahj:V469_10340
ko:K06076	ahj:V469_10350
ko:K06076	ahj:V469_10355
ko:K03088	ahj:V469_10365
ko:K07114	ahj:V469_10375
ko:K07114	ahj:V469_10380
ko:K03924	ahj:V469_10395
ko:K01782	ahj:V469_10405
ko:K07088	ahj:V469_10420
ko:K01751	ahj:V469_10460
ko:K01464	ahj:V469_10470
ko:K00926	ahj:V469_10475
ko:K07402	ahj:V469_10490
ko:K07141	ahj:V469_10500
ko:K12527	ahj:V469_10510
ko:K12529	ahj:V469_10520
ko:K12528	ahj:V469_10525
ko:K16346	ahj:V469_10530
ko:K01487	ahj:V469_10535
ko:K06901	ahj:V469_10540
ko:K13479	ahj:V469_10550
ko:K13480	ahj:V469_10555
ko:K06911	ahj:V469_12780
ko:K02099	ahj:V469_12790
ko:K10538	ahj:V469_12795
ko:K10539	ahj:V469_12800
ko:K10537	ahj:V469_12805
ko:K00853	ahj:V469_12810
ko:K03077	ahj:V469_12815
ko:K01804	ahj:V469_12820
ko:K01141	ahj:V469_12825
ko:K07407	ahj:V469_12835
ko:K06518	ahj:V469_12840
ko:K01489	ahj:V469_12850
ko:K03721	ahj:V469_12890
ko:K01724	ahj:V469_12895
ko:K01724	ahj:V469_12900
ko:K00500	ahj:V469_12905
ko:K08990	ahj:V469_12910
ko:K06918	ahj:V469_12915
ko:K03970	ahj:V469_12925
ko:K03969	ahj:V469_12930
ko:K03974	ahj:V469_12935
ko:K06169	ahj:V469_12970
ko:K00764	ahj:V469_12975
ko:K03558	ahj:V469_12980
ko:K01875	ahj:V469_12985
ko:K07478	ahj:V469_12995
ko:K03634	ahj:V469_13000
ko:K03466	ahj:V469_13005
ko:K03719	ahj:V469_13010
ko:K00384	ahj:V469_13015
ko:K06077	ahj:V469_13025
ko:K00684	ahj:V469_13030
ko:K02518	ahj:V469_13040
ko:K03694	ahj:V469_13045
ko:K06891	ahj:V469_13050
ko:K03704	ahj:V469_13055
ko:K02919	ahj:V469_12775
ko:K02379	ahj:V469_15990
ko:K15024	ahj:V469_16060
ko:K03297	ahj:V469_16070
ko:K03297	ahj:V469_16075
ko:K07733	ahj:V469_16085
ko:K03307	ahj:V469_16110
ko:K00885	ahj:V469_16115
ko:K01788	ahj:V469_16120
ko:K01639	ahj:V469_16130
ko:K03782	ahj:V469_16135
ko:K02430	ahj:V469_16140
ko:K02429	ahj:V469_16145
ko:K01818	ahj:V469_16150
ko:K00879	ahj:V469_16155
ko:K02431	ahj:V469_16165
ko:K02031	ahj:V469_16175
ko:K02032	ahj:V469_16175
ko:K02034	ahj:V469_16180
ko:K02033	ahj:V469_16185
ko:K02035	ahj:V469_16190
ko:K06970	ahj:V469_16215
ko:K06133	ahj:V469_16225
ko:K05838	ahj:V469_16230
ko:K06078	ahj:V469_16235
ko:K02858	ahj:V469_16240
ko:K01433	ahj:V469_16245
ko:K06131	ahj:V469_16255
ko:K01176	ahj:V469_16275
ko:K06188	ahj:V469_16285
ko:K01176	ahj:V469_18860
ko:K03086	ahj:V469_18875
ko:K09117	ahj:V469_18885
ko:K02970	ahj:V469_18890
ko:K01409	ahj:V469_18895
ko:K03087	ahj:V469_18900
ko:K06194	ahj:V469_18905
ko:K00573	ahj:V469_18915
ko:K03787	ahj:V469_18920
ko:K06176	ahj:V469_18925
ko:K01770	ahj:V469_18930
ko:K00991	ahj:V469_18935
ko:K05589	ahj:V469_18940
ko:K01689	ahj:V469_18945
ko:K01937	ahj:V469_18950
ko:K04765	ahj:V469_18955
ko:K00951	ahj:V469_18960
ko:K03215	ahj:V469_18965
ko:K07678	ahj:V469_18970
ko:K11066	ahj:V469_18980
ko:K16371	ahj:V469_18990
ko:K02082	ahj:V469_18995
ko:K02745	ahj:V469_19000
ko:K02746	ahj:V469_19005
ko:K02747	ahj:V469_19010
ko:K02744	ahj:V469_19015
ko:K02079	ahj:V469_19020
ko:K08302	ahj:V469_19025
ko:K03474	ahj:V469_19035
ko:K03584	ahj:V469_19040
ko:K03685	ahj:V469_19050
ko:K03100	ahj:V469_19055
ko:K03596	ahj:V469_19060
ko:K03803	ahj:V469_19065
ko:K03598	ahj:V469_19070
ko:K03597	ahj:V469_19075
ko:K03088	ahj:V469_19080
ko:K00278	ahj:V469_19085
ko:K09159	ahj:V469_19095
ko:K06980	ahj:V469_19100
ko:K03926	ahj:V469_19120
ko:K08301	ahj:V469_21180
ko:K06287	ahj:V469_21185
ko:K03571	ahj:V469_21190
ko:K03570	ahj:V469_21195
ko:K03569	ahj:V469_21200
ko:K12287	ahj:V469_21205
ko:K12286	ahj:V469_21210
ko:K12285	ahj:V469_21215
ko:K10927	ahj:V469_21220
ko:K10926	ahj:V469_21225
ko:K10924	ahj:V469_21230
ko:K10925	ahj:V469_21235
ko:K12278	ahj:V469_21245
ko:K12276	ahj:V469_21250
ko:K12284	ahj:V469_21255
ko:K12283	ahj:V469_21260
ko:K12282	ahj:V469_21265
ko:K12281	ahj:V469_21270
ko:K12280	ahj:V469_21275
ko:K12279	ahj:V469_21285
ko:K18765	ahj:V469_21295
ko:K07300	ahj:V469_21305
ko:K01745	ahj:V469_21310
ko:K01712	ahj:V469_21315
ko:K01479	ahj:V469_21320
ko:K01468	ahj:V469_21325
ko:K05836	ahj:V469_21330
ko:K01673	ahj:V469_21335
ko:K03089	ahj:V469_21340
ko:K09811	ahj:V469_21345
ko:K09812	ahj:V469_21350
ko:K03110	ahj:V469_21355
ko:K08316	ahj:V469_21360
ko:K08993	ahj:V469_21365
ko:K03116	ahj:V469_21410
ko:K05595	ahj:V469_21420
ko:K03543	ahj:V469_21445
ko:K03446	ahj:V469_21450
ko:K02622	ahj:V469_02685
ko:K02621	ahj:V469_02690
ko:K08344	ahj:V469_02745
ko:K00655	ahj:V469_02755
ko:K03969	ahj:V469_02760
ko:K07461	ahj:V469_02775
ko:K09816	ahj:V469_02805
ko:K09817	ahj:V469_02810
ko:K09815	ahj:V469_02815
ko:K09891	ahj:V469_02845
ko:K02168	ahj:V469_02860
ko:K03555	ahj:V469_02865
ko:K03743	ahj:V469_02885
ko:K03565	ahj:V469_02895
ko:K01872	ahj:V469_02900
ko:K00928	ahj:V469_02905
ko:K03563	ahj:V469_02910
ko:K07262	ahj:V469_02940
ko:K03699	ahj:V469_02950
ko:K01873	ahj:V469_02955
ko:K02339	ahj:V469_02960
ko:K01255	ahj:V469_02965
ko:K07091	ahj:V469_02970
ko:K03631	ahj:V469_06610
ko:K00858	ahj:V469_06615
ko:K03687	ahj:V469_06620
ko:K04043	ahj:V469_06625
ko:K03686	ahj:V469_06630
ko:K16077	ahj:V469_06635
ko:K00847	ahj:V469_06640
ko:K02809	ahj:V469_06645
ko:K02810	ahj:V469_06645
ko:K01193	ahj:V469_06650
ko:K03484	ahj:V469_06655
ko:K07507	ahj:V469_06660
ko:K07112	ahj:V469_06680
ko:K07112	ahj:V469_06685
ko:K03800	ahj:V469_06705
ko:K07787	ahj:V469_06725
ko:K07798	ahj:V469_06730
ko:K18138	ahj:V469_06740
ko:K03585	ahj:V469_06745
ko:K01142	ahj:V469_06750
ko:K03734	ahj:V469_06770
ko:K09975	ahj:V469_06785
ko:K00316	ahj:V469_06805
ko:K02297	ahj:V469_06810
ko:K02298	ahj:V469_06815
ko:K02299	ahj:V469_06820
ko:K02300	ahj:V469_06825
ko:K03119	ahj:V469_06845
ko:K15552	ahj:V469_06850
ko:K10831	ahj:V469_06855
ko:K15551	ahj:V469_06860
ko:K03317	ahj:V469_06870
ko:K07038	ahj:V469_06895
ko:K00666	ahj:V469_10580
ko:K11755	ahj:V469_10585
ko:K02500	ahj:V469_10590
ko:K07814	ahj:V469_10605
ko:K01814	ahj:V469_10610
ko:K02501	ahj:V469_10615
ko:K01089	ahj:V469_10620
ko:K00817	ahj:V469_10625
ko:K00013	ahj:V469_10630
ko:K00765	ahj:V469_10635
ko:K14742	ahj:V469_10650
ko:K07285	ahj:V469_10655
ko:K01897	ahj:V469_10665
ko:K03684	ahj:V469_10670
ko:K05541	ahj:V469_10815
ko:K09790	ahj:V469_10820
ko:K00759	ahj:V469_10825
ko:K02343	ahj:V469_10830
ko:K09747	ahj:V469_10835
ko:K01491	ahj:V469_13060
ko:K11904	ahj:V469_13090
ko:K11911	ahj:V469_13100
ko:K11891	ahj:V469_13105
ko:K11910	ahj:V469_13110
ko:K11909	ahj:V469_13115
ko:K11908	ahj:V469_13120
ko:K11907	ahj:V469_13125
ko:K11892	ahj:V469_13130
ko:K11893	ahj:V469_13135
ko:K11906	ahj:V469_13140
ko:K11895	ahj:V469_13150
ko:K11896	ahj:V469_13155
ko:K11905	ahj:V469_13160
ko:K11900	ahj:V469_13165
ko:K11901	ahj:V469_13170
ko:K07126	ahj:V469_13175
ko:K11904	ahj:V469_13195
ko:K11903	ahj:V469_13200
ko:K03746	ahj:V469_13235
ko:K00798	ahj:V469_13240
ko:K09954	ahj:V469_13245
ko:K10026	ahj:V469_13250
ko:K06920	ahj:V469_13255
ko:K01591	ahj:V469_13270
ko:K08992	ahj:V469_13280
ko:K05788	ahj:V469_13285
ko:K02945	ahj:V469_13290
ko:K00945	ahj:V469_13295
ko:K01497	ahj:V469_13300
ko:K13634	ahj:V469_13305
ko:K09907	ahj:V469_13320
ko:K01159	ahj:V469_16290
ko:K03810	ahj:V469_16300
ko:K07001	ahj:V469_16345
ko:K03308	ahj:V469_16350
ko:K03286	ahj:V469_16365
ko:K03286	ahj:V469_16370
ko:K03286	ahj:V469_16375
ko:K00027	ahj:V469_16380
ko:K16345	ahj:V469_16405
ko:K03310	ahj:V469_16415
ko:K01581	ahj:V469_16420
ko:K07301	ahj:V469_16425
ko:K01912	ahj:V469_16435
ko:K01990	ahj:V469_16460
ko:K03773	ahj:V469_16465
ko:K06201	ahj:V469_16470
ko:K00884	ahj:V469_16475
ko:K02040	ahj:V469_16490
ko:K07636	ahj:V469_16495
ko:K07657	ahj:V469_16500
ko:K00252	ahj:V469_16515
ko:K00138	ahj:V469_16525
ko:K00027	ahj:V469_16550
ko:K06075	ahj:V469_16565
ko:K02030	ahj:V469_16580
ko:K04084	ahj:V469_19125
ko:K01624	ahj:V469_19140
ko:K00927	ahj:V469_19145
ko:K03472	ahj:V469_19150
ko:K01599	ahj:V469_19160
ko:K03426	ahj:V469_19165
ko:K13821	ahj:V469_19170
ko:K07184	ahj:V469_19175
ko:K10716	ahj:V469_19180
ko:K03406	ahj:V469_19185
ko:K00982	ahj:V469_19195
ko:K07504	ahj:V469_19200
ko:K07289	ahj:V469_19210
ko:K01322	ahj:V469_19215
ko:K01733	ahj:V469_19220
ko:K02029	ahj:V469_19225
ko:K02029	ahj:V469_19230
ko:K02028	ahj:V469_19235
ko:K02030	ahj:V469_19240
ko:K05685	ahj:V469_19245
ko:K13888	ahj:V469_19250
ko:K02484	ahj:V469_19260
ko:K00459	ahj:V469_19300
ko:K01166	ahj:V469_19310
ko:K00428	ahj:V469_19325
ko:K17837	ahj:V469_19360
ko:K01426	ahj:V469_19380
ko:K10536	ahj:V469_19385
ko:K03828	ahj:V469_19405
ko:K07080	ahj:V469_21475
ko:K01354	ahj:V469_21480
ko:K11747	ahj:V469_21510
ko:K02879	ahj:V469_21560
ko:K03040	ahj:V469_21565
ko:K02986	ahj:V469_21570
ko:K02948	ahj:V469_21575
ko:K02952	ahj:V469_21580
ko:K03076	ahj:V469_21585
ko:K02876	ahj:V469_21590
ko:K02907	ahj:V469_21595
ko:K02988	ahj:V469_21600
ko:K02881	ahj:V469_21605
ko:K02933	ahj:V469_21610
ko:K02994	ahj:V469_21615
ko:K02954	ahj:V469_21620
ko:K02931	ahj:V469_21625
ko:K02895	ahj:V469_21630
ko:K02874	ahj:V469_21635
ko:K02961	ahj:V469_21640
ko:K02904	ahj:V469_21645
ko:K02878	ahj:V469_21650
ko:K02982	ahj:V469_21655
ko:K02890	ahj:V469_21660
ko:K02965	ahj:V469_21665
ko:K02886	ahj:V469_21670
ko:K02892	ahj:V469_21675
ko:K02926	ahj:V469_21680
ko:K02906	ahj:V469_21685
ko:K02946	ahj:V469_21690
ko:K07638	ahj:V469_21700
ko:K07659	ahj:V469_21705
ko:K04760	ahj:V469_21710
ko:K06959	ahj:V469_21715
ko:K02170	ahj:V469_21735
ko:K07400	ahj:V469_21745
ko:K00057	ahj:V469_21750
ko:K11720	ahj:V469_02980
ko:K03320	ahj:V469_03045
ko:K03215	ahj:V469_03050
ko:K03424	ahj:V469_03060
ko:K03317	ahj:V469_03065
ko:K01619	ahj:V469_03075
ko:K00758	ahj:V469_03080
ko:K01839	ahj:V469_03085
ko:K03784	ahj:V469_03090
ko:K07186	ahj:V469_03100
ko:K01079	ahj:V469_03105
ko:K04485	ahj:V469_03120
ko:K07740	ahj:V469_03130
ko:K05787	ahj:V469_03135
ko:K05539	ahj:V469_03150
ko:K09823	ahj:V469_03155
ko:K03409	ahj:V469_03160
ko:K03311	ahj:V469_03170
ko:K03311	ahj:V469_03175
ko:K15460	ahj:V469_03180
ko:K05590	ahj:V469_03185
ko:K09861	ahj:V469_03190
ko:K02670	ahj:V469_03195
ko:K02669	ahj:V469_03200
ko:K06997	ahj:V469_03205
ko:K00286	ahj:V469_03210
ko:K02221	ahj:V469_03215
ko:K09131	ahj:V469_03220
ko:K15580	ahj:V469_03235
ko:K01881	ahj:V469_03280
ko:K03550	ahj:V469_03290
ko:K03551	ahj:V469_03295
ko:K01696	ahj:V469_06910
ko:K13498	ahj:V469_06915
ko:K00766	ahj:V469_06920
ko:K01658	ahj:V469_06925
ko:K01657	ahj:V469_06930
ko:K07053	ahj:V469_06935
ko:K05896	ahj:V469_06945
ko:K06024	ahj:V469_06950
ko:K06178	ahj:V469_06955
ko:K10805	ahj:V469_06960
ko:K03577	ahj:V469_06980
ko:K03585	ahj:V469_06985
ko:K18138	ahj:V469_06990
ko:K18139	ahj:V469_06995
ko:K00067	ahj:V469_07005
ko:K00973	ahj:V469_07010
ko:K01790	ahj:V469_07015
ko:K13007	ahj:V469_07045
ko:K02851	ahj:V469_07055
ko:K02474	ahj:V469_07065
ko:K17716	ahj:V469_07080
ko:K00067	ahj:V469_07085
ko:K01791	ahj:V469_07090
ko:K01991	ahj:V469_07100
ko:K16692	ahj:V469_07110
ko:K13009	ahj:V469_07125
ko:K09915	ahj:V469_07130
ko:K10748	ahj:V469_07140
ko:K05526	ahj:V469_07150
ko:K00161	ahj:V469_07155
ko:K00162	ahj:V469_07160
ko:K00627	ahj:V469_07165
ko:K03704	ahj:V469_07170
ko:K13893	ahj:V469_07195
ko:K15268	ahj:V469_07200
ko:K00656	ahj:V469_07210
ko:K03781	ahj:V469_10970
ko:K04565	ahj:V469_10980
