ko:K01006	sags:SaSA20_1383
ko:K06949	sags:SaSA20_1484
ko:K00563	sags:SaSA20_1485
ko:K02528	sags:SaSA20_1486
ko:K05985	sags:SaSA20_1489
ko:K03424	sags:SaSA20_1490
ko:K03740	sags:SaSA20_1496
ko:K14188	sags:SaSA20_1497
ko:K03739	sags:SaSA20_1498
ko:K03367	sags:SaSA20_1499
ko:K02914	sags:SaSA20_1502
ko:K02759	sags:SaSA20_0300
ko:K02760	sags:SaSA20_0301
ko:K05808	sags:SaSA20_0307
ko:K00928	sags:SaSA20_0308
ko:K00648	sags:SaSA20_0312
ko:K02078	sags:SaSA20_0313
ko:K00645	sags:SaSA20_0315
ko:K09458	sags:SaSA20_0317
ko:K02160	sags:SaSA20_0318
ko:K02372	sags:SaSA20_0319
ko:K01961	sags:SaSA20_0320
ko:K01963	sags:SaSA20_0321
ko:K01962	sags:SaSA20_0322
ko:K01875	sags:SaSA20_0324
ko:K06901	sags:SaSA20_0333
ko:K06925	sags:SaSA20_0334
ko:K02503	sags:SaSA20_0338
ko:K03100	sags:SaSA20_1150
ko:K00991	sags:SaSA20_1159
ko:K00067	sags:SaSA20_1166
ko:K03086	sags:SaSA20_1168
ko:K03282	sags:SaSA20_1170
ko:K02970	sags:SaSA20_1171
ko:K06940	sags:SaSA20_1172
ko:K03320	sags:SaSA20_1174
ko:K07146	sags:SaSA20_1176
ko:K02445	sags:SaSA20_1178
ko:K00688	sags:SaSA20_1179
ko:K00705	sags:SaSA20_1180
ko:K02529	sags:SaSA20_1181
ko:K07568	sags:SaSA20_0672
ko:K08602	sags:SaSA20_0679
ko:K01872	sags:SaSA20_0684
ko:K07150	sags:SaSA20_0685
ko:K00876	sags:SaSA20_0700
ko:K02343	sags:SaSA20_0702
ko:K03524	sags:SaSA20_0704
ko:K00789	sags:SaSA20_0705
ko:K03705	sags:SaSA20_0093
ko:K03687	sags:SaSA20_0094
ko:K04043	sags:SaSA20_0095
ko:K03686	sags:SaSA20_0096
ko:K06173	sags:SaSA20_0098
ko:K00868	sags:SaSA20_0099
ko:K03545	sags:SaSA20_0103
ko:K01937	sags:SaSA20_0105
ko:K04485	sags:SaSA20_0108
ko:K01673	sags:SaSA20_0109
ko:K10441	sags:SaSA20_0114
ko:K06726	sags:SaSA20_0115
ko:K02529	sags:SaSA20_0117
ko:K02003	sags:SaSA20_0119
ko:K01940	sags:SaSA20_0122
ko:K01755	sags:SaSA20_0123
ko:K01624	sags:SaSA20_0124
ko:K02902	sags:SaSA20_0126
ko:K06153	sags:SaSA20_0134
ko:K16511	sags:SaSA20_0135
ko:K09013	sags:SaSA20_0137
ko:K01495	sags:SaSA20_0941
ko:K11754	sags:SaSA20_0942
ko:K05786	sags:SaSA20_0943
ko:K00872	sags:SaSA20_0944
ko:K00003	sags:SaSA20_0945
ko:K11065	sags:SaSA20_0953
ko:K03657	sags:SaSA20_0964
ko:K03310	sags:SaSA20_0967
ko:K02945	sags:SaSA20_0972
ko:K00826	sags:SaSA20_0974
ko:K02621	sags:SaSA20_0975
ko:K02622	sags:SaSA20_0976
ko:K08591	sags:SaSA20_0977
ko:K03648	sags:SaSA20_0978
ko:K00611	sags:SaSA20_1762
ko:K03758	sags:SaSA20_1763
ko:K00926	sags:SaSA20_1764
ko:K01867	sags:SaSA20_1765
ko:K00783	sags:SaSA20_1770
ko:K03707	sags:SaSA20_0714
ko:K00941	sags:SaSA20_0715
ko:K00878	sags:SaSA20_0716
ko:K00788	sags:SaSA20_0717
ko:K00790	sags:SaSA20_0718
ko:K01265	sags:SaSA20_0721
ko:K07058	sags:SaSA20_0722
ko:K01972	sags:SaSA20_0725
ko:K02000	sags:SaSA20_1505
ko:K01939	sags:SaSA20_1526
ko:K01919	sags:SaSA20_1529
ko:K04083	sags:SaSA20_1532
ko:K03823	sags:SaSA20_1535
ko:K03696	sags:SaSA20_1536
ko:K02357	sags:SaSA20_1539
ko:K02967	sags:SaSA20_1540
ko:K03387	sags:SaSA20_1542
ko:K01462	sags:SaSA20_1550
ko:K02747	sags:SaSA20_1553
ko:K02746	sags:SaSA20_1554
ko:K03439	sags:SaSA20_0343
ko:K09748	sags:SaSA20_0344
ko:K02600	sags:SaSA20_0345
ko:K07742	sags:SaSA20_0346
ko:K02519	sags:SaSA20_0348
ko:K02834	sags:SaSA20_0349
ko:K06929	sags:SaSA20_0357
ko:K00773	sags:SaSA20_0362
ko:K03523	sags:SaSA20_0364
ko:K01810	sags:SaSA20_0368
ko:K07335	sags:SaSA20_0371
ko:K00963	sags:SaSA20_0372
ko:K00057	sags:SaSA20_0373
ko:K03536	sags:SaSA20_0374
ko:K03217	sags:SaSA20_0375
ko:K03565	sags:SaSA20_0378
ko:K07006	sags:SaSA20_0388
ko:K03702	sags:SaSA20_1199
ko:K03979	sags:SaSA20_1205
ko:K03664	sags:SaSA20_1216
ko:K12573	sags:SaSA20_1217
ko:K03075	sags:SaSA20_1218
ko:K00859	sags:SaSA20_1222
ko:K07042	sags:SaSA20_1232
ko:K00243	sags:SaSA20_1240
ko:K02838	sags:SaSA20_1241
ko:K09903	sags:SaSA20_1242
ko:K10824	sags:SaSA20_1243
ko:K15587	sags:SaSA20_1244
ko:K15586	sags:SaSA20_1245
ko:K15585	sags:SaSA20_1246
ko:K15584	sags:SaSA20_1247
ko:K02863	sags:SaSA20_1248
ko:K02110	sags:SaSA20_0732
ko:K02108	sags:SaSA20_0733
ko:K02109	sags:SaSA20_0734
ko:K02113	sags:SaSA20_0735
ko:K02111	sags:SaSA20_0736
ko:K02115	sags:SaSA20_0737
ko:K02112	sags:SaSA20_0738
ko:K02114	sags:SaSA20_0739
ko:K00790	sags:SaSA20_0741
ko:K01889	sags:SaSA20_0744
ko:K01890	sags:SaSA20_0746
ko:K03650	sags:SaSA20_0751
ko:K06158	sags:SaSA20_0752
ko:K00161	sags:SaSA20_0753
ko:K00162	sags:SaSA20_0754
ko:K00627	sags:SaSA20_0755
ko:K00382	sags:SaSA20_0756
ko:K03800	sags:SaSA20_0757
ko:K01928	sags:SaSA20_0759
ko:K03431	sags:SaSA20_0762
ko:K00940	sags:SaSA20_0774
ko:K03596	sags:SaSA20_0775
ko:K06950	sags:SaSA20_0778
ko:K00874	sags:SaSA20_1560
ko:K01625	sags:SaSA20_1561
ko:K03763	sags:SaSA20_1566
ko:K01881	sags:SaSA20_1568
ko:K11749	sags:SaSA20_1569
ko:K00981	sags:SaSA20_1570
ko:K00806	sags:SaSA20_1571
ko:K03210	sags:SaSA20_1573
ko:K09015	sags:SaSA20_0138
ko:K11717	sags:SaSA20_0139
ko:K09014	sags:SaSA20_0141
ko:K15580	sags:SaSA20_0144
ko:K15581	sags:SaSA20_0145
ko:K00919	sags:SaSA20_0149
ko:K09817	sags:SaSA20_0151
ko:K09816	sags:SaSA20_0152
ko:K01866	sags:SaSA20_0154
ko:K03043	sags:SaSA20_0156
ko:K03046	sags:SaSA20_0157
ko:K00925	sags:SaSA20_0164
ko:K00286	sags:SaSA20_0169
ko:K06878	sags:SaSA20_0174
ko:K07704	sags:SaSA20_0178
ko:K05338	sags:SaSA20_0180
ko:K05339	sags:SaSA20_0181
ko:K02034	sags:SaSA20_0184
ko:K01839	sags:SaSA20_1001
ko:K01807	sags:SaSA20_1002
ko:K01575	sags:SaSA20_1010
ko:K01652	sags:SaSA20_1011
ko:K01790	sags:SaSA20_1018
ko:K00973	sags:SaSA20_1019
ko:K06967	sags:SaSA20_1022
ko:K00759	sags:SaSA20_1024
ko:K07462	sags:SaSA20_1026
ko:K07124	sags:SaSA20_1027
ko:K03665	sags:SaSA20_1030
ko:K00791	sags:SaSA20_1031
ko:K04486	sags:SaSA20_1035
ko:K01126	sags:SaSA20_1039
ko:K03703	sags:SaSA20_1040
ko:K09765	sags:SaSA20_1041
ko:K03327	sags:SaSA20_1042
ko:K16786	sags:SaSA20_1748
ko:K07560	sags:SaSA20_1595
ko:K02012	sags:SaSA20_1601
ko:K16264	sags:SaSA20_0396
ko:K02773	sags:SaSA20_0404
ko:K02774	sags:SaSA20_0405
ko:K02773	sags:SaSA20_0408
ko:K02774	sags:SaSA20_0410
ko:K07407	sags:SaSA20_0415
ko:K00965	sags:SaSA20_0417
ko:K01873	sags:SaSA20_0425
ko:K01914	sags:SaSA20_0437
ko:K00954	sags:SaSA20_0442
ko:K02867	sags:SaSA20_1249
ko:K08170	sags:SaSA20_1250
ko:K03466	sags:SaSA20_1255
ko:K04042	sags:SaSA20_1264
ko:K01874	sags:SaSA20_1279
ko:K01142	sags:SaSA20_1284
ko:K00831	sags:SaSA20_1289
ko:K07056	sags:SaSA20_1292
ko:K02341	sags:SaSA20_1294
ko:K00943	sags:SaSA20_1295
ko:K01996	sags:SaSA20_1297
ko:K01995	sags:SaSA20_1298
ko:K16787	sags:SaSA20_1747
ko:K02313	sags:SaSA20_0001
ko:K02338	sags:SaSA20_0002
ko:K06942	sags:SaSA20_0005
ko:K01056	sags:SaSA20_0006
ko:K02337	sags:SaSA20_0788
ko:K00850	sags:SaSA20_0789
ko:K00873	sags:SaSA20_0790
ko:K03100	sags:SaSA20_0791
ko:K00820	sags:SaSA20_0793
ko:K06193	sags:SaSA20_0794
ko:K02029	sags:SaSA20_0795
ko:K02968	sags:SaSA20_0798
ko:K02057	sags:SaSA20_0804
ko:K02469	sags:SaSA20_0807
ko:K01951	sags:SaSA20_0812
ko:K03710	sags:SaSA20_0813
ko:K04094	sags:SaSA20_0814
ko:K02073	sags:SaSA20_0816
ko:K02003	sags:SaSA20_0819
ko:K03106	sags:SaSA20_0827
ko:K01256	sags:SaSA20_0831
ko:K02039	sags:SaSA20_0832
ko:K02036	sags:SaSA20_0833
ko:K02036	sags:SaSA20_0834
ko:K02038	sags:SaSA20_0835
ko:K07636	sags:SaSA20_1619
ko:K02036	sags:SaSA20_1622
ko:K02038	sags:SaSA20_1623
ko:K02040	sags:SaSA20_1625
ko:K09761	sags:SaSA20_1627
ko:K02687	sags:SaSA20_1628
ko:K07478	sags:SaSA20_1638
ko:K00615	sags:SaSA20_0193
ko:K02956	sags:SaSA20_0195
ko:K00962	sags:SaSA20_0196
ko:K00640	sags:SaSA20_0198
ko:K01883	sags:SaSA20_0200
ko:K11145	sags:SaSA20_0201
ko:K03218	sags:SaSA20_0202
ko:K06962	sags:SaSA20_0203
ko:K02871	sags:SaSA20_0208
ko:K02996	sags:SaSA20_0209
ko:K05846	sags:SaSA20_0221
ko:K05845	sags:SaSA20_0222
ko:K05846	sags:SaSA20_0223
ko:K05847	sags:SaSA20_0224
ko:K02935	sags:SaSA20_1048
ko:K02864	sags:SaSA20_1049
ko:K03978	sags:SaSA20_1056
ko:K03544	sags:SaSA20_1057
ko:K11068	sags:SaSA20_1064
ko:K03828	sags:SaSA20_1079
ko:K15738	sags:SaSA20_1080
ko:K02768	sags:SaSA20_1086
ko:K02769	sags:SaSA20_1086
ko:K02770	sags:SaSA20_1086
ko:K00554	sags:SaSA20_1094
ko:K02860	sags:SaSA20_1095
ko:K06941	sags:SaSA20_0446
ko:K03523	sags:SaSA20_0450
ko:K01012	sags:SaSA20_0451
ko:K16785	sags:SaSA20_1746
ko:K10773	sags:SaSA20_0455
ko:K06207	sags:SaSA20_0460
ko:K01925	sags:SaSA20_0462
ko:K02563	sags:SaSA20_0463
ko:K03589	sags:SaSA20_0464
ko:K03590	sags:SaSA20_0465
ko:K03531	sags:SaSA20_0466
ko:K06997	sags:SaSA20_0467
ko:K09772	sags:SaSA20_0468
ko:K02221	sags:SaSA20_0469
ko:K04074	sags:SaSA20_0471
ko:K01870	sags:SaSA20_0472
ko:K01491	sags:SaSA20_0479
ko:K03601	sags:SaSA20_0481
ko:K03602	sags:SaSA20_0482
ko:K13789	sags:SaSA20_0483
ko:K06442	sags:SaSA20_0484
ko:K03402	sags:SaSA20_0485
ko:K03631	sags:SaSA20_0486
ko:K03530	sags:SaSA20_0490
ko:K06885	sags:SaSA20_0497
ko:K01998	sags:SaSA20_1299
ko:K01997	sags:SaSA20_1300
ko:K01999	sags:SaSA20_1301
ko:K01358	sags:SaSA20_1303
ko:K00761	sags:SaSA20_1304
ko:K14155	sags:SaSA20_1305
ko:K03216	sags:SaSA20_1306
ko:K08998	sags:SaSA20_1310
ko:K06178	sags:SaSA20_1311
ko:K06024	sags:SaSA20_1312
ko:K05896	sags:SaSA20_1313
ko:K07095	sags:SaSA20_1316
ko:K01776	sags:SaSA20_1318
ko:K06890	sags:SaSA20_1322
ko:K06950	sags:SaSA20_1323
ko:K03437	sags:SaSA20_1324
ko:K01512	sags:SaSA20_1325
ko:K03217	sags:SaSA20_1326
ko:K03624	sags:SaSA20_1330
ko:K07082	sags:SaSA20_1331
ko:K01924	sags:SaSA20_1333
ko:K03977	sags:SaSA20_1336
ko:K07738	sags:SaSA20_1339
ko:K07040	sags:SaSA20_1342
ko:K03799	sags:SaSA20_1343
ko:K03744	sags:SaSA20_1344
ko:K03501	sags:SaSA20_1345
ko:K03723	sags:SaSA20_0007
ko:K04075	sags:SaSA20_0013
ko:K00760	sags:SaSA20_0014
ko:K03798	sags:SaSA20_0015
ko:K00948	sags:SaSA20_0017
ko:K03584	sags:SaSA20_0019
ko:K03621	sags:SaSA20_0021
ko:K02078	sags:SaSA20_0022
ko:K01923	sags:SaSA20_0023
ko:K01952	sags:SaSA20_0024
ko:K00764	sags:SaSA20_0025
ko:K01933	sags:SaSA20_0026
ko:K11175	sags:SaSA20_0027
ko:K00602	sags:SaSA20_0029
ko:K02037	sags:SaSA20_0836
ko:K02040	sags:SaSA20_0837
ko:K11753	sags:SaSA20_0842
ko:K02003	sags:SaSA20_0849
ko:K03168	sags:SaSA20_0850
ko:K04096	sags:SaSA20_0851
ko:K02016	sags:SaSA20_0852
ko:K02013	sags:SaSA20_0853
ko:K02015	sags:SaSA20_0854
ko:K02015	sags:SaSA20_0855
ko:K03470	sags:SaSA20_0857
ko:K14540	sags:SaSA20_0858
ko:K07704	sags:SaSA20_0862
ko:K01955	sags:SaSA20_0867
ko:K01956	sags:SaSA20_0868
ko:K00609	sags:SaSA20_0869
ko:K01465	sags:SaSA20_0870
ko:K00762	sags:SaSA20_0871
ko:K01591	sags:SaSA20_0872
ko:K00133	sags:SaSA20_0876
ko:K06131	sags:SaSA20_0878
ko:K01938	sags:SaSA20_0879
ko:K03800	sags:SaSA20_0880
ko:K00005	sags:SaSA20_1661
ko:K00549	sags:SaSA20_1664
ko:K01869	sags:SaSA20_1671
ko:K02601	sags:SaSA20_1674
ko:K03073	sags:SaSA20_1676
ko:K06180	sags:SaSA20_1678
ko:K00757	sags:SaSA20_1683
ko:K04077	sags:SaSA20_1686
ko:K04078	sags:SaSA20_1687
ko:K09861	sags:SaSA20_1693
ko:K07447	sags:SaSA20_1701
ko:K01246	sags:SaSA20_1706
ko:K03550	sags:SaSA20_1707
ko:K01443	sags:SaSA20_0238
ko:K01878	sags:SaSA20_0240
ko:K01118	sags:SaSA20_0241
ko:K01879	sags:SaSA20_0242
ko:K02440	sags:SaSA20_0246
ko:K00615	sags:SaSA20_0250
ko:K00931	sags:SaSA20_0255
ko:K00147	sags:SaSA20_0256
ko:K03438	sags:SaSA20_0257
ko:K01000	sags:SaSA20_0260
ko:K02029	sags:SaSA20_0263
ko:K00384	sags:SaSA20_0266
ko:K00763	sags:SaSA20_0267
ko:K05366	sags:SaSA20_0270
ko:K07444	sags:SaSA20_0275
ko:K07173	sags:SaSA20_0277
ko:K00942	sags:SaSA20_0284
ko:K03060	sags:SaSA20_0285
ko:K04066	sags:SaSA20_0286
ko:K00604	sags:SaSA20_0287
ko:K03500	sags:SaSA20_0288
ko:K06960	sags:SaSA20_1097
ko:K02959	sags:SaSA20_1098
ko:K02003	sags:SaSA20_1100
ko:K01955	sags:SaSA20_1102
ko:K01956	sags:SaSA20_1103
ko:K02825	sags:SaSA20_1104
ko:K06180	sags:SaSA20_1105
ko:K03101	sags:SaSA20_1106
ko:K02899	sags:SaSA20_1108
ko:K02888	sags:SaSA20_1110
ko:K03151	sags:SaSA20_1112
ko:K04487	sags:SaSA20_1113
ko:K01736	sags:SaSA20_1117
ko:K01735	sags:SaSA20_1118
ko:K03785	sags:SaSA20_1119
ko:K02887	sags:SaSA20_1122
ko:K02916	sags:SaSA20_1123
ko:K02520	sags:SaSA20_1124
ko:K00945	sags:SaSA20_1125
ko:K02013	sags:SaSA20_1132
ko:K04069	sags:SaSA20_1138
ko:K07139	sags:SaSA20_1141
ko:K02003	sags:SaSA20_0567
ko:K03975	sags:SaSA20_0570
ko:K02068	sags:SaSA20_0571
ko:K02069	sags:SaSA20_0572
ko:K03778	sags:SaSA20_0576
ko:K02529	sags:SaSA20_0584
ko:K01868	sags:SaSA20_0588
ko:K10040	sags:SaSA20_0593
ko:K10039	sags:SaSA20_0594
ko:K09790	sags:SaSA20_0599
ko:K03685	sags:SaSA20_0600
ko:K03529	sags:SaSA20_0601
ko:K03110	sags:SaSA20_0603
ko:K07089	sags:SaSA20_0605
ko:K06959	sags:SaSA20_0608
ko:K13292	sags:SaSA20_0613
ko:K01626	sags:SaSA20_1399
ko:K03070	sags:SaSA20_1400
ko:K01809	sags:SaSA20_1401
ko:K00847	sags:SaSA20_1402
ko:K01193	sags:SaSA20_1404
ko:K03484	sags:SaSA20_1405
ko:K03625	sags:SaSA20_1406
ko:K02356	sags:SaSA20_1408
ko:K03701	sags:SaSA20_1417
ko:K03284	sags:SaSA20_1419
ko:K02963	sags:SaSA20_1420
ko:K02990	sags:SaSA20_1422
ko:K03575	sags:SaSA20_1423
ko:K03671	sags:SaSA20_1425
ko:K07456	sags:SaSA20_1427
ko:K03100	sags:SaSA20_1431
ko:K03581	sags:SaSA20_1432
ko:K02346	sags:SaSA20_1434
ko:K00656	sags:SaSA20_1435
ko:K02440	sags:SaSA20_1440
ko:K00426	sags:SaSA20_1449
ko:K00425	sags:SaSA20_1450
ko:K03885	sags:SaSA20_1451
ko:K04041	sags:SaSA20_0501
ko:K02836	sags:SaSA20_0503
ko:K09812	sags:SaSA20_0504
ko:K16788	sags:SaSA20_1320
ko:K09811	sags:SaSA20_0505
ko:K01893	sags:SaSA20_0511
ko:K06958	sags:SaSA20_0515
ko:K08659	sags:SaSA20_0518
ko:K02909	sags:SaSA20_0520
ko:K02884	sags:SaSA20_0526
ko:K05837	sags:SaSA20_0527
ko:K02470	sags:SaSA20_0529
ko:K01079	sags:SaSA20_0531
ko:K01689	sags:SaSA20_0534
ko:K00800	sags:SaSA20_0536
ko:K00891	sags:SaSA20_0537
ko:K03215	sags:SaSA20_0539
ko:K07862	sags:SaSA20_1351
ko:K03311	sags:SaSA20_1352
ko:K02072	sags:SaSA20_1354
ko:K02071	sags:SaSA20_1355
ko:K02073	sags:SaSA20_1357
ko:K07010	sags:SaSA20_1359
ko:K05878	sags:SaSA20_1363
ko:K05879	sags:SaSA20_1364
ko:K02440	sags:SaSA20_1366
ko:K09710	sags:SaSA20_1372
ko:K00969	sags:SaSA20_1375
ko:K07574	sags:SaSA20_1376
ko:K07015	sags:SaSA20_1378
ko:K02434	sags:SaSA20_1380
ko:K02435	sags:SaSA20_1382
ko:K09773	sags:SaSA20_1384
ko:K03706	sags:SaSA20_1388
ko:K14260	sags:SaSA20_1389
ko:K00014	sags:SaSA20_1393
ko:K03655	sags:SaSA20_1395
ko:K01775	sags:SaSA20_1397
ko:K00997	sags:SaSA20_1398
ko:K16789	sags:SaSA20_0691
ko:K08303	sags:SaSA20_0618
ko:K01945	sags:SaSA20_0042
ko:K01588	sags:SaSA20_0043
ko:K01589	sags:SaSA20_0044
ko:K01756	sags:SaSA20_0047
ko:K03551	sags:SaSA20_0049
ko:K04072	sags:SaSA20_0053
ko:K01733	sags:SaSA20_0055
ko:K02946	sags:SaSA20_0057
ko:K02906	sags:SaSA20_0058
ko:K02926	sags:SaSA20_0059
ko:K02892	sags:SaSA20_0060
ko:K02886	sags:SaSA20_0061
ko:K02965	sags:SaSA20_0062
ko:K02890	sags:SaSA20_0063
ko:K02982	sags:SaSA20_0064
ko:K02878	sags:SaSA20_0065
ko:K02904	sags:SaSA20_0066
ko:K02961	sags:SaSA20_0067
ko:K02874	sags:SaSA20_0068
ko:K02895	sags:SaSA20_0069
ko:K02931	sags:SaSA20_0070
ko:K02994	sags:SaSA20_0071
ko:K02933	sags:SaSA20_0072
ko:K02881	sags:SaSA20_0073
ko:K02988	sags:SaSA20_0074
ko:K02907	sags:SaSA20_0075
ko:K02876	sags:SaSA20_0076
ko:K03076	sags:SaSA20_0077
ko:K02518	sags:SaSA20_0079
ko:K02919	sags:SaSA20_0080
ko:K02952	sags:SaSA20_0081
ko:K02948	sags:SaSA20_0082
ko:K03040	sags:SaSA20_0083
ko:K02879	sags:SaSA20_0084
ko:K00600	sags:SaSA20_0895
ko:K07566	sags:SaSA20_0896
ko:K02493	sags:SaSA20_0897
ko:K02835	sags:SaSA20_0898
ko:K01821	sags:SaSA20_0900
ko:K03734	sags:SaSA20_0901
ko:K16169	sags:SaSA20_0905
ko:K03816	sags:SaSA20_0906
ko:K00364	sags:SaSA20_0907
ko:K03549	sags:SaSA20_0910
ko:K06180	sags:SaSA20_0912
ko:K00858	sags:SaSA20_0913
ko:K00948	sags:SaSA20_0916
ko:K04487	sags:SaSA20_0917
ko:K01926	sags:SaSA20_0919
ko:K03630	sags:SaSA20_0920
ko:K01223	sags:SaSA20_0922
ko:K00075	sags:SaSA20_0937
ko:K00950	sags:SaSA20_0938
ko:K01633	sags:SaSA20_0939
ko:K00796	sags:SaSA20_0940
ko:K03572	sags:SaSA20_1709
ko:K03704	sags:SaSA20_1710
ko:K03555	sags:SaSA20_1711
ko:K03402	sags:SaSA20_1712
ko:K01887	sags:SaSA20_1713
ko:K01876	sags:SaSA20_1717
ko:K01892	sags:SaSA20_1718
ko:K02911	sags:SaSA20_1719
ko:K02913	sags:SaSA20_1720
ko:K00926	sags:SaSA20_1722
ko:K00611	sags:SaSA20_1723
ko:K07717	sags:SaSA20_1724
ko:K07719	sags:SaSA20_1725
ko:K05847	sags:SaSA20_1726
ko:K14205	sags:SaSA20_1728
ko:K08987	sags:SaSA20_1730
ko:K01421	sags:SaSA20_1731
ko:K02986	sags:SaSA20_1734
ko:K02939	sags:SaSA20_1737
ko:K03495	sags:SaSA20_1739
ko:K00566	sags:SaSA20_1741
ko:K01752	sags:SaSA20_1742
ko:K01752	sags:SaSA20_1743
ko:K00995	sags:SaSA20_1749
ko:K03629	sags:SaSA20_1753
ko:K03402	sags:SaSA20_1757
ko:K01989	sags:SaSA20_1690
ko:K00626	sags:SaSA20_0453
ko:K02236	sags:SaSA20_0456
ko:K03697	sags:SaSA20_0474
ko:K12554	sags:SaSA20_0493
ko:K05363	sags:SaSA20_0494
ko:K05363	sags:SaSA20_0495
ko:K03294	sags:SaSA20_1307
ko:K02428	sags:SaSA20_1317
ko:K09976	sags:SaSA20_1319
ko:K07105	sags:SaSA20_1321
ko:K11144	sags:SaSA20_1337
ko:K03346	sags:SaSA20_1338
ko:K03499	sags:SaSA20_1347
ko:K00700	sags:SaSA20_0728
ko:K15051	sags:SaSA20_0743
ko:K07009	sags:SaSA20_0758
ko:K09952	sags:SaSA20_0769
ko:K07305	sags:SaSA20_0780
ko:K02744	sags:SaSA20_1557
ko:K00046	sags:SaSA20_1558
ko:K00027	sags:SaSA20_1575
ko:K01784	sags:SaSA20_1579
ko:K01635	sags:SaSA20_1584
ko:K00917	sags:SaSA20_1585
ko:K01819	sags:SaSA20_1586
ko:K01819	sags:SaSA20_1587
ko:K02530	sags:SaSA20_1592
ko:K09815	sags:SaSA20_1594
ko:K03647	sags:SaSA20_1598
ko:K07720	sags:SaSA20_1602
ko:K02795	sags:SaSA20_1605
ko:K02822	sags:SaSA20_0190
ko:K03475	sags:SaSA20_0191
ko:K07729	sags:SaSA20_0207
ko:K04086	sags:SaSA20_1050
ko:K01641	sags:SaSA20_1061
ko:K00054	sags:SaSA20_1062
ko:K01823	sags:SaSA20_1068
ko:K00938	sags:SaSA20_1069
ko:K01597	sags:SaSA20_1070
ko:K00869	sags:SaSA20_1071
ko:K00974	sags:SaSA20_1081
ko:K00882	sags:SaSA20_1087
ko:K03436	sags:SaSA20_1088
ko:K07035	sags:SaSA20_1092
ko:K07705	sags:SaSA20_0179
ko:K12556	sags:SaSA20_0259
ko:K01916	sags:SaSA20_0268
ko:K03700	sags:SaSA20_0271
ko:K02004	sags:SaSA20_1099
ko:K02005	sags:SaSA20_1101
ko:K07584	sags:SaSA20_1109
ko:K00383	sags:SaSA20_1115
ko:K05337	sags:SaSA20_1127
ko:K01258	sags:SaSA20_1129
ko:K05362	sags:SaSA20_1131
ko:K15986	sags:SaSA20_1137
ko:K03699	sags:SaSA20_1139
ko:K01104	sags:SaSA20_0050
ko:K13953	sags:SaSA20_0054
ko:K00939	sags:SaSA20_0078
ko:K01835	sags:SaSA20_0890
ko:K07816	sags:SaSA20_0914
ko:K11069	sags:SaSA20_0933
ko:K11071	sags:SaSA20_0935
ko:K11072	sags:SaSA20_0936
ko:K05845	sags:SaSA20_1727
ko:K05846	sags:SaSA20_1727
ko:K05595	sags:SaSA20_1740
ko:K00088	sags:SaSA20_1756
ko:K11617	sags:SaSA20_0293
ko:K11618	sags:SaSA20_0294
ko:K03768	sags:SaSA20_0295
ko:K07570	sags:SaSA20_0296
ko:K02240	sags:SaSA20_0305
ko:K02242	sags:SaSA20_0306
ko:K02371	sags:SaSA20_0314
ko:K00059	sags:SaSA20_0316
ko:K02795	sags:SaSA20_0328
ko:K02793	sags:SaSA20_0329
ko:K02794	sags:SaSA20_0329
