ko:K04042	cbk:CLL_A0148
ko:K02470	cbk:CLL_A0006
ko:K03610	cbk:CLL_A0567
ko:K03608	cbk:CLL_A0569
ko:K04066	cbk:CLL_A1214
ko:K03601	cbk:CLL_A2404
ko:K03666	cbk:CLL_A1816
ko:K02313	cbk:CLL_A0001
ko:K01933	cbk:CLL_A1106
ko:K02337	cbk:CLL_A3338
ko:K00891	cbk:CLL_A3138
ko:K02564	cbk:CLL_A0717
ko:K02404	cbk:CLL_A0859
ko:K03060	cbk:CLL_A1212
ko:K04567	cbk:CLL_A0178
ko:K03763	cbk:CLL_A1268
ko:K00525	cbk:CLL_A0284
ko:K01703	cbk:CLL_A0322
ko:K01056	cbk:CLL_A0151
ko:K01883	cbk:CLL_A0218
ko:K02392	cbk:CLL_A0865
ko:K07173	cbk:CLL_A3319
ko:K02825	cbk:CLL_A2431
ko:K03040	cbk:CLL_A0267
ko:K02340	cbk:CLL_A0882
ko:K02338	cbk:CLL_A0002
ko:K03043	cbk:CLL_A0231
ko:K02335	cbk:CLL_A2645
ko:K03046	cbk:CLL_A0232
ko:K01448	cbk:CLL_A3204
ko:K02499	cbk:CLL_A0156
ko:K02411	cbk:CLL_A0842
ko:K02557	cbk:CLL_A0852
ko:K03412	cbk:CLL_A0798
ko:K02343	cbk:CLL_A3447
ko:K02669	cbk:CLL_A1186
ko:K03590	cbk:CLL_A1187
ko:K03531	cbk:CLL_A1188
ko:K06383	cbk:CLL_A1189
ko:K03091	cbk:CLL_A1190
ko:K03091	cbk:CLL_A1191
ko:K07738	cbk:CLL_A1193
ko:K05810	cbk:CLL_A1194
ko:K02040	cbk:CLL_A1197
ko:K02037	cbk:CLL_A1198
ko:K02038	cbk:CLL_A1199
ko:K02036	cbk:CLL_A1200
ko:K02039	cbk:CLL_A1201
ko:K03977	cbk:CLL_A1203
ko:K00057	cbk:CLL_A1204
ko:K06398	cbk:CLL_A1205
ko:K06901	cbk:CLL_A1208
ko:K01462	cbk:CLL_A2185
ko:K03088	cbk:CLL_A2197
ko:K01118	cbk:CLL_A2201
ko:K07043	cbk:CLL_A2212
ko:K03088	cbk:CLL_A2221
ko:K00948	cbk:CLL_A2222
ko:K09786	cbk:CLL_A3091
ko:K07180	cbk:CLL_A3092
ko:K03654	cbk:CLL_A3093
ko:K02003	cbk:CLL_A3097
ko:K07001	cbk:CLL_A3103
ko:K00788	cbk:CLL_A3104
ko:K00878	cbk:CLL_A3105
ko:K01752	cbk:CLL_A3108
ko:K01752	cbk:CLL_A3109
ko:K00876	cbk:CLL_A3110
ko:K01624	cbk:CLL_A3113
ko:K01940	cbk:CLL_A3114
ko:K00145	cbk:CLL_A3116
ko:K00930	cbk:CLL_A3118
ko:K00611	cbk:CLL_A3120
ko:K08302	cbk:CLL_A3127
ko:K02744	cbk:CLL_A3128
ko:K02082	cbk:CLL_A3129
ko:K03710	cbk:CLL_A3130
ko:K01443	cbk:CLL_A3135
ko:K00014	cbk:CLL_A3139
ko:K01736	cbk:CLL_A3141
ko:K00800	cbk:CLL_A3142
ko:K02867	cbk:CLL_A0227
ko:K02863	cbk:CLL_A0228
ko:K02864	cbk:CLL_A0229
ko:K02935	cbk:CLL_A0230
ko:K02950	cbk:CLL_A0233
ko:K02992	cbk:CLL_A0234
ko:K02355	cbk:CLL_A0235
ko:K02946	cbk:CLL_A0237
ko:K02906	cbk:CLL_A0238
ko:K02926	cbk:CLL_A0239
ko:K02892	cbk:CLL_A0240
ko:K02886	cbk:CLL_A0241
ko:K03411	cbk:CLL_A0797
ko:K03407	cbk:CLL_A0800
ko:K03413	cbk:CLL_A0802
ko:K03408	cbk:CLL_A0803
ko:K02398	cbk:CLL_A0806
ko:K02397	cbk:CLL_A0809
ko:K03563	cbk:CLL_A0811
ko:K06603	cbk:CLL_A0812
ko:K02422	cbk:CLL_A0814
ko:K02407	cbk:CLL_A0815
ko:K02406	cbk:CLL_A0820
ko:K01955	cbk:CLL_A0824
ko:K02406	cbk:CLL_A0836
ko:K02387	cbk:CLL_A0837
ko:K02388	cbk:CLL_A0838
ko:K02408	cbk:CLL_A0839
ko:K02413	cbk:CLL_A0844
ko:K02389	cbk:CLL_A0846
ko:K03716	cbk:CLL_A1824
ko:K07507	cbk:CLL_A1825
ko:K01126	cbk:CLL_A1826
ko:K07507	cbk:CLL_A1827
ko:K04564	cbk:CLL_A1835
ko:K02965	cbk:CLL_A0242
ko:K06969	cbk:CLL_A0085
ko:K01870	cbk:CLL_A0093
ko:K02529	cbk:CLL_A0094
ko:K09458	cbk:CLL_A1151
ko:K02160	cbk:CLL_A1152
ko:K02372	cbk:CLL_A1153
ko:K03637	cbk:CLL_A1164
ko:K03639	cbk:CLL_A1165
ko:K07478	cbk:CLL_A1167
ko:K04488	cbk:CLL_A1170
ko:K00566	cbk:CLL_A1171
ko:K01872	cbk:CLL_A1174
ko:K07447	cbk:CLL_A1176
ko:K06207	cbk:CLL_A1180
ko:K07082	cbk:CLL_A1181
ko:K08303	cbk:CLL_A1183
ko:K03091	cbk:CLL_A1185
ko:K07089	cbk:CLL_A1334
ko:K01265	cbk:CLL_A1341
ko:K00943	cbk:CLL_A1347
ko:K00560	cbk:CLL_A1349
ko:K03521	cbk:CLL_A1361
ko:K03522	cbk:CLL_A1362
ko:K02796	cbk:CLL_A1375
ko:K02003	cbk:CLL_A1382
ko:K02020	cbk:CLL_A1389
ko:K02897	cbk:CLL_A2223
ko:K02897	cbk:CLL_A2224
ko:K01258	cbk:CLL_A2228
ko:K06206	cbk:CLL_A2237
ko:K07217	cbk:CLL_A2270
ko:K01735	cbk:CLL_A3143
ko:K03856	cbk:CLL_A3144
ko:K06131	cbk:CLL_A3147
ko:K01869	cbk:CLL_A3149
ko:K07816	cbk:CLL_A3159
ko:K04061	cbk:CLL_A3164
ko:K01866	cbk:CLL_A3166
ko:K01867	cbk:CLL_A3171
ko:K00963	cbk:CLL_A3172
ko:K03311	cbk:CLL_A3173
ko:K02026	cbk:CLL_A3190
ko:K09748	cbk:CLL_A1269
ko:K07742	cbk:CLL_A1271
ko:K02519	cbk:CLL_A1273
ko:K02834	cbk:CLL_A1274
ko:K02956	cbk:CLL_A1278
ko:K00962	cbk:CLL_A1279
ko:K00928	cbk:CLL_A1282
ko:K00995	cbk:CLL_A1286
ko:K06416	cbk:CLL_A1289
ko:K00793	cbk:CLL_A1296
ko:K00794	cbk:CLL_A1298
ko:K01624	cbk:CLL_A1301
ko:K03338	cbk:CLL_A1302
ko:K00005	cbk:CLL_A0537
ko:K01486	cbk:CLL_A1394
ko:K02016	cbk:CLL_A1402
ko:K02015	cbk:CLL_A1403
ko:K02013	cbk:CLL_A1404
ko:K03707	cbk:CLL_A1417
ko:K01531	cbk:CLL_A1427
ko:K01662	cbk:CLL_A1441
ko:K00865	cbk:CLL_A2354
ko:K02647	cbk:CLL_A2356
ko:K09861	cbk:CLL_A2361
ko:K07258	cbk:CLL_A2367
ko:K07699	cbk:CLL_A2395
ko:K06399	cbk:CLL_A2396
ko:K03631	cbk:CLL_A2397
ko:K03402	cbk:CLL_A2398
ko:K00858	cbk:CLL_A2399
ko:K02822	cbk:CLL_A3264
ko:K03475	cbk:CLL_A3265
ko:K02821	cbk:CLL_A3266
ko:K03476	cbk:CLL_A3267
ko:K01652	cbk:CLL_A3272
ko:K03798	cbk:CLL_A3282
ko:K03100	cbk:CLL_A3284
ko:K03100	cbk:CLL_A3285
ko:K01586	cbk:CLL_A3286
ko:K02662	cbk:CLL_A3299
ko:K02653	cbk:CLL_A3301
ko:K02652	cbk:CLL_A3302
ko:K02654	cbk:CLL_A3303
ko:K02469	cbk:CLL_A0007
ko:K01875	cbk:CLL_A0018
ko:K06904	cbk:CLL_A0039
ko:K01613	cbk:CLL_A0050
ko:K03308	cbk:CLL_A0055
ko:K00931	cbk:CLL_A0062
ko:K03337	cbk:CLL_A1303
ko:K03336	cbk:CLL_A1304
ko:K03335	cbk:CLL_A1306
ko:K00851	cbk:CLL_A1310
ko:K06155	cbk:CLL_A1311
ko:K00033	cbk:CLL_A1312
ko:K06901	cbk:CLL_A1315
ko:K00005	cbk:CLL_A1318
ko:K01649	cbk:CLL_A1322
ko:K03088	cbk:CLL_A2303
ko:K00335	cbk:CLL_A2308
ko:K00334	cbk:CLL_A2309
ko:K01652	cbk:CLL_A2334
ko:K01709	cbk:CLL_A2337
ko:K00978	cbk:CLL_A2338
ko:K03671	cbk:CLL_A3209
ko:K00384	cbk:CLL_A3210
ko:K04486	cbk:CLL_A3211
ko:K00266	cbk:CLL_A3213
ko:K00528	cbk:CLL_A3214
ko:K02837	cbk:CLL_A3219
ko:K07386	cbk:CLL_A3235
ko:K00067	cbk:CLL_A3249
ko:K01790	cbk:CLL_A3252
ko:K00973	cbk:CLL_A3253
ko:K02783	cbk:CLL_A0397
ko:K07814	cbk:CLL_A1722
ko:K01142	cbk:CLL_A1732
ko:K04024	cbk:CLL_A1745
ko:K02051	cbk:CLL_A2631
ko:K02049	cbk:CLL_A2632
ko:K02050	cbk:CLL_A2633
ko:K03169	cbk:CLL_A2636
ko:K00859	cbk:CLL_A2644
ko:K01494	cbk:CLL_A2648
ko:K03088	cbk:CLL_A2668
ko:K03830	cbk:CLL_A2672
ko:K00790	cbk:CLL_A3552
ko:K09936	cbk:CLL_A3555
ko:K07007	cbk:CLL_A3573
ko:K01939	cbk:CLL_A3576
ko:K00286	cbk:CLL_A3578
ko:K02314	cbk:CLL_A3580
ko:K01338	cbk:CLL_A3581
ko:K02939	cbk:CLL_A3582
ko:K02963	cbk:CLL_A3585
ko:K03111	cbk:CLL_A3586
ko:K02990	cbk:CLL_A3587
ko:K03495	cbk:CLL_A3599
ko:K03650	cbk:CLL_A3600
ko:K06346	cbk:CLL_A3601
ko:K03217	cbk:CLL_A3602
ko:K03536	cbk:CLL_A3603
ko:K02914	cbk:CLL_A3604
ko:K02390	cbk:CLL_A0848
ko:K02390	cbk:CLL_A0849
ko:K02385	cbk:CLL_A0850
ko:K02556	cbk:CLL_A0851
ko:K02415	cbk:CLL_A0853
ko:K02420	cbk:CLL_A0856
ko:K04562	cbk:CLL_A0860
ko:K02392	cbk:CLL_A0866
ko:K06379	cbk:CLL_A0875
ko:K03091	cbk:CLL_A0876
ko:K06405	cbk:CLL_A0877
ko:K06406	cbk:CLL_A0878
ko:K06407	cbk:CLL_A0879
ko:K02238	cbk:CLL_A0881
ko:K02968	cbk:CLL_A0883
ko:K06012	cbk:CLL_A0884
ko:K06385	cbk:CLL_A0885
ko:K03596	cbk:CLL_A0887
ko:K03705	cbk:CLL_A0889
ko:K03687	cbk:CLL_A0890
ko:K04043	cbk:CLL_A0891
ko:K00366	cbk:CLL_A0893
ko:K03439	cbk:CLL_A0894
ko:K09761	cbk:CLL_A0896
ko:K02970	cbk:CLL_A0899
ko:K09117	cbk:CLL_A0900
ko:K06438	cbk:CLL_A0902
ko:K07037	cbk:CLL_A0903
ko:K07042	cbk:CLL_A0904
ko:K00901	cbk:CLL_A0905
ko:K00147	cbk:CLL_A0063
ko:K02348	cbk:CLL_A0064
ko:K08981	cbk:CLL_A0066
ko:K01956	cbk:CLL_A0070
ko:K01955	cbk:CLL_A0071
ko:K01915	cbk:CLL_A0073
ko:K01776	cbk:CLL_A0074
ko:K04070	cbk:CLL_A0080
ko:K07139	cbk:CLL_A0083
ko:K04069	cbk:CLL_A1840
ko:K00656	cbk:CLL_A1841
ko:K02415	cbk:CLL_A1861
ko:K02003	cbk:CLL_A1862
ko:K06213	cbk:CLL_A1867
ko:K08223	cbk:CLL_A1875
ko:K07217	cbk:CLL_A2751
ko:K03700	cbk:CLL_A2758
ko:K03111	cbk:CLL_A2769
ko:K07150	cbk:CLL_A2799
ko:K08884	cbk:CLL_A2801
ko:K03628	cbk:CLL_A0477
ko:K02909	cbk:CLL_A0479
ko:K02493	cbk:CLL_A0482
ko:K02835	cbk:CLL_A0483
ko:K07566	cbk:CLL_A0485
ko:K01808	cbk:CLL_A0486
ko:K00761	cbk:CLL_A0487
ko:K01493	cbk:CLL_A0488
ko:K02108	cbk:CLL_A0492
ko:K02110	cbk:CLL_A0493
ko:K02109	cbk:CLL_A0494
ko:K02114	cbk:CLL_A0499
ko:K06381	cbk:CLL_A0502
ko:K06283	cbk:CLL_A0504
ko:K00789	cbk:CLL_A0515
ko:K03581	cbk:CLL_A0516
ko:K05808	cbk:CLL_A0519
ko:K02836	cbk:CLL_A0522
ko:K06959	cbk:CLL_A0526
ko:K06925	cbk:CLL_A0532
ko:K00705	cbk:CLL_A0976
ko:K00688	cbk:CLL_A0977
ko:K07646	cbk:CLL_A0981
ko:K07667	cbk:CLL_A0982
ko:K02687	cbk:CLL_A0983
ko:K00940	cbk:CLL_A0992
ko:K11069	cbk:CLL_A0993
ko:K11070	cbk:CLL_A0994
ko:K11071	cbk:CLL_A0995
ko:K03310	cbk:CLL_A1000
ko:K01611	cbk:CLL_A1011
ko:K00797	cbk:CLL_A1013
ko:K01480	cbk:CLL_A1017
ko:K00005	cbk:CLL_A1018
ko:K03550	cbk:CLL_A1022
ko:K00773	cbk:CLL_A1025
ko:K03210	cbk:CLL_A1026
ko:K00759	cbk:CLL_A1030
ko:K07560	cbk:CLL_A1032
ko:K02238	cbk:CLL_A1884
ko:K03700	cbk:CLL_A1934
ko:K06196	cbk:CLL_A2806
ko:K03671	cbk:CLL_A2807
ko:K03100	cbk:CLL_A2828
ko:K10254	cbk:CLL_A2829
ko:K02003	cbk:CLL_A2833
ko:K03523	cbk:CLL_A2836
ko:K00873	cbk:CLL_A2841
ko:K03595	cbk:CLL_A0906
ko:K03584	cbk:CLL_A0907
ko:K06950	cbk:CLL_A1762
ko:K04564	cbk:CLL_A1773
ko:K04758	cbk:CLL_A1782
ko:K07007	cbk:CLL_A1803
ko:K00945	cbk:CLL_A1804
ko:K03976	cbk:CLL_A1809
ko:K00791	cbk:CLL_A1817
ko:K03486	cbk:CLL_A1819
ko:K01226	cbk:CLL_A1820
ko:K01462	cbk:CLL_A2690
ko:K03737	cbk:CLL_A0790
ko:K00826	cbk:CLL_A0794
ko:K09749	cbk:CLL_A0795
ko:K03408	cbk:CLL_A0796
ko:K02650	cbk:CLL_A3300
ko:K01972	cbk:CLL_A0409
ko:K02435	cbk:CLL_A0410
ko:K02433	cbk:CLL_A0411
ko:K02434	cbk:CLL_A0412
ko:K00989	cbk:CLL_A0417
ko:K07095	cbk:CLL_A0419
ko:K03568	cbk:CLL_A0447
ko:K03592	cbk:CLL_A0448
ko:K01409	cbk:CLL_A0454
ko:K04023	cbk:CLL_A0458
ko:K03802	cbk:CLL_A0470
ko:K00919	cbk:CLL_A0471
ko:K06387	cbk:CLL_A0472
ko:K01937	cbk:CLL_A0476
ko:K04031	cbk:CLL_A1455
ko:K04029	cbk:CLL_A1456
ko:K04024	cbk:CLL_A1458
ko:K06901	cbk:CLL_A1469
ko:K02016	cbk:CLL_A1473
ko:K02015	cbk:CLL_A1474
ko:K02013	cbk:CLL_A1475
ko:K06969	cbk:CLL_A1487
ko:K01222	cbk:CLL_A1497
ko:K04069	cbk:CLL_A1512
ko:K06442	cbk:CLL_A2400
ko:K01662	cbk:CLL_A2401
ko:K03602	cbk:CLL_A2403
ko:K03625	cbk:CLL_A2406
ko:K06397	cbk:CLL_A2408
ko:K06396	cbk:CLL_A2409
ko:K06394	cbk:CLL_A2411
ko:K06393	cbk:CLL_A2412
ko:K06392	cbk:CLL_A2413
ko:K06391	cbk:CLL_A2414
ko:K06390	cbk:CLL_A2415
ko:K01778	cbk:CLL_A2428
ko:K07444	cbk:CLL_A2430
ko:K06180	cbk:CLL_A2432
ko:K04074	cbk:CLL_A2433
ko:K02221	cbk:CLL_A2435
ko:K09772	cbk:CLL_A2436
ko:K06997	cbk:CLL_A2437
ko:K03589	cbk:CLL_A2441
ko:K03588	cbk:CLL_A2442
ko:K01000	cbk:CLL_A2443
ko:K01929	cbk:CLL_A2444
ko:K01928	cbk:CLL_A2445
ko:K03438	cbk:CLL_A2448
ko:K03925	cbk:CLL_A2449
ko:K06942	cbk:CLL_A2452
ko:K03564	cbk:CLL_A3314
ko:K01738	cbk:CLL_A3318
ko:K07727	cbk:CLL_A3323
ko:K00873	cbk:CLL_A3336
ko:K00850	cbk:CLL_A3337
ko:K09762	cbk:CLL_A3340
ko:K00075	cbk:CLL_A3343
ko:K03703	cbk:CLL_A3344
ko:K03701	cbk:CLL_A3348
ko:K03702	cbk:CLL_A3349
ko:K03797	cbk:CLL_A3351
ko:K09811	cbk:CLL_A3352
ko:K09812	cbk:CLL_A3353
ko:K00615	cbk:CLL_A3355
ko:K00615	cbk:CLL_A3356
ko:K02796	cbk:CLL_A3357
ko:K02795	cbk:CLL_A3358
ko:K00997	cbk:CLL_A3366
ko:K01963	cbk:CLL_A1155
ko:K19225	cbk:CLL_A0777
ko:K11105	cbk:CLL_A0342
ko:K01962	cbk:CLL_A1156
ko:K03466	cbk:CLL_A1284
ko:K02622	cbk:CLL_A0781
ko:K00763	cbk:CLL_A2878
ko:K04077	cbk:CLL_A0386
ko:K01756	cbk:CLL_A1292
ko:K01874	cbk:CLL_A0112
ko:K01574	cbk:CLL_A2135
ko:K06608	cbk:CLL_A1299
ko:K00821	cbk:CLL_A3119
ko:K07090	cbk:CLL_A3479
ko:K00567	cbk:CLL_A1704
ko:K00812	cbk:CLL_A0792
ko:K01091	cbk:CLL_A1060
ko:K00868	cbk:CLL_A3208
ko:K02121	cbk:CLL_A2864
ko:K05946	cbk:CLL_A2459
ko:K02443	cbk:CLL_A1042
ko:K00625	cbk:CLL_A1234
ko:K03660	cbk:CLL_A0379
ko:K09705	cbk:CLL_A1398
ko:K02746	cbk:CLL_A3132
ko:K03501	cbk:CLL_A3598
ko:K01420	cbk:CLL_A1976
ko:K01270	cbk:CLL_A0558
ko:K11753	cbk:CLL_A1277
ko:K00575	cbk:CLL_A0799
ko:K02445	cbk:CLL_A0351
ko:K01770	cbk:CLL_A0353
ko:K01012	cbk:CLL_A0358
ko:K03521	cbk:CLL_A0363
ko:K03522	cbk:CLL_A0364
ko:K01926	cbk:CLL_A0372
ko:K03521	cbk:CLL_A0375
ko:K03522	cbk:CLL_A0376
ko:K04078	cbk:CLL_A0385
ko:K03308	cbk:CLL_A2980
ko:K06871	cbk:CLL_A2986
ko:K04079	cbk:CLL_A2988
ko:K03546	cbk:CLL_A2990
ko:K01817	cbk:CLL_A3003
ko:K03088	cbk:CLL_A3006
ko:K04759	cbk:CLL_A3028
ko:K04758	cbk:CLL_A3029
ko:K09777	cbk:CLL_A1210
ko:K00942	cbk:CLL_A1211
ko:K01462	cbk:CLL_A1215
ko:K06973	cbk:CLL_A1217
ko:K06941	cbk:CLL_A1219
ko:K06949	cbk:CLL_A1222
ko:K01783	cbk:CLL_A1223
ko:K02902	cbk:CLL_A1225
ko:K07030	cbk:CLL_A1227
ko:K00925	cbk:CLL_A1235
ko:K07040	cbk:CLL_A1236
ko:K02911	cbk:CLL_A1237
ko:K03621	cbk:CLL_A1238
ko:K02078	cbk:CLL_A1239
ko:K03529	cbk:CLL_A1242
ko:K03110	cbk:CLL_A1243
ko:K09787	cbk:CLL_A1244
ko:K03106	cbk:CLL_A1245
ko:K02959	cbk:CLL_A1246
ko:K06960	cbk:CLL_A1247
ko:K02860	cbk:CLL_A1248
ko:K00554	cbk:CLL_A1249
ko:K02884	cbk:CLL_A1250
ko:K03470	cbk:CLL_A1252
ko:K07460	cbk:CLL_A1253
ko:K07391	cbk:CLL_A1254
ko:K04096	cbk:CLL_A1255
ko:K03706	cbk:CLL_A1257
ko:K02967	cbk:CLL_A1258
ko:K02357	cbk:CLL_A1259
ko:K09903	cbk:CLL_A1260
ko:K02838	cbk:CLL_A1261
ko:K00806	cbk:CLL_A1262
ko:K00981	cbk:CLL_A1263
ko:K00099	cbk:CLL_A1265
ko:K02013	cbk:CLL_A2113
ko:K02015	cbk:CLL_A2114
ko:K02015	cbk:CLL_A2115
ko:K02016	cbk:CLL_A2116
ko:K02768	cbk:CLL_A2126
ko:K02769	cbk:CLL_A2126
ko:K02770	cbk:CLL_A2126
ko:K06872	cbk:CLL_A2156
ko:K07386	cbk:CLL_A3035
ko:K02020	cbk:CLL_A3045
ko:K00266	cbk:CLL_A3048
ko:K00528	cbk:CLL_A3049
ko:K03664	cbk:CLL_A3050
ko:K03075	cbk:CLL_A3053
ko:K01689	cbk:CLL_A3055
ko:K07106	cbk:CLL_A3059
ko:K01803	cbk:CLL_A3064
ko:K00927	cbk:CLL_A3065
ko:K00134	cbk:CLL_A3066
ko:K05311	cbk:CLL_A3067
ko:K03216	cbk:CLL_A3070
ko:K01921	cbk:CLL_A3075
ko:K10773	cbk:CLL_A3076
ko:K00655	cbk:CLL_A3077
ko:K00640	cbk:CLL_A3079
ko:K01738	cbk:CLL_A3080
ko:K00077	cbk:CLL_A1138
ko:K00648	cbk:CLL_A1146
ko:K02078	cbk:CLL_A1147
ko:K02371	cbk:CLL_A1148
ko:K00645	cbk:CLL_A1149
ko:K03150	cbk:CLL_A1999
ko:K04654	cbk:CLL_A2001
ko:K04655	cbk:CLL_A2002
ko:K04653	cbk:CLL_A2003
ko:K04656	cbk:CLL_A2004
ko:K06281	cbk:CLL_A2007
ko:K06282	cbk:CLL_A2008
ko:K02342	cbk:CLL_A2019
ko:K02006	cbk:CLL_A2028
ko:K09815	cbk:CLL_A0549
ko:K03969	cbk:CLL_A0554
ko:K02945	cbk:CLL_A0556
ko:K00873	cbk:CLL_A0557
ko:K06287	cbk:CLL_A0561
ko:K03630	cbk:CLL_A0562
ko:K03570	cbk:CLL_A0564
ko:K05837	cbk:CLL_A0570
ko:K01734	cbk:CLL_A0571
ko:K08301	cbk:CLL_A0577
ko:K02888	cbk:CLL_A0578
ko:K07584	cbk:CLL_A0579
ko:K02899	cbk:CLL_A0580
ko:K03979	cbk:CLL_A0581
ko:K07574	cbk:CLL_A0582
ko:K02008	cbk:CLL_A2029
ko:K02007	cbk:CLL_A2030
ko:K03282	cbk:CLL_A2031
ko:K09155	cbk:CLL_A2035
ko:K07322	cbk:CLL_A2036
ko:K05916	cbk:CLL_A2041
ko:K02227	cbk:CLL_A2919
ko:K02233	cbk:CLL_A2922
ko:K02231	cbk:CLL_A2923
ko:K05845	cbk:CLL_A2925
ko:K05846	cbk:CLL_A2925
ko:K05895	cbk:CLL_A2929
ko:K07053	cbk:CLL_A2843
ko:K07150	cbk:CLL_A1038
ko:K00003	cbk:CLL_A1041
ko:K00864	cbk:CLL_A1043
ko:K00111	cbk:CLL_A1044
ko:K00928	cbk:CLL_A1047
ko:K00266	cbk:CLL_A1049
ko:K07736	cbk:CLL_A1053
ko:K00784	cbk:CLL_A1059
ko:K01754	cbk:CLL_A1070
ko:K07301	cbk:CLL_A1074
ko:K03311	cbk:CLL_A1077
ko:K00600	cbk:CLL_A1084
ko:K00845	cbk:CLL_A2056
ko:K02529	cbk:CLL_A2060
ko:K02026	cbk:CLL_A2062
ko:K02025	cbk:CLL_A2063
ko:K03088	cbk:CLL_A2075
ko:K03427	cbk:CLL_A2081
ko:K02759	cbk:CLL_A2093
ko:K02440	cbk:CLL_A2097
ko:K02529	cbk:CLL_A2975
ko:K06023	cbk:CLL_A2846
ko:K00548	cbk:CLL_A2853
ko:K07173	cbk:CLL_A2855
ko:K02120	cbk:CLL_A2859
ko:K02118	cbk:CLL_A2860
ko:K01914	cbk:CLL_A2568
ko:K01006	cbk:CLL_A0910
ko:K01129	cbk:CLL_A0912
ko:K03086	cbk:CLL_A0914
ko:K06967	cbk:CLL_A0915
ko:K06904	cbk:CLL_A0945
ko:K10112	cbk:CLL_A0973
ko:K06284	cbk:CLL_A1946
ko:K06901	cbk:CLL_A1967
ko:K06193	cbk:CLL_A1975
ko:K06920	cbk:CLL_A1980
ko:K10254	cbk:CLL_A1991
ko:K02117	cbk:CLL_A2861
ko:K02122	cbk:CLL_A2862
ko:K02119	cbk:CLL_A2863
ko:K02124	cbk:CLL_A2865
ko:K06179	cbk:CLL_A2873
ko:K09825	cbk:CLL_A2882
ko:K03978	cbk:CLL_A2886
ko:K03544	cbk:CLL_A2888
ko:K03545	cbk:CLL_A2890
ko:K04486	cbk:CLL_A2893
ko:K06209	cbk:CLL_A2896
ko:K00872	cbk:CLL_A2897
ko:K01733	cbk:CLL_A2898
ko:K01845	cbk:CLL_A2904
ko:K01698	cbk:CLL_A2905
ko:K01749	cbk:CLL_A2907
ko:K02492	cbk:CLL_A2909
ko:K00806	cbk:CLL_A2911
