ko:K14224	cjl:PJ17_04555
ko:K03427	cjl:PJ17_08095
ko:K07118	cjl:PJ17_08105
ko:K07089	cjl:PJ17_08115
ko:K07118	cjl:PJ17_08130
ko:K07089	cjl:PJ17_08135
ko:K03406	cjl:PJ17_08150
ko:K00343	cjl:PJ17_08160
ko:K00342	cjl:PJ17_08165
ko:K00341	cjl:PJ17_08170
ko:K00340	cjl:PJ17_08175
ko:K02916	cjl:PJ17_01200
ko:K02887	cjl:PJ17_01205
ko:K03637	cjl:PJ17_01240
ko:K01142	cjl:PJ17_01255
ko:K03760	cjl:PJ17_01260
ko:K00901	cjl:PJ17_01265
ko:K01465	cjl:PJ17_01275
ko:K03406	cjl:PJ17_01290
ko:K07238	cjl:PJ17_01295
ko:K03406	cjl:PJ17_01300
ko:K00826	cjl:PJ17_01320
ko:K01821	cjl:PJ17_01325
ko:K03564	cjl:PJ17_01330
ko:K09765	cjl:PJ17_01335
ko:K02372	cjl:PJ17_01340
ko:K00677	cjl:PJ17_01345
ko:K03544	cjl:PJ17_01350
ko:K03569	cjl:PJ17_01355
ko:K03570	cjl:PJ17_01360
ko:K01955	cjl:PJ17_01365
ko:K00616	cjl:PJ17_01375
ko:K01079	cjl:PJ17_01380
ko:K03408	cjl:PJ17_01385
ko:K03407	cjl:PJ17_01390
ko:K03415	cjl:PJ17_01395
ko:K03269	cjl:PJ17_01400
ko:K03624	cjl:PJ17_01405
ko:K00748	cjl:PJ17_01410
ko:K03787	cjl:PJ17_01425
ko:K01579	cjl:PJ17_01435
ko:K01918	cjl:PJ17_01440
ko:K00606	cjl:PJ17_01445
ko:K02017	cjl:PJ17_01450
ko:K02018	cjl:PJ17_01455
ko:K02843	cjl:PJ17_05870
ko:K03271	cjl:PJ17_05875
ko:K03272	cjl:PJ17_05880
ko:K03274	cjl:PJ17_05885
ko:K03273	cjl:PJ17_05890
ko:K08738	cjl:PJ17_05895
ko:K17686	cjl:PJ17_05905
ko:K03628	cjl:PJ17_05910
ko:K02343	cjl:PJ17_05915
ko:K01533	cjl:PJ17_05935
ko:K16264	cjl:PJ17_05945
ko:K09981	cjl:PJ17_05950
ko:K00016	cjl:PJ17_05965
ko:K03768	cjl:PJ17_05985
ko:K11743	cjl:PJ17_05995
ko:K11742	cjl:PJ17_06000
ko:K01887	cjl:PJ17_06005
ko:K03116	cjl:PJ17_06010
ko:K00942	cjl:PJ17_06015
ko:K02421	cjl:PJ17_06025
ko:K02003	cjl:PJ17_06030
ko:K02357	cjl:PJ17_06035
ko:K02967	cjl:PJ17_06040
ko:K00574	cjl:PJ17_06045
ko:K00413	cjl:PJ17_06050
ko:K00412	cjl:PJ17_06055
ko:K00411	cjl:PJ17_06060
ko:K03893	cjl:PJ17_06065
ko:K03495	cjl:PJ17_06070
ko:K11103	cjl:PJ17_06090
ko:K03306	cjl:PJ17_06100
ko:K01465	cjl:PJ17_06105
ko:K00057	cjl:PJ17_06110
ko:K02434	cjl:PJ17_06115
ko:K07173	cjl:PJ17_06120
ko:K02073	cjl:PJ17_06130
ko:K00549	cjl:PJ17_06135
ko:K00297	cjl:PJ17_06140
ko:K02407	cjl:PJ17_02655
ko:K02422	cjl:PJ17_02660
ko:K02356	cjl:PJ17_02670
ko:K00147	cjl:PJ17_02705
ko:K00384	cjl:PJ17_02710
ko:K14652	cjl:PJ17_02770
ko:K09117	cjl:PJ17_02775
ko:K01652	cjl:PJ17_02780
ko:K01653	cjl:PJ17_02785
ko:K02536	cjl:PJ17_02790
ko:K07568	cjl:PJ17_02795
ko:K03118	cjl:PJ17_02800
ko:K03117	cjl:PJ17_02805
ko:K08311	cjl:PJ17_02815
ko:K00928	cjl:PJ17_02820
ko:K02341	cjl:PJ17_02830
ko:K00796	cjl:PJ17_02835
ko:K01972	cjl:PJ17_02840
ko:K06442	cjl:PJ17_02850
ko:K11753	cjl:PJ17_02855
ko:K15256	cjl:PJ17_02860
ko:K00645	cjl:PJ17_00590
ko:K18284	cjl:PJ17_00595
ko:K07042	cjl:PJ17_00615
ko:K05540	cjl:PJ17_00625
ko:K06204	cjl:PJ17_00635
ko:K00783	cjl:PJ17_00640
ko:K01963	cjl:PJ17_00645
ko:K01092	cjl:PJ17_00650
ko:K07277	cjl:PJ17_00655
ko:K04517	cjl:PJ17_00660
ko:K02535	cjl:PJ17_00670
ko:K00872	cjl:PJ17_00680
ko:K02519	cjl:PJ17_00690
ko:K02834	cjl:PJ17_00695
ko:K09748	cjl:PJ17_00700
ko:K07452	cjl:PJ17_00705
ko:K19147	cjl:PJ17_00710
ko:K09816	cjl:PJ17_00715
ko:K09817	cjl:PJ17_00720
ko:K09815	cjl:PJ17_00725
ko:K03406	cjl:PJ17_00730
ko:K07093	cjl:PJ17_00735
ko:K00384	cjl:PJ17_00740
ko:K03671	cjl:PJ17_00745
ko:K07460	cjl:PJ17_00750
ko:K00003	cjl:PJ17_00755
ko:K14261	cjl:PJ17_00760
ko:K03218	cjl:PJ17_00775
ko:K07056	cjl:PJ17_00780
ko:K02909	cjl:PJ17_00785
ko:K09761	cjl:PJ17_00790
ko:K01737	cjl:PJ17_00805
ko:K03639	cjl:PJ17_00815
ko:K03179	cjl:PJ17_00830
ko:K00791	cjl:PJ17_00835
ko:K04564	cjl:PJ17_00855
ko:K00290	cjl:PJ17_00865
ko:K02010	cjl:PJ17_00870
ko:K02011	cjl:PJ17_00875
ko:K03686	cjl:PJ17_05315
ko:K01959	cjl:PJ17_05330
ko:K03588	cjl:PJ17_05335
ko:K02563	cjl:PJ17_05340
ko:K03449	cjl:PJ17_05345
ko:K00788	cjl:PJ17_05360
ko:K03150	cjl:PJ17_05365
ko:K03149	cjl:PJ17_05370
ko:K03148	cjl:PJ17_05375
ko:K03154	cjl:PJ17_05380
ko:K01439	cjl:PJ17_05390
ko:K06895	cjl:PJ17_05395
ko:K12410	cjl:PJ17_05400
ko:K07456	cjl:PJ17_05410
ko:K01924	cjl:PJ17_05420
ko:K03602	cjl:PJ17_05435
ko:K00088	cjl:PJ17_05440
ko:K02433	cjl:PJ17_05445
ko:K01870	cjl:PJ17_05455
ko:K03743	cjl:PJ17_05460
ko:K00995	cjl:PJ17_05480
ko:K11749	cjl:PJ17_05485
ko:K02990	cjl:PJ17_05495
ko:K03111	cjl:PJ17_05500
ko:K02963	cjl:PJ17_05505
ko:K01338	cjl:PJ17_05510
ko:K05807	cjl:PJ17_05515
ko:K13626	cjl:PJ17_05520
ko:K00286	cjl:PJ17_05525
ko:K01719	cjl:PJ17_05545
ko:K00788	cjl:PJ17_05550
ko:K00941	cjl:PJ17_05555
ko:K07457	cjl:PJ17_05560
ko:K06923	cjl:PJ17_05565
ko:K03723	cjl:PJ17_05570
ko:K11754	cjl:PJ17_05585
ko:K01173	cjl:PJ17_02880
ko:K10773	cjl:PJ17_02885
ko:K01624	cjl:PJ17_02895
ko:K02557	cjl:PJ17_02905
ko:K03308	cjl:PJ17_02915
ko:K04084	cjl:PJ17_02925
ko:K13888	cjl:PJ17_02940
ko:K05685	cjl:PJ17_02945
ko:K04758	cjl:PJ17_07355
ko:K04759	cjl:PJ17_07360
ko:K05927	cjl:PJ17_07365
ko:K00208	cjl:PJ17_07370
ko:K01803	cjl:PJ17_07375
ko:K00927	cjl:PJ17_07380
ko:K00134	cjl:PJ17_07385
ko:K00969	cjl:PJ17_07390
ko:K09710	cjl:PJ17_07395
ko:K15778	cjl:PJ17_07405
ko:K02415	cjl:PJ17_07410
ko:K00997	cjl:PJ17_07415
ko:K07265	cjl:PJ17_07435
ko:K07266	cjl:PJ17_07440
ko:K01092	cjl:PJ17_07445
ko:K00058	cjl:PJ17_07455
ko:K03271	cjl:PJ17_07470
ko:K01790	cjl:PJ17_07520
ko:K00012	cjl:PJ17_07525
ko:K08678	cjl:PJ17_07530
ko:K00978	cjl:PJ17_07535
ko:K01854	cjl:PJ17_07555
ko:K06041	cjl:PJ17_07570
ko:K10107	cjl:PJ17_07580
ko:K09689	cjl:PJ17_07585
ko:K09688	cjl:PJ17_07590
ko:K09979	cjl:PJ17_07595
ko:K01925	cjl:PJ17_02125
ko:K01000	cjl:PJ17_02130
ko:K15633	cjl:PJ17_02135
ko:K00059	cjl:PJ17_02145
ko:K00239	cjl:PJ17_02155
ko:K00240	cjl:PJ17_02160
ko:K00241	cjl:PJ17_02165
ko:K03707	cjl:PJ17_02170
ko:K02078	cjl:PJ17_02175
ko:K09458	cjl:PJ17_02180
ko:K01962	cjl:PJ17_02185
ko:K08077	cjl:PJ17_02195
ko:K09794	cjl:PJ17_02205
ko:K02902	cjl:PJ17_02210
ko:K01783	cjl:PJ17_02215
ko:K02342	cjl:PJ17_02220
ko:K03147	cjl:PJ17_02225
ko:K09778	cjl:PJ17_02245
ko:K06168	cjl:PJ17_02250
ko:K02600	cjl:PJ17_02260
ko:K11784	cjl:PJ17_02270
ko:K03655	cjl:PJ17_02280
ko:K06886	cjl:PJ17_02285
ko:K02029	cjl:PJ17_02295
ko:K02029	cjl:PJ17_02300
ko:K02028	cjl:PJ17_02305
ko:K02358	cjl:PJ17_02330
ko:K02913	cjl:PJ17_02335
ko:K03073	cjl:PJ17_02345
ko:K02601	cjl:PJ17_02350
ko:K02867	cjl:PJ17_02355
ko:K07171	cjl:PJ17_06775
ko:K03498	cjl:PJ17_06805
ko:K03499	cjl:PJ17_06810
ko:K11782	cjl:PJ17_06815
ko:K00761	cjl:PJ17_06820
ko:K00029	cjl:PJ17_06825
ko:K01885	cjl:PJ17_06830
ko:K01961	cjl:PJ17_06840
ko:K02160	cjl:PJ17_06845
ko:K01494	cjl:PJ17_06850
ko:K15894	cjl:PJ17_06855
ko:K15895	cjl:PJ17_06860
ko:K00662	cjl:PJ17_06870
ko:K00648	cjl:PJ17_06895
ko:K03789	cjl:PJ17_06915
ko:K00648	cjl:PJ17_06935
ko:K15897	cjl:PJ17_06950
ko:K15896	cjl:PJ17_06955
ko:K02500	cjl:PJ17_06960
ko:K02501	cjl:PJ17_06965
ko:K15898	cjl:PJ17_06975
ko:K18430	cjl:PJ17_07020
ko:K02313	cjl:PJ17_00005
ko:K02338	cjl:PJ17_00010
ko:K02470	cjl:PJ17_00015
ko:K07084	cjl:PJ17_00030
ko:K00265	cjl:PJ17_00035
ko:K00266	cjl:PJ17_00045
ko:K03470	cjl:PJ17_00050
ko:K02237	cjl:PJ17_00055
ko:K01687	cjl:PJ17_00065
ko:K07023	cjl:PJ17_00075
ko:K06920	cjl:PJ17_00080
ko:K03406	cjl:PJ17_00095
ko:K00428	cjl:PJ17_00100
ko:K06180	cjl:PJ17_00110
ko:K01756	cjl:PJ17_00115
ko:K06956	cjl:PJ17_00125
ko:K01937	cjl:PJ17_00135
ko:K07462	cjl:PJ17_00140
ko:K01424	cjl:PJ17_00145
ko:K09797	cjl:PJ17_00195
ko:K07552	cjl:PJ17_00200
ko:K06207	cjl:PJ17_00220
ko:K02389	cjl:PJ17_00235
ko:K02390	cjl:PJ17_00240
ko:K03319	cjl:PJ17_00260
ko:K03319	cjl:PJ17_00270
ko:K00566	cjl:PJ17_00275
ko:K06966	cjl:PJ17_00280
ko:K15257	cjl:PJ17_04765
ko:K01270	cjl:PJ17_04785
ko:K02030	cjl:PJ17_04795
ko:K09861	cjl:PJ17_04805
ko:K00611	cjl:PJ17_04850
ko:K01698	cjl:PJ17_04855
ko:K01497	cjl:PJ17_04860
ko:K03501	cjl:PJ17_04865
ko:K03086	cjl:PJ17_04885
ko:K08296	cjl:PJ17_04890
ko:K01735	cjl:PJ17_04920
ko:K09944	cjl:PJ17_04925
ko:K00773	cjl:PJ17_04930
ko:K04763	cjl:PJ17_04950
ko:K07341	cjl:PJ17_04965
ko:K12056	cjl:PJ17_04985
ko:K02020	cjl:PJ17_01465
ko:K02169	cjl:PJ17_01470
ko:K09789	cjl:PJ17_01475
ko:K00652	cjl:PJ17_01480
ko:K00833	cjl:PJ17_01485
ko:K01935	cjl:PJ17_01490
ko:K18925	cjl:PJ17_01495
ko:K18924	cjl:PJ17_01500
ko:K02897	cjl:PJ17_01505
ko:K01056	cjl:PJ17_01510
ko:K11720	cjl:PJ17_01515
ko:K01586	cjl:PJ17_01520
ko:K02566	cjl:PJ17_01525
ko:K14170	cjl:PJ17_01530
ko:K00817	cjl:PJ17_01535
ko:K02409	cjl:PJ17_01540
ko:K02410	cjl:PJ17_01545
ko:K02411	cjl:PJ17_01550
ko:K01662	cjl:PJ17_01555
ko:K09825	cjl:PJ17_01560
ko:K03183	cjl:PJ17_01570
ko:K03601	cjl:PJ17_01575
ko:K00831	cjl:PJ17_01580
ko:K00648	cjl:PJ17_01590
ko:K03621	cjl:PJ17_01595
ko:K02911	cjl:PJ17_01600
ko:K00940	cjl:PJ17_01610
ko:K03386	cjl:PJ17_01620
ko:K02401	cjl:PJ17_01625
ko:K02557	cjl:PJ17_01630
ko:K02556	cjl:PJ17_01635
ko:K03701	cjl:PJ17_01660
ko:K07090	cjl:PJ17_01665
ko:K01657	cjl:PJ17_01675
ko:K13497	cjl:PJ17_01680
ko:K01817	cjl:PJ17_01685
ko:K01696	cjl:PJ17_01690
ko:K01695	cjl:PJ17_01695
ko:K02417	cjl:PJ17_01705
ko:K01524	cjl:PJ17_01715
ko:K01633	cjl:PJ17_01730
ko:K08591	cjl:PJ17_01735
ko:K00428	cjl:PJ17_01740
ko:K03431	cjl:PJ17_01745
ko:K03101	cjl:PJ17_01750
ko:K02108	cjl:PJ17_06150
ko:K04485	cjl:PJ17_06155
ko:K03110	cjl:PJ17_06160
ko:K01934	cjl:PJ17_06170
ko:K18682	cjl:PJ17_06175
ko:K02238	cjl:PJ17_06185
ko:K07058	cjl:PJ17_06190
ko:K00104	cjl:PJ17_06195
ko:K05810	cjl:PJ17_06215
ko:K00793	cjl:PJ17_06220
ko:K04078	cjl:PJ17_06230
ko:K04077	cjl:PJ17_06235
ko:K02484	cjl:PJ17_06240
ko:K02484	cjl:PJ17_06265
ko:K04771	cjl:PJ17_06275
ko:K05516	cjl:PJ17_06280
ko:K13640	cjl:PJ17_06285
ko:K03455	cjl:PJ17_06290
ko:K01091	cjl:PJ17_06300
ko:K01879	cjl:PJ17_06305
ko:K01524	cjl:PJ17_06320
ko:K03474	cjl:PJ17_06325
ko:K00097	cjl:PJ17_06330
ko:K01599	cjl:PJ17_06350
ko:K03703	cjl:PJ17_06365
ko:K01951	cjl:PJ17_06375
ko:K01945	cjl:PJ17_06385
ko:K04744	cjl:PJ17_06395
ko:K00962	cjl:PJ17_06400
ko:K01104	cjl:PJ17_06420
ko:K03686	cjl:PJ17_06430
ko:K02052	cjl:PJ17_03550
ko:K02030	cjl:PJ17_03560
ko:K03832	cjl:PJ17_03640
ko:K16089	cjl:PJ17_03645
ko:K03705	cjl:PJ17_03650
ko:K03687	cjl:PJ17_03655
ko:K04043	cjl:PJ17_03660
ko:K03427	cjl:PJ17_03665
ko:K01154	cjl:PJ17_03670
ko:K01153	cjl:PJ17_03680
ko:K00812	cjl:PJ17_03695
ko:K00640	cjl:PJ17_03700
ko:K01585	cjl:PJ17_03705
ko:K01892	cjl:PJ17_03710
ko:K00943	cjl:PJ17_03715
ko:K00954	cjl:PJ17_03720
ko:K03186	cjl:PJ17_03725
ko:K02386	cjl:PJ17_03730
ko:K02073	cjl:PJ17_03735
ko:K02073	cjl:PJ17_03740
ko:K02073	cjl:PJ17_03745
ko:K02072	cjl:PJ17_03750
ko:K02071	cjl:PJ17_03755
ko:K01873	cjl:PJ17_03760
ko:K03657	cjl:PJ17_03770
ko:K11065	cjl:PJ17_03780
ko:K02567	cjl:PJ17_03785
ko:K02573	cjl:PJ17_03790
ko:K02574	cjl:PJ17_03795
ko:K02568	cjl:PJ17_03800
ko:K02570	cjl:PJ17_03810
ko:K00974	cjl:PJ17_03830
ko:K01433	cjl:PJ17_03835
ko:K06921	cjl:PJ17_03845
ko:K00339	cjl:PJ17_08180
ko:K00338	cjl:PJ17_08185
ko:K00337	cjl:PJ17_08190
ko:K00336	cjl:PJ17_08195
ko:K00335	cjl:PJ17_08200
ko:K00334	cjl:PJ17_08205
ko:K00333	cjl:PJ17_08210
ko:K00332	cjl:PJ17_08215
ko:K00331	cjl:PJ17_08220
ko:K00330	cjl:PJ17_08225
ko:K02034	cjl:PJ17_08240
ko:K02033	cjl:PJ17_08245
ko:K02035	cjl:PJ17_08250
ko:K18930	cjl:PJ17_08255
ko:K06159	cjl:PJ17_08265
ko:K02518	cjl:PJ17_08280
ko:K02919	cjl:PJ17_08285
ko:K02952	cjl:PJ17_08290
ko:K02948	cjl:PJ17_08295
ko:K02986	cjl:PJ17_08300
ko:K03040	cjl:PJ17_08305
ko:K02879	cjl:PJ17_08310
ko:K00765	cjl:PJ17_08315
ko:K00013	cjl:PJ17_08320
ko:K01089	cjl:PJ17_08325
ko:K02501	cjl:PJ17_08330
ko:K01814	cjl:PJ17_08335
ko:K09805	cjl:PJ17_08340
ko:K02500	cjl:PJ17_08345
ko:K11755	cjl:PJ17_08350
ko:K00674	cjl:PJ17_08355
ko:K03593	cjl:PJ17_08360
ko:K12506	cjl:PJ17_08365
ko:K00958	cjl:PJ17_08375
ko:K01095	cjl:PJ17_08380
ko:K02968	cjl:PJ17_08385
ko:K02835	cjl:PJ17_08390
ko:K07226	cjl:PJ17_08395
ko:K02014	cjl:PJ17_08400
ko:K02015	cjl:PJ17_08405
ko:K02013	cjl:PJ17_08410
ko:K02016	cjl:PJ17_08415
ko:K03575	cjl:PJ17_08430
ko:K01491	cjl:PJ17_04140
ko:K03100	cjl:PJ17_04145
ko:K03750	cjl:PJ17_04150
ko:K00790	cjl:PJ17_04155
ko:K01664	cjl:PJ17_04165
ko:K03342	cjl:PJ17_04170
ko:K04763	cjl:PJ17_04175
ko:K03673	cjl:PJ17_04180
ko:K03611	cjl:PJ17_04185
ko:K03673	cjl:PJ17_04210
ko:K02400	cjl:PJ17_04250
ko:K02956	cjl:PJ17_04260
ko:K03466	cjl:PJ17_04265
ko:K02397	cjl:PJ17_04270
ko:K15738	cjl:PJ17_04285
ko:K00058	cjl:PJ17_04300
ko:K02945	cjl:PJ17_04310
ko:K03527	cjl:PJ17_04315
ko:K00800	cjl:PJ17_04320
ko:K01890	cjl:PJ17_04325
ko:K01889	cjl:PJ17_04330
ko:K02503	cjl:PJ17_04335
ko:K03152	cjl:PJ17_04340
ko:K02029	cjl:PJ17_04350
ko:K02028	cjl:PJ17_04355
ko:K03310	cjl:PJ17_04360
ko:K03216	cjl:PJ17_04365
ko:K01775	cjl:PJ17_04370
ko:K07152	cjl:PJ17_04395
ko:K01738	cjl:PJ17_04400
ko:K03530	cjl:PJ17_04405
ko:K10806	cjl:PJ17_04415
ko:K06200	cjl:PJ17_04425
ko:K01689	cjl:PJ17_08810
ko:K11785	cjl:PJ17_08820
ko:K02420	cjl:PJ17_08825
ko:K00075	cjl:PJ17_08830
ko:K01082	cjl:PJ17_08840
ko:K01647	cjl:PJ17_08845
ko:K01012	cjl:PJ17_08855
ko:K03168	cjl:PJ17_08860
ko:K03076	cjl:PJ17_08870
ko:K02876	cjl:PJ17_08875
ko:K02988	cjl:PJ17_08880
ko:K02881	cjl:PJ17_08885
ko:K02933	cjl:PJ17_08890
ko:K02994	cjl:PJ17_08895
ko:K02954	cjl:PJ17_08900
ko:K02931	cjl:PJ17_08905
ko:K02895	cjl:PJ17_08910
ko:K02874	cjl:PJ17_08915
ko:K02961	cjl:PJ17_08920
ko:K02904	cjl:PJ17_08925
ko:K02878	cjl:PJ17_08930
ko:K02982	cjl:PJ17_08935
ko:K02890	cjl:PJ17_08940
ko:K02965	cjl:PJ17_08945
ko:K02886	cjl:PJ17_08950
ko:K02892	cjl:PJ17_08955
ko:K02926	cjl:PJ17_08960
ko:K02906	cjl:PJ17_08965
ko:K02946	cjl:PJ17_08970
ko:K06178	cjl:PJ17_08975
ko:K12574	cjl:PJ17_08980
ko:K02528	cjl:PJ17_08985
ko:K06941	cjl:PJ17_08995
ko:K01704	cjl:PJ17_09030
ko:K01703	cjl:PJ17_09035
ko:K09795	cjl:PJ17_02960
ko:K02217	cjl:PJ17_02970
ko:K02040	cjl:PJ17_02975
ko:K02037	cjl:PJ17_02980
ko:K02038	cjl:PJ17_02985
ko:K02036	cjl:PJ17_02990
ko:K07043	cjl:PJ17_03005
ko:K04656	cjl:PJ17_03015
ko:K04652	cjl:PJ17_03020
ko:K04653	cjl:PJ17_03025
ko:K04654	cjl:PJ17_03030
ko:K04655	cjl:PJ17_03035
ko:K04651	cjl:PJ17_03040
ko:K02340	cjl:PJ17_03050
ko:K12573	cjl:PJ17_03055
ko:K00053	cjl:PJ17_03060
ko:K09798	cjl:PJ17_03065
ko:K04096	cjl:PJ17_03070
ko:K07447	cjl:PJ17_03075
ko:K07304	cjl:PJ17_03085
ko:K01507	cjl:PJ17_03090
ko:K00939	cjl:PJ17_03095
ko:K01876	cjl:PJ17_03100
ko:K00858	cjl:PJ17_03105
ko:K03631	cjl:PJ17_03110
ko:K03424	cjl:PJ17_03120
ko:K08307	cjl:PJ17_03125
ko:K03642	cjl:PJ17_03130
ko:K03270	cjl:PJ17_03135
ko:K09774	cjl:PJ17_03145
ko:K03978	cjl:PJ17_03150
ko:K05515	cjl:PJ17_03160
ko:K01262	cjl:PJ17_03165
ko:K03305	cjl:PJ17_03170
ko:K03305	cjl:PJ17_03175
ko:K03305	cjl:PJ17_03180
ko:K03305	cjl:PJ17_03190
ko:K03667	cjl:PJ17_03210
ko:K01419	cjl:PJ17_03215
ko:K02939	cjl:PJ17_03220
ko:K01940	cjl:PJ17_03225
ko:K06925	cjl:PJ17_03235
ko:K06861	cjl:PJ17_03240
ko:K03092	cjl:PJ17_03245
ko:K04075	cjl:PJ17_07615
ko:K02836	cjl:PJ17_07625
ko:K06176	cjl:PJ17_07635
ko:K00946	cjl:PJ17_07640
ko:K02394	cjl:PJ17_07660
ko:K02396	cjl:PJ17_07680
ko:K07090	cjl:PJ17_07690
ko:K02455	cjl:PJ17_07695
ko:K02454	cjl:PJ17_07700
ko:K01714	cjl:PJ17_07710
ko:K02453	cjl:PJ17_07715
ko:K03737	cjl:PJ17_07725
ko:K01091	cjl:PJ17_07730
ko:K03286	cjl:PJ17_07735
ko:K02996	cjl:PJ17_07740
ko:K02871	cjl:PJ17_07745
ko:K03582	cjl:PJ17_07750
ko:K00406	cjl:PJ17_07780
ko:K00407	cjl:PJ17_07785
ko:K00405	cjl:PJ17_07790
ko:K02012	cjl:PJ17_00880
ko:K16087	cjl:PJ17_00895
ko:K03561	cjl:PJ17_00900
ko:K03559	cjl:PJ17_00905
ko:K03832	cjl:PJ17_00910
ko:K17938	cjl:PJ17_00915
ko:K06193	cjl:PJ17_00930
ko:K11175	cjl:PJ17_00940
ko:K07391	cjl:PJ17_00955
ko:K01462	cjl:PJ17_00960
ko:K01358	cjl:PJ17_00965
ko:K03545	cjl:PJ17_00970
ko:K01495	cjl:PJ17_00975
