ko:K07799	xor:XOC_0585
ko:K14652	xor:XOC_0814
ko:K03625	xor:XOC_0816
ko:K00946	xor:XOC_0818
ko:K01546	xor:XOC_0822
ko:K01547	xor:XOC_0823
ko:K01548	xor:XOC_0824
ko:K07646	xor:XOC_0825
ko:K07667	xor:XOC_0826
ko:K03777	xor:XOC_0827
ko:K07038	xor:XOC_0828
ko:K07460	xor:XOC_0829
ko:K07121	xor:XOC_0830
ko:K07056	xor:XOC_0831
ko:K03925	xor:XOC_0834
ko:K03438	xor:XOC_0835
ko:K03586	xor:XOC_0836
ko:K03781	xor:XOC_1265
ko:K00281	xor:XOC_1274
ko:K13408	xor:XOC_1277
ko:K13409	xor:XOC_1278
ko:K01662	xor:XOC_1883
ko:K03098	xor:XOC_1887
ko:K03575	xor:XOC_1901
ko:K03110	xor:XOC_1903
ko:K08677	xor:XOC_1923
ko:K09955	xor:XOC_1936
ko:K04079	xor:XOC_1939
ko:K03088	xor:XOC_2834
ko:K02195	xor:XOC_2837
ko:K02196	xor:XOC_2838
ko:K02197	xor:XOC_2839
ko:K02198	xor:XOC_2840
ko:K02199	xor:XOC_2841
ko:K01118	xor:XOC_2872
ko:K01875	xor:XOC_2873
ko:K00800	xor:XOC_2876
ko:K14170	xor:XOC_2877
ko:K00831	xor:XOC_2878
ko:K05836	xor:XOC_2884
ko:K01468	xor:XOC_2886
ko:K01745	xor:XOC_2887
ko:K01462	xor:XOC_3776
ko:K00763	xor:XOC_3781
ko:K03811	xor:XOC_3789
ko:K02453	xor:XOC_3794
ko:K02462	xor:XOC_3796
ko:K02461	xor:XOC_3797
ko:K02460	xor:XOC_3798
ko:K02459	xor:XOC_3799
ko:K02458	xor:XOC_3800
ko:K02457	xor:XOC_3801
ko:K02456	xor:XOC_3802
ko:K02455	xor:XOC_3803
ko:K14645	xor:XOC_3806
ko:K01952	xor:XOC_3809
ko:K03981	xor:XOC_3811
ko:K11720	xor:XOC_3815
ko:K07091	xor:XOC_3816
ko:K01255	xor:XOC_3817
ko:K02339	xor:XOC_3819
ko:K01873	xor:XOC_3820
ko:K08309	xor:XOC_3822
ko:K14393	xor:XOC_0369
ko:K01142	xor:XOC_0371
ko:K06133	xor:XOC_0374
ko:K03501	xor:XOC_0377
ko:K02913	xor:XOC_0382
ko:K10220	xor:XOC_0383
ko:K10218	xor:XOC_0386
ko:K06131	xor:XOC_0388
ko:K03657	xor:XOC_0391
ko:K03587	xor:XOC_0838
ko:K01928	xor:XOC_0839
ko:K01929	xor:XOC_0840
ko:K01000	xor:XOC_0841
ko:K03588	xor:XOC_0842
ko:K02563	xor:XOC_0843
ko:K01924	xor:XOC_0844
ko:K01921	xor:XOC_0845
ko:K03589	xor:XOC_0846
ko:K03590	xor:XOC_0847
ko:K03531	xor:XOC_0849
ko:K11902	xor:XOC_0403
ko:K00655	xor:XOC_0420
ko:K02078	xor:XOC_0422
ko:K01251	xor:XOC_0870
ko:K01595	xor:XOC_0872
ko:K01093	xor:XOC_0877
ko:K00789	xor:XOC_0878
ko:K09922	xor:XOC_0892
ko:K11891	xor:XOC_1309
ko:K11890	xor:XOC_1310
ko:K11892	xor:XOC_1328
ko:K12256	xor:XOC_2015
ko:K11073	xor:XOC_2016
ko:K03543	xor:XOC_2017
ko:K03446	xor:XOC_2018
ko:K11076	xor:XOC_2020
ko:K11075	xor:XOC_2021
ko:K11074	xor:XOC_2022
ko:K03284	xor:XOC_2025
ko:K06189	xor:XOC_2027
ko:K07042	xor:XOC_2029
ko:K06168	xor:XOC_2032
ko:K00411	xor:XOC_2037
ko:K00412	xor:XOC_2038
ko:K00413	xor:XOC_2039
ko:K03599	xor:XOC_2040
ko:K03600	xor:XOC_2041
ko:K03724	xor:XOC_2046
ko:K03408	xor:XOC_2049
ko:K03431	xor:XOC_2948
ko:K01963	xor:XOC_2949
ko:K01695	xor:XOC_2950
ko:K01696	xor:XOC_2952
ko:K01817	xor:XOC_2954
ko:K06173	xor:XOC_2955
ko:K06996	xor:XOC_2956
ko:K00133	xor:XOC_2959
ko:K01736	xor:XOC_2961
ko:K07320	xor:XOC_2962
ko:K07152	xor:XOC_2963
ko:K01613	xor:XOC_2964
ko:K08307	xor:XOC_2965
ko:K06915	xor:XOC_2967
ko:K04760	xor:XOC_2975
ko:K14441	xor:XOC_2977
ko:K01061	xor:XOC_2978
ko:K01494	xor:XOC_2982
ko:K01669	xor:XOC_2996
ko:K01953	xor:XOC_2999
ko:K01737	xor:XOC_3882
ko:K01935	xor:XOC_3884
ko:K01091	xor:XOC_3887
ko:K02346	xor:XOC_3888
ko:K01716	xor:XOC_3889
ko:K01414	xor:XOC_3892
ko:K01738	xor:XOC_3893
ko:K00820	xor:XOC_3901
ko:K02003	xor:XOC_3903
ko:K04042	xor:XOC_3910
ko:K02114	xor:XOC_3914
ko:K02112	xor:XOC_3915
ko:K02115	xor:XOC_3916
ko:K02111	xor:XOC_3917
ko:K02113	xor:XOC_3918
ko:K02109	xor:XOC_3919
ko:K02110	xor:XOC_3920
ko:K02108	xor:XOC_3921
ko:K00382	xor:XOC_3925
ko:K00627	xor:XOC_3927
ko:K07275	xor:XOC_3932
ko:K02073	xor:XOC_3935
ko:K02072	xor:XOC_3936
ko:K02071	xor:XOC_3937
ko:K09767	xor:XOC_3939
ko:K14645	xor:XOC_3972
ko:K15977	xor:XOC_3984
ko:K02313	xor:XOC_0002
ko:K03671	xor:XOC_0457
ko:K00798	xor:XOC_0920
ko:K03185	xor:XOC_0922
ko:K03184	xor:XOC_0923
ko:K11475	xor:XOC_0927
ko:K11475	xor:XOC_0928
ko:K02623	xor:XOC_0931
ko:K06968	xor:XOC_0941
ko:K01886	xor:XOC_0946
ko:K00795	xor:XOC_0079
ko:K07058	xor:XOC_0547
ko:K09117	xor:XOC_0548
ko:K02970	xor:XOC_0549
ko:K01633	xor:XOC_0551
ko:K05349	xor:XOC_0552
ko:K08641	xor:XOC_0567
ko:K00948	xor:XOC_1005
ko:K02897	xor:XOC_1006
ko:K01056	xor:XOC_1007
ko:K06942	xor:XOC_1008
ko:K02358	xor:XOC_1012
ko:K03073	xor:XOC_1014
ko:K02601	xor:XOC_1015
ko:K02867	xor:XOC_1017
ko:K02863	xor:XOC_1018
ko:K02864	xor:XOC_1019
ko:K02935	xor:XOC_1020
ko:K03043	xor:XOC_1021
ko:K03046	xor:XOC_1022
ko:K02950	xor:XOC_1023
ko:K02992	xor:XOC_1025
ko:K02355	xor:XOC_1026
ko:K11175	xor:XOC_1451
ko:K08984	xor:XOC_1452
ko:K09938	xor:XOC_1455
ko:K10763	xor:XOC_1457
ko:K07102	xor:XOC_1459
ko:K02237	xor:XOC_1466
ko:K09975	xor:XOC_1467
ko:K11717	xor:XOC_1472
ko:K09015	xor:XOC_1473
ko:K09013	xor:XOC_1474
ko:K09014	xor:XOC_1475
ko:K05520	xor:XOC_1479
ko:K03407	xor:XOC_2303
ko:K03413	xor:XOC_2304
ko:K03408	xor:XOC_2306
ko:K02557	xor:XOC_2308
ko:K02556	xor:XOC_2309
ko:K04564	xor:XOC_2312
ko:K03407	xor:XOC_2326
ko:K03414	xor:XOC_2327
ko:K03413	xor:XOC_2328
ko:K02405	xor:XOC_2329
ko:K04562	xor:XOC_2330
ko:K02404	xor:XOC_2331
ko:K02400	xor:XOC_2333
ko:K02401	xor:XOC_2334
ko:K02421	xor:XOC_2340
ko:K02420	xor:XOC_2341
ko:K02419	xor:XOC_2342
ko:K02418	xor:XOC_2343
ko:K02417	xor:XOC_2344
ko:K02416	xor:XOC_2345
ko:K02415	xor:XOC_2346
ko:K02413	xor:XOC_2348
ko:K02412	xor:XOC_2349
ko:K02411	xor:XOC_2350
ko:K02410	xor:XOC_2351
ko:K02409	xor:XOC_2352
ko:K02408	xor:XOC_2353
ko:K02437	xor:XOC_3245
ko:K02535	xor:XOC_0850
ko:K03070	xor:XOC_0852
ko:K00297	xor:XOC_0857
ko:K09912	xor:XOC_0864
ko:K07552	xor:XOC_1280
ko:K01283	xor:XOC_1282
ko:K03760	xor:XOC_1283
ko:K03608	xor:XOC_1289
ko:K03609	xor:XOC_1290
ko:K03610	xor:XOC_1291
ko:K01247	xor:XOC_1298
ko:K08289	xor:XOC_1303
ko:K00954	xor:XOC_1941
ko:K00761	xor:XOC_1945
ko:K01083	xor:XOC_1947
ko:K07568	xor:XOC_1956
ko:K00773	xor:XOC_1957
ko:K03210	xor:XOC_1958
ko:K03072	xor:XOC_1961
ko:K03074	xor:XOC_1962
ko:K07267	xor:XOC_1972
ko:K02769	xor:XOC_1973
ko:K02770	xor:XOC_1973
ko:K03435	xor:XOC_1976
ko:K03585	xor:XOC_1979
ko:K15371	xor:XOC_1981
ko:K00822	xor:XOC_1989
ko:K02379	xor:XOC_1991
ko:K01915	xor:XOC_1996
ko:K07010	xor:XOC_1997
ko:K01915	xor:XOC_1999
ko:K01712	xor:XOC_2889
ko:K03702	xor:XOC_2896
ko:K02655	xor:XOC_2898
ko:K02673	xor:XOC_2900
ko:K08084	xor:XOC_2903
ko:K06966	xor:XOC_2904
ko:K07390	xor:XOC_2908
ko:K04564	xor:XOC_2909
ko:K01589	xor:XOC_2910
ko:K01588	xor:XOC_2911
ko:K00767	xor:XOC_2913
ko:K00962	xor:XOC_2915
ko:K02956	xor:XOC_2917
ko:K02834	xor:XOC_2919
ko:K02519	xor:XOC_2920
ko:K02600	xor:XOC_2921
ko:K09748	xor:XOC_2922
ko:K00343	xor:XOC_2924
ko:K00342	xor:XOC_2925
ko:K00341	xor:XOC_2926
ko:K00340	xor:XOC_2927
ko:K00339	xor:XOC_2928
ko:K00338	xor:XOC_2929
ko:K00337	xor:XOC_2930
ko:K00334	xor:XOC_2933
ko:K00333	xor:XOC_2934
ko:K00332	xor:XOC_2935
ko:K00331	xor:XOC_2936
ko:K00330	xor:XOC_2937
ko:K03075	xor:XOC_2939
ko:K01803	xor:XOC_2940
ko:K07124	xor:XOC_2941
ko:K06886	xor:XOC_2942
ko:K03789	xor:XOC_3825
ko:K01881	xor:XOC_3829
ko:K02066	xor:XOC_3832
ko:K02065	xor:XOC_3833
ko:K00311	xor:XOC_3837
ko:K01029	xor:XOC_3839
ko:K01028	xor:XOC_3840
ko:K15778	xor:XOC_3841
ko:K00067	xor:XOC_3843
ko:K01790	xor:XOC_3844
ko:K00973	xor:XOC_3845
ko:K03521	xor:XOC_3847
ko:K03522	xor:XOC_3848
ko:K01697	xor:XOC_3871
ko:K02670	xor:XOC_3876
ko:K11927	xor:XOC_3880
ko:K01599	xor:XOC_1387
ko:K01735	xor:XOC_1389
ko:K00891	xor:XOC_1390
ko:K00275	xor:XOC_1391
ko:K09980	xor:XOC_1392
ko:K02044	xor:XOC_2119
ko:K02356	xor:XOC_2122
ko:K00941	xor:XOC_2141
ko:K07175	xor:XOC_2143
ko:K03564	xor:XOC_2144
ko:K03567	xor:XOC_2146
ko:K01714	xor:XOC_2147
ko:K00883	xor:XOC_2150
ko:K01684	xor:XOC_2152
ko:K01631	xor:XOC_2153
ko:K01811	xor:XOC_2156
ko:K01805	xor:XOC_2161
ko:K01448	xor:XOC_2163
ko:K09007	xor:XOC_2164
ko:K00950	xor:XOC_2168
ko:K00606	xor:XOC_2169
ko:K01918	xor:XOC_2170
ko:K01579	xor:XOC_2171
ko:K01810	xor:XOC_2172
ko:K07093	xor:XOC_2175
ko:K07347	xor:XOC_3064
ko:K02967	xor:XOC_3068
ko:K02357	xor:XOC_3070
ko:K09903	xor:XOC_3072
ko:K02838	xor:XOC_3073
ko:K00806	xor:XOC_3074
ko:K00981	xor:XOC_3075
ko:K00099	xor:XOC_3076
ko:K11749	xor:XOC_3077
ko:K07277	xor:XOC_3078
ko:K02536	xor:XOC_3080
ko:K02372	xor:XOC_3081
ko:K00677	xor:XOC_3082
ko:K00748	xor:XOC_3083
ko:K03470	xor:XOC_3084
ko:K02337	xor:XOC_3085
ko:K01962	xor:XOC_3086
ko:K08973	xor:XOC_3090
ko:K09125	xor:XOC_3101
ko:K01874	xor:XOC_3108
ko:K03088	xor:XOC_3114
ko:K09701	xor:XOC_3118
ko:K00574	xor:XOC_3119
ko:K13924	xor:XOC_4001
ko:K00425	xor:XOC_4006
ko:K00426	xor:XOC_4007
ko:K00982	xor:XOC_4032
ko:K09125	xor:XOC_4033
ko:K07276	xor:XOC_4040
ko:K09019	xor:XOC_4041
ko:K00163	xor:XOC_4044
ko:K00605	xor:XOC_3246
ko:K09771	xor:XOC_3249
ko:K08312	xor:XOC_3252
ko:K00833	xor:XOC_3253
ko:K09761	xor:XOC_3254
ko:K13409	xor:XOC_3262
ko:K13408	xor:XOC_3267
ko:K12308	xor:XOC_3273
ko:K01444	xor:XOC_3281
ko:K03790	xor:XOC_3299
ko:K06598	xor:XOC_3301
ko:K15724	xor:XOC_4186
ko:K03594	xor:XOC_4192
ko:K02192	xor:XOC_4193
ko:K08311	xor:XOC_4194
ko:K02996	xor:XOC_4197
ko:K02871	xor:XOC_4198
ko:K06134	xor:XOC_4199
ko:K01611	xor:XOC_4201
ko:K01609	xor:XOC_4204
ko:K00766	xor:XOC_4205
ko:K09807	xor:XOC_4209
ko:K01620	xor:XOC_4210
ko:K01657	xor:XOC_4211
ko:K01783	xor:XOC_4214
ko:K01923	xor:XOC_4216
ko:K00762	xor:XOC_4220
ko:K08679	xor:XOC_4226
ko:K15778	xor:XOC_4230
ko:K13038	xor:XOC_4232
ko:K03630	xor:XOC_4233
ko:K01887	xor:XOC_4234
ko:K00797	xor:XOC_4242
ko:K00266	xor:XOC_0134
ko:K07502	xor:XOC_0148
ko:K11068	xor:XOC_0150
ko:K03841	xor:XOC_0154
ko:K00832	xor:XOC_0156
ko:K04078	xor:XOC_0615
ko:K04077	xor:XOC_0616
ko:K01626	xor:XOC_0620
ko:K01053	xor:XOC_0624
ko:K03611	xor:XOC_1057
ko:K01626	xor:XOC_1062
ko:K06207	xor:XOC_1067
ko:K00024	xor:XOC_1069
ko:K01126	xor:XOC_1077
ko:K01925	xor:XOC_1508
ko:K02523	xor:XOC_1512
