ko:K11707	cpsd:BN356_4331
ko:K03685	cpsd:BN356_3391
ko:K04564	cpsd:BN356_3421
ko:K01963	cpsd:BN356_3431
ko:K00566	cpsd:BN356_3511
ko:K03696	cpsd:BN356_3521
ko:K03800	cpsd:BN356_3531
ko:K02437	cpsd:BN356_3561
ko:K00350	cpsd:BN356_3591
ko:K00349	cpsd:BN356_3601
ko:K00348	cpsd:BN356_3611
ko:K00347	cpsd:BN356_3621
ko:K02313	cpsd:BN356_3651
ko:K03438	cpsd:BN356_3681
ko:K03587	cpsd:BN356_3701
ko:K01928	cpsd:BN356_3721
ko:K01448	cpsd:BN356_3731
ko:K01962	cpsd:BN356_3771
ko:K07083	cpsd:BN356_3801
ko:K00208	cpsd:BN356_3851
ko:K03575	cpsd:BN356_3891
ko:K04487	cpsd:BN356_3971
ko:K01494	cpsd:BN356_4011
ko:K03551	cpsd:BN356_4021
ko:K01255	cpsd:BN356_4071
ko:K02340	cpsd:BN356_4091
ko:K07056	cpsd:BN356_4101
ko:K00164	cpsd:BN356_4161
ko:K00658	cpsd:BN356_4171
ko:K05810	cpsd:BN356_4181
ko:K03526	cpsd:BN356_4191
ko:K02400	cpsd:BN356_4251
ko:K02405	cpsd:BN356_4261
ko:K01866	cpsd:BN356_4271
ko:K03596	cpsd:BN356_4291
ko:K03301	cpsd:BN356_4311
ko:K00970	cpsd:BN356_7821
ko:K01408	cpsd:BN356_8001
ko:K00099	cpsd:BN356_4371
ko:K03629	cpsd:BN356_4401
ko:K02338	cpsd:BN356_4411
ko:K03664	cpsd:BN356_4421
ko:K03734	cpsd:BN356_4431
ko:K01491	cpsd:BN356_4441
ko:K02902	cpsd:BN356_4511
ko:K00705	cpsd:BN356_4521
ko:K04058	cpsd:BN356_4541
ko:K03230	cpsd:BN356_4551
ko:K03229	cpsd:BN356_4561
ko:K06942	cpsd:BN356_4571
ko:K11753	cpsd:BN356_4581
ko:K02834	cpsd:BN356_4601
ko:K02519	cpsd:BN356_4611
ko:K02600	cpsd:BN356_4621
ko:K02945	cpsd:BN356_4631
ko:K00384	cpsd:BN356_4641
ko:K00997	cpsd:BN356_4651
ko:K03217	cpsd:BN356_4681
ko:K02313	cpsd:BN356_4691
ko:K00688	cpsd:BN356_4711
ko:K00627	cpsd:BN356_4721
ko:K00162	cpsd:BN356_4731
ko:K00161	cpsd:BN356_4741
ko:K02536	cpsd:BN356_4761
ko:K06142	cpsd:BN356_4771
ko:K07277	cpsd:BN356_4781
ko:K06187	cpsd:BN356_4791
ko:K00648	cpsd:BN356_4801
ko:K00645	cpsd:BN356_4811
ko:K02078	cpsd:BN356_4831
ko:K03308	cpsd:BN356_4881
ko:K00652	cpsd:BN356_8301
ko:K01909	cpsd:BN356_8311
ko:K01082	cpsd:BN356_8331
ko:K01507	cpsd:BN356_8351
ko:K07117	cpsd:BN356_8781
ko:K06213	cpsd:BN356_4921
ko:K02071	cpsd:BN356_4971
ko:K02072	cpsd:BN356_4981
ko:K02073	cpsd:BN356_4991
ko:K02470	cpsd:BN356_5021
ko:K02469	cpsd:BN356_5031
ko:K00943	cpsd:BN356_5041
ko:K02343	cpsd:BN356_5051
ko:K06999	cpsd:BN356_5061
ko:K07566	cpsd:BN356_5071
ko:K06966	cpsd:BN356_5111
ko:K03179	cpsd:BN356_5121
ko:K03186	cpsd:BN356_5131
ko:K03787	cpsd:BN356_5161
ko:K07039	cpsd:BN356_5181
ko:K14441	cpsd:BN356_5241
ko:K02913	cpsd:BN356_5251
ko:K09808	cpsd:BN356_5261
ko:K02871	cpsd:BN356_5291
ko:K02996	cpsd:BN356_5301
ko:K01057	cpsd:BN356_5361
ko:K00036	cpsd:BN356_5371
ko:K15580	cpsd:BN356_5381
ko:K03402	cpsd:BN356_5401
ko:K02029	cpsd:BN356_5411
ko:K07058	cpsd:BN356_5451
ko:K00813	cpsd:BN356_0051
ko:K06910	cpsd:BN356_8791
ko:K00972	cpsd:BN356_9001
ko:K01596	cpsd:BN356_9051
ko:K00970	cpsd:BN356_9121
ko:K03227	cpsd:BN356_9291
ko:K07258	cpsd:BN356_0731
ko:K02342	cpsd:BN356_0901
ko:K02454	cpsd:BN356_9371
ko:K01262	cpsd:BN356_9401
ko:K07315	cpsd:BN356_9541
ko:K00241	cpsd:BN356_9591
ko:K03386	cpsd:BN356_9691
ko:K02428	cpsd:BN356_9721
ko:K01934	cpsd:BN356_9841
ko:K01783	cpsd:BN356_5481
ko:K02356	cpsd:BN356_5491
ko:K02160	cpsd:BN356_5501
ko:K01961	cpsd:BN356_5511
ko:K01951	cpsd:BN356_5631
ko:K09125	cpsd:BN356_5701
ko:K00773	cpsd:BN356_5711
ko:K03611	cpsd:BN356_5751
ko:K00979	cpsd:BN356_5841
ko:K01937	cpsd:BN356_5851
ko:K07447	cpsd:BN356_5861
ko:K15581	cpsd:BN356_5901
ko:K03319	cpsd:BN356_5951
ko:K00850	cpsd:BN356_5961
ko:K02527	cpsd:BN356_6011
ko:K01869	cpsd:BN356_6021
ko:K02030	cpsd:BN356_1431
ko:K02035	cpsd:BN356_1481
ko:K02033	cpsd:BN356_1491
ko:K00567	cpsd:BN356_1511
ko:K07098	cpsd:BN356_1721
ko:K01885	cpsd:BN356_1901
ko:K00380	cpsd:BN356_2011
ko:K09815	cpsd:BN356_2091
ko:K01972	cpsd:BN356_6061
ko:K03695	cpsd:BN356_6171
ko:K02065	cpsd:BN356_6191
ko:K02066	cpsd:BN356_6201
ko:K01845	cpsd:BN356_6211
ko:K07735	cpsd:BN356_6221
ko:K08999	cpsd:BN356_6231
ko:K01807	cpsd:BN356_6241
ko:K08602	cpsd:BN356_6291
ko:K04078	cpsd:BN356_6301
ko:K04077	cpsd:BN356_6311
ko:K03581	cpsd:BN356_6371
ko:K01874	cpsd:BN356_6381
ko:K00942	cpsd:BN356_6401
ko:K03470	cpsd:BN356_6411
ko:K02884	cpsd:BN356_6421
ko:K00554	cpsd:BN356_6431
ko:K02959	cpsd:BN356_6441
ko:K03106	cpsd:BN356_6451
ko:K01719	cpsd:BN356_2311
ko:K03307	cpsd:BN356_2631
ko:K00700	cpsd:BN356_2731
ko:K02493	cpsd:BN356_6461
ko:K02835	cpsd:BN356_6471
ko:K02909	cpsd:BN356_6481
ko:K03100	cpsd:BN356_6501
ko:K01870	cpsd:BN356_6511
ko:K07175	cpsd:BN356_6541
ko:K00426	cpsd:BN356_6581
ko:K02433	cpsd:BN356_2921
ko:K03471	cpsd:BN356_2971
ko:K00784	cpsd:BN356_3191
ko:K11189	cpsd:BN356_3291
ko:K08483	cpsd:BN356_3301
ko:K02806	cpsd:BN356_3451
ko:K02806	cpsd:BN356_3461
ko:K02342	cpsd:BN356_3811
ko:K00425	cpsd:BN356_6591
ko:K02517	cpsd:BN356_6621
ko:K00873	cpsd:BN356_6631
ko:K03701	cpsd:BN356_6641
ko:K01873	cpsd:BN356_6661
ko:K03046	cpsd:BN356_6781
ko:K03043	cpsd:BN356_6791
ko:K02935	cpsd:BN356_6801
ko:K02864	cpsd:BN356_6811
ko:K02863	cpsd:BN356_6821
ko:K02867	cpsd:BN356_6831
ko:K02601	cpsd:BN356_6841
ko:K03073	cpsd:BN356_6851
ko:K02358	cpsd:BN356_6871
ko:K02518	cpsd:BN356_6891
ko:K03523	cpsd:BN356_6931
ko:K01714	cpsd:BN356_6981
ko:K00928	cpsd:BN356_6991
ko:K00133	cpsd:BN356_7001
ko:K00215	cpsd:BN356_7011
ko:K09125	cpsd:BN356_7031
ko:K01012	cpsd:BN356_7061
ko:K01935	cpsd:BN356_7081
ko:K00833	cpsd:BN356_7091
ko:K00800	cpsd:BN356_7111
ko:K00891	cpsd:BN356_7121
ko:K06179	cpsd:BN356_3881
ko:K07052	cpsd:BN356_3911
ko:K00033	cpsd:BN356_4281
ko:K03177	cpsd:BN356_4591
ko:K00059	cpsd:BN356_4821
ko:K01736	cpsd:BN356_7131
ko:K01735	cpsd:BN356_7141
ko:K13832	cpsd:BN356_7151
ko:K03758	cpsd:BN356_7191
ko:K00024	cpsd:BN356_7221
ko:K01810	cpsd:BN356_7241
ko:K03527	cpsd:BN356_7331
ko:K03321	cpsd:BN356_7361
ko:K01265	cpsd:BN356_7421
ko:K02956	cpsd:BN356_7511
ko:K00962	cpsd:BN356_7521
ko:K03798	cpsd:BN356_7531
ko:K04075	cpsd:BN356_7541
ko:K07091	cpsd:BN356_7551
ko:K11720	cpsd:BN356_7561
ko:K01889	cpsd:BN356_7591
ko:K02887	cpsd:BN356_7601
ko:K02916	cpsd:BN356_7611
ko:K02520	cpsd:BN356_7621
ko:K03625	cpsd:BN356_7631
ko:K00075	cpsd:BN356_7641
ko:K03439	cpsd:BN356_7671
ko:K00939	cpsd:BN356_5321
ko:K01409	cpsd:BN356_5391
ko:K02123	cpsd:BN356_6691
ko:K00088	cpsd:BN356_5641
ko:K02049	cpsd:BN356_5791
ko:K02035	cpsd:BN356_5871
ko:K02035	cpsd:BN356_5881
ko:K02035	cpsd:BN356_5891
ko:K15582	cpsd:BN356_5911
ko:K10823	cpsd:BN356_5921
ko:K15583	cpsd:BN356_5931
ko:K06889	cpsd:BN356_5971
ko:K06889	cpsd:BN356_6031
ko:K02124	cpsd:BN356_6681
ko:K02120	cpsd:BN356_6701
ko:K02118	cpsd:BN356_6711
ko:K02117	cpsd:BN356_6721
ko:K02121	cpsd:BN356_6741
ko:K00616	cpsd:BN356_6771
ko:K00652	cpsd:BN356_7071
ko:K04763	cpsd:BN356_7251
ko:K01679	cpsd:BN356_7371
ko:K02890	cpsd:BN356_1031
ko:K02982	cpsd:BN356_1041
ko:K02878	cpsd:BN356_1051
ko:K02904	cpsd:BN356_1061
ko:K02961	cpsd:BN356_1071
ko:K02874	cpsd:BN356_1081
ko:K02895	cpsd:BN356_1091
ko:K02931	cpsd:BN356_1101
ko:K02994	cpsd:BN356_1111
ko:K02933	cpsd:BN356_1121
ko:K02881	cpsd:BN356_1131
ko:K02988	cpsd:BN356_1141
ko:K02876	cpsd:BN356_1151
ko:K03076	cpsd:BN356_1161
ko:K02952	cpsd:BN356_1171
ko:K02948	cpsd:BN356_1181
ko:K03040	cpsd:BN356_1191
ko:K02879	cpsd:BN356_1201
ko:K00134	cpsd:BN356_1211
ko:K01159	cpsd:BN356_1251
ko:K03550	cpsd:BN356_1261
ko:K00940	cpsd:BN356_1271
ko:K03800	cpsd:BN356_1281
ko:K03495	cpsd:BN356_1291
ko:K00995	cpsd:BN356_1321
ko:K03301	cpsd:BN356_1331
ko:K00859	cpsd:BN356_1361
ko:K03628	cpsd:BN356_1371
ko:K00762	cpsd:BN356_1391
ko:K00975	cpsd:BN356_1401
ko:K07099	cpsd:BN356_1411
ko:K01772	cpsd:BN356_1441
ko:K02034	cpsd:BN356_1501
ko:K01890	cpsd:BN356_1531
ko:K08998	cpsd:BN356_1551
ko:K02455	cpsd:BN356_9361
ko:K02453	cpsd:BN356_9381
ko:K03572	cpsd:BN356_9411
ko:K01868	cpsd:BN356_9471
ko:K01867	cpsd:BN356_9511
ko:K03702	cpsd:BN356_9521
ko:K01689	cpsd:BN356_9531
ko:K00240	cpsd:BN356_9571
ko:K00239	cpsd:BN356_9581
ko:K03424	cpsd:BN356_9601
ko:K03562	cpsd:BN356_9621
ko:K03641	cpsd:BN356_9651
ko:K03640	cpsd:BN356_9661
ko:K03648	cpsd:BN356_9741
ko:K03657	cpsd:BN356_9751
ko:K03092	cpsd:BN356_9761
ko:K03168	cpsd:BN356_9781
ko:K02221	cpsd:BN356_9801
ko:K03584	cpsd:BN356_1591
ko:K09760	cpsd:BN356_7711
ko:K01902	cpsd:BN356_7751
ko:K01903	cpsd:BN356_7761
ko:K03110	cpsd:BN356_7771
ko:K06890	cpsd:BN356_7781
ko:K03834	cpsd:BN356_7791
ko:K00820	cpsd:BN356_7801
ko:K03431	cpsd:BN356_7811
ko:K00748	cpsd:BN356_7831
ko:K03621	cpsd:BN356_7951
ko:K02911	cpsd:BN356_7961
ko:K08301	cpsd:BN356_7981
ko:K00630	cpsd:BN356_7991
ko:K00919	cpsd:BN356_8021
ko:K02939	cpsd:BN356_8031
ko:K02963	cpsd:BN356_8041
ko:K02990	cpsd:BN356_8051
ko:K01056	cpsd:BN356_8061
ko:K02897	cpsd:BN356_8071
ko:K00703	cpsd:BN356_8091
ko:K00995	cpsd:BN356_8101
ko:K14164	cpsd:BN356_8111
ko:K03555	cpsd:BN356_8171
ko:K03703	cpsd:BN356_8181
ko:K02954	cpsd:BN356_8211
ko:K02919	cpsd:BN356_8221
ko:K03536	cpsd:BN356_8231
ko:K07714	cpsd:BN356_1631
ko:K07710	cpsd:BN356_1651
ko:K06173	cpsd:BN356_1701
ko:K00991	cpsd:BN356_1711
ko:K02836	cpsd:BN356_1741
ko:K00790	cpsd:BN356_1791
ko:K01887	cpsd:BN356_1801
ko:K00655	cpsd:BN356_1811
ko:K00945	cpsd:BN356_1821
ko:K00981	cpsd:BN356_1831
ko:K00806	cpsd:BN356_1841
ko:K12257	cpsd:BN356_1861
ko:K07462	cpsd:BN356_1871
ko:K03797	cpsd:BN356_1941
ko:K02950	cpsd:BN356_1971
ko:K02992	cpsd:BN356_1981
ko:K02355	cpsd:BN356_1991
ko:K02946	cpsd:BN356_2001
ko:K01770	cpsd:BN356_2021
ko:K02888	cpsd:BN356_2041
ko:K02899	cpsd:BN356_2051
ko:K03979	cpsd:BN356_2061
ko:K09816	cpsd:BN356_2071
ko:K09817	cpsd:BN356_2081
ko:K00788	cpsd:BN356_2111
ko:K00878	cpsd:BN356_2121
ko:K06137	cpsd:BN356_9861
ko:K13941	cpsd:BN356_9891
ko:K01633	cpsd:BN356_9901
ko:K03086	cpsd:BN356_9911
ko:K02968	cpsd:BN356_9931
ko:K03581	cpsd:BN356_9951
ko:K13789	cpsd:BN356_9991
ko:K01698	cpsd:BN356_0001
ko:K00346	cpsd:BN356_0011
ko:K03582	cpsd:BN356_0071
ko:K03583	cpsd:BN356_0081
ko:K07146	cpsd:BN356_0101
ko:K02986	cpsd:BN356_0111
ko:K01151	cpsd:BN356_0121
ko:K03980	cpsd:BN356_0131
ko:K06861	cpsd:BN356_0191
ko:K01627	cpsd:BN356_0211
ko:K06960	cpsd:BN356_0231
ko:K06180	cpsd:BN356_0241
ko:K02469	cpsd:BN356_0271
ko:K02470	cpsd:BN356_0281
ko:K02492	cpsd:BN356_0291
ko:K03224	cpsd:BN356_0371
ko:K02417	cpsd:BN356_0401
ko:K03219	cpsd:BN356_0421
ko:K01883	cpsd:BN356_8251
ko:K04567	cpsd:BN356_8261
ko:K04066	cpsd:BN356_8291
ko:K00655	cpsd:BN356_8321
ko:K00263	cpsd:BN356_8341
ko:K09458	cpsd:BN356_8371
ko:K09710	cpsd:BN356_8381
ko:K00791	cpsd:BN356_8421
ko:K03926	cpsd:BN356_8451
ko:K06960	cpsd:BN356_8461
ko:K02563	cpsd:BN356_8481
ko:K03588	cpsd:BN356_8491
ko:K01925	cpsd:BN356_8511
ko:K01000	cpsd:BN356_8521
ko:K01929	cpsd:BN356_8531
ko:K02356	cpsd:BN356_8581
ko:K01241	cpsd:BN356_8591
ko:K00615	cpsd:BN356_8601
ko:K01872	cpsd:BN356_8611
ko:K03723	cpsd:BN356_8621
ko:K01599	cpsd:BN356_8631
ko:K00231	cpsd:BN356_8651
ko:K03210	cpsd:BN356_8691
ko:K00351	cpsd:BN356_8701
ko:K03466	cpsd:BN356_8761
ko:K02838	cpsd:BN356_0481
ko:K09903	cpsd:BN356_0491
ko:K02357	cpsd:BN356_0501
ko:K02967	cpsd:BN356_0511
ko:K03162	cpsd:BN356_0531
ko:K09013	cpsd:BN356_0571
ko:K09015	cpsd:BN356_0581
ko:K11717	cpsd:BN356_0591
ko:K07220	cpsd:BN356_0651
ko:K03306	cpsd:BN356_0661
ko:K00927	cpsd:BN356_0671
ko:K02337	cpsd:BN356_0791
ko:K07783	cpsd:BN356_0801
ko:K01892	cpsd:BN356_0821
ko:K01876	cpsd:BN356_0831
ko:K03216	cpsd:BN356_0851
ko:K03671	cpsd:BN356_0861
ko:K06925	cpsd:BN356_0891
ko:K03820	cpsd:BN356_0921
ko:K02535	cpsd:BN356_0931
ko:K02372	cpsd:BN356_0941
ko:K00677	cpsd:BN356_0951
ko:K00604	cpsd:BN356_0961
ko:K02906	cpsd:BN356_0981
ko:K02926	cpsd:BN356_0991
ko:K02892	cpsd:BN356_1001
ko:K02886	cpsd:BN356_1011
ko:K02965	cpsd:BN356_1021
ko:K03310	cpsd:BN356_8801
ko:K00794	cpsd:BN356_8831
ko:K14652	cpsd:BN356_8841
ko:K11752	cpsd:BN356_8851
ko:K01875	cpsd:BN356_8861
ko:K05837	cpsd:BN356_8891
ko:K14233	cpsd:BN356_7581
ko:K14232	cpsd:BN356_4241
ko:K14234	cpsd:BN356_0431
ko:K03559	cpsd:BN356_9631
ko:K14219	cpsd:BN356_0221
ko:K00895	cpsd:BN356_5981
ko:K01834	cpsd:BN356_8931
ko:K11645	cpsd:BN356_4951
ko:K09810	cpsd:BN356_5271
ko:K14234	cpsd:BN356_5191
ko:K14223	cpsd:BN356_8081
ko:K14220	cpsd:BN356_6331
ko:K14227	cpsd:BN356_5801
ko:K02028	cpsd:BN356_5421
ko:K14233	cpsd:BN356_2101
ko:K01980	cpsd:BN356_8731
ko:K14224	cpsd:BN356_0471
ko:K17103	cpsd:BN356_7701
ko:K14219	cpsd:BN356_1621
ko:K04084	cpsd:BN356_9611
ko:K14231	cpsd:BN356_2031
ko:K15035	cpsd:BN356_6521
ko:K14218	cpsd:BN356_0041
ko:K14218	cpsd:BN356_5811
ko:K14229	cpsd:BN356_0461
ko:K14225	cpsd:BN356_0521
ko:K14228	cpsd:BN356_0871
ko:K14228	cpsd:BN356_1231
ko:K14228	cpsd:BN356_1671
ko:K14228	cpsd:BN356_1571
ko:K14228	cpsd:BN356_7271
ko:K14233	cpsd:BN356_1311
ko:K14233	cpsd:BN356_3031
ko:K14219	cpsd:BN356_3741
ko:K14219	cpsd:BN356_9692
ko:K14232	cpsd:BN356_10001
ko:K14221	cpsd:BN356_5151
ko:K14237	cpsd:BN356_5152
ko:K14236	cpsd:BN356_5201
ko:K14230	cpsd:BN356_5991
ko:K14230	cpsd:BN356_6001
ko:K14230	cpsd:BN356_6921
ko:K14235	cpsd:BN356_6861
ko:K14222	cpsd:BN356_8541
ko:K01977	cpsd:BN356_8741
ko:K14225	cpsd:BN356_9081
ko:K14234	cpsd:BN356_6881
ko:K14237	cpsd:BN356_7661
ko:K01840	cpsd:BN356_3411
ko:K06972	cpsd:BN356_7721
ko:K07081	cpsd:BN356_2371
ko:K04077	cpsd:BN356_9701
ko:K08275	cpsd:BN356_4461
ko:K08274	cpsd:BN356_7231
ko:K18707	cpsd:BN356_2711
ko:K03825	cpsd:BN356_1751
ko:K03497	cpsd:BN356_0621
ko:K03496	cpsd:BN356_9481
ko:K03496	cpsd:BN356_p07
ko:K03111	cpsd:BN356_4061
ko:K02626	cpsd:BN356_7181
ko:K11991	cpsd:BN356_7501
ko:K04771	cpsd:BN356_7741
ko:K11749	cpsd:BN356_4381
ko:K19405	cpsd:BN356_0441
ko:K19411	cpsd:BN356_0451
ko:K07033	cpsd:BN356_0561
ko:K01802	cpsd:BN356_0841
ko:K03309	cpsd:BN356_2251
ko:K12132	cpsd:BN356_6651
ko:K20074	cpsd:BN356_3961
ko:K20265	cpsd:BN356_4941
ko:K01214	cpsd:BN356_4041
ko:K22099	cpsd:BN356_9871
ko:K00526	cpsd:BN356_7681
ko:K02335	cpsd:BN356_1351
ko:K02316	cpsd:BN356_8161
ko:K01520	cpsd:BN356_3441
ko:K02314	cpsd:BN356_1301
ko:K03553	cpsd:BN356_9851
ko:K00287	cpsd:BN356_9881
ko:K02314	cpsd:BN356_p03
ko:K00525	cpsd:BN356_7691
ko:K02031	cpsd:BN356_0641
ko:K02050	cpsd:BN356_7381
ko:K02051	cpsd:BN356_7381
ko:K01829	cpsd:BN356_8241
ko:K01534	cpsd:BN356_8881
ko:K16239	cpsd:BN356_4501
