ko:K01006	lmg:LMKG_00471
ko:K02111	lmg:LMKG_02236
ko:K02035	lmg:LMKG_03069
ko:K09815	lmg:LMKG_03068
ko:K09817	lmg:LMKG_03067
ko:K09816	lmg:LMKG_03066
ko:K02341	lmg:LMKG_03059
ko:K07461	lmg:LMKG_03055
ko:K07056	lmg:LMKG_03054
ko:K06284	lmg:LMKG_03053
ko:K05340	lmg:LMKG_03052
ko:K02114	lmg:LMKG_02233
ko:K02793	lmg:LMKG_02230
ko:K02794	lmg:LMKG_02230
ko:K02795	lmg:LMKG_02229
ko:K01183	lmg:LMKG_02220
ko:K06147	lmg:LMKG_02218
ko:K06147	lmg:LMKG_02217
ko:K01448	lmg:LMKG_02196
ko:K01081	lmg:LMKG_02195
ko:K00088	lmg:LMKG_02193
ko:K06975	lmg:LMKG_02191
ko:K02035	lmg:LMKG_02190
ko:K02033	lmg:LMKG_02189
ko:K02034	lmg:LMKG_02188
ko:K22010	lmg:LMKG_01759
ko:K11737	lmg:LMKG_01088
ko:K02005	lmg:LMKG_02782
ko:K02003	lmg:LMKG_02781
ko:K02004	lmg:LMKG_02780
ko:K06412	lmg:LMKG_02779
ko:K06412	lmg:LMKG_02778
ko:K04042	lmg:LMKG_02777
ko:K00948	lmg:LMKG_02776
ko:K01771	lmg:LMKG_02774
ko:K11031	lmg:LMKG_02773
ko:K01114	lmg:LMKG_02770
ko:K09685	lmg:LMKG_02783
ko:K05350	lmg:LMKG_01540
ko:K00788	lmg:LMKG_01599
ko:K01223	lmg:LMKG_03153
ko:K00941	lmg:LMKG_01600
ko:K11741	lmg:LMKG_02442
ko:K19689	lmg:LMKG_02643
ko:K00016	lmg:LMKG_03146
ko:K02897	lmg:LMKG_02762
ko:K01056	lmg:LMKG_02760
ko:K03723	lmg:LMKG_02759
ko:K07571	lmg:LMKG_02755
ko:K03798	lmg:LMKG_02753
ko:K03525	lmg:LMKG_02752
ko:K03708	lmg:LMKG_01698
ko:K03696	lmg:LMKG_01695
ko:K04485	lmg:LMKG_01694
ko:K00991	lmg:LMKG_01692
ko:K04083	lmg:LMKG_02751
ko:K01770	lmg:LMKG_01691
ko:K09698	lmg:LMKG_01690
ko:K01738	lmg:LMKG_02750
ko:K00796	lmg:LMKG_03127
ko:K01633	lmg:LMKG_03126
ko:K00950	lmg:LMKG_03125
ko:K04567	lmg:LMKG_03123
ko:K11741	lmg:LMKG_02441
ko:K02821	lmg:LMKG_03006
ko:K09692	lmg:LMKG_01846
ko:K18926	lmg:LMKG_01377
ko:K07146	lmg:LMKG_00832
ko:K03466	lmg:LMKG_00830
ko:K00286	lmg:LMKG_00829
ko:K07335	lmg:LMKG_00828
ko:K02057	lmg:LMKG_00826
ko:K02057	lmg:LMKG_00825
ko:K00995	lmg:LMKG_00820
ko:K03823	lmg:LMKG_00815
ko:K09769	lmg:LMKG_00814
ko:K03555	lmg:LMKG_00812
ko:K03572	lmg:LMKG_00811
ko:K00656	lmg:LMKG_00809
ko:K04069	lmg:LMKG_00808
ko:K07727	lmg:LMKG_00804
ko:K00075	lmg:LMKG_00795
ko:K05847	lmg:LMKG_00794
ko:K00014	lmg:LMKG_00071
ko:K13531	lmg:LMKG_00065
ko:K13530	lmg:LMKG_00064
ko:K06180	lmg:LMKG_00063
ko:K07220	lmg:LMKG_00058
ko:K03306	lmg:LMKG_00057
ko:K06901	lmg:LMKG_00052
ko:K05520	lmg:LMKG_00050
ko:K02759	lmg:LMKG_00047
ko:K02250	lmg:LMKG_00036
ko:K07238	lmg:LMKG_01496
ko:K03088	lmg:LMKG_01487
ko:K01421	lmg:LMKG_01465
ko:K01442	lmg:LMKG_01463
ko:K03924	lmg:LMKG_01454
ko:K09703	lmg:LMKG_01451
ko:K09903	lmg:LMKG_00906
ko:K02838	lmg:LMKG_00905
ko:K00806	lmg:LMKG_00904
ko:K00981	lmg:LMKG_00903
ko:K00099	lmg:LMKG_00902
ko:K11749	lmg:LMKG_00901
ko:K01881	lmg:LMKG_00900
ko:K03763	lmg:LMKG_00899
ko:K09748	lmg:LMKG_00898
ko:K02600	lmg:LMKG_00897
ko:K07742	lmg:LMKG_00896
ko:K02519	lmg:LMKG_00894
ko:K02834	lmg:LMKG_00892
ko:K11753	lmg:LMKG_00890
ko:K02956	lmg:LMKG_00889
ko:K00962	lmg:LMKG_00888
ko:K06949	lmg:LMKG_00887
ko:K02913	lmg:LMKG_00884
ko:K02247	lmg:LMKG_00876
ko:K00605	lmg:LMKG_00870
ko:K00282	lmg:LMKG_00869
ko:K00283	lmg:LMKG_00868
ko:K02356	lmg:LMKG_00863
ko:K02160	lmg:LMKG_00862
ko:K01961	lmg:LMKG_00861
ko:K03625	lmg:LMKG_00859
ko:K01491	lmg:LMKG_00858
ko:K03601	lmg:LMKG_00857
ko:K03602	lmg:LMKG_00856
ko:K13789	lmg:LMKG_00855
ko:K08177	lmg:LMKG_00140
ko:K08600	lmg:LMKG_00128
ko:K02013	lmg:LMKG_00127
ko:K02015	lmg:LMKG_00126
ko:K02016	lmg:LMKG_00125
ko:K08602	lmg:LMKG_00121
ko:K15581	lmg:LMKG_00114
ko:K15580	lmg:LMKG_00113
ko:K01867	lmg:LMKG_00111
ko:K09458	lmg:LMKG_00108
ko:K00648	lmg:LMKG_00107
ko:K03695	lmg:LMKG_00103
ko:K06890	lmg:LMKG_00102
ko:K01772	lmg:LMKG_00098
ko:K01599	lmg:LMKG_00097
ko:K02503	lmg:LMKG_00092
ko:K06885	lmg:LMKG_01427
ko:K06941	lmg:LMKG_01419
ko:K13653	lmg:LMKG_01418
ko:K00014	lmg:LMKG_01410
ko:K03785	lmg:LMKG_01409
ko:K06978	lmg:LMKG_01407
ko:K01808	lmg:LMKG_01401
ko:K01783	lmg:LMKG_01400
ko:K02773	lmg:LMKG_01395
ko:K01783	lmg:LMKG_01393
ko:K02774	lmg:LMKG_01391
ko:K00948	lmg:LMKG_01389
ko:K07282	lmg:LMKG_01380
ko:K08987	lmg:LMKG_01378
ko:K03704	lmg:LMKG_00854
ko:K01662	lmg:LMKG_00853
ko:K06442	lmg:LMKG_00852
ko:K03402	lmg:LMKG_00851
ko:K03631	lmg:LMKG_00850
ko:K00382	lmg:LMKG_00847
ko:K00166	lmg:LMKG_00846
ko:K00167	lmg:LMKG_00845
ko:K09699	lmg:LMKG_00844
ko:K03217	lmg:LMKG_00837
ko:K01512	lmg:LMKG_00835
ko:K00691	lmg:LMKG_00195
ko:K15780	lmg:LMKG_02754
ko:K14234	lmg:LMKG_3503
ko:K14234	lmg:LMKG_3537
ko:K00231	lmg:LMKG_02408
ko:K00997	lmg:LMKG_02407
ko:K01775	lmg:LMKG_02406
ko:K07723	lmg:LMKG_02405
ko:K03321	lmg:LMKG_02395
ko:K06959	lmg:LMKG_02394
ko:K02761	lmg:LMKG_02390
ko:K02760	lmg:LMKG_02377
ko:K02761	lmg:LMKG_02376
ko:K02759	lmg:LMKG_02375
ko:K01223	lmg:LMKG_02374
ko:K07089	lmg:LMKG_02371
ko:K03652	lmg:LMKG_02364
ko:K03800	lmg:LMKG_02361
ko:K03216	lmg:LMKG_02356
ko:K00266	lmg:LMKG_02620
ko:K08317	lmg:LMKG_02616
ko:K02029	lmg:LMKG_02613
ko:K01486	lmg:LMKG_02611
ko:K02003	lmg:LMKG_02606
ko:K00891	lmg:LMKG_02604
ko:K02769	lmg:LMKG_01555
ko:K02770	lmg:LMKG_01555
ko:K01624	lmg:LMKG_01554
ko:K03118	lmg:LMKG_01551
ko:K03116	lmg:LMKG_01550
ko:K05995	lmg:LMKG_01549
ko:K07243	lmg:LMKG_01547
ko:K07224	lmg:LMKG_01546
ko:K06193	lmg:LMKG_01542
ko:K02761	lmg:LMKG_01539
ko:K02760	lmg:LMKG_01538
ko:K06608	lmg:LMKG_01529
ko:K00140	lmg:LMKG_01528
ko:K03337	lmg:LMKG_01527
ko:K03338	lmg:LMKG_01526
ko:K03336	lmg:LMKG_01525
ko:K03648	lmg:LMKG_01521
ko:K00286	lmg:LMKG_01515
ko:K03306	lmg:LMKG_01504
ko:K02818	lmg:LMKG_00968
ko:K02819	lmg:LMKG_00968
ko:K00147	lmg:LMKG_00964
ko:K00931	lmg:LMKG_00963
ko:K03545	lmg:LMKG_00956
ko:K03544	lmg:LMKG_00955
ko:K03100	lmg:LMKG_00954
ko:K03100	lmg:LMKG_00953
ko:K03100	lmg:LMKG_00952
ko:K14540	lmg:LMKG_00951
ko:K03470	lmg:LMKG_03179
ko:K04096	lmg:LMKG_00948
ko:K03168	lmg:LMKG_00947
ko:K04094	lmg:LMKG_00946
ko:K03733	lmg:LMKG_00945
ko:K01419	lmg:LMKG_00944
ko:K03667	lmg:LMKG_00943
ko:K03706	lmg:LMKG_00942
ko:K07107	lmg:LMKG_00940
ko:K08591	lmg:LMKG_00937
ko:K02622	lmg:LMKG_00935
ko:K02621	lmg:LMKG_00934
ko:K07173	lmg:LMKG_00933
ko:K01126	lmg:LMKG_00929
ko:K00111	lmg:LMKG_00928
ko:K00791	lmg:LMKG_00927
ko:K03666	lmg:LMKG_00926
ko:K03665	lmg:LMKG_00925
ko:K01915	lmg:LMKG_00921
ko:K03893	lmg:LMKG_00920
ko:K01356	lmg:LMKG_00918
ko:K00615	lmg:LMKG_00914
ko:K02003	lmg:LMKG_00203
ko:K03431	lmg:LMKG_00199
ko:K01624	lmg:LMKG_00182
ko:K01624	lmg:LMKG_00181
ko:K03710	lmg:LMKG_00170
ko:K03671	lmg:LMKG_00162
ko:K03215	lmg:LMKG_02602
ko:K02434	lmg:LMKG_02599
ko:K02435	lmg:LMKG_02597
ko:K01972	lmg:LMKG_02595
ko:K03657	lmg:LMKG_02594
ko:K03308	lmg:LMKG_02592
ko:K01945	lmg:LMKG_02589
ko:K00602	lmg:LMKG_02588
ko:K11175	lmg:LMKG_02587
ko:K01933	lmg:LMKG_02586
ko:K00764	lmg:LMKG_02585
ko:K01952	lmg:LMKG_02584
ko:K01952	lmg:LMKG_02583
ko:K01952	lmg:LMKG_02582
ko:K01923	lmg:LMKG_02581
ko:K01756	lmg:LMKG_02580
ko:K01589	lmg:LMKG_02579
ko:K01588	lmg:LMKG_02578
ko:K06950	lmg:LMKG_03100
ko:K02013	lmg:LMKG_03099
ko:K06173	lmg:LMKG_02909
ko:K07507	lmg:LMKG_02904
ko:K02879	lmg:LMKG_02901
ko:K03040	lmg:LMKG_02900
ko:K02948	lmg:LMKG_02899
ko:K02952	lmg:LMKG_02898
ko:K02919	lmg:LMKG_02897
ko:K02518	lmg:LMKG_03220
ko:K03076	lmg:LMKG_02893
ko:K02876	lmg:LMKG_02892
ko:K02907	lmg:LMKG_02891
ko:K02988	lmg:LMKG_02889
ko:K02881	lmg:LMKG_02888
ko:K02933	lmg:LMKG_02887
ko:K02994	lmg:LMKG_02886
ko:K02954	lmg:LMKG_02885
ko:K02931	lmg:LMKG_02884
ko:K02895	lmg:LMKG_02883
ko:K02874	lmg:LMKG_03221
ko:K02961	lmg:LMKG_02880
ko:K02904	lmg:LMKG_02879
ko:K02878	lmg:LMKG_02878
ko:K02982	lmg:LMKG_02877
ko:K02890	lmg:LMKG_02876
ko:K02965	lmg:LMKG_02875
ko:K02886	lmg:LMKG_02874
ko:K02892	lmg:LMKG_02873
ko:K02926	lmg:LMKG_02872
ko:K02906	lmg:LMKG_02871
ko:K02946	lmg:LMKG_02870
ko:K03734	lmg:LMKG_02866
ko:K03885	lmg:LMKG_02864
ko:K01118	lmg:LMKG_01089
ko:K07150	lmg:LMKG_01082
ko:K07118	lmg:LMKG_01081
ko:K05786	lmg:LMKG_01080
ko:K00847	lmg:LMKG_01059
ko:K01681	lmg:LMKG_00559
ko:K03547	lmg:LMKG_00554
ko:K00655	lmg:LMKG_00553
ko:K02357	lmg:LMKG_00541
ko:K02967	lmg:LMKG_00540
ko:K01869	lmg:LMKG_02977
ko:K07139	lmg:LMKG_02976
ko:K01953	lmg:LMKG_02974
ko:K00789	lmg:LMKG_02973
ko:K08998	lmg:LMKG_02967
ko:K01911	lmg:LMKG_02965
ko:K01661	lmg:LMKG_02964
ko:K02551	lmg:LMKG_02962
ko:K02548	lmg:LMKG_02960
ko:K00549	lmg:LMKG_02956
ko:K02036	lmg:LMKG_02542
ko:K02038	lmg:LMKG_02541
ko:K02037	lmg:LMKG_02540
ko:K02040	lmg:LMKG_02539
ko:K07636	lmg:LMKG_02538
ko:K06131	lmg:LMKG_02535
ko:K09811	lmg:LMKG_02532
ko:K09812	lmg:LMKG_02531
ko:K02836	lmg:LMKG_02529
ko:K03070	lmg:LMKG_02528
ko:K05946	lmg:LMKG_02515
ko:K02372	lmg:LMKG_03212
ko:K03569	lmg:LMKG_02509
ko:K00790	lmg:LMKG_02508
ko:K02114	lmg:LMKG_03213
ko:K02112	lmg:LMKG_02504
ko:K02115	lmg:LMKG_02503
ko:K02111	lmg:LMKG_02502
ko:K02113	lmg:LMKG_02501
ko:K02109	lmg:LMKG_02500
ko:K02110	lmg:LMKG_02499
ko:K02108	lmg:LMKG_02498
ko:K00761	lmg:LMKG_02493
ko:K00600	lmg:LMKG_02492
ko:K07566	lmg:LMKG_02490
ko:K02493	lmg:LMKG_02488
ko:K02835	lmg:LMKG_02487
ko:K00872	lmg:LMKG_02485
ko:K01733	lmg:LMKG_02484
ko:K00003	lmg:LMKG_02483
ko:K02909	lmg:LMKG_02482
ko:K02224	lmg:LMKG_01737
ko:K02227	lmg:LMKG_01736
ko:K06042	lmg:LMKG_01735
ko:K02188	lmg:LMKG_01734
ko:K02191	lmg:LMKG_01732
ko:K05936	lmg:LMKG_01731
ko:K02189	lmg:LMKG_01730
ko:K05895	lmg:LMKG_01728
ko:K13542	lmg:LMKG_01727
ko:K03394	lmg:LMKG_01725
ko:K02007	lmg:LMKG_01724
ko:K02232	lmg:LMKG_01720
ko:K09936	lmg:LMKG_01718
ko:K09936	lmg:LMKG_01717
ko:K03437	lmg:LMKG_01709
ko:K01889	lmg:LMKG_01706
ko:K01890	lmg:LMKG_01705
ko:K02003	lmg:LMKG_01704
ko:K03648	lmg:LMKG_01700
ko:K09888	lmg:LMKG_03131
ko:K02347	lmg:LMKG_03177
ko:K07456	lmg:LMKG_03121
ko:K03671	lmg:LMKG_03120
ko:K03703	lmg:LMKG_03119
ko:K00928	lmg:LMKG_03118
ko:K01776	lmg:LMKG_03116
ko:K00989	lmg:LMKG_03115
ko:K07095	lmg:LMKG_03113
ko:K01652	lmg:LMKG_00320
ko:K07718	lmg:LMKG_00314
ko:K03704	lmg:LMKG_00308
ko:K01778	lmg:LMKG_00306
ko:K01870	lmg:LMKG_00305
ko:K04074	lmg:LMKG_00304
ko:K04487	lmg:LMKG_00302
ko:K00278	lmg:LMKG_00301
ko:K00767	lmg:LMKG_00300
ko:K03517	lmg:LMKG_00299
ko:K02221	lmg:LMKG_00295
ko:K09772	lmg:LMKG_00294
ko:K06997	lmg:LMKG_00293
ko:K03531	lmg:LMKG_00292
ko:K03590	lmg:LMKG_00291
ko:K03589	lmg:LMKG_00290
ko:K02563	lmg:LMKG_00289
ko:K01925	lmg:LMKG_00288
ko:K01000	lmg:LMKG_00287
ko:K01928	lmg:LMKG_00286
ko:K03438	lmg:LMKG_00283
ko:K03925	lmg:LMKG_00282
ko:K00077	lmg:LMKG_00278
ko:K02911	lmg:LMKG_00276
ko:K07040	lmg:LMKG_00275
ko:K00954	lmg:LMKG_00271
ko:K03284	lmg:LMKG_01240
ko:K01421	lmg:LMKG_01238
ko:K08976	lmg:LMKG_01232
ko:K00868	lmg:LMKG_01225
ko:K02419	lmg:LMKG_01207
ko:K02420	lmg:LMKG_01206
ko:K02421	lmg:LMKG_01205
ko:K02401	lmg:LMKG_01204
ko:K02400	lmg:LMKG_01203
ko:K02404	lmg:LMKG_01202
ko:K02392	lmg:LMKG_01201
ko:K02556	lmg:LMKG_01197
ko:K02557	lmg:LMKG_01196
ko:K03415	lmg:LMKG_01193
ko:K02406	lmg:LMKG_01192
ko:K03413	lmg:LMKG_01191
ko:K03407	lmg:LMKG_01190
ko:K02417	lmg:LMKG_01189
ko:K02389	lmg:LMKG_01186
ko:K02390	lmg:LMKG_01185
ko:K02417	lmg:LMKG_01184
ko:K02416	lmg:LMKG_01183
ko:K02417	lmg:LMKG_01182
ko:K09770	lmg:LMKG_01179
ko:K03551	lmg:LMKG_00679
ko:K03550	lmg:LMKG_00678
ko:K03979	lmg:LMKG_00674
ko:K00864	lmg:LMKG_00673
ko:K02440	lmg:LMKG_00672
ko:K02899	lmg:LMKG_00671
ko:K02888	lmg:LMKG_00669
ko:K08301	lmg:LMKG_00668
ko:K03609	lmg:LMKG_00667
ko:K03610	lmg:LMKG_00666
ko:K03571	lmg:LMKG_00665
ko:K03570	lmg:LMKG_00664
ko:K03569	lmg:LMKG_00663
ko:K03630	lmg:LMKG_00661
ko:K11754	lmg:LMKG_00658
ko:K01873	lmg:LMKG_00657
ko:K01845	lmg:LMKG_00656
ko:K01698	lmg:LMKG_00655
ko:K01749	lmg:LMKG_00653
ko:K02492	lmg:LMKG_00652
ko:K03978	lmg:LMKG_00651
ko:K01868	lmg:LMKG_00650
ko:K07738	lmg:LMKG_00646
ko:K00859	lmg:LMKG_00645
ko:K00031	lmg:LMKG_00642
ko:K01647	lmg:LMKG_00641
ko:K07113	lmg:LMKG_00639
ko:K00873	lmg:LMKG_00638
ko:K00850	lmg:LMKG_00637
ko:K01962	lmg:LMKG_00635
ko:K01963	lmg:LMKG_00634
ko:K02337	lmg:LMKG_03183
ko:K00259	lmg:LMKG_03184
ko:K00925	lmg:LMKG_00624
ko:K11065	lmg:LMKG_00622
ko:K04773	lmg:LMKG_00620
ko:K00858	lmg:LMKG_00619
ko:K09775	lmg:LMKG_03028
ko:K03885	lmg:LMKG_03025
ko:K07090	lmg:LMKG_02740
ko:K09014	lmg:LMKG_02732
ko:K11717	lmg:LMKG_03208
ko:K09015	lmg:LMKG_02728
ko:K09013	lmg:LMKG_02727
ko:K02073	lmg:LMKG_02725
ko:K02072	lmg:LMKG_02724
ko:K02071	lmg:LMKG_02723
ko:K02437	lmg:LMKG_02715
ko:K05837	lmg:LMKG_02712
ko:K05837	lmg:LMKG_02711
ko:K02013	lmg:LMKG_02710
ko:K02015	lmg:LMKG_02709
ko:K02016	lmg:LMKG_02708
ko:K00382	lmg:LMKG_01867
ko:K02003	lmg:LMKG_01859
ko:K03284	lmg:LMKG_01858
ko:K06207	lmg:LMKG_01854
ko:K03588	lmg:LMKG_01849
ko:K02016	lmg:LMKG_01847
ko:K00963	lmg:LMKG_01842
ko:K00973	lmg:LMKG_01839
ko:K01790	lmg:LMKG_01838
ko:K00067	lmg:LMKG_01836
ko:K00763	lmg:LMKG_01828
ko:K02760	lmg:LMKG_01825
ko:K01951	lmg:LMKG_01824
ko:K03827	lmg:LMKG_01811
ko:K10773	lmg:LMKG_00441
ko:K01893	lmg:LMKG_00439
ko:K00812	lmg:LMKG_00438
ko:K01579	lmg:LMKG_00435
ko:K01918	lmg:LMKG_00434
ko:K00606	lmg:LMKG_00433
ko:K03524	lmg:LMKG_00430
ko:K01734	lmg:LMKG_00428
ko:K00215	lmg:LMKG_00427
ko:K00656	lmg:LMKG_00417
ko:K07007	lmg:LMKG_00416
ko:K06973	lmg:LMKG_00415
ko:K00800	lmg:LMKG_00411
ko:K00817	lmg:LMKG_00409
ko:K06208	lmg:LMKG_00408
ko:K01735	lmg:LMKG_00407
ko:K01736	lmg:LMKG_00406
ko:K00940	lmg:LMKG_00405
ko:K03183	lmg:LMKG_00403
ko:K01495	lmg:LMKG_00401
ko:K03530	lmg:LMKG_00400
ko:K00057	lmg:LMKG_00397
ko:K03977	lmg:LMKG_00396
ko:K02945	lmg:LMKG_00395
ko:K00945	lmg:LMKG_00394
ko:K03654	lmg:LMKG_00391
ko:K07651	lmg:LMKG_00384
ko:K06978	lmg:LMKG_02083
ko:K03654	lmg:LMKG_02081
ko:K02760	lmg:LMKG_02075
ko:K02761	lmg:LMKG_02074
ko:K02759	lmg:LMKG_02072
ko:K01919	lmg:LMKG_02067
ko:K01223	lmg:LMKG_02066
ko:K02003	lmg:LMKG_02061
ko:K06942	lmg:LMKG_02055
ko:K02759	lmg:LMKG_02054
ko:K05349	lmg:LMKG_02053
ko:K02760	lmg:LMKG_02052
ko:K02761	lmg:LMKG_02051
ko:K03781	lmg:LMKG_02049
ko:K03501	lmg:LMKG_02032
ko:K07166	lmg:LMKG_01363
ko:K09157	lmg:LMKG_01362
ko:K02083	lmg:LMKG_01359
ko:K02016	lmg:LMKG_01355
ko:K02781	lmg:LMKG_01354
ko:K08325	lmg:LMKG_01341
ko:K03305	lmg:LMKG_01340
ko:K00262	lmg:LMKG_01335
ko:K02500	lmg:LMKG_01331
ko:K01814	lmg:LMKG_01330
ko:K02501	lmg:LMKG_01329
ko:K01693	lmg:LMKG_01328
ko:K00013	lmg:LMKG_01327
ko:K00765	lmg:LMKG_01326
ko:K02502	lmg:LMKG_01325
ko:K04486	lmg:LMKG_01324
ko:K07443	lmg:LMKG_01323
ko:K06901	lmg:LMKG_01321
ko:K06999	lmg:LMKG_01314
ko:K06969	lmg:LMKG_01313
ko:K03070	lmg:LMKG_01311
ko:K03322	lmg:LMKG_00791
ko:K05846	lmg:LMKG_00790
ko:K05845	lmg:LMKG_00789
ko:K05846	lmg:LMKG_00788
ko:K05847	lmg:LMKG_00787
ko:K01714	lmg:LMKG_00780
ko:K00928	lmg:LMKG_00779
ko:K00133	lmg:LMKG_00778
ko:K04564	lmg:LMKG_00776
ko:K09816	lmg:LMKG_00769
ko:K09817	lmg:LMKG_00768
ko:K01151	lmg:LMKG_00766
ko:K03527	lmg:LMKG_00764
ko:K06967	lmg:LMKG_00762
ko:K03086	lmg:LMKG_00761
ko:K09768	lmg:LMKG_00759
ko:K09773	lmg:LMKG_00758
ko:K01879	lmg:LMKG_00757
ko:K01878	lmg:LMKG_00756
ko:K03584	lmg:LMKG_00755
ko:K07042	lmg:LMKG_00750
ko:K07037	lmg:LMKG_00749
ko:K09117	lmg:LMKG_00746
ko:K02970	lmg:LMKG_00745
ko:K09761	lmg:LMKG_00744
ko:K02687	lmg:LMKG_03182
ko:K03686	lmg:LMKG_00741
ko:K04043	lmg:LMKG_00740
ko:K03687	lmg:LMKG_00739
ko:K03705	lmg:LMKG_00738
ko:K02250	lmg:LMKG_02833
ko:K02768	lmg:LMKG_02831
ko:K02769	lmg:LMKG_02831
ko:K02770	lmg:LMKG_02831
ko:K04079	lmg:LMKG_03170
ko:K04047	lmg:LMKG_01985
ko:K03449	lmg:LMKG_01979
ko:K01443	lmg:LMKG_01970
ko:K03710	lmg:LMKG_01968
ko:K08303	lmg:LMKG_01965
ko:K03744	lmg:LMKG_01963
ko:K03799	lmg:LMKG_01962
ko:K00858	lmg:LMKG_01957
ko:K06180	lmg:LMKG_01956
ko:K00208	lmg:LMKG_01955
ko:K03740	lmg:LMKG_01954
ko:K14188	lmg:LMKG_01953
ko:K03739	lmg:LMKG_01952
ko:K03367	lmg:LMKG_01951
ko:K01807	lmg:LMKG_01949
ko:K00826	lmg:LMKG_01946
ko:K00432	lmg:LMKG_01941
ko:K02837	lmg:LMKG_01936
ko:K01142	lmg:LMKG_03095
ko:K02887	lmg:LMKG_03094
ko:K02916	lmg:LMKG_03093
ko:K02520	lmg:LMKG_03188
ko:K02884	lmg:LMKG_03189
ko:K00554	lmg:LMKG_03082
ko:K02860	lmg:LMKG_03081
ko:K07010	lmg:LMKG_03079
ko:K06960	lmg:LMKG_03078
ko:K02959	lmg:LMKG_03077
ko:K03106	lmg:LMKG_00538
ko:K03110	lmg:LMKG_00536
ko:K03529	lmg:LMKG_00535
ko:K03685	lmg:LMKG_00534
ko:K02078	lmg:LMKG_00532
ko:K00645	lmg:LMKG_00530
ko:K03621	lmg:LMKG_00529
ko:K03655	lmg:LMKG_00527
ko:K01752	lmg:LMKG_00526
ko:K01752	lmg:LMKG_00525
ko:K02902	lmg:LMKG_00522
ko:K01783	lmg:LMKG_00520
ko:K06949	lmg:LMKG_00519
ko:K03500	lmg:LMKG_00516
ko:K00604	lmg:LMKG_00515
ko:K04066	lmg:LMKG_00514
ko:K13038	lmg:LMKG_00513
ko:K03060	lmg:LMKG_00512
ko:K00942	lmg:LMKG_00511
ko:K00762	lmg:LMKG_00507
ko:K01591	lmg:LMKG_00506
ko:K01955	lmg:LMKG_00503
ko:K02358	lmg:LMKG_03004
ko:K02355	lmg:LMKG_03003
ko:K02992	lmg:LMKG_03002
ko:K02950	lmg:LMKG_03001
ko:K01129	lmg:LMKG_03000
ko:K01783	lmg:LMKG_02998
ko:K00615	lmg:LMKG_02997
ko:K01783	lmg:LMKG_02996
ko:K01808	lmg:LMKG_02995
ko:K02774	lmg:LMKG_02991
ko:K02773	lmg:LMKG_02990
ko:K01808	lmg:LMKG_02982
ko:K01551	lmg:LMKG_02169
ko:K07667	lmg:LMKG_02165
ko:K07646	lmg:LMKG_02164
ko:K01548	lmg:LMKG_02163
ko:K01547	lmg:LMKG_02162
ko:K01546	lmg:LMKG_02161
ko:K02760	lmg:LMKG_02160
ko:K02761	lmg:LMKG_02159
ko:K02759	lmg:LMKG_02158
ko:K01531	lmg:LMKG_02153
ko:K00943	lmg:LMKG_02146
ko:K05878	lmg:LMKG_02144
ko:K03324	lmg:LMKG_01044
ko:K03737	lmg:LMKG_02470
ko:K04041	lmg:LMKG_02469
ko:K07088	lmg:LMKG_02468
ko:K13256	lmg:LMKG_02463
ko:K01921	lmg:LMKG_02440
ko:K01929	lmg:LMKG_02439
ko:K02529	lmg:LMKG_02437
ko:K05592	lmg:LMKG_02429
ko:K02759	lmg:LMKG_02420
