ko:K18816	clq:UPTC4110_0878
ko:K00428	clq:UPTC4110_0179
ko:K02888	clq:UPTC4110_0180
ko:K02899	clq:UPTC4110_0181
ko:K03979	clq:UPTC4110_0182
ko:K00604	clq:UPTC4110_0184
ko:K03524	clq:UPTC4110_0185
ko:K02109	clq:UPTC4110_0188
ko:K02109	clq:UPTC4110_0189
ko:K02113	clq:UPTC4110_0190
ko:K02111	clq:UPTC4110_0191
ko:K02115	clq:UPTC4110_0192
ko:K02112	clq:UPTC4110_0193
ko:K02114	clq:UPTC4110_0194
ko:K03559	clq:UPTC4110_0196
ko:K03832	clq:UPTC4110_0197
ko:K03641	clq:UPTC4110_0198
ko:K03640	clq:UPTC4110_0199
ko:K03775	clq:UPTC4110_0201
ko:K00645	clq:UPTC4110_0202
ko:K18284	clq:UPTC4110_0203
ko:K05540	clq:UPTC4110_0208
ko:K06204	clq:UPTC4110_0210
ko:K00783	clq:UPTC4110_0211
ko:K01963	clq:UPTC4110_0212
ko:K07277	clq:UPTC4110_0213
ko:K04517	clq:UPTC4110_0214
ko:K02535	clq:UPTC4110_0216
ko:K00872	clq:UPTC4110_0218
ko:K02519	clq:UPTC4110_0220
ko:K02834	clq:UPTC4110_0221
ko:K09748	clq:UPTC4110_0222
ko:K15738	clq:UPTC4110_0580
ko:K07098	clq:UPTC4110_0581
ko:K01613	clq:UPTC4110_0582
ko:K04061	clq:UPTC4110_0583
ko:K01845	clq:UPTC4110_0588
ko:K01491	clq:UPTC4110_0590
ko:K03100	clq:UPTC4110_0591
ko:K00812	clq:UPTC4110_0592
ko:K00773	clq:UPTC4110_0593
ko:K01959	clq:UPTC4110_0596
ko:K03686	clq:UPTC4110_0599
ko:K03588	clq:UPTC4110_0600
ko:K02030	clq:UPTC4110_0601
ko:K06921	clq:UPTC4110_0603
ko:K03216	clq:UPTC4110_0606
ko:K02028	clq:UPTC4110_0607
ko:K11749	clq:UPTC4110_0634
ko:K00995	clq:UPTC4110_0635
ko:K00076	clq:UPTC4110_0636
ko:K01714	clq:UPTC4110_0637
ko:K00254	clq:UPTC4110_0639
ko:K11085	clq:UPTC4110_0640
ko:K01883	clq:UPTC4110_0641
ko:K03980	clq:UPTC4110_0642
ko:K03550	clq:UPTC4110_0644
ko:K01921	clq:UPTC4110_0645
ko:K01929	clq:UPTC4110_0648
ko:K02393	clq:UPTC4110_0649
ko:K13788	clq:UPTC4110_0650
ko:K00925	clq:UPTC4110_0651
ko:K02073	clq:UPTC4110_0652
ko:K02072	clq:UPTC4110_0654
ko:K02071	clq:UPTC4110_0655
ko:K01873	clq:UPTC4110_0656
ko:K01507	clq:UPTC4110_0658
ko:K00939	clq:UPTC4110_0659
ko:K01876	clq:UPTC4110_0660
ko:K00858	clq:UPTC4110_0661
ko:K03631	clq:UPTC4110_0662
ko:K03424	clq:UPTC4110_0664
ko:K08307	clq:UPTC4110_0665
ko:K11752	clq:UPTC4110_0227
ko:K04773	clq:UPTC4110_0228
ko:K03786	clq:UPTC4110_0230
ko:K01262	clq:UPTC4110_0231
ko:K00950	clq:UPTC4110_0232
ko:K02404	clq:UPTC4110_0233
ko:K04562	clq:UPTC4110_0234
ko:K02405	clq:UPTC4110_0236
ko:K02416	clq:UPTC4110_0237
ko:K02417	clq:UPTC4110_0238
ko:K06966	clq:UPTC4110_0239
ko:K00566	clq:UPTC4110_0240
ko:K09952	clq:UPTC4110_0241
ko:K01095	clq:UPTC4110_0244
ko:K00958	clq:UPTC4110_0245
ko:K12506	clq:UPTC4110_0247
ko:K03593	clq:UPTC4110_0248
ko:K00674	clq:UPTC4110_0249
ko:K04047	clq:UPTC4110_0251
ko:K01810	clq:UPTC4110_0252
ko:K00963	clq:UPTC4110_0253
ko:K15778	clq:UPTC4110_0263
ko:K04075	clq:UPTC4110_0264
ko:K02836	clq:UPTC4110_0266
ko:K02029	clq:UPTC4110_0608
ko:K03310	clq:UPTC4110_0609
ko:K01879	clq:UPTC4110_0610
ko:K14652	clq:UPTC4110_0613
ko:K05837	clq:UPTC4110_0617
ko:K06180	clq:UPTC4110_0618
ko:K03439	clq:UPTC4110_0620
ko:K09812	clq:UPTC4110_0621
ko:K09811	clq:UPTC4110_0622
ko:K09903	clq:UPTC4110_0624
ko:K03060	clq:UPTC4110_0625
ko:K01866	clq:UPTC4110_0627
ko:K00459	clq:UPTC4110_0628
ko:K01448	clq:UPTC4110_0629
ko:K02014	clq:UPTC4110_0681
ko:K08311	clq:UPTC4110_0683
ko:K00928	clq:UPTC4110_0684
ko:K02341	clq:UPTC4110_0686
ko:K00796	clq:UPTC4110_0687
ko:K01972	clq:UPTC4110_0688
ko:K06442	clq:UPTC4110_0689
ko:K11753	clq:UPTC4110_0690
ko:K15256	clq:UPTC4110_0691
ko:K06942	clq:UPTC4110_0692
ko:K01255	clq:UPTC4110_0693
ko:K00759	clq:UPTC4110_0695
ko:K01808	clq:UPTC4110_0697
ko:K03412	clq:UPTC4110_0698
ko:K00575	clq:UPTC4110_0699
ko:K11784	clq:UPTC4110_0701
ko:K03655	clq:UPTC4110_0703
ko:K02029	clq:UPTC4110_0705
ko:K02029	clq:UPTC4110_0706
ko:K02028	clq:UPTC4110_0707
ko:K02030	clq:UPTC4110_0708
ko:K09944	clq:UPTC4110_0713
ko:K01735	clq:UPTC4110_0714
ko:K03831	clq:UPTC4110_0718
ko:K04079	clq:UPTC4110_0721
ko:K06199	clq:UPTC4110_0722
ko:K00655	clq:UPTC4110_0723
ko:K01952	clq:UPTC4110_0725
ko:K01952	clq:UPTC4110_0726
ko:K07226	clq:UPTC4110_0680
ko:K03642	clq:UPTC4110_0666
ko:K03270	clq:UPTC4110_0667
ko:K09774	clq:UPTC4110_0669
ko:K03978	clq:UPTC4110_0670
ko:K05515	clq:UPTC4110_0672
ko:K07568	clq:UPTC4110_0673
ko:K03118	clq:UPTC4110_0674
ko:K03117	clq:UPTC4110_0675
ko:K07089	clq:UPTC4110_0676
ko:K01923	clq:UPTC4110_0727
ko:K03797	clq:UPTC4110_0728
ko:K03695	clq:UPTC4110_0729
ko:K05927	clq:UPTC4110_0730
ko:K05922	clq:UPTC4110_0731
ko:K03620	clq:UPTC4110_0732
ko:K03605	clq:UPTC4110_0733
ko:K01885	clq:UPTC4110_0735
ko:K02221	clq:UPTC4110_0736
ko:K08309	clq:UPTC4110_0737
ko:K03753	clq:UPTC4110_0739
ko:K03841	clq:UPTC4110_0740
ko:K01874	clq:UPTC4110_0742
ko:K01772	clq:UPTC4110_0743
ko:K06920	clq:UPTC4110_0746
ko:K07042	clq:UPTC4110_0747
ko:K08296	clq:UPTC4110_0751
ko:K01779	clq:UPTC4110_0753
ko:K04763	clq:UPTC4110_0754
ko:K00790	clq:UPTC4110_0757
ko:K03750	clq:UPTC4110_0758
ko:K02386	clq:UPTC4110_0761
ko:K03186	clq:UPTC4110_0762
ko:K00954	clq:UPTC4110_0763
ko:K00943	clq:UPTC4110_0764
ko:K01892	clq:UPTC4110_0765
ko:K01585	clq:UPTC4110_0766
ko:K00640	clq:UPTC4110_0767
ko:K02563	clq:UPTC4110_0768
ko:K06997	clq:UPTC4110_0769
ko:K03092	clq:UPTC4110_0770
ko:K06861	clq:UPTC4110_0771
ko:K06925	clq:UPTC4110_0772
ko:K01940	clq:UPTC4110_0774
ko:K02939	clq:UPTC4110_0775
ko:K01419	clq:UPTC4110_0776
ko:K02536	clq:UPTC4110_0830
ko:K01653	clq:UPTC4110_0831
ko:K01652	clq:UPTC4110_0832
ko:K00177	clq:UPTC4110_0833
ko:K00175	clq:UPTC4110_0834
ko:K00174	clq:UPTC4110_0835
ko:K00176	clq:UPTC4110_0836
ko:K00024	clq:UPTC4110_0837
ko:K07082	clq:UPTC4110_0839
ko:K03466	clq:UPTC4110_0840
ko:K02397	clq:UPTC4110_0841
ko:K02337	clq:UPTC4110_0867
ko:K03152	clq:UPTC4110_0868
ko:K12251	clq:UPTC4110_0869
ko:K01916	clq:UPTC4110_0874
ko:K00912	clq:UPTC4110_0875
ko:K02959	clq:UPTC4110_0973
ko:K03106	clq:UPTC4110_0974
ko:K06180	clq:UPTC4110_0975
ko:K02527	clq:UPTC4110_0976
ko:K07164	clq:UPTC4110_0977
ko:K01878	clq:UPTC4110_0979
ko:K01588	clq:UPTC4110_0981
ko:K08303	clq:UPTC4110_0982
ko:K01915	clq:UPTC4110_0984
ko:K01433	clq:UPTC4110_0985
ko:K00974	clq:UPTC4110_0986
ko:K03449	clq:UPTC4110_0989
ko:K02570	clq:UPTC4110_0991
ko:K02568	clq:UPTC4110_0993
ko:K02574	clq:UPTC4110_0994
ko:K02573	clq:UPTC4110_0995
ko:K02567	clq:UPTC4110_0996
ko:K02392	clq:UPTC4110_0997
ko:K02392	clq:UPTC4110_0998
ko:K03086	clq:UPTC4110_0999
ko:K00937	clq:UPTC4110_1000
ko:K15876	clq:UPTC4110_1001
ko:K03385	clq:UPTC4110_1002
ko:K03147	clq:UPTC4110_1003
ko:K02342	clq:UPTC4110_1005
ko:K01783	clq:UPTC4110_1006
ko:K02902	clq:UPTC4110_1007
ko:K10716	clq:UPTC4110_1008
ko:K09794	clq:UPTC4110_1009
ko:K08077	clq:UPTC4110_1011
ko:K04077	clq:UPTC4110_1012
ko:K04078	clq:UPTC4110_1013
ko:K05808	clq:UPTC4110_1015
ko:K07457	clq:UPTC4110_1016
ko:K03723	clq:UPTC4110_1017
ko:K03438	clq:UPTC4110_1162
ko:K01628	clq:UPTC4110_1163
ko:K03770	clq:UPTC4110_1164
ko:K03590	clq:UPTC4110_1165
ko:K03531	clq:UPTC4110_1166
ko:K00763	clq:UPTC4110_1167
ko:K04066	clq:UPTC4110_1169
ko:K02456	clq:UPTC4110_1170
ko:K03702	clq:UPTC4110_1173
ko:K02356	clq:UPTC4110_1174
ko:K00058	clq:UPTC4110_1175
ko:K02945	clq:UPTC4110_1177
ko:K03527	clq:UPTC4110_1178
ko:K00800	clq:UPTC4110_1179
ko:K01890	clq:UPTC4110_1180
ko:K01889	clq:UPTC4110_1181
ko:K02503	clq:UPTC4110_1182
ko:K01610	clq:UPTC4110_1183
ko:K01960	clq:UPTC4110_1184
ko:K03308	clq:UPTC4110_1185
ko:K03308	clq:UPTC4110_1186
ko:K03308	clq:UPTC4110_1187
ko:K02110	clq:UPTC4110_1188
ko:K03406	clq:UPTC4110_1191
ko:K01465	clq:UPTC4110_1192
ko:K00057	clq:UPTC4110_1193
ko:K02434	clq:UPTC4110_1194
ko:K02108	clq:UPTC4110_1195
ko:K04485	clq:UPTC4110_1197
ko:K03110	clq:UPTC4110_1198
ko:K01934	clq:UPTC4110_1200
ko:K18682	clq:UPTC4110_1201
ko:K02238	clq:UPTC4110_1203
ko:K07058	clq:UPTC4110_1204
ko:K00104	clq:UPTC4110_1205
ko:K06213	clq:UPTC4110_1208
ko:K01737	clq:UPTC4110_1402
ko:K03639	clq:UPTC4110_1404
ko:K03179	clq:UPTC4110_1407
ko:K00791	clq:UPTC4110_1408
ko:K00343	clq:UPTC4110_1410
ko:K00342	clq:UPTC4110_1411
ko:K00341	clq:UPTC4110_1412
ko:K00340	clq:UPTC4110_1413
ko:K00339	clq:UPTC4110_1414
ko:K00338	clq:UPTC4110_1415
ko:K00337	clq:UPTC4110_1416
ko:K00334	clq:UPTC4110_1419
ko:K00333	clq:UPTC4110_1420
ko:K00332	clq:UPTC4110_1421
ko:K00331	clq:UPTC4110_1422
ko:K00330	clq:UPTC4110_1423
ko:K02034	clq:UPTC4110_1426
ko:K02033	clq:UPTC4110_1427
ko:K02035	clq:UPTC4110_1428
ko:K02168	clq:UPTC4110_1429
ko:K11175	clq:UPTC4110_1444
ko:K09760	clq:UPTC4110_1446
ko:K07391	clq:UPTC4110_1448
ko:K01462	clq:UPTC4110_1449
ko:K01925	clq:UPTC4110_0272
ko:K01000	clq:UPTC4110_0273
ko:K15633	clq:UPTC4110_0274
ko:K00059	clq:UPTC4110_0275
ko:K00997	clq:UPTC4110_0276
ko:K02415	clq:UPTC4110_0277
ko:K03781	clq:UPTC4110_0279
ko:K01755	clq:UPTC4110_0281
ko:K07791	clq:UPTC4110_0282
ko:K03326	clq:UPTC4110_0285
ko:K01760	clq:UPTC4110_0286
ko:K01756	clq:UPTC4110_0287
ko:K04758	clq:UPTC4110_0289
ko:K04759	clq:UPTC4110_0290
ko:K03707	clq:UPTC4110_0291
ko:K02078	clq:UPTC4110_0292
ko:K09458	clq:UPTC4110_0293
ko:K01962	clq:UPTC4110_0294
ko:K09688	clq:UPTC4110_0297
ko:K09689	clq:UPTC4110_0298
ko:K10107	clq:UPTC4110_0299
ko:K06041	clq:UPTC4110_0301
ko:K01854	clq:UPTC4110_0304
ko:K00764	clq:UPTC4110_0309
ko:K01666	clq:UPTC4110_0311
ko:K01091	clq:UPTC4110_0312
ko:K07266	clq:UPTC4110_0313
ko:K07265	clq:UPTC4110_0314
ko:K02600	clq:UPTC4110_0319
ko:K06168	clq:UPTC4110_0321
ko:K09778	clq:UPTC4110_0322
ko:K03667	clq:UPTC4110_0777
ko:K02422	clq:UPTC4110_0783
ko:K02407	clq:UPTC4110_0784
ko:K06603	clq:UPTC4110_0785
ko:K03182	clq:UPTC4110_0786
ko:K01749	clq:UPTC4110_0787
ko:K07113	clq:UPTC4110_0788
ko:K01881	clq:UPTC4110_0789
ko:K02492	clq:UPTC4110_0790
ko:K02523	clq:UPTC4110_0791
ko:K01091	clq:UPTC4110_0794
ko:K03455	clq:UPTC4110_0796
ko:K13640	clq:UPTC4110_0797
ko:K05516	clq:UPTC4110_0798
ko:K02484	clq:UPTC4110_0801
ko:K03657	clq:UPTC4110_0802
ko:K11065	clq:UPTC4110_0803
ko:K07304	clq:UPTC4110_0806
ko:K04651	clq:UPTC4110_0807
ko:K04655	clq:UPTC4110_0808
ko:K04654	clq:UPTC4110_0809
ko:K04653	clq:UPTC4110_0810
ko:K04652	clq:UPTC4110_0811
ko:K04656	clq:UPTC4110_0812
ko:K05995	clq:UPTC4110_0814
ko:K07043	clq:UPTC4110_0815
ko:K02036	clq:UPTC4110_0817
ko:K02038	clq:UPTC4110_0818
ko:K02037	clq:UPTC4110_0819
ko:K02040	clq:UPTC4110_0820
ko:K02217	clq:UPTC4110_0823
ko:K01733	clq:UPTC4110_0876
ko:K00979	clq:UPTC4110_0877
ko:K02030	clq:UPTC4110_0879
ko:K02029	clq:UPTC4110_0880
ko:K04084	clq:UPTC4110_0882
ko:K03885	clq:UPTC4110_0883
ko:K03308	clq:UPTC4110_0884
ko:K02557	clq:UPTC4110_0886
ko:K01624	clq:UPTC4110_0888
ko:K10773	clq:UPTC4110_0890
ko:K03312	clq:UPTC4110_0891
ko:K05685	clq:UPTC4110_0893
ko:K13888	clq:UPTC4110_0894
ko:K05939	clq:UPTC4110_0896
ko:K06978	clq:UPTC4110_0897
ko:K00384	clq:UPTC4110_0899
ko:K06940	clq:UPTC4110_0901
ko:K01609	clq:UPTC4110_0903
ko:K06917	clq:UPTC4110_0905
ko:K03306	clq:UPTC4110_0906
ko:K00097	clq:UPTC4110_0907
ko:K03474	clq:UPTC4110_0908
ko:K01524	clq:UPTC4110_0909
ko:K09117	clq:UPTC4110_0910
ko:K01173	clq:UPTC4110_0911
ko:K04043	clq:UPTC4110_0912
ko:K03687	clq:UPTC4110_0913
ko:K03705	clq:UPTC4110_0914
ko:K02400	clq:UPTC4110_0918
ko:K02956	clq:UPTC4110_0920
ko:K07447	clq:UPTC4110_0922
ko:K04096	clq:UPTC4110_0923
ko:K09798	clq:UPTC4110_0924
ko:K11754	clq:UPTC4110_1020
ko:K01869	clq:UPTC4110_1023
ko:K03074	clq:UPTC4110_1025
ko:K03072	clq:UPTC4110_1026
ko:K03210	clq:UPTC4110_1027
ko:K03820	clq:UPTC4110_1028
ko:K00789	clq:UPTC4110_1029
ko:K07862	clq:UPTC4110_1030
ko:K00609	clq:UPTC4110_1031
ko:K08602	clq:UPTC4110_1032
ko:K03657	clq:UPTC4110_1034
ko:K03177	clq:UPTC4110_1035
ko:K03563	clq:UPTC4110_1036
ko:K00919	clq:UPTC4110_1037
ko:K03664	clq:UPTC4110_1038
ko:K06891	clq:UPTC4110_1040
ko:K03694	clq:UPTC4110_1041
ko:K00684	clq:UPTC4110_1042
ko:K02387	clq:UPTC4110_1043
ko:K02388	clq:UPTC4110_1044
ko:K02408	clq:UPTC4110_1045
ko:K03587	clq:UPTC4110_1046
ko:K01772	clq:UPTC4110_1048
ko:K13017	clq:UPTC4110_1050
ko:K01872	clq:UPTC4110_1051
ko:K06287	clq:UPTC4110_1052
ko:K05366	clq:UPTC4110_1053
ko:K17247	clq:UPTC4110_1055
ko:K00316	clq:UPTC4110_1056
ko:K01533	clq:UPTC4110_1058
ko:K03768	clq:UPTC4110_1062
ko:K09943	clq:UPTC4110_1063
ko:K01738	clq:UPTC4110_1211
ko:K03530	clq:UPTC4110_1212
ko:K02843	clq:UPTC4110_1215
ko:K00973	clq:UPTC4110_1219
ko:K02517	clq:UPTC4110_1231
ko:K02841	clq:UPTC4110_1232
ko:K07501	clq:UPTC4110_1233
ko:K01784	clq:UPTC4110_1234
ko:K03413	clq:UPTC4110_1244
ko:K02687	clq:UPTC4110_1245
ko:K03798	clq:UPTC4110_1246
ko:K01613	clq:UPTC4110_1247
ko:K17103	clq:UPTC4110_1248
ko:K11065	clq:UPTC4110_1209
ko:K10806	clq:UPTC4110_1254
ko:K00948	clq:UPTC4110_1255
ko:K03407	clq:UPTC4110_1260
ko:K01358	clq:UPTC4110_1451
ko:K03545	clq:UPTC4110_1452
ko:K01495	clq:UPTC4110_1453
ko:K02412	clq:UPTC4110_1454
ko:K04487	clq:UPTC4110_1458
ko:K13819	clq:UPTC4110_1459
ko:K03313	clq:UPTC4110_1460
ko:K03313	clq:UPTC4110_1461
ko:K01736	clq:UPTC4110_1465
ko:K03685	clq:UPTC4110_1466
ko:K03469	clq:UPTC4110_1467
ko:K00566	clq:UPTC4110_1470
ko:K05367	clq:UPTC4110_1472
ko:K06894	clq:UPTC4110_1473
ko:K16052	clq:UPTC4110_1476
ko:K01673	clq:UPTC4110_1477
ko:K03075	clq:UPTC4110_1479
ko:K02838	clq:UPTC4110_1480
ko:K00762	clq:UPTC4110_1481
ko:K00573	clq:UPTC4110_1486
ko:K03827	clq:UPTC4110_1487
ko:K01674	clq:UPTC4110_1488
ko:K06207	clq:UPTC4110_1490
ko:K02389	clq:UPTC4110_1493
ko:K02390	clq:UPTC4110_1494
ko:K07023	clq:UPTC4110_1496
ko:K02010	clq:UPTC4110_1497
ko:K02011	clq:UPTC4110_1498
ko:K02012	clq:UPTC4110_1499
ko:K13292	clq:UPTC4110_0327
ko:K00246	clq:UPTC4110_0328
ko:K00244	clq:UPTC4110_0329
ko:K00245	clq:UPTC4110_0330
ko:K03923	clq:UPTC4110_0333
ko:K06152	clq:UPTC4110_0334
ko:K06151	clq:UPTC4110_0335
ko:K03098	clq:UPTC4110_0337
ko:K13979	clq:UPTC4110_0338
ko:K01153	clq:UPTC4110_0339
ko:K01154	clq:UPTC4110_0341
ko:K03427	clq:UPTC4110_0343
ko:K03750	clq:UPTC4110_0346
ko:K03635	clq:UPTC4110_0347
ko:K03636	clq:UPTC4110_0348
ko:K13747	clq:UPTC4110_0350
ko:K00127	clq:UPTC4110_0351
ko:K00123	clq:UPTC4110_0354
ko:K00124	clq:UPTC4110_0355
ko:K01008	clq:UPTC4110_0358
ko:K13821	clq:UPTC4110_0359
ko:K11928	clq:UPTC4110_0360
ko:K07112	clq:UPTC4110_0362
ko:K01939	clq:UPTC4110_0364
ko:K09804	clq:UPTC4110_0367
ko:K01956	clq:UPTC4110_0368
ko:K09792	clq:UPTC4110_0369
ko:K00404	clq:UPTC4110_0370
ko:K00405	clq:UPTC4110_0371
ko:K00407	clq:UPTC4110_0372
ko:K00053	clq:UPTC4110_0925
ko:K12573	clq:UPTC4110_0926
ko:K02340	clq:UPTC4110_0927
ko:K02990	clq:UPTC4110_0928
ko:K02963	clq:UPTC4110_0930
ko:K05595	clq:UPTC4110_0931
ko:K00286	clq:UPTC4110_0935
ko:K13626	clq:UPTC4110_0936
ko:K05807	clq:UPTC4110_0937
ko:K01338	clq:UPTC4110_0938
ko:K01754	clq:UPTC4110_0941
ko:K06929	clq:UPTC4110_0942
ko:K00567	clq:UPTC4110_0949
ko:K06173	clq:UPTC4110_0951
ko:K07091	clq:UPTC4110_0952
ko:K02654	clq:UPTC4110_0953
ko:K00806	clq:UPTC4110_0954
ko:K13038	clq:UPTC4110_0956
ko:K04042	clq:UPTC4110_0957
ko:K02419	clq:UPTC4110_0959
ko:K07088	clq:UPTC4110_0960
ko:K03342	clq:UPTC4110_0961
ko:K01664	clq:UPTC4110_0962
ko:K01626	clq:UPTC4110_0967
ko:K02884	clq:UPTC4110_0969
ko:K00554	clq:UPTC4110_0970
ko:K02860	clq:UPTC4110_0971
ko:K06960	clq:UPTC4110_0972
ko:K01887	clq:UPTC4110_1068
ko:K03116	clq:UPTC4110_1069
ko:K00942	clq:UPTC4110_1070
ko:K02421	clq:UPTC4110_1072
ko:K02003	clq:UPTC4110_1073
ko:K02357	clq:UPTC4110_1074
ko:K02967	clq:UPTC4110_1075
ko:K00413	clq:UPTC4110_1076
ko:K00412	clq:UPTC4110_1077
ko:K00411	clq:UPTC4110_1078
ko:K03495	clq:UPTC4110_1081
ko:K00793	clq:UPTC4110_1082
ko:K05810	clq:UPTC4110_1083
ko:K02484	clq:UPTC4110_1085
ko:K01999	clq:UPTC4110_1092
ko:K01999	clq:UPTC4110_1093
ko:K01997	clq:UPTC4110_1094
ko:K01998	clq:UPTC4110_1095
ko:K01995	clq:UPTC4110_1096
ko:K01996	clq:UPTC4110_1097
ko:K03596	clq:UPTC4110_1100
ko:K01719	clq:UPTC4110_1103
ko:K00788	clq:UPTC4110_1104
ko:K00878	clq:UPTC4110_1105
ko:K00941	clq:UPTC4110_1106
ko:K01104	clq:UPTC4110_1107
ko:K03406	clq:UPTC4110_1108
ko:K03501	clq:UPTC4110_1110
ko:K01497	clq:UPTC4110_1111
ko:K01698	clq:UPTC4110_1112
ko:K03551	clq:UPTC4110_1261
ko:K02428	clq:UPTC4110_1264
ko:K07003	clq:UPTC4110_1265
ko:K07323	clq:UPTC4110_1266
ko:K04754	clq:UPTC4110_1267
ko:K02020	clq:UPTC4110_1268
ko:K02017	clq:UPTC4110_1270
ko:K01042	clq:UPTC4110_1272
ko:K03833	clq:UPTC4110_1273
ko:K03981	clq:UPTC4110_1274
ko:K00262	clq:UPTC4110_1276
ko:K11782	clq:UPTC4110_1277
ko:K00029	clq:UPTC4110_1278
ko:K01885	clq:UPTC4110_1279
ko:K01961	clq:UPTC4110_1281
ko:K02160	clq:UPTC4110_1282
ko:K01494	clq:UPTC4110_1283
ko:K15894	clq:UPTC4110_1284
ko:K15895	clq:UPTC4110_1285
ko:K03789	clq:UPTC4110_1289
ko:K00648	clq:UPTC4110_1293
ko:K15896	clq:UPTC4110_1301
ko:K02500	clq:UPTC4110_1302
ko:K02501	clq:UPTC4110_1303
ko:K07090	clq:UPTC4110_1305
ko:K02401	clq:UPTC4110_1306
ko:K03406	clq:UPTC4110_1307
ko:K03386	clq:UPTC4110_1308
ko:K06159	clq:UPTC4110_1502
ko:K02456	clq:UPTC4110_1505
ko:K01409	clq:UPTC4110_1506
ko:K00099	clq:UPTC4110_1508
ko:K00981	clq:UPTC4110_1509
ko:K03752	clq:UPTC4110_1512
ko:K01058	clq:UPTC4110_1513
ko:K07084	clq:UPTC4110_1515
ko:K01687	clq:UPTC4110_1516
ko:K03406	clq:UPTC4110_1521
ko:K03406	clq:UPTC4110_1522
ko:K09767	clq:UPTC4110_1526
ko:K02970	clq:UPTC4110_1531
ko:K03585	clq:UPTC4110_1534
ko:K08973	clq:UPTC4110_1539
ko:K03101	clq:UPTC4110_1540
ko:K03431	clq:UPTC4110_1541
ko:K07478	clq:UPTC4110_1543
ko:K02313	clq:UPTC4110_0001
