ko:K07713	sea:SeAg_B4418
ko:K01991	sea:SeAg_B2243
ko:K01494	sea:SeAg_B2248
ko:K00876	sea:SeAg_B2249
ko:K01247	sea:SeAg_B2252
ko:K04046	sea:SeAg_B2253
ko:K07799	sea:SeAg_B2256
ko:K07788	sea:SeAg_B2257
ko:K07789	sea:SeAg_B2258
ko:K07664	sea:SeAg_B2261
ko:K01823	sea:SeAg_B3195
ko:K04567	sea:SeAg_B3196
ko:K07462	sea:SeAg_B3198
ko:K03981	sea:SeAg_B3199
ko:K03840	sea:SeAg_B3201
ko:K09159	sea:SeAg_B3204
ko:K06980	sea:SeAg_B3205
ko:K11068	sea:SeAg_B3206
ko:K09900	sea:SeAg_B3207
ko:K02437	sea:SeAg_B3212
ko:K00605	sea:SeAg_B3213
ko:K03185	sea:SeAg_B3216
ko:K01262	sea:SeAg_B3217
ko:K09895	sea:SeAg_B3218
ko:K09888	sea:SeAg_B3219
ko:K09807	sea:SeAg_B3227
ko:K03442	sea:SeAg_B3229
ko:K01624	sea:SeAg_B3230
ko:K00927	sea:SeAg_B3231
ko:K03732	sea:SeAg_B4141
ko:K03671	sea:SeAg_B4142
ko:K03628	sea:SeAg_B4143
ko:K05790	sea:SeAg_B4145
ko:K02472	sea:SeAg_B4147
ko:K02853	sea:SeAg_B4154
ko:K02496	sea:SeAg_B4164
ko:K01719	sea:SeAg_B4165
ko:K01749	sea:SeAg_B4166
ko:K06202	sea:SeAg_B4170
ko:K01778	sea:SeAg_B4175
ko:K09921	sea:SeAg_B4176
ko:K03657	sea:SeAg_B4180
ko:K03284	sea:SeAg_B4181
ko:K05786	sea:SeAg_B4184
ko:K03654	sea:SeAg_B4187
ko:K03576	sea:SeAg_B4193
ko:K00549	sea:SeAg_B4194
ko:K06871	sea:SeAg_B4197
ko:K09760	sea:SeAg_B4200
ko:K03183	sea:SeAg_B4201
ko:K01915	sea:SeAg_B4239
ko:K06207	sea:SeAg_B4240
ko:K07058	sea:SeAg_B4260
ko:K07560	sea:SeAg_B4261
ko:K07347	sea:SeAg_B0331
ko:K03271	sea:SeAg_B0344
ko:K02346	sea:SeAg_B0347
ko:K02839	sea:SeAg_B0349
ko:K00769	sea:SeAg_B0351
ko:K00931	sea:SeAg_B0356
ko:K00147	sea:SeAg_B0357
ko:K01704	sea:SeAg_B0364
ko:K07347	sea:SeAg_B0371
ko:K07345	sea:SeAg_B0373
ko:K02796	sea:SeAg_B1300
ko:K02795	sea:SeAg_B1301
ko:K01752	sea:SeAg_B1305
ko:K01665	sea:SeAg_B1307
ko:K09917	sea:SeAg_B1308
ko:K05775	sea:SeAg_B4489
ko:K03181	sea:SeAg_B4490
ko:K03179	sea:SeAg_B4491
ko:K00901	sea:SeAg_B4493
ko:K01356	sea:SeAg_B4494
ko:K03327	sea:SeAg_B4495
ko:K09823	sea:SeAg_B4498
ko:K05539	sea:SeAg_B4500
ko:K02314	sea:SeAg_B4503
ko:K01775	sea:SeAg_B4504
ko:K03788	sea:SeAg_B4506
ko:K03701	sea:SeAg_B4511
ko:K03111	sea:SeAg_B4512
ko:K01752	sea:SeAg_B3114
ko:K00048	sea:SeAg_B3116
ko:K02429	sea:SeAg_B3120
ko:K01818	sea:SeAg_B3121
ko:K02430	sea:SeAg_B3124
ko:K06968	sea:SeAg_B3125
ko:K03581	sea:SeAg_B3139
ko:K03582	sea:SeAg_B3140
ko:K01407	sea:SeAg_B3141
ko:K03583	sea:SeAg_B3142
ko:K00560	sea:SeAg_B3148
ko:K08484	sea:SeAg_B3150
ko:K08311	sea:SeAg_B3151
ko:K03573	sea:SeAg_B3152
ko:K08227	sea:SeAg_B3156
ko:K01586	sea:SeAg_B3163
ko:K01815	sea:SeAg_B3169
ko:K02037	sea:SeAg_B4081
ko:K02040	sea:SeAg_B4082
ko:K02769	sea:SeAg_B4083
ko:K02770	sea:SeAg_B4083
ko:K00014	sea:SeAg_B4084
ko:K09916	sea:SeAg_B1883
ko:K07305	sea:SeAg_B1884
ko:K00134	sea:SeAg_B1885
ko:K06871	sea:SeAg_B1888
ko:K07180	sea:SeAg_B1890
ko:K09786	sea:SeAg_B1891
ko:K03449	sea:SeAg_B1899
ko:K01626	sea:SeAg_B2814
ko:K02884	sea:SeAg_B2818
ko:K00554	sea:SeAg_B2819
ko:K02860	sea:SeAg_B2820
ko:K02959	sea:SeAg_B2821
ko:K03106	sea:SeAg_B2823
ko:K03687	sea:SeAg_B2828
ko:K00858	sea:SeAg_B2827
ko:K03631	sea:SeAg_B2829
ko:K06186	sea:SeAg_B2830
ko:K09801	sea:SeAg_B2831
ko:K03664	sea:SeAg_B2833
ko:K06906	sea:SeAg_B2843
ko:K06908	sea:SeAg_B2847
ko:K06907	sea:SeAg_B2848
ko:K06903	sea:SeAg_B2853
ko:K07722	sea:SeAg_B3786
ko:K01993	sea:SeAg_B3789
ko:K07007	sea:SeAg_B3791
ko:K06144	sea:SeAg_B3793
ko:K03305	sea:SeAg_B3795
ko:K01414	sea:SeAg_B3797
ko:K07115	sea:SeAg_B3801
ko:K00383	sea:SeAg_B3803
ko:K03710	sea:SeAg_B3808
ko:K01194	sea:SeAg_B3810
ko:K07058	sea:SeAg_B3815
ko:K07290	sea:SeAg_B3817
ko:K11103	sea:SeAg_B3822
ko:K00098	sea:SeAg_B4769
ko:K00851	sea:SeAg_B4770
ko:K03427	sea:SeAg_B4819
ko:K03427	sea:SeAg_B4820
ko:K01153	sea:SeAg_B4822
ko:K06073	sea:SeAg_B1833
ko:K01783	sea:SeAg_B3682
ko:K06223	sea:SeAg_B3683
ko:K03112	sea:SeAg_B3684
ko:K01735	sea:SeAg_B3685
ko:K00891	sea:SeAg_B3686
ko:K08312	sea:SeAg_B3693
ko:K04762	sea:SeAg_B3696
ko:K04083	sea:SeAg_B3697
ko:K07638	sea:SeAg_B3702
ko:K04760	sea:SeAg_B3704
ko:K06959	sea:SeAg_B3705
ko:K04758	sea:SeAg_B3706
ko:K04759	sea:SeAg_B3707
ko:K07490	sea:SeAg_B3708
ko:K02170	sea:SeAg_B3711
ko:K07400	sea:SeAg_B3713
ko:K06155	sea:SeAg_B3714
ko:K00705	sea:SeAg_B3715
ko:K00688	sea:SeAg_B3716
ko:K03556	sea:SeAg_B3717
ko:K01974	sea:SeAg_B3719
ko:K02444	sea:SeAg_B3724
ko:K02441	sea:SeAg_B3725
ko:K02439	sea:SeAg_B3726
ko:K04087	sea:SeAg_B4642
ko:K09937	sea:SeAg_B4643
ko:K01939	sea:SeAg_B4644
ko:K03218	sea:SeAg_B4647
ko:K09980	sea:SeAg_B4648
ko:K08989	sea:SeAg_B4651
ko:K09456	sea:SeAg_B4655
ko:K03476	sea:SeAg_B4660
ko:K03475	sea:SeAg_B4661
ko:K08996	sea:SeAg_B4667
ko:K02990	sea:SeAg_B4669
ko:K02686	sea:SeAg_B4670
ko:K02963	sea:SeAg_B4671
ko:K02939	sea:SeAg_B4672
ko:K07269	sea:SeAg_B4674
ko:K07322	sea:SeAg_B4677
ko:K07109	sea:SeAg_B4684
ko:K09800	sea:SeAg_B4690
ko:K01507	sea:SeAg_B4694
ko:K02558	sea:SeAg_B4696
ko:K03337	sea:SeAg_B4702
ko:K00849	sea:SeAg_B0810
ko:K05776	sea:SeAg_B0814
ko:K02019	sea:SeAg_B0815
ko:K02020	sea:SeAg_B0817
ko:K02018	sea:SeAg_B0818
ko:K03785	sea:SeAg_B1814
ko:K00313	sea:SeAg_B1820
ko:K01007	sea:SeAg_B1823
ko:K09773	sea:SeAg_B1825
ko:K01626	sea:SeAg_B1826
ko:K06074	sea:SeAg_B1831
ko:K00432	sea:SeAg_B1832
ko:K01952	sea:SeAg_B2727
ko:K07106	sea:SeAg_B2733
ko:K00077	sea:SeAg_B2735
ko:K00997	sea:SeAg_B2739
ko:K03474	sea:SeAg_B2740
ko:K03584	sea:SeAg_B2741
ko:K03595	sea:SeAg_B2742
ko:K03685	sea:SeAg_B2743
ko:K03100	sea:SeAg_B2745
ko:K03596	sea:SeAg_B2746
ko:K03803	sea:SeAg_B2747
ko:K04095	sea:SeAg_B3667
ko:K06141	sea:SeAg_B3670
ko:K00362	sea:SeAg_B3671
ko:K00363	sea:SeAg_B3673
ko:K06890	sea:SeAg_B0842
ko:K06890	sea:SeAg_B0843
ko:K01993	sea:SeAg_B0853
ko:K03722	sea:SeAg_B0857
ko:K06970	sea:SeAg_B0862
ko:K00873	sea:SeAg_B1793
ko:K06078	sea:SeAg_B1794
ko:K06078	sea:SeAg_B1795
ko:K02426	sea:SeAg_B1797
ko:K09015	sea:SeAg_B1799
ko:K09013	sea:SeAg_B1800
ko:K09014	sea:SeAg_B1801
ko:K05997	sea:SeAg_B1802
ko:K01867	sea:SeAg_B3680
ko:K03535	sea:SeAg_B3103
ko:K06175	sea:SeAg_B3106
ko:K06966	sea:SeAg_B3111
ko:K03837	sea:SeAg_B3113
ko:K01753	sea:SeAg_B4027
ko:K06871	sea:SeAg_B4029
ko:K00389	sea:SeAg_B4031
ko:K07085	sea:SeAg_B4034
ko:K04081	sea:SeAg_B4035
ko:K04080	sea:SeAg_B4036
ko:K02200	sea:SeAg_B4040
ko:K02199	sea:SeAg_B4041
ko:K02196	sea:SeAg_B4044
ko:K02193	sea:SeAg_B4047
ko:K00428	sea:SeAg_B4048
ko:K07811	sea:SeAg_B4050
ko:K03532	sea:SeAg_B4051
ko:K02470	sea:SeAg_B4063
ko:K03629	sea:SeAg_B4064
ko:K02338	sea:SeAg_B4065
ko:K02313	sea:SeAg_B4066
ko:K02914	sea:SeAg_B4067
ko:K03536	sea:SeAg_B4068
ko:K03217	sea:SeAg_B4069
ko:K03650	sea:SeAg_B4070
ko:K06901	sea:SeAg_B4075
ko:K02039	sea:SeAg_B4078
ko:K02036	sea:SeAg_B4079
ko:K02038	sea:SeAg_B4080
ko:K00820	sea:SeAg_B4086
ko:K06890	sea:SeAg_B4088
ko:K07285	sea:SeAg_B1312
ko:K03684	sea:SeAg_B1316
ko:K09902	sea:SeAg_B1320
ko:K09160	sea:SeAg_B1322
ko:K03611	sea:SeAg_B1326
ko:K03314	sea:SeAg_B1327
ko:K03603	sea:SeAg_B1328
ko:K00285	sea:SeAg_B1330
ko:K01775	sea:SeAg_B1331
ko:K11105	sea:SeAg_B1332
ko:K01194	sea:SeAg_B1337
ko:K00261	sea:SeAg_B1339
ko:K00426	sea:SeAg_B1341
ko:K00425	sea:SeAg_B1342
ko:K03618	sea:SeAg_B1343
ko:K03619	sea:SeAg_B1344
ko:K03620	sea:SeAg_B1346
ko:K06281	sea:SeAg_B1347
ko:K06282	sea:SeAg_B1348
ko:K06942	sea:SeAg_B1353
ko:K01056	sea:SeAg_B1354
ko:K00948	sea:SeAg_B1357
ko:K08303	sea:SeAg_B2278
ko:K00878	sea:SeAg_B2290
ko:K03593	sea:SeAg_B2299
ko:K05846	sea:SeAg_B2307
ko:K05846	sea:SeAg_B2309
ko:K03777	sea:SeAg_B2312
ko:K07262	sea:SeAg_B2313
ko:K05541	sea:SeAg_B2320
ko:K00450	sea:SeAg_B2324
ko:K01489	sea:SeAg_B2329
ko:K02526	sea:SeAg_B0193
ko:K01611	sea:SeAg_B0197
ko:K00797	sea:SeAg_B0198
ko:K00760	sea:SeAg_B0202
ko:K01579	sea:SeAg_B0214
ko:K01918	sea:SeAg_B0215
ko:K00606	sea:SeAg_B0216
ko:K00950	sea:SeAg_B0217
ko:K06204	sea:SeAg_B0220
ko:K06206	sea:SeAg_B0221
ko:K01975	sea:SeAg_B0222
