ko:K01006	lmoa:LMOATCC19117_1885
ko:K00054	lmoa:LMOATCC19117_0845
ko:K06147	lmoa:LMOATCC19117_0855
ko:K07784	lmoa:LMOATCC19117_0856
ko:K03491	lmoa:LMOATCC19117_0940
ko:K00867	lmoa:LMOATCC19117_0945
ko:K01104	lmoa:LMOATCC19117_0960
ko:K02564	lmoa:LMOATCC19117_0978
ko:K07816	lmoa:LMOATCC19117_0988
ko:K13921	lmoa:LMOATCC19117_1166
ko:K04720	lmoa:LMOATCC19117_1169
ko:K00567	lmoa:LMOATCC19117_1018
ko:K03697	lmoa:LMOATCC19117_1019
ko:K07052	lmoa:LMOATCC19117_1020
ko:K11189	lmoa:LMOATCC19117_1024
ko:K08483	lmoa:LMOATCC19117_1025
ko:K08969	lmoa:LMOATCC19117_0304
ko:K07668	lmoa:LMOATCC19117_0305
ko:K07652	lmoa:LMOATCC19117_0306
ko:K03491	lmoa:LMOATCC19117_0315
ko:K05937	lmoa:LMOATCC19117_0405
ko:K01222	lmoa:LMOATCC19117_0552
ko:K01222	lmoa:LMOATCC19117_0566
ko:K01635	lmoa:LMOATCC19117_0569
ko:K02782	lmoa:LMOATCC19117_0573
ko:K02783	lmoa:LMOATCC19117_0573
ko:K02783	lmoa:LMOATCC19117_0574
ko:K07404	lmoa:LMOATCC19117_0588
ko:K07025	lmoa:LMOATCC19117_0666
ko:K00158	lmoa:LMOATCC19117_0758
ko:K03406	lmoa:LMOATCC19117_0759
ko:K01426	lmoa:LMOATCC19117_0867
ko:K02025	lmoa:LMOATCC19117_0878
ko:K01226	lmoa:LMOATCC19117_0880
ko:K09167	lmoa:LMOATCC19117_0901
ko:K08981	lmoa:LMOATCC19117_0902
ko:K03399	lmoa:LMOATCC19117_1195
ko:K00929	lmoa:LMOATCC19117_1377
ko:K00033	lmoa:LMOATCC19117_1384
ko:K01823	lmoa:LMOATCC19117_1391
ko:K02056	lmoa:LMOATCC19117_1398
ko:K00059	lmoa:LMOATCC19117_1403
ko:K02443	lmoa:LMOATCC19117_1414
ko:K00626	lmoa:LMOATCC19117_1423
ko:K01641	lmoa:LMOATCC19117_1424
ko:K07584	lmoa:LMOATCC19117_1550
ko:K02238	lmoa:LMOATCC19117_1491
ko:K06902	lmoa:LMOATCC19117_1426
ko:K05845	lmoa:LMOATCC19117_1431
ko:K05846	lmoa:LMOATCC19117_1431
ko:K00383	lmoa:LMOATCC19117_1442
ko:K07533	lmoa:LMOATCC19117_1453
ko:K02076	lmoa:LMOATCC19117_1454
ko:K15986	lmoa:LMOATCC19117_1457
ko:K01489	lmoa:LMOATCC19117_1472
ko:K00016	lmoa:LMOATCC19117_1543
ko:K04518	lmoa:LMOATCC19117_1545
ko:K06948	lmoa:LMOATCC19117_1500
ko:K01243	lmoa:LMOATCC19117_1503
ko:K02004	lmoa:LMOATCC19117_1515
ko:K02190	lmoa:LMOATCC19117_1201
ko:K02009	lmoa:LMOATCC19117_1204
ko:K02004	lmoa:LMOATCC19117_1223
ko:K06994	lmoa:LMOATCC19117_1225
ko:K03471	lmoa:LMOATCC19117_1227
ko:K02428	lmoa:LMOATCC19117_1239
ko:K04750	lmoa:LMOATCC19117_1249
ko:K03486	lmoa:LMOATCC19117_1262
ko:K01226	lmoa:LMOATCC19117_1263
ko:K03713	lmoa:LMOATCC19117_1306
ko:K01958	lmoa:LMOATCC19117_1090
ko:K09693	lmoa:LMOATCC19117_1094
ko:K10254	lmoa:LMOATCC19117_0508
ko:K03635	lmoa:LMOATCC19117_1066
ko:K01092	lmoa:LMOATCC19117_1084
ko:K01507	lmoa:LMOATCC19117_0365
ko:K00616	lmoa:LMOATCC19117_0368
ko:K00841	lmoa:LMOATCC19117_1028
ko:K05822	lmoa:LMOATCC19117_1033
ko:K06201	lmoa:LMOATCC19117_1040
ko:K11617	lmoa:LMOATCC19117_1043
ko:K11618	lmoa:LMOATCC19117_1044
ko:K03499	lmoa:LMOATCC19117_1045
ko:K02755	lmoa:LMOATCC19117_1057
ko:K02756	lmoa:LMOATCC19117_1057
ko:K02757	lmoa:LMOATCC19117_1057
ko:K02017	lmoa:LMOATCC19117_1061
ko:K02004	lmoa:LMOATCC19117_0423
ko:K15524	lmoa:LMOATCC19117_0429
ko:K01759	lmoa:LMOATCC19117_0434
ko:K07729	lmoa:LMOATCC19117_0444
ko:K01523	lmoa:LMOATCC19117_0591
ko:K01496	lmoa:LMOATCC19117_0592
ko:K03492	lmoa:LMOATCC19117_0605
ko:K03294	lmoa:LMOATCC19117_0677
ko:K07104	lmoa:LMOATCC19117_0678
ko:K07098	lmoa:LMOATCC19117_0787
ko:K07315	lmoa:LMOATCC19117_0911
ko:K03090	lmoa:LMOATCC19117_0915
ko:K05518	lmoa:LMOATCC19117_0916
ko:K03095	lmoa:LMOATCC19117_0919
ko:K01916	lmoa:LMOATCC19117_1109
ko:K06889	lmoa:LMOATCC19117_1125
ko:K09976	lmoa:LMOATCC19117_1314
ko:K09764	lmoa:LMOATCC19117_1333
ko:K03177	lmoa:LMOATCC19117_1335
ko:K01934	lmoa:LMOATCC19117_1343
ko:K02248	lmoa:LMOATCC19117_1349
ko:K02246	lmoa:LMOATCC19117_1351
ko:K02245	lmoa:LMOATCC19117_1352
ko:K02244	lmoa:LMOATCC19117_1353
ko:K02243	lmoa:LMOATCC19117_1354
ko:K01262	lmoa:LMOATCC19117_1361
ko:K00845	lmoa:LMOATCC19117_1346
ko:K02249	lmoa:LMOATCC19117_1348
ko:K07457	lmoa:LMOATCC19117_0690
ko:K02795	lmoa:LMOATCC19117_0799
ko:K02793	lmoa:LMOATCC19117_0801
ko:K03976	lmoa:LMOATCC19117_0808
ko:K03316	lmoa:LMOATCC19117_0820
ko:K11072	lmoa:LMOATCC19117_0824
ko:K11071	lmoa:LMOATCC19117_0825
ko:K01439	lmoa:LMOATCC19117_1632
ko:K02236	lmoa:LMOATCC19117_1560
ko:K01719	lmoa:LMOATCC19117_1566
ko:K11144	lmoa:LMOATCC19117_1571
ko:K03346	lmoa:LMOATCC19117_1572
ko:K10563	lmoa:LMOATCC19117_1575
ko:K06286	lmoa:LMOATCC19117_1605
ko:K07094	lmoa:LMOATCC19117_1775
ko:K01258	lmoa:LMOATCC19117_1795
ko:K01104	lmoa:LMOATCC19117_1816
ko:K09787	lmoa:LMOATCC19117_1818
ko:K00059	lmoa:LMOATCC19117_1824
ko:K07030	lmoa:LMOATCC19117_1831
ko:K00949	lmoa:LMOATCC19117_1834
ko:K02823	lmoa:LMOATCC19117_1851
ko:K07213	lmoa:LMOATCC19117_1870
ko:K03784	lmoa:LMOATCC19117_1874
ko:K03810	lmoa:LMOATCC19117_1876
ko:K07305	lmoa:LMOATCC19117_1877
ko:K07304	lmoa:LMOATCC19117_1878
ko:K02824	lmoa:LMOATCC19117_1856
ko:K03700	lmoa:LMOATCC19117_1909
ko:K02086	lmoa:LMOATCC19117_1913
ko:K03469	lmoa:LMOATCC19117_1898
ko:K00016	lmoa:LMOATCC19117_1682
ko:K09815	lmoa:LMOATCC19117_1686
ko:K08680	lmoa:LMOATCC19117_1689
ko:K02552	lmoa:LMOATCC19117_1691
ko:K01760	lmoa:LMOATCC19117_1694
ko:K09825	lmoa:LMOATCC19117_1698
ko:K07586	lmoa:LMOATCC19117_1702
ko:K00974	lmoa:LMOATCC19117_1923
ko:K00027	lmoa:LMOATCC19117_1933
ko:K04517	lmoa:LMOATCC19117_1942
ko:K00805	lmoa:LMOATCC19117_1948
ko:K09963	lmoa:LMOATCC19117_1733
ko:K02025	lmoa:LMOATCC19117_1746
ko:K02004	lmoa:LMOATCC19117_1761
ko:K02433	lmoa:LMOATCC19117_1770
ko:K02313	lmoa:LMOATCC19117_0001
ko:K15771	lmoa:LMOATCC19117_0263
ko:K00805	lmoa:LMOATCC19117_1950
ko:K01104	lmoa:LMOATCC19117_1953
ko:K01424	lmoa:LMOATCC19117_1958
ko:K03783	lmoa:LMOATCC19117_1971
ko:K04763	lmoa:LMOATCC19117_1973
ko:K03711	lmoa:LMOATCC19117_1974
ko:K01515	lmoa:LMOATCC19117_1984
ko:K00784	lmoa:LMOATCC19117_1989
ko:K01619	lmoa:LMOATCC19117_2007
ko:K02793	lmoa:LMOATCC19117_2009
ko:K07720	lmoa:LMOATCC19117_2022
ko:K09704	lmoa:LMOATCC19117_2025
ko:K01191	lmoa:LMOATCC19117_2026
ko:K01191	lmoa:LMOATCC19117_2027
ko:K07105	lmoa:LMOATCC19117_2033
ko:K07570	lmoa:LMOATCC19117_2368
ko:K02004	lmoa:LMOATCC19117_2370
ko:K03048	lmoa:LMOATCC19117_2569
ko:K08724	lmoa:LMOATCC19117_2059
ko:K08152	lmoa:LMOATCC19117_2063
ko:K07177	lmoa:LMOATCC19117_2071
ko:K07052	lmoa:LMOATCC19117_2091
ko:K06889	lmoa:LMOATCC19117_2095
ko:K01409	lmoa:LMOATCC19117_2096
ko:K05020	lmoa:LMOATCC19117_2113
ko:K00882	lmoa:LMOATCC19117_2116
ko:K02775	lmoa:LMOATCC19117_2117
ko:K00625	lmoa:LMOATCC19117_2124
ko:K07098	lmoa:LMOATCC19117_2128
ko:K02004	lmoa:LMOATCC19117_2137
ko:K07052	lmoa:LMOATCC19117_2150
ko:K07035	lmoa:LMOATCC19117_2169
ko:K00691	lmoa:LMOATCC19117_2144
ko:K01759	lmoa:LMOATCC19117_2192
ko:K01026	lmoa:LMOATCC19117_2196
ko:K03768	lmoa:LMOATCC19117_2384
ko:K05565	lmoa:LMOATCC19117_2386
ko:K05568	lmoa:LMOATCC19117_2389
ko:K05570	lmoa:LMOATCC19117_2391
ko:K00657	lmoa:LMOATCC19117_2409
ko:K04488	lmoa:LMOATCC19117_2419
ko:K01580	lmoa:LMOATCC19117_2442
ko:K03488	lmoa:LMOATCC19117_2444
ko:K07032	lmoa:LMOATCC19117_2445
ko:K06994	lmoa:LMOATCC19117_2472
ko:K09762	lmoa:LMOATCC19117_2481
ko:K01835	lmoa:LMOATCC19117_2484
ko:K01785	lmoa:LMOATCC19117_2485
ko:K01784	lmoa:LMOATCC19117_2486
ko:K06023	lmoa:LMOATCC19117_2492
ko:K07658	lmoa:LMOATCC19117_2511
ko:K02242	lmoa:LMOATCC19117_2522
ko:K02240	lmoa:LMOATCC19117_2523
ko:K07692	lmoa:LMOATCC19117_2525
ko:K02549	lmoa:LMOATCC19117_2530
ko:K02116	lmoa:LMOATCC19117_2546
ko:K07027	lmoa:LMOATCC19117_2562
ko:K10823	lmoa:LMOATCC19117_2217
ko:K15583	lmoa:LMOATCC19117_2218
ko:K15582	lmoa:LMOATCC19117_2219
ko:K06976	lmoa:LMOATCC19117_2234
ko:K02035	lmoa:LMOATCC19117_2578
ko:K02004	lmoa:LMOATCC19117_2590
ko:K03593	lmoa:LMOATCC19117_2600
ko:K07533	lmoa:LMOATCC19117_2244
ko:K03698	lmoa:LMOATCC19117_2245
ko:K06889	lmoa:LMOATCC19117_2324
ko:K00882	lmoa:LMOATCC19117_2335
ko:K03436	lmoa:LMOATCC19117_2336
ko:K01372	lmoa:LMOATCC19117_2337
ko:K03325	lmoa:LMOATCC19117_2263
ko:K03325	lmoa:LMOATCC19117_2264
ko:K01679	lmoa:LMOATCC19117_2288
ko:K12555	lmoa:LMOATCC19117_2292
ko:K16329	lmoa:LMOATCC19117_2339
ko:K06183	lmoa:LMOATCC19117_2341
ko:K02564	lmoa:LMOATCC19117_2357
ko:K01580	lmoa:LMOATCC19117_2362
ko:K11051	lmoa:LMOATCC19117_1009
ko:K05350	lmoa:LMOATCC19117_0394
ko:K11741	lmoa:LMOATCC19117_0871
ko:K11741	lmoa:LMOATCC19117_0872
ko:K18926	lmoa:LMOATCC19117_0550
ko:K19689	lmoa:LMOATCC19117_1727
ko:K16509	lmoa:LMOATCC19117_2216
ko:K03699	lmoa:LMOATCC19117_2749
ko:K06198	lmoa:LMOATCC19117_2214
ko:K02775	lmoa:LMOATCC19117_2675
ko:K00851	lmoa:LMOATCC19117_2723
ko:K16012	lmoa:LMOATCC19117_2726
ko:K16013	lmoa:LMOATCC19117_2727
ko:K04750	lmoa:LMOATCC19117_2735
ko:K01191	lmoa:LMOATCC19117_2745
ko:K08161	lmoa:LMOATCC19117_2752
ko:K00616	lmoa:LMOATCC19117_2754
ko:K07343	lmoa:LMOATCC19117_2757
ko:K03342	lmoa:LMOATCC19117_2761
ko:K07258	lmoa:LMOATCC19117_2766
ko:K00088	lmoa:LMOATCC19117_2770
ko:K02755	lmoa:LMOATCC19117_2786
ko:K02756	lmoa:LMOATCC19117_2786
ko:K02757	lmoa:LMOATCC19117_2786
ko:K03488	lmoa:LMOATCC19117_2787
ko:K02004	lmoa:LMOATCC19117_2789
ko:K01426	lmoa:LMOATCC19117_2613
ko:K03491	lmoa:LMOATCC19117_2798
ko:K02798	lmoa:LMOATCC19117_2808
ko:K02799	lmoa:LMOATCC19117_2810
ko:K02800	lmoa:LMOATCC19117_2810
ko:K01788	lmoa:LMOATCC19117_2812
ko:K00059	lmoa:LMOATCC19117_2826
ko:K00058	lmoa:LMOATCC19117_2835
ko:K04844	lmoa:LMOATCC19117_2844
ko:K02025	lmoa:LMOATCC19117_2849
ko:K01629	lmoa:LMOATCC19117_2858
ko:K01813	lmoa:LMOATCC19117_2859
ko:K16511	lmoa:LMOATCC19117_2215
ko:K06610	lmoa:LMOATCC19117_2861
ko:K06346	lmoa:LMOATCC19117_2864
ko:K00939	lmoa:LMOATCC19117_2621
ko:K00805	lmoa:LMOATCC19117_2650
ko:K00805	lmoa:LMOATCC19117_2651
ko:K01470	lmoa:LMOATCC19117_2656
ko:K07048	lmoa:LMOATCC19117_2657
ko:K03475	lmoa:LMOATCC19117_2658
ko:K02822	lmoa:LMOATCC19117_2659
ko:K04019	lmoa:LMOATCC19117_1175
ko:K03735	lmoa:LMOATCC19117_1176
ko:K03736	lmoa:LMOATCC19117_1177
ko:K04026	lmoa:LMOATCC19117_1178
ko:K04032	lmoa:LMOATCC19117_1182
ko:K04023	lmoa:LMOATCC19117_1187
ko:K04030	lmoa:LMOATCC19117_1188
ko:K02224	lmoa:LMOATCC19117_1191
ko:K02227	lmoa:LMOATCC19117_1192
ko:K06042	lmoa:LMOATCC19117_1193
ko:K02188	lmoa:LMOATCC19117_1194
ko:K02191	lmoa:LMOATCC19117_1196
ko:K05936	lmoa:LMOATCC19117_1197
ko:K05895	lmoa:LMOATCC19117_1199
ko:K13542	lmoa:LMOATCC19117_1200
ko:K03394	lmoa:LMOATCC19117_1202
ko:K02007	lmoa:LMOATCC19117_1203
ko:K02232	lmoa:LMOATCC19117_1207
ko:K09936	lmoa:LMOATCC19117_1209
ko:K09936	lmoa:LMOATCC19117_1210
ko:K03437	lmoa:LMOATCC19117_1217
ko:K00563	lmoa:LMOATCC19117_1891
ko:K15738	lmoa:LMOATCC19117_1894
ko:K01938	lmoa:LMOATCC19117_1895
ko:K03704	lmoa:LMOATCC19117_1897
ko:K02954	lmoa:LMOATCC19117_1900
ko:K16169	lmoa:LMOATCC19117_1902
ko:K03816	lmoa:LMOATCC19117_1903
ko:K01299	lmoa:LMOATCC19117_1904
ko:K07444	lmoa:LMOATCC19117_1905
ko:K05366	lmoa:LMOATCC19117_1910
ko:K10773	lmoa:LMOATCC19117_1912
ko:K01893	lmoa:LMOATCC19117_1914
ko:K00812	lmoa:LMOATCC19117_1915
ko:K01579	lmoa:LMOATCC19117_1918
ko:K01918	lmoa:LMOATCC19117_1919
ko:K00606	lmoa:LMOATCC19117_1920
ko:K03524	lmoa:LMOATCC19117_1922
ko:K01734	lmoa:LMOATCC19117_1924
ko:K00215	lmoa:LMOATCC19117_1925
ko:K13678	lmoa:LMOATCC19117_2563
ko:K01937	lmoa:LMOATCC19117_2568
ko:K01887	lmoa:LMOATCC19117_2570
ko:K01821	lmoa:LMOATCC19117_2573
ko:K06885	lmoa:LMOATCC19117_2574
ko:K08281	lmoa:LMOATCC19117_2580
ko:K16264	lmoa:LMOATCC19117_2584
ko:K02003	lmoa:LMOATCC19117_2589
ko:K02379	lmoa:LMOATCC19117_2593
ko:K00123	lmoa:LMOATCC19117_2595
ko:K03527	lmoa:LMOATCC19117_1460
ko:K06967	lmoa:LMOATCC19117_1462
ko:K03086	lmoa:LMOATCC19117_1463
ko:K09768	lmoa:LMOATCC19117_1465
ko:K09773	lmoa:LMOATCC19117_1466
ko:K01879	lmoa:LMOATCC19117_1467
ko:K01878	lmoa:LMOATCC19117_1468
ko:K03584	lmoa:LMOATCC19117_1469
ko:K07042	lmoa:LMOATCC19117_1474
ko:K07037	lmoa:LMOATCC19117_1475
ko:K09117	lmoa:LMOATCC19117_1477
ko:K02970	lmoa:LMOATCC19117_1478
ko:K09761	lmoa:LMOATCC19117_1479
ko:K02687	lmoa:LMOATCC19117_1480
ko:K03686	lmoa:LMOATCC19117_1481
ko:K04043	lmoa:LMOATCC19117_1482
ko:K03687	lmoa:LMOATCC19117_1483
ko:K03705	lmoa:LMOATCC19117_1484
ko:K03596	lmoa:LMOATCC19117_1488
ko:K02968	lmoa:LMOATCC19117_1489
ko:K02340	lmoa:LMOATCC19117_1490
ko:K02237	lmoa:LMOATCC19117_1493
ko:K09710	lmoa:LMOATCC19117_1495
ko:K00969	lmoa:LMOATCC19117_1497
ko:K07574	lmoa:LMOATCC19117_1498
ko:K00014	lmoa:LMOATCC19117_1499
ko:K07015	lmoa:LMOATCC19117_1501
ko:K03710	lmoa:LMOATCC19117_2168
ko:K03671	lmoa:LMOATCC19117_2176
ko:K08177	lmoa:LMOATCC19117_2195
ko:K00831	lmoa:LMOATCC19117_2836
ko:K07078	lmoa:LMOATCC19117_2840
ko:K00865	lmoa:LMOATCC19117_2843
ko:K03534	lmoa:LMOATCC19117_2857
ko:K00848	lmoa:LMOATCC19117_2860
ko:K03217	lmoa:LMOATCC19117_2865
ko:K03536	lmoa:LMOATCC19117_2866
ko:K02914	lmoa:LMOATCC19117_2867
ko:K15975	lmoa:LMOATCC19117_0783
ko:K06999	lmoa:LMOATCC19117_0784
ko:K03665	lmoa:LMOATCC19117_0786
ko:K03624	lmoa:LMOATCC19117_1505
ko:K00876	lmoa:LMOATCC19117_1506
ko:K07082	lmoa:LMOATCC19117_1508
ko:K07447	lmoa:LMOATCC19117_1511
ko:K01872	lmoa:LMOATCC19117_1513
ko:K02003	lmoa:LMOATCC19117_1514
ko:K03581	lmoa:LMOATCC19117_1518
ko:K00566	lmoa:LMOATCC19117_1521
ko:K04487	lmoa:LMOATCC19117_1522
ko:K07478	lmoa:LMOATCC19117_1523
ko:K03320	lmoa:LMOATCC19117_1525
ko:K04751	lmoa:LMOATCC19117_1526
ko:K01876	lmoa:LMOATCC19117_1528
ko:K01892	lmoa:LMOATCC19117_1529
ko:K01448	lmoa:LMOATCC19117_1530
ko:K07560	lmoa:LMOATCC19117_1531
ko:K00759	lmoa:LMOATCC19117_1533
ko:K07462	lmoa:LMOATCC19117_1534
ko:K12257	lmoa:LMOATCC19117_1536
ko:K03210	lmoa:LMOATCC19117_1538
ko:K00773	lmoa:LMOATCC19117_1539
ko:K07568	lmoa:LMOATCC19117_1540
ko:K03551	lmoa:LMOATCC19117_1541
ko:K03550	lmoa:LMOATCC19117_1542
ko:K03979	lmoa:LMOATCC19117_1546
ko:K00864	lmoa:LMOATCC19117_1547
ko:K02440	lmoa:LMOATCC19117_1548
ko:K02899	lmoa:LMOATCC19117_1549
ko:K08600	lmoa:LMOATCC19117_2206
ko:K02013	lmoa:LMOATCC19117_2207
ko:K02015	lmoa:LMOATCC19117_2208
ko:K02016	lmoa:LMOATCC19117_2209
ko:K08602	lmoa:LMOATCC19117_2213
ko:K15581	lmoa:LMOATCC19117_2220
ko:K15580	lmoa:LMOATCC19117_2221
ko:K01867	lmoa:LMOATCC19117_2223
ko:K09458	lmoa:LMOATCC19117_2226
ko:K00648	lmoa:LMOATCC19117_2227
ko:K03695	lmoa:LMOATCC19117_2231
ko:K06890	lmoa:LMOATCC19117_2232
ko:K01772	lmoa:LMOATCC19117_2236
ko:K01599	lmoa:LMOATCC19117_2237
ko:K02503	lmoa:LMOATCC19117_2241
ko:K01889	lmoa:LMOATCC19117_1220
ko:K01890	lmoa:LMOATCC19117_1221
ko:K02003	lmoa:LMOATCC19117_1222
ko:K03648	lmoa:LMOATCC19117_1226
ko:K09888	lmoa:LMOATCC19117_1228
ko:K02347	lmoa:LMOATCC19117_1230
ko:K07456	lmoa:LMOATCC19117_1231
ko:K03671	lmoa:LMOATCC19117_1232
ko:K03703	lmoa:LMOATCC19117_1233
ko:K00928	lmoa:LMOATCC19117_1234
ko:K01776	lmoa:LMOATCC19117_1237
ko:K00989	lmoa:LMOATCC19117_1238
ko:K07095	lmoa:LMOATCC19117_1240
ko:K02818	lmoa:LMOATCC19117_1264
ko:K02819	lmoa:LMOATCC19117_1264
ko:K00147	lmoa:LMOATCC19117_1268
ko:K00656	lmoa:LMOATCC19117_1935
ko:K07007	lmoa:LMOATCC19117_1936
ko:K06973	lmoa:LMOATCC19117_1937
ko:K00800	lmoa:LMOATCC19117_1941
ko:K00817	lmoa:LMOATCC19117_1943
ko:K06208	lmoa:LMOATCC19117_1944
ko:K01735	lmoa:LMOATCC19117_1945
ko:K01736	lmoa:LMOATCC19117_1946
ko:K00940	lmoa:LMOATCC19117_1947
ko:K03183	lmoa:LMOATCC19117_1949
ko:K01495	lmoa:LMOATCC19117_1951
ko:K03530	lmoa:LMOATCC19117_1952
ko:K00057	lmoa:LMOATCC19117_1954
ko:K03977	lmoa:LMOATCC19117_1955
ko:K02945	lmoa:LMOATCC19117_1956
ko:K00945	lmoa:LMOATCC19117_1957
ko:K03654	lmoa:LMOATCC19117_1960
ko:K07651	lmoa:LMOATCC19117_1965
ko:K07775	lmoa:LMOATCC19117_1966
ko:K06178	lmoa:LMOATCC19117_1967
ko:K06024	lmoa:LMOATCC19117_1968
ko:K05896	lmoa:LMOATCC19117_1969
ko:K01586	lmoa:LMOATCC19117_1970
ko:K01839	lmoa:LMOATCC19117_1972
ko:K02015	lmoa:LMOATCC19117_1975
ko:K02015	lmoa:LMOATCC19117_1976
ko:K02016	lmoa:LMOATCC19117_1977
ko:K02013	lmoa:LMOATCC19117_1978
ko:K02996	lmoa:LMOATCC19117_2606
ko:K02871	lmoa:LMOATCC19117_2607
ko:K06173	lmoa:LMOATCC19117_2608
ko:K07507	lmoa:LMOATCC19117_2612
ko:K02879	lmoa:LMOATCC19117_2615
ko:K03040	lmoa:LMOATCC19117_2616
ko:K02948	lmoa:LMOATCC19117_2617
ko:K02952	lmoa:LMOATCC19117_2618
ko:K02919	lmoa:LMOATCC19117_2619
ko:K02518	lmoa:LMOATCC19117_2620
ko:K03076	lmoa:LMOATCC19117_2622
ko:K02876	lmoa:LMOATCC19117_2623
ko:K02907	lmoa:LMOATCC19117_2624
ko:K02988	lmoa:LMOATCC19117_2625
ko:K02881	lmoa:LMOATCC19117_2626
ko:K02933	lmoa:LMOATCC19117_2627
ko:K02994	lmoa:LMOATCC19117_2628
ko:K02954	lmoa:LMOATCC19117_2629
ko:K02931	lmoa:LMOATCC19117_2630
ko:K02895	lmoa:LMOATCC19117_2631
ko:K02874	lmoa:LMOATCC19117_2632
ko:K02961	lmoa:LMOATCC19117_2633
ko:K02904	lmoa:LMOATCC19117_2634
ko:K02878	lmoa:LMOATCC19117_2635
ko:K02982	lmoa:LMOATCC19117_2636
ko:K02890	lmoa:LMOATCC19117_2637
ko:K02965	lmoa:LMOATCC19117_2638
ko:K02886	lmoa:LMOATCC19117_2639
ko:K02892	lmoa:LMOATCC19117_2640
ko:K02926	lmoa:LMOATCC19117_2641
ko:K02906	lmoa:LMOATCC19117_2642
ko:K02946	lmoa:LMOATCC19117_2643
ko:K03734	lmoa:LMOATCC19117_2646
ko:K03885	lmoa:LMOATCC19117_2648
ko:K03800	lmoa:LMOATCC19117_0788
ko:K01118	lmoa:LMOATCC19117_0803
ko:K11737	lmoa:LMOATCC19117_0804
ko:K07150	lmoa:LMOATCC19117_0811
ko:K07118	lmoa:LMOATCC19117_0812
ko:K05786	lmoa:LMOATCC19117_0813
ko:K11733	lmoa:LMOATCC19117_0816
ko:K00847	lmoa:LMOATCC19117_0830
ko:K02888	lmoa:LMOATCC19117_1551
ko:K08301	lmoa:LMOATCC19117_1552
ko:K03609	lmoa:LMOATCC19117_1553
ko:K03610	lmoa:LMOATCC19117_1554
ko:K03571	lmoa:LMOATCC19117_1555
ko:K03570	lmoa:LMOATCC19117_1556
ko:K03569	lmoa:LMOATCC19117_1557
ko:K03630	lmoa:LMOATCC19117_1559
ko:K11754	lmoa:LMOATCC19117_1562
ko:K01873	lmoa:LMOATCC19117_1563
ko:K01845	lmoa:LMOATCC19117_1564
ko:K01698	lmoa:LMOATCC19117_1565
ko:K01749	lmoa:LMOATCC19117_1567
ko:K02492	lmoa:LMOATCC19117_1568
ko:K03978	lmoa:LMOATCC19117_1569
ko:K01868	lmoa:LMOATCC19117_1570
ko:K07738	lmoa:LMOATCC19117_1573
ko:K00859	lmoa:LMOATCC19117_1574
ko:K00031	lmoa:LMOATCC19117_1577
ko:K01647	lmoa:LMOATCC19117_1578
ko:K07113	lmoa:LMOATCC19117_1580
