ko:K02495	ese:ECSF_3720
ko:K00374	ese:ECSF_1205
ko:K06183	ese:ECSF_2065
ko:K02200	ese:ECSF_2075
ko:K02193	ese:ECSF_2082
ko:K02569	ese:ECSF_2083
ko:K02574	ese:ECSF_2085
ko:K00626	ese:ECSF_2106
ko:K00568	ese:ECSF_2113
ko:K01630	ese:ECSF_2962
ko:K01708	ese:ECSF_2964
ko:K02745	ese:ECSF_2969
ko:K02744	ese:ECSF_2972
ko:K12961	ese:ECSF_2983
ko:K03177	ese:ECSF_3000
ko:K02427	ese:ECSF_3011
ko:K03148	ese:ECSF_3846
ko:K07709	ese:ECSF_3857
ko:K13641	ese:ECSF_3867
ko:K00548	ese:ECSF_3868
ko:K00068	ese:ECSF_3877
ko:K00853	ese:ECSF_0068
ko:K02099	ese:ECSF_0070
ko:K05806	ese:ECSF_0085
ko:K03574	ese:ECSF_0109
ko:K06179	ese:ECSF_0985
ko:K00059	ese:ECSF_0992
ko:K02619	ese:ECSF_0995
ko:K02778	ese:ECSF_1000
ko:K02779	ese:ECSF_1000
ko:K11069	ese:ECSF_1023
ko:K11071	ese:ECSF_1025
ko:K11072	ese:ECSF_1026
ko:K01258	ese:ECSF_1027
ko:K07660	ese:ECSF_1030
ko:K07258	ese:ECSF_1901
ko:K00033	ese:ECSF_1919
ko:K01854	ese:ECSF_1925
ko:K03606	ese:ECSF_1936
ko:K02454	ese:ECSF_2792
ko:K00666	ese:ECSF_2806
ko:K00652	ese:ECSF_2809
ko:K11209	ese:ECSF_2820
ko:K06281	ese:ECSF_2825
ko:K06282	ese:ECSF_2828
ko:K01760	ese:ECSF_2837
ko:K06221	ese:ECSF_2841
ko:K07793	ese:ECSF_3684
ko:K03498	ese:ECSF_3706
ko:K00230	ese:ECSF_3707
ko:K12944	ese:ECSF_2131
ko:K05712	ese:ECSF_0318
ko:K05713	ese:ECSF_0319
ko:K04073	ese:ECSF_0322
ko:K00121	ese:ECSF_0327
ko:K10831	ese:ECSF_0330
ko:K01077	ese:ECSF_0344
ko:K00508	ese:ECSF_1212
ko:K15582	ese:ECSF_1226
ko:K15583	ese:ECSF_1227
ko:K10823	ese:ECSF_1228
ko:K04774	ese:ECSF_1252
ko:K08992	ese:ECSF_1261
ko:K08225	ese:ECSF_0532
ko:K03386	ese:ECSF_0547
ko:K05966	ese:ECSF_0553
ko:K03326	ese:ECSF_0561
ko:K07258	ese:ECSF_0571
ko:K07126	ese:ECSF_0585
ko:K00657	ese:ECSF_1443
ko:K07312	ese:ECSF_1450
ko:K01679	ese:ECSF_1472
ko:K00076	ese:ECSF_1480
ko:K01488	ese:ECSF_1484
ko:K03617	ese:ECSF_1489
ko:K03616	ese:ECSF_1490
ko:K03615	ese:ECSF_1491
ko:K03614	ese:ECSF_1492
ko:K03612	ese:ECSF_1493
ko:K03613	ese:ECSF_1494
ko:K02824	ese:ECSF_2338
ko:K00088	ese:ECSF_2349
ko:K01011	ese:ECSF_2365
ko:K13628	ese:ECSF_2372
ko:K04488	ese:ECSF_2373
ko:K01092	ese:ECSF_2377
ko:K06889	ese:ECSF_2378
ko:K02056	ese:ECSF_2385
ko:K01974	ese:ECSF_3241
ko:K02441	ese:ECSF_3243
ko:K00700	ese:ECSF_3253
ko:K00851	ese:ECSF_3259
ko:K03825	ese:ECSF_3263
ko:K05816	ese:ECSF_3267
ko:K05815	ese:ECSF_3268
ko:K05814	ese:ECSF_3269
ko:K04085	ese:ECSF_3289
ko:K01226	ese:ECSF_4128
ko:K09022	ese:ECSF_4132
ko:K01478	ese:ECSF_4140
ko:K00046	ese:ECSF_4154
ko:K00851	ese:ECSF_4156
ko:K01788	ese:ECSF_4176
ko:K02549	ese:ECSF_2142
ko:K08680	ese:ECSF_2144
ko:K02552	ese:ECSF_2146
ko:K02348	ese:ECSF_2148
ko:K00784	ese:ECSF_2149
ko:K07114	ese:ECSF_2150
ko:K02067	ese:ECSF_3025
ko:K02806	ese:ECSF_3036
ko:K01788	ese:ECSF_3048
ko:K01639	ese:ECSF_3050
ko:K00016	ese:ECSF_3922
ko:K03316	ese:ECSF_3936
ko:K04015	ese:ECSF_3946
ko:K04018	ese:ECSF_3949
ko:K07126	ese:ECSF_3952
ko:K02017	ese:ECSF_0691
ko:K07404	ese:ECSF_0693
ko:K06910	ese:ECSF_0699
ko:K00652	ese:ECSF_0702
ko:K03635	ese:ECSF_0711
ko:K07027	ese:ECSF_0714
ko:K06970	ese:ECSF_0733
ko:K07757	ese:ECSF_0746
ko:K01424	ese:ECSF_1628
ko:K07305	ese:ECSF_1639
ko:K02466	ese:ECSF_2500
ko:K04652	ese:ECSF_2520
ko:K04655	ese:ECSF_2523
ko:K03299	ese:ECSF_2534
ko:K03087	ese:ECSF_2537
ko:K00380	ese:ECSF_2553
ko:K03796	ese:ECSF_3405
ko:K01176	ese:ECSF_3406
ko:K02798	ese:ECSF_3431
ko:K02799	ese:ECSF_3431
ko:K02800	ese:ECSF_3431
ko:K00101	ese:ECSF_3441
ko:K00639	ese:ECSF_3453
ko:K02843	ese:ECSF_3455
ko:K12981	ese:ECSF_3459
ko:K00564	ese:ECSF_4303
ko:K01619	ese:ECSF_4314
ko:K00758	ese:ECSF_4315
ko:K03784	ese:ECSF_4317
ko:K07186	ese:ECSF_4320
ko:K02533	ese:ECSF_4338
ko:K02566	ese:ECSF_0603
ko:K02564	ese:ECSF_0606
ko:K03711	ese:ECSF_0621
ko:K01835	ese:ECSF_0626
ko:K03756	ese:ECSF_0627
ko:K00799	ese:ECSF_1498
ko:K01759	ese:ECSF_1514
ko:K06078	ese:ECSF_1537
ko:K03803	ese:ECSF_2409
ko:K15460	ese:ECSF_2414
ko:K05812	ese:ECSF_2422
ko:K02775	ese:ECSF_3304
ko:K11189	ese:ECSF_3306
ko:K06149	ese:ECSF_3315
ko:K00383	ese:ECSF_3320
ko:K07227	ese:ECSF_3331
ko:K01580	ese:ECSF_3345
ko:K02821	ese:ECSF_4179
ko:K02822	ese:ECSF_4180
ko:K03475	ese:ECSF_4181
ko:K00852	ese:ECSF_4185
ko:K03299	ese:ECSF_4228
ko:K14587	ese:ECSF_4233
ko:K06971	ese:ECSF_4235
ko:K02775	ese:ECSF_4236
ko:K00970	ese:ECSF_0156
ko:K02014	ese:ECSF_0167
ko:K06858	ese:ECSF_0175
ko:K01243	ese:ECSF_0176
ko:K00674	ese:ECSF_0181
ko:K16076	ese:ECSF_1063
ko:K01104	ese:ECSF_1950
ko:K02436	ese:ECSF_1972
ko:K00094	ese:ECSF_1973
ko:K02775	ese:ECSF_1974
ko:K03593	ese:ECSF_1995
ko:K02035	ese:ECSF_2856
ko:K07666	ese:ECSF_2859
ko:K06887	ese:ECSF_2863
ko:K02014	ese:ECSF_2871
ko:K01515	ese:ECSF_2876
ko:K02858	ese:ECSF_2890
ko:K09806	ese:ECSF_2891
ko:K00974	ese:ECSF_2900
ko:K00127	ese:ECSF_3749
ko:K00124	ese:ECSF_3750
ko:K01629	ese:ECSF_3763
ko:K01813	ese:ECSF_3764
ko:K02855	ese:ECSF_3766
ko:K07640	ese:ECSF_3772
ko:K13283	ese:ECSF_3775
ko:K02446	ese:ECSF_3785
ko:K07657	ese:ECSF_0359
ko:K03972	ese:ECSF_1289
ko:K02025	ese:ECSF_1292
ko:K04844	ese:ECSF_1297
ko:K06889	ese:ECSF_1309
ko:K00567	ese:ECSF_1316
ko:K00647	ese:ECSF_2200
ko:K01782	ese:ECSF_2217
ko:K10440	ese:ECSF_3083
ko:K10439	ese:ECSF_3085
ko:K03747	ese:ECSF_3109
ko:K03499	ese:ECSF_3114
ko:K02033	ese:ECSF_3956
ko:K02035	ese:ECSF_3957
ko:K04750	ese:ECSF_3987
ko:K07792	ese:ECSF_4002
ko:K07258	ese:ECSF_0764
ko:K05844	ese:ECSF_0777
ko:K09998	ese:ECSF_0786
ko:K10000	ese:ECSF_0789
ko:K02793	ese:ECSF_1673
ko:K02794	ese:ECSF_1673
ko:K02795	ese:ECSF_1674
ko:K11392	ese:ECSF_1692
ko:K09815	ese:ECSF_1715
ko:K04765	ese:ECSF_2574
ko:K03535	ese:ECSF_2580
ko:K02849	ese:ECSF_3467
ko:K10563	ese:ECSF_3471
ko:K07784	ese:ECSF_3513
ko:K02004	ese:ECSF_P1-0072
ko:K02004	ese:ECSF_P1-0073
ko:K14225	ese:ECSF_tRNA44
ko:K14225	ese:ECSF_tRNA45
ko:K14225	ese:ECSF_tRNA46
ko:K14225	ese:ECSF_tRNA70
ko:K04067	ese:ECSF_0427
ko:K14232	ese:ECSF_tRNA18
ko:K00939	ese:ECSF_0434
ko:K03455	ese:ECSF_0438
ko:K11751	ese:ECSF_0440
ko:K02004	ese:ECSF_0460
ko:K14061	ese:ECSF_1328
ko:K14062	ese:ECSF_1329
ko:K02055	ese:ECSF_1364
ko:K02052	ese:ECSF_1365
ko:K02014	ese:ECSF_1374
ko:K13636	ese:ECSF_2234
ko:K01577	ese:ECSF_2243
ko:K00845	ese:ECSF_2258
ko:K01885	ese:ECSF_2266
ko:K02784	ese:ECSF_2279
ko:K08483	ese:ECSF_2280
ko:K02450	ese:ECSF_3148
ko:K02454	ese:ECSF_3151
ko:K03757	ese:ECSF_4021
ko:K00247	ese:ECSF_4041
ko:K00245	ese:ECSF_4043
ko:K00244	ese:ECSF_4044
ko:K16012	ese:ECSF_0810
ko:K16013	ese:ECSF_0811
ko:K07307	ese:ECSF_0819
ko:K07308	ese:ECSF_0820
ko:K06212	ese:ECSF_0825
ko:K02238	ese:ECSF_0834
ko:K11085	ese:ECSF_0835
ko:K09476	ese:ECSF_0850
ko:K06201	ese:ECSF_1734
ko:K00575	ese:ECSF_1743
ko:K01176	ese:ECSF_1780
ko:K00058	ese:ECSF_2627
ko:K03488	ese:ECSF_2631
ko:K02100	ese:ECSF_2656
ko:K00065	ese:ECSF_2657
ko:K00626	ese:ECSF_2659
ko:K12943	ese:ECSF_2661
ko:K13479	ese:ECSF_2663
ko:K00389	ese:ECSF_3524
ko:K03307	ese:ECSF_3526
ko:K07214	ese:ECSF_3567
ko:K02755	ese:ECSF_3570
ko:K02756	ese:ECSF_3570
ko:K02757	ese:ECSF_3570
ko:K03488	ese:ECSF_3571
ko:K04784	ese:ECSF_1830
ko:K08234	ese:ECSF_0202
ko:K03469	ese:ECSF_0224
ko:K02342	ese:ECSF_0225
ko:K06445	ese:ECSF_0228
ko:K07491	ese:ECSF_0233
ko:K11607	ese:ECSF_1099
ko:K11604	ese:ECSF_1100
ko:K11105	ese:ECSF_1136
ko:K01297	ese:ECSF_1137
ko:K02014	ese:ECSF_1141
ko:K01489	ese:ECSF_2025
ko:K03748	ese:ECSF_2026
ko:K10541	ese:ECSF_2030
ko:K10540	ese:ECSF_2032
ko:K16328	ese:ECSF_2042
ko:K16329	ese:ECSF_2046
ko:K16328	ese:ECSF_2047
ko:K00882	ese:ECSF_2049
ko:K01466	ese:ECSF_0474
ko:K02381	ese:ECSF_0480
ko:K03768	ese:ECSF_0488
ko:K14761	ese:ECSF_0491
ko:K07665	ese:ECSF_0501
ko:K07214	ese:ECSF_0525
ko:K08350	ese:ECSF_1390
ko:K13953	ese:ECSF_1393
ko:K00027	ese:ECSF_1394
ko:K04063	ese:ECSF_1397
ko:K01580	ese:ECSF_1402
ko:K07263	ese:ECSF_1403
ko:K07346	ese:ECSF_1413
ko:K00598	ese:ECSF_1417
ko:K05595	ese:ECSF_1426
ko:K00616	ese:ECSF_2316
ko:K01439	ese:ECSF_2324
ko:K07054	ese:ECSF_2328
ko:K03548	ese:ECSF_2334
ko:K07019	ese:ECSF_3180
ko:K09898	ese:ECSF_3181
ko:K10914	ese:ECSF_3184
ko:K07048	ese:ECSF_3200
ko:K06889	ese:ECSF_4076
ko:K03476	ese:ECSF_4078
ko:K03475	ese:ECSF_4079
ko:K02822	ese:ECSF_4080
ko:K02821	ese:ECSF_4081
ko:K03079	ese:ECSF_4083
ko:K01119	ese:ECSF_4107
ko:K01082	ese:ECSF_4108
ko:K07304	ese:ECSF_4112
ko:K01507	ese:ECSF_4116
ko:K02056	ese:ECSF_4118
ko:K14221	ese:ECSF_tRNA03
ko:K14221	ese:ECSF_tRNA04
ko:K14221	ese:ECSF_tRNA30
ko:K14223	ese:ECSF_tRNA80
ko:K14223	ese:ECSF_tRNA81
ko:K08278	ese:ECSF_0001
ko:K03286	ese:ECSF_0871
ko:K07343	ese:ECSF_0873
ko:K09909	ese:ECSF_0878
ko:K11179	ese:ECSF_0883
ko:K06282	ese:ECSF_0886
ko:K06281	ese:ECSF_0887
ko:K07772	ese:ECSF_0902
ko:K09020	ese:ECSF_0917
ko:K07491	ese:ECSF_1785
ko:K06910	ese:ECSF_1787
ko:K02414	ese:ECSF_1795
ko:K06147	ese:ECSF_1827
ko:K06147	ese:ECSF_1828
ko:K01823	ese:ECSF_2684
ko:K04763	ese:ECSF_2689
ko:K01262	ese:ECSF_2702
ko:K01934	ese:ECSF_2705
ko:K00058	ese:ECSF_2706
ko:K03442	ese:ECSF_2716
ko:K06934	ese:ECSF_2720
ko:K16786	ese:ECSF_2723
ko:K16787	ese:ECSF_2724
ko:K02173	ese:ECSF_2725
ko:K02116	ese:ECSF_3587
ko:K03718	ese:ECSF_3591
ko:K10440	ese:ECSF_3598
ko:K00852	ese:ECSF_3600
ko:K03769	ese:ECSF_3616
ko:K02851	ese:ECSF_3624
ko:K01409	ese:ECSF_2908
ko:K03649	ese:ECSF_2912
ko:K03776	ese:ECSF_2915
ko:K09251	ese:ECSF_2916
ko:K00219	ese:ECSF_2924
ko:K07393	ese:ECSF_2945
ko:K00932	ese:ECSF_2955
ko:K05499	ese:ECSF_3794
ko:K08314	ese:ECSF_3808
ko:K00867	ese:ECSF_3833
ko:K00370	ese:ECSF_1384
ko:K03767	ese:ECSF_3190
ko:K01139	ese:ECSF_3486
ko:K07274	ese:ECSF_1643
ko:K19230	ese:ECSF_1278
ko:K06867	ese:ECSF_0296
ko:K02464	ese:ECSF_3160
ko:K05714	ese:ECSF_0320
ko:K08279	ese:ECSF_0040
ko:K00087	ese:ECSF_2662
ko:K11745	ese:ECSF_0052
ko:K11748	ese:ECSF_3178
ko:K04753	ese:ECSF_2852
ko:K02485	ese:ECSF_1216
ko:K13053	ese:ECSF_0872
ko:K04771	ese:ECSF_0178
ko:K10014	ese:ECSF_2185
ko:K04772	ese:ECSF_3058
ko:K01096	ese:ECSF_1260
ko:K04065	ese:ECSF_4308
ko:K03605	ese:ECSF_0889
ko:K03973	ese:ECSF_1287
ko:K07273	ese:ECSF_1984
ko:K08172	ese:ECSF_1840
ko:K01160	ese:ECSF_1061
ko:K03445	ese:ECSF_3507
ko:K01035	ese:ECSF_2104
ko:K04028	ese:ECSF_2308
ko:K03077	ese:ECSF_4084
ko:K07662	ese:ECSF_3773
ko:K07645	ese:ECSF_2860
ko:K00557	ese:ECSF_3828
ko:K15773	ese:ECSF_1416
ko:K01190	ese:ECSF_0315
ko:K03719	ese:ECSF_0813
ko:K07713	ese:ECSF_3858
ko:K08351	ese:ECSF_3386
ko:K03668	ese:ECSF_1332
ko:K05875	ese:ECSF_1744
ko:K08194	ese:ECSF_3535
ko:K00879	ese:ECSF_2594
ko:K13381	ese:ECSF_3163
ko:K11645	ese:ECSF_1979
ko:K02935	ese:ECSF_3840
ko:K03043	ese:ECSF_3841
ko:K03046	ese:ECSF_3842
ko:K00865	ese:ECSF_0476
ko:K14977	ese:ECSF_0477
ko:K02083	ese:ECSF_0478
ko:K00926	ese:ECSF_0483
ko:K01589	ese:ECSF_0484
ko:K01588	ese:ECSF_0485
ko:K03269	ese:ECSF_0487
ko:K01883	ese:ECSF_0489
ko:K07038	ese:ECSF_0490
ko:K01491	ese:ECSF_0492
ko:K11739	ese:ECSF_0498
ko:K11740	ese:ECSF_0499
ko:K07644	ese:ECSF_0500
ko:K07798	ese:ECSF_0504
ko:K07787	ese:ECSF_0505
ko:K11732	ese:ECSF_0506
ko:K16053	ese:ECSF_0507
ko:K10679	ese:ECSF_0508
ko:K06048	ese:ECSF_0511
ko:K00864	ese:ECSF_0519
ko:K00615	ese:ECSF_0521
ko:K00615	ese:ECSF_0522
ko:K02362	ese:ECSF_0523
ko:K02364	ese:ECSF_0527
ko:K02013	ese:ECSF_0529
ko:K02575	ese:ECSF_1385
ko:K08349	ese:ECSF_1389
ko:K02972	ese:ECSF_1395
ko:K13243	ese:ECSF_1398
ko:K06871	ese:ECSF_1404
ko:K07347	ese:ECSF_1412
ko:K07345	ese:ECSF_1414
ko:K07154	ese:ECSF_1415
ko:K00041	ese:ECSF_1419
ko:K01425	ese:ECSF_1422
ko:K08324	ese:ECSF_1423
ko:K08159	ese:ECSF_1425
ko:K03712	ese:ECSF_1427
ko:K13632	ese:ECSF_1428
ko:K13630	ese:ECSF_1429
ko:K15268	ese:ECSF_1430
ko:K01284	ese:ECSF_1433
ko:K16066	ese:ECSF_1434
ko:K00868	ese:ECSF_2282
ko:K12339	ese:ECSF_2284
ko:K02045	ese:ECSF_2285
ko:K02047	ese:ECSF_2286
ko:K02046	ese:ECSF_2287
ko:K02048	ese:ECSF_2288
ko:K07106	ese:ECSF_2290
ko:K11191	ese:ECSF_2291
ko:K11192	ese:ECSF_2291
ko:K07223	ese:ECSF_2292
ko:K01448	ese:ECSF_2296
ko:K00228	ese:ECSF_2297
ko:K04033	ese:ECSF_2298
ko:K04025	ese:ECSF_2299
ko:K04026	ese:ECSF_2300
ko:K03736	ese:ECSF_2301
ko:K03735	ese:ECSF_2302
ko:K04019	ese:ECSF_2303
ko:K04023	ese:ECSF_2304
ko:K04022	ese:ECSF_2305
ko:K04024	ese:ECSF_2306
ko:K04021	ese:ECSF_2307
ko:K04027	ese:ECSF_2309
ko:K04020	ese:ECSF_2310
ko:K04032	ese:ECSF_2311
ko:K04030	ese:ECSF_2312
ko:K04029	ese:ECSF_2313
ko:K04031	ese:ECSF_2314
ko:K00029	ese:ECSF_2315
ko:K00615	ese:ECSF_2317
ko:K12945	ese:ECSF_2319
ko:K07674	ese:ECSF_2321
ko:K06999	ese:ECSF_2326
ko:K06957	ese:ECSF_2327
ko:K01923	ese:ECSF_2329
ko:K07287	ese:ECSF_2330
ko:K01714	ese:ECSF_2331
ko:K03567	ese:ECSF_2332
ko:K03564	ese:ECSF_2333
ko:K06158	ese:ECSF_3179
ko:K00855	ese:ECSF_3182
ko:K07397	ese:ECSF_3183
ko:K04095	ese:ECSF_3188
ko:K03831	ese:ECSF_0009
ko:K04043	ese:ECSF_0014
ko:K03686	ese:ECSF_0015
ko:K03313	ese:ECSF_0020
ko:K03717	ese:ECSF_0021
ko:K01811	ese:ECSF_0022
ko:K02968	ese:ECSF_0024
ko:K11753	ese:ECSF_0026
ko:K01870	ese:ECSF_0027
ko:K03101	ese:ECSF_0028
ko:K03774	ese:ECSF_0029
ko:K03527	ese:ECSF_0030
ko:K12700	ese:ECSF_0031
ko:K00215	ese:ECSF_0033
ko:K01956	ese:ECSF_0035
ko:K01955	ese:ECSF_0036
ko:K08277	ese:ECSF_0038
ko:K02182	ese:ECSF_0042
ko:K08298	ese:ECSF_0043
ko:K08297	ese:ECSF_0044
ko:K05245	ese:ECSF_0045
ko:K03521	ese:ECSF_0046
ko:K03522	ese:ECSF_0047
ko:K00313	ese:ECSF_0048
ko:K08368	ese:ECSF_0050
ko:K11746	ese:ECSF_0051
ko:K06195	ese:ECSF_0057
ko:K02528	ese:ECSF_0058
ko:K00097	ese:ECSF_0059
ko:K03771	ese:ECSF_0060
ko:K04744	ese:ECSF_0061
ko:K05801	ese:ECSF_0062
ko:K03580	ese:ECSF_0064
ko:K02336	ese:ECSF_0065
ko:K01804	ese:ECSF_0067
ko:K07243	ese:ECSF_0923
ko:K07224	ese:ECSF_0924
ko:K16301	ese:ECSF_0925
ko:K11937	ese:ECSF_0927
ko:K11936	ese:ECSF_0928
ko:K11931	ese:ECSF_0929
ko:K11935	ese:ECSF_0930
ko:K12972	ese:ECSF_0932
ko:K06214	ese:ECSF_0936
ko:K04338	ese:ECSF_0937
ko:K04337	ese:ECSF_0938
ko:K04335	ese:ECSF_0941
ko:K04334	ese:ECSF_0942
ko:K04336	ese:ECSF_0943
ko:K11941	ese:ECSF_0947
ko:K03670	ese:ECSF_0948
ko:K03669	ese:ECSF_0949
ko:K12147	ese:ECSF_0951
ko:K02517	ese:ECSF_0953
ko:K07146	ese:ECSF_0954
ko:K02846	ese:ECSF_0958
ko:K12148	ese:ECSF_0959
ko:K12149	ese:ECSF_0960
ko:K01465	ese:ECSF_0961
ko:K03675	ese:ECSF_0963
ko:K08162	ese:ECSF_0964
ko:K03790	ese:ECSF_0965
ko:K09915	ese:ECSF_0966
ko:K03980	ese:ECSF_0968
ko:K02399	ese:ECSF_0969
ko:K02398	ese:ECSF_0970
ko:K02386	ese:ECSF_0971
ko:K02387	ese:ECSF_0972
ko:K02388	ese:ECSF_0973
ko:K02389	ese:ECSF_0974
ko:K02390	ese:ECSF_0975
ko:K02391	ese:ECSF_0976
ko:K02392	ese:ECSF_0977
ko:K13735	ese:ECSF_1837
ko:K01241	ese:ECSF_1841
ko:K13635	ese:ECSF_1846
ko:K00768	ese:ECSF_1849
ko:K02233	ese:ECSF_1850
ko:K02231	ese:ECSF_1851
ko:K16087	ese:ECSF_1853
ko:K09936	ese:ECSF_1862
ko:K02013	ese:ECSF_1878
ko:K02015	ese:ECSF_1879
ko:K02016	ese:ECSF_1880
ko:K07001	ese:ECSF_1885
ko:K00615	ese:ECSF_2733
ko:K07387	ese:ECSF_2734
ko:K00789	ese:ECSF_2740
ko:K08137	ese:ECSF_2742
ko:K02742	ese:ECSF_2743
ko:K01150	ese:ECSF_2744
ko:K09761	ese:ECSF_2745
ko:K01920	ese:ECSF_2746
ko:K07735	ese:ECSF_2747
ko:K07447	ese:ECSF_2748
ko:K02669	ese:ECSF_2749
ko:K06997	ese:ECSF_2750
ko:K02221	ese:ECSF_2751
ko:K09131	ese:ECSF_2752
ko:K09923	ese:ECSF_2761
ko:K03439	ese:ECSF_2762
ko:K03575	ese:ECSF_2763
ko:K08306	ese:ECSF_2765
ko:K01581	ese:ECSF_2767
ko:K07150	ese:ECSF_2769
ko:K06041	ese:ECSF_2771
ko:K10107	ese:ECSF_2772
ko:K00979	ese:ECSF_2774
ko:K07266	ese:ECSF_2775
ko:K07265	ese:ECSF_2776
ko:K09689	ese:ECSF_2782
ko:K09688	ese:ECSF_2783
ko:K02462	ese:ECSF_2784
ko:K02461	ese:ECSF_2785
ko:K02460	ese:ECSF_2786
ko:K02472	ese:ECSF_3627
ko:K00973	ese:ECSF_3629
ko:K16704	ese:ECSF_3630
ko:K02805	ese:ECSF_3631
ko:K16693	ese:ECSF_3632
ko:K12582	ese:ECSF_3633
ko:K02853	ese:ECSF_3634
ko:K06871	ese:ECSF_3637
ko:K02498	ese:ECSF_3640
ko:K02496	ese:ECSF_3641
ko:K01749	ese:ECSF_3643
ko:K05851	ese:ECSF_3644
ko:K06202	ese:ECSF_3645
ko:K01778	ese:ECSF_3648
ko:K09921	ese:ECSF_3649
ko:K03733	ese:ECSF_3650
ko:K03657	ese:ECSF_3652
ko:K03284	ese:ECSF_3655
ko:K05786	ese:ECSF_3658
ko:K01058	ese:ECSF_3660
ko:K03654	ese:ECSF_3661
ko:K05835	ese:ECSF_3662
ko:K05834	ese:ECSF_3664
ko:K03576	ese:ECSF_3668
ko:K00549	ese:ECSF_3669
ko:K08094	ese:ECSF_3670
ko:K00615	ese:ECSF_3672
ko:K00926	ese:ECSF_3677
ko:K06141	ese:ECSF_3191
ko:K00362	ese:ECSF_3192
ko:K00363	ese:ECSF_3193
ko:K02598	ese:ECSF_3194
ko:K02302	ese:ECSF_3195
ko:K01867	ese:ECSF_3205
ko:K01091	ese:ECSF_3206
ko:K01783	ese:ECSF_3207
ko:K03112	ese:ECSF_3209
ko:K01735	ese:ECSF_3210
ko:K00891	ese:ECSF_3211
ko:K02507	ese:ECSF_3212
ko:K12291	ese:ECSF_3213
ko:K12290	ese:ECSF_3214
ko:K12289	ese:ECSF_3215
ko:K12288	ese:ECSF_3216
ko:K05366	ese:ECSF_3217
ko:K08312	ese:ECSF_3218
ko:K04762	ese:ECSF_3221
ko:K04083	ese:ECSF_3222
ko:K01610	ese:ECSF_3225
