ko:K07062	xct:J151_04498
ko:K00791	xct:J151_01889
ko:K03666	xct:J151_01890
ko:K03665	xct:J151_01891
ko:K03743	xct:J151_01892
ko:K03688	xct:J151_01893
ko:K01356	xct:J151_01894
ko:K03565	xct:J151_01896
ko:K01872	xct:J151_01897
ko:K03563	xct:J151_01898
ko:K03406	xct:J151_01900
ko:K06911	xct:J151_01901
ko:K07814	xct:J151_02669
ko:K15371	xct:J151_02671
ko:K03585	xct:J151_02673
ko:K18138	xct:J151_02674
ko:K03435	xct:J151_02675
ko:K02768	xct:J151_02676
ko:K08483	xct:J151_02676
ko:K11183	xct:J151_02676
ko:K00882	xct:J151_02677
ko:K02769	xct:J151_02678
ko:K02770	xct:J151_02678
ko:K07267	xct:J151_02679
ko:K03074	xct:J151_02686
ko:K03072	xct:J151_02687
ko:K03210	xct:J151_02688
ko:K00773	xct:J151_02689
ko:K07568	xct:J151_02690
ko:K01083	xct:J151_02696
ko:K00761	xct:J151_02698
ko:K00681	xct:J151_02700
ko:K00954	xct:J151_02704
ko:K08316	xct:J151_02705
ko:K04079	xct:J151_02706
ko:K09955	xct:J151_02709
ko:K08677	xct:J151_02716
ko:K07052	xct:J151_03477
ko:K12686	xct:J151_03484
ko:K03154	xct:J151_03485
ko:K03149	xct:J151_03486
ko:K03439	xct:J151_03487
ko:K03282	xct:J151_03492
ko:K02529	xct:J151_03494
ko:K01187	xct:J151_03497
ko:K03929	xct:J151_03499
ko:K03214	xct:J151_03500
ko:K18138	xct:J151_03511
ko:K03585	xct:J151_03512
ko:K00955	xct:J151_03513
ko:K00957	xct:J151_03514
ko:K00380	xct:J151_03515
ko:K00381	xct:J151_03516
ko:K00390	xct:J151_03517
ko:K02014	xct:J151_03519
ko:K02302	xct:J151_03524
ko:K01738	xct:J151_03525
ko:K00655	xct:J151_04278
ko:K02078	xct:J151_04280
ko:K00228	xct:J151_04288
ko:K11902	xct:J151_04291
ko:K11890	xct:J151_04297
ko:K11891	xct:J151_04298
ko:K11892	xct:J151_04299
ko:K11893	xct:J151_04300
ko:K11904	xct:J151_04303
ko:K03088	xct:J151_04308
ko:K07165	xct:J151_04309
ko:K01093	xct:J151_04311
ko:K11907	xct:J151_04318
ko:K11895	xct:J151_04319
ko:K11896	xct:J151_04320
ko:K11897	xct:J151_04321
ko:K11898	xct:J151_04322
ko:K11903	xct:J151_04323
ko:K11900	xct:J151_04324
ko:K11901	xct:J151_04325
ko:K00661	xct:J151_04328
ko:K03657	xct:J151_04329
ko:K06131	xct:J151_04331
ko:K03924	xct:J151_00232
ko:K03568	xct:J151_00235
ko:K03568	xct:J151_00236
ko:K03841	xct:J151_00238
ko:K00832	xct:J151_00239
ko:K02014	xct:J151_00240
ko:K00138	xct:J151_00243
ko:K09959	xct:J151_00244
ko:K10979	xct:J151_00247
ko:K00101	xct:J151_00248
ko:K00209	xct:J151_00256
ko:K00874	xct:J151_00258
ko:K16147	xct:J151_00271
ko:K05343	xct:J151_00272
ko:K00700	xct:J151_00273
ko:K07095	xct:J151_00274
ko:K00064	xct:J151_00275
ko:K03929	xct:J151_00276
ko:K02554	xct:J151_00278
ko:K03046	xct:J151_01093
ko:K02950	xct:J151_01094
ko:K02992	xct:J151_01095
ko:K02355	xct:J151_01096
ko:K02358	xct:J151_01097
ko:K02946	xct:J151_01098
ko:K02906	xct:J151_01099
ko:K02926	xct:J151_01100
ko:K02892	xct:J151_01101
ko:K02886	xct:J151_01102
ko:K02965	xct:J151_01103
ko:K02890	xct:J151_01104
ko:K02982	xct:J151_01105
ko:K02878	xct:J151_01106
ko:K02904	xct:J151_01107
ko:K02961	xct:J151_01108
ko:K02874	xct:J151_01109
ko:K02895	xct:J151_01110
ko:K02931	xct:J151_01111
ko:K00121	xct:J151_00773
ko:K00856	xct:J151_00776
ko:K03569	xct:J151_00777
ko:K03570	xct:J151_00778
ko:K03571	xct:J151_00779
ko:K05515	xct:J151_00780
ko:K05837	xct:J151_00781
ko:K08305	xct:J151_00783
ko:K03642	xct:J151_00784
ko:K07258	xct:J151_00785
ko:K09158	xct:J151_00787
ko:K03801	xct:J151_00788
ko:K03644	xct:J151_00789
ko:K03797	xct:J151_00790
ko:K07090	xct:J151_00791
ko:K00033	xct:J151_00801
ko:K04065	xct:J151_00803
ko:K00950	xct:J151_00807
ko:K03793	xct:J151_00808
ko:K02014	xct:J151_00811
ko:K00472	xct:J151_00812
ko:K02452	xct:J151_00815
ko:K02453	xct:J151_00816
ko:K02454	xct:J151_00817
ko:K02455	xct:J151_00818
ko:K02456	xct:J151_00819
ko:K02457	xct:J151_00820
ko:K02458	xct:J151_00821
ko:K02459	xct:J151_00822
ko:K02460	xct:J151_00823
ko:K02461	xct:J151_00824
ko:K03664	xct:J151_01664
ko:K09801	xct:J151_01666
ko:K06186	xct:J151_01667
ko:K03711	xct:J151_01668
ko:K03631	xct:J151_01669
ko:K03705	xct:J151_01670
ko:K03687	xct:J151_01671
ko:K04043	xct:J151_01672
ko:K03686	xct:J151_01673
ko:K00868	xct:J151_01675
ko:K04517	xct:J151_01676
ko:K04761	xct:J151_01681
ko:K06147	xct:J151_01682
ko:K06966	xct:J151_01684
ko:K00382	xct:J151_01685
ko:K00658	xct:J151_01686
ko:K00164	xct:J151_01687
ko:K07733	xct:J151_02457
ko:K01951	xct:J151_02459
ko:K00088	xct:J151_02460
ko:K01491	xct:J151_02461
ko:K09948	xct:J151_02462
ko:K11747	xct:J151_02463
ko:K00963	xct:J151_02464
ko:K05788	xct:J151_02469
ko:K02945	xct:J151_02470
ko:K00945	xct:J151_02471
ko:K02919	xct:J151_02472
ko:K12251	xct:J151_02476
ko:K03823	xct:J151_02477
ko:K02026	xct:J151_02481
ko:K02025	xct:J151_02482
ko:K02027	xct:J151_02483
ko:K02529	xct:J151_02486
ko:K05527	xct:J151_02487
ko:K09780	xct:J151_02488
ko:K05896	xct:J151_02489
ko:K06024	xct:J151_02490
ko:K06178	xct:J151_02491
ko:K14287	xct:J151_02495
ko:K02193	xct:J151_02496
ko:K02194	xct:J151_02497
ko:K02195	xct:J151_02498
ko:K02196	xct:J151_02499
ko:K02197	xct:J151_02500
ko:K02198	xct:J151_02501
ko:K02199	xct:J151_02502
ko:K02200	xct:J151_02503
ko:K02200	xct:J151_02504
ko:K00641	xct:J151_02505
ko:K00845	xct:J151_03256
ko:K02014	xct:J151_03257
ko:K01206	xct:J151_03258
ko:K12373	xct:J151_03260
ko:K01192	xct:J151_03261
ko:K05349	xct:J151_03262
ko:K12308	xct:J151_03264
ko:K01222	xct:J151_03267
ko:K09704	xct:J151_03268
ko:K12308	xct:J151_03270
ko:K06201	xct:J151_03276
ko:K01444	xct:J151_03277
ko:K03790	xct:J151_03278
ko:K06598	xct:J151_03279
ko:K06597	xct:J151_03280
ko:K02487	xct:J151_03281
ko:K06596	xct:J151_03281
ko:K02660	xct:J151_03282
ko:K02659	xct:J151_03283
ko:K02658	xct:J151_03284
ko:K02657	xct:J151_03285
ko:K01920	xct:J151_03286
ko:K03832	xct:J151_03287
ko:K14742	xct:J151_03289
ko:K05365	xct:J151_03292
ko:K00951	xct:J151_03295
ko:K06136	xct:J151_03296
ko:K06137	xct:J151_03297
ko:K06138	xct:J151_03298
ko:K06139	xct:J151_03299
ko:K00845	xct:J151_03302
ko:K03578	xct:J151_03304
ko:K04047	xct:J151_03305
ko:K03654	xct:J151_03306
ko:K02259	xct:J151_04058
ko:K02276	xct:J151_04062
ko:K02258	xct:J151_04063
ko:K02274	xct:J151_04065
ko:K02275	xct:J151_04066
ko:K13821	xct:J151_04068
ko:K01866	xct:J151_04076
ko:K09001	xct:J151_04078
ko:K08218	xct:J151_04080
ko:K01142	xct:J151_04081
ko:K00762	xct:J151_04082
ko:K03496	xct:J151_04084
ko:K03497	xct:J151_04085
ko:K08679	xct:J151_04087
ko:K00721	xct:J151_04088
ko:K15778	xct:J151_04091
ko:K13038	xct:J151_04093
ko:K03630	xct:J151_04094
ko:K01887	xct:J151_04095
ko:K02364	xct:J151_04101
ko:K01585	xct:J151_04102
ko:K00797	xct:J151_04103
ko:K01197	xct:J151_04107
ko:K04751	xct:J151_04108
ko:K09806	xct:J151_04109
ko:K07391	xct:J151_04110
ko:K02954	xct:J151_01112
ko:K02994	xct:J151_01113
ko:K02933	xct:J151_01114
ko:K02881	xct:J151_01115
ko:K02988	xct:J151_01116
ko:K02907	xct:J151_01117
ko:K02876	xct:J151_01118
ko:K03076	xct:J151_01119
ko:K02952	xct:J151_01120
ko:K02948	xct:J151_01121
ko:K02986	xct:J151_01122
ko:K03040	xct:J151_01123
ko:K02879	xct:J151_01124
ko:K03611	xct:J151_01125
ko:K01626	xct:J151_01127
ko:K01426	xct:J151_01129
ko:K06207	xct:J151_01131
ko:K03768	xct:J151_01132
ko:K00024	xct:J151_01133
ko:K00799	xct:J151_01134
ko:K00219	xct:J151_01136
ko:K03286	xct:J151_01138
ko:K06178	xct:J151_01140
ko:K00639	xct:J151_01142
ko:K02048	xct:J151_01143
ko:K02046	xct:J151_01144
ko:K02047	xct:J151_01145
ko:K02045	xct:J151_01146
ko:K00941	xct:J151_01907
ko:K07175	xct:J151_01910
ko:K03564	xct:J151_01911
ko:K03567	xct:J151_01913
ko:K01714	xct:J151_01914
ko:K05524	xct:J151_01916
ko:K00883	xct:J151_01917
ko:K01684	xct:J151_01919
ko:K01631	xct:J151_01920
ko:K05970	xct:J151_01926
ko:K01811	xct:J151_01928
ko:K15923	xct:J151_01929
ko:K00854	xct:J151_01930
ko:K01805	xct:J151_01931
ko:K01448	xct:J151_01935
ko:K09007	xct:J151_01936
ko:K00970	xct:J151_01940
ko:K00950	xct:J151_01941
ko:K00606	xct:J151_01942
ko:K01918	xct:J151_01943
ko:K01579	xct:J151_01944
ko:K01810	xct:J151_01945
ko:K07093	xct:J151_01948
ko:K05349	xct:J151_01949
ko:K03307	xct:J151_01950
ko:K01218	xct:J151_01952
ko:K15012	xct:J151_01953
ko:K15011	xct:J151_01954
ko:K03526	xct:J151_01955
ko:K01779	xct:J151_01958
ko:K03110	xct:J151_02733
ko:K03575	xct:J151_02734
ko:K05984	xct:J151_02739
ko:K03098	xct:J151_02742
ko:K01662	xct:J151_02746
ko:K00720	xct:J151_02749
ko:K00648	xct:J151_02752
ko:K09705	xct:J151_02754
ko:K01991	xct:J151_02766
ko:K04764	xct:J151_02769
ko:K01890	xct:J151_02770
ko:K01889	xct:J151_02771
ko:K02887	xct:J151_02772
ko:K01623	xct:J151_03528
ko:K00873	xct:J151_03529
ko:K01091	xct:J151_03530
ko:K00927	xct:J151_03531
ko:K00134	xct:J151_03536
ko:K07275	xct:J151_03538
ko:K02020	xct:J151_03542
ko:K02018	xct:J151_03543
ko:K02017	xct:J151_03544
ko:K16088	xct:J151_03554
ko:K00615	xct:J151_03556
ko:K07114	xct:J151_03559
ko:K07114	xct:J151_03560
ko:K03924	xct:J151_03563
ko:K02666	xct:J151_03565
ko:K02665	xct:J151_03566
ko:K02662	xct:J151_03569
ko:K05366	xct:J151_03570
ko:K01647	xct:J151_03573
ko:K02909	xct:J151_03574
ko:K03655	xct:J151_03576
ko:K10218	xct:J151_04333
ko:K16514	xct:J151_04334
ko:K10220	xct:J151_04335
ko:K02913	xct:J151_04336
ko:K02902	xct:J151_04337
ko:K15726	xct:J151_04338
ko:K15727	xct:J151_04339
ko:K15725	xct:J151_04340
ko:K03501	xct:J151_04343
ko:K01113	xct:J151_04344
ko:K01113	xct:J151_04346
ko:K06133	xct:J151_04347
ko:K01142	xct:J151_04350
ko:K14393	xct:J151_04356
ko:K01895	xct:J151_04359
ko:K01198	xct:J151_04365
ko:K00064	xct:J151_04366
ko:K07046	xct:J151_04367
ko:K18335	xct:J151_04368
ko:K18334	xct:J151_04370
ko:K03534	xct:J151_04372
ko:K02429	xct:J151_04373
ko:K18786	xct:J151_04378
ko:K03292	xct:J151_04379
ko:K00851	xct:J151_04380
ko:K03785	xct:J151_04383
ko:K09800	xct:J151_04385
ko:K07278	xct:J151_04386
ko:K02462	xct:J151_00825
ko:K02463	xct:J151_00826
ko:K01190	xct:J151_00829
ko:K01205	xct:J151_00830
ko:K03710	xct:J151_00833
ko:K02529	xct:J151_00835
ko:K00820	xct:J151_00836
ko:K01443	xct:J151_00837
ko:K02014	xct:J151_00838
ko:K00974	xct:J151_00839
ko:K02168	xct:J151_00842
ko:K03673	xct:J151_00844
ko:K03673	xct:J151_00845
ko:K03978	xct:J151_00848
ko:K01919	xct:J151_00851
ko:K02484	xct:J151_00852
ko:K00121	xct:J151_00857
ko:K03396	xct:J151_00858
ko:K01070	xct:J151_00859
ko:K00600	xct:J151_00866
ko:K07738	xct:J151_00867
ko:K11752	xct:J151_00869
ko:K00793	xct:J151_00872
ko:K14652	xct:J151_00873
ko:K00794	xct:J151_00874
ko:K03625	xct:J151_00875
ko:K00946	xct:J151_00876
ko:K01546	xct:J151_00880
ko:K18850	xct:J151_01689
ko:K01756	xct:J151_01691
ko:K01679	xct:J151_01694
ko:K01992	xct:J151_01698
ko:K01990	xct:J151_01699
ko:K07979	xct:J151_01700
ko:K00432	xct:J151_01702
ko:K03772	xct:J151_01703
ko:K00012	xct:J151_01704
ko:K03745	xct:J151_01705
ko:K02529	xct:J151_01708
ko:K02429	xct:J151_01709
ko:K00847	xct:J151_01710
ko:K00548	xct:J151_01712
ko:K00548	xct:J151_01713
ko:K12573	xct:J151_01718
ko:K03218	xct:J151_01720
ko:K03683	xct:J151_01722
ko:K02039	xct:J151_01724
ko:K02036	xct:J151_01725
ko:K02038	xct:J151_01726
ko:K02037	xct:J151_01727
ko:K02040	xct:J151_01728
ko:K02040	xct:J151_01729
ko:K07221	xct:J151_01730
ko:K01673	xct:J151_01732
ko:K10773	xct:J151_01734
ko:K01715	xct:J151_01736
ko:K01011	xct:J151_01739
ko:K09164	xct:J151_01740
ko:K16012	xct:J151_02507
ko:K16013	xct:J151_02508
ko:K00425	xct:J151_02509
ko:K00426	xct:J151_02510
ko:K03449	xct:J151_02513
ko:K06978	xct:J151_02514
ko:K00147	xct:J151_02515
ko:K00931	xct:J151_02516
ko:K01755	xct:J151_02518
ko:K00145	xct:J151_02519
ko:K01438	xct:J151_02522
ko:K01940	xct:J151_02524
ko:K01883	xct:J151_02527
ko:K02426	xct:J151_02528
ko:K06204	xct:J151_02530
ko:K08998	xct:J151_02531
ko:K01465	xct:J151_02532
ko:K03735	xct:J151_02536
ko:K03736	xct:J151_02537
ko:K01728	xct:J151_02544
ko:K00568	xct:J151_02549
ko:K02529	xct:J151_00283
ko:K01815	xct:J151_00284
ko:K00065	xct:J151_00285
ko:K01808	xct:J151_00286
ko:K00500	xct:J151_00290
ko:K03719	xct:J151_00291
ko:K16088	xct:J151_00292
ko:K07001	xct:J151_00293
ko:K02013	xct:J151_00295
ko:K05847	xct:J151_00298
ko:K05845	xct:J151_00299
ko:K05846	xct:J151_00299
ko:K07154	xct:J151_00303
ko:K04090	xct:J151_00305
ko:K07088	xct:J151_00307
ko:K03496	xct:J151_00308
ko:K00655	xct:J151_00313
ko:K07019	xct:J151_00314
ko:K06910	xct:J151_00317
ko:K06153	xct:J151_00320
ko:K01915	xct:J151_00321
ko:K04751	xct:J151_00322
ko:K03320	xct:J151_00323
ko:K07708	xct:J151_00324
ko:K07712	xct:J151_00325
ko:K04565	xct:J151_00326
ko:K04565	xct:J151_00327
ko:K00626	xct:J151_00330
ko:K02498	xct:J151_00331
ko:K02496	xct:J151_00332
ko:K01719	xct:J151_00333
ko:K00060	xct:J151_01148
ko:K01114	xct:J151_01150
ko:K11754	xct:J151_01154
ko:K03558	xct:J151_01156
ko:K00764	xct:J151_01157
ko:K03269	xct:J151_01162
ko:K01524	xct:J151_01166
ko:K00937	xct:J151_01167
ko:K07636	xct:J151_01168
ko:K07657	xct:J151_01169
ko:K00030	xct:J151_01173
ko:K00075	xct:J151_01960
ko:K00254	xct:J151_01961
ko:K00128	xct:J151_01964
ko:K11936	xct:J151_01967
ko:K11931	xct:J151_01968
ko:K15125	xct:J151_01971
ko:K12524	xct:J151_01976
ko:K00872	xct:J151_01977
ko:K01733	xct:J151_01979
ko:K01892	xct:J151_01982
ko:K00765	xct:J151_01984
ko:K00013	xct:J151_01985
ko:K00817	xct:J151_01986
ko:K01089	xct:J151_01987
ko:K02501	xct:J151_01988
ko:K01814	xct:J151_01989
ko:K02500	xct:J151_01990
ko:K11755	xct:J151_01991
ko:K09880	xct:J151_01994
ko:K08967	xct:J151_01995
ko:K08964	xct:J151_01996
ko:K03294	xct:J151_01997
ko:K03294	xct:J151_01998
ko:K00058	xct:J151_02000
ko:K02356	xct:J151_02005
ko:K01640	xct:J151_02007
ko:K13766	xct:J151_02009
ko:K04758	xct:J151_02010
ko:K04759	xct:J151_02011
ko:K02916	xct:J151_02773
ko:K02520	xct:J151_02775
ko:K01868	xct:J151_02776
ko:K16211	xct:J151_02779
ko:K01187	xct:J151_02781
ko:K01187	xct:J151_02785
ko:K03201	xct:J151_02790
ko:K03201	xct:J151_02794
ko:K03194	xct:J151_02799
ko:K03196	xct:J151_02800
ko:K03204	xct:J151_02802
ko:K03203	xct:J151_02803
ko:K03205	xct:J151_02805
ko:K03702	xct:J151_02808
ko:K03060	xct:J151_03579
ko:K00942	xct:J151_03580
ko:K00989	xct:J151_03582
ko:K02428	xct:J151_03584
ko:K01262	xct:J151_03590
ko:K09895	xct:J151_03591
ko:K09892	xct:J151_03592
ko:K09888	xct:J151_03593
ko:K01934	xct:J151_03595
ko:K01807	xct:J151_03597
ko:K09005	xct:J151_03598
ko:K00788	xct:J151_03601
ko:K01845	xct:J151_03604
ko:K03556	xct:J151_03605
ko:K00817	xct:J151_03607
ko:K00274	xct:J151_03610
ko:K02014	xct:J151_03611
ko:K10716	xct:J151_03614
ko:K07157	xct:J151_03619
ko:K02558	xct:J151_03620
ko:K00939	xct:J151_03621
ko:K15987	xct:J151_03624
ko:K01507	xct:J151_03626
ko:K02014	xct:J151_03628
ko:K07506	xct:J151_03629
ko:K03147	xct:J151_03632
ko:K13409	xct:J151_04391
ko:K01879	xct:J151_04393
ko:K01878	xct:J151_04394
ko:K02454	xct:J151_04395
ko:K01951	xct:J151_04397
ko:K03118	xct:J151_04399
ko:K03117	xct:J151_04400
ko:K03116	xct:J151_04401
ko:K01772	xct:J151_04403
ko:K07043	xct:J151_04405
ko:K03554	xct:J151_04406
ko:K14058	xct:J151_04407
ko:K01805	xct:J151_04408
ko:K02529	xct:J151_04409
ko:K01235	xct:J151_04410
ko:K05970	xct:J151_04411
ko:K08323	xct:J151_04412
ko:K01198	xct:J151_04413
ko:K01209	xct:J151_04413
ko:K05349	xct:J151_04414
ko:K00040	xct:J151_04415
ko:K00128	xct:J151_04420
ko:K01845	xct:J151_04423
ko:K01845	xct:J151_04424
ko:K01628	xct:J151_04425
ko:K00854	xct:J151_04426
ko:K01053	xct:J151_04429
ko:K01181	xct:J151_04430
ko:K01190	xct:J151_04431
ko:K01812	xct:J151_04432
ko:K01181	xct:J151_04433
ko:K08191	xct:J151_04434
ko:K01181	xct:J151_04435
ko:K08191	xct:J151_04436
ko:K03098	xct:J151_04440
ko:K02356	xct:J151_02552
ko:K02044	xct:J151_02555
ko:K15396	xct:J151_02556
ko:K06182	xct:J151_03311
ko:K06895	xct:J151_03314
ko:K05596	xct:J151_03315
ko:K06920	xct:J151_03318
ko:K10026	xct:J151_03320
ko:K03640	xct:J151_03322
ko:K03641	xct:J151_03323
ko:K03646	xct:J151_03324
ko:K03560	xct:J151_03325
ko:K03562	xct:J151_03326
ko:K07107	xct:J151_03327
ko:K03551	xct:J151_03328
ko:K03549	xct:J151_03330
ko:K03550	xct:J151_03331
ko:K01159	xct:J151_03332
ko:K01876	xct:J151_03336
ko:K01114	xct:J151_03342
ko:K17836	xct:J151_03344
ko:K17850	xct:J151_03345
ko:K06158	xct:J151_03347
ko:K02014	xct:J151_03348
ko:K02014	xct:J151_03350
ko:K02014	xct:J151_03351
ko:K03455	xct:J151_03353
ko:K02510	xct:J151_03357
ko:K16091	xct:J151_03358
ko:K07459	xct:J151_04121
ko:K07391	xct:J151_04133
ko:K03098	xct:J151_04134
ko:K00508	xct:J151_04137
ko:K14415	xct:J151_04145
ko:K06889	xct:J151_04147
ko:K07071	xct:J151_04153
ko:K01255	xct:J151_04165
ko:K03088	xct:J151_04167
ko:K03781	xct:J151_04168
ko:K12262	xct:J151_04169
ko:K07483	xct:J151_03407
ko:K07483	xct:J151_01813
ko:K07483	xct:J151_03436
ko:K07483	xct:J151_00205
ko:K07483	xct:J151_03505
ko:K07483	xct:J151_00269
ko:K07483	xct:J151_01180
ko:K07483	xct:J151_02816
ko:K07483	xct:J151_04389
ko:K07483	xct:J151_01203
ko:K07483	xct:J151_01237
ko:K07483	xct:J151_02846
ko:K07483	xct:J151_02078
ko:K07483	xct:J151_04505
ko:K07483	xct:J151_00464
ko:K07483	xct:J151_02262
ko:K07483	xct:J151_02293
ko:K07483	xct:J151_02334
ko:K07483	xct:J151_00700
ko:K07483	xct:J151_02388
ko:K07483	xct:J151_04114
ko:K07270	xct:J151_00334
ko:K03071	xct:J151_00338
ko:K00057	xct:J151_00339
ko:K00156	xct:J151_00341
ko:K03216	xct:J151_00347
ko:K06940	xct:J151_00353
ko:K03690	xct:J151_00359
ko:K03688	xct:J151_00360
ko:K06175	xct:J151_00362
ko:K09924	xct:J151_00363
ko:K15034	xct:J151_00364
ko:K13051	xct:J151_00366
ko:K01284	xct:J151_00367
ko:K06996	xct:J151_00370
ko:K01638	xct:J151_00374
ko:K01637	xct:J151_00375
ko:K01968	xct:J151_00382
ko:K01969	xct:J151_00383
ko:K00253	xct:J151_00384
ko:K03545	xct:J151_01210
ko:K01358	xct:J151_01211
ko:K03544	xct:J151_01212
ko:K01338	xct:J151_01213
ko:K03530	xct:J151_01214
ko:K03770	xct:J151_01218
ko:K08307	xct:J151_01220
ko:K01069	xct:J151_01221
ko:K03469	xct:J151_01223
ko:K02342	xct:J151_01224
ko:K12982	xct:J151_01228
ko:K11211	xct:J151_01229
ko:K03639	xct:J151_01231
ko:K03637	xct:J151_01232
ko:K03636	xct:J151_01233
ko:K03635	xct:J151_01234
ko:K02343	xct:J151_01244
ko:K09747	xct:J151_01245
ko:K06187	xct:J151_01246
ko:K07285	xct:J151_01248
ko:K03924	xct:J151_01251
ko:K06287	xct:J151_01255
ko:K07040	xct:J151_01256
ko:K02911	xct:J151_01257
ko:K00648	xct:J151_01258
ko:K05825	xct:J151_02014
ko:K00215	xct:J151_02016
ko:K01956	xct:J151_02017
ko:K01955	xct:J151_02019
ko:K03624	xct:J151_02020
ko:K07462	xct:J151_02022
ko:K02836	xct:J151_02031
ko:K04567	xct:J151_02032
ko:K13815	xct:J151_02033
ko:K10715	xct:J151_02034
ko:K13816	xct:J151_02035
ko:K01897	xct:J151_02036
ko:K01681	xct:J151_02038
ko:K01682	xct:J151_02041
ko:K03412	xct:J151_02044
ko:K03411	xct:J151_02045
ko:K00575	xct:J151_02046
ko:K03406	xct:J151_02048
ko:K03406	xct:J151_02053
ko:K03406	xct:J151_02056
ko:K03407	xct:J151_02059
ko:K03413	xct:J151_02060
ko:K03408	xct:J151_02062
ko:K03496	xct:J151_02063
ko:K02655	xct:J151_02847
ko:K02674	xct:J151_02848
ko:K02672	xct:J151_02849
ko:K08084	xct:J151_02850
ko:K08082	xct:J151_02851
ko:K06966	xct:J151_02852
ko:K07390	xct:J151_02856
ko:K04564	xct:J151_02857
ko:K01589	xct:J151_02858
ko:K01588	xct:J151_02859
ko:K00767	xct:J151_02861
ko:K01547	xct:J151_00881
ko:K01548	xct:J151_00882
ko:K07646	xct:J151_00883
ko:K07667	xct:J151_00884
ko:K03777	xct:J151_00887
ko:K07038	xct:J151_00888
ko:K07460	xct:J151_00889
ko:K07121	xct:J151_00890
ko:K07056	xct:J151_00891
ko:K03925	xct:J151_00896
ko:K03438	xct:J151_00897
ko:K03586	xct:J151_00898
ko:K03587	xct:J151_00899
ko:K01928	xct:J151_00900
ko:K01929	xct:J151_00901
ko:K01000	xct:J151_00902
ko:K03588	xct:J151_00903
ko:K02563	xct:J151_00904
ko:K01924	xct:J151_00905
ko:K01921	xct:J151_00906
ko:K03589	xct:J151_00907
ko:K03590	xct:J151_00908
ko:K03531	xct:J151_00909
ko:K02535	xct:J151_00910
ko:K03070	xct:J151_00913
ko:K03574	xct:J151_00914
ko:K00297	xct:J151_00916
ko:K01176	xct:J151_00923
ko:K09912	xct:J151_00924
ko:K01251	xct:J151_00930
ko:K01595	xct:J151_00933
ko:K03761	xct:J151_04491
ko:K00962	xct:J151_02863
ko:K02956	xct:J151_02864
