ko:K07696	sad:SAAV_2456
ko:K03187	sad:SAAV_2353
ko:K00942	sad:SAAV_1181
ko:K03060	sad:SAAV_1182
ko:K13038	sad:SAAV_1183
ko:K04066	sad:SAAV_1184
ko:K01462	sad:SAAV_1187
ko:K00604	sad:SAAV_1188
ko:K03500	sad:SAAV_1189
ko:K06941	sad:SAAV_1190
ko:K06949	sad:SAAV_1193
ko:K01783	sad:SAAV_1194
ko:K02902	sad:SAAV_1196
ko:K03655	sad:SAAV_1199
ko:K03621	sad:SAAV_1201
ko:K00645	sad:SAAV_1202
ko:K02078	sad:SAAV_1205
ko:K03685	sad:SAAV_1206
ko:K03529	sad:SAAV_1207
ko:K03110	sad:SAAV_1208
ko:K03106	sad:SAAV_1210
ko:K02959	sad:SAAV_1211
ko:K02860	sad:SAAV_1212
ko:K00554	sad:SAAV_1213
ko:K02884	sad:SAAV_1215
ko:K03470	sad:SAAV_1218
ko:K01903	sad:SAAV_1219
ko:K01902	sad:SAAV_1220
ko:K04077	sad:SAAV_2076
ko:K04078	sad:SAAV_2077
ko:K07078	sad:SAAV_2080
ko:K07813	sad:SAAV_2084
ko:K07707	sad:SAAV_2087
ko:K00847	sad:SAAV_2088
ko:K01193	sad:SAAV_2089
ko:K03320	sad:SAAV_2091
ko:K07112	sad:SAAV_2093
ko:K01926	sad:SAAV_2094
ko:K06158	sad:SAAV_2095
ko:K03789	sad:SAAV_2098
ko:K06925	sad:SAAV_2100
ko:K01687	sad:SAAV_2101
ko:K01652	sad:SAAV_2102
ko:K06199	sad:SAAV_1793
ko:K06199	sad:SAAV_1794
ko:K00789	sad:SAAV_1799
ko:K01610	sad:SAAV_1801
ko:K08998	sad:SAAV_1804
ko:K01911	sad:SAAV_1806
ko:K03427	sad:SAAV_1816
ko:K11755	sad:SAAV_2745
ko:K02500	sad:SAAV_2746
ko:K01814	sad:SAAV_2747
ko:K02501	sad:SAAV_2748
ko:K01693	sad:SAAV_2749
ko:K00817	sad:SAAV_2750
ko:K00013	sad:SAAV_2752
ko:K00765	sad:SAAV_2753
ko:K07146	sad:SAAV_2763
ko:K01304	sad:SAAV_2764
ko:K03319	sad:SAAV_2767
ko:K05786	sad:SAAV_2768
ko:K07241	sad:SAAV_2770
ko:K03704	sad:SAAV_2776
ko:K03501	sad:SAAV_2781
ko:K03495	sad:SAAV_2782
ko:K03650	sad:SAAV_2783
ko:K03536	sad:SAAV_2784
ko:K02914	sad:SAAV_2785
ko:K07173	sad:SAAV_2189
ko:K00756	sad:SAAV_2191
ko:K04047	sad:SAAV_2194
ko:K01809	sad:SAAV_2198
ko:K00820	sad:SAAV_2208
ko:K00009	sad:SAAV_2213
ko:K03431	sad:SAAV_2215
ko:K01476	sad:SAAV_2218
ko:K11068	sad:SAAV_2231
ko:K07038	sad:SAAV_2233
ko:K02015	sad:SAAV_2236
ko:K02015	sad:SAAV_2237
ko:K02016	sad:SAAV_2238
ko:K01653	sad:SAAV_2103
ko:K00053	sad:SAAV_2104
ko:K01649	sad:SAAV_2105
ko:K00052	sad:SAAV_2106
ko:K01703	sad:SAAV_2107
ko:K01704	sad:SAAV_2108
ko:K01754	sad:SAAV_2109
ko:K06959	sad:SAAV_2115
ko:K01775	sad:SAAV_2123
ko:K00997	sad:SAAV_2124
ko:K01548	sad:SAAV_2129
ko:K01547	sad:SAAV_2130
ko:K04096	sad:SAAV_1223
ko:K03168	sad:SAAV_1224
ko:K04094	sad:SAAV_1225
ko:K03733	sad:SAAV_1226
ko:K01419	sad:SAAV_1227
ko:K03667	sad:SAAV_1228
ko:K03706	sad:SAAV_1229
ko:K02967	sad:SAAV_1230
ko:K02357	sad:SAAV_1232
ko:K09903	sad:SAAV_1233
ko:K02838	sad:SAAV_1234
ko:K00806	sad:SAAV_1235
ko:K00981	sad:SAAV_1236
ko:K01881	sad:SAAV_1238
ko:K03763	sad:SAAV_1239
ko:K09748	sad:SAAV_1240
ko:K02600	sad:SAAV_1241
ko:K07742	sad:SAAV_1242
ko:K02519	sad:SAAV_1244
ko:K02834	sad:SAAV_1245
ko:K11753	sad:SAAV_1247
ko:K02956	sad:SAAV_1248
ko:K00962	sad:SAAV_1249
ko:K03466	sad:SAAV_1251
ko:K00995	sad:SAAV_1258
ko:K09769	sad:SAAV_1263
ko:K00174	sad:SAAV_1264
ko:K00175	sad:SAAV_1265
ko:K06168	sad:SAAV_1267
ko:K03555	sad:SAAV_1270
ko:K03572	sad:SAAV_1271
ko:K02440	sad:SAAV_1273
ko:K00864	sad:SAAV_1274
ko:K00111	sad:SAAV_1275
ko:K00791	sad:SAAV_1277
ko:K03666	sad:SAAV_1278
ko:K01546	sad:SAAV_2131
ko:K07646	sad:SAAV_2133
ko:K02563	sad:SAAV_1401
ko:K03797	sad:SAAV_1403
ko:K09125	sad:SAAV_1414
ko:K08170	sad:SAAV_1420
ko:K01754	sad:SAAV_1422
ko:K00259	sad:SAAV_1423
ko:K07444	sad:SAAV_1428
ko:K05366	sad:SAAV_1437
ko:K10773	sad:SAAV_1439
ko:K01893	sad:SAAV_1441
ko:K03524	sad:SAAV_1443
ko:K06973	sad:SAAV_1447
ko:K00800	sad:SAAV_1451
ko:K01735	sad:SAAV_1452
ko:K01736	sad:SAAV_1453
ko:K03188	sad:SAAV_2354
ko:K03189	sad:SAAV_2355
ko:K03190	sad:SAAV_2356
ko:K03315	sad:SAAV_2362
ko:K09940	sad:SAAV_2364
ko:K00123	sad:SAAV_2371
ko:K03453	sad:SAAV_2383
ko:K02749	sad:SAAV_2385
ko:K02750	sad:SAAV_2385
ko:K01468	sad:SAAV_2394
ko:K01712	sad:SAAV_2395
ko:K11210	sad:SAAV_2397
ko:K01807	sad:SAAV_2400
ko:K09771	sad:SAAV_2404
ko:K03652	sad:SAAV_2408
ko:K03312	sad:SAAV_2409
ko:K00940	sad:SAAV_1456
ko:K03183	sad:SAAV_1458
ko:K07002	sad:SAAV_1848
ko:K00231	sad:SAAV_1850
ko:K01772	sad:SAAV_1851
ko:K01599	sad:SAAV_1852
ko:K06180	sad:SAAV_1869
ko:K03216	sad:SAAV_1874
ko:K02970	sad:SAAV_1567
ko:K09761	sad:SAAV_1569
ko:K02687	sad:SAAV_1570
ko:K03686	sad:SAAV_1571
ko:K04043	sad:SAAV_1572
ko:K03687	sad:SAAV_1573
ko:K03705	sad:SAAV_1574
ko:K03596	sad:SAAV_1576
ko:K02968	sad:SAAV_1577
ko:K02340	sad:SAAV_1578
ko:K02237	sad:SAAV_1581
ko:K09710	sad:SAAV_1583
ko:K00969	sad:SAAV_1585
ko:K07574	sad:SAAV_1586
ko:K00014	sad:SAAV_1587
ko:K07015	sad:SAAV_1589
ko:K07160	sad:SAAV_1597
ko:K02160	sad:SAAV_1599
ko:K03624	sad:SAAV_1602
ko:K00876	sad:SAAV_1603
ko:K08303	sad:SAAV_1604
ko:K07447	sad:SAAV_1608
ko:K01872	sad:SAAV_1610
ko:K03581	sad:SAAV_1612
ko:K00566	sad:SAAV_1614
ko:K04487	sad:SAAV_1615
ko:K07478	sad:SAAV_1620
ko:K00963	sad:SAAV_2565
ko:K11476	sad:SAAV_2572
ko:K03530	sad:SAAV_1460
ko:K00057	sad:SAAV_1461
ko:K03977	sad:SAAV_1462
ko:K02945	sad:SAAV_1463
ko:K00945	sad:SAAV_1464
ko:K03654	sad:SAAV_1469
ko:K07651	sad:SAAV_1481
ko:K07775	sad:SAAV_1482
ko:K06178	sad:SAAV_1483
ko:K06024	sad:SAAV_1484
ko:K05896	sad:SAAV_1485
ko:K07124	sad:SAAV_1492
ko:K00286	sad:SAAV_1493
ko:K00036	sad:SAAV_1495
ko:K09699	sad:SAAV_1508
ko:K00167	sad:SAAV_1509
ko:K03284	sad:SAAV_2411
ko:K07107	sad:SAAV_2412
ko:K07552	sad:SAAV_2419
ko:K00116	sad:SAAV_2430
ko:K03303	sad:SAAV_2431
ko:K11102	sad:SAAV_2449
ko:K00373	sad:SAAV_2460
ko:K00371	sad:SAAV_2461
ko:K00370	sad:SAAV_2462
ko:K00363	sad:SAAV_2464
ko:K00362	sad:SAAV_2465
ko:K00166	sad:SAAV_1510
ko:K00382	sad:SAAV_1511
ko:K03631	sad:SAAV_1512
ko:K03402	sad:SAAV_1513
ko:K03602	sad:SAAV_1515
ko:K03601	sad:SAAV_1516
ko:K03625	sad:SAAV_1517
ko:K02160	sad:SAAV_1520
ko:K01588	sad:SAAV_1029
ko:K01589	sad:SAAV_1030
ko:K01923	sad:SAAV_1031
ko:K01952	sad:SAAV_1033
ko:K01952	sad:SAAV_1034
ko:K00764	sad:SAAV_1035
ko:K01933	sad:SAAV_1036
ko:K11175	sad:SAAV_1037
ko:K00602	sad:SAAV_1038
ko:K01945	sad:SAAV_1039
ko:K03564	sad:SAAV_1913
ko:K01845	sad:SAAV_1914
ko:K03575	sad:SAAV_1918
ko:K03565	sad:SAAV_1923
ko:K07058	sad:SAAV_1948
ko:K01265	sad:SAAV_1953
ko:K02346	sad:SAAV_1961
ko:K01876	sad:SAAV_1623
ko:K01892	sad:SAAV_1624
ko:K01448	sad:SAAV_1625
ko:K07560	sad:SAAV_1626
ko:K00759	sad:SAAV_1628
ko:K07462	sad:SAAV_1629
ko:K12257	sad:SAAV_1630
ko:K03210	sad:SAAV_1631
ko:K00773	sad:SAAV_1632
ko:K07568	sad:SAAV_1633
ko:K03551	sad:SAAV_1634
ko:K03550	sad:SAAV_1635
ko:K06209	sad:SAAV_1636
ko:K03979	sad:SAAV_1637
ko:K02899	sad:SAAV_1638
ko:K02888	sad:SAAV_1640
ko:K03571	sad:SAAV_1641
ko:K03570	sad:SAAV_1642
ko:K03630	sad:SAAV_1646
ko:K01873	sad:SAAV_1649
ko:K01246	sad:SAAV_1651
ko:K01845	sad:SAAV_1654
ko:K01698	sad:SAAV_1655
ko:K01749	sad:SAAV_1657
ko:K02497	sad:SAAV_1658
ko:K02492	sad:SAAV_1659
ko:K03978	sad:SAAV_1660
ko:K03544	sad:SAAV_1662
ko:K03545	sad:SAAV_1663
ko:K02887	sad:SAAV_1666
ko:K02916	sad:SAAV_1667
ko:K02520	sad:SAAV_1668
ko:K01868	sad:SAAV_1672
ko:K07738	sad:SAAV_1676
ko:K00134	sad:SAAV_1677
ko:K00859	sad:SAAV_1678
ko:K04041	sad:SAAV_2581
ko:K06999	sad:SAAV_2583
ko:K06975	sad:SAAV_2586
ko:K03778	sad:SAAV_2589
ko:K03823	sad:SAAV_2594
ko:K01752	sad:SAAV_2596
ko:K01752	sad:SAAV_2597
ko:K07107	sad:SAAV_2603
ko:K04759	sad:SAAV_2616
ko:K04758	sad:SAAV_2617
ko:K03778	sad:SAAV_2625
ko:K02356	sad:SAAV_1521
ko:K03800	sad:SAAV_1525
ko:K00283	sad:SAAV_1527
ko:K00282	sad:SAAV_1528
ko:K00605	sad:SAAV_1529
ko:K00891	sad:SAAV_1531
ko:K02913	sad:SAAV_1543
ko:K04564	sad:SAAV_1545
ko:K09816	sad:SAAV_1547
ko:K09817	sad:SAAV_1548
ko:K01151	sad:SAAV_1549
ko:K06967	sad:SAAV_1552
ko:K03086	sad:SAAV_1553
ko:K09773	sad:SAAV_1555
ko:K01880	sad:SAAV_1557
ko:K03584	sad:SAAV_1558
ko:K07042	sad:SAAV_1562
ko:K01012	sad:SAAV_2491
ko:K00833	sad:SAAV_2492
ko:K01935	sad:SAAV_2493
ko:K00865	sad:SAAV_2498
ko:K00077	sad:SAAV_2509
ko:K08170	sad:SAAV_2510
ko:K05846	sad:SAAV_2511
ko:K05845	sad:SAAV_2512
ko:K05846	sad:SAAV_2513
ko:K02069	sad:SAAV_2520
ko:K02068	sad:SAAV_2521
ko:K06969	sad:SAAV_1046
ko:K00425	sad:SAAV_1051
ko:K00426	sad:SAAV_1052
ko:K01462	sad:SAAV_1056
ko:K00161	sad:SAAV_1058
ko:K00162	sad:SAAV_1059
ko:K00627	sad:SAAV_1060
ko:K00382	sad:SAAV_1061
ko:K03322	sad:SAAV_1071
ko:K06207	sad:SAAV_1075
ko:K03588	sad:SAAV_1079
ko:K02259	sad:SAAV_1081
ko:K08976	sad:SAAV_1083
ko:K01126	sad:SAAV_1087
ko:K00954	sad:SAAV_1091
ko:K07040	sad:SAAV_1093
ko:K02911	sad:SAAV_1094
ko:K02016	sad:SAAV_1099
ko:K02015	sad:SAAV_1100
ko:K02434	sad:SAAV_1965
ko:K02435	sad:SAAV_1967
ko:K01972	sad:SAAV_1970
ko:K03657	sad:SAAV_1971
ko:K01756	sad:SAAV_1974
ko:K00763	sad:SAAV_1980
ko:K07636	sad:SAAV_1682
ko:K00031	sad:SAAV_1684
ko:K01647	sad:SAAV_1685
ko:K00873	sad:SAAV_1687
ko:K00850	sad:SAAV_1688
ko:K01962	sad:SAAV_1709
ko:K01963	sad:SAAV_1710
ko:K02337	sad:SAAV_1712
ko:K00259	sad:SAAV_1719
ko:K00925	sad:SAAV_1721
ko:K11065	sad:SAAV_1723
ko:K07090	sad:SAAV_1724
ko:K03151	sad:SAAV_1725
ko:K04487	sad:SAAV_1726
ko:K02986	sad:SAAV_1730
ko:K01126	sad:SAAV_1731
ko:K09765	sad:SAAV_2657
ko:K06978	sad:SAAV_2660
ko:K01579	sad:SAAV_2663
ko:K08600	sad:SAAV_1101
ko:K01918	sad:SAAV_2664
ko:K00606	sad:SAAV_2665
ko:K00077	sad:SAAV_2666
ko:K01575	sad:SAAV_2667
ko:K01623	sad:SAAV_2672
ko:K00116	sad:SAAV_2673
ko:K01895	sad:SAAV_2675
ko:K03300	sad:SAAV_2684
ko:K00432	sad:SAAV_2688
ko:K00655	sad:SAAV_1737
ko:K01866	sad:SAAV_1739
ko:K01938	sad:SAAV_1742
ko:K01895	sad:SAAV_1743
ko:K04766	sad:SAAV_1744
ko:K04768	sad:SAAV_1745
ko:K02529	sad:SAAV_1746
ko:K01924	sad:SAAV_1750
ko:K03466	sad:SAAV_1751
ko:K06878	sad:SAAV_1752
ko:K03439	sad:SAAV_1758
ko:K00824	sad:SAAV_1760
ko:K07007	sad:SAAV_1765
ko:K01869	sad:SAAV_1768
ko:K07139	sad:SAAV_1771
ko:K00794	sad:SAAV_1777
ko:K00793	sad:SAAV_1779
ko:K11752	sad:SAAV_1780
ko:K03893	sad:SAAV_1784
ko:K00926	sad:SAAV_2701
ko:K03758	sad:SAAV_2702
ko:K00611	sad:SAAV_2703
ko:K01809	sad:SAAV_2712
ko:K03070	sad:SAAV_2719
ko:K03076	sad:SAAV_2724
ko:K00432	sad:SAAV_1279
ko:K03665	sad:SAAV_1280
ko:K01915	sad:SAAV_1283
ko:K01620	sad:SAAV_1295
ko:K06131	sad:SAAV_1297
ko:K07778	sad:SAAV_1300
ko:K00928	sad:SAAV_1306
ko:K00003	sad:SAAV_1308
ko:K01733	sad:SAAV_1309
ko:K00872	sad:SAAV_1310
ko:K03781	sad:SAAV_1314
ko:K02913	sad:SAAV_1315
ko:K02954	sad:SAAV_1316
ko:K00364	sad:SAAV_1317
ko:K01356	sad:SAAV_1320
ko:K00615	sad:SAAV_1323
ko:K03547	sad:SAAV_1326
ko:K03282	sad:SAAV_1328
ko:K01681	sad:SAAV_1331
ko:K07107	sad:SAAV_1332
ko:K08591	sad:SAAV_1334
ko:K02622	sad:SAAV_1335
ko:K02621	sad:SAAV_1336
ko:K03310	sad:SAAV_1337
ko:K02787	sad:SAAV_2251
ko:K02788	sad:SAAV_2251
ko:K12410	sad:SAAV_2258
ko:K01575	sad:SAAV_2267
ko:K01652	sad:SAAV_2268
ko:K02996	sad:SAAV_2278
ko:K02871	sad:SAAV_2279
ko:K06173	sad:SAAV_2281
ko:K02879	sad:SAAV_2285
ko:K03040	sad:SAAV_2286
ko:K02948	sad:SAAV_2287
ko:K02952	sad:SAAV_2288
ko:K02919	sad:SAAV_2289
ko:K02518	sad:SAAV_2290
ko:K03076	sad:SAAV_2292
ko:K02876	sad:SAAV_2293
ko:K02907	sad:SAAV_2294
ko:K02988	sad:SAAV_2295
ko:K02881	sad:SAAV_2296
ko:K02933	sad:SAAV_2297
ko:K07667	sad:SAAV_2134
ko:K01929	sad:SAAV_2136
ko:K01921	sad:SAAV_2137
ko:K05837	sad:SAAV_2138
ko:K06950	sad:SAAV_2143
ko:K03217	sad:SAAV_2144
ko:K00788	sad:SAAV_2145
ko:K00878	sad:SAAV_2146
ko:K03707	sad:SAAV_2148
ko:K02372	sad:SAAV_2154
ko:K00790	sad:SAAV_2155
ko:K02114	sad:SAAV_2157
ko:K02112	sad:SAAV_2158
ko:K02115	sad:SAAV_2159
ko:K02111	sad:SAAV_2160
ko:K02113	sad:SAAV_2161
ko:K02109	sad:SAAV_2162
ko:K02110	sad:SAAV_2163
ko:K02108	sad:SAAV_2164
ko:K00761	sad:SAAV_2167
ko:K00600	sad:SAAV_2168
ko:K07566	sad:SAAV_2171
ko:K02493	sad:SAAV_2172
ko:K02835	sad:SAAV_2173
ko:K02909	sad:SAAV_2175
ko:K03628	sad:SAAV_2176
ko:K00790	sad:SAAV_2179
ko:K01624	sad:SAAV_2180
ko:K01937	sad:SAAV_2182
ko:K00974	sad:SAAV_1444
ko:K13853	sad:SAAV_1747
ko:K01077	sad:SAAV_2695
ko:K04517	sad:SAAV_1345
ko:K01958	sad:SAAV_1080
ko:K01906	sad:SAAV_2489
ko:K13732	sad:SAAV_2568
ko:K08093	sad:SAAV_0533
ko:K01174	sad:SAAV_1303
ko:K07681	sad:SAAV_1950
ko:K07516	sad:SAAV_0197
ko:K03471	sad:SAAV_1107
ko:K00241	sad:SAAV_1115
ko:K03480	sad:SAAV_1338
ko:K00318	sad:SAAV_1776
ko:K11039	sad:SAAV_2083
ko:K07800	sad:SAAV_2085
ko:K00108	sad:SAAV_2678
ko:K02303	sad:SAAV_2463
ko:K13714	sad:SAAV_1017
ko:K00652	sad:SAAV_2490
ko:K11041	sad:SAAV_1141
ko:K07025	sad:SAAV_1146
ko:K07030	sad:SAAV_1198
ko:K00059	sad:SAAV_1203
ko:K09787	sad:SAAV_1209
ko:K03177	sad:SAAV_1246
ko:K08483	sad:SAAV_1049
ko:K03499	sad:SAAV_1053
ko:K11071	sad:SAAV_1065
ko:K11069	sad:SAAV_1067
ko:K01092	sad:SAAV_1073
ko:K07104	sad:SAAV_1166
ko:K02824	sad:SAAV_1170
ko:K01819	sad:SAAV_2256
ko:K00941	sad:SAAV_2147
ko:K07705	sad:SAAV_0229
ko:K03293	sad:SAAV_2378
ko:K14233	sad:SAAV_0416
ko:K14233	sad:SAAV_1896
ko:K14233	sad:SAAV_1894
ko:K11442	sad:SAAV_2232
ko:K07476	sad:SAAV_0781
ko:K05565	sad:SAAV_0586
ko:K14229	sad:SAAV_1904
ko:K14229	sad:SAAV_2219
ko:K14229	sad:SAAV_0468
ko:K06147	sad:SAAV_2494
ko:K14224	sad:SAAV_0020
ko:K14224	sad:SAAV_2223
ko:K14224	sad:SAAV_1841a
ko:K14237	sad:SAAV_0466
ko:K14237	sad:SAAV_2222
ko:K14237	sad:SAAV_1906
ko:K14228	sad:SAAV_1880
ko:K14228	sad:SAAV_1902
ko:K14228	sad:SAAV_0470
ko:K14234	sad:SAAV_0467
ko:K14234	sad:SAAV_1890
ko:K14234	sad:SAAV_1905
ko:K14199	sad:SAAV_0194
ko:K14200	sad:SAAV_1126
ko:K14203	sad:SAAV_1124
ko:K14220	sad:SAAV_0989
ko:K14220	sad:SAAV_1842
ko:K14220	sad:SAAV_2224
ko:K07052	sad:SAAV_1790
ko:K14199	sad:SAAV_1127
ko:K14204	sad:SAAV_2006
ko:K01983	sad:SAAV_0420
ko:K01990	sad:SAAV_0319
ko:K10210	sad:SAAV_2630
ko:K14228	sad:SAAV_1903
ko:K14225	sad:SAAV_0469
ko:K14225	sad:SAAV_1902a
ko:K14192	sad:SAAV_2699
ko:K14193	sad:SAAV_1096
ko:K14194	sad:SAAV_0525
ko:K14195	sad:SAAV_2562
ko:K14230	sad:SAAV_1898
ko:K14219	sad:SAAV_1143
ko:K03574	sad:SAAV_2556
ko:K11189	sad:SAAV_1048
ko:K05020	sad:SAAV_1329
ko:K07483	sad:SAAV_0361
ko:K03484	sad:SAAV_2090
ko:K00632	sad:SAAV_0196
ko:K01990	sad:SAAV_2000
ko:K14201	sad:SAAV_0757
ko:K13789	sad:SAAV_1514
ko:K14194	sad:SAAV_0524
ko:K14194	sad:SAAV_0526
ko:K14197	sad:SAAV_2484
ko:K10947	sad:SAAV_2765
ko:K14219	sad:SAAV_0732
ko:K05847	sad:SAAV_2514
ko:K07474	sad:SAAV_0805
ko:K14221	sad:SAAV_1846
ko:K14221	sad:SAAV_1892
ko:K14221	sad:SAAV_1895
ko:K14221	sad:SAAV_0021
ko:K01187	sad:SAAV_1498
ko:K07045	sad:SAAV_2646
ko:K14225	sad:SAAV_1881
ko:K14225	sad:SAAV_1882
ko:K14225	sad:SAAV_1884
ko:K14225	sad:SAAV_1883
ko:K02013	sad:SAAV_2207
ko:K00819	sad:SAAV_0153
ko:K14223	sad:SAAV_2220
ko:K14223	sad:SAAV_1886
ko:K01271	sad:SAAV_1717
ko:K07741	sad:SAAV_0827
ko:K06131	sad:SAAV_2142
ko:K14233	sad:SAAV_0988
ko:K19285	sad:SAAV_0349
ko:K01401	sad:SAAV_2706
ko:K14225	sad:SAAV_1843
ko:K14225	sad:SAAV_2112
ko:K14236	sad:SAAV_2221
ko:K14236	sad:SAAV_1889
ko:K00887	sad:SAAV_1561
ko:K05592	sad:SAAV_2135
ko:K03892	sad:SAAV_1783
