ko:K16238	kpv:KPNIH29_05445
ko:K01961	kpv:KPNIH29_23835
ko:K14392	kpv:KPNIH29_23845
ko:K02687	kpv:KPNIH29_23850
ko:K05540	kpv:KPNIH29_23855
ko:K03557	kpv:KPNIH29_23860
ko:K06901	kpv:KPNIH29_26250
ko:K07214	kpv:KPNIH29_26270
ko:K10124	kpv:KPNIH29_26280
ko:K02039	kpv:KPNIH29_26290
ko:K02036	kpv:KPNIH29_26295
ko:K02038	kpv:KPNIH29_26300
ko:K02037	kpv:KPNIH29_26305
ko:K02040	kpv:KPNIH29_26310
ko:K00820	kpv:KPNIH29_26315
ko:K04042	kpv:KPNIH29_26320
ko:K02114	kpv:KPNIH29_26340
ko:K02112	kpv:KPNIH29_26345
ko:K02115	kpv:KPNIH29_26350
ko:K02111	kpv:KPNIH29_26355
ko:K02113	kpv:KPNIH29_26360
ko:K02109	kpv:KPNIH29_26365
ko:K02110	kpv:KPNIH29_26370
ko:K02108	kpv:KPNIH29_26375
ko:K02116	kpv:KPNIH29_26380
ko:K03501	kpv:KPNIH29_26385
ko:K03495	kpv:KPNIH29_26390
ko:K18589	kpv:KPNIH29_26440
ko:K07480	kpv:KPNIH29_26465
ko:K03746	kpv:KPNIH29_26490
ko:K03194	kpv:KPNIH29_26495
ko:K06169	kpv:KPNIH29_02730
ko:K03828	kpv:KPNIH29_02735
ko:K01873	kpv:KPNIH29_02740
ko:K19229	kpv:KPNIH29_11185
ko:K01255	kpv:KPNIH29_02750
ko:K07091	kpv:KPNIH29_02755
ko:K11720	kpv:KPNIH29_02760
ko:K06915	kpv:KPNIH29_02765
ko:K06606	kpv:KPNIH29_02770
ko:K00140	kpv:KPNIH29_02775
ko:K03337	kpv:KPNIH29_02780
ko:K03338	kpv:KPNIH29_02795
ko:K03336	kpv:KPNIH29_02805
ko:K00010	kpv:KPNIH29_02810
ko:K06605	kpv:KPNIH29_02815
ko:K03335	kpv:KPNIH29_02820
ko:K05813	kpv:KPNIH29_02825
ko:K05816	kpv:KPNIH29_02830
ko:K05815	kpv:KPNIH29_02840
ko:K05814	kpv:KPNIH29_02845
ko:K12957	kpv:KPNIH29_02850
ko:K01673	kpv:KPNIH29_02860
ko:K07483	kpv:KPNIH29_02960
ko:K00537	kpv:KPNIH29_02965
ko:K07483	kpv:KPNIH29_02995
ko:K18325	kpv:KPNIH29_07105
ko:K06048	kpv:KPNIH29_07140
ko:K02035	kpv:KPNIH29_07145
ko:K02033	kpv:KPNIH29_07150
ko:K02034	kpv:KPNIH29_07155
ko:K06016	kpv:KPNIH29_07170
ko:K00375	kpv:KPNIH29_07185
ko:K02030	kpv:KPNIH29_07190
ko:K02029	kpv:KPNIH29_07195
ko:K02029	kpv:KPNIH29_07200
ko:K02028	kpv:KPNIH29_07205
ko:K15373	kpv:KPNIH29_07210
ko:K15372	kpv:KPNIH29_07215
ko:K02034	kpv:KPNIH29_07230
ko:K02033	kpv:KPNIH29_07235
ko:K02035	kpv:KPNIH29_07240
ko:K02167	kpv:KPNIH29_07260
ko:K02168	kpv:KPNIH29_07265
ko:K16053	kpv:KPNIH29_07275
ko:K03566	kpv:KPNIH29_07280
ko:K00864	kpv:KPNIH29_07290
ko:K00615	kpv:KPNIH29_07300
ko:K00615	kpv:KPNIH29_07305
ko:K17203	kpv:KPNIH29_07320
ko:K17204	kpv:KPNIH29_07325
ko:K17202	kpv:KPNIH29_07335
ko:K02362	kpv:KPNIH29_07340
ko:K07214	kpv:KPNIH29_07350
ko:K02364	kpv:KPNIH29_07360
ko:K02013	kpv:KPNIH29_07365
ko:K00285	kpv:KPNIH29_15805
ko:K04764	kpv:KPNIH29_15815
ko:K01890	kpv:KPNIH29_15820
ko:K01889	kpv:KPNIH29_15825
ko:K02887	kpv:KPNIH29_15830
ko:K02916	kpv:KPNIH29_15835
ko:K02520	kpv:KPNIH29_15840
ko:K01868	kpv:KPNIH29_15845
ko:K07283	kpv:KPNIH29_15855
ko:K16370	kpv:KPNIH29_15860
ko:K03832	kpv:KPNIH29_15875
ko:K09780	kpv:KPNIH29_15880
ko:K06131	kpv:KPNIH29_15900
ko:K09901	kpv:KPNIH29_15905
ko:K10716	kpv:KPNIH29_15910
ko:K10823	kpv:KPNIH29_15915
ko:K15583	kpv:KPNIH29_15920
ko:K15582	kpv:KPNIH29_15925
ko:K15581	kpv:KPNIH29_15930
ko:K15580	kpv:KPNIH29_15935
ko:K04072	kpv:KPNIH29_15955
ko:K03746	kpv:KPNIH29_15970
ko:K00963	kpv:KPNIH29_15975
ko:K07001	kpv:KPNIH29_15985
ko:K09858	kpv:KPNIH29_15990
ko:K01433	kpv:KPNIH29_15995
ko:K03719	kpv:KPNIH29_16010
ko:K00374	kpv:KPNIH29_16020
ko:K00373	kpv:KPNIH29_16025
ko:K00371	kpv:KPNIH29_16030
ko:K00370	kpv:KPNIH29_16035
ko:K02575	kpv:KPNIH29_16045
ko:K07673	kpv:KPNIH29_16050
ko:K07684	kpv:KPNIH29_16055
ko:K00372	kpv:KPNIH29_16065
ko:K00362	kpv:KPNIH29_16070
ko:K07168	kpv:KPNIH29_17465
ko:K01251	kpv:KPNIH29_17470
ko:K00768	kpv:KPNIH29_17475
ko:K02233	kpv:KPNIH29_17480
ko:K09802	kpv:KPNIH29_17485
ko:K07470	kpv:KPNIH29_17495
ko:K07258	kpv:KPNIH29_17500
ko:K01141	kpv:KPNIH29_17505
ko:K02355	kpv:KPNIH29_17510
ko:K03737	kpv:KPNIH29_17520
ko:K02588	kpv:KPNIH29_17525
ko:K02586	kpv:KPNIH29_17530
ko:K02591	kpv:KPNIH29_17535
ko:K02593	kpv:KPNIH29_17540
ko:K02587	kpv:KPNIH29_17550
ko:K02592	kpv:KPNIH29_17555
ko:K02596	kpv:KPNIH29_17560
ko:K13819	kpv:KPNIH29_17565
ko:K04487	kpv:KPNIH29_17570
ko:K02594	kpv:KPNIH29_17575
ko:K02595	kpv:KPNIH29_17580
ko:K02597	kpv:KPNIH29_17585
ko:K03769	kpv:KPNIH29_17590
ko:K03839	kpv:KPNIH29_17595
ko:K02584	kpv:KPNIH29_17605
ko:K02585	kpv:KPNIH29_17610
ko:K15790	kpv:KPNIH29_17615
ko:K00765	kpv:KPNIH29_17635
ko:K00013	kpv:KPNIH29_17640
ko:K00817	kpv:KPNIH29_17645
ko:K01089	kpv:KPNIH29_17650
ko:K02501	kpv:KPNIH29_17655
ko:K01814	kpv:KPNIH29_17660
ko:K02500	kpv:KPNIH29_17665
ko:K11755	kpv:KPNIH29_17670
ko:K03735	kpv:KPNIH29_19285
ko:K04019	kpv:KPNIH29_19290
ko:K04023	kpv:KPNIH29_19295
ko:K04022	kpv:KPNIH29_19300
ko:K04024	kpv:KPNIH29_19305
ko:K04021	kpv:KPNIH29_19310
ko:K04028	kpv:KPNIH29_19315
ko:K04027	kpv:KPNIH29_19320
ko:K04020	kpv:KPNIH29_19325
ko:K04032	kpv:KPNIH29_19330
ko:K04030	kpv:KPNIH29_19335
ko:K04029	kpv:KPNIH29_19340
ko:K04031	kpv:KPNIH29_19345
ko:K00029	kpv:KPNIH29_19350
ko:K00616	kpv:KPNIH29_19355
ko:K00615	kpv:KPNIH29_19360
ko:K12945	kpv:KPNIH29_19370
ko:K18324	kpv:KPNIH29_19380
ko:K01439	kpv:KPNIH29_19390
ko:K06999	kpv:KPNIH29_19400
ko:K06957	kpv:KPNIH29_19405
ko:K07054	kpv:KPNIH29_19410
ko:K01923	kpv:KPNIH29_19415
ko:K07287	kpv:KPNIH29_19420
ko:K01714	kpv:KPNIH29_19425
ko:K03567	kpv:KPNIH29_19430
ko:K03564	kpv:KPNIH29_19435
ko:K03548	kpv:KPNIH29_19440
ko:K00537	kpv:KPNIH29_19455
ko:K10763	kpv:KPNIH29_19465
ko:K02824	kpv:KPNIH29_19470
ko:K00761	kpv:KPNIH29_19475
ko:K01223	kpv:KPNIH29_19480
ko:K18673	kpv:KPNIH29_19485
ko:K01933	kpv:KPNIH29_19490
ko:K11175	kpv:KPNIH29_19495
ko:K00937	kpv:KPNIH29_19500
ko:K01524	kpv:KPNIH29_19505
ko:K06871	kpv:KPNIH29_19530
ko:K01951	kpv:KPNIH29_19540
ko:K00088	kpv:KPNIH29_19545
ko:K06042	kpv:KPNIH29_21415
ko:K02227	kpv:KPNIH29_21420
ko:K02224	kpv:KPNIH29_21425
ko:K01699	kpv:KPNIH29_21450
ko:K13919	kpv:KPNIH29_21455
ko:K13920	kpv:KPNIH29_21460
ko:K13923	kpv:KPNIH29_21485
ko:K13922	kpv:KPNIH29_21505
ko:K13921	kpv:KPNIH29_21510
ko:K04031	kpv:KPNIH29_21525
ko:K04029	kpv:KPNIH29_21530
ko:K16651	kpv:KPNIH29_21540
ko:K04720	kpv:KPNIH29_21545
ko:K01448	kpv:KPNIH29_21550
ko:K14682	kpv:KPNIH29_21555
ko:K03581	kpv:KPNIH29_21565
ko:K03582	kpv:KPNIH29_21570
ko:K01407	kpv:KPNIH29_21575
ko:K03583	kpv:KPNIH29_21580
ko:K02681	kpv:KPNIH29_21585
ko:K02680	kpv:KPNIH29_21595
ko:K02679	kpv:KPNIH29_21600
ko:K13292	kpv:KPNIH29_21610
ko:K08484	kpv:KPNIH29_21615
ko:K08311	kpv:KPNIH29_21620
ko:K03573	kpv:KPNIH29_21630
ko:K08227	kpv:KPNIH29_21650
ko:K05939	kpv:KPNIH29_21655
ko:K02529	kpv:KPNIH29_21665
ko:K13637	kpv:KPNIH29_21675
ko:K05350	kpv:KPNIH29_21680
ko:K18140	kpv:KPNIH29_23865
ko:K18141	kpv:KPNIH29_23870
ko:K18142	kpv:KPNIH29_23875
ko:K00014	kpv:KPNIH29_23920
ko:K07566	kpv:KPNIH29_23925
ko:K07479	kpv:KPNIH29_23930
ko:K03747	kpv:KPNIH29_23935
ko:K04096	kpv:KPNIH29_23940
ko:K01462	kpv:KPNIH29_23945
ko:K00604	kpv:KPNIH29_23950
ko:K03500	kpv:KPNIH29_23955
ko:K03499	kpv:KPNIH29_23960
ko:K03282	kpv:KPNIH29_23965
ko:K02879	kpv:KPNIH29_23980
ko:K03040	kpv:KPNIH29_23985
ko:K02986	kpv:KPNIH29_23990
ko:K02948	kpv:KPNIH29_23995
ko:K02952	kpv:KPNIH29_24000
ko:K03076	kpv:KPNIH29_24005
ko:K02876	kpv:KPNIH29_24010
ko:K02907	kpv:KPNIH29_24015
ko:K09017	kpv:KPNIH29_09580
ko:K02988	kpv:KPNIH29_24020
ko:K02881	kpv:KPNIH29_24025
ko:K02933	kpv:KPNIH29_24030
ko:K02994	kpv:KPNIH29_24035
ko:K02954	kpv:KPNIH29_24040
ko:K02931	kpv:KPNIH29_24045
ko:K02895	kpv:KPNIH29_24050
ko:K02874	kpv:KPNIH29_24055
ko:K02961	kpv:KPNIH29_24060
ko:K02904	kpv:KPNIH29_24065
ko:K02878	kpv:KPNIH29_24070
ko:K02982	kpv:KPNIH29_24075
ko:K02890	kpv:KPNIH29_24080
ko:K02965	kpv:KPNIH29_24085
ko:K02886	kpv:KPNIH29_24090
ko:K02892	kpv:KPNIH29_24095
ko:K02926	kpv:KPNIH29_24100
ko:K02906	kpv:KPNIH29_24105
ko:K02946	kpv:KPNIH29_24110
ko:K02506	kpv:KPNIH29_24115
ko:K03594	kpv:KPNIH29_24120
ko:K02192	kpv:KPNIH29_24125
ko:K03201	kpv:KPNIH29_26530
ko:K03203	kpv:KPNIH29_26535
ko:K03204	kpv:KPNIH29_26540
ko:K03196	kpv:KPNIH29_26550
ko:K18768	kpv:KPNIH29_26585
ko:K18320	kpv:KPNIH29_26650
ko:K03503	kpv:KPNIH29_26750
ko:K03502	kpv:KPNIH29_26755
ko:K01479	kpv:KPNIH29_26785
ko:K01468	kpv:KPNIH29_26790
ko:K03457	kpv:KPNIH29_26795
ko:K07483	kpv:KPNIH29_03015
ko:K01338	kpv:KPNIH29_03065
ko:K07454	kpv:KPNIH29_03070
ko:K01198	kpv:KPNIH29_03080
ko:K03292	kpv:KPNIH29_03085
ko:K01805	kpv:KPNIH29_03090
ko:K02024	kpv:KPNIH29_03100
ko:K00574	kpv:KPNIH29_03125
ko:K09701	kpv:KPNIH29_03130
ko:K03098	kpv:KPNIH29_03155
ko:K07787	kpv:KPNIH29_03165
ko:K07798	kpv:KPNIH29_03170
ko:K07810	kpv:KPNIH29_03175
ko:K07796	kpv:KPNIH29_03180
ko:K07665	kpv:KPNIH29_03190
ko:K07644	kpv:KPNIH29_03195
ko:K13926	kpv:KPNIH29_03250
ko:K01993	kpv:KPNIH29_03255
ko:K01867	kpv:KPNIH29_03260
ko:K02058	kpv:KPNIH29_03265
ko:K02056	kpv:KPNIH29_03270
ko:K02057	kpv:KPNIH29_03275
ko:K02057	kpv:KPNIH29_03280
ko:K00355	kpv:KPNIH29_03285
ko:K02015	kpv:KPNIH29_07370
ko:K02015	kpv:KPNIH29_07375
ko:K08225	kpv:KPNIH29_07380
ko:K02016	kpv:KPNIH29_07385
ko:K02361	kpv:KPNIH29_07390
ko:K02363	kpv:KPNIH29_07395
ko:K01252	kpv:KPNIH29_07400
ko:K00216	kpv:KPNIH29_07405
ko:K06200	kpv:KPNIH29_07415
ko:K08317	kpv:KPNIH29_07440
ko:K02056	kpv:KPNIH29_07445
ko:K02057	kpv:KPNIH29_07450
ko:K02058	kpv:KPNIH29_07455
ko:K07483	kpv:KPNIH29_07465
ko:K00899	kpv:KPNIH29_07475
ko:K08963	kpv:KPNIH29_07480
ko:K01093	kpv:KPNIH29_07485
ko:K07783	kpv:KPNIH29_07490
ko:K01092	kpv:KPNIH29_07495
ko:K01485	kpv:KPNIH29_07505
ko:K10974	kpv:KPNIH29_07515
ko:K08964	kpv:KPNIH29_07520
ko:K00058	kpv:KPNIH29_07530
ko:K10440	kpv:KPNIH29_07540
ko:K10440	kpv:KPNIH29_07545
ko:K10441	kpv:KPNIH29_07550
ko:K10439	kpv:KPNIH29_07555
ko:K08351	kpv:KPNIH29_07560
ko:K08967	kpv:KPNIH29_07565
ko:K09880	kpv:KPNIH29_07570
ko:K14287	kpv:KPNIH29_07575
ko:K03805	kpv:KPNIH29_07595
ko:K03386	kpv:KPNIH29_07600
ko:K03387	kpv:KPNIH29_07605
ko:K11932	kpv:KPNIH29_07610
ko:K06140	kpv:KPNIH29_07615
ko:K01169	kpv:KPNIH29_07620
ko:K03326	kpv:KPNIH29_07625
ko:K12973	kpv:KPNIH29_07630
ko:K03704	kpv:KPNIH29_07635
ko:K01854	kpv:KPNIH29_17705
ko:K08679	kpv:KPNIH29_17735
ko:K00012	kpv:KPNIH29_17750
ko:K01790	kpv:KPNIH29_17755
ko:K00067	kpv:KPNIH29_17760
ko:K00973	kpv:KPNIH29_17765
ko:K01840	kpv:KPNIH29_17775
ko:K00971	kpv:KPNIH29_17780
ko:K00033	kpv:KPNIH29_17785
ko:K03606	kpv:KPNIH29_17790
ko:K16692	kpv:KPNIH29_17830
ko:K01991	kpv:KPNIH29_17835
ko:K00963	kpv:KPNIH29_17855
ko:K07289	kpv:KPNIH29_17870
ko:K01494	kpv:KPNIH29_17875
ko:K00876	kpv:KPNIH29_17880
ko:K01247	kpv:KPNIH29_17885
ko:K04046	kpv:KPNIH29_17890
ko:K07660	kpv:KPNIH29_17900
ko:K07799	kpv:KPNIH29_17925
ko:K07788	kpv:KPNIH29_17930
ko:K07789	kpv:KPNIH29_17935
ko:K18326	kpv:KPNIH29_17940
ko:K07642	kpv:KPNIH29_17945
ko:K07664	kpv:KPNIH29_17950
ko:K08303	kpv:KPNIH29_17955
ko:K03601	kpv:KPNIH29_19550
ko:K03977	kpv:KPNIH29_19565
ko:K17713	kpv:KPNIH29_19570
ko:K01892	kpv:KPNIH29_19580
ko:K03526	kpv:KPNIH29_19585
ko:K15539	kpv:KPNIH29_19590
ko:K06941	kpv:KPNIH29_19595
ko:K00940	kpv:KPNIH29_19600
ko:K05367	kpv:KPNIH29_19605
ko:K06894	kpv:KPNIH29_19610
ko:K01011	kpv:KPNIH29_19615
ko:K07751	kpv:KPNIH29_19635
ko:K04755	kpv:KPNIH29_19645
ko:K04044	kpv:KPNIH29_19650
ko:K04082	kpv:KPNIH29_19655
ko:K13628	kpv:KPNIH29_19660
ko:K04488	kpv:KPNIH29_19665
ko:K04487	kpv:KPNIH29_19670
ko:K13643	kpv:KPNIH29_19675
ko:K15396	kpv:KPNIH29_19680
ko:K01092	kpv:KPNIH29_19685
ko:K05820	kpv:KPNIH29_19710
ko:K05817	kpv:KPNIH29_19715
ko:K05709	kpv:KPNIH29_19725
ko:K15977	kpv:KPNIH29_19745
ko:K00600	kpv:KPNIH29_19750
ko:K05916	kpv:KPNIH29_19755
ko:K04751	kpv:KPNIH29_19760
ko:K07715	kpv:KPNIH29_19765
ko:K07711	kpv:KPNIH29_19775
ko:K01952	kpv:KPNIH29_19780
ko:K18691	kpv:KPNIH29_19790
ko:K11991	kpv:KPNIH29_19795
ko:K18697	kpv:KPNIH29_19800
ko:K02761	kpv:KPNIH29_21685
ko:K01586	kpv:KPNIH29_21695
