ko:K09796	nmx:NMA510612_1966
ko:K09781	nmx:NMA510612_1031
ko:K11105	nmx:NMA510612_1033
ko:K01772	nmx:NMA510612_1036
ko:K00773	nmx:NMA510612_1037
ko:K01868	nmx:NMA510612_1040
ko:K02520	nmx:NMA510612_1041
ko:K02916	nmx:NMA510612_1042
ko:K02887	nmx:NMA510612_1043
ko:K01889	nmx:NMA510612_1045
ko:K01890	nmx:NMA510612_1048
ko:K04764	nmx:NMA510612_1049
ko:K07113	nmx:NMA510612_1051
ko:K00833	nmx:NMA510612_1052
ko:K01935	nmx:NMA510612_1053
ko:K03181	nmx:NMA510612_1054
ko:K03179	nmx:NMA510612_1055
ko:K02806	nmx:NMA510612_1056
ko:K06023	nmx:NMA510612_1057
ko:K06958	nmx:NMA510612_1058
ko:K14540	nmx:NMA510612_1059
ko:K06024	nmx:NMA510612_1061
ko:K03631	nmx:NMA510612_1062
ko:K07491	nmx:NMA510612_1873
ko:K01524	nmx:NMA510612_1877
ko:K01867	nmx:NMA510612_1881
ko:K03695	nmx:NMA510612_1882
ko:K14260	nmx:NMA510612_1883
ko:K01821	nmx:NMA510612_1884
ko:K00260	nmx:NMA510612_1886
ko:K01091	nmx:NMA510612_1887
ko:K03565	nmx:NMA510612_1889
ko:K06194	nmx:NMA510612_1893
ko:K03787	nmx:NMA510612_1894
ko:K00135	nmx:NMA510612_1899
ko:K06200	nmx:NMA510612_1903
ko:K16087	nmx:NMA510612_1905
ko:K00928	nmx:NMA510612_1907
ko:K00989	nmx:NMA510612_1909
ko:K05896	nmx:NMA510612_1914
ko:K00763	nmx:NMA510612_1915
ko:K01887	nmx:NMA510612_1916
ko:K02029	nmx:NMA510612_1921
ko:K01752	nmx:NMA510612_0067
ko:K00097	nmx:NMA510612_0093
ko:K10107	nmx:NMA510612_0209
ko:K01991	nmx:NMA510612_0210
ko:K01791	nmx:NMA510612_0211
ko:K01784	nmx:NMA510612_0215
ko:K00973	nmx:NMA510612_0217
ko:K01790	nmx:NMA510612_0218
ko:K03686	nmx:NMA510612_0221
ko:K02237	nmx:NMA510612_0223
ko:K06204	nmx:NMA510612_0230
ko:K00286	nmx:NMA510612_0231
ko:K06997	nmx:NMA510612_0233
ko:K02669	nmx:NMA510612_0234
ko:K02670	nmx:NMA510612_0235
ko:K03305	nmx:NMA510612_0239
ko:K02836	nmx:NMA510612_0241
ko:K07001	nmx:NMA510612_0242
ko:K15977	nmx:NMA510612_0243
ko:K09930	nmx:NMA510612_0245
ko:K09929	nmx:NMA510612_0248
ko:K03088	nmx:NMA510612_0249
ko:K07566	nmx:NMA510612_0257
ko:K01945	nmx:NMA510612_0258
ko:K03522	nmx:NMA510612_0261
ko:K03521	nmx:NMA510612_0262
ko:K02841	nmx:NMA510612_0263
ko:K03183	nmx:NMA510612_1068
ko:K00950	nmx:NMA510612_1071
ko:K03666	nmx:NMA510612_1074
ko:K07262	nmx:NMA510612_1075
ko:K03564	nmx:NMA510612_1076
ko:K04763	nmx:NMA510612_1078
ko:K02192	nmx:NMA510612_1079
ko:K00067	nmx:NMA510612_1083
ko:K01923	nmx:NMA510612_1084
ko:K00962	nmx:NMA510612_1085
ko:K09792	nmx:NMA510612_1086
ko:K01778	nmx:NMA510612_1088
ko:K01738	nmx:NMA510612_1090
ko:K03100	nmx:NMA510612_1094
ko:K03596	nmx:NMA510612_1095
ko:K01243	nmx:NMA510612_1096
ko:K02670	nmx:NMA510612_1097
ko:K02341	nmx:NMA510612_1098
ko:K02676	nmx:NMA510612_1099
ko:K03424	nmx:NMA510612_1100
ko:K09712	nmx:NMA510612_1101
ko:K07390	nmx:NMA510612_1102
ko:K00761	nmx:NMA510612_1104
ko:K01719	nmx:NMA510612_1108
ko:K02496	nmx:NMA510612_1109
ko:K02498	nmx:NMA510612_1110
ko:K01599	nmx:NMA510612_1111
ko:K04485	nmx:NMA510612_1113
ko:K03972	nmx:NMA510612_1116
ko:K03582	nmx:NMA510612_1117
ko:K07223	nmx:NMA510612_1118
ko:K02424	nmx:NMA510612_1119
ko:K10009	nmx:NMA510612_1120
ko:K01807	nmx:NMA510612_1924
ko:K01770	nmx:NMA510612_1925
ko:K00991	nmx:NMA510612_1926
ko:K02342	nmx:NMA510612_1927
ko:K00925	nmx:NMA510612_1933
ko:K04084	nmx:NMA510612_1935
ko:K03775	nmx:NMA510612_1939
ko:K03664	nmx:NMA510612_1943
ko:K02843	nmx:NMA510612_1944
ko:K00567	nmx:NMA510612_1947
ko:K01439	nmx:NMA510612_1949
ko:K03070	nmx:NMA510612_1954
ko:K03086	nmx:NMA510612_1956
ko:K16087	nmx:NMA510612_1959
ko:K01937	nmx:NMA510612_1963
ko:K01897	nmx:NMA510612_1964
ko:K00566	nmx:NMA510612_1965
ko:K00901	nmx:NMA510612_1967
ko:K01920	nmx:NMA510612_1969
ko:K01886	nmx:NMA510612_1970
ko:K02444	nmx:NMA510612_1971
ko:K00684	nmx:NMA510612_0080
ko:K03310	nmx:NMA510612_0094
ko:K08281	nmx:NMA510612_0264
ko:K00134	nmx:NMA510612_0268
ko:K03555	nmx:NMA510612_0270
ko:K01885	nmx:NMA510612_0273
ko:K00537	nmx:NMA510612_0275
ko:K09812	nmx:NMA510612_0278
ko:K09811	nmx:NMA510612_0279
ko:K00927	nmx:NMA510612_0281
ko:K00790	nmx:NMA510612_0282
ko:K09943	nmx:NMA510612_0286
ko:K02527	nmx:NMA510612_0287
ko:K00033	nmx:NMA510612_0288
ko:K02535	nmx:NMA510612_0289
ko:K00018	nmx:NMA510612_0297
ko:K01874	nmx:NMA510612_0298
ko:K00820	nmx:NMA510612_0300
ko:K08304	nmx:NMA510612_0304
ko:K07243	nmx:NMA510612_0305
ko:K07224	nmx:NMA510612_0306
ko:K16301	nmx:NMA510612_0307
ko:K06193	nmx:NMA510612_0308
ko:K04042	nmx:NMA510612_0309
ko:K07025	nmx:NMA510612_0311
ko:K02064	nmx:NMA510612_0312
ko:K03442	nmx:NMA510612_0313
ko:K03743	nmx:NMA510612_0314
ko:K12267	nmx:NMA510612_0315
ko:K10010	nmx:NMA510612_1121
ko:K15778	nmx:NMA510612_1122
ko:K03768	nmx:NMA510612_1123
ko:K14445	nmx:NMA510612_1124
ko:K01056	nmx:NMA510612_1127
ko:K09801	nmx:NMA510612_1128
ko:K03798	nmx:NMA510612_1130
ko:K02427	nmx:NMA510612_1131
ko:K01698	nmx:NMA510612_1133
ko:K01760	nmx:NMA510612_1134
ko:K09007	nmx:NMA510612_1135
ko:K06182	nmx:NMA510612_1138
ko:K00858	nmx:NMA510612_1139
ko:K00075	nmx:NMA510612_1143
ko:K03327	nmx:NMA510612_1144
ko:K02502	nmx:NMA510612_1145
ko:K01939	nmx:NMA510612_1147
ko:K03799	nmx:NMA510612_1150
ko:K00939	nmx:NMA510612_1151
ko:K01591	nmx:NMA510612_1152
ko:K03274	nmx:NMA510612_1156
ko:K03427	nmx:NMA510612_1157
ko:K01154	nmx:NMA510612_1160
ko:K01153	nmx:NMA510612_1161
ko:K01153	nmx:NMA510612_1163
ko:K03694	nmx:NMA510612_1164
ko:K06891	nmx:NMA510612_1166
ko:K03704	nmx:NMA510612_1165
ko:K03592	nmx:NMA510612_1168
ko:K09889	nmx:NMA510612_1169
ko:K07462	nmx:NMA510612_1171
ko:K00970	nmx:NMA510612_1172
ko:K07397	nmx:NMA510612_1976
ko:K11175	nmx:NMA510612_1978
ko:K03772	nmx:NMA510612_1979
ko:K02339	nmx:NMA510612_1980
ko:K01255	nmx:NMA510612_1981
ko:K07091	nmx:NMA510612_1982
ko:K11720	nmx:NMA510612_1983
ko:K01682	nmx:NMA510612_1984
ko:K00611	nmx:NMA510612_1985
ko:K00053	nmx:NMA510612_1986
ko:K01653	nmx:NMA510612_1988
ko:K01652	nmx:NMA510612_1989
ko:K07152	nmx:NMA510612_1991
ko:K00765	nmx:NMA510612_1992
ko:K09968	nmx:NMA510612_1993
ko:K00013	nmx:NMA510612_1994
ko:K00817	nmx:NMA510612_1995
ko:K01693	nmx:NMA510612_1996
ko:K04774	nmx:NMA510612_2002
ko:K00995	nmx:NMA510612_2009
ko:K11073	nmx:NMA510612_2017
ko:K01872	nmx:NMA510612_2018
ko:K01834	nmx:NMA510612_2025
ko:K02621	nmx:NMA510612_2026
ko:K00334	nmx:NMA510612_0014
ko:K00333	nmx:NMA510612_0015
ko:K02078	nmx:NMA510612_0042
ko:K09458	nmx:NMA510612_0043
ko:K03453	nmx:NMA510612_0045
ko:K03092	nmx:NMA510612_0051
ko:K07491	nmx:NMA510612_0058
ko:K01414	nmx:NMA510612_0061
ko:K00332	nmx:NMA510612_0016
ko:K00331	nmx:NMA510612_0017
ko:K00330	nmx:NMA510612_0019
ko:K00340	nmx:NMA510612_0005
ko:K03657	nmx:NMA510612_0024
ko:K00339	nmx:NMA510612_0006
ko:K00338	nmx:NMA510612_0008
ko:K00337	nmx:NMA510612_0009
ko:K07461	nmx:NMA510612_0011
ko:K00341	nmx:NMA510612_0002
ko:K03711	nmx:NMA510612_0081
ko:K03110	nmx:NMA510612_0316
ko:K07461	nmx:NMA510612_0317
ko:K09800	nmx:NMA510612_0323
ko:K07862	nmx:NMA510612_0326
ko:K01940	nmx:NMA510612_0331
ko:K04773	nmx:NMA510612_0333
ko:K09903	nmx:NMA510612_0342
ko:K02357	nmx:NMA510612_0344
ko:K02967	nmx:NMA510612_0345
ko:K01934	nmx:NMA510612_0347
ko:K00116	nmx:NMA510612_0351
ko:K01265	nmx:NMA510612_0354
ko:K03271	nmx:NMA510612_0357
ko:K07460	nmx:NMA510612_0359
ko:K07056	nmx:NMA510612_0358
ko:K12262	nmx:NMA510612_0360
ko:K03979	nmx:NMA510612_0364
ko:K01883	nmx:NMA510612_0366
ko:K01142	nmx:NMA510612_0367
ko:K00133	nmx:NMA510612_0370
ko:K01494	nmx:NMA510612_1178
ko:K03554	nmx:NMA510612_1180
ko:K03977	nmx:NMA510612_1181
ko:K01892	nmx:NMA510612_1183
ko:K06177	nmx:NMA510612_1199
ko:K07018	nmx:NMA510612_1200
ko:K00797	nmx:NMA510612_1201
ko:K00606	nmx:NMA510612_1204
ko:K01918	nmx:NMA510612_1206
ko:K02494	nmx:NMA510612_1209
ko:K00919	nmx:NMA510612_1210
ko:K00948	nmx:NMA510612_1214
ko:K02897	nmx:NMA510612_1215
ko:K07258	nmx:NMA510612_1216
ko:K01754	nmx:NMA510612_1217
ko:K02045	nmx:NMA510612_1218
ko:K02047	nmx:NMA510612_1219
ko:K02046	nmx:NMA510612_1220
ko:K04564	nmx:NMA510612_1224
ko:K08084	nmx:NMA510612_1226
ko:K15984	nmx:NMA510612_2029
ko:K10764	nmx:NMA510612_2033
ko:K02030	nmx:NMA510612_2036
ko:K01676	nmx:NMA510612_2037
ko:K03499	nmx:NMA510612_2039
ko:K00941	nmx:NMA510612_2046
ko:K16868	nmx:NMA510612_2047
ko:K03469	nmx:NMA510612_2048
ko:K01297	nmx:NMA510612_2053
ko:K00432	nmx:NMA510612_2054
ko:K04095	nmx:NMA510612_0004
ko:K07160	nmx:NMA510612_0028
ko:K07043	nmx:NMA510612_0030
ko:K00982	nmx:NMA510612_0033
ko:K00254	nmx:NMA510612_0041
ko:K03781	nmx:NMA510612_0053
ko:K00215	nmx:NMA510612_0083
ko:K01491	nmx:NMA510612_0372
ko:K03149	nmx:NMA510612_0383
ko:K03154	nmx:NMA510612_0385
ko:K00788	nmx:NMA510612_0387
ko:K03153	nmx:NMA510612_0388
ko:K03568	nmx:NMA510612_0391
ko:K02493	nmx:NMA510612_0393
ko:K07084	nmx:NMA510612_0394
ko:K03745	nmx:NMA510612_0395
ko:K01595	nmx:NMA510612_0397
ko:K00057	nmx:NMA510612_0399
ko:K09888	nmx:NMA510612_0401
ko:K02871	nmx:NMA510612_0402
ko:K02996	nmx:NMA510612_0403
ko:K03576	nmx:NMA510612_0405
ko:K00411	nmx:NMA510612_0407
ko:K00412	nmx:NMA510612_0408
ko:K00413	nmx:NMA510612_0409
ko:K09760	nmx:NMA510612_0410
ko:K00760	nmx:NMA510612_0413
ko:K02821	nmx:NMA510612_0414
ko:K11189	nmx:NMA510612_0415
ko:K08483	nmx:NMA510612_0416
ko:K03147	nmx:NMA510612_0422
ko:K02671	nmx:NMA510612_1227
ko:K02672	nmx:NMA510612_1228
ko:K02673	nmx:NMA510612_1229
ko:K02655	nmx:NMA510612_1230
ko:K14267	nmx:NMA510612_1233
ko:K09861	nmx:NMA510612_1235
ko:K00031	nmx:NMA510612_1241
ko:K00785	nmx:NMA510612_1244
ko:K10806	nmx:NMA510612_1247
ko:K01259	nmx:NMA510612_1250
ko:K07287	nmx:NMA510612_1251
ko:K01714	nmx:NMA510612_1252
ko:K16345	nmx:NMA510612_1254
ko:K03218	nmx:NMA510612_1255
ko:K09793	nmx:NMA510612_1256
ko:K00791	nmx:NMA510612_1258
ko:K02356	nmx:NMA510612_1262
ko:K00641	nmx:NMA510612_1266
ko:K02919	nmx:NMA510612_1269
ko:K02909	nmx:NMA510612_1270
ko:K00297	nmx:NMA510612_1271
ko:K00549	nmx:NMA510612_1273
ko:K00382	nmx:NMA510612_1276
ko:K00241	nmx:NMA510612_1278
ko:K00242	nmx:NMA510612_1279
ko:K01448	nmx:NMA510612_2094
ko:K03530	nmx:NMA510612_2098
ko:K04561	nmx:NMA510612_2117
ko:K00368	nmx:NMA510612_2118
ko:K03760	nmx:NMA510612_2125
ko:K00831	nmx:NMA510612_2127
ko:K09748	nmx:NMA510612_2129
ko:K02600	nmx:NMA510612_2130
ko:K02519	nmx:NMA510612_2131
ko:K07318	nmx:NMA510612_0069
ko:K06186	nmx:NMA510612_0082
ko:K06173	nmx:NMA510612_0429
ko:K07043	nmx:NMA510612_0433
ko:K00655	nmx:NMA510612_0434
ko:K03273	nmx:NMA510612_0435
ko:K03835	nmx:NMA510612_0441
ko:K00568	nmx:NMA510612_0442
ko:K02204	nmx:NMA510612_0443
ko:K00851	nmx:NMA510612_0444
ko:K03299	nmx:NMA510612_0445
ko:K02063	nmx:NMA510612_0446
ko:K01673	nmx:NMA510612_0447
ko:K00969	nmx:NMA510612_0448
ko:K09710	nmx:NMA510612_0449
ko:K00783	nmx:NMA510612_0450
ko:K00954	nmx:NMA510612_0454
ko:K06177	nmx:NMA510612_0455
ko:K02237	nmx:NMA510612_0461
ko:K07458	nmx:NMA510612_0466
ko:K03578	nmx:NMA510612_0467
ko:K03578	nmx:NMA510612_0470
ko:K00620	nmx:NMA510612_0473
ko:K06518	nmx:NMA510612_0475
ko:K04083	nmx:NMA510612_0478
ko:K06213	nmx:NMA510612_0479
ko:K00239	nmx:NMA510612_1280
ko:K00240	nmx:NMA510612_1281
ko:K09159	nmx:NMA510612_1282
ko:K01647	nmx:NMA510612_1283
ko:K00164	nmx:NMA510612_1284
ko:K00658	nmx:NMA510612_1285
ko:K00382	nmx:NMA510612_1287
ko:K01903	nmx:NMA510612_1289
ko:K01902	nmx:NMA510612_1290
ko:K07491	nmx:NMA510612_1292
ko:K03701	nmx:NMA510612_1296
ko:K01613	nmx:NMA510612_1297
ko:K02014	nmx:NMA510612_1299
ko:K01658	nmx:NMA510612_1300
ko:K00766	nmx:NMA510612_1301
ko:K03923	nmx:NMA510612_1309
ko:K00325	nmx:NMA510612_1311
ko:K00324	nmx:NMA510612_1313
ko:K01079	nmx:NMA510612_1315
ko:K00602	nmx:NMA510612_1319
ko:K01448	nmx:NMA510612_1324
ko:K11068	nmx:NMA510612_2135
ko:K03310	nmx:NMA510612_2136
ko:K03611	nmx:NMA510612_2138
ko:K03719	nmx:NMA510612_2141
ko:K01775	nmx:NMA510612_2143
ko:K09157	nmx:NMA510612_2145
ko:K07166	nmx:NMA510612_2146
ko:K07320	nmx:NMA510612_2150
ko:K13038	nmx:NMA510612_2158
ko:K03060	nmx:NMA510612_2160
ko:K00942	nmx:NMA510612_2161
ko:K00759	nmx:NMA510612_2162
ko:K08303	nmx:NMA510612_2165
ko:K16087	nmx:NMA510612_2167
ko:K16087	nmx:NMA510612_2168
ko:K03808	nmx:NMA510612_2171
ko:K06192	nmx:NMA510612_2172
ko:K09857	nmx:NMA510612_2173
ko:K01246	nmx:NMA510612_2174
ko:K00281	nmx:NMA510612_2178
ko:K00832	nmx:NMA510612_2182
ko:K01736	nmx:NMA510612_2184
ko:K02622	nmx:NMA510612_2186
ko:K08311	nmx:NMA510612_2187
ko:K00748	nmx:NMA510612_0085
ko:K01069	nmx:NMA510612_0480
ko:K01952	nmx:NMA510612_0481
ko:K04751	nmx:NMA510612_0482
ko:K02013	nmx:NMA510612_0484
ko:K02015	nmx:NMA510612_0486
ko:K02015	nmx:NMA510612_0487
ko:K02016	nmx:NMA510612_0488
ko:K16087	nmx:NMA510612_0490
ko:K03650	nmx:NMA510612_0492
ko:K01347	nmx:NMA510612_0497
ko:K07173	nmx:NMA510612_0504
ko:K06202	nmx:NMA510612_0508
ko:K01586	nmx:NMA510612_0510
ko:K03308	nmx:NMA510612_0511
ko:K04078	nmx:NMA510612_0513
ko:K04077	nmx:NMA510612_0514
ko:K16087	nmx:NMA510612_0517
ko:K03342	nmx:NMA510612_0522
ko:K07248	nmx:NMA510612_0526
ko:K02065	nmx:NMA510612_0530
ko:K02066	nmx:NMA510612_0531
ko:K03777	nmx:NMA510612_1345
ko:K05541	nmx:NMA510612_1348
ko:K02048	nmx:NMA510612_1380
ko:K01589	nmx:NMA510612_1382
ko:K01657	nmx:NMA510612_1384
ko:K15738	nmx:NMA510612_1386
ko:K03975	nmx:NMA510612_1387
ko:K01875	nmx:NMA510612_2188
ko:K03778	nmx:NMA510612_2189
ko:K02835	nmx:NMA510612_2190
ko:K03424	nmx:NMA510612_2191
ko:K01424	nmx:NMA510612_2192
ko:K03431	nmx:NMA510612_2195
ko:K00796	nmx:NMA510612_2196
ko:K03182	nmx:NMA510612_2199
ko:K09458	nmx:NMA510612_2205
ko:K03308	nmx:NMA510612_2210
ko:K00262	nmx:NMA510612_2213
ko:K18139	nmx:NMA510612_2218
ko:K03585	nmx:NMA510612_2220
ko:K03577	nmx:NMA510612_2222
ko:K12942	nmx:NMA510612_2224
ko:K03583	nmx:NMA510612_2225
ko:K00406	nmx:NMA510612_2228
ko:K00405	nmx:NMA510612_2230
ko:K00404	nmx:NMA510612_2231
ko:K03559	nmx:NMA510612_2234
ko:K03561	nmx:NMA510612_2235
ko:K02067	nmx:NMA510612_0532
ko:K07323	nmx:NMA510612_0533
ko:K07122	nmx:NMA510612_0534
ko:K04754	nmx:NMA510612_0535
ko:K12500	nmx:NMA510612_0537
ko:K02909	nmx:NMA510612_0540
ko:K03599	nmx:NMA510612_0543
ko:K03600	nmx:NMA510612_0544
ko:K09117	nmx:NMA510612_0547
ko:K02970	nmx:NMA510612_0548
ko:K08309	nmx:NMA510612_0549
ko:K02071	nmx:NMA510612_0552
ko:K02072	nmx:NMA510612_0553
ko:K02073	nmx:NMA510612_0554
ko:K03186	nmx:NMA510612_0557
ko:K02116	nmx:NMA510612_0561
ko:K02108	nmx:NMA510612_0562
ko:K02110	nmx:NMA510612_0563
ko:K02109	nmx:NMA510612_0564
ko:K02113	nmx:NMA510612_0565
ko:K02111	nmx:NMA510612_0566
ko:K02115	nmx:NMA510612_0567
ko:K02112	nmx:NMA510612_0568
ko:K02114	nmx:NMA510612_0569
ko:K01878	nmx:NMA510612_0570
ko:K09923	nmx:NMA510612_0571
ko:K01879	nmx:NMA510612_0572
ko:K07270	nmx:NMA510612_0574
ko:K07270	nmx:NMA510612_0576
ko:K09761	nmx:NMA510612_0578
ko:K01092	nmx:NMA510612_0580
ko:K09858	nmx:NMA510612_0582
ko:K07491	nmx:NMA510612_0584
ko:K00600	nmx:NMA510612_1393
ko:K00681	nmx:NMA510612_1395
ko:K09794	nmx:NMA510612_1397
ko:K03841	nmx:NMA510612_1398
ko:K07115	nmx:NMA510612_1400
ko:K08591	nmx:NMA510612_1401
ko:K01633	nmx:NMA510612_1402
ko:K01515	nmx:NMA510612_1403
ko:K06199	nmx:NMA510612_1405
ko:K03466	nmx:NMA510612_1408
ko:K00147	nmx:NMA510612_1410
ko:K00931	nmx:NMA510612_1411
ko:K01649	nmx:NMA510612_1413
ko:K07039	nmx:NMA510612_1415
ko:K13292	nmx:NMA510612_1416
ko:K00930	nmx:NMA510612_1418
ko:K10763	nmx:NMA510612_1422
ko:K02471	nmx:NMA510612_1423
ko:K03675	nmx:NMA510612_2240
ko:K00951	nmx:NMA510612_2241
ko:K12340	nmx:NMA510612_2243
ko:K11003	nmx:NMA510612_2244
ko:K07131	nmx:NMA510612_2257
ko:K06945	nmx:NMA510612_2259
ko:K02169	nmx:NMA510612_2262
ko:K09789	nmx:NMA510612_2263
ko:K00652	nmx:NMA510612_2264
ko:K03319	nmx:NMA510612_2268
ko:K01480	nmx:NMA510612_2269
ko:K01585	nmx:NMA510612_2270
ko:K01876	nmx:NMA510612_2272
ko:K01058	nmx:NMA510612_2275
ko:K02968	nmx:NMA510612_2276
ko:K11073	nmx:NMA510612_2277
ko:K16087	nmx:NMA510612_2279
ko:K01776	nmx:NMA510612_2281
ko:K06925	nmx:NMA510612_2283
ko:K01448	nmx:NMA510612_2284
ko:K07444	nmx:NMA510612_2286
ko:K03574	nmx:NMA510612_2288
ko:K00997	nmx:NMA510612_2289
ko:K07090	nmx:NMA510612_2291
ko:K00059	nmx:NMA510612_0587
ko:K01951	nmx:NMA510612_0588
ko:K11085	nmx:NMA510612_0589
ko:K00645	nmx:NMA510612_0590
ko:K00648	nmx:NMA510612_0592
ko:K03621	nmx:NMA510612_0597
ko:K07101	nmx:NMA510612_0598
ko:K02911	nmx:NMA510612_0599
ko:K07040	nmx:NMA510612_0600
ko:K07056	nmx:NMA510612_0602
ko:K03217	nmx:NMA510612_0603
ko:K08998	nmx:NMA510612_0605
ko:K03536	nmx:NMA510612_0606
ko:K02914	nmx:NMA510612_0607
ko:K02313	nmx:NMA510612_0608
ko:K02338	nmx:NMA510612_0609
ko:K00937	nmx:NMA510612_0611
ko:K01869	nmx:NMA510612_0615
ko:K07726	nmx:NMA510612_0620
ko:K03075	nmx:NMA510612_0625
ko:K01803	nmx:NMA510612_0626
ko:K00573	nmx:NMA510612_0628
ko:K16088	nmx:NMA510612_0631
ko:K01322	nmx:NMA510612_0637
ko:K14682	nmx:NMA510612_0639
ko:K01448	nmx:NMA510612_1445
ko:K09803	nmx:NMA510612_1479
ko:K02471	nmx:NMA510612_1483
ko:K02291	nmx:NMA510612_1490
ko:K04044	nmx:NMA510612_1491
ko:K04755	nmx:NMA510612_1495
ko:K03474	nmx:NMA510612_2293
ko:K03584	nmx:NMA510612_2294
ko:K14170	nmx:NMA510612_2295
ko:K07552	nmx:NMA510612_2296
ko:K04517	nmx:NMA510612_2303
ko:K07234	nmx:NMA510612_2304
ko:K13771	nmx:NMA510612_2307
ko:K00925	nmx:NMA510612_2311
ko:K07090	nmx:NMA510612_2315
ko:K01659	nmx:NMA510612_2316
ko:K03417	nmx:NMA510612_2317
ko:K06901	nmx:NMA510612_2320
ko:K03531	nmx:NMA510612_2321
ko:K03590	nmx:NMA510612_2322
ko:K03589	nmx:NMA510612_2323
ko:K01921	nmx:NMA510612_2324
ko:K01924	nmx:NMA510612_2326
ko:K02563	nmx:NMA510612_2328
ko:K03588	nmx:NMA510612_2330
ko:K01925	nmx:NMA510612_2331
ko:K07126	nmx:NMA510612_2332
ko:K01000	nmx:NMA510612_2333
ko:K01929	nmx:NMA510612_2335
ko:K01928	nmx:NMA510612_2338
ko:K03587	nmx:NMA510612_2339
ko:K03586	nmx:NMA510612_2340
ko:K03438	nmx:NMA510612_2341
ko:K03925	nmx:NMA510612_2342
ko:K00762	nmx:NMA510612_0641
ko:K03789	nmx:NMA510612_0643
ko:K01624	nmx:NMA510612_0647
ko:K03733	nmx:NMA510612_0648
ko:K01662	nmx:NMA510612_0649
ko:K06168	nmx:NMA510612_0650
ko:K01845	nmx:NMA510612_0653
ko:K13288	nmx:NMA510612_0656
ko:K02687	nmx:NMA510612_0657
ko:K01961	nmx:NMA510612_0658
ko:K02160	nmx:NMA510612_0659
ko:K07568	nmx:NMA510612_0661
ko:K03923	nmx:NMA510612_0663
ko:K01955	nmx:NMA510612_0666
ko:K01956	nmx:NMA510612_0672
ko:K02674	nmx:NMA510612_0673
ko:K03593	nmx:NMA510612_0675
ko:K00484	nmx:NMA510612_0679
ko:K08978	nmx:NMA510612_0681
ko:K01938	nmx:NMA510612_0683
ko:K06942	nmx:NMA510612_0684
ko:K01866	nmx:NMA510612_0688
ko:K11753	nmx:NMA510612_0690
ko:K01870	nmx:NMA510612_0691
ko:K04762	nmx:NMA510612_1499
ko:K01962	nmx:NMA510612_1500
ko:K04075	nmx:NMA510612_1501
ko:K03437	nmx:NMA510612_1502
ko:K02558	nmx:NMA510612_1506
ko:K01012	nmx:NMA510612_1507
ko:K01687	nmx:NMA510612_1510
ko:K00381	nmx:NMA510612_1511
ko:K00380	nmx:NMA510612_1512
ko:K00956	nmx:NMA510612_1513
ko:K00957	nmx:NMA510612_1514
ko:K00390	nmx:NMA510612_1515
ko:K02302	nmx:NMA510612_1516
ko:K06207	nmx:NMA510612_1519
ko:K12573	nmx:NMA510612_1524
ko:K00088	nmx:NMA510612_1526
ko:K00990	nmx:NMA510612_1527
ko:K03594	nmx:NMA510612_1530
ko:K03594	nmx:NMA510612_1531
ko:K03644	nmx:NMA510612_1532
ko:K03801	nmx:NMA510612_1533
ko:K09158	nmx:NMA510612_1535
ko:K03648	nmx:NMA510612_1539
ko:K03427	nmx:NMA510612_1541
ko:K03427	nmx:NMA510612_1542
