ko:K12978	fpz:LA55_301
ko:K03744	fpz:LA55_385
ko:K01534	fpz:LA55_388
ko:K00057	fpz:LA55_393
ko:K04485	fpz:LA55_394
ko:K01736	fpz:LA55_397
ko:K03111	fpz:LA55_1243
ko:K03554	fpz:LA55_1247
ko:K07042	fpz:LA55_1265
ko:K06189	fpz:LA55_1266
ko:K03820	fpz:LA55_1267
ko:K17836	fpz:LA55_1270
ko:K01173	fpz:LA55_1269
ko:K01262	fpz:LA55_1271
ko:K05810	fpz:LA55_1272
ko:K03526	fpz:LA55_1273
ko:K12373	fpz:LA55_1275
ko:K00820	fpz:LA55_1277
ko:K06956	fpz:LA55_1278
ko:K05340	fpz:LA55_2080
ko:K00852	fpz:LA55_2081
ko:K01256	fpz:LA55_2085
ko:K13498	fpz:LA55_2086
ko:K07304	fpz:LA55_2088
ko:K00766	fpz:LA55_2089
ko:K01658	fpz:LA55_2090
ko:K01657	fpz:LA55_2091
ko:K03720	fpz:LA55_2092
ko:K08301	fpz:LA55_2095
ko:K00757	fpz:LA55_678
ko:K06169	fpz:LA55_679
ko:K08316	fpz:LA55_681
ko:K07263	fpz:LA55_683
ko:K11720	fpz:LA55_684
ko:K07091	fpz:LA55_685
ko:K01255	fpz:LA55_686
ko:K00088	fpz:LA55_687
ko:K00949	fpz:LA55_688
ko:K01810	fpz:LA55_689
ko:K08084	fpz:LA55_690
ko:K03624	fpz:LA55_691
ko:K03701	fpz:LA55_693
ko:K03798	fpz:LA55_694
ko:K03784	fpz:LA55_695
ko:K03070	fpz:LA55_698
ko:K01246	fpz:LA55_699
ko:K02888	fpz:LA55_700
ko:K02899	fpz:LA55_701
ko:K11074	fpz:LA55_703
ko:K11075	fpz:LA55_704
ko:K11076	fpz:LA55_705
ko:K01079	fpz:LA55_708
ko:K09799	fpz:LA55_707
ko:K01775	fpz:LA55_712
ko:K04518	fpz:LA55_714
ko:K01752	fpz:LA55_717
ko:K11717	fpz:LA55_718
ko:K13628	fpz:LA55_719
ko:K00954	fpz:LA55_721
ko:K02653	fpz:LA55_724
ko:K02652	fpz:LA55_725
ko:K01126	fpz:LA55_727
ko:K03802	fpz:LA55_728
ko:K01770	fpz:LA55_729
ko:K01069	fpz:LA55_1556
ko:K01719	fpz:LA55_1559
ko:K02426	fpz:LA55_1560
ko:K01881	fpz:LA55_1565
ko:K14287	fpz:LA55_1569
ko:K03625	fpz:LA55_1571
ko:K09160	fpz:LA55_1575
ko:K07394	fpz:LA55_1576
ko:K07090	fpz:LA55_1577
ko:K01487	fpz:LA55_1583
ko:K03439	fpz:LA55_1586
ko:K00858	fpz:LA55_1587
ko:K01992	fpz:LA55_1590
ko:K01990	fpz:LA55_1591
ko:K11312	fpz:LA55_1593
ko:K11312	fpz:LA55_1594
ko:K03424	fpz:LA55_1595
ko:K11003	fpz:LA55_1604
ko:K00335	fpz:LA55_1964
ko:K11004	fpz:LA55_1605
ko:K07305	fpz:LA55_400
ko:K04565	fpz:LA55_401
ko:K00121	fpz:LA55_405
ko:K00812	fpz:LA55_406
ko:K03631	fpz:LA55_407
ko:K01491	fpz:LA55_412
ko:K01933	fpz:LA55_413
ko:K11175	fpz:LA55_415
ko:K01588	fpz:LA55_416
ko:K01589	fpz:LA55_417
ko:K07460	fpz:LA55_419
ko:K01414	fpz:LA55_420
ko:K03168	fpz:LA55_427
ko:K03496	fpz:LA55_428
ko:K03497	fpz:LA55_429
ko:K02427	fpz:LA55_432
ko:K03101	fpz:LA55_433
ko:K01870	fpz:LA55_435
ko:K11753	fpz:LA55_437
ko:K00027	fpz:LA55_438
ko:K03977	fpz:LA55_441
ko:K00790	fpz:LA55_442
ko:K00075	fpz:LA55_443
ko:K02503	fpz:LA55_447
ko:K03688	fpz:LA55_448
ko:K03690	fpz:LA55_449
ko:K03183	fpz:LA55_450
ko:K00845	fpz:LA55_451
ko:K06190	fpz:LA55_453
ko:K06207	fpz:LA55_1284
ko:K00681	fpz:LA55_1289
ko:K04754	fpz:LA55_1290
ko:K09801	fpz:LA55_1292
ko:K03664	fpz:LA55_1294
ko:K14058	fpz:LA55_1295
ko:K01166	fpz:LA55_1296
ko:K11755	fpz:LA55_1297
ko:K02500	fpz:LA55_1298
ko:K01814	fpz:LA55_1299
ko:K02501	fpz:LA55_1300
ko:K01089	fpz:LA55_1301
ko:K00817	fpz:LA55_1302
ko:K00013	fpz:LA55_1303
ko:K00765	fpz:LA55_1304
ko:K03601	fpz:LA55_1310
ko:K01776	fpz:LA55_1322
ko:K03702	fpz:LA55_1324
ko:K01141	fpz:LA55_1325
ko:K03495	fpz:LA55_1330
ko:K01807	fpz:LA55_1333
ko:K06911	fpz:LA55_1334
ko:K02071	fpz:LA55_734
ko:K08591	fpz:LA55_735
ko:K00773	fpz:LA55_736
ko:K03210	fpz:LA55_744
ko:K03072	fpz:LA55_745
ko:K03074	fpz:LA55_746
ko:K03089	fpz:LA55_748
ko:K00800	fpz:LA55_749
ko:K03469	fpz:LA55_751
ko:K01424	fpz:LA55_752
ko:K01673	fpz:LA55_753
ko:K01153	fpz:LA55_754
ko:K01154	fpz:LA55_759
ko:K03427	fpz:LA55_762
ko:K03545	fpz:LA55_763
ko:K01358	fpz:LA55_764
ko:K03544	fpz:LA55_765
ko:K01338	fpz:LA55_766
ko:K03530	fpz:LA55_767
ko:K03770	fpz:LA55_768
ko:K00791	fpz:LA55_769
ko:K03666	fpz:LA55_770
ko:K03665	fpz:LA55_771
ko:K04088	fpz:LA55_773
ko:K04087	fpz:LA55_774
ko:K01104	fpz:LA55_775
ko:K03978	fpz:LA55_776
ko:K01733	fpz:LA55_777
ko:K01687	fpz:LA55_778
ko:K01652	fpz:LA55_779
ko:K01653	fpz:LA55_780
ko:K00053	fpz:LA55_781
ko:K03723	fpz:LA55_782
ko:K10773	fpz:LA55_786
ko:K03616	fpz:LA55_787
ko:K03675	fpz:LA55_788
ko:K07733	fpz:LA55_1612
ko:K03040	fpz:LA55_1616
ko:K07478	fpz:LA55_1617
ko:K01524	fpz:LA55_1618
ko:K03671	fpz:LA55_1619
ko:K03628	fpz:LA55_1620
ko:K01840	fpz:LA55_1621
ko:K07272	fpz:LA55_1634
ko:K15898	fpz:LA55_1639
ko:K01955	fpz:LA55_1640
ko:K15894	fpz:LA55_1649
ko:K11910	fpz:LA55_938
ko:K01874	fpz:LA55_457
ko:K01613	fpz:LA55_472
ko:K04042	fpz:LA55_476
ko:K00820	fpz:LA55_477
ko:K03305	fpz:LA55_789
ko:K02217	fpz:LA55_790
ko:K03644	fpz:LA55_791
ko:K01159	fpz:LA55_794
ko:K03550	fpz:LA55_796
ko:K09760	fpz:LA55_797
ko:K03455	fpz:LA55_802
ko:K06987	fpz:LA55_805
ko:K00948	fpz:LA55_806
ko:K02897	fpz:LA55_807
ko:K06942	fpz:LA55_810
ko:K01056	fpz:LA55_811
ko:K17836	fpz:LA55_812
ko:K02654	fpz:LA55_814
ko:K00322	fpz:LA55_815
ko:K10716	fpz:LA55_816
ko:K03305	fpz:LA55_817
ko:K03667	fpz:LA55_818
ko:K01419	fpz:LA55_819
ko:K03800	fpz:LA55_821
ko:K01866	fpz:LA55_822
ko:K18288	fpz:LA55_826
ko:K18292	fpz:LA55_827
ko:K18290	fpz:LA55_828
ko:K04762	fpz:LA55_829
ko:K03704	fpz:LA55_836
ko:K02970	fpz:LA55_838
ko:K03427	fpz:LA55_839
ko:K01154	fpz:LA55_841
ko:K02970	fpz:LA55_479
ko:K03704	fpz:LA55_480
ko:K01265	fpz:LA55_482
ko:K02621	fpz:LA55_484
ko:K18284	fpz:LA55_485
ko:K08309	fpz:LA55_486
ko:K08309	fpz:LA55_487
ko:K16052	fpz:LA55_490
ko:K02337	fpz:LA55_491
ko:K07461	fpz:LA55_492
ko:K01462	fpz:LA55_498
ko:K09808	fpz:LA55_500
ko:K09810	fpz:LA55_501
ko:K00605	fpz:LA55_503
ko:K02437	fpz:LA55_504
ko:K00282	fpz:LA55_505
ko:K00283	fpz:LA55_506
ko:K07052	fpz:LA55_507
ko:K01740	fpz:LA55_509
ko:K00651	fpz:LA55_510
ko:K00014	fpz:LA55_511
ko:K01620	fpz:LA55_1335
ko:K02887	fpz:LA55_1338
ko:K02916	fpz:LA55_1339
ko:K02520	fpz:LA55_1340
ko:K01868	fpz:LA55_1341
ko:K02437	fpz:LA55_1344
ko:K02563	fpz:LA55_1345
ko:K09747	fpz:LA55_1346
ko:K06187	fpz:LA55_1347
ko:K03762	fpz:LA55_1352
ko:K01424	fpz:LA55_1358
ko:K13282	fpz:LA55_1359
ko:K07025	fpz:LA55_1361
ko:K00012	fpz:LA55_1367
ko:K02805	fpz:LA55_1368
ko:K01784	fpz:LA55_1373
ko:K01783	fpz:LA55_1375
ko:K06041	fpz:LA55_1376
ko:K09929	fpz:LA55_1378
ko:K09930	fpz:LA55_1379
ko:K00208	fpz:LA55_1382
ko:K06966	fpz:LA55_1383
ko:K00067	fpz:LA55_1658
ko:K01790	fpz:LA55_1659
ko:K00973	fpz:LA55_1660
ko:K02377	fpz:LA55_1661
ko:K01711	fpz:LA55_1662
ko:K00971	fpz:LA55_1663
ko:K01784	fpz:LA55_1664
ko:K13012	fpz:LA55_1665
ko:K03578	fpz:LA55_1667
ko:K00031	fpz:LA55_1669
ko:K00537	fpz:LA55_1670
ko:K01897	fpz:LA55_1671
ko:K07516	fpz:LA55_1673
ko:K09794	fpz:LA55_1677
ko:K01476	fpz:LA55_1679
ko:K09859	fpz:LA55_1681
ko:K07337	fpz:LA55_1684
ko:K09701	fpz:LA55_1691
ko:K00574	fpz:LA55_1692
ko:K12573	fpz:LA55_1697
ko:K03177	fpz:LA55_1698
ko:K03685	fpz:LA55_1699
ko:K03100	fpz:LA55_1700
ko:K00286	fpz:LA55_1702
ko:K02428	fpz:LA55_1703
ko:K02527	fpz:LA55_1704
ko:K00795	fpz:LA55_1705
ko:K01004	fpz:LA55_1706
ko:K02049	fpz:LA55_115
ko:K09125	fpz:LA55_118
ko:K02494	fpz:LA55_122
ko:K00919	fpz:LA55_123
ko:K02221	fpz:LA55_126
ko:K02238	fpz:LA55_130
ko:K07566	fpz:LA55_133
ko:K02945	fpz:LA55_134
ko:K01921	fpz:LA55_136
ko:K03589	fpz:LA55_137
ko:K03590	fpz:LA55_138
ko:K03531	fpz:LA55_139
ko:K02535	fpz:LA55_140
ko:K09474	fpz:LA55_141
ko:K02343	fpz:LA55_142
ko:K02836	fpz:LA55_143
ko:K04567	fpz:LA55_144
ko:K01425	fpz:LA55_147
ko:K01915	fpz:LA55_148
ko:K02340	fpz:LA55_149
ko:K03098	fpz:LA55_150
ko:K00602	fpz:LA55_152
ko:K01939	fpz:LA55_153
ko:K00760	fpz:LA55_154
ko:K02075	fpz:LA55_156
ko:K02074	fpz:LA55_157
ko:K02077	fpz:LA55_158
ko:K06077	fpz:LA55_160
ko:K03809	fpz:LA55_161
ko:K07058	fpz:LA55_162
ko:K04066	fpz:LA55_164
ko:K01713	fpz:LA55_165
ko:K00426	fpz:LA55_167
ko:K00425	fpz:LA55_168
ko:K01626	fpz:LA55_1015
ko:K03106	fpz:LA55_1016
ko:K07090	fpz:LA55_1018
ko:K02518	fpz:LA55_1019
ko:K03499	fpz:LA55_1022
ko:K09014	fpz:LA55_1024
ko:K09013	fpz:LA55_1025
ko:K09015	fpz:LA55_1026
ko:K03671	fpz:LA55_1028
ko:K02205	fpz:LA55_1029
ko:K03574	fpz:LA55_1032
ko:K07735	fpz:LA55_1033
ko:K07447	fpz:LA55_1034
ko:K01869	fpz:LA55_1035
ko:K03643	fpz:LA55_1036
ko:K16053	fpz:LA55_1038
ko:K01494	fpz:LA55_1037
ko:K03593	fpz:LA55_1039
ko:K06131	fpz:LA55_1041
ko:K06131	fpz:LA55_1042
ko:K09823	fpz:LA55_1046
ko:K07787	fpz:LA55_1050
ko:K07798	fpz:LA55_1051
ko:K01890	fpz:LA55_1058
ko:K01889	fpz:LA55_1059
ko:K03305	fpz:LA55_1061
ko:K07727	fpz:LA55_1067
ko:K03551	fpz:LA55_1069
ko:K11535	fpz:LA55_1871
ko:K11535	fpz:LA55_1872
ko:K01619	fpz:LA55_1873
ko:K01839	fpz:LA55_1874
ko:K03525	fpz:LA55_1875
ko:K00912	fpz:LA55_1877
ko:K11085	fpz:LA55_1878
ko:K00974	fpz:LA55_1879
ko:K03611	fpz:LA55_1880
ko:K03585	fpz:LA55_1881
ko:K18138	fpz:LA55_1882
ko:K07645	fpz:LA55_1888
ko:K07071	fpz:LA55_1887
ko:K00425	fpz:LA55_1889
ko:K00426	fpz:LA55_1890
ko:K06955	fpz:LA55_1892
ko:K06955	fpz:LA55_1893
ko:K02669	fpz:LA55_1894
ko:K01681	fpz:LA55_1895
ko:K07223	fpz:LA55_1896
ko:K03075	fpz:LA55_1903
ko:K01803	fpz:LA55_1904
ko:K03431	fpz:LA55_1905
ko:K00759	fpz:LA55_1906
ko:K00658	fpz:LA55_1907
ko:K00164	fpz:LA55_1908
ko:K00240	fpz:LA55_1909
ko:K00239	fpz:LA55_1910
ko:K00242	fpz:LA55_1911
ko:K00241	fpz:LA55_1912
ko:K01647	fpz:LA55_1913
ko:K08218	fpz:LA55_1914
ko:K04564	fpz:LA55_1916
ko:K07390	fpz:LA55_1917
ko:K02114	fpz:LA55_1919
ko:K02112	fpz:LA55_1920
ko:K01153	fpz:LA55_848
ko:K07733	fpz:LA55_850
ko:K07726	fpz:LA55_855
ko:K11004	fpz:LA55_865
ko:K11003	fpz:LA55_866
ko:K00963	fpz:LA55_871
ko:K01895	fpz:LA55_872
ko:K03629	fpz:LA55_880
ko:K03424	fpz:LA55_881
ko:K01879	fpz:LA55_882
ko:K09966	fpz:LA55_884
ko:K03684	fpz:LA55_885
ko:K03703	fpz:LA55_886
ko:K09791	fpz:LA55_890
ko:K00979	fpz:LA55_891
ko:K00849	fpz:LA55_894
ko:K00965	fpz:LA55_895
ko:K08137	fpz:LA55_896
ko:K03769	fpz:LA55_898
ko:K05592	fpz:LA55_899
ko:K00942	fpz:LA55_900
ko:K03517	fpz:LA55_901
ko:K00767	fpz:LA55_902
ko:K00278	fpz:LA55_903
ko:K00748	fpz:LA55_1710
ko:K00677	fpz:LA55_1711
ko:K02372	fpz:LA55_1712
ko:K02536	fpz:LA55_1713
ko:K06142	fpz:LA55_1714
ko:K07277	fpz:LA55_1715
ko:K00099	fpz:LA55_1716
ko:K02469	fpz:LA55_1717
ko:K03648	fpz:LA55_1721
ko:K03305	fpz:LA55_1722
ko:K00382	fpz:LA55_1723
ko:K00627	fpz:LA55_1724
ko:K00163	fpz:LA55_1725
ko:K00859	fpz:LA55_1727
ko:K01867	fpz:LA55_1731
ko:K03316	fpz:LA55_1733
ko:K07106	fpz:LA55_1736
ko:K01962	fpz:LA55_1740
ko:K03555	fpz:LA55_1741
ko:K03071	fpz:LA55_1742
ko:K03733	fpz:LA55_1744
ko:K15984	fpz:LA55_1745
ko:K00951	fpz:LA55_1749
ko:K03834	fpz:LA55_1751
ko:K05516	fpz:LA55_1758
ko:K00700	fpz:LA55_513
ko:K01835	fpz:LA55_514
ko:K00975	fpz:LA55_515
ko:K00703	fpz:LA55_516
ko:K00688	fpz:LA55_517
ko:K00705	fpz:LA55_518
ko:K01878	fpz:LA55_523
ko:K01928	fpz:LA55_524
ko:K07023	fpz:LA55_525
ko:K01929	fpz:LA55_526
ko:K00133	fpz:LA55_528
ko:K12524	fpz:LA55_529
ko:K00872	fpz:LA55_530
ko:K01733	fpz:LA55_531
ko:K12308	fpz:LA55_533
ko:K03269	fpz:LA55_534
ko:K00762	fpz:LA55_535
ko:K02558	fpz:LA55_537
ko:K03218	fpz:LA55_538
ko:K15738	fpz:LA55_541
ko:K03305	fpz:LA55_542
ko:K01886	fpz:LA55_543
ko:K01610	fpz:LA55_544
ko:K01000	fpz:LA55_545
ko:K01925	fpz:LA55_546
ko:K03588	fpz:LA55_547
ko:K11179	fpz:LA55_552
ko:K03599	fpz:LA55_553
ko:K04774	fpz:LA55_554
ko:K02341	fpz:LA55_555
ko:K07574	fpz:LA55_556
ko:K01698	fpz:LA55_557
ko:K03216	fpz:LA55_559
ko:K01424	fpz:LA55_560
ko:K03305	fpz:LA55_561
ko:K04744	fpz:LA55_564
ko:K01887	fpz:LA55_565
ko:K01759	fpz:LA55_1387
ko:K09125	fpz:LA55_1389
ko:K07568	fpz:LA55_1395
ko:K09474	fpz:LA55_1397
ko:K18800	fpz:LA55_1398
ko:K03185	fpz:LA55_1399
ko:K09895	fpz:LA55_1400
ko:K01934	fpz:LA55_1401
ko:K05527	fpz:LA55_1402
ko:K03975	fpz:LA55_1403
ko:K03975	fpz:LA55_1404
ko:K03584	fpz:LA55_1405
ko:K04487	fpz:LA55_1407
ko:K08300	fpz:LA55_1408
ko:K13292	fpz:LA55_1409
ko:K00058	fpz:LA55_1411
ko:K04075	fpz:LA55_1412
ko:K03305	fpz:LA55_1413
ko:K01442	fpz:LA55_1414
ko:K09889	fpz:LA55_1419
ko:K00600	fpz:LA55_1420
ko:K05807	fpz:LA55_1423
ko:K06180	fpz:LA55_1424
ko:K02066	fpz:LA55_1426
ko:K02065	fpz:LA55_1427
ko:K02067	fpz:LA55_1428
ko:K09761	fpz:LA55_1431
ko:K03305	fpz:LA55_1432
ko:K01897	fpz:LA55_1433
ko:K03446	fpz:LA55_1435
ko:K03543	fpz:LA55_1436
ko:K01916	fpz:LA55_1438
ko:K17837	fpz:LA55_1440
ko:K02313	fpz:LA55_1
ko:K02338	fpz:LA55_2
ko:K16074	fpz:LA55_4
ko:K02536	fpz:LA55_169
ko:K00868	fpz:LA55_171
ko:K03924	fpz:LA55_173
ko:K07114	fpz:LA55_176
ko:K07114	fpz:LA55_177
ko:K07114	fpz:LA55_178
ko:K01304	fpz:LA55_180
ko:K02339	fpz:LA55_183
ko:K01873	fpz:LA55_184
ko:K01595	fpz:LA55_185
ko:K00931	fpz:LA55_189
ko:K00147	fpz:LA55_190
ko:K03189	fpz:LA55_191
ko:K03188	fpz:LA55_192
ko:K03187	fpz:LA55_193
ko:K01428	fpz:LA55_194
ko:K14048	fpz:LA55_195
ko:K03190	fpz:LA55_196
ko:K00101	fpz:LA55_197
ko:K10679	fpz:LA55_198
ko:K01775	fpz:LA55_199
ko:K01679	fpz:LA55_201
ko:K01885	fpz:LA55_202
