ko:K07062	xcu:J159_04447
ko:K08482	xcu:J159_01812
ko:K02200	xcu:J159_01815
ko:K02199	xcu:J159_01816
ko:K02198	xcu:J159_01817
ko:K02197	xcu:J159_01818
ko:K02196	xcu:J159_01819
ko:K02195	xcu:J159_01820
ko:K03088	xcu:J159_01823
ko:K08738	xcu:J159_01826
ko:K12262	xcu:J159_01828
ko:K06915	xcu:J159_02607
ko:K03408	xcu:J159_02611
ko:K03406	xcu:J159_02612
ko:K03652	xcu:J159_02613
ko:K03724	xcu:J159_02614
ko:K03600	xcu:J159_02617
ko:K03599	xcu:J159_02618
ko:K00413	xcu:J159_02619
ko:K00412	xcu:J159_02620
ko:K00411	xcu:J159_02621
ko:K00799	xcu:J159_02624
ko:K06168	xcu:J159_02625
ko:K07042	xcu:J159_02628
ko:K06189	xcu:J159_02630
ko:K03284	xcu:J159_02632
ko:K00135	xcu:J159_02633
ko:K11074	xcu:J159_02634
ko:K11075	xcu:J159_02635
ko:K11076	xcu:J159_02636
ko:K03446	xcu:J159_02638
ko:K03543	xcu:J159_02639
ko:K11073	xcu:J159_02640
ko:K12256	xcu:J159_02641
ko:K01915	xcu:J159_02642
ko:K07010	xcu:J159_02643
ko:K01915	xcu:J159_02644
ko:K09471	xcu:J159_02645
ko:K02379	xcu:J159_02651
ko:K00822	xcu:J159_02653
ko:K02652	xcu:J159_03403
ko:K02653	xcu:J159_03406
ko:K02654	xcu:J159_03407
ko:K00859	xcu:J159_03408
ko:K19048	xcu:J159_03410
ko:K07483	xcu:J159_03411
ko:K05844	xcu:J159_03416
ko:K03630	xcu:J159_03430
ko:K07052	xcu:J159_03452
ko:K09902	xcu:J159_04212
ko:K00647	xcu:J159_04213
ko:K00059	xcu:J159_04218
ko:K00655	xcu:J159_04227
ko:K02078	xcu:J159_04229
ko:K00228	xcu:J159_04237
ko:K11902	xcu:J159_04240
ko:K11890	xcu:J159_04246
ko:K11891	xcu:J159_04247
ko:K11892	xcu:J159_04248
ko:K11893	xcu:J159_04249
ko:K11904	xcu:J159_04252
ko:K03088	xcu:J159_04257
ko:K07165	xcu:J159_04258
ko:K01093	xcu:J159_04260
ko:K03204	xcu:J159_00081
ko:K03203	xcu:J159_00082
ko:K03201	xcu:J159_00083
ko:K03497	xcu:J159_00096
ko:K03496	xcu:J159_00097
ko:K18828	xcu:J159_00101
ko:K18829	xcu:J159_00102
ko:K03671	xcu:J159_00221
ko:K03762	xcu:J159_00222
ko:K03924	xcu:J159_00230
ko:K03568	xcu:J159_00233
ko:K03568	xcu:J159_00234
ko:K03841	xcu:J159_00236
ko:K00832	xcu:J159_00237
ko:K02014	xcu:J159_00238
ko:K00138	xcu:J159_00241
ko:K09959	xcu:J159_00242
ko:K10979	xcu:J159_00245
ko:K00101	xcu:J159_00246
ko:K00209	xcu:J159_00254
ko:K00874	xcu:J159_00256
ko:K07304	xcu:J159_01024
ko:K00616	xcu:J159_01026
ko:K06140	xcu:J159_01027
ko:K04761	xcu:J159_01028
ko:K03387	xcu:J159_01029
ko:K03386	xcu:J159_01030
ko:K02493	xcu:J159_01031
ko:K01259	xcu:J159_01032
ko:K01515	xcu:J159_01034
ko:K00324	xcu:J159_01041
ko:K03088	xcu:J159_01045
ko:K00324	xcu:J159_01046
ko:K00325	xcu:J159_01047
ko:K00826	xcu:J159_01050
ko:K14645	xcu:J159_01051
ko:K14645	xcu:J159_01052
ko:K14645	xcu:J159_01053
ko:K03976	xcu:J159_01054
ko:K01424	xcu:J159_01055
ko:K03809	xcu:J159_01059
ko:K07058	xcu:J159_01060
ko:K01512	xcu:J159_01062
ko:K03638	xcu:J159_01065
ko:K02835	xcu:J159_01067
ko:K02492	xcu:J159_01068
ko:K02494	xcu:J159_01070
ko:K00919	xcu:J159_01071
ko:K00948	xcu:J159_01073
ko:K02897	xcu:J159_01074
ko:K02169	xcu:J159_01840
ko:K08369	xcu:J159_01847
ko:K11907	xcu:J159_04267
ko:K11895	xcu:J159_04268
ko:K11896	xcu:J159_04269
ko:K11897	xcu:J159_04270
ko:K11898	xcu:J159_04271
ko:K11903	xcu:J159_04272
ko:K11900	xcu:J159_04273
ko:K11901	xcu:J159_04274
ko:K00661	xcu:J159_04277
ko:K03657	xcu:J159_04278
ko:K06131	xcu:J159_04280
ko:K10218	xcu:J159_04282
ko:K16514	xcu:J159_04283
ko:K10220	xcu:J159_04284
ko:K02913	xcu:J159_04285
ko:K02902	xcu:J159_04286
ko:K15726	xcu:J159_04287
ko:K15727	xcu:J159_04288
ko:K15725	xcu:J159_04289
ko:K03501	xcu:J159_04292
ko:K01113	xcu:J159_04293
ko:K01113	xcu:J159_04295
ko:K06133	xcu:J159_04296
ko:K01142	xcu:J159_04299
ko:K14393	xcu:J159_04305
ko:K01895	xcu:J159_04308
ko:K01198	xcu:J159_04314
ko:K00064	xcu:J159_04315
ko:K07046	xcu:J159_04316
ko:K18335	xcu:J159_04317
ko:K18334	xcu:J159_04319
ko:K03534	xcu:J159_04321
ko:K02429	xcu:J159_04322
ko:K18786	xcu:J159_04327
ko:K03292	xcu:J159_04328
ko:K00851	xcu:J159_04329
ko:K03785	xcu:J159_04332
ko:K09800	xcu:J159_04334
ko:K07278	xcu:J159_04335
ko:K07483	xcu:J159_04338
ko:K13409	xcu:J159_04340
ko:K01879	xcu:J159_04342
ko:K01878	xcu:J159_04343
ko:K02454	xcu:J159_04344
ko:K01951	xcu:J159_04346
ko:K03118	xcu:J159_04348
ko:K03117	xcu:J159_04349
ko:K03116	xcu:J159_04350
ko:K01772	xcu:J159_04352
ko:K07043	xcu:J159_04354
ko:K03554	xcu:J159_04355
ko:K14058	xcu:J159_04356
ko:K01805	xcu:J159_04357
ko:K02529	xcu:J159_04358
ko:K01235	xcu:J159_04359
ko:K05970	xcu:J159_04360
ko:K08323	xcu:J159_04361
ko:K01198	xcu:J159_04362
ko:K01209	xcu:J159_04362
ko:K05349	xcu:J159_04363
ko:K00040	xcu:J159_04364
ko:K00128	xcu:J159_04369
ko:K01845	xcu:J159_04372
ko:K01845	xcu:J159_04373
ko:K01628	xcu:J159_04374
ko:K00854	xcu:J159_04375
ko:K01053	xcu:J159_04378
ko:K01181	xcu:J159_04379
ko:K01190	xcu:J159_04380
ko:K01812	xcu:J159_04381
ko:K01181	xcu:J159_04382
ko:K08191	xcu:J159_04383
ko:K01181	xcu:J159_04384
ko:K08191	xcu:J159_04385
ko:K03098	xcu:J159_04389
ko:K00631	xcu:J159_04399
ko:K02529	xcu:J159_04401
ko:K14266	xcu:J159_04404
ko:K01591	xcu:J159_04405
ko:K09915	xcu:J159_04408
ko:K03656	xcu:J159_04411
ko:K03670	xcu:J159_04414
ko:K10563	xcu:J159_04416
ko:K05782	xcu:J159_04423
ko:K08151	xcu:J159_04426
ko:K01792	xcu:J159_04427
ko:K09858	xcu:J159_04429
ko:K07090	xcu:J159_04430
ko:K01495	xcu:J159_04434
ko:K06075	xcu:J159_04435
ko:K03761	xcu:J159_04440
ko:K07559	xcu:J159_04441
ko:K06131	xcu:J159_04442
ko:K06177	xcu:J159_04452
ko:K07483	xcu:J159_04454
ko:K09958	xcu:J159_04456
ko:K01941	xcu:J159_04458
ko:K09958	xcu:J159_04461
ko:K03581	xcu:J159_04466
ko:K03582	xcu:J159_04469
ko:K03583	xcu:J159_04470
ko:K02065	xcu:J159_04472
ko:K02066	xcu:J159_04473
ko:K02067	xcu:J159_04474
ko:K07323	xcu:J159_04475
ko:K07122	xcu:J159_04476
ko:K04754	xcu:J159_04477
ko:K00432	xcu:J159_04479
ko:K09760	xcu:J159_04481
ko:K03699	xcu:J159_01851
ko:K07220	xcu:J159_01852
ko:K03306	xcu:J159_01853
ko:K02622	xcu:J159_01856
ko:K01937	xcu:J159_01858
ko:K01627	xcu:J159_01859
ko:K01689	xcu:J159_01861
ko:K05589	xcu:J159_01862
ko:K00991	xcu:J159_01863
ko:K01770	xcu:J159_01864
ko:K06176	xcu:J159_01865
ko:K03787	xcu:J159_01867
ko:K00573	xcu:J159_01868
ko:K06194	xcu:J159_01870
ko:K07574	xcu:J159_01873
ko:K02427	xcu:J159_01874
ko:K03798	xcu:J159_01875
ko:K00796	xcu:J159_01876
ko:K00791	xcu:J159_01877
ko:K03666	xcu:J159_01878
ko:K03665	xcu:J159_01879
ko:K03743	xcu:J159_01880
ko:K03688	xcu:J159_01881
ko:K01356	xcu:J159_01882
ko:K03565	xcu:J159_01884
ko:K01872	xcu:J159_01885
ko:K03563	xcu:J159_01886
ko:K03406	xcu:J159_01888
ko:K06911	xcu:J159_01889
ko:K00941	xcu:J159_01895
ko:K07814	xcu:J159_02657
ko:K15371	xcu:J159_02659
ko:K03585	xcu:J159_02661
ko:K18138	xcu:J159_02662
ko:K03435	xcu:J159_02663
ko:K02768	xcu:J159_02664
ko:K08483	xcu:J159_02664
ko:K11183	xcu:J159_02664
ko:K00882	xcu:J159_02665
ko:K02769	xcu:J159_02666
ko:K02770	xcu:J159_02666
ko:K07267	xcu:J159_02667
ko:K03074	xcu:J159_02672
ko:K03072	xcu:J159_02673
ko:K03210	xcu:J159_02674
ko:K00773	xcu:J159_02675
ko:K07568	xcu:J159_02676
ko:K01083	xcu:J159_02682
ko:K00761	xcu:J159_02684
ko:K00681	xcu:J159_02686
ko:K00954	xcu:J159_02690
ko:K08316	xcu:J159_02691
ko:K04079	xcu:J159_02692
ko:K09955	xcu:J159_02695
ko:K08677	xcu:J159_02701
ko:K12686	xcu:J159_03459
ko:K03154	xcu:J159_03460
ko:K03149	xcu:J159_03461
ko:K03439	xcu:J159_03462
ko:K03282	xcu:J159_03467
ko:K02529	xcu:J159_03469
ko:K01187	xcu:J159_03472
ko:K03929	xcu:J159_03474
ko:K03214	xcu:J159_03475
ko:K07483	xcu:J159_03480
ko:K18138	xcu:J159_03486
ko:K03585	xcu:J159_03487
ko:K00955	xcu:J159_03488
ko:K00957	xcu:J159_03489
ko:K00380	xcu:J159_03490
ko:K00381	xcu:J159_03491
ko:K00390	xcu:J159_03492
ko:K02014	xcu:J159_03494
ko:K02302	xcu:J159_03499
ko:K01738	xcu:J159_03500
ko:K01623	xcu:J159_03503
ko:K00873	xcu:J159_03504
ko:K01091	xcu:J159_03505
ko:K00927	xcu:J159_03506
ko:K04751	xcu:J159_00320
ko:K03320	xcu:J159_00321
ko:K07708	xcu:J159_00322
ko:K07712	xcu:J159_00323
ko:K04565	xcu:J159_00324
ko:K04565	xcu:J159_00325
ko:K00626	xcu:J159_00328
ko:K02498	xcu:J159_00329
ko:K02496	xcu:J159_00330
ko:K01719	xcu:J159_00331
ko:K07270	xcu:J159_00332
ko:K03071	xcu:J159_00336
ko:K00057	xcu:J159_00337
ko:K00156	xcu:J159_00339
ko:K03216	xcu:J159_00345
ko:K06940	xcu:J159_00351
ko:K03690	xcu:J159_00357
ko:K03688	xcu:J159_00358
ko:K06175	xcu:J159_00360
ko:K09924	xcu:J159_00361
ko:K15034	xcu:J159_00362
ko:K13051	xcu:J159_00364
ko:K01284	xcu:J159_00365
ko:K06996	xcu:J159_00368
ko:K01638	xcu:J159_00372
ko:K01637	xcu:J159_00373
ko:K00219	xcu:J159_01133
ko:K03286	xcu:J159_01135
ko:K06178	xcu:J159_01137
ko:K00639	xcu:J159_01139
ko:K02048	xcu:J159_01140
ko:K02046	xcu:J159_01141
ko:K02047	xcu:J159_01142
ko:K02045	xcu:J159_01143
ko:K00060	xcu:J159_01145
ko:K01114	xcu:J159_01147
ko:K11754	xcu:J159_01151
ko:K03558	xcu:J159_01153
ko:K00764	xcu:J159_01154
ko:K03269	xcu:J159_01159
ko:K01524	xcu:J159_01163
ko:K00937	xcu:J159_01164
ko:K07636	xcu:J159_01165
ko:K07657	xcu:J159_01166
ko:K00030	xcu:J159_01170
ko:K07483	xcu:J159_01177
ko:K00128	xcu:J159_01952
ko:K11936	xcu:J159_01955
ko:K11931	xcu:J159_01956
ko:K07326	xcu:J159_01958
ko:K15125	xcu:J159_01959
ko:K12524	xcu:J159_01964
ko:K00872	xcu:J159_01965
ko:K01733	xcu:J159_01967
ko:K01892	xcu:J159_01970
ko:K00765	xcu:J159_01972
ko:K00013	xcu:J159_01973
ko:K00817	xcu:J159_01974
ko:K01089	xcu:J159_01975
ko:K02501	xcu:J159_01976
ko:K01814	xcu:J159_01977
ko:K02500	xcu:J159_01978
ko:K11755	xcu:J159_01979
ko:K09880	xcu:J159_01982
ko:K08967	xcu:J159_01983
ko:K08964	xcu:J159_01984
ko:K03294	xcu:J159_01985
ko:K03294	xcu:J159_01986
ko:K00058	xcu:J159_01988
ko:K02356	xcu:J159_01993
ko:K01640	xcu:J159_01995
ko:K13766	xcu:J159_01997
ko:K04758	xcu:J159_01998
ko:K04759	xcu:J159_01999
ko:K07483	xcu:J159_00267
ko:K16147	xcu:J159_00269
ko:K05343	xcu:J159_00270
ko:K00700	xcu:J159_00271
ko:K05825	xcu:J159_02002
ko:K00215	xcu:J159_02004
ko:K01956	xcu:J159_02005
ko:K16211	xcu:J159_02764
ko:K01187	xcu:J159_02766
ko:K01187	xcu:J159_02770
ko:K03201	xcu:J159_02775
ko:K03201	xcu:J159_02779
ko:K03194	xcu:J159_02784
ko:K03196	xcu:J159_02785
ko:K03204	xcu:J159_02787
ko:K03203	xcu:J159_02788
ko:K03205	xcu:J159_02790
ko:K03702	xcu:J159_02793
ko:K07483	xcu:J159_02801
ko:K09892	xcu:J159_03567
ko:K09888	xcu:J159_03568
ko:K01934	xcu:J159_03570
ko:K01807	xcu:J159_03572
ko:K09005	xcu:J159_03573
ko:K00788	xcu:J159_03576
ko:K01845	xcu:J159_03579
ko:K03556	xcu:J159_03580
ko:K00817	xcu:J159_03582
ko:K00274	xcu:J159_03585
ko:K02014	xcu:J159_03586
ko:K10716	xcu:J159_03589
ko:K07157	xcu:J159_03594
ko:K02558	xcu:J159_03595
ko:K00939	xcu:J159_03596
ko:K15987	xcu:J159_03599
ko:K01507	xcu:J159_03601
ko:K02014	xcu:J159_03603
ko:K07506	xcu:J159_03604
ko:K03147	xcu:J159_03606
ko:K02014	xcu:J159_03608
ko:K00681	xcu:J159_03610
ko:K00053	xcu:J159_03611
ko:K01652	xcu:J159_03612
ko:K11258	xcu:J159_03613
ko:K01754	xcu:J159_03614
ko:K01649	xcu:J159_03615
ko:K00052	xcu:J159_03616
ko:K01704	xcu:J159_03617
ko:K01703	xcu:J159_03618
ko:K02014	xcu:J159_00808
ko:K00472	xcu:J159_00809
ko:K02452	xcu:J159_00812
ko:K02453	xcu:J159_00813
ko:K02454	xcu:J159_00814
ko:K02455	xcu:J159_00815
ko:K02456	xcu:J159_00816
ko:K02457	xcu:J159_00817
ko:K02458	xcu:J159_00818
ko:K02459	xcu:J159_00819
ko:K02460	xcu:J159_00820
ko:K02461	xcu:J159_00821
ko:K02462	xcu:J159_00822
ko:K02463	xcu:J159_00823
ko:K01190	xcu:J159_00826
ko:K01205	xcu:J159_00827
ko:K03710	xcu:J159_00830
ko:K02529	xcu:J159_00832
ko:K00820	xcu:J159_00833
ko:K01443	xcu:J159_00834
ko:K02014	xcu:J159_00835
ko:K00974	xcu:J159_00836
ko:K02168	xcu:J159_00839
