ko:K19405	ctrx:A5291_00724
ko:K03229	ctrx:A5291_00093
ko:K06942	ctrx:A5291_00094
ko:K11753	ctrx:A5291_00095
ko:K02834	ctrx:A5291_00097
ko:K02519	ctrx:A5291_00098
ko:K02600	ctrx:A5291_00099
ko:K02945	ctrx:A5291_00100
ko:K00384	ctrx:A5291_00101
ko:K00997	ctrx:A5291_00102
ko:K00208	ctrx:A5291_00106
ko:K06213	ctrx:A5291_00206
ko:K15580	ctrx:A5291_00210
ko:K15581	ctrx:A5291_00211
ko:K03319	ctrx:A5291_00216
ko:K00850	ctrx:A5291_00217
ko:K00895	ctrx:A5291_00219
ko:K03223	ctrx:A5291_00602
ko:K03226	ctrx:A5291_00603
ko:K03228	ctrx:A5291_00605
ko:K02455	ctrx:A5291_00611
ko:K02453	ctrx:A5291_00613
ko:K03572	ctrx:A5291_00616
ko:K01868	ctrx:A5291_00622
ko:K01867	ctrx:A5291_00626
ko:K03702	ctrx:A5291_00627
ko:K01689	ctrx:A5291_00628
ko:K00240	ctrx:A5291_00632
ko:K00239	ctrx:A5291_00634
ko:K03424	ctrx:A5291_00636
ko:K03562	ctrx:A5291_00638
ko:K03641	ctrx:A5291_00641
ko:K03640	ctrx:A5291_00642
ko:K03648	ctrx:A5291_00651
ko:K03657	ctrx:A5291_00652
ko:K03092	ctrx:A5291_00653
ko:K06137	ctrx:A5291_00654
ko:K03575	ctrx:A5291_00110
ko:K04077	ctrx:A5291_00113
ko:K04078	ctrx:A5291_00114
ko:K08602	ctrx:A5291_00115
ko:K03695	ctrx:A5291_00116
ko:K01783	ctrx:A5291_00124
ko:K02356	ctrx:A5291_00125
ko:K02160	ctrx:A5291_00126
ko:K01961	ctrx:A5291_00127
ko:K02871	ctrx:A5291_00128
ko:K02996	ctrx:A5291_00129
ko:K02029	ctrx:A5291_00132
ko:K07058	ctrx:A5291_00135
ko:K06999	ctrx:A5291_00139
ko:K07566	ctrx:A5291_00140
ko:K09125	ctrx:A5291_00143
ko:K07039	ctrx:A5291_00144
ko:K01972	ctrx:A5291_00151
ko:K02913	ctrx:A5291_00155
ko:K09808	ctrx:A5291_00156
ko:K09810	ctrx:A5291_00157
ko:K02527	ctrx:A5291_00222
ko:K01869	ctrx:A5291_00223
ko:K01845	ctrx:A5291_00224
ko:K07735	ctrx:A5291_00225
ko:K08999	ctrx:A5291_00226
ko:K01807	ctrx:A5291_00227
ko:K03787	ctrx:A5291_00232
ko:K03179	ctrx:A5291_00233
ko:K03186	ctrx:A5291_00234
ko:K03308	ctrx:A5291_00247
ko:K02078	ctrx:A5291_00252
ko:K00645	ctrx:A5291_00254
ko:K00648	ctrx:A5291_00255
ko:K06187	ctrx:A5291_00256
ko:K07277	ctrx:A5291_00257
ko:K06142	ctrx:A5291_00258
ko:K02536	ctrx:A5291_00259
ko:K00161	ctrx:A5291_00261
ko:K00162	ctrx:A5291_00262
ko:K00627	ctrx:A5291_00263
ko:K00688	ctrx:A5291_00264
ko:K02313	ctrx:A5291_00266
ko:K03217	ctrx:A5291_00267
ko:K04487	ctrx:A5291_00274
ko:K13941	ctrx:A5291_00657
ko:K01633	ctrx:A5291_00658
ko:K03086	ctrx:A5291_00659
ko:K02968	ctrx:A5291_00661
ko:K03980	ctrx:A5291_00668
ko:K01151	ctrx:A5291_00669
ko:K02986	ctrx:A5291_00670
ko:K07146	ctrx:A5291_00671
ko:K13789	ctrx:A5291_00672
ko:K01698	ctrx:A5291_00678
ko:K00346	ctrx:A5291_00679
ko:K03582	ctrx:A5291_00685
ko:K03583	ctrx:A5291_00686
ko:K03168	ctrx:A5291_00689
ko:K02221	ctrx:A5291_00691
ko:K03581	ctrx:A5291_00698
ko:K06861	ctrx:A5291_00700
ko:K01627	ctrx:A5291_00702
ko:K06180	ctrx:A5291_00706
ko:K06960	ctrx:A5291_00707
ko:K02469	ctrx:A5291_00708
ko:K02470	ctrx:A5291_00709
ko:K02492	ctrx:A5291_00710
ko:K07083	ctrx:A5291_00278
ko:K01962	ctrx:A5291_00281
ko:K01448	ctrx:A5291_00284
ko:K01928	ctrx:A5291_00285
ko:K03587	ctrx:A5291_00286
ko:K03438	ctrx:A5291_00288
ko:K02313	ctrx:A5291_00291
ko:K00347	ctrx:A5291_00294
ko:K00348	ctrx:A5291_00295
ko:K00349	ctrx:A5291_00296
ko:K00350	ctrx:A5291_00297
ko:K02437	ctrx:A5291_00298
ko:K03800	ctrx:A5291_00301
ko:K03696	ctrx:A5291_00302
ko:K00566	ctrx:A5291_00303
ko:K01963	ctrx:A5291_00309
ko:K04564	ctrx:A5291_00310
ko:K03685	ctrx:A5291_00313
ko:K04485	ctrx:A5291_00314
ko:K01749	ctrx:A5291_00315
ko:K01873	ctrx:A5291_00318
ko:K03224	ctrx:A5291_00717
ko:K02417	ctrx:A5291_00720
ko:K03219	ctrx:A5291_00722
ko:K02838	ctrx:A5291_00728
ko:K09903	ctrx:A5291_00729
ko:K02357	ctrx:A5291_00730
ko:K02967	ctrx:A5291_00731
ko:K03162	ctrx:A5291_00733
ko:K09013	ctrx:A5291_00737
ko:K09015	ctrx:A5291_00738
ko:K11717	ctrx:A5291_00739
ko:K07220	ctrx:A5291_00743
ko:K03306	ctrx:A5291_00744
ko:K00927	ctrx:A5291_00745
ko:K10773	ctrx:A5291_00749
ko:K03650	ctrx:A5291_00750
ko:K01613	ctrx:A5291_00751
ko:K03070	ctrx:A5291_00753
ko:K03977	ctrx:A5291_00755
ko:K03544	ctrx:A5291_00757
ko:K01358	ctrx:A5291_00758
ko:K03545	ctrx:A5291_00759
ko:K03569	ctrx:A5291_00762
ko:K00057	ctrx:A5291_00767
ko:K03559	ctrx:A5291_00639
ko:K03046	ctrx:A5291_00330
ko:K03043	ctrx:A5291_00331
ko:K02935	ctrx:A5291_00332
ko:K02864	ctrx:A5291_00333
ko:K02863	ctrx:A5291_00334
ko:K02867	ctrx:A5291_00335
ko:K02601	ctrx:A5291_00336
ko:K03073	ctrx:A5291_00337
ko:K02358	ctrx:A5291_00339
ko:K02518	ctrx:A5291_00341
ko:K01803	ctrx:A5291_00348
ko:K03601	ctrx:A5291_00349
ko:K03602	ctrx:A5291_00350
ko:K01662	ctrx:A5291_00352
ko:K00873	ctrx:A5291_00353
ko:K03701	ctrx:A5291_00354
ko:K02343	ctrx:A5291_00355
ko:K09747	ctrx:A5291_00356
ko:K11381	ctrx:A5291_00362
ko:K03686	ctrx:A5291_00363
ko:K02970	ctrx:A5291_00364
ko:K01338	ctrx:A5291_00366
ko:K03733	ctrx:A5291_00369
ko:K06287	ctrx:A5291_00371
ko:K03075	ctrx:A5291_00374
ko:K01462	ctrx:A5291_00375
ko:K02528	ctrx:A5291_00376
ko:K06888	ctrx:A5291_00378
ko:K03523	ctrx:A5291_00382
ko:K02412	ctrx:A5291_00770
ko:K02411	ctrx:A5291_00771
ko:K02409	ctrx:A5291_00772
ko:K13819	ctrx:A5291_00773
ko:K04487	ctrx:A5291_00774
ko:K06178	ctrx:A5291_00776
ko:K03524	ctrx:A5291_00778
ko:K05837	ctrx:A5291_00779
ko:K01875	ctrx:A5291_00782
ko:K11752	ctrx:A5291_00783
ko:K14652	ctrx:A5291_00784
ko:K00794	ctrx:A5291_00785
ko:K03310	ctrx:A5291_00788
ko:K03466	ctrx:A5291_00792
ko:K00351	ctrx:A5291_00797
ko:K03210	ctrx:A5291_00798
ko:K00231	ctrx:A5291_00802
ko:K01599	ctrx:A5291_00804
ko:K03723	ctrx:A5291_00805
ko:K01872	ctrx:A5291_00806
ko:K00615	ctrx:A5291_00810
ko:K01241	ctrx:A5291_00811
ko:K02356	ctrx:A5291_00812
ko:K01929	ctrx:A5291_00817
ko:K01000	ctrx:A5291_00818
ko:K01925	ctrx:A5291_00819
ko:K03588	ctrx:A5291_00821
ko:K02028	ctrx:A5291_00133
ko:K14220	ctrx:A5291_00039
ko:K15035	ctrx:A5291_00020
ko:K14222	ctrx:A5291_00816
ko:K01985	ctrx:A5291_00796
ko:K01985	ctrx:A5291_00809
ko:K01980	ctrx:A5291_00795
ko:K01980	ctrx:A5291_00808
ko:K17103	ctrx:A5291_00890
ko:K07052	ctrx:A5291_00270
ko:K02342	ctrx:A5291_00277
ko:K02806	ctrx:A5291_00306
ko:K02806	ctrx:A5291_00307
ko:K02124	ctrx:A5291_00320
ko:K07098	ctrx:A5291_00494
ko:K00567	ctrx:A5291_00513
ko:K02033	ctrx:A5291_00515
ko:K02035	ctrx:A5291_00516
ko:K02030	ctrx:A5291_00524
ko:K00033	ctrx:A5291_00067
ko:K11707	ctrx:A5291_00071
ko:K11710	ctrx:A5291_00072
ko:K11708	ctrx:A5291_00073
ko:K11709	ctrx:A5291_00074
ko:K01679	ctrx:A5291_00921
ko:K04763	ctrx:A5291_00932
ko:K00700	ctrx:A5291_00934
ko:K03177	ctrx:A5291_00096
ko:K00970	ctrx:A5291_00437
ko:K09815	ctrx:A5291_00443
ko:K01719	ctrx:A5291_00465
ko:K00380	ctrx:A5291_00467
ko:K01885	ctrx:A5291_00478
ko:K01507	ctrx:A5291_00833
ko:K01082	ctrx:A5291_00835
ko:K01909	ctrx:A5291_00837
ko:K00652	ctrx:A5291_00838
ko:K02123	ctrx:A5291_00321
ko:K02120	ctrx:A5291_00322
ko:K02118	ctrx:A5291_00323
ko:K02117	ctrx:A5291_00324
ko:K02121	ctrx:A5291_00326
ko:K00616	ctrx:A5291_00329
ko:K08483	ctrx:A5291_00357
ko:K11189	ctrx:A5291_00358
ko:K00784	ctrx:A5291_00368
ko:K06179	ctrx:A5291_00109
ko:K00939	ctrx:A5291_00131
ko:K02035	ctrx:A5291_00142
ko:K06889	ctrx:A5291_00154
ko:K15583	ctrx:A5291_00214
ko:K06889	ctrx:A5291_00218
ko:K00059	ctrx:A5291_00253
ko:K00970	ctrx:A5291_00756
ko:K02433	ctrx:A5291_00004
ko:K03471	ctrx:A5291_00009
ko:K01408	ctrx:A5291_00868
ko:K02342	ctrx:A5291_00576
ko:K07258	ctrx:A5291_00592
ko:K03227	ctrx:A5291_00604
ko:K02454	ctrx:A5291_00612
ko:K01262	ctrx:A5291_00615
ko:K07315	ctrx:A5291_00629
ko:K00241	ctrx:A5291_00635
ko:K03386	ctrx:A5291_00645
ko:K03856	ctrx:A5291_00408
ko:K02428	ctrx:A5291_00649
ko:K00813	ctrx:A5291_00683
ko:K01934	ctrx:A5291_00695
ko:K01596	ctrx:A5291_00763
ko:K00972	ctrx:A5291_00768
ko:K01834	ctrx:A5291_00775
ko:K06910	ctrx:A5291_00789
ko:K07117	ctrx:A5291_00790
ko:K02035	ctrx:A5291_00185
ko:K02049	ctrx:A5291_00190
ko:K01409	ctrx:A5291_00209
ko:K15582	ctrx:A5291_00212
ko:K10823	ctrx:A5291_00213
ko:K14233	ctrx:A5291_00379
ko:K14228	ctrx:A5291_00499
ko:K04084	ctrx:A5291_00637
ko:K14236	ctrx:A5291_00146
ko:K14227	ctrx:A5291_00191
ko:K14218	ctrx:A5291_00682
ko:K14230	ctrx:A5291_00220
ko:K14230	ctrx:A5291_00346
ko:K14235	ctrx:A5291_00338
ko:K14233	ctrx:A5291_00535
ko:K14231	ctrx:A5291_00449
ko:K14221	ctrx:A5291_00236
ko:K14233	ctrx:A5291_00442
ko:K14228	ctrx:A5291_00543
ko:K14228	ctrx:A5291_00579
ko:K14219	ctrx:A5291_00503
ko:K14219	ctrx:A5291_00703
ko:K14232	ctrx:A5291_00676
ko:K14229	ctrx:A5291_00726
ko:K14224	ctrx:A5291_00727
ko:K14226	ctrx:A5291_00793
ko:K14223	ctrx:A5291_00859
ko:K14218	ctrx:A5291_00192
ko:K14219	ctrx:A5291_00646
ko:K01977	ctrx:A5291_00794
ko:K01977	ctrx:A5291_00807
ko:K14234	ctrx:A5291_00723
ko:K14225	ctrx:A5291_00732
ko:K14228	ctrx:A5291_00507
ko:K14228	ctrx:A5291_00930
ko:K14232	ctrx:A5291_00063
ko:K14237	ctrx:A5291_00237
ko:K14230	ctrx:A5291_00221
ko:K14234	ctrx:A5291_00145
ko:K14234	ctrx:A5291_00340
ko:K14225	ctrx:A5291_00760
ko:K14237	ctrx:A5291_00893
ko:K01840	ctrx:A5291_00311
ko:K06972	ctrx:A5291_00888
ko:K08719	ctrx:A5291_00766
ko:K07081	ctrx:A5291_00459
ko:K03625	ctrx:A5291_00896
ko:K01695	ctrx:A5291_00179
ko:K00239	ctrx:A5291_00633
ko:K08275	ctrx:A5291_00083
ko:K01802	ctrx:A5291_00582
ko:K08274	ctrx:A5291_00403
ko:K01921	ctrx:A5291_00823
ko:K01924	ctrx:A5291_00823
ko:K01829	ctrx:A5291_00841
ko:K01829	ctrx:A5291_00844
ko:K03309	ctrx:A5291_00428
ko:K07033	ctrx:A5291_00736
ko:K03825	ctrx:A5291_00491
ko:K03496	ctrx:A5291_00623
ko:K03497	ctrx:A5291_00740
ko:K03111	ctrx:A5291_00046
ko:K03496	ctrx:A5291_p7
ko:K02626	ctrx:A5291_00397
ko:K11991	ctrx:A5291_00909
ko:K04771	ctrx:A5291_00887
ko:K19411	ctrx:A5291_00725
ko:K02031	ctrx:A5291_00742
ko:K07125	ctrx:A5291_00343
ko:K22100	ctrx:A5291_00347
ko:K12132	ctrx:A5291_00317
ko:K20265	ctrx:A5291_00230
ko:K20074	ctrx:A5291_00275
ko:K11749	ctrx:A5291_00076
ko:K22099	ctrx:A5291_00655
ko:K00526	ctrx:A5291_00892
ko:K01520	ctrx:A5291_00308
ko:K02314	ctrx:A5291_00536
ko:K00287	ctrx:A5291_00656
ko:K03553	ctrx:A5291_00696
ko:K02316	ctrx:A5291_00853
ko:K02335	ctrx:A5291_00531
ko:K02314	ctrx:A5291_p3
ko:K02032	ctrx:A5291_00741
ko:K00525	ctrx:A5291_00891
ko:K02050	ctrx:A5291_00920
ko:K02051	ctrx:A5291_00920
ko:K01534	ctrx:A5291_00780
ko:K16239	ctrx:A5291_00087
