ko:K01006	pad:TIIST44_03015
ko:K03078	pad:TIIST44_10250
ko:K00969	pad:TIIST44_10290
ko:K00147	pad:TIIST44_10300
ko:K00931	pad:TIIST44_10305
ko:K03979	pad:TIIST44_10310
ko:K02899	pad:TIIST44_10330
ko:K02888	pad:TIIST44_10335
ko:K00940	pad:TIIST44_10360
ko:K11754	pad:TIIST44_10370
ko:K03075	pad:TIIST44_10380
ko:K01803	pad:TIIST44_10385
ko:K00927	pad:TIIST44_10390
ko:K00134	pad:TIIST44_10395
ko:K02003	pad:TIIST44_10930
ko:K02275	pad:TIIST44_10950
ko:K03969	pad:TIIST44_10965
ko:K01255	pad:TIIST44_10985
ko:K00658	pad:TIIST44_10990
ko:K03801	pad:TIIST44_10995
ko:K03644	pad:TIIST44_11010
ko:K03290	pad:TIIST44_11030
ko:K02013	pad:TIIST44_11065
ko:K02015	pad:TIIST44_11070
ko:K02016	pad:TIIST44_11075
ko:K03710	pad:TIIST44_11100
ko:K01915	pad:TIIST44_11125
ko:K00982	pad:TIIST44_11150
ko:K01915	pad:TIIST44_11160
ko:K01265	pad:TIIST44_11170
ko:K06200	pad:TIIST44_11180
ko:K14645	pad:TIIST44_11465
ko:K00012	pad:TIIST44_11500
ko:K11065	pad:TIIST44_11515
ko:K00926	pad:TIIST44_11540
ko:K00611	pad:TIIST44_11545
ko:K03758	pad:TIIST44_11555
ko:K06942	pad:TIIST44_11595
ko:K09760	pad:TIIST44_11605
ko:K03527	pad:TIIST44_11610
ko:K03601	pad:TIIST44_11625
ko:K03602	pad:TIIST44_11630
ko:K07175	pad:TIIST44_11640
ko:K11068	pad:TIIST44_11645
ko:K06888	pad:TIIST44_11655
ko:K03624	pad:TIIST44_11670
ko:K03648	pad:TIIST44_11685
ko:K03308	pad:TIIST44_11695
ko:K01647	pad:TIIST44_00095
ko:K04096	pad:TIIST44_00120
ko:K07391	pad:TIIST44_00125
ko:K07460	pad:TIIST44_00130
ko:K03470	pad:TIIST44_00140
ko:K03100	pad:TIIST44_00145
ko:K02884	pad:TIIST44_00150
ko:K00240	pad:TIIST44_00160
ko:K00239	pad:TIIST44_00165
ko:K00554	pad:TIIST44_00175
ko:K02860	pad:TIIST44_00180
ko:K06960	pad:TIIST44_00185
ko:K02959	pad:TIIST44_00190
ko:K03106	pad:TIIST44_00200
ko:K03110	pad:TIIST44_00210
ko:K03685	pad:TIIST44_00240
ko:K02911	pad:TIIST44_00245
ko:K07040	pad:TIIST44_00250
ko:K00954	pad:TIIST44_00295
ko:K03655	pad:TIIST44_00310
ko:K02902	pad:TIIST44_00315
ko:K00156	pad:TIIST44_00330
ko:K00215	pad:TIIST44_00340
ko:K00962	pad:TIIST44_00345
ko:K02956	pad:TIIST44_00350
ko:K01945	pad:TIIST44_02745
ko:K01939	pad:TIIST44_02750
ko:K01714	pad:TIIST44_02770
ko:K03290	pad:TIIST44_02780
ko:K06207	pad:TIIST44_02790
ko:K01624	pad:TIIST44_02835
ko:K03975	pad:TIIST44_02850
ko:K09858	pad:TIIST44_02870
ko:K14347	pad:TIIST44_00635
ko:K02013	pad:TIIST44_00650
ko:K00208	pad:TIIST44_00660
ko:K00563	pad:TIIST44_00680
ko:K11717	pad:TIIST44_00725
ko:K09013	pad:TIIST44_00730
ko:K09015	pad:TIIST44_00740
ko:K09014	pad:TIIST44_00745
ko:K15987	pad:TIIST44_00780
ko:K02259	pad:TIIST44_00795
ko:K00036	pad:TIIST44_00810
ko:K01057	pad:TIIST44_00820
ko:K01873	pad:TIIST44_00835
ko:K03544	pad:TIIST44_00855
ko:K01358	pad:TIIST44_00860
ko:K01358	pad:TIIST44_00865
ko:K03545	pad:TIIST44_00875
ko:K09780	pad:TIIST44_03300
ko:K00886	pad:TIIST44_03340
ko:K02919	pad:TIIST44_03350
ko:K01887	pad:TIIST44_03370
ko:K01810	pad:TIIST44_03390
ko:K01625	pad:TIIST44_03400
ko:K04047	pad:TIIST44_03405
ko:K07089	pad:TIIST44_03460
ko:K03980	pad:TIIST44_03470
ko:K00928	pad:TIIST44_03475
ko:K05520	pad:TIIST44_03490
ko:K02909	pad:TIIST44_03535
ko:K02902	pad:TIIST44_03540
ko:K02913	pad:TIIST44_03545
ko:K02954	pad:TIIST44_03550
ko:K02911	pad:TIIST44_03555
ko:K01207	pad:TIIST44_03565
ko:K01712	pad:TIIST44_03570
ko:K00426	pad:TIIST44_05525
ko:K00425	pad:TIIST44_05530
ko:K04567	pad:TIIST44_05555
ko:K04762	pad:TIIST44_05700
ko:K02343	pad:TIIST44_05710
ko:K09747	pad:TIIST44_05715
ko:K06187	pad:TIIST44_05720
ko:K02003	pad:TIIST44_05730
ko:K01870	pad:TIIST44_05770
ko:K10773	pad:TIIST44_05820
ko:K07071	pad:TIIST44_06125
ko:K03575	pad:TIIST44_06200
ko:K01845	pad:TIIST44_06205
ko:K01698	pad:TIIST44_06210
ko:K01749	pad:TIIST44_06220
ko:K00231	pad:TIIST44_06225
ko:K01599	pad:TIIST44_06230
ko:K02492	pad:TIIST44_06235
ko:K01772	pad:TIIST44_06240
ko:K04485	pad:TIIST44_06255
ko:K00318	pad:TIIST44_06275
ko:K00133	pad:TIIST44_06290
ko:K00286	pad:TIIST44_06295
ko:K13542	pad:TIIST44_06310
ko:K07399	pad:TIIST44_06330
ko:K07124	pad:TIIST44_06345
ko:K02003	pad:TIIST44_06355
ko:K02016	pad:TIIST44_06380
ko:K02013	pad:TIIST44_06385
ko:K02015	pad:TIIST44_06390
ko:K03088	pad:TIIST44_06695
ko:K01752	pad:TIIST44_06720
ko:K00060	pad:TIIST44_06750
ko:K05845	pad:TIIST44_06760
ko:K05846	pad:TIIST44_06765
ko:K05846	pad:TIIST44_06770
ko:K05847	pad:TIIST44_06775
ko:K07693	pad:TIIST44_06820
ko:K02227	pad:TIIST44_06830
ko:K02232	pad:TIIST44_06835
ko:K03394	pad:TIIST44_06840
ko:K05936	pad:TIIST44_06845
ko:K02015	pad:TIIST44_06870
ko:K02013	pad:TIIST44_06875
ko:K02016	pad:TIIST44_06880
ko:K07133	pad:TIIST44_06885
ko:K06042	pad:TIIST44_06890
ko:K02007	pad:TIIST44_06895
ko:K02224	pad:TIIST44_06930
ko:K02233	pad:TIIST44_06950
ko:K03637	pad:TIIST44_07260
ko:K03750	pad:TIIST44_07265
ko:K03639	pad:TIIST44_07280
ko:K02020	pad:TIIST44_07295
ko:K00373	pad:TIIST44_07315
ko:K00371	pad:TIIST44_07320
ko:K00370	pad:TIIST44_07325
ko:K02575	pad:TIIST44_07330
ko:K07306	pad:TIIST44_07360
ko:K03149	pad:TIIST44_07370
ko:K02013	pad:TIIST44_01710
ko:K02015	pad:TIIST44_01715
ko:K02016	pad:TIIST44_01720
ko:K03789	pad:TIIST44_01735
ko:K06925	pad:TIIST44_01745
ko:K02003	pad:TIIST44_01765
ko:K00997	pad:TIIST44_01780
ko:K00820	pad:TIIST44_01785
ko:K03431	pad:TIIST44_01820
ko:K02996	pad:TIIST44_01825
ko:K02871	pad:TIIST44_01830
ko:K03439	pad:TIIST44_01850
ko:K06173	pad:TIIST44_01855
ko:K04564	pad:TIIST44_01900
ko:K08368	pad:TIIST44_01925
ko:K02879	pad:TIIST44_01935
ko:K03040	pad:TIIST44_01940
ko:K02986	pad:TIIST44_01945
ko:K02948	pad:TIIST44_01950
ko:K02952	pad:TIIST44_01955
ko:K02919	pad:TIIST44_01960
ko:K02518	pad:TIIST44_01965
ko:K03695	pad:TIIST44_02880
ko:K03311	pad:TIIST44_02885
ko:K01623	pad:TIIST44_02895
ko:K03322	pad:TIIST44_02905
ko:K02003	pad:TIIST44_02920
ko:K07085	pad:TIIST44_02940
ko:K03686	pad:TIIST44_02965
ko:K03687	pad:TIIST44_02970
ko:K04043	pad:TIIST44_02975
ko:K03306	pad:TIIST44_02985
ko:K01950	pad:TIIST44_04135
ko:K00850	pad:TIIST44_04140
ko:K00259	pad:TIIST44_04145
ko:K01647	pad:TIIST44_04175
ko:K00259	pad:TIIST44_04185
ko:K11737	pad:TIIST44_04235
ko:K01775	pad:TIIST44_04245
ko:K00849	pad:TIIST44_04255
ko:K00973	pad:TIIST44_04260
ko:K00865	pad:TIIST44_04315
ko:K00864	pad:TIIST44_04340
ko:K02440	pad:TIIST44_04345
ko:K00384	pad:TIIST44_04365
ko:K10441	pad:TIIST44_04680
ko:K06726	pad:TIIST44_04700
ko:K02773	pad:TIIST44_04735
ko:K02774	pad:TIIST44_04750
ko:K01938	pad:TIIST44_04865
ko:K02003	pad:TIIST44_04895
ko:K03284	pad:TIIST44_07385
ko:K07056	pad:TIIST44_07400
ko:K03424	pad:TIIST44_07405
ko:K02528	pad:TIIST44_07410
ko:K00919	pad:TIIST44_07415
ko:K04042	pad:TIIST44_07430
ko:K00948	pad:TIIST44_07435
ko:K02897	pad:TIIST44_07455
ko:K01056	pad:TIIST44_07460
ko:K03723	pad:TIIST44_07470
ko:K01689	pad:TIIST44_07490
ko:K03466	pad:TIIST44_07760
ko:K02836	pad:TIIST44_07770
ko:K09812	pad:TIIST44_07775
ko:K09811	pad:TIIST44_07780
ko:K03664	pad:TIIST44_07785
ko:K00620	pad:TIIST44_07800
ko:K00930	pad:TIIST44_07805
ko:K01755	pad:TIIST44_07815
ko:K07735	pad:TIIST44_07900
ko:K03070	pad:TIIST44_07930
ko:K15371	pad:TIIST44_07950
ko:K07053	pad:TIIST44_07955
ko:K01867	pad:TIIST44_07960
ko:K11738	pad:TIIST44_07965
ko:K03657	pad:TIIST44_08000
ko:K03426	pad:TIIST44_08005
ko:K03581	pad:TIIST44_08010
ko:K03582	pad:TIIST44_08015
ko:K03583	pad:TIIST44_08020
ko:K03657	pad:TIIST44_08025
ko:K00164	pad:TIIST44_08315
ko:K03154	pad:TIIST44_07375
ko:K01586	pad:TIIST44_08325
ko:K00003	pad:TIIST44_08330
ko:K01733	pad:TIIST44_08335
ko:K00872	pad:TIIST44_08340
ko:K03628	pad:TIIST44_08345
ko:K02909	pad:TIIST44_08350
ko:K02835	pad:TIIST44_08355
ko:K02493	pad:TIIST44_08360
ko:K02108	pad:TIIST44_08385
ko:K02110	pad:TIIST44_08390
ko:K02109	pad:TIIST44_08395
ko:K02113	pad:TIIST44_08400
ko:K02111	pad:TIIST44_08405
ko:K02115	pad:TIIST44_08410
ko:K02112	pad:TIIST44_08415
ko:K02114	pad:TIIST44_08420
ko:K15034	pad:TIIST44_08455
ko:K00382	pad:TIIST44_08480
ko:K00790	pad:TIIST44_08485
ko:K00868	pad:TIIST44_08490
ko:K00868	pad:TIIST44_08495
ko:K01126	pad:TIIST44_08500
ko:K03820	pad:TIIST44_08515
ko:K02429	pad:TIIST44_08555
ko:K03977	pad:TIIST44_08575
ko:K00945	pad:TIIST44_08580
ko:K01159	pad:TIIST44_08845
ko:K02501	pad:TIIST44_08860
ko:K01693	pad:TIIST44_08865
ko:K00817	pad:TIIST44_08870
ko:K00013	pad:TIIST44_08875
ko:K02337	pad:TIIST44_08885
ko:K02759	pad:TIIST44_08895
ko:K02760	pad:TIIST44_08910
ko:K01223	pad:TIIST44_08915
ko:K07106	pad:TIIST44_08940
ko:K00266	pad:TIIST44_08965
ko:K01695	pad:TIIST44_08980
ko:K01696	pad:TIIST44_08985
ko:K01609	pad:TIIST44_08990
ko:K02434	pad:TIIST44_09020
ko:K02435	pad:TIIST44_09030
ko:K00566	pad:TIIST44_09055
ko:K04487	pad:TIIST44_09060
ko:K05343	pad:TIIST44_09075
ko:K02469	pad:TIIST44_09395
ko:K07791	pad:TIIST44_09405
ko:K02470	pad:TIIST44_09410
ko:K03086	pad:TIIST44_09460
ko:K10805	pad:TIIST44_09475
ko:K03578	pad:TIIST44_09485
ko:K07738	pad:TIIST44_09505
ko:K01356	pad:TIIST44_09515
ko:K03665	pad:TIIST44_09525
ko:K01778	pad:TIIST44_09530
ko:K00791	pad:TIIST44_09535
ko:K06168	pad:TIIST44_09545
ko:K03565	pad:TIIST44_09565
ko:K00995	pad:TIIST44_09595
ko:K00240	pad:TIIST44_09880
ko:K00239	pad:TIIST44_09885
ko:K01880	pad:TIIST44_09900
ko:K03584	pad:TIIST44_09930
ko:K00806	pad:TIIST44_09940
ko:K09125	pad:TIIST44_10000
ko:K00773	pad:TIIST44_10030
ko:K11939	pad:TIIST44_10035
ko:K03654	pad:TIIST44_10045
ko:K09761	pad:TIIST44_10065
