ko:K18917	cos:Cp4202_0624
ko:K01428	cos:Cp4202_1913
ko:K01429	cos:Cp4202_1914
ko:K01430	cos:Cp4202_1915
ko:K14260	cos:Cp4202_1918
ko:K04567	cos:Cp4202_1920
ko:K00012	cos:Cp4202_1924
ko:K01494	cos:Cp4202_1925
ko:K01207	cos:Cp4202_1928
ko:K03439	cos:Cp4202_1937
ko:K01126	cos:Cp4202_1959
ko:K02445	cos:Cp4202_1960
ko:K02013	cos:Cp4202_1962
ko:K02015	cos:Cp4202_1963
ko:K02016	cos:Cp4202_1964
ko:K02835	cos:Cp4202_0829
ko:K02493	cos:Cp4202_0830
ko:K02108	cos:Cp4202_0834
ko:K02110	cos:Cp4202_0835
ko:K02109	cos:Cp4202_0836
ko:K02113	cos:Cp4202_0837
ko:K02111	cos:Cp4202_0838
ko:K02115	cos:Cp4202_0839
ko:K02112	cos:Cp4202_0840
ko:K02114	cos:Cp4202_0841
ko:K05606	cos:Cp4202_0844
ko:K05838	cos:Cp4202_0846
ko:K02013	cos:Cp4202_0849
ko:K03521	cos:Cp4202_0852
ko:K03522	cos:Cp4202_0853
ko:K04487	cos:Cp4202_0854
ko:K00566	cos:Cp4202_0856
ko:K01972	cos:Cp4202_0859
ko:K06891	cos:Cp4202_1651
ko:K00763	cos:Cp4202_1652
ko:K01079	cos:Cp4202_1655
ko:K02217	cos:Cp4202_1664
ko:K02919	cos:Cp4202_1668
ko:K06199	cos:Cp4202_1680
ko:K06199	cos:Cp4202_1681
ko:K02003	cos:Cp4202_1683
ko:K00790	cos:Cp4202_1684
ko:K01738	cos:Cp4202_1688
ko:K00640	cos:Cp4202_1689
ko:K06975	cos:Cp4202_1690
ko:K00005	cos:Cp4202_1691
ko:K00425	cos:Cp4202_1692
ko:K00426	cos:Cp4202_1693
ko:K06287	cos:Cp4202_0477
ko:K02529	cos:Cp4202_0479
ko:K03524	cos:Cp4202_0483
ko:K01589	cos:Cp4202_0485
ko:K01588	cos:Cp4202_0486
ko:K01809	cos:Cp4202_0504
ko:K01251	cos:Cp4202_0508
ko:K00943	cos:Cp4202_0509
ko:K03070	cos:Cp4202_0515
ko:K06949	cos:Cp4202_0521
ko:K00800	cos:Cp4202_0522
ko:K03088	cos:Cp4202_0525
ko:K00688	cos:Cp4202_1334
ko:K00873	cos:Cp4202_1336
ko:K01609	cos:Cp4202_1338
ko:K02500	cos:Cp4202_1341
ko:K02501	cos:Cp4202_1344
ko:K01693	cos:Cp4202_1347
ko:K00817	cos:Cp4202_1348
ko:K00013	cos:Cp4202_1349
ko:K04762	cos:Cp4202_1359
ko:K01754	cos:Cp4202_1362
ko:K02337	cos:Cp4202_1363
ko:K05786	cos:Cp4202_1364
ko:K06180	cos:Cp4202_1366
ko:K03101	cos:Cp4202_1367
ko:K02346	cos:Cp4202_1371
ko:K01870	cos:Cp4202_1372
ko:K02221	cos:Cp4202_1375
ko:K09772	cos:Cp4202_1376
ko:K05810	cos:Cp4202_1377
ko:K03531	cos:Cp4202_1378
ko:K03589	cos:Cp4202_1379
ko:K01924	cos:Cp4202_1380
ko:K02563	cos:Cp4202_1381
ko:K03588	cos:Cp4202_1382
ko:K01925	cos:Cp4202_1383
ko:K01000	cos:Cp4202_1384
ko:K05845	cos:Cp4202_0098
ko:K00817	cos:Cp4202_0119
ko:K14445	cos:Cp4202_0120
ko:K03480	cos:Cp4202_0121
ko:K06996	cos:Cp4202_0123
ko:K04561	cos:Cp4202_0124
ko:K06215	cos:Cp4202_0127
ko:K08681	cos:Cp4202_0128
ko:K00773	cos:Cp4202_0133
ko:K00098	cos:Cp4202_0137
ko:K02343	cos:Cp4202_0142
ko:K09747	cos:Cp4202_0143
ko:K06187	cos:Cp4202_0144
ko:K00833	cos:Cp4202_0965
ko:K01935	cos:Cp4202_0966
ko:K06024	cos:Cp4202_0967
ko:K06178	cos:Cp4202_0968
ko:K00945	cos:Cp4202_0969
ko:K03977	cos:Cp4202_0970
ko:K02016	cos:Cp4202_0975
ko:K02015	cos:Cp4202_0977
ko:K02013	cos:Cp4202_0978
ko:K09858	cos:Cp4202_0985
ko:K03070	cos:Cp4202_0987
ko:K08999	cos:Cp4202_0990
ko:K03284	cos:Cp4202_0999
ko:K03885	cos:Cp4202_1001
ko:K00574	cos:Cp4202_1002
ko:K03820	cos:Cp4202_1009
ko:K07113	cos:Cp4202_1010
ko:K02230	cos:Cp4202_1011
ko:K02229	cos:Cp4202_1012
ko:K06042	cos:Cp4202_1013
ko:K05895	cos:Cp4202_1015
ko:K05936	cos:Cp4202_1016
ko:K05567	cos:Cp4202_1804
ko:K05569	cos:Cp4202_1806
ko:K05571	cos:Cp4202_1808
ko:K06048	cos:Cp4202_1810
ko:K01462	cos:Cp4202_1813
ko:K01142	cos:Cp4202_1815
ko:K06131	cos:Cp4202_1816
ko:K00925	cos:Cp4202_1823
ko:K13788	cos:Cp4202_1824
ko:K00528	cos:Cp4202_1825
ko:K08289	cos:Cp4202_1828
ko:K07101	cos:Cp4202_1829
ko:K07399	cos:Cp4202_1837
ko:K03385	cos:Cp4202_1839
ko:K15876	cos:Cp4202_1840
ko:K01939	cos:Cp4202_1841
ko:K01624	cos:Cp4202_1852
ko:K00762	cos:Cp4202_1855
ko:K02994	cos:Cp4202_0366
ko:K02933	cos:Cp4202_0367
ko:K02881	cos:Cp4202_0368
ko:K02988	cos:Cp4202_0369
ko:K02907	cos:Cp4202_0370
ko:K02876	cos:Cp4202_0371
ko:K03076	cos:Cp4202_0380
ko:K02518	cos:Cp4202_0385
ko:K02952	cos:Cp4202_0386
ko:K02948	cos:Cp4202_0387
ko:K02986	cos:Cp4202_0388
ko:K03040	cos:Cp4202_0389
ko:K02879	cos:Cp4202_0390
ko:K06173	cos:Cp4202_0391
ko:K03466	cos:Cp4202_0396
ko:K02871	cos:Cp4202_0400
ko:K02996	cos:Cp4202_0401
ko:K03431	cos:Cp4202_0402
ko:K01775	cos:Cp4202_0407
ko:K06925	cos:Cp4202_0408
ko:K07085	cos:Cp4202_0409
ko:K03789	cos:Cp4202_0412
ko:K04078	cos:Cp4202_0414
ko:K04077	cos:Cp4202_0415
ko:K03088	cos:Cp4202_0416
ko:K00299	cos:Cp4202_1226
ko:K03665	cos:Cp4202_1228
ko:K01778	cos:Cp4202_1231
ko:K00791	cos:Cp4202_1232
ko:K06168	cos:Cp4202_1237
ko:K03565	cos:Cp4202_1238
ko:K03523	cos:Cp4202_1241
ko:K00995	cos:Cp4202_1247
ko:K09780	cos:Cp4202_1249
ko:K03466	cos:Cp4202_1251
ko:K01714	cos:Cp4202_1254
ko:K00215	cos:Cp4202_1256
ko:K00962	cos:Cp4202_1257
ko:K02956	cos:Cp4202_1258
ko:K11753	cos:Cp4202_1260
ko:K02834	cos:Cp4202_1266
ko:K02519	cos:Cp4202_1267
ko:K07742	cos:Cp4202_1268
ko:K02600	cos:Cp4202_1269
ko:K09748	cos:Cp4202_1270
ko:K01881	cos:Cp4202_1272
ko:K09861	cos:Cp4202_1273
ko:K02224	cos:Cp4202_1278
ko:K01657	cos:Cp4202_2074
ko:K00766	cos:Cp4202_2076
ko:K13498	cos:Cp4202_2077
ko:K01696	cos:Cp4202_2078
ko:K01695	cos:Cp4202_2079
ko:K14347	cos:Cp4202_2081
ko:K07735	cos:Cp4202_2085
ko:K03980	cos:Cp4202_2090
ko:K03088	cos:Cp4202_2091
ko:K00384	cos:Cp4202_2093
ko:K03671	cos:Cp4202_2094
ko:K01448	cos:Cp4202_2095
ko:K03501	cos:Cp4202_2099
ko:K03217	cos:Cp4202_2100
ko:K08998	cos:Cp4202_2101
ko:K03536	cos:Cp4202_2102
ko:K02914	cos:Cp4202_2103
ko:K10008	cos:Cp4202_0640
ko:K10005	cos:Cp4202_0641
ko:K10006	cos:Cp4202_0642
ko:K10007	cos:Cp4202_0643
ko:K01644	cos:Cp4202_0644
ko:K02963	cos:Cp4202_0647
ko:K02954	cos:Cp4202_0648
ko:K02913	cos:Cp4202_0649
ko:K02902	cos:Cp4202_0650
ko:K02909	cos:Cp4202_0651
ko:K02911	cos:Cp4202_0652
ko:K03282	cos:Cp4202_0658
ko:K00963	cos:Cp4202_0661
ko:K03750	cos:Cp4202_0662
ko:K03790	cos:Cp4202_0663
ko:K15977	cos:Cp4202_0665
ko:K07056	cos:Cp4202_0671
ko:K01874	cos:Cp4202_0672
ko:K03424	cos:Cp4202_0673
ko:K02528	cos:Cp4202_0675
ko:K00919	cos:Cp4202_0676
ko:K03811	cos:Cp4202_0681
ko:K00134	cos:Cp4202_0685
ko:K02837	cos:Cp4202_0688
ko:K01056	cos:Cp4202_0690
ko:K00459	cos:Cp4202_0691
ko:K01056	cos:Cp4202_0692
ko:K02897	cos:Cp4202_0693
ko:K00820	cos:Cp4202_1498
ko:K01129	cos:Cp4202_1501
ko:K01880	cos:Cp4202_1506
ko:K00806	cos:Cp4202_1511
ko:K03584	cos:Cp4202_1512
ko:K00868	cos:Cp4202_1514
ko:K07042	cos:Cp4202_1516
ko:K09761	cos:Cp4202_1518
ko:K03686	cos:Cp4202_1519
ko:K03705	cos:Cp4202_1520
ko:K00705	cos:Cp4202_1524
ko:K01284	cos:Cp4202_1527
ko:K03311	cos:Cp4202_1534
ko:K07088	cos:Cp4202_1539
ko:K02034	cos:Cp4202_1542
ko:K01524	cos:Cp4202_0259
ko:K00286	cos:Cp4202_0261
ko:K02492	cos:Cp4202_0270
ko:K01749	cos:Cp4202_0271
ko:K13542	cos:Cp4202_0272
ko:K01698	cos:Cp4202_0273
ko:K01599	cos:Cp4202_0276
ko:K00231	cos:Cp4202_0277
ko:K01845	cos:Cp4202_0279
ko:K07399	cos:Cp4202_0283
ko:K02013	cos:Cp4202_0285
ko:K02016	cos:Cp4202_0286
ko:K02015	cos:Cp4202_0287
ko:K02548	cos:Cp4202_0291
ko:K01911	cos:Cp4202_0292
ko:K01661	cos:Cp4202_0293
ko:K02551	cos:Cp4202_0296
ko:K03183	cos:Cp4202_0299
ko:K03073	cos:Cp4202_0303
ko:K02601	cos:Cp4202_0304
ko:K02867	cos:Cp4202_0305
ko:K02863	cos:Cp4202_0306
ko:K02825	cos:Cp4202_1124
ko:K07071	cos:Cp4202_1125
ko:K03625	cos:Cp4202_1127
ko:K02356	cos:Cp4202_1128
ko:K03786	cos:Cp4202_1130
ko:K01735	cos:Cp4202_1131
ko:K00891	cos:Cp4202_1132
ko:K01736	cos:Cp4202_1133
ko:K02654	cos:Cp4202_1134
ko:K00014	cos:Cp4202_1135
ko:K07082	cos:Cp4202_1136
ko:K07447	cos:Cp4202_1137
ko:K01872	cos:Cp4202_1139
ko:K07478	cos:Cp4202_1140
ko:K01876	cos:Cp4202_1142
ko:K01421	cos:Cp4202_1145
ko:K01752	cos:Cp4202_1149
ko:K01892	cos:Cp4202_1153
ko:K11065	cos:Cp4202_1155
ko:K00759	cos:Cp4202_1159
ko:K03074	cos:Cp4202_1161
ko:K03072	cos:Cp4202_1162
ko:K03210	cos:Cp4202_1163
ko:K03551	cos:Cp4202_1164
ko:K03550	cos:Cp4202_1165
ko:K01159	cos:Cp4202_1166
ko:K10805	cos:Cp4202_1169
ko:K01875	cos:Cp4202_1968
ko:K03710	cos:Cp4202_1969
ko:K01126	cos:Cp4202_1981
ko:K04564	cos:Cp4202_1987
ko:K08224	cos:Cp4202_1989
ko:K07146	cos:Cp4202_1999
ko:K03217	cos:Cp4202_2002
ko:K09125	cos:Cp4202_2004
ko:K08369	cos:Cp4202_2017
ko:K02313	cos:Cp4202_0001
ko:K02338	cos:Cp4202_0002
ko:K03629	cos:Cp4202_0003
ko:K02470	cos:Cp4202_0005
ko:K02469	cos:Cp4202_0010
ko:K02057	cos:Cp4202_0016
ko:K02013	cos:Cp4202_0027
ko:K02015	cos:Cp4202_0028
ko:K02015	cos:Cp4202_0029
ko:K02016	cos:Cp4202_0030
ko:K02435	cos:Cp4202_0861
ko:K02015	cos:Cp4202_0867
ko:K02013	cos:Cp4202_0868
ko:K02016	cos:Cp4202_0869
ko:K02434	cos:Cp4202_0871
ko:K06895	cos:Cp4202_0873
ko:K05596	cos:Cp4202_0874
ko:K01653	cos:Cp4202_0881
ko:K00053	cos:Cp4202_0882
ko:K00052	cos:Cp4202_0887
ko:K02361	cos:Cp4202_0892
ko:K01012	cos:Cp4202_0896
ko:K01703	cos:Cp4202_0899
ko:K01704	cos:Cp4202_0900
ko:K00057	cos:Cp4202_0903
ko:K01921	cos:Cp4202_0904
ko:K00946	cos:Cp4202_0906
ko:K03648	cos:Cp4202_0907
ko:K03655	cos:Cp4202_0909
ko:K02039	cos:Cp4202_1698
ko:K02036	cos:Cp4202_1700
ko:K02037	cos:Cp4202_1702
ko:K02040	cos:Cp4202_1703
ko:K06980	cos:Cp4202_1709
ko:K01933	cos:Cp4202_1711
ko:K00764	cos:Cp4202_1712
ko:K11068	cos:Cp4202_1716
ko:K01952	cos:Cp4202_1717
ko:K01952	cos:Cp4202_1718
ko:K01952	cos:Cp4202_1719
ko:K00432	cos:Cp4202_1720
ko:K01354	cos:Cp4202_1721
ko:K01923	cos:Cp4202_1723
ko:K01756	cos:Cp4202_1724
ko:K01945	cos:Cp4202_1727
ko:K00156	cos:Cp4202_1737
ko:K00697	cos:Cp4202_1741
ko:K01087	cos:Cp4202_1743
ko:K03218	cos:Cp4202_1746
ko:K01883	cos:Cp4202_1747
ko:K01770	cos:Cp4202_1748
ko:K03657	cos:Cp4202_0536
ko:K03426	cos:Cp4202_0538
ko:K03657	cos:Cp4202_0539
ko:K07043	cos:Cp4202_0541
ko:K11738	cos:Cp4202_0562
ko:K02836	cos:Cp4202_0570
ko:K09812	cos:Cp4202_0574
ko:K09811	cos:Cp4202_0575
ko:K03664	cos:Cp4202_0576
ko:K01673	cos:Cp4202_0578
ko:K02016	cos:Cp4202_0579
ko:K02015	cos:Cp4202_0580
ko:K02015	cos:Cp4202_0581
ko:K02013	cos:Cp4202_0582
ko:K01929	cos:Cp4202_1385
ko:K01928	cos:Cp4202_1386
ko:K03587	cos:Cp4202_1387
ko:K03438	cos:Cp4202_1389
ko:K03925	cos:Cp4202_1390
ko:K00297	cos:Cp4202_1396
ko:K01626	cos:Cp4202_1401
ko:K00655	cos:Cp4202_1404
ko:K02276	cos:Cp4202_1413
ko:K02275	cos:Cp4202_1415
ko:K01953	cos:Cp4202_1416
ko:K02231	cos:Cp4202_1419
ko:K00768	cos:Cp4202_1420
ko:K02233	cos:Cp4202_1421
ko:K00826	cos:Cp4202_1422
ko:K01255	cos:Cp4202_1423
ko:K00658	cos:Cp4202_1425
ko:K00281	cos:Cp4202_1426
ko:K00605	cos:Cp4202_1427
ko:K02437	cos:Cp4202_1428
ko:K03801	cos:Cp4202_1430
ko:K03644	cos:Cp4202_1431
ko:K01915	cos:Cp4202_1434
ko:K01649	cos:Cp4202_0156
ko:K05346	cos:Cp4202_0157
ko:K00928	cos:Cp4202_0167
ko:K00133	cos:Cp4202_0169
ko:K03088	cos:Cp4202_0170
ko:K03781	cos:Cp4202_0171
ko:K02011	cos:Cp4202_0179
ko:K02012	cos:Cp4202_0180
ko:K02445	cos:Cp4202_0181
ko:K05571	cos:Cp4202_0184
ko:K05569	cos:Cp4202_0186
ko:K05567	cos:Cp4202_0188
ko:K09117	cos:Cp4202_0197
ko:K03118	cos:Cp4202_1021
ko:K03116	cos:Cp4202_1022
ko:K01938	cos:Cp4202_1033
ko:K01744	cos:Cp4202_1034
ko:K07791	cos:Cp4202_1035
ko:K00765	cos:Cp4202_1036
ko:K06153	cos:Cp4202_1042
ko:K05881	cos:Cp4202_1049
ko:K05879	cos:Cp4202_1050
ko:K05878	cos:Cp4202_1051
ko:K01772	cos:Cp4202_1064
ko:K01681	cos:Cp4202_1067
ko:K01951	cos:Cp4202_1069
ko:K07166	cos:Cp4202_1070
ko:K00111	cos:Cp4202_1858
ko:K03695	cos:Cp4202_1867
ko:K03312	cos:Cp4202_1871
ko:K02003	cos:Cp4202_1878
ko:K03686	cos:Cp4202_1889
ko:K03687	cos:Cp4202_1890
ko:K04043	cos:Cp4202_1891
ko:K03306	cos:Cp4202_1900
ko:K02013	cos:Cp4202_1906
ko:K02015	cos:Cp4202_1907
ko:K02016	cos:Cp4202_1908
ko:K03190	cos:Cp4202_1909
ko:K03189	cos:Cp4202_1910
ko:K03188	cos:Cp4202_1911
ko:K03187	cos:Cp4202_1912
ko:K01951	cos:Cp4202_0422
ko:K02072	cos:Cp4202_0429
ko:K02071	cos:Cp4202_0430
ko:K02073	cos:Cp4202_0431
ko:K02073	cos:Cp4202_0432
ko:K03216	cos:Cp4202_0439
ko:K01491	cos:Cp4202_0440
ko:K02016	cos:Cp4202_0446
ko:K02015	cos:Cp4202_0447
ko:K02013	cos:Cp4202_0448
ko:K00031	cos:Cp4202_0451
ko:K00948	cos:Cp4202_0695
ko:K04042	cos:Cp4202_0696
ko:K03723	cos:Cp4202_0700
ko:K03758	cos:Cp4202_0701
ko:K01689	cos:Cp4202_0704
ko:K01524	cos:Cp4202_0707
ko:K03624	cos:Cp4202_0711
ko:K00600	cos:Cp4202_0718
ko:K03823	cos:Cp4202_0724
ko:K03602	cos:Cp4202_0730
ko:K03601	cos:Cp4202_0731
ko:K03527	cos:Cp4202_0732
ko:K06942	cos:Cp4202_0735
ko:K06193	cos:Cp4202_0738
ko:K09781	cos:Cp4202_0742
ko:K00077	cos:Cp4202_0743
ko:K06997	cos:Cp4202_1546
ko:K07112	cos:Cp4202_1547
ko:K03596	cos:Cp4202_1557
ko:K02968	cos:Cp4202_1559
ko:K02340	cos:Cp4202_1562
ko:K02237	cos:Cp4202_1564
ko:K09710	cos:Cp4202_1567
ko:K00969	cos:Cp4202_1568
ko:K00147	cos:Cp4202_1569
ko:K07085	cos:Cp4202_1572
ko:K00931	cos:Cp4202_1573
ko:K03979	cos:Cp4202_1574
ko:K02899	cos:Cp4202_1575
ko:K02888	cos:Cp4202_1576
ko:K00940	cos:Cp4202_1580
ko:K11754	cos:Cp4202_1583
ko:K01873	cos:Cp4202_1584
ko:K00024	cos:Cp4202_1585
ko:K03544	cos:Cp4202_1588
ko:K13950	cos:Cp4202_1589
ko:K01358	cos:Cp4202_1590
ko:K01358	cos:Cp4202_1591
ko:K03545	cos:Cp4202_1592
ko:K06911	cos:Cp4202_1596
ko:K01142	cos:Cp4202_0454
ko:K01867	cos:Cp4202_0456
ko:K07058	cos:Cp4202_0457
ko:K00761	cos:Cp4202_0463
ko:K00382	cos:Cp4202_0467
ko:K13580	cos:Cp4202_1280
ko:K00116	cos:Cp4202_1282
ko:K02232	cos:Cp4202_1286
ko:K01265	cos:Cp4202_1287
ko:K00099	cos:Cp4202_1291
ko:K00981	cos:Cp4202_1295
ko:K02838	cos:Cp4202_1296
ko:K09903	cos:Cp4202_1297
ko:K02357	cos:Cp4202_1298
ko:K02967	cos:Cp4202_1299
ko:K03733	cos:Cp4202_1301
ko:K04096	cos:Cp4202_1302
ko:K07391	cos:Cp4202_1303
ko:K03470	cos:Cp4202_1305
ko:K03100	cos:Cp4202_1306
ko:K02884	cos:Cp4202_1307
ko:K00554	cos:Cp4202_1311
ko:K02860	cos:Cp4202_1312
ko:K02959	cos:Cp4202_1314
ko:K03106	cos:Cp4202_1315
ko:K00990	cos:Cp4202_1316
ko:K04751	cos:Cp4202_1317
ko:K03110	cos:Cp4202_1318
ko:K03529	cos:Cp4202_1320
ko:K01512	cos:Cp4202_1321
ko:K03310	cos:Cp4202_1322
ko:K03685	cos:Cp4202_1324
ko:K07040	cos:Cp4202_1325
ko:K00259	cos:Cp4202_1328
ko:K00262	cos:Cp4202_1329
ko:K00865	cos:Cp4202_1330
ko:K02016	cos:Cp4202_0042
ko:K02013	cos:Cp4202_0043
ko:K02015	cos:Cp4202_0044
ko:K06213	cos:Cp4202_0045
ko:K05343	cos:Cp4202_0046
ko:K03088	cos:Cp4202_0051
ko:K05846	cos:Cp4202_0055
ko:K05846	cos:Cp4202_0056
ko:K05847	cos:Cp4202_0057
ko:K01012	cos:Cp4202_0060
ko:K01241	cos:Cp4202_0063
ko:K01858	cos:Cp4202_0066
ko:K06966	cos:Cp4202_0073
ko:K07090	cos:Cp4202_0080
ko:K03579	cos:Cp4202_0083
ko:K03919	cos:Cp4202_0084
ko:K01246	cos:Cp4202_0085
ko:K06996	cos:Cp4202_0089
ko:K00864	cos:Cp4202_0092
ko:K02440	cos:Cp4202_0093
ko:K00954	cos:Cp4202_0912
ko:K07090	cos:Cp4202_0913
ko:K02029	cos:Cp4202_0916
ko:K02945	cos:Cp4202_0922
ko:K00859	cos:Cp4202_0925
ko:K03702	cos:Cp4202_0927
ko:K03701	cos:Cp4202_0932
ko:K02520	cos:Cp4202_0933
ko:K02916	cos:Cp4202_0934
ko:K02887	cos:Cp4202_0935
ko:K03437	cos:Cp4202_0937
ko:K01889	cos:Cp4202_0938
ko:K01890	cos:Cp4202_0939
ko:K00145	cos:Cp4202_0940
ko:K00930	cos:Cp4202_0942
ko:K00611	cos:Cp4202_0944
ko:K03402	cos:Cp4202_0945
ko:K01940	cos:Cp4202_0946
ko:K01755	cos:Cp4202_0947
ko:K09791	cos:Cp4202_0948
ko:K01866	cos:Cp4202_0949
ko:K06442	cos:Cp4202_0953
ko:K00858	cos:Cp4202_0954
ko:K03631	cos:Cp4202_0955
ko:K05896	cos:Cp4202_0961
ko:K01935	cos:Cp4202_0963
ko:K03305	cos:Cp4202_0964
ko:K00991	cos:Cp4202_1749
ko:K07736	cos:Cp4202_1750
ko:K04485	cos:Cp4202_1756
ko:K01673	cos:Cp4202_1758
ko:K03575	cos:Cp4202_1759
ko:K03696	cos:Cp4202_1762
ko:K04567	cos:Cp4202_1768
ko:K02168	cos:Cp4202_1773
ko:K01918	cos:Cp4202_1775
ko:K00950	cos:Cp4202_1779
ko:K01633	cos:Cp4202_1780
ko:K00796	cos:Cp4202_1781
ko:K01495	cos:Cp4202_1782
ko:K03798	cos:Cp4202_1783
ko:K00760	cos:Cp4202_1784
ko:K04075	cos:Cp4202_1785
ko:K07259	cos:Cp4202_1786
ko:K11103	cos:Cp4202_1789
ko:K04077	cos:Cp4202_1798
ko:K02864	cos:Cp4202_0310
ko:K02935	cos:Cp4202_0311
ko:K03043	cos:Cp4202_0319
ko:K03046	cos:Cp4202_0320
ko:K07089	cos:Cp4202_0327
ko:K04069	cos:Cp4202_0328
ko:K02950	cos:Cp4202_0331
ko:K02992	cos:Cp4202_0332
ko:K02355	cos:Cp4202_0333
ko:K02358	cos:Cp4202_0334
ko:K02946	cos:Cp4202_0342
ko:K02906	cos:Cp4202_0343
ko:K02926	cos:Cp4202_0344
ko:K02892	cos:Cp4202_0345
ko:K02886	cos:Cp4202_0346
ko:K02965	cos:Cp4202_0347
ko:K02890	cos:Cp4202_0348
ko:K02982	cos:Cp4202_0349
ko:K02878	cos:Cp4202_0350
ko:K02904	cos:Cp4202_0351
ko:K02961	cos:Cp4202_0352
ko:K02034	cos:Cp4202_0355
ko:K02874	cos:Cp4202_0359
ko:K02895	cos:Cp4202_0360
ko:K02931	cos:Cp4202_0361
ko:K03837	cos:Cp4202_0362
ko:K01752	cos:Cp4202_0363
ko:K00995	cos:Cp4202_1176
ko:K01868	cos:Cp4202_1178
ko:K07156	cos:Cp4202_1181
ko:K03684	cos:Cp4202_1187
ko:K01662	cos:Cp4202_1188
ko:K00886	cos:Cp4202_1196
ko:K03086	cos:Cp4202_1197
ko:K07560	cos:Cp4202_1203
ko:K04756	cos:Cp4202_1210
ko:K04761	cos:Cp4202_1212
ko:K03578	cos:Cp4202_1214
ko:K07738	cos:Cp4202_1215
ko:K01356	cos:Cp4202_1217
ko:K02768	cos:Cp4202_1222
ko:K02769	cos:Cp4202_1222
ko:K02770	cos:Cp4202_1222
ko:K02939	cos:Cp4202_2022
ko:K02990	cos:Cp4202_2024
ko:K07146	cos:Cp4202_2033
ko:K03975	cos:Cp4202_2034
ko:K04047	cos:Cp4202_2035
ko:K01421	cos:Cp4202_2039
ko:K01869	cos:Cp4202_2040
ko:K02003	cos:Cp4202_2044
ko:K01443	cos:Cp4202_2052
ko:K01714	cos:Cp4202_2060
