ko:K11720	syy:SYNGTS_2880
ko:K00655	syy:SYNGTS_2031
ko:K08482	syy:SYNGTS_2036
ko:K15633	syy:SYNGTS_2040
ko:K03075	syy:SYNGTS_2041
ko:K00627	syy:SYNGTS_2043
ko:K03216	syy:SYNGTS_2049
ko:K05808	syy:SYNGTS_2051
ko:K03801	syy:SYNGTS_2052
ko:K00703	syy:SYNGTS_2054
ko:K01887	syy:SYNGTS_2870
ko:K01358	syy:SYNGTS_2873
ko:K01091	syy:SYNGTS_0484
ko:K05795	syy:SYNGTS_0487
ko:K03190	syy:SYNGTS_0492
ko:K06978	syy:SYNGTS_0497
ko:K07390	syy:SYNGTS_0502
ko:K09747	syy:SYNGTS_0503
ko:K00013	syy:SYNGTS_0504
ko:K01428	syy:SYNGTS_0507
ko:K01662	syy:SYNGTS_0514
ko:K02708	syy:SYNGTS_0518
ko:K00931	syy:SYNGTS_0521
ko:K02469	syy:SYNGTS_0527
ko:K09933	syy:SYNGTS_0529
ko:K09817	syy:SYNGTS_0536
ko:K09816	syy:SYNGTS_0537
ko:K09800	syy:SYNGTS_1357
ko:K09879	syy:SYNGTS_1358
ko:K05579	syy:SYNGTS_1363
ko:K13038	syy:SYNGTS_1368
ko:K03839	syy:SYNGTS_1371
ko:K14540	syy:SYNGTS_1373
ko:K06942	syy:SYNGTS_1374
ko:K02011	syy:SYNGTS_1387
ko:K02012	syy:SYNGTS_1388
ko:K01425	syy:SYNGTS_1391
ko:K02276	syy:SYNGTS_1396
ko:K04083	syy:SYNGTS_1398
ko:K03782	syy:SYNGTS_1399
ko:K07399	syy:SYNGTS_1400
ko:K01652	syy:SYNGTS_1401
ko:K01652	syy:SYNGTS_1408
ko:K01845	syy:SYNGTS_2220
ko:K08304	syy:SYNGTS_2221
ko:K03797	syy:SYNGTS_2224
ko:K07507	syy:SYNGTS_2229
ko:K00748	syy:SYNGTS_2231
ko:K02639	syy:SYNGTS_2232
ko:K00790	syy:SYNGTS_2234
ko:K07347	syy:SYNGTS_2237
ko:K10206	syy:SYNGTS_2240
ko:K03655	syy:SYNGTS_2242
ko:K04773	syy:SYNGTS_2243
ko:K01951	syy:SYNGTS_2245
ko:K06153	syy:SYNGTS_2247
ko:K02231	syy:SYNGTS_2248
ko:K00973	syy:SYNGTS_2253
ko:K01879	syy:SYNGTS_2254
ko:K04094	syy:SYNGTS_2257
ko:K03495	syy:SYNGTS_2259
ko:K03798	syy:SYNGTS_2266
ko:K01338	syy:SYNGTS_2267
ko:K03118	syy:SYNGTS_2268
ko:K01247	syy:SYNGTS_2271
ko:K01778	syy:SYNGTS_3079
ko:K04561	syy:SYNGTS_3089
ko:K01687	syy:SYNGTS_3101
ko:K01091	syy:SYNGTS_3109
ko:K04079	syy:SYNGTS_3115
ko:K00975	syy:SYNGTS_3116
ko:K09001	syy:SYNGTS_3119
ko:K02835	syy:SYNGTS_3120
ko:K03787	syy:SYNGTS_3122
ko:K01696	syy:SYNGTS_2874
ko:K02003	syy:SYNGTS_2876
ko:K01893	syy:SYNGTS_2881
ko:K00611	syy:SYNGTS_2884
ko:K01588	syy:SYNGTS_2885
ko:K03179	syy:SYNGTS_2887
ko:K06923	syy:SYNGTS_2890
ko:K00765	syy:SYNGTS_2892
ko:K04042	syy:SYNGTS_2893
ko:K06949	syy:SYNGTS_2895
ko:K03686	syy:SYNGTS_2897
ko:K01159	syy:SYNGTS_2898
ko:K01609	syy:SYNGTS_2900
ko:K03320	syy:SYNGTS_2901
ko:K10716	syy:SYNGTS_2902
ko:K03544	syy:SYNGTS_2903
ko:K01358	syy:SYNGTS_2904
ko:K03545	syy:SYNGTS_2905
ko:K00133	syy:SYNGTS_2906
ko:K01714	syy:SYNGTS_2907
ko:K00859	syy:SYNGTS_2910
ko:K06997	syy:SYNGTS_2914
ko:K01873	syy:SYNGTS_2918
ko:K08983	syy:SYNGTS_3128
ko:K05356	syy:SYNGTS_0001
ko:K06181	syy:SYNGTS_0002
ko:K02377	syy:SYNGTS_0006
ko:K01711	syy:SYNGTS_0007
ko:K01972	syy:SYNGTS_0010
ko:K02015	syy:SYNGTS_0012
ko:K02015	syy:SYNGTS_0013
ko:K02013	syy:SYNGTS_0014
ko:K02016	syy:SYNGTS_0015
ko:K02016	syy:SYNGTS_0020
ko:K03561	syy:SYNGTS_0026
ko:K02016	syy:SYNGTS_0032
ko:K02016	syy:SYNGTS_0033
ko:K00162	syy:SYNGTS_0871
ko:K00865	syy:SYNGTS_0874
ko:K01738	syy:SYNGTS_0876
ko:K00036	syy:SYNGTS_0877
ko:K03701	syy:SYNGTS_0878
ko:K03530	syy:SYNGTS_0884
ko:K03654	syy:SYNGTS_0887
ko:K02188	syy:SYNGTS_0889
ko:K01770	syy:SYNGTS_0892
ko:K03327	syy:SYNGTS_0893
ko:K03088	syy:SYNGTS_0897
ko:K07089	syy:SYNGTS_0899
ko:K03116	syy:SYNGTS_0901
ko:K03798	syy:SYNGTS_0903
ko:K03787	syy:SYNGTS_0906
ko:K01462	syy:SYNGTS_0907
ko:K04567	syy:SYNGTS_0909
ko:K03531	syy:SYNGTS_0922
ko:K02946	syy:SYNGTS_1745
ko:K02358	syy:SYNGTS_1746
ko:K02355	syy:SYNGTS_1747
ko:K02992	syy:SYNGTS_1748
ko:K02950	syy:SYNGTS_1749
ko:K01945	syy:SYNGTS_1751
ko:K01808	syy:SYNGTS_1753
ko:K09932	syy:SYNGTS_1756
ko:K07267	syy:SYNGTS_1757
ko:K00958	syy:SYNGTS_1760
ko:K10960	syy:SYNGTS_1764
ko:K00005	syy:SYNGTS_1765
ko:K00111	syy:SYNGTS_1776
ko:K00864	syy:SYNGTS_1779
ko:K03437	syy:SYNGTS_1780
ko:K04651	syy:SYNGTS_1782
ko:K00748	syy:SYNGTS_1784
ko:K02888	syy:SYNGTS_1785
ko:K02899	syy:SYNGTS_1786
ko:K08641	syy:SYNGTS_1787
ko:K01649	syy:SYNGTS_1788
ko:K01868	syy:SYNGTS_2597
ko:K05928	syy:SYNGTS_2600
ko:K00457	syy:SYNGTS_2601
ko:K05516	syy:SYNGTS_2604
ko:K03321	syy:SYNGTS_2606
ko:K01693	syy:SYNGTS_2609
ko:K02003	syy:SYNGTS_2614
ko:K02234	syy:SYNGTS_2615
ko:K10206	syy:SYNGTS_2621
ko:K03561	syy:SYNGTS_2628
ko:K02012	syy:SYNGTS_2629
ko:K01952	syy:SYNGTS_2636
ko:K01952	syy:SYNGTS_2637
ko:K00948	syy:SYNGTS_2642
ko:K01935	syy:SYNGTS_2643
ko:K07568	syy:SYNGTS_2644
ko:K03797	syy:SYNGTS_0155
ko:K02115	syy:SYNGTS_0158
ko:K02111	syy:SYNGTS_0159
ko:K02113	syy:SYNGTS_0160
ko:K02109	syy:SYNGTS_0161
ko:K02109	syy:SYNGTS_0162
ko:K02110	syy:SYNGTS_0163
ko:K02108	syy:SYNGTS_0164
ko:K03924	syy:SYNGTS_0169
ko:K02065	syy:SYNGTS_0173
ko:K00950	syy:SYNGTS_0175
ko:K00382	syy:SYNGTS_0179
ko:K03186	syy:SYNGTS_0182
ko:K06207	syy:SYNGTS_0188
ko:K07080	syy:SYNGTS_0189
ko:K00761	syy:SYNGTS_0192
ko:K00266	syy:SYNGTS_0201
ko:K01442	syy:SYNGTS_0204
ko:K00134	syy:SYNGTS_1035
ko:K00684	syy:SYNGTS_1037
ko:K03644	syy:SYNGTS_1038
ko:K03703	syy:SYNGTS_1046
ko:K01448	syy:SYNGTS_1047
ko:K07106	syy:SYNGTS_1051
ko:K02634	syy:SYNGTS_1053
ko:K02709	syy:SYNGTS_1055
ko:K09780	syy:SYNGTS_1057
ko:K07088	syy:SYNGTS_1083
ko:K00766	syy:SYNGTS_1086
ko:K09803	syy:SYNGTS_1900
ko:K02716	syy:SYNGTS_1903
ko:K00800	syy:SYNGTS_1906
ko:K01756	syy:SYNGTS_1910
ko:K01429	syy:SYNGTS_1912
ko:K02341	syy:SYNGTS_1915
ko:K04485	syy:SYNGTS_1917
ko:K03625	syy:SYNGTS_1921
ko:K04066	syy:SYNGTS_1923
ko:K08972	syy:SYNGTS_1933
ko:K02959	syy:SYNGTS_1937
ko:K06960	syy:SYNGTS_1938
ko:K01915	syy:SYNGTS_1939
ko:K06925	syy:SYNGTS_1944
ko:K00281	syy:SYNGTS_1945
ko:K00927	syy:SYNGTS_1950
ko:K01872	syy:SYNGTS_1952
ko:K03284	syy:SYNGTS_2782
ko:K00262	syy:SYNGTS_2793
ko:K09457	syy:SYNGTS_2794
ko:K00097	syy:SYNGTS_2799
ko:K00773	syy:SYNGTS_2801
ko:K01000	syy:SYNGTS_2805
ko:K03737	syy:SYNGTS_2811
ko:K02020	syy:SYNGTS_2814
ko:K03979	syy:SYNGTS_0372
ko:K01465	syy:SYNGTS_0375
ko:K03320	syy:SYNGTS_0376
ko:K00860	syy:SYNGTS_0381
ko:K03561	syy:SYNGTS_0382
ko:K03500	syy:SYNGTS_0384
ko:K07301	syy:SYNGTS_0386
ko:K00013	syy:SYNGTS_0387
ko:K09940	syy:SYNGTS_0396
ko:K03189	syy:SYNGTS_0397
ko:K00788	syy:SYNGTS_0407
ko:K06180	syy:SYNGTS_0412
ko:K13993	syy:SYNGTS_0420
ko:K03644	syy:SYNGTS_0423
ko:K02040	syy:SYNGTS_1261
ko:K02037	syy:SYNGTS_1262
ko:K02038	syy:SYNGTS_1263
ko:K02036	syy:SYNGTS_1264
ko:K06890	syy:SYNGTS_1269
ko:K02293	syy:SYNGTS_1271
ko:K02291	syy:SYNGTS_1272
ko:K01430	syy:SYNGTS_1274
ko:K07090	syy:SYNGTS_1280
ko:K00817	syy:SYNGTS_1285
ko:K06188	syy:SYNGTS_1287
ko:K03168	syy:SYNGTS_1288
ko:K02687	syy:SYNGTS_1301
ko:K01649	syy:SYNGTS_2116
ko:K06901	syy:SYNGTS_2118
ko:K06178	syy:SYNGTS_2119
ko:K07015	syy:SYNGTS_2120
ko:K07636	syy:SYNGTS_2127
ko:K01963	syy:SYNGTS_2128
ko:K00943	syy:SYNGTS_2135
ko:K04487	syy:SYNGTS_2145
ko:K03072	syy:SYNGTS_2154
ko:K03074	syy:SYNGTS_2155
ko:K02536	syy:SYNGTS_2156
ko:K02887	syy:SYNGTS_2157
ko:K02916	syy:SYNGTS_2158
ko:K03630	syy:SYNGTS_2159
ko:K07146	syy:SYNGTS_2160
ko:K00764	syy:SYNGTS_2168
ko:K09919	syy:SYNGTS_2971
ko:K00928	syy:SYNGTS_2972
ko:K01414	syy:SYNGTS_2974
ko:K00286	syy:SYNGTS_2975
ko:K03517	syy:SYNGTS_2981
ko:K01682	syy:SYNGTS_2985
ko:K03778	syy:SYNGTS_2990
ko:K01956	syy:SYNGTS_2991
ko:K15736	syy:SYNGTS_2994
ko:K00014	syy:SYNGTS_2995
ko:K02502	syy:SYNGTS_2996
ko:K05810	syy:SYNGTS_3010
ko:K09777	syy:SYNGTS_3011
ko:K06024	syy:SYNGTS_3014
ko:K03885	syy:SYNGTS_3018
ko:K01057	syy:SYNGTS_3022
ko:K05516	syy:SYNGTS_0547
ko:K04043	syy:SYNGTS_0548
ko:K00600	syy:SYNGTS_0549
ko:K01448	syy:SYNGTS_0556
ko:K03587	syy:SYNGTS_0568
ko:K11473	syy:SYNGTS_0570
ko:K06168	syy:SYNGTS_0578
ko:K10716	syy:SYNGTS_0583
ko:K01070	syy:SYNGTS_0588
ko:K01866	syy:SYNGTS_0592
ko:K11532	syy:SYNGTS_1412
ko:K06886	syy:SYNGTS_1415
ko:K03110	syy:SYNGTS_1420
ko:K08591	syy:SYNGTS_1423
ko:K00759	syy:SYNGTS_1425
ko:K03453	syy:SYNGTS_1428
ko:K01881	syy:SYNGTS_1432
ko:K03621	syy:SYNGTS_1441
ko:K00648	syy:SYNGTS_1442
ko:K02717	syy:SYNGTS_1443
ko:K07086	syy:SYNGTS_1444
ko:K00858	syy:SYNGTS_1446
ko:K04564	syy:SYNGTS_1451
ko:K00052	syy:SYNGTS_1452
ko:K02548	syy:SYNGTS_1454
ko:K03665	syy:SYNGTS_1457
ko:K07075	syy:SYNGTS_1462
ko:K01255	syy:SYNGTS_1463
ko:K04077	syy:SYNGTS_2276
ko:K09807	syy:SYNGTS_2279
ko:K07107	syy:SYNGTS_2284
ko:K02356	syy:SYNGTS_2287
ko:K02160	syy:SYNGTS_2288
ko:K00812	syy:SYNGTS_2297
ko:K01647	syy:SYNGTS_2298
ko:K08296	syy:SYNGTS_2299
ko:K03154	syy:SYNGTS_2302
ko:K01433	syy:SYNGTS_2306
ko:K01673	syy:SYNGTS_2307
ko:K07395	syy:SYNGTS_2308
ko:K01653	syy:SYNGTS_2312
ko:K07042	syy:SYNGTS_2314
ko:K01991	syy:SYNGTS_0649
ko:K02520	syy:SYNGTS_0314
ko:K00978	syy:SYNGTS_0325
ko:K01709	syy:SYNGTS_0326
ko:K01790	syy:SYNGTS_0327
ko:K01955	syy:SYNGTS_0334
ko:K01711	syy:SYNGTS_0348
ko:K03818	syy:SYNGTS_0362
ko:K01903	syy:SYNGTS_0368
ko:K01356	syy:SYNGTS_1194
ko:K00240	syy:SYNGTS_1195
ko:K09833	syy:SYNGTS_1198
ko:K09834	syy:SYNGTS_1199
ko:K03885	syy:SYNGTS_1207
ko:K01448	syy:SYNGTS_1208
ko:K01776	syy:SYNGTS_1209
ko:K03885	syy:SYNGTS_1211
ko:K03789	syy:SYNGTS_1213
ko:K01669	syy:SYNGTS_1214
ko:K03088	syy:SYNGTS_1217
ko:K03281	syy:SYNGTS_1218
ko:K02313	syy:SYNGTS_1225
ko:K08289	syy:SYNGTS_1227
ko:K03568	syy:SYNGTS_1230
ko:K00566	syy:SYNGTS_1231
ko:K06158	syy:SYNGTS_1234
ko:K01591	syy:SYNGTS_1237
ko:K03555	syy:SYNGTS_1245
ko:K02034	syy:SYNGTS_2061
ko:K00793	syy:SYNGTS_2064
ko:K02011	syy:SYNGTS_2066
ko:K09928	syy:SYNGTS_2069
ko:K06962	syy:SYNGTS_2070
ko:K02691	syy:SYNGTS_2073
ko:K07137	syy:SYNGTS_2091
ko:K00605	syy:SYNGTS_2095
ko:K04043	syy:SYNGTS_2096
ko:K13542	syy:SYNGTS_2100
ko:K03584	syy:SYNGTS_2107
ko:K00762	syy:SYNGTS_2114
ko:K05580	syy:SYNGTS_2921
ko:K05572	syy:SYNGTS_2922
ko:K02426	syy:SYNGTS_2924
ko:K01256	syy:SYNGTS_2928
ko:K01924	syy:SYNGTS_2930
ko:K00075	syy:SYNGTS_2931
ko:K03594	syy:SYNGTS_2933
ko:K06187	syy:SYNGTS_2935
ko:K06946	syy:SYNGTS_2938
ko:K02048	syy:SYNGTS_2947
ko:K02046	syy:SYNGTS_2949
ko:K02047	syy:SYNGTS_2950
ko:K02045	syy:SYNGTS_2951
ko:K07240	syy:SYNGTS_2953
ko:K02355	syy:SYNGTS_2959
ko:K00053	syy:SYNGTS_2962
ko:K01814	syy:SYNGTS_2964
ko:K00278	syy:SYNGTS_2965
ko:K02698	syy:SYNGTS_2967
ko:K03086	syy:SYNGTS_2968
ko:K00901	syy:SYNGTS_2315
ko:K04040	syy:SYNGTS_2317
ko:K07001	syy:SYNGTS_2324
ko:K04043	syy:SYNGTS_2327
ko:K12957	syy:SYNGTS_3134
ko:K01940	syy:SYNGTS_3135
ko:K01589	syy:SYNGTS_3138
ko:K00926	syy:SYNGTS_3147
ko:K00602	syy:SYNGTS_3155
ko:K00384	syy:SYNGTS_3160
ko:K02337	syy:SYNGTS_3164
ko:K03596	syy:SYNGTS_3165
ko:K11755	syy:SYNGTS_3169
ko:K01875	syy:SYNGTS_0652
ko:K02337	syy:SYNGTS_0667
ko:K05567	syy:SYNGTS_0676
ko:K05567	syy:SYNGTS_0678
ko:K05566	syy:SYNGTS_0684
ko:K00645	syy:SYNGTS_0694
ko:K00969	syy:SYNGTS_0698
ko:K00796	syy:SYNGTS_0700
ko:K07259	syy:SYNGTS_1530
ko:K02694	syy:SYNGTS_1533
ko:K02860	syy:SYNGTS_1535
ko:K07056	syy:SYNGTS_1538
ko:K00791	syy:SYNGTS_1540
ko:K02275	syy:SYNGTS_1544
ko:K03525	syy:SYNGTS_1545
ko:K00720	syy:SYNGTS_1546
ko:K07040	syy:SYNGTS_1550
ko:K03800	syy:SYNGTS_1553
ko:K03820	syy:SYNGTS_1556
ko:K01783	syy:SYNGTS_1562
ko:K02357	syy:SYNGTS_1571
ko:K02967	syy:SYNGTS_1572
ko:K07300	syy:SYNGTS_1573
ko:K01494	syy:SYNGTS_1574
ko:K02954	syy:SYNGTS_2381
ko:K03969	syy:SYNGTS_2382
ko:K03070	syy:SYNGTS_2384
ko:K03551	syy:SYNGTS_2387
ko:K03149	syy:SYNGTS_2388
ko:K06980	syy:SYNGTS_2390
ko:K02233	syy:SYNGTS_2392
ko:K01878	syy:SYNGTS_2394
ko:K01999	syy:SYNGTS_2401
ko:K02551	syy:SYNGTS_2403
ko:K07259	syy:SYNGTS_2406
ko:K01874	syy:SYNGTS_2408
ko:K01129	syy:SYNGTS_2410
ko:K02469	syy:SYNGTS_2417
ko:K02007	syy:SYNGTS_2421
ko:K00677	syy:SYNGTS_2428
ko:K03723	syy:SYNGTS_2432
ko:K03642	syy:SYNGTS_2434
ko:K02988	syy:SYNGTS_0759
ko:K02881	syy:SYNGTS_0760
ko:K02933	syy:SYNGTS_0761
ko:K02994	syy:SYNGTS_0762
ko:K02931	syy:SYNGTS_0763
ko:K02895	syy:SYNGTS_0764
ko:K02874	syy:SYNGTS_0765
ko:K02961	syy:SYNGTS_0766
ko:K02904	syy:SYNGTS_0767
ko:K02878	syy:SYNGTS_0768
ko:K02982	syy:SYNGTS_0769
ko:K02890	syy:SYNGTS_0770
ko:K02965	syy:SYNGTS_0771
ko:K02886	syy:SYNGTS_0772
ko:K02892	syy:SYNGTS_0773
ko:K02926	syy:SYNGTS_0774
ko:K02906	syy:SYNGTS_0775
ko:K04047	syy:SYNGTS_0776
ko:K00930	syy:SYNGTS_0782
ko:K03188	syy:SYNGTS_0783
ko:K03046	syy:SYNGTS_0790
ko:K03043	syy:SYNGTS_0791
ko:K03424	syy:SYNGTS_0792
ko:K02968	syy:SYNGTS_0793
ko:K03657	syy:SYNGTS_0796
ko:K03529	syy:SYNGTS_0797
ko:K04096	syy:SYNGTS_0802
ko:K03572	syy:SYNGTS_0806
ko:K03977	syy:SYNGTS_1631
ko:K00620	syy:SYNGTS_1633
ko:K06203	syy:SYNGTS_1642
ko:K02071	syy:SYNGTS_1651
ko:K02945	syy:SYNGTS_1653
ko:K07566	syy:SYNGTS_1656
ko:K06872	syy:SYNGTS_1657
ko:K06042	syy:SYNGTS_1664
ko:K02914	syy:SYNGTS_1666
ko:K03536	syy:SYNGTS_1667
ko:K03217	syy:SYNGTS_1669
ko:K02639	syy:SYNGTS_1673
ko:K00609	syy:SYNGTS_1677
ko:K03637	syy:SYNGTS_2489
ko:K03636	syy:SYNGTS_2490
ko:K07391	syy:SYNGTS_2493
ko:K02704	syy:SYNGTS_2495
ko:K01265	syy:SYNGTS_2503
ko:K01579	syy:SYNGTS_2506
ko:K00024	syy:SYNGTS_2507
ko:K01056	syy:SYNGTS_2510
ko:K01265	syy:SYNGTS_2515
ko:K03113	syy:SYNGTS_2524
ko:K02340	syy:SYNGTS_2526
ko:K01895	syy:SYNGTS_2536
ko:K04654	syy:SYNGTS_0044
ko:K00067	syy:SYNGTS_0045
ko:K00703	syy:SYNGTS_0047
ko:K15256	syy:SYNGTS_0052
ko:K05946	syy:SYNGTS_0056
ko:K02654	syy:SYNGTS_0064
ko:K00215	syy:SYNGTS_0066
ko:K03671	syy:SYNGTS_0067
ko:K01952	syy:SYNGTS_0068
ko:K00942	syy:SYNGTS_0072
ko:K07090	syy:SYNGTS_0075
ko:K08300	syy:SYNGTS_0080
ko:K03470	syy:SYNGTS_0081
ko:K00962	syy:SYNGTS_0083
ko:K03100	syy:SYNGTS_0084
ko:K01738	syy:SYNGTS_0086
ko:K00919	syy:SYNGTS_0087
ko:K02528	syy:SYNGTS_0090
ko:K09761	syy:SYNGTS_0091
ko:K03589	syy:SYNGTS_0923
ko:K03797	syy:SYNGTS_0924
ko:K03438	syy:SYNGTS_0926
ko:K03187	syy:SYNGTS_0928
ko:K03657	syy:SYNGTS_0931
ko:K08999	syy:SYNGTS_0932
ko:K07071	syy:SYNGTS_0933
ko:K01923	syy:SYNGTS_0937
ko:K07277	syy:SYNGTS_0938
ko:K02837	syy:SYNGTS_0939
ko:K06955	syy:SYNGTS_0942
ko:K00239	syy:SYNGTS_0945
ko:K02503	syy:SYNGTS_0947
ko:K09005	syy:SYNGTS_0949
ko:K02192	syy:SYNGTS_0950
ko:K01920	syy:SYNGTS_0959
ko:K01661	syy:SYNGTS_0961
ko:K00324	syy:SYNGTS_0962
ko:K07075	syy:SYNGTS_0964
ko:K00325	syy:SYNGTS_0966
ko:K03592	syy:SYNGTS_0967
ko:K01870	syy:SYNGTS_0971
ko:K02343	syy:SYNGTS_0973
ko:K06991	syy:SYNGTS_0974
ko:K00688	syy:SYNGTS_0977
ko:K13821	syy:SYNGTS_1794
ko:K01902	syy:SYNGTS_1805
ko:K01950	syy:SYNGTS_1811
ko:K01890	syy:SYNGTS_1815
ko:K01595	syy:SYNGTS_1818
ko:K00767	syy:SYNGTS_1821
ko:K06042	syy:SYNGTS_1824
ko:K01623	syy:SYNGTS_1829
ko:K15738	syy:SYNGTS_1837
ko:K06442	syy:SYNGTS_1839
ko:K00991	syy:SYNGTS_1843
ko:K03841	syy:SYNGTS_1844
ko:K02232	syy:SYNGTS_2655
ko:K00873	syy:SYNGTS_2659
ko:K07007	syy:SYNGTS_2660
ko:K03671	syy:SYNGTS_2661
ko:K03312	syy:SYNGTS_2665
ko:K06208	syy:SYNGTS_2666
ko:K03320	syy:SYNGTS_2669
ko:K01625	syy:SYNGTS_2670
ko:K07037	syy:SYNGTS_2672
ko:K06941	syy:SYNGTS_2680
ko:K03147	syy:SYNGTS_2694
ko:K07058	syy:SYNGTS_2695
ko:K00937	syy:SYNGTS_2698
ko:K03608	syy:SYNGTS_2699
ko:K03609	syy:SYNGTS_2700
ko:K03610	syy:SYNGTS_2701
ko:K00259	syy:SYNGTS_0214
ko:K03474	syy:SYNGTS_0215
ko:K06374	syy:SYNGTS_0222
ko:K06373	syy:SYNGTS_0223
ko:K00705	syy:SYNGTS_0224
ko:K00946	syy:SYNGTS_0226
ko:K08973	syy:SYNGTS_0232
ko:K00390	syy:SYNGTS_0233
ko:K03705	syy:SYNGTS_0234
ko:K00891	syy:SYNGTS_0235
ko:K03524	syy:SYNGTS_0255
ko:K03183	syy:SYNGTS_0257
ko:K00031	syy:SYNGTS_0259
ko:K06911	syy:SYNGTS_1092
ko:K07456	syy:SYNGTS_1094
ko:K01921	syy:SYNGTS_1101
ko:K06891	syy:SYNGTS_1103
ko:K02990	syy:SYNGTS_1105
ko:K06871	syy:SYNGTS_1108
ko:K03394	syy:SYNGTS_1113
ko:K00872	syy:SYNGTS_1115
ko:K03431	syy:SYNGTS_1117
ko:K11753	syy:SYNGTS_1120
ko:K01867	syy:SYNGTS_1124
ko:K09710	syy:SYNGTS_1127
ko:K01749	syy:SYNGTS_1129
ko:K13788	syy:SYNGTS_1131
