ko:K13060	yew:CH47_1045
ko:K05812	yew:CH47_2615
ko:K00998	yew:CH47_2617
ko:K05811	yew:CH47_2621
ko:K03216	yew:CH47_3413
ko:K00640	yew:CH47_3414
ko:K00057	yew:CH47_3415
ko:K03071	yew:CH47_3416
ko:K15633	yew:CH47_3419
ko:K09798	yew:CH47_3421
ko:K00060	yew:CH47_3422
ko:K00639	yew:CH47_3423
ko:K03274	yew:CH47_3424
ko:K02843	yew:CH47_3425
ko:K02841	yew:CH47_3426
ko:K02527	yew:CH47_3427
ko:K12984	yew:CH47_3428
ko:K00954	yew:CH47_3429
ko:K10563	yew:CH47_3430
ko:K02913	yew:CH47_3431
ko:K02902	yew:CH47_3432
ko:K03630	yew:CH47_3433
ko:K13038	yew:CH47_3434
ko:K05501	yew:CH47_3436
ko:K00762	yew:CH47_3437
ko:K00989	yew:CH47_3438
ko:K06897	yew:CH47_3453
ko:K14051	yew:CH47_3455
ko:K13816	yew:CH47_3456
ko:K03317	yew:CH47_3457
ko:K01972	yew:CH47_3460
ko:K00942	yew:CH47_3461
ko:K03060	yew:CH47_3462
ko:K00556	yew:CH47_3464
ko:K03655	yew:CH47_3465
ko:K03225	yew:CH47_74
ko:K13285	yew:CH47_80
ko:K13287	yew:CH47_82
ko:K02078	yew:CH47_84
ko:K15549	yew:CH47_87
ko:K15547	yew:CH47_88
ko:K01581	yew:CH47_90
ko:K03756	yew:CH47_91
ko:K02781	yew:CH47_512
ko:K02782	yew:CH47_513
ko:K02783	yew:CH47_513
ko:K02783	yew:CH47_514
ko:K08303	yew:CH47_517
ko:K09946	yew:CH47_520
ko:K07664	yew:CH47_521
ko:K07642	yew:CH47_522
ko:K18326	yew:CH47_523
ko:K07789	yew:CH47_524
ko:K07788	yew:CH47_525
ko:K07799	yew:CH47_526
ko:K07347	yew:CH47_529
ko:K04046	yew:CH47_532
ko:K06213	yew:CH47_534
ko:K01524	yew:CH47_536
ko:K00937	yew:CH47_537
ko:K09997	yew:CH47_949
ko:K10000	yew:CH47_950
ko:K01620	yew:CH47_954
ko:K00156	yew:CH47_956
ko:K11933	yew:CH47_957
ko:K05601	yew:CH47_958
ko:K07459	yew:CH47_961
ko:K09824	yew:CH47_960
ko:K13888	yew:CH47_962
ko:K05685	yew:CH47_963
ko:K03704	yew:CH47_964
ko:K06891	yew:CH47_965
ko:K03694	yew:CH47_966
ko:K02518	yew:CH47_967
ko:K00684	yew:CH47_968
ko:K16012	yew:CH47_969
ko:K16013	yew:CH47_970
ko:K00384	yew:CH47_971
ko:K03719	yew:CH47_973
ko:K03466	yew:CH47_974
ko:K10974	yew:CH47_1393
ko:K01176	yew:CH47_1400
ko:K01681	yew:CH47_1402
ko:K01497	yew:CH47_1403
ko:K08992	yew:CH47_1405
ko:K05782	yew:CH47_1408
ko:K01591	yew:CH47_1410
ko:K03113	yew:CH47_1411
ko:K04062	yew:CH47_1412
ko:K08313	yew:CH47_1416
ko:K06200	yew:CH47_1418
ko:K01147	yew:CH47_1419
ko:K09477	yew:CH47_1991
ko:K05966	yew:CH47_1992
ko:K05964	yew:CH47_1993
ko:K01643	yew:CH47_1994
ko:K01644	yew:CH47_1995
ko:K01646	yew:CH47_1996
ko:K01910	yew:CH47_1997
ko:K07700	yew:CH47_1998
ko:K07702	yew:CH47_1999
ko:K07783	yew:CH47_2002
ko:K02012	yew:CH47_2003
ko:K02011	yew:CH47_2004
ko:K02010	yew:CH47_2005
ko:K07688	yew:CH47_2007
ko:K07679	yew:CH47_2008
ko:K07345	yew:CH47_2009
ko:K07347	yew:CH47_2011
ko:K00077	yew:CH47_2015
ko:K00375	yew:CH47_2017
ko:K16137	yew:CH47_2019
ko:K03415	yew:CH47_2020
ko:K01940	yew:CH47_2027
ko:K11897	yew:CH47_2028
ko:K11898	yew:CH47_2029
ko:K11904	yew:CH47_2032
ko:K11891	yew:CH47_2033
ko:K11892	yew:CH47_2034
ko:K11893	yew:CH47_2035
ko:K11906	yew:CH47_2036
ko:K11903	yew:CH47_2037
ko:K11900	yew:CH47_2038
ko:K11901	yew:CH47_2039
ko:K07347	yew:CH47_2041
ko:K07345	yew:CH47_2043
ko:K11907	yew:CH47_2044
ko:K11896	yew:CH47_2045
ko:K01667	yew:CH47_2831
ko:K03835	yew:CH47_2832
ko:K03291	yew:CH47_2833
ko:K07473	yew:CH47_2835
ko:K00656	yew:CH47_2836
ko:K04069	yew:CH47_2837
ko:K11925	yew:CH47_2838
ko:K02064	yew:CH47_2841
ko:K02063	yew:CH47_2842
ko:K02062	yew:CH47_2844
ko:K02336	yew:CH47_2845
ko:K03580	yew:CH47_2846
ko:K06177	yew:CH47_2847
ko:K05801	yew:CH47_2848
ko:K04744	yew:CH47_2849
ko:K03771	yew:CH47_2850
ko:K00097	yew:CH47_2851
ko:K02528	yew:CH47_2852
ko:K06195	yew:CH47_2853
ko:K01525	yew:CH47_2854
ko:K01955	yew:CH47_2859
ko:K01956	yew:CH47_2860
ko:K00215	yew:CH47_2861
ko:K03527	yew:CH47_2862
ko:K03774	yew:CH47_2863
ko:K03101	yew:CH47_2864
ko:K01870	yew:CH47_2865
ko:K11753	yew:CH47_2866
ko:K02968	yew:CH47_2867
ko:K03717	yew:CH47_2868
ko:K03313	yew:CH47_2869
ko:K03686	yew:CH47_2870
ko:K04043	yew:CH47_2871
ko:K07034	yew:CH47_2872
ko:K03831	yew:CH47_2875
ko:K00616	yew:CH47_2876
ko:K09861	yew:CH47_2877
ko:K01733	yew:CH47_2878
ko:K00872	yew:CH47_2879
ko:K12524	yew:CH47_2880
ko:K07773	yew:CH47_2881
ko:K05805	yew:CH47_2882
ko:K07115	yew:CH47_3676
ko:K01414	yew:CH47_3677
ko:K15984	yew:CH47_3678
ko:K00262	yew:CH47_3680
ko:K06149	yew:CH47_3681
ko:K06144	yew:CH47_3682
ko:K16322	yew:CH47_3683
ko:K07007	yew:CH47_3684
ko:K04835	yew:CH47_3688
ko:K01846	yew:CH47_3691
ko:K16651	yew:CH47_3692
ko:K02303	yew:CH47_3693
ko:K01676	yew:CH47_3695
ko:K00140	yew:CH47_3701
ko:K03337	yew:CH47_3702
ko:K03338	yew:CH47_3704
ko:K03336	yew:CH47_3705
ko:K00010	yew:CH47_3706
ko:K03335	yew:CH47_3707
ko:K03825	yew:CH47_3708
ko:K06911	yew:CH47_3709
ko:K06145	yew:CH47_3710
ko:K06155	yew:CH47_3711
ko:K00851	yew:CH47_3712
ko:K00133	yew:CH47_3714
ko:K01652	yew:CH47_3715
ko:K01575	yew:CH47_3716
ko:K02478	yew:CH47_3717
ko:K00700	yew:CH47_3719
ko:K00975	yew:CH47_3721
ko:K00703	yew:CH47_3722
ko:K00688	yew:CH47_3723
ko:K00111	yew:CH47_3724
ko:K07638	yew:CH47_3726
ko:K07659	yew:CH47_3727
ko:K07497	yew:CH47_538
ko:K01586	yew:CH47_214
ko:K02529	yew:CH47_215
ko:K08351	yew:CH47_216
ko:K05939	yew:CH47_217
ko:K08227	yew:CH47_218
ko:K03573	yew:CH47_221
ko:K08311	yew:CH47_222
ko:K08484	yew:CH47_223
ko:K13292	yew:CH47_224
ko:K02679	yew:CH47_226
ko:K02680	yew:CH47_227
ko:K02681	yew:CH47_229
ko:K03583	yew:CH47_230
ko:K01407	yew:CH47_231
ko:K03582	yew:CH47_232
ko:K03581	yew:CH47_233
ko:K14682	yew:CH47_234
ko:K01448	yew:CH47_235
ko:K08167	yew:CH47_648
ko:K02066	yew:CH47_650
ko:K02065	yew:CH47_651
ko:K02067	yew:CH47_652
ko:K18480	yew:CH47_653
ko:K03487	yew:CH47_658
ko:K02752	yew:CH47_659
ko:K02753	yew:CH47_659
ko:K01223	yew:CH47_660
ko:K06193	yew:CH47_663
ko:K07733	yew:CH47_665
ko:K02078	yew:CH47_1085
ko:K09458	yew:CH47_1086
ko:K02619	yew:CH47_1087
ko:K07082	yew:CH47_1088
ko:K00943	yew:CH47_1089
ko:K02341	yew:CH47_1090
ko:K03424	yew:CH47_1091
ko:K02778	yew:CH47_1092
ko:K02779	yew:CH47_1092
ko:K13409	yew:CH47_1093
ko:K13408	yew:CH47_1094
ko:K06871	yew:CH47_1095
ko:K00014	yew:CH47_1097
ko:K02503	yew:CH47_1098
ko:K07337	yew:CH47_1100
ko:K07251	yew:CH47_1101
ko:K01207	yew:CH47_1102
ko:K07000	yew:CH47_1103
ko:K03885	yew:CH47_1104
ko:K03723	yew:CH47_1106
ko:K09808	yew:CH47_1107
ko:K09810	yew:CH47_1108
ko:K02033	yew:CH47_350
ko:K02034	yew:CH47_351
ko:K01430	yew:CH47_355
ko:K01429	yew:CH47_356
ko:K01428	yew:CH47_357
ko:K03187	yew:CH47_358
ko:K03188	yew:CH47_359
ko:K03189	yew:CH47_360
ko:K03190	yew:CH47_361
ko:K08717	yew:CH47_362
ko:K07241	yew:CH47_363
ko:K10716	yew:CH47_365
ko:K06199	yew:CH47_366
ko:K06199	yew:CH47_367
ko:K02760	yew:CH47_370
ko:K02761	yew:CH47_371
ko:K01223	yew:CH47_372
ko:K02759	yew:CH47_373
ko:K03490	yew:CH47_374
ko:K01690	yew:CH47_786
ko:K05594	yew:CH47_790
ko:K02552	yew:CH47_793
ko:K02551	yew:CH47_794
ko:K08680	yew:CH47_795
ko:K01661	yew:CH47_796
ko:K02549	yew:CH47_797
ko:K01911	yew:CH47_798
ko:K03781	yew:CH47_799
ko:K03834	yew:CH47_801
ko:K08276	yew:CH47_806
ko:K11107	yew:CH47_807
ko:K00335	yew:CH47_766
ko:K12545	yew:CH47_3371
ko:K12545	yew:CH47_3372
ko:K12545	yew:CH47_3374
ko:K03664	yew:CH47_410
ko:K09801	yew:CH47_412
ko:K06186	yew:CH47_413
ko:K03631	yew:CH47_414
ko:K00858	yew:CH47_415
ko:K03687	yew:CH47_416
ko:K07491	yew:CH47_417
ko:K03648	yew:CH47_418
ko:K05590	yew:CH47_422
ko:K15460	yew:CH47_423
ko:K00278	yew:CH47_424
ko:K03088	yew:CH47_425
ko:K03597	yew:CH47_426
ko:K03598	yew:CH47_427
ko:K03803	yew:CH47_428
ko:K03596	yew:CH47_430
ko:K02897	yew:CH47_840
ko:K06183	yew:CH47_842
ko:K07552	yew:CH47_843
ko:K13896	yew:CH47_845
ko:K13895	yew:CH47_846
ko:K13894	yew:CH47_847
ko:K13893	yew:CH47_848
ko:K13694	yew:CH47_851
ko:K13637	yew:CH47_855
ko:K00040	yew:CH47_856
ko:K01686	yew:CH47_857
ko:K02356	yew:CH47_858
ko:K03835	yew:CH47_859
ko:K06940	yew:CH47_860
ko:K07812	yew:CH47_861
ko:K03532	yew:CH47_862
ko:K02768	yew:CH47_864
ko:K11183	yew:CH47_864
ko:K00882	yew:CH47_865
ko:K02769	yew:CH47_866
ko:K02770	yew:CH47_866
ko:K16052	yew:CH47_1282
ko:K07347	yew:CH47_1291
ko:K07346	yew:CH47_1292
ko:K03808	yew:CH47_1299
ko:K03607	yew:CH47_1301
ko:K03797	yew:CH47_1302
ko:K03799	yew:CH47_1303
ko:K03321	yew:CH47_1777
ko:K01627	yew:CH47_1778
ko:K02493	yew:CH47_1781
ko:K02835	yew:CH47_1782
ko:K02492	yew:CH47_1783
ko:K02494	yew:CH47_1784
ko:K00919	yew:CH47_1785
ko:K00948	yew:CH47_1786
ko:K01056	yew:CH47_1788
ko:K06942	yew:CH47_1790
ko:K01467	yew:CH47_1791
ko:K17850	yew:CH47_1792
ko:K02082	yew:CH47_1800
ko:K08302	yew:CH47_1801
ko:K12943	yew:CH47_1802
ko:K09975	yew:CH47_1807
ko:K05603	yew:CH47_1808
ko:K05836	yew:CH47_1809
ko:K01468	yew:CH47_1810
ko:K01479	yew:CH47_1811
ko:K05526	yew:CH47_1813
ko:K01484	yew:CH47_1814
ko:K06447	yew:CH47_1815
ko:K00673	yew:CH47_1816
ko:K00840	yew:CH47_1817
ko:K00425	yew:CH47_1819
ko:K00426	yew:CH47_1820
ko:K07673	yew:CH47_1821
ko:K13635	yew:CH47_1822
ko:K07300	yew:CH47_1825
ko:K11937	yew:CH47_1828
ko:K11936	yew:CH47_1829
ko:K03695	yew:CH47_2628
ko:K05810	yew:CH47_2629
ko:K06180	yew:CH47_2630
ko:K05807	yew:CH47_2631
ko:K05809	yew:CH47_2632
ko:K14170	yew:CH47_2633
ko:K14187	yew:CH47_2634
ko:K01626	yew:CH47_2635
ko:K02477	yew:CH47_2636
ko:K07792	yew:CH47_2637
ko:K07283	yew:CH47_2638
ko:K02884	yew:CH47_2639
ko:K00554	yew:CH47_2640
ko:K02860	yew:CH47_2641
ko:K02959	yew:CH47_2642
ko:K03106	yew:CH47_2643
ko:K07173	yew:CH47_2646
ko:K01919	yew:CH47_2647
ko:K03563	yew:CH47_2654
ko:K01872	yew:CH47_2655
ko:K03565	yew:CH47_2656
ko:K03743	yew:CH47_2658
ko:K00864	yew:CH47_2662
ko:K00615	yew:CH47_2663
ko:K00615	yew:CH47_2664
ko:K17203	yew:CH47_2665
ko:K17204	yew:CH47_2666
ko:K17202	yew:CH47_2668
ko:K18829	yew:CH47_2669
ko:K01676	yew:CH47_2671
ko:K02812	yew:CH47_2673
ko:K02813	yew:CH47_2674
ko:K02814	yew:CH47_2675
ko:K02815	yew:CH47_2676
ko:K03312	yew:CH47_3466
ko:K16345	yew:CH47_3467
ko:K07560	yew:CH47_3476
ko:K07058	yew:CH47_3477
ko:K06207	yew:CH47_3479
ko:K01915	yew:CH47_3480
ko:K07708	yew:CH47_3481
ko:K07712	yew:CH47_3482
ko:K09894	yew:CH47_3484
ko:K03978	yew:CH47_3485
ko:K03673	yew:CH47_3487
ko:K09896	yew:CH47_3489
ko:K03752	yew:CH47_3490
ko:K03753	yew:CH47_3491
ko:K02529	yew:CH47_3497
ko:K00852	yew:CH47_3499
ko:K10439	yew:CH47_3500
ko:K10440	yew:CH47_3501
ko:K10441	yew:CH47_3502
ko:K06726	yew:CH47_3503
ko:K03549	yew:CH47_3504
ko:K03924	yew:CH47_3505
ko:K01914	yew:CH47_3508
ko:K03718	yew:CH47_3509
ko:K06205	yew:CH47_3510
ko:K03495	yew:CH47_3511
ko:K03501	yew:CH47_3512
ko:K02116	yew:CH47_3513
ko:K02108	yew:CH47_3514
ko:K02110	yew:CH47_3515
ko:K02109	yew:CH47_3516
ko:K02113	yew:CH47_3517
ko:K01581	yew:CH47_105
ko:K07090	yew:CH47_106
ko:K08306	yew:CH47_107
ko:K03575	yew:CH47_109
ko:K03439	yew:CH47_110
ko:K09923	yew:CH47_111
ko:K01425	yew:CH47_112
ko:K02428	yew:CH47_115
ko:K09131	yew:CH47_116
ko:K02221	yew:CH47_117
ko:K00286	yew:CH47_118
ko:K06997	yew:CH47_119
ko:K02669	yew:CH47_120
ko:K10536	yew:CH47_121
ko:K12251	yew:CH47_122
ko:K07447	yew:CH47_123
ko:K07735	yew:CH47_124
ko:K01920	yew:CH47_125
ko:K09761	yew:CH47_126
ko:K01150	yew:CH47_127
ko:K00657	yew:CH47_541
ko:K11175	yew:CH47_542
ko:K01933	yew:CH47_543
ko:K00761	yew:CH47_544
ko:K02824	yew:CH47_545
ko:K10763	yew:CH47_546
ko:K00537	yew:CH47_547
ko:K03548	yew:CH47_549
ko:K03564	yew:CH47_550
ko:K03567	yew:CH47_551
ko:K01714	yew:CH47_552
ko:K07287	yew:CH47_553
ko:K01923	yew:CH47_554
ko:K07054	yew:CH47_555
ko:K06957	yew:CH47_557
ko:K06999	yew:CH47_558
ko:K01439	yew:CH47_561
ko:K09136	yew:CH47_564
ko:K03634	yew:CH47_976
ko:K07478	yew:CH47_977
ko:K01875	yew:CH47_978
ko:K08219	yew:CH47_979
ko:K04069	yew:CH47_980
ko:K00656	yew:CH47_981
ko:K06212	yew:CH47_982
ko:K09136	yew:CH47_983
ko:K01424	yew:CH47_984
ko:K00831	yew:CH47_986
ko:K00800	yew:CH47_987
ko:K00945	yew:CH47_988
ko:K02945	yew:CH47_989
ko:K05788	yew:CH47_990
ko:K02238	yew:CH47_991
ko:K11085	yew:CH47_992
ko:K00912	yew:CH47_993
ko:K03704	yew:CH47_995
ko:K03704	yew:CH47_996
ko:K09791	yew:CH47_997
ko:K00979	yew:CH47_998
ko:K06219	yew:CH47_1001
ko:K10773	yew:CH47_1424
ko:K03613	yew:CH47_1425
ko:K03612	yew:CH47_1426
ko:K03614	yew:CH47_1427
ko:K03615	yew:CH47_1429
ko:K03616	yew:CH47_1430
ko:K03617	yew:CH47_1431
ko:K01938	yew:CH47_1433
ko:K12530	yew:CH47_1434
ko:K12532	yew:CH47_1435
ko:K12531	yew:CH47_1436
ko:K01804	yew:CH47_1437
ko:K00853	yew:CH47_1438
ko:K10537	yew:CH47_1439
