ko:K01006	cbj:H04402_03029
ko:K01358	cbj:H04402_03319
ko:K03545	cbj:H04402_03320
ko:K00762	cbj:H04402_03323
ko:K01591	cbj:H04402_03326
ko:K01465	cbj:H04402_03327
ko:K00610	cbj:H04402_03328
ko:K00609	cbj:H04402_03329
ko:K07089	cbj:H04402_03343
ko:K02013	cbj:H04402_01036
ko:K02015	cbj:H04402_01037
ko:K02016	cbj:H04402_01039
ko:K01733	cbj:H04402_01044
ko:K00005	cbj:H04402_01047
ko:K03101	cbj:H04402_01057
ko:K07260	cbj:H04402_01062
ko:K01421	cbj:H04402_01064
ko:K01421	cbj:H04402_01065
ko:K03654	cbj:H04402_01068
ko:K07095	cbj:H04402_01070
ko:K03413	cbj:H04402_01071
ko:K03303	cbj:H04402_01078
ko:K03521	cbj:H04402_01080
ko:K03522	cbj:H04402_01081
ko:K06399	cbj:H04402_01881
ko:K00651	cbj:H04402_01882
ko:K00003	cbj:H04402_01883
ko:K01740	cbj:H04402_01884
ko:K03631	cbj:H04402_01885
ko:K03402	cbj:H04402_01886
ko:K00858	cbj:H04402_01888
ko:K06442	cbj:H04402_01889
ko:K01662	cbj:H04402_01890
ko:K13789	cbj:H04402_01892
ko:K03602	cbj:H04402_01893
ko:K03601	cbj:H04402_01894
ko:K03625	cbj:H04402_01895
ko:K06397	cbj:H04402_01897
ko:K06396	cbj:H04402_01898
ko:K06395	cbj:H04402_01900
ko:K06394	cbj:H04402_01901
ko:K06393	cbj:H04402_01903
ko:K06392	cbj:H04402_01904
ko:K06391	cbj:H04402_01905
ko:K06390	cbj:H04402_01907
ko:K02356	cbj:H04402_01909
ko:K03786	cbj:H04402_01910
ko:K00891	cbj:H04402_01911
ko:K02652	cbj:H04402_01920
ko:K01778	cbj:H04402_01925
ko:K06173	cbj:H04402_01927
ko:K01893	cbj:H04402_00657
ko:K03088	cbj:H04402_00658
ko:K13653	cbj:H04402_00669
ko:K07719	cbj:H04402_00680
ko:K07717	cbj:H04402_00681
ko:K05837	cbj:H04402_00682
ko:K00574	cbj:H04402_00691
ko:K06878	cbj:H04402_00697
ko:K06016	cbj:H04402_00704
ko:K00767	cbj:H04402_01516
ko:K00278	cbj:H04402_01517
ko:K03517	cbj:H04402_01518
ko:K11068	cbj:H04402_01521
ko:K06942	cbj:H04402_01522
ko:K03925	cbj:H04402_01523
ko:K03438	cbj:H04402_01524
ko:K08384	cbj:H04402_01526
ko:K01928	cbj:H04402_01527
ko:K01929	cbj:H04402_01528
ko:K01000	cbj:H04402_01529
ko:K03588	cbj:H04402_01530
ko:K03589	cbj:H04402_01531
ko:K06997	cbj:H04402_01535
ko:K09772	cbj:H04402_01536
ko:K02221	cbj:H04402_01537
ko:K04074	cbj:H04402_01540
ko:K01735	cbj:H04402_01541
ko:K00800	cbj:H04402_01544
ko:K03101	cbj:H04402_01546
ko:K06180	cbj:H04402_01547
ko:K02825	cbj:H04402_01548
ko:K01142	cbj:H04402_01550
ko:K07444	cbj:H04402_01551
ko:K01673	cbj:H04402_01552
ko:K02020	cbj:H04402_01553
ko:K02018	cbj:H04402_01554
ko:K07001	cbj:H04402_01557
ko:K01599	cbj:H04402_01559
ko:K01232	cbj:H04402_00258
ko:K02003	cbj:H04402_00265
ko:K02749	cbj:H04402_00267
ko:K02750	cbj:H04402_00267
ko:K01232	cbj:H04402_00268
ko:K11358	cbj:H04402_01087
ko:K00995	cbj:H04402_01095
ko:K03152	cbj:H04402_01100
ko:K04758	cbj:H04402_01103
ko:K04758	cbj:H04402_01104
ko:K04759	cbj:H04402_01105
ko:K08982	cbj:H04402_01117
ko:K02015	cbj:H04402_01122
ko:K02015	cbj:H04402_01123
ko:K02013	cbj:H04402_01124
ko:K02016	cbj:H04402_01125
ko:K06888	cbj:H04402_01136
ko:K03738	cbj:H04402_01957
ko:K03637	cbj:H04402_01960
ko:K03639	cbj:H04402_01961
ko:K03750	cbj:H04402_01963
ko:K05773	cbj:H04402_01966
ko:K05772	cbj:H04402_01967
ko:K02003	cbj:H04402_01971
ko:K09790	cbj:H04402_00709
ko:K01247	cbj:H04402_00711
ko:K00375	cbj:H04402_00712
ko:K11927	cbj:H04402_00713
ko:K07053	cbj:H04402_00728
ko:K07322	cbj:H04402_00733
ko:K03624	cbj:H04402_00745
ko:K03427	cbj:H04402_00747
ko:K01154	cbj:H04402_00748
ko:K01153	cbj:H04402_00751
ko:K02016	cbj:H04402_00760
ko:K02015	cbj:H04402_00761
ko:K02015	cbj:H04402_00762
ko:K01599	cbj:H04402_01568
ko:K02071	cbj:H04402_01569
ko:K02072	cbj:H04402_01570
ko:K01914	cbj:H04402_01574
ko:K03305	cbj:H04402_01606
ko:K00812	cbj:H04402_02424
ko:K06416	cbj:H04402_02429
ko:K00995	cbj:H04402_02432
ko:K14441	cbj:H04402_02433
ko:K03466	cbj:H04402_02434
ko:K00928	cbj:H04402_02436
ko:K00962	cbj:H04402_02439
ko:K02956	cbj:H04402_02440
ko:K11753	cbj:H04402_02441
ko:K02834	cbj:H04402_02444
ko:K02519	cbj:H04402_02445
ko:K07742	cbj:H04402_02447
ko:K02600	cbj:H04402_02448
ko:K09748	cbj:H04402_02449
ko:K03763	cbj:H04402_02450
ko:K11749	cbj:H04402_02452
ko:K00099	cbj:H04402_02453
ko:K00981	cbj:H04402_02457
ko:K00806	cbj:H04402_02458
ko:K02838	cbj:H04402_02459
ko:K09903	cbj:H04402_02460
ko:K02357	cbj:H04402_02461
ko:K02967	cbj:H04402_02462
ko:K03706	cbj:H04402_02463
ko:K03168	cbj:H04402_02464
ko:K04096	cbj:H04402_02465
ko:K07391	cbj:H04402_02466
ko:K03470	cbj:H04402_02467
ko:K14540	cbj:H04402_02468
ko:K03100	cbj:H04402_02469
ko:K02884	cbj:H04402_02470
ko:K07095	cbj:H04402_03346
ko:K02434	cbj:H04402_03351
ko:K02435	cbj:H04402_03353
ko:K01972	cbj:H04402_03356
ko:K03657	cbj:H04402_03357
ko:K09768	cbj:H04402_03363
ko:K01810	cbj:H04402_03364
ko:K03778	cbj:H04402_03368
ko:K03778	cbj:H04402_03369
ko:K03311	cbj:H04402_03379
ko:K01951	cbj:H04402_03380
ko:K04077	cbj:H04402_03383
ko:K04078	cbj:H04402_03384
ko:K03660	cbj:H04402_03386
ko:K00266	cbj:H04402_03387
ko:K03412	cbj:H04402_02829
ko:K03411	cbj:H04402_02830
ko:K03408	cbj:H04402_02831
ko:K03480	cbj:H04402_02835
ko:K00826	cbj:H04402_02836
ko:K03737	cbj:H04402_02840
ko:K02563	cbj:H04402_02841
ko:K07462	cbj:H04402_02843
ko:K01151	cbj:H04402_02844
ko:K03152	cbj:H04402_02850
ko:K02621	cbj:H04402_02852
ko:K02622	cbj:H04402_02853
ko:K00864	cbj:H04402_02865
ko:K02440	cbj:H04402_02866
ko:K01531	cbj:H04402_02959
ko:K01945	cbj:H04402_02961
ko:K00602	cbj:H04402_02962
ko:K11175	cbj:H04402_02963
ko:K01933	cbj:H04402_02964
ko:K00764	cbj:H04402_02965
ko:K01923	cbj:H04402_02966
ko:K01588	cbj:H04402_02967
ko:K12527	cbj:H04402_02971
ko:K01464	cbj:H04402_02975
ko:K01751	cbj:H04402_02977
ko:K07141	cbj:H04402_02981
ko:K07402	cbj:H04402_02982
ko:K07402	cbj:H04402_02983
ko:K02015	cbj:H04402_02985
ko:K02013	cbj:H04402_02986
ko:K02016	cbj:H04402_02987
ko:K06901	cbj:H04402_02991
ko:K03310	cbj:H04402_02992
ko:K03657	cbj:H04402_02993
ko:K00566	cbj:H04402_02994
ko:K03147	cbj:H04402_02999
ko:K00764	cbj:H04402_03000
ko:K07137	cbj:H04402_03717
ko:K01338	cbj:H04402_03721
ko:K02939	cbj:H04402_03722
ko:K02963	cbj:H04402_03726
ko:K02990	cbj:H04402_03728
ko:K03501	cbj:H04402_03740A
ko:K03495	cbj:H04402_03741
ko:K03650	cbj:H04402_03742
ko:K03217	cbj:H04402_03744
ko:K08998	cbj:H04402_03745
ko:K03536	cbj:H04402_03746
ko:K02914	cbj:H04402_03747
ko:K03046	cbj:H04402_03590
ko:K03043	cbj:H04402_03591
ko:K02935	cbj:H04402_03592
ko:K02864	cbj:H04402_03593
ko:K02863	cbj:H04402_03594
ko:K02867	cbj:H04402_03595
ko:K02601	cbj:H04402_03596
ko:K03073	cbj:H04402_03597
ko:K02913	cbj:H04402_03598
ko:K02358	cbj:H04402_03599
ko:K03091	cbj:H04402_03600
ko:K03704	cbj:H04402_00272
ko:K07118	cbj:H04402_00277
ko:K01232	cbj:H04402_00280
ko:K01687	cbj:H04402_00282
ko:K01625	cbj:H04402_00283
ko:K00874	cbj:H04402_00284
ko:K01486	cbj:H04402_00285
ko:K07650	cbj:H04402_00287
ko:K02016	cbj:H04402_00293
ko:K02015	cbj:H04402_00294
ko:K02013	cbj:H04402_00295
ko:K06133	cbj:H04402_00300
ko:K02016	cbj:H04402_00319
ko:K02015	cbj:H04402_00320
ko:K02013	cbj:H04402_00322
ko:K03816	cbj:H04402_00326
ko:K06153	cbj:H04402_00329
ko:K11635	cbj:H04402_00330
ko:K15738	cbj:H04402_01142
ko:K00111	cbj:H04402_01146
ko:K02445	cbj:H04402_01149
ko:K01887	cbj:H04402_01150
ko:K04759	cbj:H04402_01154
ko:K04758	cbj:H04402_01155
ko:K02071	cbj:H04402_01161
ko:K02072	cbj:H04402_01162
ko:K02073	cbj:H04402_01163
ko:K02073	cbj:H04402_01164
ko:K00134	cbj:H04402_01172
ko:K03310	cbj:H04402_01177
ko:K03310	cbj:H04402_01178
ko:K02054	cbj:H04402_01184
ko:K02053	cbj:H04402_01185
ko:K01163	cbj:H04402_01187
ko:K14155	cbj:H04402_01987
ko:K16785	cbj:H04402_01995
ko:K16785	cbj:H04402_01996
ko:K16786	cbj:H04402_01997
ko:K16787	cbj:H04402_01997
ko:K04079	cbj:H04402_02011
ko:K02818	cbj:H04402_02013
ko:K02819	cbj:H04402_02013
ko:K02769	cbj:H04402_02017
ko:K02770	cbj:H04402_02017
ko:K00005	cbj:H04402_02025
ko:K02013	cbj:H04402_00763
ko:K02588	cbj:H04402_00764
ko:K00605	cbj:H04402_00771
ko:K02437	cbj:H04402_00772
ko:K00282	cbj:H04402_00773
ko:K00283	cbj:H04402_00774
ko:K00382	cbj:H04402_00775
ko:K03800	cbj:H04402_00776
ko:K00648	cbj:H04402_00784
ko:K01738	cbj:H04402_00792
ko:K07173	cbj:H04402_00793
ko:K01551	cbj:H04402_00814
ko:K01737	cbj:H04402_01621
ko:K10026	cbj:H04402_01622
ko:K01495	cbj:H04402_01623
ko:K06920	cbj:H04402_01624
ko:K05346	cbj:H04402_01628
ko:K02502	cbj:H04402_01631
ko:K00765	cbj:H04402_01632
ko:K00013	cbj:H04402_01633
ko:K01693	cbj:H04402_01634
ko:K02501	cbj:H04402_01636
ko:K01814	cbj:H04402_01637
ko:K00817	cbj:H04402_01639
ko:K02500	cbj:H04402_01640
ko:K07112	cbj:H04402_01645
ko:K07112	cbj:H04402_01650
ko:K03758	cbj:H04402_01657
ko:K11068	cbj:H04402_01658
ko:K07023	cbj:H04402_01660
ko:K06962	cbj:H04402_03601
ko:K03218	cbj:H04402_03602
ko:K11145	cbj:H04402_03604
ko:K01883	cbj:H04402_03605
ko:K01754	cbj:H04402_03606
ko:K01881	cbj:H04402_03608
ko:K00991	cbj:H04402_03609
ko:K04485	cbj:H04402_03613
ko:K03696	cbj:H04402_03614
ko:K02355	cbj:H04402_03619
ko:K01925	cbj:H04402_03620
ko:K01880	cbj:H04402_03621
ko:K04567	cbj:H04402_03622
ko:K03624	cbj:H04402_03623
ko:K03525	cbj:H04402_03625
ko:K01938	cbj:H04402_03626
ko:K03798	cbj:H04402_03627
ko:K11636	cbj:H04402_00331
ko:K07813	cbj:H04402_00340
ko:K07813	cbj:H04402_00346
ko:K04072	cbj:H04402_00353
ko:K03524	cbj:H04402_01193
ko:K06213	cbj:H04402_01199
ko:K08281	cbj:H04402_01208
ko:K08281	cbj:H04402_01209
ko:K03816	cbj:H04402_01214
ko:K02012	cbj:H04402_01223
ko:K02011	cbj:H04402_01224
ko:K02945	cbj:H04402_01228
ko:K07107	cbj:H04402_01229
ko:K09758	cbj:H04402_01235
ko:K00077	cbj:H04402_01239
ko:K01491	cbj:H04402_01241
ko:K00759	cbj:H04402_02033
ko:K06901	cbj:H04402_02034
ko:K03308	cbj:H04402_02063
ko:K00973	cbj:H04402_02079
ko:K00941	cbj:H04402_00830
ko:K13653	cbj:H04402_00836
ko:K02003	cbj:H04402_00840
ko:K06425	cbj:H04402_00846
ko:K00215	cbj:H04402_00849
ko:K00297	cbj:H04402_01690
ko:K00627	cbj:H04402_01705
ko:K00382	cbj:H04402_01706
ko:K03800	cbj:H04402_01707
ko:K05847	cbj:H04402_01708
ko:K01733	cbj:H04402_01710
ko:K03590	cbj:H04402_02568
ko:K02669	cbj:H04402_02570
ko:K00014	cbj:H04402_02572
ko:K03091	cbj:H04402_02573
ko:K01448	cbj:H04402_02582
ko:K09812	cbj:H04402_03490
ko:K00615	cbj:H04402_03493
ko:K00615	cbj:H04402_03494
ko:K07723	cbj:H04402_03496
ko:K01775	cbj:H04402_03497
ko:K00997	cbj:H04402_03500
ko:K07058	cbj:H04402_03503
ko:K02986	cbj:H04402_03505
ko:K00820	cbj:H04402_03511
ko:K02781	cbj:H04402_03515
ko:K03431	cbj:H04402_03521
ko:K00177	cbj:H04402_03522
ko:K00175	cbj:H04402_03523
ko:K00174	cbj:H04402_03524
ko:K00176	cbj:H04402_03525
ko:K07137	cbj:H04402_03530
ko:K01449	cbj:H04402_03533
ko:K00384	cbj:H04402_03534
ko:K03671	cbj:H04402_03535
ko:K01305	cbj:H04402_03536
ko:K00872	cbj:H04402_01711
ko:K00928	cbj:H04402_01712
ko:K00003	cbj:H04402_01713
ko:K00528	cbj:H04402_01716
ko:K00266	cbj:H04402_01717
ko:K00554	cbj:H04402_02471
ko:K02860	cbj:H04402_02472
ko:K06960	cbj:H04402_02473
ko:K02959	cbj:H04402_02474
ko:K03106	cbj:H04402_02475
ko:K03110	cbj:H04402_02477
ko:K03529	cbj:H04402_02478
ko:K03685	cbj:H04402_02481
ko:K02078	cbj:H04402_02482
ko:K03621	cbj:H04402_02483
ko:K02911	cbj:H04402_02484
ko:K07040	cbj:H04402_02485
ko:K00925	cbj:H04402_02486
ko:K00528	cbj:H04402_03388
ko:K01926	cbj:H04402_03389
ko:K06158	cbj:H04402_03390
ko:K02478	cbj:H04402_03392
ko:K06925	cbj:H04402_03403
ko:K03789	cbj:H04402_03405
ko:K01866	cbj:H04402_03406
ko:K02837	cbj:H04402_03412
ko:K01867	cbj:H04402_03414
ko:K05919	cbj:H04402_03416
ko:K01586	cbj:H04402_03429
ko:K00928	cbj:H04402_03430
ko:K03657	cbj:H04402_03434
ko:K03798	cbj:H04402_03435
ko:K01881	cbj:H04402_03437
ko:K07461	cbj:H04402_03438
ko:K06215	cbj:H04402_02880
ko:K05592	cbj:H04402_02882
ko:K01425	cbj:H04402_02888
ko:K02346	cbj:H04402_02898
ko:K02825	cbj:H04402_02901
ko:K01975	cbj:H04402_02906
ko:K01443	cbj:H04402_02914
ko:K03710	cbj:H04402_02915
ko:K03480	cbj:H04402_02916
ko:K02803	cbj:H04402_02918
ko:K02804	cbj:H04402_02918
ko:K01449	cbj:H04402_03009
ko:K01126	cbj:H04402_03013
ko:K07164	cbj:H04402_03019
ko:K06967	cbj:H04402_03022
ko:K03086	cbj:H04402_03024
ko:K01129	cbj:H04402_03026
ko:K03584	cbj:H04402_03032
ko:K00901	cbj:H04402_03035
ko:K07042	cbj:H04402_03036
ko:K07037	cbj:H04402_03037
ko:K06438	cbj:H04402_03038
ko:K09117	cbj:H04402_03040
ko:K02970	cbj:H04402_03041
ko:K02503	cbj:H04402_03042
ko:K09761	cbj:H04402_03044
ko:K02687	cbj:H04402_03045
ko:K03686	cbj:H04402_03047
ko:K04043	cbj:H04402_03048
ko:K03687	cbj:H04402_03049
ko:K03705	cbj:H04402_03051
ko:K03596	cbj:H04402_03053
ko:K06385	cbj:H04402_03055
ko:K06012	cbj:H04402_03056
ko:K02968	cbj:H04402_03057
ko:K02340	cbj:H04402_03058
ko:K02340	cbj:H04402_03059
ko:K03734	cbj:H04402_00390
ko:K02040	cbj:H04402_00399
ko:K02037	cbj:H04402_00402
ko:K02038	cbj:H04402_00403
ko:K02036	cbj:H04402_00404
ko:K07043	cbj:H04402_00409
ko:K03798	cbj:H04402_00417
ko:K03695	cbj:H04402_00426
ko:K01809	cbj:H04402_00429
ko:K06153	cbj:H04402_00431
ko:K00655	cbj:H04402_00433
ko:K01681	cbj:H04402_00435
ko:K07238	cbj:H04402_01246
ko:K01738	cbj:H04402_01248
ko:K00566	cbj:H04402_01253
ko:K07707	cbj:H04402_01255
ko:K01126	cbj:H04402_01260
ko:K03737	cbj:H04402_01263
ko:K01201	cbj:H04402_01270
ko:K01223	cbj:H04402_01272
ko:K01866	cbj:H04402_01274
ko:K01752	cbj:H04402_01285
ko:K01752	cbj:H04402_01286
ko:K05967	cbj:H04402_01288
ko:K01273	cbj:H04402_01289
ko:K02003	cbj:H04402_01293
ko:K02034	cbj:H04402_01294
ko:K06333	cbj:H04402_01298
ko:K10974	cbj:H04402_02089
ko:K02392	cbj:H04402_02732
ko:K02392	cbj:H04402_02733
ko:K02405	cbj:H04402_02736
ko:K03091	cbj:H04402_02640
ko:K00876	cbj:H04402_02654
ko:K08303	cbj:H04402_02655
ko:K07082	cbj:H04402_02657
ko:K06207	cbj:H04402_02658
ko:K07447	cbj:H04402_02662
ko:K01872	cbj:H04402_02664
ko:K04487	cbj:H04402_02668
ko:K07478	cbj:H04402_02670
ko:K04486	cbj:H04402_02671
ko:K07088	cbj:H04402_02673
ko:K01678	cbj:H04402_03542
ko:K01677	cbj:H04402_03543
ko:K01448	cbj:H04402_03544
ko:K03324	cbj:H04402_03546
ko:K02996	cbj:H04402_03547
ko:K02871	cbj:H04402_03548
ko:K06173	cbj:H04402_03549
ko:K16785	cbj:H04402_03550
ko:K02879	cbj:H04402_03553
ko:K03040	cbj:H04402_03554
ko:K02986	cbj:H04402_03555
ko:K02948	cbj:H04402_03556
ko:K02952	cbj:H04402_03557
ko:K02919	cbj:H04402_03558
ko:K02518	cbj:H04402_03559
ko:K01265	cbj:H04402_03561
ko:K03076	cbj:H04402_03563
ko:K02876	cbj:H04402_03564
ko:K02907	cbj:H04402_03565
ko:K02988	cbj:H04402_03566
ko:K02881	cbj:H04402_03567
ko:K02933	cbj:H04402_03568
ko:K02994	cbj:H04402_03569
ko:K02954	cbj:H04402_03570
ko:K02931	cbj:H04402_03571
ko:K02895	cbj:H04402_03572
ko:K02874	cbj:H04402_03573
ko:K04562	cbj:H04402_02738
ko:K02404	cbj:H04402_02739
ko:K02400	cbj:H04402_02740
ko:K02420	cbj:H04402_02742
ko:K02419	cbj:H04402_02743
ko:K02418	cbj:H04402_02744
ko:K02415	cbj:H04402_02745
ko:K02557	cbj:H04402_02746
ko:K02556	cbj:H04402_02747
ko:K02385	cbj:H04402_02748
ko:K02390	cbj:H04402_02749
ko:K02389	cbj:H04402_02751
ko:K02413	cbj:H04402_02753
ko:K02412	cbj:H04402_02754
ko:K02411	cbj:H04402_02756
ko:K02410	cbj:H04402_02757
ko:K02409	cbj:H04402_02758
ko:K02408	cbj:H04402_02759
ko:K02388	cbj:H04402_02760
ko:K02387	cbj:H04402_02762
ko:K02406	cbj:H04402_02763
ko:K01755	cbj:H04402_02765
ko:K01940	cbj:H04402_02766
ko:K06131	cbj:H04402_02769
ko:K00760	cbj:H04402_03628
ko:K04075	cbj:H04402_03629
ko:K06382	cbj:H04402_03630
ko:K07571	cbj:H04402_03631
ko:K03530	cbj:H04402_03636
ko:K06409	cbj:H04402_03638
ko:K04769	cbj:H04402_03639
ko:K03723	cbj:H04402_03641
ko:K01056	cbj:H04402_03642
ko:K00948	cbj:H04402_03646
ko:K04042	cbj:H04402_03647
ko:K06412	cbj:H04402_03648
ko:K01924	cbj:H04402_03650
ko:K05979	cbj:H04402_03655
ko:K07139	cbj:H04402_03656
ko:K04070	cbj:H04402_03659
ko:K01776	cbj:H04402_03664
ko:K01915	cbj:H04402_03665
ko:K00790	cbj:H04402_03667
ko:K09779	cbj:H04402_00439
ko:K01579	cbj:H04402_00440
ko:K01918	cbj:H04402_00441
ko:K00606	cbj:H04402_00442
ko:K04651	cbj:H04402_00450
ko:K16898	cbj:H04402_00454
ko:K02029	cbj:H04402_00464
ko:K00788	cbj:H04402_00468
ko:K00878	cbj:H04402_00469
ko:K00941	cbj:H04402_00470
ko:K01921	cbj:H04402_00472
ko:K01999	cbj:H04402_00473
ko:K01997	cbj:H04402_00474
ko:K01998	cbj:H04402_00475
ko:K01995	cbj:H04402_00476
ko:K01996	cbj:H04402_00477
ko:K03744	cbj:H04402_00482
ko:K06872	cbj:H04402_00483
ko:K03183	cbj:H04402_00487
ko:K06334	cbj:H04402_01299
ko:K06425	cbj:H04402_01305
ko:K03310	cbj:H04402_01316
ko:K00384	cbj:H04402_01327
ko:K00384	cbj:H04402_01332
ko:K03671	cbj:H04402_01333
ko:K03652	cbj:H04402_01338
ko:K00899	cbj:H04402_01341
ko:K08963	cbj:H04402_01342
ko:K01628	cbj:H04402_01343
ko:K00954	cbj:H04402_02521
ko:K03655	cbj:H04402_02523
ko:K02902	cbj:H04402_02526
ko:K01783	cbj:H04402_02530
ko:K06949	cbj:H04402_02531
ko:K06941	cbj:H04402_02534
ko:K03500	cbj:H04402_02535
ko:K06973	cbj:H04402_02536
ko:K00604	cbj:H04402_02537
ko:K01462	cbj:H04402_02538
ko:K04066	cbj:H04402_02539
ko:K13038	cbj:H04402_02540
ko:K03060	cbj:H04402_02542
ko:K00942	cbj:H04402_02543
ko:K09777	cbj:H04402_02544
ko:K06398	cbj:H04402_02548
ko:K00057	cbj:H04402_02550
ko:K03977	cbj:H04402_02551
