ko:K11707	cpst:B601_0483
ko:K11381	cpst:B601_0358
ko:K09747	cpst:B601_0364
ko:K02343	cpst:B601_0365
ko:K07037	cpst:B601_0366
ko:K01749	cpst:B601_0370
ko:K04485	cpst:B601_0371
ko:K03685	cpst:B601_0372
ko:K04564	cpst:B601_0375
ko:K01963	cpst:B601_0376
ko:K00773	cpst:B601_0626
ko:K03611	cpst:B601_0630
ko:K00979	cpst:B601_0639
ko:K01937	cpst:B601_0640
ko:K07447	cpst:B601_0641
ko:K15581	cpst:B601_0647
ko:K03319	cpst:B601_0652
ko:K00850	cpst:B601_0653
ko:K02527	cpst:B601_0658
ko:K01869	cpst:B601_0659
ko:K01972	cpst:B601_0664
ko:K03695	cpst:B601_0673
ko:K02065	cpst:B601_0675
ko:K02066	cpst:B601_0676
ko:K01845	cpst:B601_0677
ko:K07735	cpst:B601_0678
ko:K08999	cpst:B601_0679
ko:K00566	cpst:B601_0385
ko:K03696	cpst:B601_0386
ko:K03800	cpst:B601_0388
ko:K02437	cpst:B601_0392
ko:K00350	cpst:B601_0395
ko:K00349	cpst:B601_0396
ko:K00348	cpst:B601_0397
ko:K00347	cpst:B601_0398
ko:K02313	cpst:B601_0401
ko:K03438	cpst:B601_0404
ko:K03587	cpst:B601_0406
ko:K01928	cpst:B601_0409
ko:K01448	cpst:B601_0410
ko:K01962	cpst:B601_0416
ko:K07083	cpst:B601_0419
ko:K00208	cpst:B601_0424
ko:K03575	cpst:B601_0429
ko:K04487	cpst:B601_0439
ko:K01494	cpst:B601_0443
ko:K03551	cpst:B601_0445
ko:K01255	cpst:B601_0451
ko:K02340	cpst:B601_0453
ko:K07056	cpst:B601_0454
ko:K00164	cpst:B601_0461
ko:K00658	cpst:B601_0462
ko:K01807	cpst:B601_0680
ko:K08602	cpst:B601_0687
ko:K04078	cpst:B601_0688
ko:K04077	cpst:B601_0689
ko:K03581	cpst:B601_0695
ko:K01874	cpst:B601_0696
ko:K00942	cpst:B601_0698
ko:K03470	cpst:B601_0699
ko:K02884	cpst:B601_0700
ko:K00554	cpst:B601_0701
ko:K02959	cpst:B601_0702
ko:K03106	cpst:B601_0703
ko:K02493	cpst:B601_0704
ko:K02835	cpst:B601_0705
ko:K02909	cpst:B601_0706
ko:K03100	cpst:B601_0708
ko:K01870	cpst:B601_0709
ko:K07175	cpst:B601_0711
ko:K00426	cpst:B601_0715
ko:K00425	cpst:B601_0716
ko:K02517	cpst:B601_0719
ko:K00873	cpst:B601_0721
ko:K03701	cpst:B601_0722
ko:K01873	cpst:B601_0724
ko:K03046	cpst:B601_0736
ko:K03043	cpst:B601_0737
ko:K02863	cpst:B601_0739
ko:K02867	cpst:B601_0740
ko:K02601	cpst:B601_0741
ko:K03073	cpst:B601_0742
ko:K02358	cpst:B601_0744
ko:K02518	cpst:B601_0746
ko:K03523	cpst:B601_0751
ko:K01714	cpst:B601_0758
ko:K00928	cpst:B601_0759
ko:K00133	cpst:B601_0760
ko:K00215	cpst:B601_0761
ko:K09125	cpst:B601_0763
ko:K01012	cpst:B601_0766
ko:K01935	cpst:B601_0768
ko:K00833	cpst:B601_0769
ko:K00800	cpst:B601_0771
ko:K00891	cpst:B601_0772
ko:K01736	cpst:B601_0773
ko:K01735	cpst:B601_0774
ko:K13832	cpst:B601_0775
ko:K03758	cpst:B601_0779
ko:K00024	cpst:B601_0782
ko:K01810	cpst:B601_0784
ko:K05810	cpst:B601_0463
ko:K03526	cpst:B601_0464
ko:K02400	cpst:B601_0474
ko:K02405	cpst:B601_0475
ko:K01866	cpst:B601_0477
ko:K03596	cpst:B601_0479
ko:K03301	cpst:B601_0481
ko:K00099	cpst:B601_0487
ko:K03629	cpst:B601_0490
ko:K02338	cpst:B601_0491
ko:K03664	cpst:B601_0492
ko:K03734	cpst:B601_0493
ko:K01491	cpst:B601_0494
ko:K02902	cpst:B601_0501
ko:K00705	cpst:B601_0502
ko:K04058	cpst:B601_0504
ko:K03230	cpst:B601_0505
ko:K03229	cpst:B601_0506
ko:K06942	cpst:B601_0507
ko:K11753	cpst:B601_0508
ko:K02834	cpst:B601_0510
ko:K02519	cpst:B601_0511
ko:K02600	cpst:B601_0512
ko:K02945	cpst:B601_0513
ko:K00384	cpst:B601_0514
ko:K00997	cpst:B601_0515
ko:K01698	cpst:B601_0001
ko:K00346	cpst:B601_0002
ko:K03582	cpst:B601_0010
ko:K03583	cpst:B601_0011
ko:K07146	cpst:B601_0013
ko:K02986	cpst:B601_0014
ko:K01151	cpst:B601_0015
ko:K03980	cpst:B601_0017
ko:K03527	cpst:B601_0794
ko:K03321	cpst:B601_0797
ko:K01265	cpst:B601_0802
ko:K02956	cpst:B601_0813
ko:K00962	cpst:B601_0814
ko:K03798	cpst:B601_0815
ko:K04075	cpst:B601_0816
ko:K07091	cpst:B601_0817
ko:K11720	cpst:B601_0818
ko:K01889	cpst:B601_0821
ko:K02887	cpst:B601_0822
ko:K02916	cpst:B601_0823
ko:K02520	cpst:B601_0824
ko:K03625	cpst:B601_0825
ko:K00075	cpst:B601_0826
ko:K03439	cpst:B601_0829
ko:K09760	cpst:B601_0833
ko:K01902	cpst:B601_0837
ko:K01903	cpst:B601_0838
ko:K03110	cpst:B601_0839
ko:K06890	cpst:B601_0840
ko:K03834	cpst:B601_0841
ko:K00820	cpst:B601_0842
ko:K06861	cpst:B601_0023
ko:K01627	cpst:B601_0025
ko:K06960	cpst:B601_0028
ko:K06180	cpst:B601_0029
ko:K02469	cpst:B601_0032
ko:K02470	cpst:B601_0033
ko:K02492	cpst:B601_0034
ko:K03224	cpst:B601_0041
ko:K02417	cpst:B601_0044
ko:K03219	cpst:B601_0046
ko:K02838	cpst:B601_0053
ko:K09903	cpst:B601_0054
ko:K02357	cpst:B601_0055
ko:K02967	cpst:B601_0056
ko:K03162	cpst:B601_0058
ko:K09013	cpst:B601_0062
ko:K09015	cpst:B601_0063
ko:K11717	cpst:B601_0064
ko:K07220	cpst:B601_0071
ko:K03306	cpst:B601_0072
ko:K00927	cpst:B601_0073
ko:K03431	cpst:B601_0843
ko:K00748	cpst:B601_0845
ko:K03621	cpst:B601_0864
ko:K02911	cpst:B601_0865
ko:K08301	cpst:B601_0867
ko:K00630	cpst:B601_0868
ko:K00919	cpst:B601_0873
ko:K02939	cpst:B601_0874
ko:K02963	cpst:B601_0875
ko:K02990	cpst:B601_0876
ko:K01056	cpst:B601_0877
ko:K02897	cpst:B601_0878
ko:K00703	cpst:B601_0880
ko:K00995	cpst:B601_0881
ko:K14164	cpst:B601_0883
ko:K03555	cpst:B601_0889
ko:K03703	cpst:B601_0890
ko:K02954	cpst:B601_0892
ko:K02919	cpst:B601_0893
ko:K01883	cpst:B601_0896
ko:K04567	cpst:B601_0897
ko:K02337	cpst:B601_0086
ko:K07783	cpst:B601_0087
ko:K01892	cpst:B601_0089
ko:K01876	cpst:B601_0090
ko:K03216	cpst:B601_0092
ko:K03671	cpst:B601_0093
ko:K06925	cpst:B601_0097
ko:K03820	cpst:B601_0100
ko:K02535	cpst:B601_0101
ko:K02372	cpst:B601_0102
ko:K00677	cpst:B601_0103
ko:K00604	cpst:B601_0104
ko:K02906	cpst:B601_0107
ko:K02926	cpst:B601_0108
ko:K02892	cpst:B601_0109
ko:K02886	cpst:B601_0110
ko:K02965	cpst:B601_0111
ko:K02890	cpst:B601_0112
ko:K02982	cpst:B601_0113
ko:K02878	cpst:B601_0114
ko:K02904	cpst:B601_0115
ko:K02961	cpst:B601_0116
ko:K02874	cpst:B601_0117
ko:K02895	cpst:B601_0118
ko:K02931	cpst:B601_0119
ko:K02994	cpst:B601_0120
ko:K02933	cpst:B601_0121
ko:K02881	cpst:B601_0122
ko:K02988	cpst:B601_0123
ko:K02876	cpst:B601_0124
ko:K03076	cpst:B601_0125
ko:K02952	cpst:B601_0126
ko:K02948	cpst:B601_0127
ko:K03040	cpst:B601_0128
ko:K02879	cpst:B601_0129
ko:K00134	cpst:B601_0130
ko:K01159	cpst:B601_0134
ko:K03550	cpst:B601_0135
ko:K00940	cpst:B601_0136
ko:K04066	cpst:B601_0900
ko:K00655	cpst:B601_0902
ko:K00263	cpst:B601_0904
ko:K09458	cpst:B601_0907
ko:K09710	cpst:B601_0908
ko:K00791	cpst:B601_0913
ko:K03926	cpst:B601_0918
ko:K06960	cpst:B601_0919
ko:K02563	cpst:B601_0921
ko:K03588	cpst:B601_0922
ko:K01925	cpst:B601_0924
ko:K01000	cpst:B601_0925
ko:K01929	cpst:B601_0927
ko:K02356	cpst:B601_0933
ko:K01241	cpst:B601_0934
ko:K00615	cpst:B601_0935
ko:K01872	cpst:B601_0936
ko:K03723	cpst:B601_0938
ko:K01599	cpst:B601_0939
ko:K00231	cpst:B601_0941
ko:K03210	cpst:B601_0945
ko:K00351	cpst:B601_0946
ko:K03800	cpst:B601_0137
ko:K03495	cpst:B601_0138
ko:K00995	cpst:B601_0141
ko:K03301	cpst:B601_0142
ko:K00859	cpst:B601_0145
ko:K03628	cpst:B601_0146
ko:K00762	cpst:B601_0148
ko:K00975	cpst:B601_0149
ko:K07099	cpst:B601_0150
ko:K01772	cpst:B601_0153
ko:K02034	cpst:B601_0164
ko:K01890	cpst:B601_0167
ko:K03584	cpst:B601_0172
ko:K07714	cpst:B601_0176
ko:K07710	cpst:B601_0178
ko:K06173	cpst:B601_0182
ko:K00991	cpst:B601_0183
ko:K02836	cpst:B601_0186
ko:K00790	cpst:B601_0191
ko:K03466	cpst:B601_0957
ko:K03310	cpst:B601_0961
ko:K00794	cpst:B601_0965
ko:K14652	cpst:B601_0966
ko:K11752	cpst:B601_0967
ko:K01875	cpst:B601_0968
ko:K05837	cpst:B601_0971
ko:K03524	cpst:B601_0972
ko:K06178	cpst:B601_0974
ko:K04487	cpst:B601_0976
ko:K13819	cpst:B601_0977
ko:K02409	cpst:B601_0979
ko:K02411	cpst:B601_0980
ko:K02412	cpst:B601_0981
ko:K00057	cpst:B601_0984
ko:K03569	cpst:B601_0989
ko:K03545	cpst:B601_0992
ko:K01358	cpst:B601_0993
ko:K03544	cpst:B601_0994
ko:K03977	cpst:B601_0996
ko:K03070	cpst:B601_0998
ko:K01613	cpst:B601_1000
ko:K03650	cpst:B601_1001
ko:K10773	cpst:B601_1002
ko:K03311	cpst:B601_1003
ko:K03217	cpst:B601_0518
ko:K02313	cpst:B601_0519
ko:K00688	cpst:B601_0521
ko:K00627	cpst:B601_0522
ko:K00162	cpst:B601_0523
ko:K00161	cpst:B601_0524
ko:K02536	cpst:B601_0526
ko:K06142	cpst:B601_0527
ko:K07277	cpst:B601_0528
ko:K06187	cpst:B601_0529
ko:K00648	cpst:B601_0530
ko:K00645	cpst:B601_0531
ko:K02078	cpst:B601_0533
ko:K03308	cpst:B601_0538
ko:K06213	cpst:B601_0543
ko:K02071	cpst:B601_0549
ko:K02072	cpst:B601_0550
ko:K02073	cpst:B601_0551
ko:K02470	cpst:B601_0554
ko:K02469	cpst:B601_0555
ko:K00943	cpst:B601_0556
ko:K02343	cpst:B601_0557
ko:K06999	cpst:B601_0558
ko:K07566	cpst:B601_0560
ko:K06966	cpst:B601_0564
ko:K03179	cpst:B601_0565
ko:K03186	cpst:B601_0566
ko:K01887	cpst:B601_0192
ko:K00655	cpst:B601_0193
ko:K00945	cpst:B601_0194
ko:K00981	cpst:B601_0195
ko:K00806	cpst:B601_0196
ko:K12257	cpst:B601_0200
ko:K07462	cpst:B601_0201
ko:K03797	cpst:B601_0210
ko:K02950	cpst:B601_0215
ko:K02992	cpst:B601_0216
ko:K02355	cpst:B601_0217
ko:K02946	cpst:B601_0218
ko:K01770	cpst:B601_0220
ko:K02888	cpst:B601_0223
ko:K02899	cpst:B601_0224
ko:K03979	cpst:B601_0225
ko:K09817	cpst:B601_0227
ko:K00788	cpst:B601_0230
ko:K00878	cpst:B601_0231
ko:K03310	cpst:B601_0236
ko:K03101	cpst:B601_0237
ko:K06204	cpst:B601_0238
ko:K07738	cpst:B601_0239
ko:K00793	cpst:B601_0240
ko:K06969	cpst:B601_0241
ko:K03437	cpst:B601_0242
ko:K00912	cpst:B601_0243
ko:K00658	cpst:B601_0245
ko:K00382	cpst:B601_1006
ko:K03644	cpst:B601_1007
ko:K03222	cpst:B601_1008
ko:K03223	cpst:B601_1010
ko:K03226	cpst:B601_1011
ko:K03228	cpst:B601_1013
ko:K02455	cpst:B601_1019
ko:K02453	cpst:B601_1021
ko:K03572	cpst:B601_1024
ko:K01868	cpst:B601_1030
ko:K01867	cpst:B601_1034
ko:K03702	cpst:B601_1035
ko:K01689	cpst:B601_1036
ko:K00240	cpst:B601_1043
ko:K00239	cpst:B601_1044
ko:K03424	cpst:B601_1046
ko:K03562	cpst:B601_1048
ko:K03641	cpst:B601_1051
ko:K03640	cpst:B601_1052
ko:K02067	cpst:B601_0674
ko:K11709	cpst:B601_0486
ko:K11708	cpst:B601_0485
ko:K11710	cpst:B601_0484
ko:K01885	cpst:B601_0204
ko:K00380	cpst:B601_0219
ko:K09815	cpst:B601_0228
ko:K03227	cpst:B601_1012
ko:K02454	cpst:B601_1020
ko:K01262	cpst:B601_1023
ko:K07315	cpst:B601_1038
ko:K00241	cpst:B601_1045
ko:K03386	cpst:B601_1055
ko:K02428	cpst:B601_1059
ko:K01719	cpst:B601_0251
ko:K03307	cpst:B601_0287
ko:K03856	cpst:B601_0289
ko:K00700	cpst:B601_0297
ko:K01934	cpst:B601_1071
ko:K02433	cpst:B601_0320
ko:K03471	cpst:B601_0326
ko:K00784	cpst:B601_0352
ko:K11189	cpst:B601_0362
ko:K08483	cpst:B601_0363
ko:K02806	cpst:B601_0378
ko:K02806	cpst:B601_0379
ko:K02342	cpst:B601_0420
ko:K06179	cpst:B601_0428
ko:K07052	cpst:B601_0431
ko:K00059	cpst:B601_0532
ko:K00033	cpst:B601_0478
ko:K03177	cpst:B601_0509
ko:K00939	cpst:B601_0589
ko:K01409	cpst:B601_0597
ko:K02049	cpst:B601_0634
ko:K02035	cpst:B601_0644
ko:K02035	cpst:B601_0645
ko:K02035	cpst:B601_0646
ko:K15582	cpst:B601_0648
ko:K10823	cpst:B601_0649
ko:K15583	cpst:B601_0650
ko:K06889	cpst:B601_0654
ko:K06889	cpst:B601_0661
ko:K02124	cpst:B601_0726
ko:K02123	cpst:B601_0727
ko:K02120	cpst:B601_0728
ko:K02118	cpst:B601_0729
ko:K02117	cpst:B601_0730
ko:K02121	cpst:B601_0732
ko:K00616	cpst:B601_0735
ko:K00652	cpst:B601_0767
ko:K04763	cpst:B601_0785
ko:K00813	cpst:B601_0006
ko:K01679	cpst:B601_0798
ko:K07258	cpst:B601_0079
ko:K00970	cpst:B601_0844
ko:K01408	cpst:B601_0870
ko:K02342	cpst:B601_0098
ko:K01909	cpst:B601_0901
ko:K01082	cpst:B601_0903
ko:K01507	cpst:B601_0905
ko:K00972	cpst:B601_0983
ko:K01596	cpst:B601_0988
ko:K00970	cpst:B601_0995
ko:K02030	cpst:B601_0152
ko:K02035	cpst:B601_0162
ko:K02033	cpst:B601_0163
ko:K00567	cpst:B601_0165
ko:K07098	cpst:B601_0184
ko:K07117	cpst:B601_0959
ko:K06910	cpst:B601_0960
ko:K14226	cpst:B601_0954
ko:K14233	cpst:B601_0820
ko:K14232	cpst:B601_0472
ko:K14234	cpst:B601_0047
ko:K03559	cpst:B601_1049
ko:K14219	cpst:B601_0026
ko:K00895	cpst:B601_0655
ko:K01834	cpst:B601_0975
ko:K11645	cpst:B601_0547
ko:K09810	cpst:B601_0584
ko:K14234	cpst:B601_0573
ko:K14223	cpst:B601_0879
ko:K14220	cpst:B601_0691
ko:K14227	cpst:B601_0635
ko:K02028	cpst:B601_0600
ko:K14233	cpst:B601_0229
ko:K01980	cpst:B601_1091
ko:K14224	cpst:B601_0052
ko:K17103	cpst:B601_0832
ko:K04084	cpst:B601_1047
ko:K14218	cpst:B601_0005
ko:K14218	cpst:B601_0636
ko:K14229	cpst:B601_0051
ko:K14225	cpst:B601_0057
ko:K14228	cpst:B601_0094
ko:K14228	cpst:B601_0132
ko:K14228	cpst:B601_0180
ko:K14228	cpst:B601_0170
ko:K14228	cpst:B601_0787
ko:K14233	cpst:B601_0140
ko:K14233	cpst:B601_0332
ko:K14219	cpst:B601_0411
ko:K14219	cpst:B601_1056
ko:K14231	cpst:B601_0222
ko:K14232	cpst:B601_1087
ko:K14221	cpst:B601_0568
ko:K14237	cpst:B601_0569
ko:K14236	cpst:B601_0574
ko:K14230	cpst:B601_0656
ko:K14230	cpst:B601_0657
ko:K14230	cpst:B601_0750
ko:K14235	cpst:B601_0743
ko:K14222	cpst:B601_0928
ko:K01977	cpst:B601_1092
ko:K14225	cpst:B601_0991
ko:K14219	cpst:B601_0175
ko:K14234	cpst:B601_0745
ko:K14237	cpst:B601_0828
ko:K01840	cpst:B601_0374
ko:K06972	cpst:B601_0834
ko:K07081	cpst:B601_0257
ko:K14441	cpst:B601_0580
ko:K01869	cpst:B601_0660
ko:K02864	cpst:B601_0738
ko:K03582	cpst:B601_0009
ko:K01000	cpst:B601_0926
ko:K01872	cpst:B601_0937
ko:K04077	cpst:B601_1057
ko:K04043	cpst:B601_0271
ko:K22099	cpst:B601_1074
ko:K08274	cpst:B601_0783
ko:K08275	cpst:B601_0496
ko:K18707	cpst:B601_0295
ko:K03825	cpst:B601_0187
ko:K03497	cpst:B601_0068
ko:K03496	cpst:B601_1031
ko:K03496	cpst:B601_p0007
ko:K03111	cpst:B601_0450
ko:K02626	cpst:B601_0778
ko:K11991	cpst:B601_0812
ko:K04771	cpst:B601_0836
ko:K11749	cpst:B601_0488
ko:K19405	cpst:B601_0049
ko:K19411	cpst:B601_0050
ko:K00500	cpst:B601_0762
ko:K03309	cpst:B601_0244
ko:K12132	cpst:B601_0723
ko:K20074	cpst:B601_0438
ko:K20265	cpst:B601_0546
ko:K01214	cpst:B601_0447
ko:K01802	cpst:B601_0091
ko:K00526	cpst:B601_0830
ko:K02316	cpst:B601_0888
ko:K02314	cpst:B601_0139
ko:K03553	cpst:B601_1072
ko:K00287	cpst:B601_1075
ko:K02314	cpst:B601_p0003
ko:K01520	cpst:B601_0377
ko:K02335	cpst:B601_0144
ko:K00525	cpst:B601_0831
ko:K02031	cpst:B601_0070
ko:K02050	cpst:B601_0799
ko:K02051	cpst:B601_0799
ko:K07033	cpst:B601_0061
ko:K01829	cpst:B601_0894
ko:K01534	cpst:B601_0970
ko:K16239	cpst:B601_0500
