ko:K10563	ftw:FTW_1550
ko:K03784	ftw:FTW_1473
ko:K03624	ftw:FTW_1479
ko:K02834	ftw:FTW_0127
ko:K02519	ftw:FTW_0126
ko:K02600	ftw:FTW_0125
ko:K13038	ftw:FTW_1186
ko:K03305	ftw:FTW_1040
ko:K03667	ftw:FTW_1039
ko:K06134	ftw:FTW_1005
ko:K02888	ftw:FTW_1466
ko:K03701	ftw:FTW_1478
ko:K02440	ftw:FTW_0223
ko:K07645	ftw:FTW_0175
ko:K03723	ftw:FTW_1085
ko:K08084	ftw:FTW_1480
ko:K01955	ftw:FTW_1955
ko:K01956	ftw:FTW_1956
ko:K06186	ftw:FTW_1937
ko:K02358	ftw:FTW_0227
ko:K03442	ftw:FTW_0225
ko:K03640	ftw:FTW_1344
ko:K03806	ftw:FTW_0253
ko:K02493	ftw:FTW_0260
ko:K02446	ftw:FTW_0283
ko:K00568	ftw:FTW_0310
ko:K03655	ftw:FTW_0333
ko:K03648	ftw:FTW_0348
ko:K02469	ftw:FTW_0351
ko:K02536	ftw:FTW_0355
ko:K02372	ftw:FTW_0356
ko:K01004	ftw:FTW_0364
ko:K00795	ftw:FTW_0365
ko:K02527	ftw:FTW_0366
ko:K03685	ftw:FTW_0372
ko:K03040	ftw:FTW_0446
ko:K03583	ftw:FTW_0491
ko:K03582	ftw:FTW_0494
ko:K03581	ftw:FTW_0495
ko:K03500	ftw:FTW_0506
ko:K01624	ftw:FTW_0526
ko:K02806	ftw:FTW_0560
ko:K06041	ftw:FTW_0585
ko:K07025	ftw:FTW_0597
ko:K00965	ftw:FTW_0623
ko:K05592	ftw:FTW_0627
ko:K03517	ftw:FTW_0629
ko:K03424	ftw:FTW_0674
ko:K06180	ftw:FTW_0699
ko:K04075	ftw:FTW_0715
ko:K08300	ftw:FTW_0719
ko:K07568	ftw:FTW_0731
ko:K03183	ftw:FTW_0751
ko:K00652	ftw:FTW_0830
ko:K00833	ftw:FTW_0832
ko:K09013	ftw:FTW_0874
ko:K03270	ftw:FTW_0934
ko:K03885	ftw:FTW_0943
ko:K03086	ftw:FTW_0944
ko:K07107	ftw:FTW_0950
ko:K00956	ftw:FTW_0959
ko:K03789	ftw:FTW_0964
ko:K00525	ftw:FTW_1008
ko:K03800	ftw:FTW_1036
ko:K02654	ftw:FTW_1045
ko:K06987	ftw:FTW_1055
ko:K01159	ftw:FTW_1072
ko:K03544	ftw:FTW_1104
ko:K03820	ftw:FTW_1114
ko:K03469	ftw:FTW_1139
ko:K03802	ftw:FTW_1163
ko:K03427	ftw:FTW_1214
ko:K03601	ftw:FTW_1239
ko:K03702	ftw:FTW_1246
ko:K02427	ftw:FTW_1267
ko:K03168	ftw:FTW_1273
ko:K01414	ftw:FTW_1280
ko:K07305	ftw:FTW_1302
ko:K03181	ftw:FTW_1327
ko:K03179	ftw:FTW_1328
ko:K06208	ftw:FTW_1352
ko:K03703	ftw:FTW_1461
ko:K03798	ftw:FTW_1476
ko:K05539	ftw:FTW_1557
ko:K06949	ftw:FTW_1587
ko:K04774	ftw:FTW_1611
ko:K03599	ftw:FTW_1612
ko:K02558	ftw:FTW_1635
ko:K03269	ftw:FTW_1637
ko:K00872	ftw:FTW_1647
ko:K06925	ftw:FTW_1704
ko:K02339	ftw:FTW_1787
ko:K02536	ftw:FTW_1800
ko:K02300	ftw:FTW_1802
ko:K02299	ftw:FTW_1803
ko:K02297	ftw:FTW_1805
ko:K00425	ftw:FTW_1807
ko:K04567	ftw:FTW_1899
ko:K03501	ftw:FTW_1928
ko:K03271	ftw:FTW_1936
ko:K07560	ftw:FTW_1975
ko:K01193	ftw:FTW_1977
ko:K04773	ftw:FTW_1984
ko:K02066	ftw:FTW_0325
ko:K02065	ftw:FTW_0326
ko:K03608	ftw:FTW_0327
ko:K03609	ftw:FTW_0328
ko:K02913	ftw:FTW_0330
ko:K02902	ftw:FTW_0331
ko:K07461	ftw:FTW_0344
ko:K07277	ftw:FTW_0353
ko:K06142	ftw:FTW_0354
ko:K04754	ftw:FTW_0311
ko:K03695	ftw:FTW_0017
ko:K01546	ftw:FTW_0059
ko:K01547	ftw:FTW_0060
ko:K07646	ftw:FTW_0062
ko:K02433	ftw:FTW_0094
ko:K02434	ftw:FTW_0095
ko:K00340	ftw:FTW_0116
ko:K06916	ftw:FTW_0130
ko:K02108	ftw:FTW_0134
ko:K00241	ftw:FTW_0148
ko:K02669	ftw:FTW_0165
ko:K00111	ftw:FTW_0222
ko:K01409	ftw:FTW_0237
ko:K02337	ftw:FTW_1672
ko:K00282	ftw:FTW_1664
ko:K00283	ftw:FTW_1663
ko:K01878	ftw:FTW_1654
ko:K03610	ftw:FTW_0329
ko:K01676	ftw:FTW_0335
ko:K03424	ftw:FTW_0442
ko:K01442	ftw:FTW_0710
ko:K06131	ftw:FTW_0905
ko:K03643	ftw:FTW_0898
ko:K07447	ftw:FTW_0892
ko:K02205	ftw:FTW_0884
ko:K02338	ftw:FTW_0002
ko:K03837	ftw:FTW_1951
ko:K00609	ftw:FTW_1954
ko:K03593	ftw:FTW_0901
ko:K07091	ftw:FTW_1485
ko:K03106	ftw:FTW_0863
ko:K06987	ftw:FTW_0859
ko:K02335	ftw:FTW_0196
ko:K02445	ftw:FTW_1513
ko:K01126	ftw:FTW_1512
ko:K00240	ftw:FTW_0151
ko:K03177	ftw:FTW_0373
ko:K00239	ftw:FTW_0150
ko:K00242	ftw:FTW_0149
ko:K04564	ftw:FTW_0144
ko:K09014	ftw:FTW_0873
ko:K02970	ftw:FTW_0947
ko:K09117	ftw:FTW_0946
ko:K01633	ftw:FTW_0837
ko:K03684	ftw:FTW_1462
ko:K09966	ftw:FTW_1464
ko:K02899	ftw:FTW_1465
ko:K09823	ftw:FTW_0909
ko:K07023	ftw:FTW_1268
ko:K03551	ftw:FTW_0920
ko:K06980	ftw:FTW_1394
ko:K03656	ftw:FTW_1393
ko:K03470	ftw:FTW_0562
ko:K08304	ftw:FTW_0569
ko:K01889	ftw:FTW_0911
ko:K02483	ftw:FTW_0386
ko:K07337	ftw:FTW_0389
ko:K09859	ftw:FTW_0392
ko:K09794	ftw:FTW_0396
ko:K01897	ftw:FTW_0403
ko:K03594	ftw:FTW_0445
ko:K07478	ftw:FTW_0447
ko:K03671	ftw:FTW_0450
ko:K03628	ftw:FTW_0451
ko:K07090	ftw:FTW_0461
ko:K09160	ftw:FTW_0463
ko:K03625	ftw:FTW_0466
ko:K02426	ftw:FTW_0479
ko:K01719	ftw:FTW_0480
ko:K01069	ftw:FTW_0483
ko:K04758	ftw:FTW_0485
ko:K03525	ftw:FTW_0496
ko:K09001	ftw:FTW_0533
ko:K05808	ftw:FTW_0559
ko:K09930	ftw:FTW_0582
ko:K09929	ftw:FTW_0583
ko:K08137	ftw:FTW_0624
ko:K03543	ftw:FTW_0687
ko:K03446	ftw:FTW_0688
ko:K08311	ftw:FTW_0251
ko:K03046	ftw:FTW_0235
ko:K03043	ftw:FTW_0234
ko:K01681	ftw:FTW_0164
ko:K01897	ftw:FTW_0690
ko:K03305	ftw:FTW_0691
ko:K09761	ftw:FTW_0692
ko:K02067	ftw:FTW_0695
ko:K02065	ftw:FTW_0696
ko:K02066	ftw:FTW_0697
ko:K05807	ftw:FTW_0700
ko:K09889	ftw:FTW_0704
ko:K03584	ftw:FTW_0722
ko:K03975	ftw:FTW_0723
ko:K03975	ftw:FTW_0724
ko:K09895	ftw:FTW_0727
ko:K09125	ftw:FTW_0733
ko:K03977	ftw:FTW_0740
ko:K03690	ftw:FTW_0750
ko:K06190	ftw:FTW_0754
ko:K05516	ftw:FTW_0779
ko:K03834	ftw:FTW_0781
ko:K00951	ftw:FTW_0783
ko:K03733	ftw:FTW_0788
ko:K03071	ftw:FTW_0791
ko:K03555	ftw:FTW_0792
ko:K07106	ftw:FTW_0797
ko:K03316	ftw:FTW_0803
ko:K03923	ftw:FTW_0860
ko:K03305	ftw:FTW_0913
ko:K06158	ftw:FTW_1011
ko:K02313	ftw:FTW_0001
ko:K03281	ftw:FTW_0010
ko:K05524	ftw:FTW_0023
ko:K03313	ftw:FTW_0027
ko:K02114	ftw:FTW_0141
ko:K02112	ftw:FTW_0140
ko:K00339	ftw:FTW_0115
ko:K00338	ftw:FTW_0114
ko:K02067	ftw:FTW_0324
ko:K07040	ftw:FTW_0521
ko:K03650	ftw:FTW_0557
ko:K02939	ftw:FTW_0970
ko:K00847	ftw:FTW_1497
ko:K00537	ftw:FTW_1362
ko:K00526	ftw:FTW_1010
ko:K03676	ftw:FTW_1010
ko:K06911	ftw:FTW_0574
ko:K03686	ftw:FTW_0572
ko:K02221	ftw:FTW_1918
ko:K02075	ftw:FTW_1881
ko:K03933	ftw:FTW_0611
ko:K02437	ftw:FTW_0609
ko:K09747	ftw:FTW_0607
ko:K07727	ftw:FTW_0917
ko:K03437	ftw:FTW_1418
ko:K02341	ftw:FTW_1610
ko:K03588	ftw:FTW_1618
ko:K02956	ftw:FTW_1545
ko:K03586	ftw:FTW_1547
ko:K03110	ftw:FTW_0205
ko:K02837	ftw:FTW_0203
ko:K07058	ftw:FTW_1874
ko:K04066	ftw:FTW_1872
ko:K01658	ftw:FTW_2024
ko:K03720	ftw:FTW_2026
ko:K03548	ftw:FTW_1591
ko:K00243	ftw:FTW_1392
ko:K07146	ftw:FTW_1391
ko:K03554	ftw:FTW_1390
ko:K09710	ftw:FTW_1407
ko:K04077	ftw:FTW_0264
ko:K04078	ftw:FTW_0265
ko:K09861	ftw:FTW_0267
ko:K02835	ftw:FTW_0259
ko:K04744	ftw:FTW_1603
ko:K04763	ftw:FTW_0244
ko:K02884	ftw:FTW_0243
ko:K02860	ftw:FTW_0241
ko:K02959	ftw:FTW_0240
ko:K02935	ftw:FTW_0233
ko:K06966	ftw:FTW_0578
ko:K02077	ftw:FTW_1879
ko:K06077	ftw:FTW_1876
ko:K03809	ftw:FTW_1875
ko:K03600	ftw:FTW_0564
ko:K02996	ftw:FTW_0566
ko:K02871	ftw:FTW_0567
ko:K03466	ftw:FTW_0279
ko:K03634	ftw:FTW_0278
ko:K03498	ftw:FTW_0275
ko:K02864	ftw:FTW_0232
ko:K02169	ftw:FTW_0829
ko:K01935	ftw:FTW_2081
ko:K09158	ftw:FTW_0937
ko:K06201	ftw:FTW_1574
ko:K03687	ftw:FTW_0570
ko:K04043	ftw:FTW_0571
ko:K06861	ftw:FTW_0931
ko:K03980	ftw:FTW_1702
ko:K03572	ftw:FTW_1584
ko:K02074	ftw:FTW_1880
ko:K01695	ftw:FTW_0013
ko:K01696	ftw:FTW_0012
ko:K00793	ftw:FTW_1945
ko:K08289	ftw:FTW_0020
ko:K07566	ftw:FTW_1909
ko:K02909	ftw:FTW_1700
ko:K03769	ftw:FTW_0626
ko:K03317	ftw:FTW_0200
ko:K03525	ftw:FTW_0197
ko:K03611	ftw:FTW_0192
ko:K02078	ftw:FTW_0515
ko:K08681	ftw:FTW_1553
ko:K09791	ftw:FTW_0619
ko:K02887	ftw:FTW_0615
ko:K02916	ftw:FTW_0614
ko:K02520	ftw:FTW_0613
ko:K02672	ftw:FTW_0293
ko:K07018	ftw:FTW_0282
ko:K11179	ftw:FTW_1613
ko:K11073	ftw:FTW_1589
ko:K11074	ftw:FTW_1455
ko:K00537	ftw:FTW_0404
ko:K02836	ftw:FTW_1900
ko:K03531	ftw:FTW_1903
ko:K03590	ftw:FTW_1904
ko:K03589	ftw:FTW_1905
ko:K02945	ftw:FTW_1908
ko:K07258	ftw:FTW_0936
ko:K06173	ftw:FTW_0928
ko:K00337	ftw:FTW_0113
ko:K02340	ftw:FTW_1894
ko:K02343	ftw:FTW_1901
ko:K02535	ftw:FTW_1902
ko:K02314	ftw:FTW_0969
ko:K02656	ftw:FTW_0967
ko:K02523	ftw:FTW_0953
ko:K03773	ftw:FTW_0952
ko:K07259	ftw:FTW_0948
ko:K02316	ftw:FTW_0945
ko:K01657	ftw:FTW_2025
ko:K08301	ftw:FTW_2027
ko:K02115	ftw:FTW_0139
ko:K02111	ftw:FTW_0138
ko:K02113	ftw:FTW_0137
ko:K02109	ftw:FTW_0136
ko:K02110	ftw:FTW_0135
ko:K06179	ftw:FTW_0131
ko:K07320	ftw:FTW_0300
ko:K01892	ftw:FTW_0128
ko:K00336	ftw:FTW_0112
ko:K00335	ftw:FTW_0111
ko:K00334	ftw:FTW_0110
ko:K00333	ftw:FTW_0109
ko:K00332	ftw:FTW_0108
ko:K00331	ftw:FTW_0107
ko:K00330	ftw:FTW_0106
ko:K02435	ftw:FTW_0093
ko:K08303	ftw:FTW_0072
ko:K01548	ftw:FTW_0061
ko:K01883	ftw:FTW_0301
ko:K00343	ftw:FTW_0119
ko:K00342	ftw:FTW_0118
ko:K00341	ftw:FTW_0117
ko:K03621	ftw:FTW_0519
ko:K04103	ftw:FTW_1982
ko:K02911	ftw:FTW_0520
ko:K03811	ftw:FTW_1060
ko:K03455	ftw:FTW_1059
ko:K03305	ftw:FTW_1078
ko:K01653	ftw:FTW_1087
ko:K01733	ftw:FTW_1092
ko:K03978	ftw:FTW_1093
ko:K04088	ftw:FTW_1096
ko:K03665	ftw:FTW_1098
ko:K03666	ftw:FTW_1099
ko:K03770	ftw:FTW_1101
ko:K03530	ftw:FTW_1102
ko:K06168	ftw:FTW_1110
ko:K06217	ftw:FTW_1111
ko:K07042	ftw:FTW_1112
ko:K06189	ftw:FTW_1113
ko:K05810	ftw:FTW_1120
ko:K03089	ftw:FTW_1144
ko:K03210	ftw:FTW_1148
ko:K03566	ftw:FTW_1152
ko:K08591	ftw:FTW_1156
ko:K02652	ftw:FTW_1166
ko:K02653	ftw:FTW_1167
ko:K06197	ftw:FTW_1183
ko:K09159	ftw:FTW_1190
ko:K02666	ftw:FTW_1195
ko:K02665	ftw:FTW_1196
ko:K02664	ftw:FTW_1197
ko:K02663	ftw:FTW_1198
ko:K03595	ftw:FTW_1207
ko:K06207	ftw:FTW_1225
ko:K09801	ftw:FTW_1232
ko:K03664	ftw:FTW_1234
ko:K03495	ftw:FTW_1252
ko:K03497	ftw:FTW_1271
ko:K03496	ftw:FTW_1272
ko:K02650	ftw:FTW_1289
ko:K03631	ftw:FTW_1293
ko:K03293	ftw:FTW_1299
ko:K04485	ftw:FTW_1307
ko:K03744	ftw:FTW_1321
ko:K03799	ftw:FTW_1322
ko:K03453	ftw:FTW_1336
ko:K03641	ftw:FTW_1346
ko:K03646	ftw:FTW_1347
ko:K03560	ftw:FTW_1348
ko:K03562	ftw:FTW_1349
ko:K04096	ftw:FTW_1356
ko:K02071	ftw:FTW_1157
ko:K01580	ftw:FTW_0076
ko:K00764	ftw:FTW_0077
ko:K01952	ftw:FTW_0078
ko:K01785	ftw:FTW_0086
ko:K01756	ftw:FTW_0089
ko:K01599	ftw:FTW_0123
ko:K01647	ftw:FTW_0147
ko:K00164	ftw:FTW_0152
ko:K00658	ftw:FTW_0153
ko:K00759	ftw:FTW_0154
ko:K03431	ftw:FTW_0155
ko:K01803	ftw:FTW_0156
ko:K00912	ftw:FTW_0195
ko:K01839	ftw:FTW_0198
ko:K01619	ftw:FTW_0199
ko:K00943	ftw:FTW_0202
ko:K00864	ftw:FTW_0219
ko:K00789	ftw:FTW_0239
ko:K00432	ftw:FTW_0638
ko:K09799	ftw:FTW_1443
ko:K03629	ftw:FTW_0673
ko:K02970	ftw:FTW_0663
ko:K02621	ftw:FTW_1678
ko:K03704	ftw:FTW_0660
ko:K01902	ftw:FTW_1562
ko:K07462	ftw:FTW_1592
ko:K04568	ftw:FTW_1594
ko:K02160	ftw:FTW_1598
ko:K03786	ftw:FTW_1599
ko:K02528	ftw:FTW_1601
ko:K03771	ftw:FTW_1602
ko:K03216	ftw:FTW_1607
ko:K03657	ftw:FTW_0206
ko:K09015	ftw:FTW_0875
ko:K03499	ftw:FTW_0871
ko:K03305	ftw:FTW_0851
ko:K01658	ftw:FTW_0840
ko:K07126	ftw:FTW_1703
ko:K04762	ftw:FTW_0646
ko:K01963	ftw:FTW_1706
ko:K00954	ftw:FTW_1430
ko:K04518	ftw:FTW_1436
ko:K01879	ftw:FTW_0675
ko:K03438	ftw:FTW_1548
ko:K06215	ftw:FTW_1554
ko:K02470	ftw:FTW_1555
ko:K01903	ftw:FTW_1561
ko:K10679	ftw:FTW_1781
ko:K00573	ftw:FTW_0073
ko:K03711	ftw:FTW_0105
