ko:K01006	fti:FTS_0123
ko:K03723	fti:FTS_0901
ko:K10773	fti:FTS_0905
ko:K03675	fti:FTS_0907
ko:K01703	fti:FTS_1839
ko:K03098	fti:FTS_1846
ko:K02340	fti:FTS_1847
ko:K01915	fti:FTS_1848
ko:K01425	fti:FTS_1849
ko:K04567	fti:FTS_1853
ko:K02836	fti:FTS_1854
ko:K02343	fti:FTS_1855
ko:K02535	fti:FTS_1856
ko:K03531	fti:FTS_1857
ko:K03590	fti:FTS_1858
ko:K03589	fti:FTS_1859
ko:K01921	fti:FTS_1860
ko:K02945	fti:FTS_1862
ko:K07566	fti:FTS_1863
ko:K02221	fti:FTS_1871
ko:K00602	fti:FTS_1877
ko:K01939	fti:FTS_1878
ko:K00760	fti:FTS_1879
ko:K06077	fti:FTS_1885
ko:K03809	fti:FTS_1886
ko:K07058	fti:FTS_1887
ko:K04066	fti:FTS_1889
ko:K01256	fti:FTS_1902
ko:K02217	fti:FTS_0909
ko:K03644	fti:FTS_0910
ko:K01159	fti:FTS_0913
ko:K03550	fti:FTS_0915
ko:K09760	fti:FTS_0916
ko:K01590	fti:FTS_0921
ko:K03811	fti:FTS_0924
ko:K00948	fti:FTS_0930
ko:K02897	fti:FTS_0931
ko:K06942	fti:FTS_0935
ko:K01056	fti:FTS_0936
ko:K02654	fti:FTS_0939
ko:K00322	fti:FTS_0940
ko:K03305	fti:FTS_0943
ko:K03667	fti:FTS_0944
ko:K01419	fti:FTS_0945
ko:K03800	fti:FTS_0947
ko:K01866	fti:FTS_0948
ko:K08325	fti:FTS_0954
ko:K02687	fti:FTS_0955
ko:K02346	fti:FTS_0962
ko:K00024	fti:FTS_0967
ko:K13993	fti:FTS_1903
ko:K13498	fti:FTS_1904
ko:K00766	fti:FTS_1910
ko:K01657	fti:FTS_1912
ko:K03720	fti:FTS_1913
ko:K08301	fti:FTS_1916
ko:K02313	fti:FTS_0000
ko:K02338	fti:FTS_0001
ko:K04773	fti:FTS_0007
ko:K03071	fti:FTS_0010
ko:K03565	fti:FTS_0012
ko:K06134	fti:FTS_0969
ko:K04761	fti:FTS_0989
ko:K00945	fti:FTS_0992
ko:K00831	fti:FTS_0993
ko:K00228	fti:FTS_0997
ko:K02990	fti:FTS_1000
ko:K02963	fti:FTS_1001
ko:K02939	fti:FTS_1002
ko:K06941	fti:FTS_1004
ko:K02656	fti:FTS_1005
ko:K06178	fti:FTS_1006
ko:K03789	fti:FTS_1008
ko:K02523	fti:FTS_1019
ko:K03773	fti:FTS_1020
ko:K14058	fti:FTS_1021
ko:K07107	fti:FTS_1022
ko:K07259	fti:FTS_1024
ko:K02970	fti:FTS_1025
ko:K09117	fti:FTS_1026
ko:K03086	fti:FTS_1028
ko:K03885	fti:FTS_1029
ko:K03801	fti:FTS_1032
ko:K09158	fti:FTS_1033
ko:K00925	fti:FTS_0014
ko:K13788	fti:FTS_0015
ko:K01876	fti:FTS_0019
ko:K03837	fti:FTS_0023
ko:K00609	fti:FTS_0026
ko:K01955	fti:FTS_0027
ko:K01956	fti:FTS_0028
ko:K01465	fti:FTS_0031
ko:K09941	fti:FTS_0034
ko:K01591	fti:FTS_0043
ko:K07560	fti:FTS_0046
ko:K03834	fti:FTS_0053
ko:K03501	fti:FTS_0054
ko:K06997	fti:FTS_0055
ko:K06186	fti:FTS_0061
ko:K02968	fti:FTS_0062
ko:K03596	fti:FTS_0063
ko:K00566	fti:FTS_0064
ko:K01462	fti:FTS_0066
ko:K00794	fti:FTS_0067
ko:K14652	fti:FTS_0068
ko:K00793	fti:FTS_0069
ko:K11752	fti:FTS_0070
ko:K12262	fti:FTS_0074
ko:K03313	fti:FTS_0076
ko:K00655	fti:FTS_0078
ko:K00655	fti:FTS_0079
ko:K03270	fti:FTS_1036
ko:K11719	fti:FTS_1037
ko:K06861	fti:FTS_1039
ko:K06173	fti:FTS_1042
ko:K01951	fti:FTS_1044
ko:K01662	fti:FTS_1045
ko:K03551	fti:FTS_1050
ko:K07727	fti:FTS_1053
ko:K03437	fti:FTS_1062
ko:K12267	fti:FTS_1065
ko:K09710	fti:FTS_1070
ko:K01872	fti:FTS_1075
ko:K01255	fti:FTS_1077
ko:K06980	fti:FTS_1084
ko:K03656	fti:FTS_1085
ko:K00243	fti:FTS_1086
ko:K07146	fti:FTS_1087
ko:K03554	fti:FTS_1088
ko:K08289	fti:FTS_0082
ko:K03695	fti:FTS_0084
ko:K01695	fti:FTS_0087
ko:K01696	fti:FTS_0088
ko:K01299	fti:FTS_0089
ko:K03281	fti:FTS_0090
ko:K03811	fti:FTS_0094
ko:K11901	fti:FTS_0097
ko:K11900	fti:FTS_0098
ko:K00826	fti:FTS_0122
ko:K04759	fti:FTS_0125
ko:K01147	fti:FTS_0130
ko:K06999	fti:FTS_0131
ko:K01749	fti:FTS_0132
ko:K02494	fti:FTS_0143
ko:K00919	fti:FTS_0144
ko:K06141	fti:FTS_1105
ko:K09458	fti:FTS_1108
ko:K02078	fti:FTS_1109
ko:K00645	fti:FTS_1111
ko:K00648	fti:FTS_1112
ko:K03621	fti:FTS_1113
ko:K02911	fti:FTS_1114
ko:K07040	fti:FTS_1115
ko:K00615	fti:FTS_1116
ko:K00134	fti:FTS_1117
ko:K00927	fti:FTS_1118
ko:K00873	fti:FTS_1119
ko:K01624	fti:FTS_1120
ko:K11901	fti:FTS_1125
ko:K11900	fti:FTS_1126
ko:K01697	fti:FTS_1148
ko:K01442	fti:FTS_1150
ko:K03650	fti:FTS_1153
ko:K05808	fti:FTS_1155
ko:K03470	fti:FTS_1158
ko:K03306	fti:FTS_0151
ko:K07220	fti:FTS_0152
ko:K07160	fti:FTS_0156
ko:K07015	fti:FTS_0164
ko:K07056	fti:FTS_0167
ko:K01924	fti:FTS_0168
ko:K00014	fti:FTS_0169
ko:K02914	fti:FTS_0171
ko:K03536	fti:FTS_0172
ko:K08998	fti:FTS_0173
ko:K03217	fti:FTS_0174
ko:K02517	fti:FTS_0175
ko:K02517	fti:FTS_0176
ko:K02655	fti:FTS_0177
ko:K02356	fti:FTS_0178
ko:K13288	fti:FTS_0179
ko:K01713	fti:FTS_0183
ko:K00426	fti:FTS_0184
ko:K00425	fti:FTS_0185
ko:K02297	fti:FTS_0187
ko:K02298	fti:FTS_0188
ko:K02299	fti:FTS_0189
ko:K02300	fti:FTS_0190
ko:K02536	fti:FTS_0192
ko:K00868	fti:FTS_0194
ko:K03924	fti:FTS_0196
ko:K01304	fti:FTS_0203
ko:K02339	fti:FTS_0205
ko:K01873	fti:FTS_0206
ko:K03600	fti:FTS_1160
ko:K03599	fti:FTS_1161
ko:K02996	fti:FTS_1162
ko:K02871	fti:FTS_1163
ko:K08304	fti:FTS_1165
ko:K03687	fti:FTS_1166
ko:K04043	fti:FTS_1167
ko:K03686	fti:FTS_1168
ko:K01889	fti:FTS_1173
ko:K01890	fti:FTS_1174
ko:K09823	fti:FTS_1175
ko:K06131	fti:FTS_1179
ko:K06131	fti:FTS_1180
ko:K01494	fti:FTS_1183
ko:K03643	fti:FTS_1185
ko:K01869	fti:FTS_1186
ko:K07447	fti:FTS_1189
ko:K07735	fti:FTS_1190
ko:K02205	fti:FTS_1196
ko:K09015	fti:FTS_1203
ko:K09013	fti:FTS_1204
ko:K09014	fti:FTS_1205
ko:K02518	fti:FTS_1210
ko:K07090	fti:FTS_1211
ko:K03106	fti:FTS_1213
ko:K01626	fti:FTS_1214
ko:K01142	fti:FTS_1218
ko:K10679	fti:FTS_0211
ko:K02967	fti:FTS_0221
ko:K02357	fti:FTS_0222
ko:K09903	fti:FTS_0223
ko:K02838	fti:FTS_0224
ko:K00806	fti:FTS_0225
ko:K00981	fti:FTS_0226
ko:K00995	fti:FTS_0228
ko:K02950	fti:FTS_0229
ko:K02992	fti:FTS_0230
ko:K02355	fti:FTS_0231
ko:K02946	fti:FTS_0232
ko:K02906	fti:FTS_0233
ko:K02926	fti:FTS_0234
ko:K02892	fti:FTS_0235
ko:K02886	fti:FTS_0236
ko:K02965	fti:FTS_0237
ko:K02890	fti:FTS_0238
ko:K02982	fti:FTS_0239
ko:K02878	fti:FTS_0240
ko:K02904	fti:FTS_0241
ko:K02961	fti:FTS_0242
ko:K02874	fti:FTS_0243
ko:K02895	fti:FTS_0244
ko:K02931	fti:FTS_0245
ko:K02954	fti:FTS_0246
ko:K02994	fti:FTS_0247
ko:K02933	fti:FTS_0248
ko:K02881	fti:FTS_0249
ko:K02988	fti:FTS_0250
ko:K02907	fti:FTS_0251
ko:K02876	fti:FTS_0252
ko:K03076	fti:FTS_0253
ko:K02919	fti:FTS_0254
ko:K02952	fti:FTS_0255
ko:K02948	fti:FTS_0256
ko:K02986	fti:FTS_0257
ko:K03040	fti:FTS_0258
ko:K02879	fti:FTS_0259
ko:K04079	fti:FTS_0263
ko:K00262	fti:FTS_0265
ko:K01586	fti:FTS_0268
ko:K03305	fti:FTS_1225
ko:K11927	fti:FTS_1226
ko:K01495	fti:FTS_1227
ko:K01633	fti:FTS_1236
ko:K13941	fti:FTS_1237
ko:K00833	fti:FTS_1243
ko:K01012	fti:FTS_1244
ko:K02169	fti:FTS_1246
ko:K01935	fti:FTS_1247
ko:K03524	fti:FTS_1249
ko:K01207	fti:FTS_1254
ko:K01845	fti:FTS_1255
ko:K01920	fti:FTS_1256
ko:K00604	fti:FTS_1257
ko:K12297	fti:FTS_1259
ko:K02909	fti:FTS_1276
ko:K01919	fti:FTS_1277
ko:K03980	fti:FTS_1278
ko:K06925	fti:FTS_1280
ko:K11754	fti:FTS_1281
ko:K01963	fti:FTS_1282
ko:K00940	fti:FTS_1283
ko:K05516	fti:FTS_0277
ko:K03834	fti:FTS_0279
ko:K15984	fti:FTS_0285
ko:K03733	fti:FTS_0286
ko:K03071	fti:FTS_0290
ko:K03555	fti:FTS_0291
ko:K01962	fti:FTS_0292
ko:K07106	fti:FTS_0296
ko:K01867	fti:FTS_0304
ko:K00859	fti:FTS_0307
ko:K00163	fti:FTS_0309
ko:K00627	fti:FTS_0310
ko:K00382	fti:FTS_0311
ko:K06901	fti:FTS_0319
ko:K09758	fti:FTS_0320
ko:K03774	fti:FTS_0324
ko:K03527	fti:FTS_0325
ko:K06208	fti:FTS_0326
ko:K03562	fti:FTS_0329
ko:K03641	fti:FTS_0332
ko:K03640	fti:FTS_0334
ko:K01937	fti:FTS_1284
ko:K00954	fti:FTS_1297
ko:K11717	fti:FTS_1300
ko:K01752	fti:FTS_1301
ko:K01775	fti:FTS_1305
ko:K09799	fti:FTS_1309
ko:K01879	fti:FTS_1315
ko:K03424	fti:FTS_1316
ko:K03629	fti:FTS_1317
ko:K00963	fti:FTS_1322
ko:K02970	fti:FTS_1327
ko:K03704	fti:FTS_1329
ko:K04762	fti:FTS_1345
ko:K03453	fti:FTS_0340
ko:K03179	fti:FTS_0349
ko:K03181	fti:FTS_0350
ko:K00989	fti:FTS_0351
ko:K03799	fti:FTS_0354
ko:K03744	fti:FTS_0355
ko:K00057	fti:FTS_0363
ko:K04485	fti:FTS_0365
ko:K01736	fti:FTS_0368
ko:K00812	fti:FTS_0376
ko:K03631	fti:FTS_0378
ko:K01491	fti:FTS_0383
ko:K01933	fti:FTS_0384
ko:K11175	fti:FTS_0386
ko:K01588	fti:FTS_0387
ko:K01589	fti:FTS_0388
ko:K06190	fti:FTS_0393
ko:K03183	fti:FTS_0396
ko:K03690	fti:FTS_0397
ko:K03688	fti:FTS_0398
ko:K02503	fti:FTS_0399
ko:K00432	fti:FTS_1351
ko:K00278	fti:FTS_1356
ko:K00767	fti:FTS_1357
ko:K03517	fti:FTS_1358
ko:K00942	fti:FTS_1359
ko:K05592	fti:FTS_1360
ko:K08137	fti:FTS_1363
