ko:K18893	pfn:HZ99_25390
ko:K01607	pfn:HZ99_12525
ko:K07088	pfn:HZ99_12530
ko:K03600	pfn:HZ99_12540
ko:K03599	pfn:HZ99_12545
ko:K00413	pfn:HZ99_12550
ko:K00412	pfn:HZ99_12555
ko:K00411	pfn:HZ99_12560
ko:K02996	pfn:HZ99_12565
ko:K02871	pfn:HZ99_12570
ko:K06916	pfn:HZ99_12590
ko:K01867	pfn:HZ99_12595
ko:K07018	pfn:HZ99_12600
ko:K09908	pfn:HZ99_12605
ko:K15012	pfn:HZ99_12610
ko:K15011	pfn:HZ99_12615
ko:K12368	pfn:HZ99_12630
ko:K12368	pfn:HZ99_12635
ko:K12368	pfn:HZ99_12640
ko:K02039	pfn:HZ99_17125
ko:K02036	pfn:HZ99_17130
ko:K02038	pfn:HZ99_17135
ko:K02037	pfn:HZ99_17140
ko:K02040	pfn:HZ99_17145
ko:K10806	pfn:HZ99_17155
ko:K01792	pfn:HZ99_17160
ko:K09950	pfn:HZ99_17165
ko:K01589	pfn:HZ99_17175
ko:K01588	pfn:HZ99_17180
ko:K01744	pfn:HZ99_17190
ko:K03310	pfn:HZ99_17195
ko:K01424	pfn:HZ99_17200
ko:K11073	pfn:HZ99_17220
ko:K00375	pfn:HZ99_17230
ko:K07734	pfn:HZ99_17235
ko:K01960	pfn:HZ99_17255
ko:K01959	pfn:HZ99_17260
ko:K03657	pfn:HZ99_17280
ko:K03088	pfn:HZ99_17290
ko:K07165	pfn:HZ99_17295
ko:K16087	pfn:HZ99_17300
ko:K03455	pfn:HZ99_17320
ko:K00868	pfn:HZ99_17330
ko:K06204	pfn:HZ99_17355
ko:K01448	pfn:HZ99_17365
ko:K09007	pfn:HZ99_17370
ko:K02074	pfn:HZ99_17375
ko:K02075	pfn:HZ99_17380
ko:K02077	pfn:HZ99_17385
ko:K01496	pfn:HZ99_17390
ko:K03101	pfn:HZ99_21915
ko:K07240	pfn:HZ99_21995
ko:K03321	pfn:HZ99_22005
ko:K03427	pfn:HZ99_22085
ko:K01153	pfn:HZ99_22095
ko:K03303	pfn:HZ99_22120
ko:K03664	pfn:HZ99_22130
ko:K09801	pfn:HZ99_22140
ko:K06186	pfn:HZ99_22145
ko:K03711	pfn:HZ99_22150
ko:K03631	pfn:HZ99_22155
ko:K03687	pfn:HZ99_22160
ko:K04043	pfn:HZ99_22165
ko:K03686	pfn:HZ99_22170
ko:K00215	pfn:HZ99_22175
ko:K01956	pfn:HZ99_22180
ko:K01955	pfn:HZ99_22185
ko:K03624	pfn:HZ99_22190
ko:K07574	pfn:HZ99_22200
ko:K02427	pfn:HZ99_22205
ko:K02052	pfn:HZ99_26690
ko:K02053	pfn:HZ99_26695
ko:K02054	pfn:HZ99_26700
ko:K02055	pfn:HZ99_26710
ko:K01267	pfn:HZ99_26730
ko:K06177	pfn:HZ99_26735
ko:K03608	pfn:HZ99_26740
ko:K03609	pfn:HZ99_26745
ko:K03610	pfn:HZ99_26750
ko:K02517	pfn:HZ99_26755
ko:K07001	pfn:HZ99_26760
ko:K01483	pfn:HZ99_26780
ko:K01477	pfn:HZ99_26785
ko:K07127	pfn:HZ99_26800
ko:K06901	pfn:HZ99_26810
ko:K00799	pfn:HZ99_26825
ko:K01495	pfn:HZ99_26835
ko:K07320	pfn:HZ99_26865
ko:K06889	pfn:HZ99_26875
ko:K01736	pfn:HZ99_26880
ko:K05820	pfn:HZ99_26885
ko:K08967	pfn:HZ99_26890
ko:K13776	pfn:HZ99_26905
ko:K03563	pfn:HZ99_26940
ko:K09898	pfn:HZ99_26945
ko:K01953	pfn:HZ99_26960
ko:K15461	pfn:HZ99_26975
ko:K09916	pfn:HZ99_04210
ko:K02441	pfn:HZ99_04215
ko:K00858	pfn:HZ99_04225
ko:K09977	pfn:HZ99_04230
ko:K13580	pfn:HZ99_04235
ko:K03405	pfn:HZ99_04240
ko:K02230	pfn:HZ99_04245
ko:K02234	pfn:HZ99_04250
ko:K02189	pfn:HZ99_04265
ko:K05936	pfn:HZ99_04270
ko:K07400	pfn:HZ99_04275
ko:K00548	pfn:HZ99_04285
ko:K00381	pfn:HZ99_04310
ko:K01584	pfn:HZ99_04340
ko:K02342	pfn:HZ99_04345
ko:K01126	pfn:HZ99_04355
ko:K03469	pfn:HZ99_04360
ko:K01069	pfn:HZ99_04370
ko:K08307	pfn:HZ99_04375
ko:K13893	pfn:HZ99_04380
ko:K13893	pfn:HZ99_04385
ko:K13894	pfn:HZ99_04390
ko:K13895	pfn:HZ99_04395
ko:K13896	pfn:HZ99_04400
ko:K03406	pfn:HZ99_04430
ko:K03639	pfn:HZ99_04450
ko:K03769	pfn:HZ99_04455
ko:K00374	pfn:HZ99_04460
ko:K00373	pfn:HZ99_04465
ko:K00371	pfn:HZ99_04470
ko:K00370	pfn:HZ99_04475
ko:K02575	pfn:HZ99_04480
ko:K02575	pfn:HZ99_04485
ko:K07673	pfn:HZ99_04490
ko:K07684	pfn:HZ99_04495
ko:K14155	pfn:HZ99_04500
ko:K09458	pfn:HZ99_09125
ko:K02078	pfn:HZ99_09130
ko:K00059	pfn:HZ99_09135
ko:K00645	pfn:HZ99_09140
ko:K03621	pfn:HZ99_09145
ko:K02911	pfn:HZ99_09150
ko:K07040	pfn:HZ99_09155
ko:K04773	pfn:HZ99_09165
ko:K01091	pfn:HZ99_09170
ko:K06179	pfn:HZ99_09175
ko:K08300	pfn:HZ99_09180
ko:K07141	pfn:HZ99_09185
ko:K07402	pfn:HZ99_09190
ko:K07303	pfn:HZ99_09195
ko:K07302	pfn:HZ99_09200
ko:K00075	pfn:HZ99_09205
ko:K01104	pfn:HZ99_09210
ko:K00979	pfn:HZ99_09215
ko:K09791	pfn:HZ99_09220
ko:K00912	pfn:HZ99_09225
ko:K03559	pfn:HZ99_09230
ko:K03561	pfn:HZ99_09235
ko:K02238	pfn:HZ99_09240
ko:K09928	pfn:HZ99_09245
ko:K07678	pfn:HZ99_09250
ko:K03778	pfn:HZ99_09255
ko:K00537	pfn:HZ99_09275
ko:K03809	pfn:HZ99_09280
ko:K14058	pfn:HZ99_09295
ko:K02742	pfn:HZ99_09305
ko:K11103	pfn:HZ99_09315
ko:K07637	pfn:HZ99_09325
ko:K07660	pfn:HZ99_09330
ko:K02362	pfn:HZ99_09335
ko:K07639	pfn:HZ99_09340
ko:K07661	pfn:HZ99_09345
ko:K01153	pfn:HZ99_09375
ko:K09805	pfn:HZ99_09380
ko:K03427	pfn:HZ99_09390
ko:K07302	pfn:HZ99_13870
ko:K16137	pfn:HZ99_13880
ko:K01607	pfn:HZ99_13900
ko:K03446	pfn:HZ99_13915
ko:K03630	pfn:HZ99_13945
ko:K04046	pfn:HZ99_13960
ko:K01156	pfn:HZ99_14030
ko:K03655	pfn:HZ99_14035
ko:K07316	pfn:HZ99_14040
ko:K00111	pfn:HZ99_14080
ko:K00803	pfn:HZ99_14085
ko:K03602	pfn:HZ99_14100
ko:K13789	pfn:HZ99_14105
ko:K01662	pfn:HZ99_14110
ko:K16092	pfn:HZ99_14115
ko:K01497	pfn:HZ99_14130
ko:K00946	pfn:HZ99_14140
ko:K03625	pfn:HZ99_14145
ko:K00794	pfn:HZ99_14150
ko:K14652	pfn:HZ99_14155
ko:K00793	pfn:HZ99_14160
ko:K11752	pfn:HZ99_14165
ko:K07738	pfn:HZ99_14170
ko:K11935	pfn:HZ99_18600
ko:K11931	pfn:HZ99_18605
ko:K11936	pfn:HZ99_18610
ko:K11937	pfn:HZ99_18615
ko:K15125	pfn:HZ99_18625
ko:K07114	pfn:HZ99_18665
ko:K03088	pfn:HZ99_18670
ko:K00135	pfn:HZ99_18765
ko:K14268	pfn:HZ99_18770
ko:K02048	pfn:HZ99_18800
ko:K02046	pfn:HZ99_18805
ko:K02047	pfn:HZ99_18810
ko:K02045	pfn:HZ99_18815
ko:K01130	pfn:HZ99_18830
ko:K15555	pfn:HZ99_18835
ko:K15554	pfn:HZ99_18840
ko:K15553	pfn:HZ99_18845
ko:K02014	pfn:HZ99_18870
ko:K03449	pfn:HZ99_18875
ko:K01999	pfn:HZ99_23445
ko:K02034	pfn:HZ99_23455
ko:K02035	pfn:HZ99_23465
ko:K02031	pfn:HZ99_23475
ko:K02032	pfn:HZ99_23475
ko:K07568	pfn:HZ99_23485
ko:K00773	pfn:HZ99_23490
ko:K03210	pfn:HZ99_23495
ko:K03072	pfn:HZ99_23500
ko:K03074	pfn:HZ99_23505
ko:K01092	pfn:HZ99_23515
ko:K15396	pfn:HZ99_23520
ko:K00640	pfn:HZ99_23525
ko:K13643	pfn:HZ99_23530
ko:K04487	pfn:HZ99_23535
ko:K04488	pfn:HZ99_23540
ko:K13628	pfn:HZ99_23545
ko:K04082	pfn:HZ99_23550
ko:K04044	pfn:HZ99_23555
ko:K04755	pfn:HZ99_23560
ko:K00940	pfn:HZ99_23570
ko:K06941	pfn:HZ99_23575
ko:K02656	pfn:HZ99_23580
ko:K15539	pfn:HZ99_23585
ko:K01892	pfn:HZ99_23595
ko:K17713	pfn:HZ99_23605
ko:K03977	pfn:HZ99_23610
ko:K14287	pfn:HZ99_23615
ko:K01649	pfn:HZ99_23625
ko:K03601	pfn:HZ99_23635
ko:K07090	pfn:HZ99_23645
ko:K00088	pfn:HZ99_23655
ko:K01951	pfn:HZ99_23660
ko:K18093	pfn:HZ99_23690
ko:K03486	pfn:HZ99_23700
ko:K02818	pfn:HZ99_23705
ko:K02819	pfn:HZ99_23705
ko:K01226	pfn:HZ99_23710
ko:K02228	pfn:HZ99_00350
ko:K11747	pfn:HZ99_00360
ko:K03322	pfn:HZ99_00375
ko:K03338	pfn:HZ99_00410
ko:K03335	pfn:HZ99_00415
ko:K03337	pfn:HZ99_00420
ko:K03336	pfn:HZ99_00425
ko:K00010	pfn:HZ99_00430
ko:K17213	pfn:HZ99_00440
ko:K17215	pfn:HZ99_00445
ko:K06204	pfn:HZ99_00455
ko:K02002	pfn:HZ99_00490
ko:K02014	pfn:HZ99_00495
ko:K05564	pfn:HZ99_00510
ko:K05563	pfn:HZ99_00515
ko:K05562	pfn:HZ99_00520
ko:K05561	pfn:HZ99_00525
ko:K05560	pfn:HZ99_00530
ko:K05559	pfn:HZ99_00535
ko:K10713	pfn:HZ99_00560
ko:K00135	pfn:HZ99_00570
ko:K08368	pfn:HZ99_00575
ko:K03566	pfn:HZ99_00590
ko:K07248	pfn:HZ99_00595
ko:K01586	pfn:HZ99_00625
ko:K03327	pfn:HZ99_00635
ko:K13979	pfn:HZ99_00650
ko:K05523	pfn:HZ99_05485
ko:K02002	pfn:HZ99_05545
ko:K00471	pfn:HZ99_05555
ko:K03832	pfn:HZ99_05585
ko:K07235	pfn:HZ99_05605
ko:K07236	pfn:HZ99_05610
ko:K07237	pfn:HZ99_05615
ko:K11179	pfn:HZ99_05620
ko:K07393	pfn:HZ99_05630
ko:K02302	pfn:HZ99_05635
ko:K01875	pfn:HZ99_05640
ko:K06199	pfn:HZ99_05645
ko:K07478	pfn:HZ99_05650
ko:K03634	pfn:HZ99_05655
ko:K03466	pfn:HZ99_05660
ko:K00684	pfn:HZ99_05665
ko:K02518	pfn:HZ99_05675
ko:K03694	pfn:HZ99_05680
ko:K06891	pfn:HZ99_05685
ko:K03704	pfn:HZ99_05690
ko:K00031	pfn:HZ99_05695
ko:K00031	pfn:HZ99_05700
ko:K00566	pfn:HZ99_05740
ko:K07153	pfn:HZ99_05745
ko:K01756	pfn:HZ99_05750
ko:K01637	pfn:HZ99_05770
ko:K00330	pfn:HZ99_05780
ko:K00331	pfn:HZ99_05785
ko:K03498	pfn:HZ99_10345
ko:K15034	pfn:HZ99_10380
ko:K11734	pfn:HZ99_10385
ko:K06178	pfn:HZ99_10390
ko:K06024	pfn:HZ99_10400
ko:K05896	pfn:HZ99_10405
ko:K07053	pfn:HZ99_10415
ko:K06190	pfn:HZ99_10420
ko:K09780	pfn:HZ99_10425
ko:K03758	pfn:HZ99_10455
ko:K03758	pfn:HZ99_10460
ko:K01478	pfn:HZ99_10465
ko:K00611	pfn:HZ99_10470
ko:K00926	pfn:HZ99_10475
ko:K02437	pfn:HZ99_10495
ko:K00281	pfn:HZ99_10500
ko:K01752	pfn:HZ99_10505
ko:K00605	pfn:HZ99_10510
ko:K03704	pfn:HZ99_10515
ko:K03517	pfn:HZ99_10525
ko:K00101	pfn:HZ99_10535
ko:K06920	pfn:HZ99_10565
ko:K10026	pfn:HZ99_10570
ko:K03640	pfn:HZ99_10580
ko:K03641	pfn:HZ99_10585
ko:K03560	pfn:HZ99_10595
ko:K03562	pfn:HZ99_10600
ko:K01075	pfn:HZ99_10605
ko:K03551	pfn:HZ99_10610
ko:K03550	pfn:HZ99_10615
ko:K01159	pfn:HZ99_10620
ko:K01876	pfn:HZ99_10630
ko:K00619	pfn:HZ99_15075
ko:K00466	pfn:HZ99_15135
ko:K04561	pfn:HZ99_01965
ko:K07234	pfn:HZ99_01970
ko:K09943	pfn:HZ99_01975
ko:K12266	pfn:HZ99_01985
ko:K00275	pfn:HZ99_01990
ko:K03638	pfn:HZ99_01995
ko:K03750	pfn:HZ99_02000
ko:K08303	pfn:HZ99_02005
ko:K01467	pfn:HZ99_02020
ko:K01061	pfn:HZ99_02030
ko:K16088	pfn:HZ99_02060
ko:K03088	pfn:HZ99_02070
ko:K00111	pfn:HZ99_02080
ko:K00864	pfn:HZ99_02090
ko:K02444	pfn:HZ99_02095
ko:K04023	pfn:HZ99_02100
ko:K03566	pfn:HZ99_02110
ko:K03088	pfn:HZ99_02125
ko:K07165	pfn:HZ99_02130
ko:K16087	pfn:HZ99_02135
ko:K00799	pfn:HZ99_02150
ko:K01531	pfn:HZ99_02165
ko:K03893	pfn:HZ99_02180
ko:K03168	pfn:HZ99_02220
ko:K02017	pfn:HZ99_02225
ko:K02018	pfn:HZ99_02230
ko:K02020	pfn:HZ99_02235
ko:K00459	pfn:HZ99_02245
ko:K03919	pfn:HZ99_02255
ko:K01826	pfn:HZ99_06980
ko:K02509	pfn:HZ99_06990
ko:K02510	pfn:HZ99_06995
ko:K09471	pfn:HZ99_07005
ko:K06995	pfn:HZ99_07010
ko:K02069	pfn:HZ99_07060
ko:K02068	pfn:HZ99_07065
ko:K01130	pfn:HZ99_07090
ko:K09780	pfn:HZ99_07100
ko:K03381	pfn:HZ99_07105
ko:K01998	pfn:HZ99_07135
ko:K01997	pfn:HZ99_07140
ko:K01996	pfn:HZ99_07145
ko:K01995	pfn:HZ99_07150
ko:K01999	pfn:HZ99_07155
ko:K07396	pfn:HZ99_07170
ko:K01799	pfn:HZ99_07180
ko:K01502	pfn:HZ99_07185
ko:K00450	pfn:HZ99_07195
ko:K09461	pfn:HZ99_07200
ko:K01075	pfn:HZ99_07205
ko:K00180	pfn:HZ99_07210
ko:K05548	pfn:HZ99_07215
ko:K00179	pfn:HZ99_07220
ko:K03449	pfn:HZ99_11840
ko:K09972	pfn:HZ99_11850
ko:K09971	pfn:HZ99_11855
ko:K09970	pfn:HZ99_11860
ko:K09969	pfn:HZ99_11865
ko:K06999	pfn:HZ99_11870
ko:K03732	pfn:HZ99_11875
ko:K03635	pfn:HZ99_11885
ko:K03636	pfn:HZ99_11890
ko:K03637	pfn:HZ99_11895
ko:K07175	pfn:HZ99_11900
ko:K09861	pfn:HZ99_11910
ko:K00066	pfn:HZ99_11915
ko:K16081	pfn:HZ99_11935
ko:K00090	pfn:HZ99_12015
ko:K03415	pfn:HZ99_12020
ko:K03776	pfn:HZ99_12035
ko:K07665	pfn:HZ99_12060
ko:K07644	pfn:HZ99_12065
ko:K02535	pfn:HZ99_12080
ko:K03531	pfn:HZ99_12085
ko:K03590	pfn:HZ99_12090
ko:K03589	pfn:HZ99_12095
ko:K02445	pfn:HZ99_16510
ko:K07232	pfn:HZ99_16515
ko:K02014	pfn:HZ99_16520
ko:K00523	pfn:HZ99_16530
ko:K03182	pfn:HZ99_16535
ko:K03628	pfn:HZ99_16540
ko:K03671	pfn:HZ99_16545
ko:K01524	pfn:HZ99_16570
ko:K01426	pfn:HZ99_16575
ko:K00937	pfn:HZ99_16580
ko:K01698	pfn:HZ99_16585
ko:K07243	pfn:HZ99_16600
ko:K09859	pfn:HZ99_16605
ko:K07337	pfn:HZ99_16615
