ko:K19079	sauu:SA957_0616
ko:K01261	sauu:SA957_1690
ko:K01439	sauu:SA957_1696
ko:K06183	sauu:SA957_1698
ko:K12270	sauu:SA957_2490
ko:K12269	sauu:SA957_2491
ko:K12268	sauu:SA957_2492
ko:K07304	sauu:SA957_2502
ko:K01104	sauu:SA957_2504
ko:K16924	sauu:SA957_2527
ko:K02352	sauu:SA957_2530
ko:K07584	sauu:SA957_1598
ko:K02236	sauu:SA957_1606
ko:K07120	sauu:SA957_1610
ko:K00158	sauu:SA957_2375
ko:K00054	sauu:SA957_2381
ko:K01641	sauu:SA957_2382
ko:K00567	sauu:SA957_2384
ko:K04086	sauu:SA957_2385
ko:K06994	sauu:SA957_2389
ko:K00294	sauu:SA957_2392
ko:K07213	sauu:SA957_2396
ko:K10209	sauu:SA957_2399
ko:K07035	sauu:SA957_2408
ko:K07032	sauu:SA957_2413
ko:K02017	sauu:SA957_2107
ko:K07052	sauu:SA957_2143
ko:K09692	sauu:SA957_0594
ko:K17716	sauu:SA957_0135
ko:K11070	sauu:SA957_0987
ko:K12574	sauu:SA957_0974
ko:K12574	sauu:SA957_1163
ko:K01897	sauu:SA957_0205
ko:K00265	sauu:SA957_0425
ko:K00951	sauu:SA957_1586
ko:K10254	sauu:SA957_0087
ko:K07491	sauu:SA957_0092
ko:K01784	sauu:SA957_0110
ko:K03784	sauu:SA957_0118
ko:K01619	sauu:SA957_0120
ko:K01104	sauu:SA957_0133
ko:K07784	sauu:SA957_0193
ko:K07720	sauu:SA957_0194
ko:K02035	sauu:SA957_0208
ko:K00016	sauu:SA957_0212
ko:K02775	sauu:SA957_0220
ko:K00852	sauu:SA957_0241
ko:K06216	sauu:SA957_0243
ko:K07729	sauu:SA957_0320
ko:K01990	sauu:SA957_0322
ko:K00626	sauu:SA957_0325
ko:K01760	sauu:SA957_0329
ko:K01834	sauu:SA957_0347
ko:K03386	sauu:SA957_0353
ko:K01226	sauu:SA957_0428
ko:K03486	sauu:SA957_0429
ko:K09685	sauu:SA957_0449
ko:K07491	sauu:SA957_0452
ko:K02499	sauu:SA957_0459
ko:K00712	sauu:SA957_0519
ko:K00712	sauu:SA957_0520
ko:K02564	sauu:SA957_0525
ko:K08093	sauu:SA957_0526
ko:K00626	sauu:SA957_0531
ko:K07491	sauu:SA957_0542
ko:K00625	sauu:SA957_0544
ko:K00869	sauu:SA957_0546
ko:K01597	sauu:SA957_0547
ko:K00938	sauu:SA957_0548
ko:K13953	sauu:SA957_0563
ko:K07457	sauu:SA957_0566
ko:K07025	sauu:SA957_0569
ko:K16013	sauu:SA957_0639
ko:K16012	sauu:SA957_0640
ko:K06934	sauu:SA957_0648
ko:K03976	sauu:SA957_0651
ko:K03436	sauu:SA957_0653
ko:K00882	sauu:SA957_0654
ko:K01664	sauu:SA957_0668
ko:K02619	sauu:SA957_0670
ko:K05845	sauu:SA957_0678
ko:K05846	sauu:SA957_0678
ko:K03647	sauu:SA957_0685
ko:K13628	sauu:SA957_0822
ko:K05570	sauu:SA957_0829
ko:K05568	sauu:SA957_0831
ko:K05565	sauu:SA957_0834
ko:K03768	sauu:SA957_0836
ko:K00819	sauu:SA957_0839
ko:K16899	sauu:SA957_0848
ko:K07052	sauu:SA957_0914
ko:K02552	sauu:SA957_0928
ko:K08680	sauu:SA957_0930
ko:K00841	sauu:SA957_0935
ko:K03471	sauu:SA957_1025
ko:K00241	sauu:SA957_1033
ko:K02428	sauu:SA957_1037
ko:K11041	sauu:SA957_1057
ko:K07025	sauu:SA957_1061
ko:K08974	sauu:SA957_0795
ko:K04488	sauu:SA957_0799
ko:K06910	sauu:SA957_0861
ko:K15582	sauu:SA957_0868
ko:K15583	sauu:SA957_0869
ko:K10823	sauu:SA957_0870
ko:K02035	sauu:SA957_0872
ko:K02033	sauu:SA957_0875
ko:K16509	sauu:SA957_0879
ko:K06198	sauu:SA957_0881
ko:K07816	sauu:SA957_0887
ko:K03455	sauu:SA957_0891
ko:K05362	sauu:SA957_0903
ko:K11189	sauu:SA957_0968
ko:K08483	sauu:SA957_0969
ko:K03499	sauu:SA957_0973
ko:K11072	sauu:SA957_0985
ko:K11071	sauu:SA957_0986
ko:K11069	sauu:SA957_0988
ko:K01092	sauu:SA957_0993
ko:K01958	sauu:SA957_1000
ko:K07104	sauu:SA957_1080
ko:K02824	sauu:SA957_1086
ko:K07030	sauu:SA957_1114
ko:K00059	sauu:SA957_1119
ko:K09787	sauu:SA957_1124
ko:K03177	sauu:SA957_1159
ko:K00059	sauu:SA957_1168
ko:K02443	sauu:SA957_1185
ko:K07668	sauu:SA957_0019
ko:K07652	sauu:SA957_0020
ko:K01784	sauu:SA957_0144
ko:K02049	sauu:SA957_0153
ko:K02051	sauu:SA957_0154
ko:K02050	sauu:SA957_0155
ko:K00819	sauu:SA957_0164
ko:K09963	sauu:SA957_0170
ko:K02033	sauu:SA957_0178
ko:K02035	sauu:SA957_0180
ko:K10112	sauu:SA957_0185
ko:K15770	sauu:SA957_0186
ko:K01990	sauu:SA957_0250
ko:K01992	sauu:SA957_0251
ko:K01992	sauu:SA957_0252
ko:K02004	sauu:SA957_0281
ko:K16329	sauu:SA957_0285
ko:K03307	sauu:SA957_0287
ko:K01639	sauu:SA957_0288
ko:K01788	sauu:SA957_0291
ko:K02822	sauu:SA957_0302
ko:K02821	sauu:SA957_0303
ko:K03475	sauu:SA957_0301
ko:K04750	sauu:SA957_0042
ko:K01771	sauu:SA957_0081
ko:K00088	sauu:SA957_0361
ko:K07491	sauu:SA957_0376
ko:K17216	sauu:SA957_0413
ko:K03708	sauu:SA957_0476
ko:K09698	sauu:SA957_0482
ko:K00639	sauu:SA957_0505
ko:K00853	sauu:SA957_0507
ko:K05565	sauu:SA957_0579
ko:K05568	sauu:SA957_0582
ko:K05570	sauu:SA957_0584
ko:K03316	sauu:SA957_0586
ko:K03709	sauu:SA957_0590
ko:K09693	sauu:SA957_0593
ko:K07258	sauu:SA957_0598
ko:K09705	sauu:SA957_0625
ko:K01258	sauu:SA957_0697
ko:K02851	sauu:SA957_0701
ko:K02240	sauu:SA957_0704
ko:K02242	sauu:SA957_0705
ko:K06023	sauu:SA957_0714
ko:K09762	sauu:SA957_0721
ko:K03713	sauu:SA957_1195
ko:K09976	sauu:SA957_1237
ko:K05020	sauu:SA957_1242
ko:K07304	sauu:SA957_1253
ko:K04517	sauu:SA957_1257
ko:K02033	sauu:SA957_1273
ko:K05822	sauu:SA957_1287
ko:K14228	sauu:SA957_t043
ko:K14228	sauu:SA957_t009
ko:K00783	sauu:SA957_0026
ko:K09968	sauu:SA957_0028
ko:K01126	sauu:SA957_0038
ko:K01153	sauu:SA957_0056
ko:K01154	sauu:SA957_0057
ko:K03427	sauu:SA957_0058
ko:K03657	sauu:SA957_0060
ko:K06915	sauu:SA957_0064
ko:K08170	sauu:SA957_0085
ko:K03324	sauu:SA957_0086
ko:K03303	sauu:SA957_0091
ko:K14196	sauu:SA957_0093
ko:K02015	sauu:SA957_0095
ko:K02015	sauu:SA957_0096
ko:K02016	sauu:SA957_0097
ko:K01586	sauu:SA957_0105
ko:K04564	sauu:SA957_0115
ko:K01839	sauu:SA957_0121
ko:K02042	sauu:SA957_0122
ko:K02042	sauu:SA957_0123
ko:K02041	sauu:SA957_0124
ko:K02044	sauu:SA957_0125
ko:K04072	sauu:SA957_0130
ko:K02012	sauu:SA957_0196
ko:K00656	sauu:SA957_0197
ko:K04069	sauu:SA957_0198
ko:K01126	sauu:SA957_0199
ko:K07516	sauu:SA957_0203
ko:K00252	sauu:SA957_0204
ko:K05916	sauu:SA957_0211
ko:K02773	sauu:SA957_0218
ko:K02774	sauu:SA957_0219
ko:K05352	sauu:SA957_0225
ko:K07322	sauu:SA957_0232
ko:K07704	sauu:SA957_0233
ko:K05338	sauu:SA957_0235
ko:K05339	sauu:SA957_0236
ko:K03489	sauu:SA957_0237
ko:K01223	sauu:SA957_0239
ko:K06726	sauu:SA957_0242
ko:K02529	sauu:SA957_0244
ko:K02445	sauu:SA957_0308
ko:K00299	sauu:SA957_0311
ko:K03817	sauu:SA957_0313
ko:K07224	sauu:SA957_0314
ko:K16301	sauu:SA957_0315
ko:K07243	sauu:SA957_0316
ko:K03118	sauu:SA957_0317
ko:K03116	sauu:SA957_0318
ko:K00549	sauu:SA957_0327
ko:K06942	sauu:SA957_0334
ko:K02990	sauu:SA957_0338
ko:K02963	sauu:SA957_0340
ko:K03387	sauu:SA957_0352
ko:K06956	sauu:SA957_0355
ko:K03816	sauu:SA957_0359
ko:K00266	sauu:SA957_0426
ko:K02818	sauu:SA957_0427
ko:K02819	sauu:SA957_0427
ko:K02343	sauu:SA957_0431
ko:K09747	sauu:SA957_0432
ko:K06187	sauu:SA957_0433
ko:K00943	sauu:SA957_0435
ko:K02341	sauu:SA957_0437
ko:K07461	sauu:SA957_0441
ko:K07056	sauu:SA957_0442
ko:K01874	sauu:SA957_0443
ko:K03424	sauu:SA957_0444
ko:K05985	sauu:SA957_0445
ko:K02528	sauu:SA957_0446
ko:K00919	sauu:SA957_0448
ko:K06412	sauu:SA957_0451
ko:K04042	sauu:SA957_0453
ko:K00948	sauu:SA957_0454
ko:K02897	sauu:SA957_0455
ko:K01056	sauu:SA957_0456
ko:K03723	sauu:SA957_0457
ko:K07571	sauu:SA957_0462
ko:K04075	sauu:SA957_0463
ko:K00760	sauu:SA957_0464
ko:K03798	sauu:SA957_0465
ko:K04083	sauu:SA957_0466
ko:K01738	sauu:SA957_0467
ko:K00796	sauu:SA957_0468
ko:K01633	sauu:SA957_0469
ko:K00950	sauu:SA957_0470
ko:K14194	sauu:SA957_0518
ko:K09007	sauu:SA957_0522
ko:K08094	sauu:SA957_0527
ko:K03762	sauu:SA957_0529
ko:K00868	sauu:SA957_0535
ko:K03648	sauu:SA957_0536
ko:K16869	sauu:SA957_0545
ko:K06885	sauu:SA957_0561
ko:K01887	sauu:SA957_0565
ko:K02016	sauu:SA957_0567
ko:K02015	sauu:SA957_0568
ko:K09936	sauu:SA957_0575
ko:K06966	sauu:SA957_0635
ko:K09768	sauu:SA957_0636
ko:K06153	sauu:SA957_0638
ko:K01669	sauu:SA957_0646
ko:K02768	sauu:SA957_0655
ko:K02769	sauu:SA957_0655
ko:K02770	sauu:SA957_0655
ko:K01443	sauu:SA957_0656
ko:K10681	sauu:SA957_0660
ko:K10682	sauu:SA957_0661
ko:K16937	sauu:SA957_0662
ko:K10026	sauu:SA957_0665
ko:K01737	sauu:SA957_0666
ko:K06920	sauu:SA957_0667
ko:K01665	sauu:SA957_0669
ko:K15738	sauu:SA957_0675
ko:K03654	sauu:SA957_0676
ko:K05847	sauu:SA957_0677
ko:K00817	sauu:SA957_0679
ko:K03305	sauu:SA957_0682
ko:K09457	sauu:SA957_0683
ko:K07090	sauu:SA957_0805
ko:K03644	sauu:SA957_0807
ko:K03367	sauu:SA957_0814
ko:K03739	sauu:SA957_0815
ko:K14188	sauu:SA957_0816
ko:K03740	sauu:SA957_0817
ko:K03885	sauu:SA957_0820
ko:K03885	sauu:SA957_0823
ko:K01255	sauu:SA957_0824
ko:K07084	sauu:SA957_0825
ko:K05571	sauu:SA957_0828
ko:K05569	sauu:SA957_0830
ko:K05567	sauu:SA957_0832
ko:K05566	sauu:SA957_0833
ko:K06347	sauu:SA957_0835
ko:K00260	sauu:SA957_0840
ko:K01126	sauu:SA957_0841
ko:K01755	sauu:SA957_0842
ko:K01940	sauu:SA957_0843
ko:K01810	sauu:SA957_0844
ko:K03100	sauu:SA957_0846
ko:K03100	sauu:SA957_0847
ko:K16898	sauu:SA957_0849
ko:K03695	sauu:SA957_0856
ko:K03800	sauu:SA957_0912
ko:K02003	sauu:SA957_0919
ko:K15977	sauu:SA957_0922
ko:K02016	sauu:SA957_0923
ko:K02548	sauu:SA957_0927
ko:K02551	sauu:SA957_0929
ko:K01661	sauu:SA957_0931
ko:K13715	sauu:SA957_0933
ko:K02829	sauu:SA957_0943
ko:K02828	sauu:SA957_0944
ko:K02827	sauu:SA957_0945
ko:K02826	sauu:SA957_0946
ko:K01491	sauu:SA957_0949
ko:K01588	sauu:SA957_0950
ko:K01589	sauu:SA957_0951
ko:K01923	sauu:SA957_0952
ko:K01952	sauu:SA957_0954
ko:K01952	sauu:SA957_0955
ko:K00764	sauu:SA957_0956
ko:K01933	sauu:SA957_0957
ko:K11175	sauu:SA957_0958
ko:K00602	sauu:SA957_0959
ko:K01945	sauu:SA957_0960
ko:K16785	sauu:SA957_0961
ko:K16786	sauu:SA957_0962
ko:K16787	sauu:SA957_0962
ko:K16925	sauu:SA957_0963
ko:K02015	sauu:SA957_1019
ko:K08600	sauu:SA957_1020
ko:K03437	sauu:SA957_1022
ko:K01889	sauu:SA957_1023
ko:K01890	sauu:SA957_1024
ko:K09888	sauu:SA957_1027
ko:K02347	sauu:SA957_1029
ko:K07456	sauu:SA957_1030
ko:K03671	sauu:SA957_1031
ko:K03703	sauu:SA957_1032
ko:K00239	sauu:SA957_1034
ko:K00240	sauu:SA957_1035
ko:K01776	sauu:SA957_1036
ko:K07095	sauu:SA957_1038
ko:K14200	sauu:SA957_1043
ko:K11032	sauu:SA957_1047
ko:K00611	sauu:SA957_1053
ko:K00926	sauu:SA957_1054
ko:K03925	sauu:SA957_1064
ko:K03438	sauu:SA957_1065
ko:K12552	sauu:SA957_1067
ko:K01000	sauu:SA957_1068
ko:K01925	sauu:SA957_1069
ko:K03589	sauu:SA957_1070
ko:K03590	sauu:SA957_1071
ko:K03531	sauu:SA957_1072
ko:K05810	sauu:SA957_1073
ko:K06997	sauu:SA957_1074
ko:K02313	sauu:SA957_0001
ko:K02338	sauu:SA957_0002
ko:K03629	sauu:SA957_0005
ko:K02470	sauu:SA957_0006
ko:K02469	sauu:SA957_0007
ko:K06973	sauu:SA957_1350
ko:K00800	sauu:SA957_1354
ko:K01735	sauu:SA957_1355
ko:K01736	sauu:SA957_1356
ko:K00940	sauu:SA957_1357
ko:K03183	sauu:SA957_1359
ko:K03530	sauu:SA957_1361
ko:K00057	sauu:SA957_1362
ko:K03977	sauu:SA957_1363
ko:K02945	sauu:SA957_1364
ko:K00945	sauu:SA957_1365
ko:K00164	sauu:SA957_1304
ko:K02563	sauu:SA957_1308
ko:K03797	sauu:SA957_1310
ko:K09125	sauu:SA957_1322
ko:K08170	sauu:SA957_1325
ko:K01754	sauu:SA957_1327
ko:K00259	sauu:SA957_1328
ko:K07444	sauu:SA957_1333
ko:K05366	sauu:SA957_1340
ko:K10773	sauu:SA957_1342
ko:K01893	sauu:SA957_1344
ko:K03524	sauu:SA957_1346
ko:K01745	sauu:SA957_0009
ko:K04478	sauu:SA957_1798
ko:K05520	sauu:SA957_1799
ko:K07058	sauu:SA957_1807
ko:K07681	sauu:SA957_1809
ko:K01265	sauu:SA957_1812
ko:K02217	sauu:SA957_1817
ko:K02346	sauu:SA957_1819
ko:K03215	sauu:SA957_1821
ko:K02434	sauu:SA957_1824
ko:K02435	sauu:SA957_1826
ko:K01972	sauu:SA957_1829
ko:K03657	sauu:SA957_1830
ko:K01756	sauu:SA957_1833
ko:K08258	sauu:SA957_1834
ko:K00763	sauu:SA957_1838
ko:K00491	sauu:SA957_1839
ko:K14445	sauu:SA957_1841
ko:K01114	sauu:SA957_1863
ko:K04077	sauu:SA957_1869
ko:K04078	sauu:SA957_1870
ko:K07078	sauu:SA957_1873
ko:K07813	sauu:SA957_1876
ko:K07800	sauu:SA957_1877
ko:K07707	sauu:SA957_1879
ko:K00847	sauu:SA957_1880
ko:K01193	sauu:SA957_1881
ko:K03484	sauu:SA957_1882
ko:K03320	sauu:SA957_1883
ko:K07112	sauu:SA957_1885
ko:K01926	sauu:SA957_1886
ko:K06158	sauu:SA957_1887
ko:K03789	sauu:SA957_1891
ko:K06925	sauu:SA957_1893
ko:K01687	sauu:SA957_1894
ko:K01652	sauu:SA957_1895
ko:K01653	sauu:SA957_1896
ko:K00053	sauu:SA957_1897
ko:K01649	sauu:SA957_1898
ko:K00052	sauu:SA957_1899
ko:K01703	sauu:SA957_1900
ko:K01704	sauu:SA957_1901
ko:K01754	sauu:SA957_1902
ko:K06959	sauu:SA957_1905
ko:K01775	sauu:SA957_1912
ko:K00997	sauu:SA957_1913
ko:K01548	sauu:SA957_1917
ko:K01547	sauu:SA957_1918
ko:K01546	sauu:SA957_1919
ko:K07646	sauu:SA957_1920
ko:K07667	sauu:SA957_1921
ko:K01929	sauu:SA957_1923
ko:K01921	sauu:SA957_1924
ko:K05837	sauu:SA957_1925
ko:K06131	sauu:SA957_1929
ko:K06950	sauu:SA957_1930
ko:K03217	sauu:SA957_1931
ko:K00788	sauu:SA957_1932
ko:K00878	sauu:SA957_1933
ko:K00941	sauu:SA957_1934
ko:K03707	sauu:SA957_1935
ko:K02372	sauu:SA957_1942
ko:K00790	sauu:SA957_1943
ko:K02114	sauu:SA957_1945
ko:K02112	sauu:SA957_1946
ko:K02115	sauu:SA957_1947
ko:K02111	sauu:SA957_1948
ko:K02113	sauu:SA957_1949
ko:K02109	sauu:SA957_1950
ko:K02110	sauu:SA957_1951
ko:K02108	sauu:SA957_1952
ko:K00761	sauu:SA957_1955
ko:K00600	sauu:SA957_1956
ko:K07566	sauu:SA957_1959
ko:K02493	sauu:SA957_1960
ko:K02835	sauu:SA957_1961
ko:K02909	sauu:SA957_1963
ko:K03628	sauu:SA957_1964
ko:K00790	sauu:SA957_1967
ko:K01624	sauu:SA957_1968
ko:K01937	sauu:SA957_1970
ko:K07173	sauu:SA957_1977
ko:K00756	sauu:SA957_1979
ko:K04047	sauu:SA957_1982
ko:K01809	sauu:SA957_1986
ko:K16264	sauu:SA957_1989
ko:K02013	sauu:SA957_1994
ko:K00820	sauu:SA957_1995
ko:K00009	sauu:SA957_1999
ko:K03431	sauu:SA957_2001
ko:K01476	sauu:SA957_2004
ko:K11068	sauu:SA957_2009
ko:K07038	sauu:SA957_2011
ko:K02015	sauu:SA957_2014
ko:K02015	sauu:SA957_2015
ko:K02016	sauu:SA957_2016
ko:K02787	sauu:SA957_2029
ko:K02788	sauu:SA957_2029
ko:K12410	sauu:SA957_2036
ko:K01575	sauu:SA957_2044
ko:K01652	sauu:SA957_2045
ko:K03655	sauu:SA957_2047
ko:K02996	sauu:SA957_2048
ko:K02871	sauu:SA957_2049
ko:K06173	sauu:SA957_2050
ko:K16785	sauu:SA957_2051
ko:K02879	sauu:SA957_2054
ko:K03040	sauu:SA957_2055
ko:K02948	sauu:SA957_2056
ko:K02952	sauu:SA957_2057
ko:K02919	sauu:SA957_2058
ko:K02518	sauu:SA957_2059
ko:K03076	sauu:SA957_2061
ko:K02876	sauu:SA957_2062
ko:K02907	sauu:SA957_2063
ko:K02988	sauu:SA957_2064
ko:K02881	sauu:SA957_2065
ko:K02933	sauu:SA957_2066
ko:K02994	sauu:SA957_2067
ko:K02954	sauu:SA957_2068
ko:K02931	sauu:SA957_2069
ko:K02895	sauu:SA957_2070
ko:K02874	sauu:SA957_2071
ko:K02961	sauu:SA957_2072
ko:K02904	sauu:SA957_2073
ko:K02878	sauu:SA957_2074
ko:K02982	sauu:SA957_2075
ko:K02890	sauu:SA957_2076
ko:K02965	sauu:SA957_2077
ko:K02886	sauu:SA957_2078
ko:K02892	sauu:SA957_2079
ko:K02926	sauu:SA957_2080
ko:K02906	sauu:SA957_2081
ko:K02946	sauu:SA957_2082
ko:K06901	sauu:SA957_2084
ko:K05340	sauu:SA957_2087
ko:K07088	sauu:SA957_2088
ko:K11693	sauu:SA957_2092
ko:K03639	sauu:SA957_2098
ko:K03752	sauu:SA957_2099
ko:K03636	sauu:SA957_2100
ko:K03753	sauu:SA957_2102
ko:K03750	sauu:SA957_2103
ko:K03637	sauu:SA957_2104
ko:K03638	sauu:SA957_2105
ko:K02018	sauu:SA957_2108
ko:K02020	sauu:SA957_2109
ko:K02379	sauu:SA957_2110
ko:K03523	sauu:SA957_2112
ko:K02016	sauu:SA957_2115
ko:K08717	sauu:SA957_2117
ko:K01430	sauu:SA957_2118
ko:K01429	sauu:SA957_2119
ko:K01428	sauu:SA957_2120
ko:K03187	sauu:SA957_2121
ko:K03188	sauu:SA957_2122
ko:K03189	sauu:SA957_2123
ko:K03190	sauu:SA957_2124
ko:K03315	sauu:SA957_2130
ko:K09940	sauu:SA957_2132
ko:K00123	sauu:SA957_2139
ko:K03453	sauu:SA957_2151
ko:K02749	sauu:SA957_2153
ko:K02750	sauu:SA957_2153
ko:K03481	sauu:SA957_2154
ko:K01875	sauu:SA957_0010
ko:K00658	sauu:SA957_1303
ko:K03654	sauu:SA957_1370
ko:K01468	sauu:SA957_2161
ko:K01712	sauu:SA957_2162
ko:K01807	sauu:SA957_2166
ko:K03652	sauu:SA957_2173
ko:K03312	sauu:SA957_2174
ko:K03284	sauu:SA957_2176
ko:K07107	sauu:SA957_2177
ko:K07552	sauu:SA957_2185
ko:K09814	sauu:SA957_2189
ko:K09813	sauu:SA957_2190
ko:K00116	sauu:SA957_2198
ko:K03303	sauu:SA957_2199
ko:K07651	sauu:SA957_1446
ko:K07775	sauu:SA957_1447
ko:K06178	sauu:SA957_1448
ko:K06024	sauu:SA957_1449
ko:K05896	sauu:SA957_1450
ko:K11102	sauu:SA957_2216
ko:K10850	sauu:SA957_2220
ko:K07696	sauu:SA957_2224
ko:K07683	sauu:SA957_2225
ko:K10851	sauu:SA957_2226
ko:K00373	sauu:SA957_2228
ko:K00371	sauu:SA957_2229
ko:K00370	sauu:SA957_2230
ko:K00363	sauu:SA957_2232
ko:K00362	sauu:SA957_2233
ko:K10010	sauu:SA957_2245
ko:K10009	sauu:SA957_2246
ko:K02424	sauu:SA957_2247
ko:K14197	sauu:SA957_2251
ko:K01012	sauu:SA957_2259
ko:K00833	sauu:SA957_2260
ko:K01935	sauu:SA957_2261
ko:K00865	sauu:SA957_2267
ko:K07124	sauu:SA957_1457
ko:K00286	sauu:SA957_1458
ko:K00036	sauu:SA957_1460
ko:K09699	sauu:SA957_1470
ko:K00167	sauu:SA957_1471
ko:K00166	sauu:SA957_1472
ko:K00382	sauu:SA957_1473
ko:K03631	sauu:SA957_1474
ko:K03402	sauu:SA957_1475
ko:K13789	sauu:SA957_1476
ko:K03602	sauu:SA957_1477
ko:K03601	sauu:SA957_1478
ko:K03625	sauu:SA957_1479
ko:K01961	sauu:SA957_1481
