ko:K03293	sagg:EN73_07305
ko:K02068	sagg:EN73_03895
ko:K02069	sagg:EN73_03900
ko:K07035	sagg:EN73_03915
ko:K03778	sagg:EN73_03920
ko:K00874	sagg:EN73_03930
ko:K01195	sagg:EN73_03935
ko:K01625	sagg:EN73_03945
ko:K01812	sagg:EN73_03950
ko:K01686	sagg:EN73_03955
ko:K01207	sagg:EN73_03970
ko:K02529	sagg:EN73_03980
ko:K01176	sagg:EN73_03985
ko:K01868	sagg:EN73_04000
ko:K10040	sagg:EN73_04020
ko:K10040	sagg:EN73_04025
ko:K10039	sagg:EN73_04030
ko:K10041	sagg:EN73_04035
ko:K07668	sagg:EN73_04040
ko:K07652	sagg:EN73_04045
ko:K09790	sagg:EN73_04055
ko:K03685	sagg:EN73_04060
ko:K03529	sagg:EN73_04065
ko:K03095	sagg:EN73_04115
ko:K03110	sagg:EN73_04080
ko:K06023	sagg:EN73_04125
ko:K09815	sagg:EN73_03130
ko:K02909	sagg:EN73_03135
ko:K01488	sagg:EN73_03145
ko:K04516	sagg:EN73_03155
ko:K02884	sagg:EN73_03165
ko:K02529	sagg:EN73_07175
ko:K15770	sagg:EN73_07180
ko:K15771	sagg:EN73_07185
ko:K15772	sagg:EN73_07190
ko:K03305	sagg:EN73_07195
ko:K03574	sagg:EN73_07205
ko:K03702	sagg:EN73_07220
ko:K07052	sagg:EN73_07225
ko:K02029	sagg:EN73_07230
ko:K02030	sagg:EN73_07230
ko:K02028	sagg:EN73_07235
ko:K03979	sagg:EN73_07250
ko:K06183	sagg:EN73_07280
ko:K01759	sagg:EN73_07295
ko:K12999	sagg:EN73_07300
ko:K03664	sagg:EN73_07310
ko:K12573	sagg:EN73_07315
ko:K03075	sagg:EN73_07320
ko:K01990	sagg:EN73_07335
ko:K00859	sagg:EN73_07340
ko:K10563	sagg:EN73_07345
ko:K07042	sagg:EN73_07400
ko:K07584	sagg:EN73_06745
ko:K02888	sagg:EN73_06750
ko:K07282	sagg:EN73_06755
ko:K03151	sagg:EN73_06760
ko:K04487	sagg:EN73_06765
ko:K00383	sagg:EN73_06775
ko:K03070	sagg:EN73_06805
ko:K12270	sagg:EN73_06810
ko:K12269	sagg:EN73_06815
ko:K12268	sagg:EN73_06820
ko:K03076	sagg:EN73_06825
ko:K01736	sagg:EN73_06845
ko:K01735	sagg:EN73_06850
ko:K03785	sagg:EN73_06855
ko:K06969	sagg:EN73_06860
ko:K02887	sagg:EN73_06870
ko:K02916	sagg:EN73_06875
ko:K02520	sagg:EN73_06880
ko:K00945	sagg:EN73_06885
ko:K05337	sagg:EN73_06895
ko:K01258	sagg:EN73_06905
ko:K02563	sagg:EN73_02845
ko:K03589	sagg:EN73_02850
ko:K03590	sagg:EN73_02855
ko:K03531	sagg:EN73_02860
ko:K06997	sagg:EN73_02865
ko:K09772	sagg:EN73_02870
ko:K02221	sagg:EN73_02875
ko:K04074	sagg:EN73_02885
ko:K01870	sagg:EN73_02890
ko:K03574	sagg:EN73_02900
ko:K03697	sagg:EN73_02905
ko:K02029	sagg:EN73_02915
ko:K02028	sagg:EN73_02920
ko:K01491	sagg:EN73_02930
ko:K03601	sagg:EN73_02940
ko:K03602	sagg:EN73_02945
ko:K13789	sagg:EN73_02950
ko:K06442	sagg:EN73_02955
ko:K03402	sagg:EN73_02960
ko:K03631	sagg:EN73_02965
ko:K03530	sagg:EN73_02985
ko:K00226	sagg:EN73_02995
ko:K12554	sagg:EN73_03000
ko:K05363	sagg:EN73_03005
ko:K05363	sagg:EN73_03010
ko:K06885	sagg:EN73_03020
ko:K01537	sagg:EN73_03030
ko:K04041	sagg:EN73_03040
ko:K02836	sagg:EN73_03050
ko:K09812	sagg:EN73_03055
ko:K09811	sagg:EN73_03060
ko:K03366	sagg:EN73_03075
ko:K01893	sagg:EN73_03090
ko:K16923	sagg:EN73_03095
ko:K06958	sagg:EN73_03110
ko:K09762	sagg:EN73_03120
ko:K08659	sagg:EN73_03125
ko:K05362	sagg:EN73_06915
ko:K02013	sagg:EN73_06920
ko:K02016	sagg:EN73_06925
ko:K02015	sagg:EN73_06930
ko:K02015	sagg:EN73_06935
ko:K02027	sagg:EN73_02595
ko:K02025	sagg:EN73_02600
ko:K02026	sagg:EN73_02605
ko:K01956	sagg:EN73_06715
ko:K02825	sagg:EN73_06720
ko:K07407	sagg:EN73_02610
ko:K06180	sagg:EN73_06725
ko:K00849	sagg:EN73_02615
ko:K00965	sagg:EN73_02620
ko:K01784	sagg:EN73_02625
ko:K01785	sagg:EN73_02630
ko:K01873	sagg:EN73_02655
ko:K07012	sagg:EN73_02665
ko:K15342	sagg:EN73_02690
ko:K01914	sagg:EN73_02715
ko:K00954	sagg:EN73_02735
ko:K07177	sagg:EN73_02740
ko:K03101	sagg:EN73_06730
ko:K06941	sagg:EN73_02755
ko:K01658	sagg:EN73_02775
ko:K03523	sagg:EN73_02780
ko:K01012	sagg:EN73_02785
ko:K00626	sagg:EN73_02795
ko:K10773	sagg:EN73_02805
ko:K02236	sagg:EN73_02810
ko:K00845	sagg:EN73_02820
ko:K06207	sagg:EN73_02830
ko:K01925	sagg:EN73_02840
ko:K00077	sagg:EN73_06645
ko:K07035	sagg:EN73_06650
ko:K00554	sagg:EN73_06660
ko:K02860	sagg:EN73_06665
ko:K06960	sagg:EN73_06685
ko:K02959	sagg:EN73_06690
ko:K02004	sagg:EN73_06695
ko:K02003	sagg:EN73_06700
ko:K02005	sagg:EN73_06705
ko:K01955	sagg:EN73_06710
ko:K02899	sagg:EN73_06740
ko:K02948	sagg:EN73_00585
ko:K03040	sagg:EN73_00590
ko:K02879	sagg:EN73_00595
ko:K09962	sagg:EN73_00690
ko:K12296	sagg:EN73_00700
ko:K07260	sagg:EN73_00710
ko:K03705	sagg:EN73_00720
ko:K01265	sagg:EN73_04665
ko:K03687	sagg:EN73_00725
ko:K04043	sagg:EN73_00730
ko:K03686	sagg:EN73_00735
ko:K06173	sagg:EN73_00745
ko:K07568	sagg:EN73_04425
ko:K02564	sagg:EN73_04435
ko:K07393	sagg:EN73_04440
ko:K06183	sagg:EN73_04445
ko:K06198	sagg:EN73_04455
ko:K08602	sagg:EN73_04460
ko:K07533	sagg:EN73_04475
ko:K01872	sagg:EN73_04485
ko:K07150	sagg:EN73_04490
ko:K07729	sagg:EN73_04510
ko:K16789	sagg:EN73_04520
ko:K11189	sagg:EN73_04540
ko:K07058	sagg:EN73_04670
ko:K01972	sagg:EN73_04685
ko:K08483	sagg:EN73_04545
ko:K00131	sagg:EN73_04550
ko:K00876	sagg:EN73_04565
ko:K02343	sagg:EN73_04575
ko:K03524	sagg:EN73_04585
ko:K00789	sagg:EN73_04590
ko:K16925	sagg:EN73_04615
ko:K16786	sagg:EN73_04620
ko:K16787	sagg:EN73_04620
ko:K16785	sagg:EN73_04625
ko:K03707	sagg:EN73_04630
ko:K00941	sagg:EN73_04635
ko:K00878	sagg:EN73_04640
ko:K00788	sagg:EN73_04645
ko:K00790	sagg:EN73_04650
ko:K03790	sagg:EN73_04655
ko:K00700	sagg:EN73_04700
ko:K03545	sagg:EN73_00770
ko:K03048	sagg:EN73_00775
ko:K01937	sagg:EN73_00780
ko:K06889	sagg:EN73_00785
ko:K04485	sagg:EN73_00800
ko:K01673	sagg:EN73_00805
ko:K09698	sagg:EN73_00815
ko:K10439	sagg:EN73_00820
ko:K10440	sagg:EN73_00825
ko:K10441	sagg:EN73_00830
ko:K06726	sagg:EN73_00835
ko:K00852	sagg:EN73_00840
ko:K02529	sagg:EN73_00845
ko:K02004	sagg:EN73_00850
ko:K02003	sagg:EN73_00855
ko:K01940	sagg:EN73_00870
ko:K01755	sagg:EN73_00875
ko:K01624	sagg:EN73_00880
ko:K00016	sagg:EN73_00885
ko:K02902	sagg:EN73_00890
ko:K07030	sagg:EN73_00900
ko:K17076	sagg:EN73_00920
ko:K17073	sagg:EN73_00925
ko:K17074	sagg:EN73_00925
ko:K06153	sagg:EN73_00935
ko:K16511	sagg:EN73_00940
ko:K02851	sagg:EN73_00945
ko:K09013	sagg:EN73_00950
ko:K09015	sagg:EN73_00955
ko:K11717	sagg:EN73_00960
ko:K04488	sagg:EN73_00965
ko:K09014	sagg:EN73_00970
ko:K07258	sagg:EN73_00980
ko:K15580	sagg:EN73_00985
ko:K15581	sagg:EN73_00990
ko:K15582	sagg:EN73_00995
ko:K15583	sagg:EN73_01000
ko:K10823	sagg:EN73_01005
ko:K00919	sagg:EN73_01035
ko:K00703	sagg:EN73_04715
ko:K02110	sagg:EN73_04720
ko:K02108	sagg:EN73_04725
ko:K02109	sagg:EN73_04730
ko:K02113	sagg:EN73_04735
ko:K02111	sagg:EN73_04740
ko:K02115	sagg:EN73_04745
ko:K02112	sagg:EN73_04750
ko:K02114	sagg:EN73_04755
ko:K00790	sagg:EN73_04765
ko:K15051	sagg:EN73_04775
ko:K01889	sagg:EN73_04780
ko:K01890	sagg:EN73_04790
ko:K09817	sagg:EN73_01045
ko:K09816	sagg:EN73_01050
ko:K15051	sagg:EN73_01055
ko:K01866	sagg:EN73_01060
ko:K03693	sagg:EN73_01065
ko:K03043	sagg:EN73_01075
ko:K03046	sagg:EN73_01080
ko:K02243	sagg:EN73_01090
ko:K02244	sagg:EN73_01095
ko:K02246	sagg:EN73_01100
ko:K02248	sagg:EN73_01110
ko:K00925	sagg:EN73_01125
ko:K07729	sagg:EN73_01130
ko:K07052	sagg:EN73_01140
ko:K00286	sagg:EN73_01145
ko:K01261	sagg:EN73_01150
ko:K06878	sagg:EN73_01170
ko:K07704	sagg:EN73_01190
ko:K07705	sagg:EN73_01195
ko:K05338	sagg:EN73_01200
ko:K05339	sagg:EN73_01205
ko:K02035	sagg:EN73_01210
ko:K02033	sagg:EN73_01215
ko:K02034	sagg:EN73_01220
ko:K02818	sagg:EN73_01235
ko:K02819	sagg:EN73_01235
ko:K01226	sagg:EN73_01240
ko:K07284	sagg:EN73_05100
ko:K08234	sagg:EN73_05105
ko:K01951	sagg:EN73_05120
ko:K02822	sagg:EN73_01250
ko:K03475	sagg:EN73_01255
ko:K00615	sagg:EN73_01260
ko:K00615	sagg:EN73_01265
ko:K02956	sagg:EN73_01275
ko:K03710	sagg:EN73_05125
ko:K00962	sagg:EN73_01280
ko:K00640	sagg:EN73_01290
ko:K01883	sagg:EN73_01300
ko:K11145	sagg:EN73_01305
ko:K04094	sagg:EN73_05130
ko:K03218	sagg:EN73_01310
ko:K06962	sagg:EN73_01315
ko:K07729	sagg:EN73_01335
ko:K00850	sagg:EN73_05005
ko:K00873	sagg:EN73_05010
ko:K02073	sagg:EN73_05140
ko:K03100	sagg:EN73_05015
ko:K00820	sagg:EN73_05020
ko:K06193	sagg:EN73_05025
ko:K02029	sagg:EN73_05030
ko:K02028	sagg:EN73_05035
ko:K02030	sagg:EN73_05040
ko:K02003	sagg:EN73_05155
ko:K02004	sagg:EN73_05160
ko:K15580	sagg:EN73_05180
ko:K02968	sagg:EN73_05045
ko:K00867	sagg:EN73_05050
ko:K00564	sagg:EN73_05055
ko:K01489	sagg:EN73_05060
ko:K07335	sagg:EN73_05065
ko:K03106	sagg:EN73_05195
ko:K09787	sagg:EN73_05200
ko:K02056	sagg:EN73_05070
ko:K02057	sagg:EN73_05075
ko:K02057	sagg:EN73_05080
ko:K00016	sagg:EN73_05090
ko:K02469	sagg:EN73_05095
ko:K14982	sagg:EN73_05205
ko:K02817	sagg:EN73_01235
ko:K14983	sagg:EN73_05210
ko:K07054	sagg:EN73_04795
ko:K16899	sagg:EN73_04800
ko:K16898	sagg:EN73_04805
ko:K03650	sagg:EN73_04815
ko:K06158	sagg:EN73_04820
ko:K00161	sagg:EN73_04825
ko:K00162	sagg:EN73_04830
ko:K00627	sagg:EN73_04835
ko:K00382	sagg:EN73_04840
ko:K03800	sagg:EN73_04845
ko:K07009	sagg:EN73_04855
ko:K01928	sagg:EN73_04860
ko:K18672	sagg:EN73_04865
ko:K03431	sagg:EN73_04875
ko:K09952	sagg:EN73_04910
ko:K00940	sagg:EN73_04935
ko:K03596	sagg:EN73_04940
ko:K06950	sagg:EN73_04950
ko:K07305	sagg:EN73_04960
ko:K01990	sagg:EN73_04990
ko:K02337	sagg:EN73_05000
ko:K00425	sagg:EN73_08545
ko:K03885	sagg:EN73_08550
ko:K02548	sagg:EN73_08555
ko:K09747	sagg:EN73_08565
ko:K00574	sagg:EN73_08570
ko:K02342	sagg:EN73_08580
ko:K07007	sagg:EN73_08590
ko:K02950	sagg:EN73_08680
ko:K09685	sagg:EN73_08685
ko:K02954	sagg:EN73_08600
ko:K01620	sagg:EN73_08605
ko:K01409	sagg:EN73_08610
ko:K03789	sagg:EN73_08615
ko:K12574	sagg:EN73_08630
ko:K01915	sagg:EN73_08640
ko:K03713	sagg:EN73_08645
ko:K00927	sagg:EN73_08655
ko:K00134	sagg:EN73_08665
ko:K02355	sagg:EN73_08670
ko:K02992	sagg:EN73_08675
ko:K01256	sagg:EN73_05215
ko:K02039	sagg:EN73_05220
ko:K02036	sagg:EN73_05225
ko:K02036	sagg:EN73_05230
ko:K02038	sagg:EN73_05235
ko:K02037	sagg:EN73_05240
ko:K02040	sagg:EN73_05245
ko:K01092	sagg:EN73_05255
ko:K16509	sagg:EN73_05265
ko:K11753	sagg:EN73_05270
ko:K03177	sagg:EN73_05275
ko:K03476	sagg:EN73_08820
ko:K03493	sagg:EN73_08825
ko:K00880	sagg:EN73_08835
ko:K07045	sagg:EN73_08840
ko:K02775	sagg:EN73_08845
ko:K00616	sagg:EN73_08865
ko:K02821	sagg:EN73_08885
ko:K02822	sagg:EN73_08890
ko:K03475	sagg:EN73_08895
ko:K01939	sagg:EN73_08910
ko:K01919	sagg:EN73_08925
ko:K04083	sagg:EN73_08940
ko:K03823	sagg:EN73_08955
ko:K03696	sagg:EN73_08960
ko:K03708	sagg:EN73_08965
ko:K02357	sagg:EN73_08985
ko:K02967	sagg:EN73_08990
ko:K03386	sagg:EN73_08995
ko:K03387	sagg:EN73_09000
ko:K03316	sagg:EN73_09010
ko:K07386	sagg:EN73_09025
ko:K01462	sagg:EN73_09045
ko:K02747	sagg:EN73_09060
ko:K02746	sagg:EN73_09065
ko:K02745	sagg:EN73_09070
ko:K18581	sagg:EN73_09075
ko:K03698	sagg:EN73_08690
ko:K09760	sagg:EN73_08695
ko:K00949	sagg:EN73_08700
ko:K01783	sagg:EN73_08705
ko:K06949	sagg:EN73_08710
ko:K00563	sagg:EN73_08715
ko:K02528	sagg:EN73_08720
ko:K05985	sagg:EN73_08730
ko:K03424	sagg:EN73_08735
ko:K03740	sagg:EN73_08760
ko:K14188	sagg:EN73_08765
ko:K03739	sagg:EN73_08770
ko:K03367	sagg:EN73_08775
ko:K02914	sagg:EN73_08795
ko:K02001	sagg:EN73_08805
ko:K02002	sagg:EN73_08805
ko:K02000	sagg:EN73_08810
ko:K00975	sagg:EN73_04705
ko:K03070	sagg:EN73_08265
ko:K01809	sagg:EN73_08270
ko:K00847	sagg:EN73_08275
ko:K02808	sagg:EN73_08280
ko:K02809	sagg:EN73_08280
ko:K02810	sagg:EN73_08280
ko:K01193	sagg:EN73_08285
ko:K03484	sagg:EN73_08290
ko:K03625	sagg:EN73_08295
ko:K02356	sagg:EN73_08305
ko:K06147	sagg:EN73_08310
ko:K16786	sagg:EN73_08320
ko:K16787	sagg:EN73_08320
ko:K16785	sagg:EN73_08325
ko:K16926	sagg:EN73_08330
ko:K04783	sagg:EN73_08350
ko:K01262	sagg:EN73_08365
ko:K03701	sagg:EN73_08380
ko:K03284	sagg:EN73_08390
ko:K02963	sagg:EN73_08395
ko:K02990	sagg:EN73_08405
ko:K03575	sagg:EN73_08410
ko:K03671	sagg:EN73_08420
ko:K07456	sagg:EN73_08430
ko:K03471	sagg:EN73_08445
ko:K03100	sagg:EN73_08450
ko:K03581	sagg:EN73_08455
ko:K02346	sagg:EN73_08465
ko:K00656	sagg:EN73_08470
ko:K02440	sagg:EN73_08495
ko:K01281	sagg:EN73_08515
ko:K00805	sagg:EN73_08525
ko:K16012	sagg:EN73_08530
ko:K16013	sagg:EN73_08535
ko:K00426	sagg:EN73_08540
ko:K02433	sagg:EN73_08170
ko:K02435	sagg:EN73_08175
ko:K01006	sagg:EN73_08180
ko:K09773	sagg:EN73_08185
ko:K00074	sagg:EN73_08195
ko:K03706	sagg:EN73_08205
ko:K14260	sagg:EN73_08210
ko:K01424	sagg:EN73_08225
ko:K00014	sagg:EN73_08230
ko:K03655	sagg:EN73_08240
ko:K01775	sagg:EN73_08250
ko:K00997	sagg:EN73_08255
ko:K01626	sagg:EN73_08260
ko:K04072	sagg:EN73_00440
ko:K13953	sagg:EN73_00445
ko:K01733	sagg:EN73_00450
ko:K02946	sagg:EN73_00460
ko:K02906	sagg:EN73_00465
ko:K02926	sagg:EN73_00470
ko:K02892	sagg:EN73_00475
ko:K02886	sagg:EN73_00480
ko:K02965	sagg:EN73_00485
ko:K02890	sagg:EN73_00490
ko:K02982	sagg:EN73_00495
ko:K02878	sagg:EN73_00500
ko:K02904	sagg:EN73_00505
ko:K02961	sagg:EN73_00510
ko:K02874	sagg:EN73_00515
ko:K02895	sagg:EN73_00520
ko:K02931	sagg:EN73_00525
ko:K02954	sagg:EN73_00530
ko:K02994	sagg:EN73_00535
ko:K02933	sagg:EN73_00540
ko:K02881	sagg:EN73_00545
ko:K02988	sagg:EN73_00550
ko:K02907	sagg:EN73_00555
ko:K02876	sagg:EN73_00560
ko:K03076	sagg:EN73_00565
ko:K00939	sagg:EN73_00570
ko:K02518	sagg:EN73_00575
ko:K02952	sagg:EN73_00580
ko:K00868	sagg:EN73_00750
ko:K07025	sagg:EN73_04200
ko:K03976	sagg:EN73_04210
ko:K07273	sagg:EN73_04220
ko:K01595	sagg:EN73_04240
ko:K03588	sagg:EN73_04245
ko:K02358	sagg:EN73_04250
ko:K01803	sagg:EN73_04255
ko:K01834	sagg:EN73_04260
ko:K00687	sagg:EN73_04265
ko:K06187	sagg:EN73_04270
ko:K01921	sagg:EN73_04275
ko:K01929	sagg:EN73_04280
ko:K08177	sagg:EN73_04285
ko:K02837	sagg:EN73_04300
ko:K02071	sagg:EN73_04310
ko:K02072	sagg:EN73_04315
ko:K02073	sagg:EN73_04320
ko:K05592	sagg:EN73_04325
ko:K07461	sagg:EN73_04330
ko:K00655	sagg:EN73_04340
ko:K02237	sagg:EN73_04345
ko:K02238	sagg:EN73_04350
ko:K02340	sagg:EN73_04375
ko:K04564	sagg:EN73_04380
ko:K03488	sagg:EN73_04385
ko:K01223	sagg:EN73_04395
ko:K02647	sagg:EN73_04400
ko:K00865	sagg:EN73_04405
ko:K03299	sagg:EN73_04410
ko:K03499	sagg:EN73_07995
ko:K16785	sagg:EN73_08000
ko:K16786	sagg:EN73_08005
ko:K16787	sagg:EN73_08005
ko:K16924	sagg:EN73_08010
ko:K07862	sagg:EN73_08015
ko:K03311	sagg:EN73_08020
ko:K18369	sagg:EN73_08025
ko:K02072	sagg:EN73_08030
ko:K02071	sagg:EN73_08035
ko:K01439	sagg:EN73_08040
ko:K02073	sagg:EN73_08045
ko:K02030	sagg:EN73_08050
ko:K07010	sagg:EN73_08055
ko:K05878	sagg:EN73_08080
ko:K05879	sagg:EN73_08085
ko:K02440	sagg:EN73_08095
ko:K09710	sagg:EN73_08125
ko:K00969	sagg:EN73_08140
ko:K07574	sagg:EN73_08145
ko:K06948	sagg:EN73_08150
ko:K07015	sagg:EN73_08155
ko:K02434	sagg:EN73_08165
ko:K00981	sagg:EN73_09140
ko:K00806	sagg:EN73_09145
ko:K03210	sagg:EN73_09150
ko:K00027	sagg:EN73_09160
ko:K01784	sagg:EN73_09180
ko:K10112	sagg:EN73_09190
ko:K01635	sagg:EN73_09205
ko:K00917	sagg:EN73_09210
ko:K01819	sagg:EN73_09215
ko:K01819	sagg:EN73_09220
ko:K01186	sagg:EN73_09225
ko:K02530	sagg:EN73_09245
ko:K09815	sagg:EN73_09255
ko:K07560	sagg:EN73_09260
ko:K00951	sagg:EN73_09265
ko:K01119	sagg:EN73_09270
ko:K03647	sagg:EN73_09275
ko:K02012	sagg:EN73_09295
ko:K07720	sagg:EN73_09300
ko:K02795	sagg:EN73_09315
ko:K02794	sagg:EN73_09320
ko:K02793	sagg:EN73_09325
ko:K07706	sagg:EN73_09345
ko:K11072	sagg:EN73_05735
ko:K00075	sagg:EN73_05740
ko:K00950	sagg:EN73_05745
ko:K01633	sagg:EN73_05750
ko:K00796	sagg:EN73_05755
ko:K01495	sagg:EN73_05760
ko:K11754	sagg:EN73_05765
ko:K05786	sagg:EN73_05770
ko:K00872	sagg:EN73_05775
ko:K00003	sagg:EN73_05780
ko:K00135	sagg:EN73_05795
ko:K07707	sagg:EN73_09350
ko:K06896	sagg:EN73_09355
ko:K07636	sagg:EN73_09365
ko:K07658	sagg:EN73_09370
ko:K02039	sagg:EN73_09375
ko:K02036	sagg:EN73_09380
ko:K02038	sagg:EN73_09385
ko:K02037	sagg:EN73_09390
ko:K02040	sagg:EN73_09395
ko:K09761	sagg:EN73_09405
ko:K02687	sagg:EN73_09410
ko:K03574	sagg:EN73_09430
ko:K07478	sagg:EN73_09450
ko:K11065	sagg:EN73_05825
ko:K03657	sagg:EN73_05880
ko:K02614	sagg:EN73_05885
ko:K02824	sagg:EN73_05890
ko:K03310	sagg:EN73_05895
ko:K06518	sagg:EN73_05905
