ko:K02495	seb:STM474_4182
ko:K05813	seb:STM474_3724
ko:K07341	seb:STM474_3725
ko:K01996	seb:STM474_3727
ko:K01995	seb:STM474_3728
ko:K01998	seb:STM474_3729
ko:K01997	seb:STM474_3730
ko:K01999	seb:STM474_3731
ko:K03735	seb:STM474_2561
ko:K04019	seb:STM474_2562
ko:K04023	seb:STM474_2563
ko:K04022	seb:STM474_2564
ko:K04024	seb:STM474_2565
ko:K04021	seb:STM474_2566
ko:K04020	seb:STM474_2569
ko:K04032	seb:STM474_2570
ko:K04030	seb:STM474_2571
ko:K04029	seb:STM474_2572
ko:K04031	seb:STM474_2573
ko:K00029	seb:STM474_2575
ko:K00615	seb:STM474_2577
ko:K15977	seb:STM474_3386
ko:K06911	seb:STM474_3390
ko:K01752	seb:STM474_3394
ko:K00656	seb:STM474_3395
ko:K03838	seb:STM474_3397
ko:K01754	seb:STM474_3398
ko:K07592	seb:STM474_3399
ko:K00865	seb:STM474_3404
ko:K02769	seb:STM474_3412
ko:K02770	seb:STM474_3412
ko:K02773	seb:STM474_3415
ko:K02774	seb:STM474_3416
ko:K07056	seb:STM474_3420
ko:K07121	seb:STM474_3421
ko:K07460	seb:STM474_3422
ko:K05520	seb:STM474_3427
ko:K09979	seb:STM474_3428
ko:K07461	seb:STM474_3429
ko:K03824	seb:STM474_3430
ko:K08303	seb:STM474_3432
ko:K03835	seb:STM474_3437
ko:K05592	seb:STM474_3438
ko:K05803	seb:STM474_3439
ko:K06006	seb:STM474_4242
ko:K00850	seb:STM474_4244
ko:K02048	seb:STM474_4245
ko:K01521	seb:STM474_4246
ko:K00847	seb:STM474_4248
ko:K11216	seb:STM474_4254
ko:K11531	seb:STM474_4255
ko:K10558	seb:STM474_4256
ko:K10556	seb:STM474_4257
ko:K10557	seb:STM474_4258
ko:K10555	seb:STM474_4259
ko:K08321	seb:STM474_4260
ko:K01783	seb:STM474_4262
ko:K01803	seb:STM474_4263
ko:K00528	seb:STM474_4266
ko:K00864	seb:STM474_4268
ko:K02440	seb:STM474_4269
ko:K09892	seb:STM474_4270
ko:K02553	seb:STM474_4272
ko:K02548	seb:STM474_4273
ko:K03667	seb:STM474_4274
ko:K01419	seb:STM474_4275
ko:K03591	seb:STM474_4276
ko:K04066	seb:STM474_4278
ko:K02909	seb:STM474_4279
ko:K03764	seb:STM474_4283
ko:K12525	seb:STM474_4285
ko:K00297	seb:STM474_4290
ko:K03782	seb:STM474_4291
ko:K09974	seb:STM474_4292
ko:K00005	seb:STM474_4293
ko:K03089	seb:STM474_3735
ko:K09811	seb:STM474_3736
ko:K09812	seb:STM474_3737
ko:K03110	seb:STM474_3738
ko:K08993	seb:STM474_3740
ko:K01534	seb:STM474_3743
ko:K09125	seb:STM474_3746
ko:K06133	seb:STM474_3750
ko:K07722	seb:STM474_3751
ko:K13926	seb:STM474_3753
ko:K01993	seb:STM474_3754
ko:K08989	seb:STM474_4571
ko:K09456	seb:STM474_4574
ko:K03477	seb:STM474_4578
ko:K03078	seb:STM474_4583
ko:K02990	seb:STM474_4588
ko:K02686	seb:STM474_4589
ko:K02963	seb:STM474_4590
ko:K02939	seb:STM474_4591
ko:K07269	seb:STM474_4593
ko:K03773	seb:STM474_4594
ko:K11737	seb:STM474_4595
ko:K07322	seb:STM474_4596
ko:K07109	seb:STM474_4602
ko:K07278	seb:STM474_4606
ko:K09800	seb:STM474_4607
ko:K03841	seb:STM474_4612
ko:K02558	seb:STM474_4613
ko:K03337	seb:STM474_4618
ko:K00140	seb:STM474_4619
ko:K03335	seb:STM474_4621
ko:K01999	seb:STM474_3734
ko:K00941	seb:STM474_2233
ko:K00878	seb:STM474_2234
ko:K01874	seb:STM474_2242
ko:K02478	seb:STM474_2247
ko:K05846	seb:STM474_2250
ko:K05847	seb:STM474_2251
ko:K05846	seb:STM474_2252
ko:K05845	seb:STM474_2253
ko:K05349	seb:STM474_2255
ko:K03777	seb:STM474_2256
ko:K07262	seb:STM474_2257
ko:K00573	seb:STM474_3066
ko:K03787	seb:STM474_3067
ko:K06176	seb:STM474_3068
ko:K01770	seb:STM474_3069
ko:K00991	seb:STM474_3070
ko:K05589	seb:STM474_3071
ko:K00860	seb:STM474_3073
ko:K00957	seb:STM474_3075
ko:K09612	seb:STM474_3076
ko:K15342	seb:STM474_3079
ko:K00390	seb:STM474_3088
ko:K00381	seb:STM474_3089
ko:K01737	seb:STM474_3091
ko:K10026	seb:STM474_3095
ko:K01689	seb:STM474_3096
ko:K01937	seb:STM474_3097
ko:K03215	seb:STM474_3102
ko:K07678	seb:STM474_3103
ko:K00865	seb:STM474_3104
ko:K01706	seb:STM474_3105
ko:K13918	seb:STM474_3106
ko:K06175	seb:STM474_3110
ko:K15723	seb:STM474_3112
ko:K06879	seb:STM474_3113
ko:K06966	seb:STM474_3114
ko:K03837	seb:STM474_3115
ko:K01752	seb:STM474_3116
ko:K01146	seb:STM474_3117
ko:K00556	seb:STM474_3917
ko:K03655	seb:STM474_3918
ko:K03312	seb:STM474_3920
ko:K01811	seb:STM474_3923
ko:K01531	seb:STM474_3937
ko:K07507	seb:STM474_3938
ko:K07726	seb:STM474_3952
ko:K02774	seb:STM474_3957
ko:K02773	seb:STM474_3958
ko:K07783	seb:STM474_3962
ko:K02429	seb:STM474_3966
ko:K11534	seb:STM474_3968
ko:K06211	seb:STM474_4786
ko:K08309	seb:STM474_4788
ko:K03720	seb:STM474_4789
ko:K05804	seb:STM474_4792
ko:K05805	seb:STM474_4793
ko:K07663	seb:STM474_4794
ko:K07641	seb:STM474_4795
ko:K06143	seb:STM474_4796
ko:K07347	seb:STM474_4799
ko:K07773	seb:STM474_4804
ko:K02406	seb:STM474_2906
ko:K09824	seb:STM474_2915
ko:K07241	seb:STM474_2917
ko:K07649	seb:STM474_2918
ko:K07774	seb:STM474_2919
ko:K07795	seb:STM474_2920
ko:K15737	seb:STM474_2924
ko:K15736	seb:STM474_2925
ko:K11735	seb:STM474_2928
ko:K15735	seb:STM474_2929
ko:K00375	seb:STM474_2940
ko:K02000	seb:STM474_2947
ko:K02001	seb:STM474_2948
ko:K02002	seb:STM474_2949
ko:K03543	seb:STM474_2952
ko:K03446	seb:STM474_2953
ko:K07173	seb:STM474_2955
ko:K01919	seb:STM474_2956
ko:K07007	seb:STM474_3756
ko:K06144	seb:STM474_3758
ko:K03305	seb:STM474_3760
ko:K01414	seb:STM474_3762
ko:K07115	seb:STM474_3764
ko:K03710	seb:STM474_3770
ko:K01194	seb:STM474_3771
ko:K07058	seb:STM474_3777
ko:K00694	seb:STM474_3788
ko:K12372	seb:STM474_3798
ko:K12371	seb:STM474_3799
ko:K12370	seb:STM474_3800
ko:K12369	seb:STM474_3801
ko:K12368	seb:STM474_3802
ko:K12975	seb:STM474_3807
ko:K01201	seb:STM474_4623
ko:K06606	seb:STM474_4624
ko:K03338	seb:STM474_4626
ko:K03336	seb:STM474_4628
ko:K06606	seb:STM474_4631
ko:K06605	seb:STM474_4632
ko:K09889	seb:STM474_4633
ko:K03592	seb:STM474_4634
ko:K15536	seb:STM474_4635
ko:K01465	seb:STM474_4641
ko:K01042	seb:STM474_4642
ko:K03485	seb:STM474_4652
ko:K01531	seb:STM474_4654
ko:K07290	seb:STM474_3779
ko:K00874	seb:STM474_3781
ko:K11103	seb:STM474_3783
ko:K00610	seb:STM474_4657
ko:K00609	seb:STM474_4658
ko:K00611	seb:STM474_4662
ko:K00926	seb:STM474_4663
ko:K00611	seb:STM474_4666
ko:K09893	seb:STM474_4667
ko:K06169	seb:STM474_4668
ko:K03828	seb:STM474_4671
ko:K01873	seb:STM474_4673
ko:K02339	seb:STM474_4674
ko:K01255	seb:STM474_4675
ko:K05541	seb:STM474_2263
ko:K00450	seb:STM474_2267
ko:K08195	seb:STM474_2268
ko:K10542	seb:STM474_2278
ko:K02529	seb:STM474_2280
ko:K07148	seb:STM474_2281
ko:K01495	seb:STM474_2282
ko:K01070	seb:STM474_2283
ko:K01752	seb:STM474_2285
ko:K07783	seb:STM474_2287
ko:K11733	seb:STM474_2289
ko:K01151	seb:STM474_2294
ko:K02769	seb:STM474_2295
ko:K02770	seb:STM474_2295
ko:K02768	seb:STM474_2297
ko:K11183	seb:STM474_2297
ko:K03291	seb:STM474_2299
ko:K06940	seb:STM474_2302
ko:K02356	seb:STM474_2304
ko:K13694	seb:STM474_2307
ko:K13893	seb:STM474_2309
ko:K13894	seb:STM474_2310
ko:K13895	seb:STM474_2311
ko:K13896	seb:STM474_2312
ko:K07552	seb:STM474_2314
ko:K00048	seb:STM474_3118
ko:K01628	seb:STM474_3119
ko:K02429	seb:STM474_3121
ko:K01818	seb:STM474_3122
ko:K02431	seb:STM474_3124
ko:K02430	seb:STM474_3125
ko:K06968	seb:STM474_3126
ko:K01766	seb:STM474_3130
ko:K02426	seb:STM474_3131
ko:K08304	seb:STM474_3134
ko:K01448	seb:STM474_3137
ko:K14682	seb:STM474_3138
ko:K03581	seb:STM474_3139
ko:K03582	seb:STM474_3140
ko:K01407	seb:STM474_3141
ko:K03583	seb:STM474_3142
ko:K02681	seb:STM474_3143
ko:K02680	seb:STM474_3145
ko:K02679	seb:STM474_3146
ko:K13292	seb:STM474_3148
ko:K08484	seb:STM474_3149
ko:K08311	seb:STM474_3150
ko:K03573	seb:STM474_3152
ko:K08227	seb:STM474_3156
ko:K05939	seb:STM474_3157
ko:K02529	seb:STM474_3158
ko:K01586	seb:STM474_3160
ko:K01815	seb:STM474_3165
ko:K01653	seb:STM474_3969
ko:K01652	seb:STM474_3970
ko:K13629	seb:STM474_3976
ko:K01753	seb:STM474_3977
ko:K06871	seb:STM474_3978
ko:K07085	seb:STM474_3983
ko:K04081	seb:STM474_3984
ko:K04080	seb:STM474_3985
ko:K00428	seb:STM474_3997
ko:K03533	seb:STM474_3998
ko:K07811	seb:STM474_3999
ko:K03532	seb:STM474_4000
ko:K12945	seb:STM474_2580
ko:K07674	seb:STM474_2583
ko:K11930	seb:STM474_4002
ko:K07647	seb:STM474_4003
ko:K01684	seb:STM474_4005
ko:K01631	seb:STM474_4006
ko:K00883	seb:STM474_4007
ko:K02470	seb:STM474_4013
ko:K03629	seb:STM474_4014
ko:K02338	seb:STM474_4015
ko:K02313	seb:STM474_4016
ko:K02914	seb:STM474_4017
ko:K03536	seb:STM474_4018
ko:K08998	seb:STM474_4019
ko:K03217	seb:STM474_4020
ko:K01673	seb:STM474_p1066
ko:K15461	seb:STM474_2478
ko:K09906	seb:STM474_2480
ko:K07090	seb:STM474_2481
ko:K07261	seb:STM474_2482
ko:K01736	seb:STM474_2483
ko:K07320	seb:STM474_2484
ko:K08296	seb:STM474_2486
ko:K06076	seb:STM474_2490
ko:K04754	seb:STM474_2491
ko:K12974	seb:STM474_2501
ko:K14261	seb:STM474_2502
ko:K03322	seb:STM474_2509
ko:K11535	seb:STM474_2510
ko:K11537	seb:STM474_2523
ko:K03815	seb:STM474_2524
ko:K03923	seb:STM474_3332
ko:K02622	seb:STM474_3335
ko:K07000	seb:STM474_3336
ko:K03651	seb:STM474_3337
ko:K09920	seb:STM474_3338
ko:K07238	seb:STM474_3344
ko:K03673	seb:STM474_3347
ko:K03611	seb:STM474_3348
ko:K03272	seb:STM474_3354
ko:K00982	seb:STM474_3355
ko:K07184	seb:STM474_3357
ko:K06153	seb:STM474_3359
ko:K01633	seb:STM474_3360
ko:K08591	seb:STM474_3361
ko:K02970	seb:STM474_3363
ko:K03086	seb:STM474_3365
ko:K07229	seb:STM474_3368
ko:K07043	seb:STM474_3375
ko:K07862	seb:STM474_3379
ko:K08318	seb:STM474_4200
ko:K07058	seb:STM474_4204
ko:K07560	seb:STM474_4205
ko:K02380	seb:STM474_4213
ko:K00123	seb:STM474_4216
ko:K02379	seb:STM474_4217
ko:K03534	seb:STM474_4223
ko:K00848	seb:STM474_4227
ko:K02854	seb:STM474_4229
ko:K02856	seb:STM474_4230
ko:K04564	seb:STM474_4237
ko:K02523	seb:STM474_3465
ko:K00790	seb:STM474_3467
ko:K07122	seb:STM474_3469
ko:K07323	seb:STM474_3470
ko:K02066	seb:STM474_3472
ko:K02065	seb:STM474_3473
ko:K07301	seb:STM474_3474
ko:K06041	seb:STM474_3475
ko:K03270	seb:STM474_3476
ko:K11719	seb:STM474_3477
ko:K09774	seb:STM474_3478
ko:K06957	seb:STM474_2588
ko:K01923	seb:STM474_2590
ko:K07287	seb:STM474_2591
ko:K01714	seb:STM474_2592
ko:K03567	seb:STM474_2593
ko:K03564	seb:STM474_2594
ko:K10763	seb:STM474_2599
ko:K00761	seb:STM474_2601
ko:K01933	seb:STM474_2602
ko:K11175	seb:STM474_2603
ko:K00937	seb:STM474_2604
ko:K01524	seb:STM474_2605
ko:K01951	seb:STM474_2611
ko:K03601	seb:STM474_2613
ko:K13735	seb:STM474_2619
ko:K03977	seb:STM474_2621
ko:K01892	seb:STM474_2624
ko:K15539	seb:STM474_2626
ko:K06941	seb:STM474_2627
ko:K00940	seb:STM474_2628
ko:K00962	seb:STM474_3440
ko:K02956	seb:STM474_3441
ko:K02834	seb:STM474_3443
ko:K02519	seb:STM474_3444
ko:K02600	seb:STM474_3445
ko:K09748	seb:STM474_3446
ko:K01940	seb:STM474_3448
ko:K03075	seb:STM474_3451
ko:K03431	seb:STM474_3452
ko:K00796	seb:STM474_3453
ko:K03798	seb:STM474_3455
ko:K07574	seb:STM474_3457
ko:K03624	seb:STM474_3458
ko:K07259	seb:STM474_3459
ko:K03979	seb:STM474_3461
ko:K02899	seb:STM474_3463
ko:K02888	seb:STM474_3464
ko:K06861	seb:STM474_3479
ko:K03092	seb:STM474_3480
ko:K05808	seb:STM474_3481
ko:K06958	seb:STM474_3483
ko:K03814	seb:STM474_3486
ko:K07648	seb:STM474_3488
ko:K07139	seb:STM474_3489
ko:K08483	seb:STM474_4295
ko:K11189	seb:STM474_4295
ko:K11201	seb:STM474_4295
ko:K11203	seb:STM474_4296
ko:K11202	seb:STM474_4297
ko:K00656	seb:STM474_4298
ko:K04069	seb:STM474_4299
ko:K11202	seb:STM474_4300
ko:K01595	seb:STM474_4303
ko:K01438	seb:STM474_4304
ko:K00145	seb:STM474_4305
ko:K00930	seb:STM474_4306
ko:K01755	seb:STM474_4307
ko:K04761	seb:STM474_4308
ko:K00322	seb:STM474_4309
ko:K01776	seb:STM474_4314
ko:K00075	seb:STM474_4321
ko:K03524	seb:STM474_4322
ko:K02358	seb:STM474_4331
ko:K03073	seb:STM474_4332
ko:K02601	seb:STM474_4333
ko:K02867	seb:STM474_4334
ko:K02863	seb:STM474_4335
ko:K02864	seb:STM474_4336
ko:K02935	seb:STM474_4337
ko:K03043	seb:STM474_4338
ko:K03046	seb:STM474_4339
ko:K03150	seb:STM474_4345
ko:K03149	seb:STM474_4346
ko:K03154	seb:STM474_4347
ko:K00788	seb:STM474_4349
ko:K03147	seb:STM474_4350
ko:K00254	seb:STM474_1050
ko:K03563	seb:STM474_2964
ko:K01872	seb:STM474_2965
ko:K03565	seb:STM474_2966
ko:K02781	seb:STM474_2972
ko:K02468	seb:STM474_2975
ko:K02467	seb:STM474_2976
ko:K12266	seb:STM474_2977
ko:K12264	seb:STM474_2978
ko:K12265	seb:STM474_2979
ko:K05796	seb:STM474_2981
ko:K08315	seb:STM474_2983
ko:K15834	seb:STM474_2984
ko:K15832	seb:STM474_2985
ko:K15831	seb:STM474_2986
ko:K15830	seb:STM474_2987
ko:K15829	seb:STM474_2988
ko:K15828	seb:STM474_2989
ko:K15827	seb:STM474_2990
ko:K15833	seb:STM474_2991
ko:K04651	seb:STM474_2993
ko:K04653	seb:STM474_2995
ko:K04654	seb:STM474_2996
ko:K15836	seb:STM474_2998
ko:K11605	seb:STM474_3002
ko:K11606	seb:STM474_3003
ko:K07347	seb:STM474_3810
ko:K01246	seb:STM474_3814
ko:K03826	seb:STM474_3815
ko:K07726	seb:STM474_3820
ko:K03704	seb:STM474_3821
ko:K01879	seb:STM474_3827
ko:K01878	seb:STM474_3828
ko:K01805	seb:STM474_3833
ko:K02529	seb:STM474_3834
ko:K00835	seb:STM474_3837
ko:K08092	seb:STM474_3840
ko:K00880	seb:STM474_3846
ko:K09955	seb:STM474_3851
ko:K00138	seb:STM474_3852
ko:K03833	seb:STM474_3854
ko:K01042	seb:STM474_3855
ko:K00009	seb:STM474_3858
ko:K02562	seb:STM474_3859
ko:K14762	seb:STM474_3861
ko:K07091	seb:STM474_4677
ko:K11720	seb:STM474_4678
ko:K06146	seb:STM474_4679
ko:K06157	seb:STM474_4680
ko:K00098	seb:STM474_4682
ko:K12957	seb:STM474_4684
ko:K01338	seb:STM474_4689
ko:K09982	seb:STM474_4700
ko:K01867	seb:STM474_4709
ko:K01779	seb:STM474_4712
ko:K01305	seb:STM474_4714
ko:K01154	seb:STM474_4728
ko:K03427	seb:STM474_4729
ko:K01153	seb:STM474_4730
ko:K04656	seb:STM474_2980
ko:K02897	seb:STM474_2317
ko:K06899	seb:STM474_2319
ko:K09904	seb:STM474_2320
ko:K07014	seb:STM474_2321
ko:K07685	seb:STM474_2342
ko:K02199	seb:STM474_2344
ko:K02198	seb:STM474_2345
ko:K02197	seb:STM474_2346
ko:K02196	seb:STM474_2347
ko:K02195	seb:STM474_2348
ko:K02194	seb:STM474_2349
ko:K02568	seb:STM474_2352
ko:K02573	seb:STM474_2354
ko:K02567	seb:STM474_2355
ko:K02570	seb:STM474_2356
ko:K02572	seb:STM474_2357
ko:K08276	seb:STM474_2359
ko:K06159	seb:STM474_2360
ko:K03919	seb:STM474_2361
ko:K10778	seb:STM474_2362
ko:K03734	seb:STM474_2363
ko:K09475	seb:STM474_2364
ko:K07676	seb:STM474_2365
ko:K07687	seb:STM474_2366
ko:K07677	seb:STM474_2367
ko:K02469	seb:STM474_2368
ko:K04567	seb:STM474_3187
ko:K02836	seb:STM474_3188
ko:K07462	seb:STM474_3189
ko:K03981	seb:STM474_3190
ko:K03840	seb:STM474_3192
ko:K09159	seb:STM474_3194
ko:K06980	seb:STM474_3195
ko:K11068	seb:STM474_3196
ko:K09900	seb:STM474_3197
ko:K01223	seb:STM474_3198
ko:K00281	seb:STM474_3200
ko:K02437	seb:STM474_3201
ko:K00605	seb:STM474_3202
ko:K03185	seb:STM474_3204
ko:K09895	seb:STM474_3206
ko:K09888	seb:STM474_3207
ko:K01807	seb:STM474_3210
ko:K05596	seb:STM474_3211
ko:K09807	seb:STM474_3212
ko:K06895	seb:STM474_3213
ko:K01624	seb:STM474_3215
ko:K00927	seb:STM474_3216
ko:K03472	seb:STM474_3217
ko:K00615	seb:STM474_3223
ko:K03650	seb:STM474_4021
ko:K08163	seb:STM474_4026
ko:K06901	seb:STM474_4030
ko:K02039	seb:STM474_4032
ko:K02036	seb:STM474_4033
ko:K02038	seb:STM474_4034
ko:K02037	seb:STM474_4035
ko:K02040	seb:STM474_4036
ko:K02769	seb:STM474_4037
ko:K02770	seb:STM474_4037
ko:K00014	seb:STM474_4038
ko:K00820	seb:STM474_4040
ko:K04042	seb:STM474_4041
ko:K06890	seb:STM474_4042
ko:K02114	seb:STM474_4043
ko:K02112	seb:STM474_4044
ko:K02115	seb:STM474_4045
ko:K02111	seb:STM474_4046
ko:K02113	seb:STM474_4047
ko:K02109	seb:STM474_4048
ko:K02110	seb:STM474_4049
ko:K02108	seb:STM474_4050
ko:K03501	seb:STM474_4052
ko:K03495	seb:STM474_4053
ko:K06205	seb:STM474_4054
ko:K01914	seb:STM474_4056
ko:K03924	seb:STM474_4058
ko:K06726	seb:STM474_4060
ko:K10441	seb:STM474_4061
ko:K02529	seb:STM474_4065
ko:K03549	seb:STM474_4059
ko:K11107	seb:STM474_2375
ko:K01126	seb:STM474_2378
ko:K02445	seb:STM474_2379
ko:K00111	seb:STM474_2380
ko:K00112	seb:STM474_2381
ko:K00113	seb:STM474_2382
ko:K12660	seb:STM474_2385
ko:K12661	seb:STM474_2387
ko:K07806	seb:STM474_2393
ko:K10012	seb:STM474_2394
ko:K10011	seb:STM474_2395
ko:K13014	seb:STM474_2396
ko:K07264	seb:STM474_2397
ko:K12962	seb:STM474_2398
ko:K12963	seb:STM474_2399
ko:K01911	seb:STM474_2401
ko:K01661	seb:STM474_2403
ko:K02551	seb:STM474_2405
ko:K05594	seb:STM474_2407
ko:K03415	seb:STM474_2410
ko:K00343	seb:STM474_2413
ko:K00342	seb:STM474_2414
ko:K00341	seb:STM474_2415
ko:K00340	seb:STM474_2416
ko:K00339	seb:STM474_2417
ko:K00338	seb:STM474_2418
ko:K00337	seb:STM474_2419
ko:K07387	seb:STM474_3224
ko:K00789	seb:STM474_3238
ko:K08137	seb:STM474_3239
ko:K02742	seb:STM474_3240
ko:K01150	seb:STM474_3241
ko:K09761	seb:STM474_3242
ko:K01920	seb:STM474_3243
ko:K07735	seb:STM474_3244
ko:K07447	seb:STM474_3245
ko:K02669	seb:STM474_3247
ko:K06997	seb:STM474_3248
ko:K02221	seb:STM474_3249
ko:K09131	seb:STM474_3250
ko:K09923	seb:STM474_3256
ko:K03439	seb:STM474_3257
ko:K03575	seb:STM474_3258
ko:K08306	seb:STM474_3260
ko:K01581	seb:STM474_3262
ko:K07150	seb:STM474_3264
ko:K06871	seb:STM474_3272
ko:K06995	seb:STM474_3276
ko:K09897	seb:STM474_4076
ko:K07391	seb:STM474_4077
ko:K01652	seb:STM474_4079
ko:K11258	seb:STM474_4080
ko:K00826	seb:STM474_4081
ko:K01687	seb:STM474_4082
ko:K01754	seb:STM474_4083
ko:K02521	seb:STM474_4086
ko:K00053	seb:STM474_4087
ko:K03656	seb:STM474_4090
ko:K01524	seb:STM474_4091
ko:K03732	seb:STM474_4092
ko:K03671	seb:STM474_4093
ko:K03628	seb:STM474_4095
ko:K05790	seb:STM474_4097
ko:K02472	seb:STM474_4099
ko:K02805	seb:STM474_4103
ko:K12582	seb:STM474_4105
ko:K02853	seb:STM474_4106
ko:K02498	seb:STM474_4113
ko:K02496	seb:STM474_4114
ko:K01749	seb:STM474_4116
ko:K05851	seb:STM474_4117
ko:K06202	seb:STM474_4121
ko:K01778	seb:STM474_4124
ko:K09921	seb:STM474_4125
ko:K03733	seb:STM474_4126
ko:K03657	seb:STM474_4128
ko:K03284	seb:STM474_4129
ko:K03221	seb:STM474_3012
ko:K02078	seb:STM474_3020
ko:K03225	seb:STM474_3030
ko:K03230	seb:STM474_3036
ko:K07314	seb:STM474_3047
ko:K03555	seb:STM474_3049
ko:K03186	seb:STM474_3061
ko:K06194	seb:STM474_3065
ko:K00427	seb:STM474_3864
ko:K14348	seb:STM474_3865
ko:K03216	seb:STM474_3867
ko:K06145	seb:STM474_3869
ko:K00640	seb:STM474_3872
ko:K00057	seb:STM474_3873
ko:K03071	seb:STM474_3874
ko:K15633	seb:STM474_3877
ko:K09798	seb:STM474_3879
ko:K00060	seb:STM474_3881
ko:K03274	seb:STM474_3883
ko:K02841	seb:STM474_3885
ko:K02847	seb:STM474_3886
ko:K02850	seb:STM474_3889
ko:K02840	seb:STM474_3892
ko:K02848	seb:STM474_3894
ko:K02844	seb:STM474_3895
ko:K02527	seb:STM474_3897
ko:K00954	seb:STM474_3898
ko:K02913	seb:STM474_3900
ko:K02902	seb:STM474_3901
ko:K03630	seb:STM474_3902
ko:K13038	seb:STM474_3903
ko:K05501	seb:STM474_3905
ko:K00762	seb:STM474_3906
ko:K00989	seb:STM474_3907
ko:K01972	seb:STM474_3913
ko:K00942	seb:STM474_3914
ko:K03060	seb:STM474_3915
ko:K09803	seb:STM474_4732
ko:K02317	seb:STM474_4748
ko:K13255	seb:STM474_4754
ko:K02344	seb:STM474_4761
ko:K03789	seb:STM474_4762
ko:K08723	seb:STM474_4763
ko:K02837	seb:STM474_4764
ko:K03424	seb:STM474_4769
ko:K01839	seb:STM474_4774
ko:K03800	seb:STM474_4781
ko:K01079	seb:STM474_4784
ko:K04485	seb:STM474_4785
ko:K00334	seb:STM474_2422
ko:K13378	seb:STM474_2423
ko:K00331	seb:STM474_2424
ko:K00330	seb:STM474_2425
ko:K14260	seb:STM474_2428
ko:K08191	seb:STM474_3284
ko:K09161	seb:STM474_2432
ko:K09899	seb:STM474_2433
ko:K00925	seb:STM474_2434
ko:K13788	seb:STM474_2435
ko:K00615	seb:STM474_2437
ko:K00615	seb:STM474_2438
ko:K07095	seb:STM474_2444
ko:K07071	seb:STM474_2447
ko:K10017	seb:STM474_2448
ko:K10015	seb:STM474_2449
