ko:K05595	sms:SMDSEM_043
ko:K02863	sms:SMDSEM_064
ko:K02867	sms:SMDSEM_065
ko:K02358	sms:SMDSEM_067
ko:K02426	sms:SMDSEM_077
ko:K02523	sms:SMDSEM_078
ko:K01903	sms:SMDSEM_084
ko:K02343	sms:SMDSEM_085
ko:K03116	sms:SMDSEM_086
ko:K03555	sms:SMDSEM_089
ko:K02357	sms:SMDSEM_092
ko:K02967	sms:SMDSEM_093
ko:K02996	sms:SMDSEM_094
ko:K02871	sms:SMDSEM_095
ko:K04043	sms:SMDSEM_096
ko:K02520	sms:SMDSEM_097
ko:K02916	sms:SMDSEM_098
ko:K02887	sms:SMDSEM_099
ko:K01462	sms:SMDSEM_100
ko:K07447	sms:SMDSEM_101
ko:K00674	sms:SMDSEM_102
ko:K00826	sms:SMDSEM_103
ko:K00566	sms:SMDSEM_105
ko:K03686	sms:SMDSEM_106
ko:K00382	sms:SMDSEM_108
ko:K02314	sms:SMDSEM_109
ko:K02834	sms:SMDSEM_111
ko:K00925	sms:SMDSEM_113
ko:K03650	sms:SMDSEM_114
ko:K02337	sms:SMDSEM_116
ko:K02888	sms:SMDSEM_171
ko:K02899	sms:SMDSEM_172
ko:K02990	sms:SMDSEM_174
ko:K02939	sms:SMDSEM_176
ko:K01714	sms:SMDSEM_179
ko:K02836	sms:SMDSEM_180
ko:K00215	sms:SMDSEM_181
ko:K03100	sms:SMDSEM_182
ko:K02970	sms:SMDSEM_183
ko:K00014	sms:SMDSEM_184
ko:K03979	sms:SMDSEM_185
ko:K00382	sms:SMDSEM_186
ko:K01872	sms:SMDSEM_190
ko:K00164	sms:SMDSEM_191
ko:K02919	sms:SMDSEM_253
ko:K02952	sms:SMDSEM_254
ko:K02986	sms:SMDSEM_256
ko:K03040	sms:SMDSEM_257
ko:K02879	sms:SMDSEM_258
ko:K01778	sms:SMDSEM_259
ko:K00294	sms:SMDSEM_260
ko:K03572	sms:SMDSEM_261
ko:K01755	sms:SMDSEM_262
ko:K04567	sms:SMDSEM_263
ko:K00161	sms:SMDSEM_265
ko:K00627	sms:SMDSEM_266
ko:K00134	sms:SMDSEM_268
ko:K02340	sms:SMDSEM_270
ko:K00384	sms:SMDSEM_271
ko:K03218	sms:SMDSEM_272
ko:K01889	sms:SMDSEM_273
ko:K01754	sms:SMDSEM_274
ko:K00053	sms:SMDSEM_275
ko:K01652	sms:SMDSEM_277
ko:K01687	sms:SMDSEM_278
ko:K02890	sms:SMDSEM_238
ko:K02982	sms:SMDSEM_239
ko:K02963	sms:SMDSEM_175
ko:K02878	sms:SMDSEM_240
ko:K02961	sms:SMDSEM_241
ko:K02874	sms:SMDSEM_242
ko:K02895	sms:SMDSEM_243
ko:K02931	sms:SMDSEM_244
ko:K02954	sms:SMDSEM_245
ko:K02994	sms:SMDSEM_246
ko:K04516	sms:SMDSEM_207
ko:K14228	sms:SMDSEM_187
ko:K14218	sms:SMDSEM_081
ko:K14231	sms:SMDSEM_053
ko:K14226	sms:SMDSEM_057
ko:K14233	sms:SMDSEM_138
ko:K14228	sms:SMDSEM_091
ko:K14219	sms:SMDSEM_264
ko:K14229	sms:SMDSEM_126
ko:K14223	sms:SMDSEM_216
ko:K14228	sms:SMDSEM_164
ko:K14225	sms:SMDSEM_068
ko:K14232	sms:SMDSEM_151
ko:K01985	sms:SMDSEM_083
ko:K14221	sms:SMDSEM_125
ko:K14224	sms:SMDSEM_212
ko:K14225	sms:SMDSEM_090
ko:K14237	sms:SMDSEM_115
ko:K14228	sms:SMDSEM_163
ko:K14230	sms:SMDSEM_018
ko:K01977	sms:SMDSEM_079
ko:K01980	sms:SMDSEM_082
ko:K14230	sms:SMDSEM_170
ko:K14227	sms:SMDSEM_080
ko:K14222	sms:SMDSEM_030
ko:K14234	sms:SMDSEM_070
ko:K14236	sms:SMDSEM_069
ko:K14230	sms:SMDSEM_189
ko:K14220	sms:SMDSEM_021
ko:K14235	sms:SMDSEM_066
ko:K14219	sms:SMDSEM_150
ko:K14233	sms:SMDSEM_152
ko:K13788	sms:SMDSEM_112
ko:K15862	sms:SMDSEM_156
ko:K01653	sms:SMDSEM_276
ko:K03101	sms:SMDSEM_020
ko:K07052	sms:SMDSEM_162
ko:K18682	sms:SMDSEM_107
ko:K01978	sms:SMDSEM_279
ko:K15035	sms:SMDSEM_173
ko:K01696	sms:SMDSEM_130
ko:K01817	sms:SMDSEM_130
ko:K00184	sms:SMDSEM_072
ko:K17686	sms:SMDSEM_157
ko:K18707	sms:SMDSEM_141
ko:K10206	sms:SMDSEM_208
ko:K00821	sms:SMDSEM_119
