ko:K02495	senj:CFSAN001992_13695
ko:K13889	senj:CFSAN001992_07195
ko:K13892	senj:CFSAN001992_07200
ko:K13051	senj:CFSAN001992_07205
ko:K03750	senj:CFSAN001992_07210
ko:K04069	senj:CFSAN001992_07220
ko:K00656	senj:CFSAN001992_07225
ko:K11924	senj:CFSAN001992_07255
ko:K11934	senj:CFSAN001992_07270
ko:K11939	senj:CFSAN001992_07275
ko:K04047	senj:CFSAN001992_07280
ko:K10036	senj:CFSAN001992_07290
ko:K10037	senj:CFSAN001992_07295
ko:K11927	senj:CFSAN001992_07335
ko:K01993	senj:CFSAN001992_07345
ko:K06890	senj:CFSAN001992_07390
ko:K06890	senj:CFSAN001992_07395
ko:K03636	senj:CFSAN001992_07405
ko:K03637	senj:CFSAN001992_07410
ko:K03638	senj:CFSAN001992_07415
ko:K03639	senj:CFSAN001992_07420
ko:K03686	senj:CFSAN001992_10975
ko:K04043	senj:CFSAN001992_10980
ko:K03831	senj:CFSAN001992_11000
ko:K03310	senj:CFSAN001992_11010
ko:K09861	senj:CFSAN001992_11015
ko:K01733	senj:CFSAN001992_11020
ko:K00872	senj:CFSAN001992_11025
ko:K12524	senj:CFSAN001992_11030
ko:K07773	senj:CFSAN001992_11045
ko:K07347	senj:CFSAN001992_11070
ko:K06143	senj:CFSAN001992_11085
ko:K07641	senj:CFSAN001992_11090
ko:K07663	senj:CFSAN001992_11095
ko:K05805	senj:CFSAN001992_11100
ko:K05804	senj:CFSAN001992_11105
ko:K03720	senj:CFSAN001992_11120
ko:K08309	senj:CFSAN001992_11125
ko:K06211	senj:CFSAN001992_11135
ko:K04485	senj:CFSAN001992_11140
ko:K01079	senj:CFSAN001992_11145
ko:K03800	senj:CFSAN001992_11155
ko:K01839	senj:CFSAN001992_11190
ko:K07726	senj:CFSAN001992_14755
ko:K01223	senj:CFSAN001992_14770
ko:K07507	senj:CFSAN001992_14825
ko:K01531	senj:CFSAN001992_14830
ko:K01811	senj:CFSAN001992_14905
ko:K16345	senj:CFSAN001992_14915
ko:K03312	senj:CFSAN001992_14920
ko:K03655	senj:CFSAN001992_14925
ko:K00556	senj:CFSAN001992_14930
ko:K03060	senj:CFSAN001992_14940
ko:K00942	senj:CFSAN001992_14945
ko:K01972	senj:CFSAN001992_14950
ko:K00989	senj:CFSAN001992_14980
ko:K00762	senj:CFSAN001992_14985
ko:K05501	senj:CFSAN001992_14990
ko:K13038	senj:CFSAN001992_15000
ko:K03630	senj:CFSAN001992_15005
ko:K02902	senj:CFSAN001992_15010
ko:K01766	senj:CFSAN001992_18645
ko:K06968	senj:CFSAN001992_18665
ko:K02430	senj:CFSAN001992_18670
ko:K02431	senj:CFSAN001992_18675
ko:K01818	senj:CFSAN001992_18685
ko:K02429	senj:CFSAN001992_18690
ko:K01628	senj:CFSAN001992_18695
ko:K00048	senj:CFSAN001992_18700
ko:K01146	senj:CFSAN001992_18705
ko:K01752	senj:CFSAN001992_18710
ko:K03837	senj:CFSAN001992_18715
ko:K06966	senj:CFSAN001992_18720
ko:K06879	senj:CFSAN001992_18725
ko:K15723	senj:CFSAN001992_18730
ko:K06175	senj:CFSAN001992_18745
ko:K13918	senj:CFSAN001992_18760
ko:K01706	senj:CFSAN001992_18765
ko:K00865	senj:CFSAN001992_18770
ko:K07678	senj:CFSAN001992_18775
ko:K03215	senj:CFSAN001992_18780
ko:K01937	senj:CFSAN001992_18810
ko:K01689	senj:CFSAN001992_18815
ko:K10026	senj:CFSAN001992_18820
ko:K01737	senj:CFSAN001992_18830
ko:K00381	senj:CFSAN001992_18840
ko:K00390	senj:CFSAN001992_18845
ko:K09612	senj:CFSAN001992_18860
ko:K00957	senj:CFSAN001992_18865
ko:K00860	senj:CFSAN001992_18875
ko:K05589	senj:CFSAN001992_18885
ko:K16787	senj:CFSAN001992_18190
ko:K16786	senj:CFSAN001992_18195
ko:K16785	senj:CFSAN001992_18200
ko:K03604	senj:CFSAN001992_04450
ko:K16923	senj:CFSAN001992_18205
ko:K09477	senj:CFSAN001992_08240
ko:K01420	senj:CFSAN001992_03220
ko:K14233	senj:CFSAN001992t22352
ko:K14233	senj:CFSAN001992t22356
ko:K14218	senj:CFSAN001992t22484
ko:K14218	senj:CFSAN001992t22486
ko:K00040	senj:CFSAN001992_17870
ko:K00151	senj:CFSAN001992_06135
ko:K00821	senj:CFSAN001992_16235
ko:K00951	senj:CFSAN001992_18785
ko:K04017	senj:CFSAN001992_12470
ko:K03779	senj:CFSAN001992_16775
ko:K14233	senj:CFSAN001992t22332
ko:K16868	senj:CFSAN001992_03495
ko:K03620	senj:CFSAN001992_03900
ko:K04653	senj:CFSAN001992_03910
ko:K03619	senj:CFSAN001992_03915
ko:K03618	senj:CFSAN001992_03920
ko:K04651	senj:CFSAN001992_03930
ko:K01425	senj:CFSAN001992_03955
ko:K08324	senj:CFSAN001992_03960
ko:K08159	senj:CFSAN001992_03970
ko:K03712	senj:CFSAN001992_03980
ko:K13632	senj:CFSAN001992_03985
ko:K15268	senj:CFSAN001992_03990
ko:K01284	senj:CFSAN001992_04020
ko:K16066	senj:CFSAN001992_04025
ko:K08322	senj:CFSAN001992_04050
ko:K08323	senj:CFSAN001992_04055
ko:K09771	senj:CFSAN001992_04060
ko:K03562	senj:CFSAN001992_07655
ko:K07107	senj:CFSAN001992_07660
ko:K00426	senj:CFSAN001992_07675
ko:K00425	senj:CFSAN001992_07680
ko:K01902	senj:CFSAN001992_07695
ko:K01903	senj:CFSAN001992_07700
ko:K00658	senj:CFSAN001992_07705
ko:K00164	senj:CFSAN001992_07710
ko:K00240	senj:CFSAN001992_07715
ko:K00239	senj:CFSAN001992_07720
ko:K00242	senj:CFSAN001992_07725
ko:K01647	senj:CFSAN001992_07735
ko:K07357	senj:CFSAN001992_07810
ko:K07160	senj:CFSAN001992_07815
ko:K03305	senj:CFSAN001992_07835
ko:K01669	senj:CFSAN001992_07840
ko:K01546	senj:CFSAN001992_07855
ko:K01547	senj:CFSAN001992_07860
ko:K01548	senj:CFSAN001992_07865
ko:K07646	senj:CFSAN001992_07870
ko:K07667	senj:CFSAN001992_07875
ko:K01581	senj:CFSAN001992_07885
ko:K09982	senj:CFSAN001992_11455
ko:K07454	senj:CFSAN001992_11470
ko:K03427	senj:CFSAN001992_11490
ko:K01154	senj:CFSAN001992_11495
ko:K01153	senj:CFSAN001992_11510
ko:K07043	senj:CFSAN001992_11515
ko:K03427	senj:CFSAN001992_11520
ko:K12957	senj:CFSAN001992_11540
ko:K00098	senj:CFSAN001992_11550
ko:K06157	senj:CFSAN001992_11560
ko:K06146	senj:CFSAN001992_11565
ko:K11720	senj:CFSAN001992_11570
ko:K07091	senj:CFSAN001992_11575
ko:K01255	senj:CFSAN001992_11580
ko:K02339	senj:CFSAN001992_11585
ko:K01873	senj:CFSAN001992_11590
ko:K03828	senj:CFSAN001992_11600
ko:K06169	senj:CFSAN001992_11615
ko:K09893	senj:CFSAN001992_11620
ko:K00611	senj:CFSAN001992_11625
ko:K00926	senj:CFSAN001992_11640
ko:K00611	senj:CFSAN001992_11645
ko:K00609	senj:CFSAN001992_11670
ko:K00610	senj:CFSAN001992_11675
ko:K01531	senj:CFSAN001992_11690
ko:K03485	senj:CFSAN001992_11695
ko:K00880	senj:CFSAN001992_15275
ko:K08092	senj:CFSAN001992_15305
ko:K00835	senj:CFSAN001992_15320
ko:K02529	senj:CFSAN001992_15335
ko:K01805	senj:CFSAN001992_15340
ko:K01878	senj:CFSAN001992_15365
ko:K01879	senj:CFSAN001992_15370
ko:K03704	senj:CFSAN001992_15410
ko:K07726	senj:CFSAN001992_15415
ko:K03826	senj:CFSAN001992_15440
ko:K01246	senj:CFSAN001992_15445
ko:K12975	senj:CFSAN001992_15455
ko:K12368	senj:CFSAN001992_15475
ko:K12369	senj:CFSAN001992_15480
ko:K12370	senj:CFSAN001992_15485
ko:K12371	senj:CFSAN001992_15490
ko:K03221	senj:CFSAN001992_19160
ko:K11606	senj:CFSAN001992_19215
ko:K11605	senj:CFSAN001992_19220
ko:K15836	senj:CFSAN001992_19240
ko:K04654	senj:CFSAN001992_19250
ko:K04653	senj:CFSAN001992_19255
ko:K04651	senj:CFSAN001992_19265
ko:K15833	senj:CFSAN001992_19270
ko:K15827	senj:CFSAN001992_19275
ko:K15828	senj:CFSAN001992_19280
ko:K15829	senj:CFSAN001992_19285
ko:K15830	senj:CFSAN001992_19290
ko:K15831	senj:CFSAN001992_19295
ko:K15832	senj:CFSAN001992_19300
ko:K15834	senj:CFSAN001992_19305
ko:K08315	senj:CFSAN001992_19310
ko:K05796	senj:CFSAN001992_19320
ko:K04656	senj:CFSAN001992_19325
ko:K12265	senj:CFSAN001992_19330
ko:K12264	senj:CFSAN001992_19335
ko:K12266	senj:CFSAN001992_19340
ko:K02467	senj:CFSAN001992_19345
ko:K02468	senj:CFSAN001992_19350
ko:K02781	senj:CFSAN001992_19365
ko:K02008	senj:CFSAN001992_01330
ko:K00765	senj:CFSAN001992_01075
ko:K01141	senj:CFSAN001992_01095
ko:K08354	senj:CFSAN001992_01120
ko:K07470	senj:CFSAN001992_01130
ko:K09802	senj:CFSAN001992_01140
ko:K16651	senj:CFSAN001992_01145
ko:K04029	senj:CFSAN001992_01155
ko:K04031	senj:CFSAN001992_01160
ko:K07156	senj:CFSAN001992_02060
ko:K03808	senj:CFSAN001992_02230
ko:K03607	senj:CFSAN001992_02240
ko:K03797	senj:CFSAN001992_02245
ko:K03799	senj:CFSAN001992_02250
ko:K08169	senj:CFSAN001992_02255
ko:K03704	senj:CFSAN001992_02290
ko:K03587	senj:CFSAN001992_02295
ko:K00563	senj:CFSAN001992_02300
ko:K13821	senj:CFSAN001992_06030
ko:K03809	senj:CFSAN001992_06050
ko:K01085	senj:CFSAN001992_06060
ko:K05516	senj:CFSAN001992_06085
ko:K02508	senj:CFSAN001992_06105
ko:K02511	senj:CFSAN001992_06110
ko:K02509	senj:CFSAN001992_06120
ko:K00455	senj:CFSAN001992_06130
ko:K05921	senj:CFSAN001992_06140
ko:K07127	senj:CFSAN001992_06160
ko:K06079	senj:CFSAN001992_09770
ko:K15034	senj:CFSAN001992_09775
ko:K04075	senj:CFSAN001992_09795
ko:K01962	senj:CFSAN001992_09815
ko:K02337	senj:CFSAN001992_09820
ko:K03470	senj:CFSAN001992_09825
ko:K00748	senj:CFSAN001992_09830
ko:K00677	senj:CFSAN001992_09835
ko:K02372	senj:CFSAN001992_09840
ko:K02536	senj:CFSAN001992_09845
ko:K06142	senj:CFSAN001992_09850
ko:K07277	senj:CFSAN001992_09855
ko:K11749	senj:CFSAN001992_09860
ko:K00981	senj:CFSAN001992_09865
ko:K00099	senj:CFSAN001992_09880
ko:K02838	senj:CFSAN001992_09885
ko:K09903	senj:CFSAN001992_09890
ko:K02357	senj:CFSAN001992_09895
ko:K02967	senj:CFSAN001992_09900
ko:K01265	senj:CFSAN001992_09905
ko:K00990	senj:CFSAN001992_09910
ko:K02647	senj:CFSAN001992_09940
ko:K01129	senj:CFSAN001992_09950
ko:K15724	senj:CFSAN001992_09970
ko:K03281	senj:CFSAN001992_09975
ko:K01845	senj:CFSAN001992_09980
ko:K02015	senj:CFSAN001992_09985
ko:K02016	senj:CFSAN001992_09990
ko:K02013	senj:CFSAN001992_09995
ko:K05365	senj:CFSAN001992_10010
ko:K07058	senj:CFSAN001992_13575
ko:K08318	senj:CFSAN001992_13600
ko:K01671	senj:CFSAN001992_13605
ko:K15922	senj:CFSAN001992_13620
ko:K06207	senj:CFSAN001992_13670
ko:K01915	senj:CFSAN001992_13680
ko:K07708	senj:CFSAN001992_13685
ko:K07712	senj:CFSAN001992_13690
ko:K09894	senj:CFSAN001992_13700
ko:K03978	senj:CFSAN001992_13710
ko:K03673	senj:CFSAN001992_13725
ko:K09896	senj:CFSAN001992_13735
ko:K03752	senj:CFSAN001992_13740
ko:K03753	senj:CFSAN001992_13745
ko:K01825	senj:CFSAN001992_13770
ko:K05368	senj:CFSAN001992_13785
ko:K03182	senj:CFSAN001992_13790
ko:K03424	senj:CFSAN001992_13800
ko:K03118	senj:CFSAN001992_13805
ko:K03117	senj:CFSAN001992_13810
ko:K07043	senj:CFSAN001992_17430
ko:K11391	senj:CFSAN001992_17435
ko:K07229	senj:CFSAN001992_17465
ko:K03086	senj:CFSAN001992_17475
ko:K02970	senj:CFSAN001992_17485
ko:K08591	senj:CFSAN001992_17500
ko:K01633	senj:CFSAN001992_17505
ko:K06153	senj:CFSAN001992_17510
ko:K07184	senj:CFSAN001992_17520
ko:K00982	senj:CFSAN001992_17530
ko:K03272	senj:CFSAN001992_17535
ko:K03611	senj:CFSAN001992_17565
ko:K03673	senj:CFSAN001992_17570
ko:K07238	senj:CFSAN001992_17585
ko:K12340	senj:CFSAN001992_17605
ko:K09920	senj:CFSAN001992_17615
ko:K03651	senj:CFSAN001992_17620
ko:K07000	senj:CFSAN001992_17625
ko:K02622	senj:CFSAN001992_17630
ko:K03923	senj:CFSAN001992_17640
ko:K02045	senj:CFSAN001992_21365
ko:K12339	senj:CFSAN001992_21375
ko:K01951	senj:CFSAN001992_21385
ko:K00868	senj:CFSAN001992_21395
ko:K01738	senj:CFSAN001992_21425
ko:K06203	senj:CFSAN001992_21430
ko:K03528	senj:CFSAN001992_21435
ko:K01972	senj:CFSAN001992_21440
ko:K09954	senj:CFSAN001992_21445
ko:K14347	senj:CFSAN001992_21450
ko:K03815	senj:CFSAN001992_21465
ko:K11537	senj:CFSAN001992_21470
ko:K11535	senj:CFSAN001992_21505
ko:K03322	senj:CFSAN001992_21510
ko:K11202	senj:CFSAN001992_21545
ko:K11203	senj:CFSAN001992_21550
ko:K02195	senj:CFSAN001992_00180
ko:K02196	senj:CFSAN001992_00185
ko:K02197	senj:CFSAN001992_00190
ko:K02198	senj:CFSAN001992_00195
ko:K02199	senj:CFSAN001992_00200
ko:K07685	senj:CFSAN001992_00210
ko:K07014	senj:CFSAN001992_00225
ko:K09904	senj:CFSAN001992_00230
ko:K06899	senj:CFSAN001992_00235
ko:K02897	senj:CFSAN001992_00240
ko:K07552	senj:CFSAN001992_00255
ko:K13896	senj:CFSAN001992_00265
ko:K13895	senj:CFSAN001992_00270
ko:K13894	senj:CFSAN001992_00275
ko:K13893	senj:CFSAN001992_00280
ko:K13694	senj:CFSAN001992_00290
ko:K02356	senj:CFSAN001992_00305
ko:K06940	senj:CFSAN001992_00310
ko:K07309	senj:CFSAN001992_04085
ko:K07310	senj:CFSAN001992_04090
ko:K05846	senj:CFSAN001992_04110
ko:K05845	senj:CFSAN001992_04115
ko:K05846	senj:CFSAN001992_04120
ko:K05847	senj:CFSAN001992_04125
ko:K03281	senj:CFSAN001992_04130
ko:K01935	senj:CFSAN001992_04135
ko:K15545	senj:CFSAN001992_04140
ko:K08224	senj:CFSAN001992_04150
ko:K04775	senj:CFSAN001992_04160
ko:K11742	senj:CFSAN001992_04165
ko:K11743	senj:CFSAN001992_04170
ko:K11744	senj:CFSAN001992_04175
ko:K00325	senj:CFSAN001992_04180
ko:K00324	senj:CFSAN001992_04185
ko:K03758	senj:CFSAN001992_04195
ko:K07661	senj:CFSAN001992_04205
ko:K07639	senj:CFSAN001992_04225
ko:K01676	senj:CFSAN001992_04240
ko:K01809	senj:CFSAN001992_04245
ko:K16136	senj:CFSAN001992_04255
ko:K14155	senj:CFSAN001992_04265
ko:K03645	senj:CFSAN001992_07910
ko:K03839	senj:CFSAN001992_07925
ko:K13794	senj:CFSAN001992_07935
ko:K13796	senj:CFSAN001992_07940
ko:K13795	senj:CFSAN001992_07945
ko:K13922	senj:CFSAN001992_01180
ko:K13920	senj:CFSAN001992_01225
ko:K13919	senj:CFSAN001992_01230
ko:K02224	senj:CFSAN001992_01260
ko:K02227	senj:CFSAN001992_01265
ko:K06042	senj:CFSAN001992_01270
ko:K02188	senj:CFSAN001992_01275
ko:K02191	senj:CFSAN001992_01285
ko:K05936	senj:CFSAN001992_01290
ko:K02189	senj:CFSAN001992_01295
ko:K05895	senj:CFSAN001992_01305
ko:K03394	senj:CFSAN001992_01315
ko:K02761	senj:CFSAN001992_05030
ko:K02760	senj:CFSAN001992_05035
ko:K04064	senj:CFSAN001992_05040
ko:K05984	senj:CFSAN001992_05050
ko:K05526	senj:CFSAN001992_05060
ko:K01484	senj:CFSAN001992_05065
ko:K06447	senj:CFSAN001992_05070
ko:K00673	senj:CFSAN001992_05075
ko:K00840	senj:CFSAN001992_05080
ko:K01142	senj:CFSAN001992_05085
ko:K08320	senj:CFSAN001992_05090
ko:K00262	senj:CFSAN001992_05100
ko:K01008	senj:CFSAN001992_05110
ko:K04773	senj:CFSAN001992_05120
ko:K08281	senj:CFSAN001992_05130
ko:K09916	senj:CFSAN001992_05135
ko:K00134	senj:CFSAN001992_05145
ko:K01792	senj:CFSAN001992_05155
ko:K06871	senj:CFSAN001992_05165
ko:K07180	senj:CFSAN001992_05175
ko:K09786	senj:CFSAN001992_05180
ko:K03449	senj:CFSAN001992_05210
ko:K09712	senj:CFSAN001992_05225
ko:K11250	senj:CFSAN001992_05250
ko:K02919	senj:CFSAN001992_08860
ko:K02909	senj:CFSAN001992_08865
ko:K07443	senj:CFSAN001992_08875
ko:K09914	senj:CFSAN001992_08880
ko:K10805	senj:CFSAN001992_08885
ko:K03320	senj:CFSAN001992_08890
ko:K04752	senj:CFSAN001992_08895
ko:K05800	senj:CFSAN001992_08910
ko:K01738	senj:CFSAN001992_08915
ko:K11938	senj:CFSAN001992_08920
ko:K06920	senj:CFSAN001992_08930
ko:K12500	senj:CFSAN001992_08935
ko:K02237	senj:CFSAN001992_08940
ko:K03770	senj:CFSAN001992_08945
ko:K03530	senj:CFSAN001992_08950
ko:K01338	senj:CFSAN001992_08955
ko:K03544	senj:CFSAN001992_08960
ko:K01358	senj:CFSAN001992_08965
ko:K03545	senj:CFSAN001992_08970
ko:K05527	senj:CFSAN001992_08975
ko:K07286	senj:CFSAN001992_08980
ko:K08218	senj:CFSAN001992_08985
ko:K02297	senj:CFSAN001992_08990
ko:K02298	senj:CFSAN001992_08995
ko:K02299	senj:CFSAN001992_09000
ko:K02300	senj:CFSAN001992_09005
ko:K09767	senj:CFSAN001992_09020
ko:K00077	senj:CFSAN001992_09025
ko:K03152	senj:CFSAN001992_09030
ko:K05306	senj:CFSAN001992_09035
ko:K03430	senj:CFSAN001992_09040
ko:K11081	senj:CFSAN001992_09050
ko:K11084	senj:CFSAN001992_09055
ko:K11083	senj:CFSAN001992_09060
ko:K11082	senj:CFSAN001992_09065
ko:K03151	senj:CFSAN001992_09070
ko:K03602	senj:CFSAN001992_09075
ko:K00795	senj:CFSAN001992_09080
ko:K01662	senj:CFSAN001992_09085
ko:K05539	senj:CFSAN001992_12665
ko:K09823	senj:CFSAN001992_12675
ko:K03327	senj:CFSAN001992_12685
ko:K01356	senj:CFSAN001992_12690
ko:K00901	senj:CFSAN001992_12695
