ko:K18929	cjeu:N565_00068
ko:K11752	cjeu:N565_01648
ko:K01752	cjeu:N565_01650
ko:K03837	cjeu:N565_01651
ko:K03561	cjeu:N565_01654
ko:K03832	cjeu:N565_01656
ko:K00566	cjeu:N565_01658
ko:K01736	cjeu:N565_01659
ko:K03685	cjeu:N565_01660
ko:K01928	cjeu:N565_01666
ko:K09747	cjeu:N565_01667
ko:K00795	cjeu:N565_01669
ko:K00615	cjeu:N565_01670
ko:K02066	cjeu:N565_01671
ko:K02065	cjeu:N565_01672
ko:K00763	cjeu:N565_00211
ko:K00762	cjeu:N565_00214
ko:K02838	cjeu:N565_00215
ko:K03075	cjeu:N565_00216
ko:K01673	cjeu:N565_00218
ko:K16052	cjeu:N565_00219
ko:K13819	cjeu:N565_00220
ko:K04487	cjeu:N565_00221
ko:K02916	cjeu:N565_00224
ko:K02887	cjeu:N565_00225
ko:K03637	cjeu:N565_00233
ko:K01142	cjeu:N565_00236
ko:K03760	cjeu:N565_00237
ko:K00901	cjeu:N565_00238
ko:K01465	cjeu:N565_00240
ko:K07238	cjeu:N565_00243
ko:K03532	cjeu:N565_00246
ko:K00826	cjeu:N565_00250
ko:K01821	cjeu:N565_00251
ko:K03564	cjeu:N565_00252
ko:K09765	cjeu:N565_00253
ko:K02372	cjeu:N565_00254
ko:K00677	cjeu:N565_00255
ko:K03544	cjeu:N565_00256
ko:K03569	cjeu:N565_00257
ko:K03570	cjeu:N565_00258
ko:K01955	cjeu:N565_00259
ko:K01079	cjeu:N565_00262
ko:K03408	cjeu:N565_00263
ko:K06895	cjeu:N565_01062
ko:K12410	cjeu:N565_01063
ko:K07456	cjeu:N565_01065
ko:K01924	cjeu:N565_01067
ko:K03602	cjeu:N565_01070
ko:K01870	cjeu:N565_01073
ko:K00995	cjeu:N565_01078
ko:K11749	cjeu:N565_01079
ko:K02990	cjeu:N565_01083
ko:K02963	cjeu:N565_01085
ko:K01338	cjeu:N565_01086
ko:K05807	cjeu:N565_01087
ko:K00286	cjeu:N565_01088
ko:K00788	cjeu:N565_01093
ko:K00941	cjeu:N565_01094
ko:K06923	cjeu:N565_01096
ko:K03723	cjeu:N565_01097
ko:K11754	cjeu:N565_01099
ko:K01869	cjeu:N565_01102
ko:K03074	cjeu:N565_01103
ko:K03072	cjeu:N565_01104
ko:K03210	cjeu:N565_01105
ko:K03820	cjeu:N565_01106
ko:K00789	cjeu:N565_01107
ko:K07862	cjeu:N565_01108
ko:K00609	cjeu:N565_01109
ko:K08602	cjeu:N565_01110
ko:K00177	cjeu:N565_00572
ko:K02523	cjeu:N565_00575
ko:K02492	cjeu:N565_00576
ko:K01881	cjeu:N565_00577
ko:K01649	cjeu:N565_00578
ko:K01749	cjeu:N565_00579
ko:K03182	cjeu:N565_00580
ko:K02407	cjeu:N565_00582
ko:K02422	cjeu:N565_00583
ko:K02356	cjeu:N565_00585
ko:K02500	cjeu:N565_01371
ko:K02501	cjeu:N565_01372
ko:K02456	cjeu:N565_01379
ko:K00099	cjeu:N565_01382
ko:K00981	cjeu:N565_01383
ko:K03752	cjeu:N565_01386
ko:K01058	cjeu:N565_01387
ko:K02015	cjeu:N565_01388
ko:K02015	cjeu:N565_01389
ko:K02013	cjeu:N565_01390
ko:K02016	cjeu:N565_01391
ko:K03385	cjeu:N565_01394
ko:K15876	cjeu:N565_01395
ko:K00937	cjeu:N565_01396
ko:K03407	cjeu:N565_01397
ko:K03551	cjeu:N565_01398
ko:K00820	cjeu:N565_01402
ko:K00990	cjeu:N565_01403
ko:K06901	cjeu:N565_01405
ko:K04754	cjeu:N565_01407
ko:K07323	cjeu:N565_01408
ko:K01042	cjeu:N565_01414
ko:K03833	cjeu:N565_01415
ko:K03981	cjeu:N565_01416
ko:K03839	cjeu:N565_01418
ko:K14219	cjeu:N565_01024
ko:K00147	cjeu:N565_00592
ko:K00384	cjeu:N565_00593
ko:K14652	cjeu:N565_00606
ko:K09117	cjeu:N565_00607
ko:K01652	cjeu:N565_00608
ko:K01653	cjeu:N565_00609
ko:K02536	cjeu:N565_00610
ko:K07568	cjeu:N565_00611
ko:K03118	cjeu:N565_00612
ko:K03117	cjeu:N565_00613
ko:K08311	cjeu:N565_00615
ko:K00928	cjeu:N565_00616
ko:K02341	cjeu:N565_00618
ko:K00796	cjeu:N565_00619
ko:K01972	cjeu:N565_00620
ko:K06442	cjeu:N565_00622
ko:K11753	cjeu:N565_00623
ko:K15256	cjeu:N565_00624
ko:K01173	cjeu:N565_00628
ko:K10773	cjeu:N565_00629
ko:K01624	cjeu:N565_00631
ko:K02557	cjeu:N565_00633
ko:K03308	cjeu:N565_00635
ko:K04084	cjeu:N565_00637
ko:K13888	cjeu:N565_00641
ko:K05685	cjeu:N565_00642
ko:K03781	cjeu:N565_01421
ko:K01756	cjeu:N565_01430
ko:K04758	cjeu:N565_01433
ko:K00208	cjeu:N565_01437
ko:K01803	cjeu:N565_01438
ko:K00927	cjeu:N565_01439
ko:K00134	cjeu:N565_01440
ko:K00969	cjeu:N565_01441
ko:K09710	cjeu:N565_01442
ko:K15778	cjeu:N565_01444
ko:K02415	cjeu:N565_01445
ko:K00997	cjeu:N565_01446
ko:K07265	cjeu:N565_01450
ko:K07266	cjeu:N565_01451
ko:K00860	cjeu:N565_01452
ko:K07010	cjeu:N565_01454
ko:K03271	cjeu:N565_01461
ko:K02377	cjeu:N565_01466
ko:K01790	cjeu:N565_01468
ko:K02313	cjeu:N565_00001
ko:K02338	cjeu:N565_00002
ko:K02470	cjeu:N565_00003
ko:K07084	cjeu:N565_00006
ko:K00266	cjeu:N565_00009
ko:K03470	cjeu:N565_00010
ko:K02237	cjeu:N565_00011
ko:K01687	cjeu:N565_00013
ko:K08996	cjeu:N565_00014
ko:K07023	cjeu:N565_00015
ko:K06920	cjeu:N565_00016
ko:K00428	cjeu:N565_00019
ko:K06180	cjeu:N565_00021
ko:K01756	cjeu:N565_00022
ko:K06956	cjeu:N565_00024
ko:K01937	cjeu:N565_00026
ko:K07462	cjeu:N565_00027
ko:K07552	cjeu:N565_00033
ko:K06207	cjeu:N565_00037
ko:K02389	cjeu:N565_00040
ko:K02390	cjeu:N565_00041
ko:K03319	cjeu:N565_00045
ko:K00566	cjeu:N565_00048
ko:K06966	cjeu:N565_00049
ko:K01682	cjeu:N565_00855
ko:K01772	cjeu:N565_00857
ko:K01874	cjeu:N565_00858
ko:K03841	cjeu:N565_00860
ko:K03753	cjeu:N565_00861
ko:K08309	cjeu:N565_00862
ko:K02221	cjeu:N565_00863
ko:K01613	cjeu:N565_00866
ko:K04061	cjeu:N565_00867
ko:K01845	cjeu:N565_00872
ko:K01491	cjeu:N565_00874
ko:K03100	cjeu:N565_00875
ko:K03750	cjeu:N565_00876
ko:K00790	cjeu:N565_00877
ko:K03611	cjeu:N565_00883
ko:K03673	cjeu:N565_00887
ko:K02400	cjeu:N565_00893
ko:K02956	cjeu:N565_00895
ko:K03466	cjeu:N565_00896
ko:K02397	cjeu:N565_00897
ko:K15738	cjeu:N565_00900
ko:K02945	cjeu:N565_00905
ko:K01265	cjeu:N565_01676
ko:K01776	cjeu:N565_01677
ko:K03313	cjeu:N565_01679
ko:K07243	cjeu:N565_01682
ko:K07230	cjeu:N565_01683
ko:K02003	cjeu:N565_01687
ko:K01689	cjeu:N565_01700
ko:K02420	cjeu:N565_01703
ko:K00075	cjeu:N565_01704
ko:K01647	cjeu:N565_01710
ko:K01012	cjeu:N565_01712
ko:K03168	cjeu:N565_01713
ko:K03076	cjeu:N565_01716
ko:K02876	cjeu:N565_01717
ko:K02988	cjeu:N565_01718
ko:K02881	cjeu:N565_01719
ko:K02933	cjeu:N565_01720
ko:K02994	cjeu:N565_01721
ko:K02954	cjeu:N565_01722
ko:K02931	cjeu:N565_01723
ko:K02895	cjeu:N565_01724
ko:K02874	cjeu:N565_01725
ko:K02961	cjeu:N565_01726
ko:K02904	cjeu:N565_01727
ko:K02878	cjeu:N565_01728
ko:K03407	cjeu:N565_00264
ko:K03415	cjeu:N565_00265
ko:K03269	cjeu:N565_00266
ko:K03624	cjeu:N565_00267
ko:K00748	cjeu:N565_00268
ko:K03787	cjeu:N565_00273
ko:K01579	cjeu:N565_00276
ko:K01918	cjeu:N565_00277
ko:K00606	cjeu:N565_00278
ko:K01150	cjeu:N565_00293
ko:K03657	cjeu:N565_01112
ko:K03563	cjeu:N565_01114
ko:K00919	cjeu:N565_01115
ko:K03664	cjeu:N565_01116
ko:K06891	cjeu:N565_01118
ko:K03694	cjeu:N565_01119
ko:K00684	cjeu:N565_01120
ko:K17103	cjeu:N565_01125
ko:K01613	cjeu:N565_01126
ko:K03798	cjeu:N565_01127
ko:K02687	cjeu:N565_01128
ko:K03413	cjeu:N565_01129
ko:K07501	cjeu:N565_01143
ko:K02841	cjeu:N565_01144
ko:K02517	cjeu:N565_01145
ko:K03271	cjeu:N565_01157
ko:K03272	cjeu:N565_01158
ko:K03274	cjeu:N565_01159
ko:K09795	cjeu:N565_00645
ko:K02217	cjeu:N565_00647
ko:K02040	cjeu:N565_00648
ko:K02037	cjeu:N565_00649
ko:K02038	cjeu:N565_00650
ko:K02036	cjeu:N565_00651
ko:K07043	cjeu:N565_00654
ko:K04656	cjeu:N565_00656
ko:K04653	cjeu:N565_00658
ko:K04654	cjeu:N565_00659
ko:K04651	cjeu:N565_00661
ko:K02340	cjeu:N565_00664
ko:K12573	cjeu:N565_00665
ko:K00053	cjeu:N565_00666
ko:K09798	cjeu:N565_00667
ko:K04096	cjeu:N565_00668
ko:K07447	cjeu:N565_00669
ko:K01876	cjeu:N565_00674
ko:K00858	cjeu:N565_00675
ko:K03631	cjeu:N565_00676
ko:K03424	cjeu:N565_00678
ko:K08307	cjeu:N565_00679
ko:K03642	cjeu:N565_00680
ko:K03270	cjeu:N565_00681
ko:K09774	cjeu:N565_00683
ko:K03978	cjeu:N565_00684
ko:K05515	cjeu:N565_00686
ko:K03305	cjeu:N565_00688
ko:K03667	cjeu:N565_00694
ko:K01419	cjeu:N565_00695
ko:K00012	cjeu:N565_01474
ko:K06041	cjeu:N565_01476
ko:K10107	cjeu:N565_01478
ko:K09689	cjeu:N565_01479
ko:K09688	cjeu:N565_01480
ko:K09979	cjeu:N565_01481
ko:K04075	cjeu:N565_01485
ko:K02836	cjeu:N565_01487
ko:K06176	cjeu:N565_01489
ko:K00946	cjeu:N565_01490
ko:K02394	cjeu:N565_01494
ko:K02396	cjeu:N565_01498
ko:K07090	cjeu:N565_01500
ko:K02455	cjeu:N565_01501
ko:K01714	cjeu:N565_01504
ko:K02453	cjeu:N565_01505
ko:K03737	cjeu:N565_01507
ko:K01091	cjeu:N565_01508
ko:K02996	cjeu:N565_01510
ko:K02871	cjeu:N565_01511
ko:K03582	cjeu:N565_01512
ko:K00406	cjeu:N565_01517
ko:K00407	cjeu:N565_01518
ko:K00405	cjeu:N565_01519
ko:K00404	cjeu:N565_01520
ko:K17686	cjeu:N565_01163
ko:K02018	cjeu:N565_00336
ko:K02020	cjeu:N565_00338
ko:K02169	cjeu:N565_00339
ko:K09789	cjeu:N565_00340
ko:K00833	cjeu:N565_00342
ko:K01935	cjeu:N565_00343
ko:K02897	cjeu:N565_00346
ko:K01056	cjeu:N565_00347
ko:K11720	cjeu:N565_00348
ko:K01586	cjeu:N565_00349
ko:K14170	cjeu:N565_00351
ko:K00817	cjeu:N565_00352
ko:K02409	cjeu:N565_00353
ko:K02410	cjeu:N565_00354
ko:K02411	cjeu:N565_00355
ko:K01662	cjeu:N565_00356
ko:K03183	cjeu:N565_00359
ko:K03601	cjeu:N565_00360
ko:K00831	cjeu:N565_00361
ko:K00648	cjeu:N565_00363
ko:K03621	cjeu:N565_00364
ko:K02939	cjeu:N565_00696
ko:K01940	cjeu:N565_00697
ko:K06925	cjeu:N565_00699
ko:K06861	cjeu:N565_00700
ko:K03092	cjeu:N565_00701
ko:K01547	cjeu:N565_00705
ko:K07646	cjeu:N565_00707
ko:K03702	cjeu:N565_00708
ko:K02456	cjeu:N565_00711
ko:K04066	cjeu:N565_00712
ko:K02393	cjeu:N565_00715
ko:K13788	cjeu:N565_00716
ko:K00925	cjeu:N565_00717
ko:K03438	cjeu:N565_00722
ko:K03770	cjeu:N565_00723
ko:K03590	cjeu:N565_00724
ko:K03531	cjeu:N565_00725
ko:K02392	cjeu:N565_00726
ko:K02392	cjeu:N565_00727
ko:K01915	cjeu:N565_00728
ko:K08303	cjeu:N565_00730
ko:K01588	cjeu:N565_00731
ko:K01878	cjeu:N565_00733
ko:K07164	cjeu:N565_00735
ko:K02527	cjeu:N565_00736
ko:K06180	cjeu:N565_00737
ko:K03106	cjeu:N565_00738
ko:K02959	cjeu:N565_00739
ko:K06960	cjeu:N565_00740
ko:K02860	cjeu:N565_00741
ko:K00554	cjeu:N565_00742
ko:K02884	cjeu:N565_00743
ko:K07127	cjeu:N565_00744
ko:K01626	cjeu:N565_00745
ko:K02337	cjeu:N565_00747
ko:K06997	cjeu:N565_00748
ko:K02406	cjeu:N565_00749
ko:K09792	cjeu:N565_01523
ko:K01956	cjeu:N565_01524
ko:K09804	cjeu:N565_01525
ko:K01939	cjeu:N565_01528
ko:K07112	cjeu:N565_01530
ko:K13821	cjeu:N565_01533
ko:K01008	cjeu:N565_01534
ko:K02379	cjeu:N565_01538
ko:K00123	cjeu:N565_01541
ko:K00123	cjeu:N565_01542
ko:K13747	cjeu:N565_01545
ko:K03636	cjeu:N565_01547
ko:K03750	cjeu:N565_01549
ko:K01933	cjeu:N565_01556
ko:K00859	cjeu:N565_01557
ko:K01778	cjeu:N565_01558
ko:K07133	cjeu:N565_01560
ko:K04047	cjeu:N565_01561
ko:K01810	cjeu:N565_01562
ko:K00963	cjeu:N565_01563
ko:K01895	cjeu:N565_01564
ko:K05773	cjeu:N565_01566
ko:K05772	cjeu:N565_01567
ko:K07160	cjeu:N565_01568
ko:K02417	cjeu:N565_00055
ko:K02416	cjeu:N565_00056
ko:K02405	cjeu:N565_00057
ko:K04562	cjeu:N565_00059
ko:K02404	cjeu:N565_00060
ko:K00950	cjeu:N565_00061
ko:K04773	cjeu:N565_00063
ko:K00782	cjeu:N565_00067
ko:K03303	cjeu:N565_00070
ko:K00425	cjeu:N565_00075
ko:K00426	cjeu:N565_00076
ko:K01779	cjeu:N565_00077
ko:K03648	cjeu:N565_00078
ko:K01744	cjeu:N565_00079
ko:K07791	cjeu:N565_00080
ko:K09859	cjeu:N565_00081
ko:K07337	cjeu:N565_00083
ko:K02888	cjeu:N565_00086
ko:K02899	cjeu:N565_00087
ko:K03979	cjeu:N565_00088
ko:K00931	cjeu:N565_00089
ko:K00604	cjeu:N565_00090
ko:K03524	cjeu:N565_00091
ko:K02109	cjeu:N565_00094
ko:K02109	cjeu:N565_00095
ko:K02113	cjeu:N565_00096
ko:K02111	cjeu:N565_00097
ko:K02115	cjeu:N565_00098
ko:K02112	cjeu:N565_00099
ko:K02114	cjeu:N565_00100
ko:K03832	cjeu:N565_00103
ko:K03641	cjeu:N565_00104
ko:K03527	cjeu:N565_00906
ko:K00800	cjeu:N565_00907
ko:K01890	cjeu:N565_00908
ko:K01889	cjeu:N565_00909
ko:K02503	cjeu:N565_00910
ko:K03152	cjeu:N565_00911
ko:K02029	cjeu:N565_00912
ko:K03310	cjeu:N565_00914
ko:K03216	cjeu:N565_00915
ko:K01775	cjeu:N565_00916
ko:K07152	cjeu:N565_00921
ko:K01738	cjeu:N565_00922
ko:K03530	cjeu:N565_00923
ko:K10806	cjeu:N565_00925
ko:K06200	cjeu:N565_00927
ko:K00948	cjeu:N565_00928
ko:K10040	cjeu:N565_00929
ko:K10040	cjeu:N565_00930
ko:K10039	cjeu:N565_00931
ko:K02911	cjeu:N565_00365
ko:K00940	cjeu:N565_00367
ko:K02401	cjeu:N565_00370
ko:K02557	cjeu:N565_00371
ko:K03273	cjeu:N565_01160
ko:K03628	cjeu:N565_01164
ko:K02343	cjeu:N565_01165
ko:K00316	cjeu:N565_01166
ko:K16264	cjeu:N565_01169
ko:K11743	cjeu:N565_01179
ko:K11742	cjeu:N565_01180
ko:K01887	cjeu:N565_01181
ko:K03116	cjeu:N565_01182
ko:K00942	cjeu:N565_01183
ko:K02421	cjeu:N565_01185
ko:K02003	cjeu:N565_01186
ko:K02357	cjeu:N565_01187
ko:K02967	cjeu:N565_01188
ko:K00574	cjeu:N565_01189
ko:K00413	cjeu:N565_01190
ko:K00412	cjeu:N565_01191
ko:K00411	cjeu:N565_01192
ko:K03893	cjeu:N565_01193
ko:K03495	cjeu:N565_01194
ko:K11103	cjeu:N565_01198
ko:K03306	cjeu:N565_01200
ko:K01465	cjeu:N565_01201
ko:K00057	cjeu:N565_01202
ko:K02434	cjeu:N565_01203
ko:K07173	cjeu:N565_01204
ko:K00549	cjeu:N565_01207
ko:K00297	cjeu:N565_01208
ko:K03412	cjeu:N565_00934
ko:K01808	cjeu:N565_00935
ko:K00759	cjeu:N565_00937
ko:K01255	cjeu:N565_00939
ko:K06942	cjeu:N565_00940
ko:K01755	cjeu:N565_00941
ko:K01610	cjeu:N565_00942
ko:K01960	cjeu:N565_00943
ko:K03308	cjeu:N565_00944
ko:K03308	cjeu:N565_00945
ko:K02110	cjeu:N565_00946
ko:K07088	cjeu:N565_00948
ko:K05939	cjeu:N565_00949
ko:K02982	cjeu:N565_01729
ko:K02890	cjeu:N565_01730
ko:K02965	cjeu:N565_01731
ko:K02886	cjeu:N565_01732
ko:K02892	cjeu:N565_01733
ko:K02926	cjeu:N565_01734
ko:K02906	cjeu:N565_01735
ko:K02946	cjeu:N565_01736
ko:K06178	cjeu:N565_01737
ko:K02528	cjeu:N565_01739
ko:K06941	cjeu:N565_01741
ko:K01704	cjeu:N565_01747
ko:K01703	cjeu:N565_01748
ko:K00052	cjeu:N565_01749
ko:K01649	cjeu:N565_01750
ko:K09457	cjeu:N565_01754
ko:K00651	cjeu:N565_01756
ko:K01740	cjeu:N565_01757
ko:K02390	cjeu:N565_01758
ko:K01159	cjeu:N565_01759
ko:K02493	cjeu:N565_00751
ko:K03831	cjeu:N565_00754
ko:K03284	cjeu:N565_00755
ko:K02054	cjeu:N565_00759
ko:K02053	cjeu:N565_00760
ko:K03832	cjeu:N565_00778
ko:K16089	cjeu:N565_00779
ko:K03705	cjeu:N565_00780
ko:K03687	cjeu:N565_00781
ko:K04043	cjeu:N565_00782
ko:K00812	cjeu:N565_00785
ko:K00640	cjeu:N565_00786
ko:K01892	cjeu:N565_00788
ko:K00943	cjeu:N565_00789
ko:K00954	cjeu:N565_00790
ko:K03186	cjeu:N565_00791
ko:K02386	cjeu:N565_00792
ko:K02073	cjeu:N565_00795
ko:K02072	cjeu:N565_00796
ko:K02071	cjeu:N565_00797
ko:K01873	cjeu:N565_00798
ko:K03657	cjeu:N565_00800
ko:K11065	cjeu:N565_00802
ko:K03923	cjeu:N565_01572
ko:K03098	cjeu:N565_01574
ko:K13979	cjeu:N565_01575
ko:K01153	cjeu:N565_01576
ko:K01154	cjeu:N565_01578
ko:K03427	cjeu:N565_01580
ko:K07118	cjeu:N565_01582
ko:K00343	cjeu:N565_01588
ko:K00342	cjeu:N565_01589
ko:K00341	cjeu:N565_01590
ko:K00340	cjeu:N565_01591
ko:K00339	cjeu:N565_01592
ko:K00338	cjeu:N565_01593
ko:K00337	cjeu:N565_01594
ko:K00334	cjeu:N565_01597
ko:K00333	cjeu:N565_01598
ko:K00332	cjeu:N565_01599
ko:K00331	cjeu:N565_01600
ko:K00330	cjeu:N565_01601
ko:K02034	cjeu:N565_01604
ko:K06159	cjeu:N565_01609
ko:K02518	cjeu:N565_01612
ko:K02919	cjeu:N565_01613
ko:K02952	cjeu:N565_01614
ko:K02948	cjeu:N565_01615
ko:K02986	cjeu:N565_01616
ko:K03040	cjeu:N565_01617
ko:K02879	cjeu:N565_01618
ko:K00765	cjeu:N565_01619
ko:K00013	cjeu:N565_01620
ko:K01089	cjeu:N565_01621
ko:K02556	cjeu:N565_00372
ko:K03701	cjeu:N565_00377
ko:K07090	cjeu:N565_00378
ko:K01657	cjeu:N565_00379
ko:K13497	cjeu:N565_00380
ko:K01817	cjeu:N565_00381
ko:K01696	cjeu:N565_00382
ko:K01695	cjeu:N565_00383
ko:K02417	cjeu:N565_00385
ko:K01524	cjeu:N565_00387
ko:K01633	cjeu:N565_00390
ko:K08591	cjeu:N565_00391
ko:K00428	cjeu:N565_00392
ko:K03431	cjeu:N565_00393
ko:K03101	cjeu:N565_00394
ko:K08973	cjeu:N565_00395
ko:K03585	cjeu:N565_00400
ko:K02970	cjeu:N565_00403
ko:K09767	cjeu:N565_00407
ko:K17247	cjeu:N565_00411
ko:K01591	cjeu:N565_00414
ko:K03625	cjeu:N565_00415
ko:K00794	cjeu:N565_00416
ko:K01627	cjeu:N565_00417
ko:K03977	cjeu:N565_00419
