ko:K08744	mtl:CCDC5180_1659
ko:K00831	mtl:CCDC5180_0808
ko:K00528	mtl:CCDC5180_0810
ko:K01647	mtl:CCDC5180_0814
ko:K01647	mtl:CCDC5180_0821
ko:K06996	mtl:CCDC5180_0833
ko:K02168	mtl:CCDC5180_0838
ko:K03322	mtl:CCDC5180_0844
ko:K02040	mtl:CCDC5180_0848
ko:K02037	mtl:CCDC5180_0849
ko:K02038	mtl:CCDC5180_0850
ko:K02040	mtl:CCDC5180_0852
ko:K02036	mtl:CCDC5180_0853
ko:K02040	mtl:CCDC5180_0854
ko:K02037	mtl:CCDC5180_0855
ko:K02038	mtl:CCDC5180_0856
ko:K10979	mtl:CCDC5180_0857
ko:K07001	mtl:CCDC5180_0972
ko:K07001	mtl:CCDC5180_0973
ko:K01697	mtl:CCDC5180_0987
ko:K03624	mtl:CCDC5180_0990
ko:K06888	mtl:CCDC5180_0993
ko:K11068	mtl:CCDC5180_0994
ko:K00600	mtl:CCDC5180_1001
ko:K07175	mtl:CCDC5180_1003
ko:K03601	mtl:CCDC5180_1015
ko:K03527	mtl:CCDC5180_1017
ko:K03284	mtl:CCDC5180_1138
ko:K00024	mtl:CCDC5180_1139
ko:K05592	mtl:CCDC5180_1148
ko:K08296	mtl:CCDC5180_1171
ko:K02034	mtl:CCDC5180_1177
ko:K01673	mtl:CCDC5180_1179
ko:K00957	mtl:CCDC5180_1180
ko:K00989	mtl:CCDC5180_1232
ko:K09136	mtl:CCDC5180_1265
ko:K02825	mtl:CCDC5180_1268
ko:K00609	mtl:CCDC5180_1269
ko:K01465	mtl:CCDC5180_1270
ko:K01956	mtl:CCDC5180_1272
ko:K01955	mtl:CCDC5180_1273
ko:K01591	mtl:CCDC5180_1274
ko:K00942	mtl:CCDC5180_1278
ko:K03060	mtl:CCDC5180_1279
ko:K13038	mtl:CCDC5180_1280
ko:K00789	mtl:CCDC5180_1281
ko:K02259	mtl:CCDC5180_1342
ko:K09014	mtl:CCDC5180_1347
ko:K09015	mtl:CCDC5180_1348
ko:K09013	mtl:CCDC5180_1349
ko:K11717	mtl:CCDC5180_1350
ko:K01681	mtl:CCDC5180_1363
ko:K01772	mtl:CCDC5180_1373
ko:K02805	mtl:CCDC5180_1390
ko:K01935	mtl:CCDC5180_1452
ko:K01012	mtl:CCDC5180_1455
ko:K03517	mtl:CCDC5180_1459
ko:K00278	mtl:CCDC5180_1460
ko:K00767	mtl:CCDC5180_1461
ko:K00013	mtl:CCDC5180_1464
ko:K00817	mtl:CCDC5180_1465
ko:K01693	mtl:CCDC5180_1466
ko:K02501	mtl:CCDC5180_1467
ko:K02500	mtl:CCDC5180_1470
ko:K07300	mtl:CCDC5180_1472
ko:K03564	mtl:CCDC5180_1473
ko:K01657	mtl:CCDC5180_1474
ko:K01609	mtl:CCDC5180_1476
ko:K01696	mtl:CCDC5180_1477
ko:K01695	mtl:CCDC5180_1478
ko:K00873	mtl:CCDC5180_1482
ko:K10805	mtl:CCDC5180_1483
ko:K00426	mtl:CCDC5180_1487
ko:K00425	mtl:CCDC5180_1488
ko:K02945	mtl:CCDC5180_1495
ko:K00859	mtl:CCDC5180_1496
ko:K03702	mtl:CCDC5180_1498
ko:K03701	mtl:CCDC5180_1503
ko:K00705	mtl:CCDC5180_1624
ko:K07507	mtl:CCDC5180_1648
ko:K03885	mtl:CCDC5180_1649
ko:K02471	mtl:CCDC5180_1656
ko:K01652	mtl:CCDC5180_1657
ko:K03070	mtl:CCDC5180_1658
ko:K02437	mtl:CCDC5180_1663
ko:K08999	mtl:CCDC5180_1666
ko:K00281	mtl:CCDC5180_1669
ko:K02066	mtl:CCDC5180_1785
ko:K02066	mtl:CCDC5180_1786
ko:K05596	mtl:CCDC5180_1809
ko:K06895	mtl:CCDC5180_1810
ko:K01194	mtl:CCDC5180_1828
ko:K07133	mtl:CCDC5180_1830
ko:K07735	mtl:CCDC5180_0036
ko:K01869	mtl:CCDC5180_0039
ko:K01858	mtl:CCDC5180_0044
ko:K02939	mtl:CCDC5180_0052
ko:K00031	mtl:CCDC5180_0060
ko:K01752	mtl:CCDC5180_0063
ko:K00600	mtl:CCDC5180_0064
ko:K14155	mtl:CCDC5180_0066
ko:K12140	mtl:CCDC5180_0076
ko:K12141	mtl:CCDC5180_0077
ko:K00240	mtl:CCDC5180_0229
ko:K00239	mtl:CCDC5180_0230
ko:K00362	mtl:CCDC5180_0233
ko:K00363	mtl:CCDC5180_0234
ko:K02231	mtl:CCDC5180_0235
ko:K02232	mtl:CCDC5180_0236
ko:K02575	mtl:CCDC5180_0242
ko:K02016	mtl:CCDC5180_0246
ko:K02575	mtl:CCDC5180_0248
ko:K00252	mtl:CCDC5180_0370
ko:K13788	mtl:CCDC5180_0377
ko:K00925	mtl:CCDC5180_0378
ko:K00788	mtl:CCDC5180_0383
ko:K03149	mtl:CCDC5180_0385
ko:K07020	mtl:CCDC5180_0389
ko:K00941	mtl:CCDC5180_0390
ko:K03147	mtl:CCDC5180_0391
ko:K01142	mtl:CCDC5180_0394
ko:K01462	mtl:CCDC5180_0396
ko:K06048	mtl:CCDC5180_0399
ko:K07157	mtl:CCDC5180_0400
ko:K13525	mtl:CCDC5180_0401
ko:K01613	mtl:CCDC5180_0403
ko:K03750	mtl:CCDC5180_0404
ko:K04077	mtl:CCDC5180_0406
ko:K03088	mtl:CCDC5180_0411
ko:K00574	mtl:CCDC5180_0413
ko:K09701	mtl:CCDC5180_0414
ko:K03980	mtl:CCDC5180_3580
ko:K03088	mtl:CCDC5180_3581
ko:K00384	mtl:CCDC5180_3583
ko:K03671	mtl:CCDC5180_3584
ko:K03501	mtl:CCDC5180_3589
ko:K03217	mtl:CCDC5180_3591
ko:K06966	mtl:CCDC5180_2268
ko:K00627	mtl:CCDC5180_2271
ko:K00162	mtl:CCDC5180_2272
ko:K00161	mtl:CCDC5180_2273
ko:K01644	mtl:CCDC5180_2274
ko:K01969	mtl:CCDC5180_2278
ko:K01029	mtl:CCDC5180_2279
ko:K01028	mtl:CCDC5180_2280
ko:K07124	mtl:CCDC5180_2285
ko:K06915	mtl:CCDC5180_2286
ko:K13288	mtl:CCDC5180_2287
ko:K03564	mtl:CCDC5180_2295
ko:K00997	mtl:CCDC5180_2297
ko:K11533	mtl:CCDC5180_2298
ko:K01584	mtl:CCDC5180_2304
ko:K03625	mtl:CCDC5180_2306
ko:K02356	mtl:CCDC5180_2307
ko:K03786	mtl:CCDC5180_2310
ko:K01735	mtl:CCDC5180_2311
ko:K00891	mtl:CCDC5180_2312
ko:K01736	mtl:CCDC5180_2313
ko:K06916	mtl:CCDC5180_2423
ko:K00231	mtl:CCDC5180_2430
ko:K01599	mtl:CCDC5180_2431
ko:K03684	mtl:CCDC5180_2434
ko:K01662	mtl:CCDC5180_2435
ko:K00886	mtl:CCDC5180_2453
ko:K03086	mtl:CCDC5180_2454
ko:K07058	mtl:CCDC5180_2456
ko:K00322	mtl:CCDC5180_2461
ko:K07738	mtl:CCDC5180_2466
ko:K01356	mtl:CCDC5180_2467
ko:K03665	mtl:CCDC5180_2471
ko:K01778	mtl:CCDC5180_2472
ko:K00791	mtl:CCDC5180_2473
ko:K00116	mtl:CCDC5180_2581
ko:K07241	mtl:CCDC5180_2586
ko:K07010	mtl:CCDC5180_2590
ko:K01915	mtl:CCDC5180_2591
ko:K01265	mtl:CCDC5180_2592
ko:K00099	mtl:CCDC5180_2599
ko:K06941	mtl:CCDC5180_2607
ko:K00981	mtl:CCDC5180_2608
ko:K02838	mtl:CCDC5180_2609
ko:K09903	mtl:CCDC5180_2610
ko:K02357	mtl:CCDC5180_2616
ko:K02967	mtl:CCDC5180_2617
ko:K03733	mtl:CCDC5180_2620
ko:K04096	mtl:CCDC5180_2622
ko:K07391	mtl:CCDC5180_2623
ko:K07460	mtl:CCDC5180_2624
ko:K02379	mtl:CCDC5180_2625
ko:K03470	mtl:CCDC5180_2628
ko:K03100	mtl:CCDC5180_2629
ko:K02884	mtl:CCDC5180_2630
ko:K00554	mtl:CCDC5180_2632
ko:K02860	mtl:CCDC5180_2633
ko:K00954	mtl:CCDC5180_2687
ko:K03655	mtl:CCDC5180_2695
ko:K03648	mtl:CCDC5180_2697
ko:K00946	mtl:CCDC5180_2698
ko:K01921	mtl:CCDC5180_2702
ko:K00057	mtl:CCDC5180_2703
ko:K00937	mtl:CCDC5180_2705
ko:K03530	mtl:CCDC5180_2707
ko:K01704	mtl:CCDC5180_2708
ko:K01703	mtl:CCDC5180_2709
ko:K00052	mtl:CCDC5180_2715
ko:K02069	mtl:CCDC5180_2720
ko:K00053	mtl:CCDC5180_2721
ko:K01653	mtl:CCDC5180_2722
ko:K01652	mtl:CCDC5180_2723
ko:K15977	mtl:CCDC5180_2725
ko:K02434	mtl:CCDC5180_2729
ko:K01972	mtl:CCDC5180_2733
ko:K04069	mtl:CCDC5180_2854
ko:K00330	mtl:CCDC5180_2861
ko:K00331	mtl:CCDC5180_2862
ko:K00332	mtl:CCDC5180_2863
ko:K00333	mtl:CCDC5180_2864
ko:K00334	mtl:CCDC5180_2865
ko:K00337	mtl:CCDC5180_2868
ko:K00338	mtl:CCDC5180_2869
ko:K00339	mtl:CCDC5180_2870
ko:K00341	mtl:CCDC5180_2871
ko:K00342	mtl:CCDC5180_2872
ko:K00343	mtl:CCDC5180_2873
ko:K03924	mtl:CCDC5180_2880
ko:K07133	mtl:CCDC5180_2896
ko:K01810	mtl:CCDC5180_0865
ko:K03657	mtl:CCDC5180_0866
ko:K01903	mtl:CCDC5180_0868
ko:K01902	mtl:CCDC5180_0869
ko:K11175	mtl:CCDC5180_0873
ko:K00602	mtl:CCDC5180_0874
ko:K03282	mtl:CCDC5180_0901
ko:K02003	mtl:CCDC5180_0902
ko:K00963	mtl:CCDC5180_0909
ko:K03750	mtl:CCDC5180_0910
ko:K06942	mtl:CCDC5180_1019
ko:K00036	mtl:CCDC5180_1025
ko:K01720	mtl:CCDC5180_1035
ko:K01647	mtl:CCDC5180_1036
ko:K00549	mtl:CCDC5180_1038
ko:K12410	mtl:CCDC5180_1056
ko:K00370	mtl:CCDC5180_1066
ko:K00371	mtl:CCDC5180_1067
ko:K00943	mtl:CCDC5180_2960
ko:K01251	mtl:CCDC5180_2961
ko:K00496	mtl:CCDC5180_2963
ko:K01809	mtl:CCDC5180_2966
ko:K00067	mtl:CCDC5180_2977
ko:K01673	mtl:CCDC5180_2983
ko:K01588	mtl:CCDC5180_2985
ko:K01589	mtl:CCDC5180_2986
ko:K03524	mtl:CCDC5180_2989
ko:K06287	mtl:CCDC5180_2991
ko:K02426	mtl:CCDC5180_2993
ko:K03724	mtl:CCDC5180_3005
ko:K02039	mtl:CCDC5180_3010
ko:K00111	mtl:CCDC5180_3011
ko:K00382	mtl:CCDC5180_3012
ko:K00761	mtl:CCDC5180_3018
ko:K00242	mtl:CCDC5180_3027
ko:K00239	mtl:CCDC5180_3028
ko:K00240	mtl:CCDC5180_3029
ko:K03637	mtl:CCDC5180_3033
ko:K03639	mtl:CCDC5180_3034
ko:K01443	mtl:CCDC5180_3041
ko:K07058	mtl:CCDC5180_3044
ko:K01867	mtl:CCDC5180_3045
ko:K00031	mtl:CCDC5180_3047
ko:K01740	mtl:CCDC5180_3048
ko:K00641	mtl:CCDC5180_3049
ko:K01491	mtl:CCDC5180_3061
ko:K03216	mtl:CCDC5180_3068
ko:K01087	mtl:CCDC5180_3074
ko:K01662	mtl:CCDC5180_3079
ko:K03527	mtl:CCDC5180_3080
ko:K00574	mtl:CCDC5180_3090
ko:K14161	mtl:CCDC5180_3092
ko:K01951	mtl:CCDC5180_3095
ko:K02291	mtl:CCDC5180_3096
ko:K03088	mtl:CCDC5180_3112
ko:K04077	mtl:CCDC5180_3115
ko:K04078	mtl:CCDC5180_3117
ko:K03789	mtl:CCDC5180_3119
ko:K06925	mtl:CCDC5180_3121
ko:K01775	mtl:CCDC5180_3122
ko:K00820	mtl:CCDC5180_3136
ko:K03431	mtl:CCDC5180_3141
ko:K02996	mtl:CCDC5180_3142
ko:K03466	mtl:CCDC5180_3146
ko:K06173	mtl:CCDC5180_3154
ko:K02879	mtl:CCDC5180_3155
ko:K03040	mtl:CCDC5180_3156
ko:K02986	mtl:CCDC5180_3157
ko:K02948	mtl:CCDC5180_3158
ko:K02952	mtl:CCDC5180_3159
ko:K01790	mtl:CCDC5180_3162
ko:K01666	mtl:CCDC5180_3165
ko:K01652	mtl:CCDC5180_3166
ko:K00697	mtl:CCDC5180_3181
ko:K02066	mtl:CCDC5180_3191
ko:K02066	mtl:CCDC5180_3192
ko:K01652	mtl:CCDC5180_3202
ko:K00373	mtl:CCDC5180_1068
ko:K06207	mtl:CCDC5180_1070
ko:K00955	mtl:CCDC5180_1181
ko:K01887	mtl:CCDC5180_1187
ko:K01586	mtl:CCDC5180_1188
ko:K00003	mtl:CCDC5180_1189
ko:K01733	mtl:CCDC5180_1190
ko:K00872	mtl:CCDC5180_1191
ko:K03628	mtl:CCDC5180_1192
ko:K02835	mtl:CCDC5180_1193
ko:K02493	mtl:CCDC5180_1194
ko:K02108	mtl:CCDC5180_1198
ko:K02109	mtl:CCDC5180_1199
ko:K02111	mtl:CCDC5180_1201
ko:K02115	mtl:CCDC5180_1202
ko:K02112	mtl:CCDC5180_1203
ko:K02114	mtl:CCDC5180_1204
ko:K00790	mtl:CCDC5180_1208
ko:K13529	mtl:CCDC5180_1210
ko:K05838	mtl:CCDC5180_1218
ko:K00688	mtl:CCDC5180_1222
ko:K00763	mtl:CCDC5180_1224
ko:K01776	mtl:CCDC5180_1230
ko:K04066	mtl:CCDC5180_1290
ko:K00604	mtl:CCDC5180_1294
ko:K03500	mtl:CCDC5180_1295
ko:K01783	mtl:CCDC5180_1296
ko:K11752	mtl:CCDC5180_1297
ko:K00793	mtl:CCDC5180_1300
ko:K14652	mtl:CCDC5180_1303
ko:K00794	mtl:CCDC5180_1304
ko:K03703	mtl:CCDC5180_1308
ko:K06958	mtl:CCDC5180_1309
ko:K00134	mtl:CCDC5180_1323
ko:K00927	mtl:CCDC5180_1324
ko:K01803	mtl:CCDC5180_1325
ko:K01057	mtl:CCDC5180_1332
ko:K00036	mtl:CCDC5180_1334
ko:K00615	mtl:CCDC5180_1336
ko:K01711	mtl:CCDC5180_1396
ko:K02377	mtl:CCDC5180_1397
ko:K01870	mtl:CCDC5180_1420
ko:K02346	mtl:CCDC5180_1421
ko:K03101	mtl:CCDC5180_1423
ko:K06180	mtl:CCDC5180_1424
ko:K06886	mtl:CCDC5180_1426
ko:K07124	mtl:CCDC5180_1428
ko:K02337	mtl:CCDC5180_1430
ko:K00631	mtl:CCDC5180_1434
ko:K00246	mtl:CCDC5180_1438
ko:K01754	mtl:CCDC5180_1443
ko:K01236	mtl:CCDC5180_1445
ko:K06044	mtl:CCDC5180_1446
ko:K00833	mtl:CCDC5180_1450
ko:K04567	mtl:CCDC5180_1505
ko:K02520	mtl:CCDC5180_1506
ko:K02887	mtl:CCDC5180_1507
ko:K03437	mtl:CCDC5180_1508
ko:K01889	mtl:CCDC5180_1513
ko:K01890	mtl:CCDC5180_1514
ko:K00145	mtl:CCDC5180_1516
ko:K00620	mtl:CCDC5180_1517
ko:K00930	mtl:CCDC5180_1518
ko:K00611	mtl:CCDC5180_1520
ko:K03402	mtl:CCDC5180_1521
ko:K01940	mtl:CCDC5180_1522
ko:K01755	mtl:CCDC5180_1523
ko:K03652	mtl:CCDC5180_1549
ko:K01866	mtl:CCDC5180_1550
ko:K06442	mtl:CCDC5180_1554
ko:K00858	mtl:CCDC5180_1555
ko:K03631	mtl:CCDC5180_1556
ko:K01937	mtl:CCDC5180_1559
ko:K06978	mtl:CCDC5180_1672
ko:K01638	mtl:CCDC5180_1674
ko:K01430	mtl:CCDC5180_1683
ko:K01429	mtl:CCDC5180_1684
ko:K01428	mtl:CCDC5180_1685
ko:K03188	mtl:CCDC5180_1686
ko:K03189	mtl:CCDC5180_1687
ko:K03190	mtl:CCDC5180_1688
ko:K03885	mtl:CCDC5180_1689
ko:K02020	mtl:CCDC5180_1692
ko:K02018	mtl:CCDC5180_1693
ko:K03594	mtl:CCDC5180_1711
ko:K01915	mtl:CCDC5180_1713
ko:K07001	mtl:CCDC5180_1861
ko:K08281	mtl:CCDC5180_1867
ko:K03820	mtl:CCDC5180_1876
ko:K07113	mtl:CCDC5180_1878
ko:K01061	mtl:CCDC5180_1879
ko:K02954	mtl:CCDC5180_1880
ko:K07006	mtl:CCDC5180_1882
ko:K02230	mtl:CCDC5180_1883
ko:K02229	mtl:CCDC5180_1885
ko:K06042	mtl:CCDC5180_1886
ko:K03088	mtl:CCDC5180_1889
ko:K05895	mtl:CCDC5180_1890
ko:K05936	mtl:CCDC5180_1891
ko:K06153	mtl:CCDC5180_1948
ko:K09772	mtl:CCDC5180_1958
ko:K06997	mtl:CCDC5180_1959
ko:K05810	mtl:CCDC5180_1960
ko:K03531	mtl:CCDC5180_1961
ko:K03589	mtl:CCDC5180_1962
ko:K01924	mtl:CCDC5180_1963
ko:K02563	mtl:CCDC5180_1964
ko:K03588	mtl:CCDC5180_1965
ko:K01925	mtl:CCDC5180_1966
ko:K01000	mtl:CCDC5180_1967
ko:K01929	mtl:CCDC5180_1968
ko:K01928	mtl:CCDC5180_1969
ko:K03587	mtl:CCDC5180_1974
ko:K03438	mtl:CCDC5180_1976
ko:K03925	mtl:CCDC5180_1977
ko:K01626	mtl:CCDC5180_1987
ko:K00655	mtl:CCDC5180_1991
ko:K02078	mtl:CCDC5180_2053
ko:K00111	mtl:CCDC5180_2058
ko:K03820	mtl:CCDC5180_2070
ko:K03306	mtl:CCDC5180_2084
ko:K01521	mtl:CCDC5180_2090
ko:K14155	mtl:CCDC5180_2093
ko:K09925	mtl:CCDC5180_2094
ko:K04079	mtl:CCDC5180_2098
ko:K07042	mtl:CCDC5180_2161
ko:K09761	mtl:CCDC5180_2164
ko:K03686	mtl:CCDC5180_2165
ko:K03705	mtl:CCDC5180_2166
ko:K07086	mtl:CCDC5180_2178
ko:K00390	mtl:CCDC5180_2183
ko:K02045	mtl:CCDC5180_2188
ko:K02047	mtl:CCDC5180_2189
ko:K02046	mtl:CCDC5180_2190
ko:K02048	mtl:CCDC5180_2191
ko:K03596	mtl:CCDC5180_2194
ko:K02340	mtl:CCDC5180_2201
ko:K02237	mtl:CCDC5180_2203
ko:K09710	mtl:CCDC5180_2208
ko:K00969	mtl:CCDC5180_2209
ko:K02654	mtl:CCDC5180_2321
ko:K00014	mtl:CCDC5180_2322
ko:K07082	mtl:CCDC5180_2323
ko:K07447	mtl:CCDC5180_2324
ko:K01872	mtl:CCDC5180_2325
ko:K07478	mtl:CCDC5180_2329
ko:K02003	mtl:CCDC5180_2333
ko:K07001	mtl:CCDC5180_2334
ko:K01876	mtl:CCDC5180_2341
ko:K00077	mtl:CCDC5180_2342
ko:K01892	mtl:CCDC5180_2349
ko:K00759	mtl:CCDC5180_2353
ko:K03074	mtl:CCDC5180_2355
ko:K03072	mtl:CCDC5180_2356
ko:K03210	mtl:CCDC5180_2357
ko:K03551	mtl:CCDC5180_2361
ko:K03550	mtl:CCDC5180_2362
ko:K01159	mtl:CCDC5180_2363
ko:K06168	mtl:CCDC5180_2479
ko:K03565	mtl:CCDC5180_2481
ko:K00995	mtl:CCDC5180_2490
ko:K03466	mtl:CCDC5180_2492
ko:K01714	mtl:CCDC5180_2497
ko:K03427	mtl:CCDC5180_2499
ko:K09927	mtl:CCDC5180_2503
ko:K01061	mtl:CCDC5180_2506
ko:K00215	mtl:CCDC5180_2513
ko:K07044	mtl:CCDC5180_2516
ko:K00259	mtl:CCDC5180_2519
ko:K00259	mtl:CCDC5180_2520
ko:K00459	mtl:CCDC5180_2521
ko:K00962	mtl:CCDC5180_2523
ko:K11753	mtl:CCDC5180_2525
ko:K02313	mtl:CCDC5180_0001
ko:K02338	mtl:CCDC5180_0004
ko:K03629	mtl:CCDC5180_0005
ko:K02470	mtl:CCDC5180_0007
ko:K02469	mtl:CCDC5180_0008
ko:K00459	mtl:CCDC5180_0022
ko:K03271	mtl:CCDC5180_0099
ko:K02355	mtl:CCDC5180_0105
ko:K05343	mtl:CCDC5180_0110
ko:K03281	mtl:CCDC5180_0128
ko:K00324	mtl:CCDC5180_0139
ko:K00324	mtl:CCDC5180_0140
ko:K00325	mtl:CCDC5180_0141
ko:K04719	mtl:CCDC5180_0281
ko:K01126	mtl:CCDC5180_0292
ko:K07238	mtl:CCDC5180_0293
ko:K01304	mtl:CCDC5180_0294
ko:K01494	mtl:CCDC5180_0296
ko:K00012	mtl:CCDC5180_0297
ko:K00973	mtl:CCDC5180_0308
ko:K09959	mtl:CCDC5180_0425
ko:K00382	mtl:CCDC5180_0427
ko:K07110	mtl:CCDC5180_0429
ko:K01637	mtl:CCDC5180_0431
ko:K00074	mtl:CCDC5180_0432
ko:K00574	mtl:CCDC5180_0433
ko:K00574	mtl:CCDC5180_0434
ko:K00075	mtl:CCDC5180_0444
ko:K06895	mtl:CCDC5180_0450
ko:K01524	mtl:CCDC5180_0459
ko:K00286	mtl:CCDC5180_0463
ko:K00574	mtl:CCDC5180_0466
ko:K02492	mtl:CCDC5180_0471
ko:K01749	mtl:CCDC5180_0472
ko:K13542	mtl:CCDC5180_0473
ko:K01698	mtl:CCDC5180_0474
ko:K07282	mtl:CCDC5180_0530
ko:K06996	mtl:CCDC5180_0533
ko:K09122	mtl:CCDC5180_0537
ko:K02066	mtl:CCDC5180_0544
ko:K02066	mtl:CCDC5180_0545
ko:K07133	mtl:CCDC5180_0554
ko:K00965	mtl:CCDC5180_0569
ko:K00965	mtl:CCDC5180_0570
ko:K00849	mtl:CCDC5180_0571
ko:K03581	mtl:CCDC5180_0579
ko:K03582	mtl:CCDC5180_0580
ko:K03583	mtl:CCDC5180_0581
ko:K02946	mtl:CCDC5180_0641
ko:K02906	mtl:CCDC5180_0642
ko:K02926	mtl:CCDC5180_0643
ko:K02892	mtl:CCDC5180_0644
ko:K02886	mtl:CCDC5180_0645
ko:K02890	mtl:CCDC5180_0646
ko:K02982	mtl:CCDC5180_0647
ko:K02878	mtl:CCDC5180_0648
ko:K02961	mtl:CCDC5180_0649
ko:K02874	mtl:CCDC5180_0653
ko:K02895	mtl:CCDC5180_0654
ko:K02931	mtl:CCDC5180_0655
ko:K02994	mtl:CCDC5180_0656
ko:K02933	mtl:CCDC5180_0657
ko:K02881	mtl:CCDC5180_0658
ko:K02988	mtl:CCDC5180_0659
ko:K02876	mtl:CCDC5180_0660
ko:K04773	mtl:CCDC5180_0661
ko:K01628	mtl:CCDC5180_0664
ko:K03076	mtl:CCDC5180_0669
