ko:K01006	paz:TIA2EST2_09955
ko:K03565	paz:TIA2EST2_04945
ko:K06168	paz:TIA2EST2_04965
ko:K00791	paz:TIA2EST2_04975
ko:K01778	paz:TIA2EST2_04980
ko:K03665	paz:TIA2EST2_04985
ko:K01356	paz:TIA2EST2_04995
ko:K03305	paz:TIA2EST2_00695
ko:K02768	paz:TIA2EST2_00715
ko:K02769	paz:TIA2EST2_00715
ko:K02770	paz:TIA2EST2_00715
ko:K03885	paz:TIA2EST2_00765
ko:K03579	paz:TIA2EST2_00775
ko:K03737	paz:TIA2EST2_00805
ko:K03303	paz:TIA2EST2_00825
ko:K00782	paz:TIA2EST2_00840
ko:K01681	paz:TIA2EST2_05190
ko:K01662	paz:TIA2EST2_05195
ko:K03684	paz:TIA2EST2_05200
ko:K01667	paz:TIA2EST2_05225
ko:K04762	paz:TIA2EST2_00975
ko:K02343	paz:TIA2EST2_00985
ko:K09747	paz:TIA2EST2_00990
ko:K06187	paz:TIA2EST2_00995
ko:K02003	paz:TIA2EST2_01005
ko:K01870	paz:TIA2EST2_01040
ko:K10773	paz:TIA2EST2_01080
ko:K03313	paz:TIA2EST2_01100
ko:K02283	paz:TIA2EST2_01115
ko:K05343	paz:TIA2EST2_05440
ko:K04487	paz:TIA2EST2_05455
ko:K00566	paz:TIA2EST2_05460
ko:K02435	paz:TIA2EST2_05485
ko:K08296	paz:TIA2EST2_01225
ko:K01060	paz:TIA2EST2_01230
ko:K07259	paz:TIA2EST2_01245
ko:K04075	paz:TIA2EST2_01250
ko:K00760	paz:TIA2EST2_01255
ko:K03798	paz:TIA2EST2_01260
ko:K01495	paz:TIA2EST2_01265
ko:K00796	paz:TIA2EST2_01300
ko:K01633	paz:TIA2EST2_01305
ko:K00950	paz:TIA2EST2_01310
ko:K00333	paz:TIA2EST2_01325
ko:K03696	paz:TIA2EST2_01335
ko:K07160	paz:TIA2EST2_01355
ko:K07071	paz:TIA2EST2_01375
ko:K03550	paz:TIA2EST2_05665
ko:K03551	paz:TIA2EST2_05670
ko:K03210	paz:TIA2EST2_05675
ko:K03072	paz:TIA2EST2_05680
ko:K03074	paz:TIA2EST2_05685
ko:K00759	paz:TIA2EST2_05690
ko:K01892	paz:TIA2EST2_05720
ko:K02492	paz:TIA2EST2_01470
ko:K01772	paz:TIA2EST2_01475
ko:K04485	paz:TIA2EST2_01495
ko:K00318	paz:TIA2EST2_01515
ko:K00133	paz:TIA2EST2_01525
ko:K00286	paz:TIA2EST2_01530
ko:K13542	paz:TIA2EST2_01545
ko:K07399	paz:TIA2EST2_01565
ko:K07124	paz:TIA2EST2_01580
ko:K02016	paz:TIA2EST2_01600
ko:K02013	paz:TIA2EST2_01605
ko:K02015	paz:TIA2EST2_01610
ko:K02036	paz:TIA2EST2_01620
ko:K02038	paz:TIA2EST2_01625
ko:K02037	paz:TIA2EST2_01630
ko:K02040	paz:TIA2EST2_01635
ko:K00937	paz:TIA2EST2_01645
ko:K07560	paz:TIA2EST2_01660
ko:K06980	paz:TIA2EST2_01670
ko:K02227	paz:TIA2EST2_01980
ko:K02232	paz:TIA2EST2_01985
ko:K03394	paz:TIA2EST2_01990
ko:K05936	paz:TIA2EST2_01995
ko:K02015	paz:TIA2EST2_02020
ko:K02013	paz:TIA2EST2_02025
ko:K02016	paz:TIA2EST2_02030
ko:K07133	paz:TIA2EST2_02035
ko:K06042	paz:TIA2EST2_02040
ko:K02007	paz:TIA2EST2_02045
ko:K02224	paz:TIA2EST2_02080
ko:K05895	paz:TIA2EST2_02090
ko:K02233	paz:TIA2EST2_02100
ko:K07173	paz:TIA2EST2_02145
ko:K01809	paz:TIA2EST2_02150
ko:K04077	paz:TIA2EST2_02160
ko:K03338	paz:TIA2EST2_02175
ko:K03337	paz:TIA2EST2_02185
ko:K03336	paz:TIA2EST2_02190
ko:K00140	paz:TIA2EST2_02200
ko:K03088	paz:TIA2EST2_06210
ko:K03426	paz:TIA2EST2_06465
ko:K03657	paz:TIA2EST2_06470
ko:K11738	paz:TIA2EST2_06500
ko:K01867	paz:TIA2EST2_06505
ko:K07053	paz:TIA2EST2_06510
ko:K15371	paz:TIA2EST2_06515
ko:K03070	paz:TIA2EST2_06535
ko:K07735	paz:TIA2EST2_06565
ko:K01755	paz:TIA2EST2_06620
ko:K00930	paz:TIA2EST2_06630
ko:K00620	paz:TIA2EST2_06635
ko:K00145	paz:TIA2EST2_06640
ko:K03664	paz:TIA2EST2_06645
ko:K09811	paz:TIA2EST2_06650
ko:K09812	paz:TIA2EST2_06655
ko:K02836	paz:TIA2EST2_06660
ko:K03466	paz:TIA2EST2_06670
ko:K00946	paz:TIA2EST2_06680
ko:K01921	paz:TIA2EST2_06690
ko:K01704	paz:TIA2EST2_06700
ko:K01703	paz:TIA2EST2_06705
ko:K01703	paz:TIA2EST2_06710
ko:K00826	paz:TIA2EST2_06735
ko:K00052	paz:TIA2EST2_06745
ko:K00053	paz:TIA2EST2_06755
ko:K01653	paz:TIA2EST2_06760
ko:K02503	paz:TIA2EST2_06770
ko:K02500	paz:TIA2EST2_06775
ko:K03118	paz:TIA2EST2_06785
ko:K03116	paz:TIA2EST2_06790
ko:K06178	paz:TIA2EST2_06820
ko:K01937	paz:TIA2EST2_06845
ko:K03631	paz:TIA2EST2_06860
ko:K00858	paz:TIA2EST2_06865
ko:K06442	paz:TIA2EST2_06870
ko:K03523	paz:TIA2EST2_06890
ko:K01866	paz:TIA2EST2_06910
ko:K03402	paz:TIA2EST2_06915
ko:K01012	paz:TIA2EST2_06925
ko:K01890	paz:TIA2EST2_06930
ko:K01889	paz:TIA2EST2_06935
ko:K02887	paz:TIA2EST2_06945
ko:K02916	paz:TIA2EST2_06950
ko:K02520	paz:TIA2EST2_06955
ko:K00765	paz:TIA2EST2_06970
ko:K03811	paz:TIA2EST2_06980
ko:K01647	paz:TIA2EST2_07000
ko:K04096	paz:TIA2EST2_07030
ko:K07391	paz:TIA2EST2_07035
ko:K07460	paz:TIA2EST2_07040
ko:K03470	paz:TIA2EST2_07050
ko:K03100	paz:TIA2EST2_07055
ko:K02884	paz:TIA2EST2_07060
ko:K00240	paz:TIA2EST2_07070
ko:K00239	paz:TIA2EST2_07075
ko:K00554	paz:TIA2EST2_07085
ko:K02860	paz:TIA2EST2_07090
ko:K06960	paz:TIA2EST2_07095
ko:K02959	paz:TIA2EST2_07100
ko:K03106	paz:TIA2EST2_07110
ko:K03110	paz:TIA2EST2_07120
ko:K03685	paz:TIA2EST2_07155
ko:K02911	paz:TIA2EST2_07160
ko:K07040	paz:TIA2EST2_07165
ko:K02015	paz:TIA2EST2_03230
ko:K02013	paz:TIA2EST2_03235
ko:K01265	paz:TIA2EST2_03265
ko:K01915	paz:TIA2EST2_03275
ko:K02034	paz:TIA2EST2_07220
ko:K00954	paz:TIA2EST2_07250
ko:K03655	paz:TIA2EST2_07265
ko:K02902	paz:TIA2EST2_07270
ko:K00156	paz:TIA2EST2_07280
ko:K00215	paz:TIA2EST2_07290
ko:K00962	paz:TIA2EST2_07295
ko:K02956	paz:TIA2EST2_07300
ko:K11753	paz:TIA2EST2_07305
ko:K02002	paz:TIA2EST2_07310
ko:K02001	paz:TIA2EST2_07315
ko:K02000	paz:TIA2EST2_07320
ko:K02781	paz:TIA2EST2_07360
ko:K02834	paz:TIA2EST2_07375
ko:K02519	paz:TIA2EST2_07395
ko:K02276	paz:TIA2EST2_03530
ko:K00099	paz:TIA2EST2_07485
ko:K06941	paz:TIA2EST2_07510
ko:K00981	paz:TIA2EST2_07525
ko:K02838	paz:TIA2EST2_07530
ko:K09903	paz:TIA2EST2_07535
ko:K02357	paz:TIA2EST2_07540
ko:K02967	paz:TIA2EST2_07545
ko:K03733	paz:TIA2EST2_07550
ko:K01462	paz:TIA2EST2_07565
ko:K14347	paz:TIA2EST2_07575
ko:K02013	paz:TIA2EST2_07590
ko:K00208	paz:TIA2EST2_07600
ko:K00563	paz:TIA2EST2_07620
ko:K01925	paz:TIA2EST2_03745
ko:K03588	paz:TIA2EST2_03750
ko:K02563	paz:TIA2EST2_03755
ko:K01924	paz:TIA2EST2_03760
ko:K03589	paz:TIA2EST2_03765
ko:K03531	paz:TIA2EST2_03770
ko:K05810	paz:TIA2EST2_03775
ko:K09772	paz:TIA2EST2_03780
ko:K02221	paz:TIA2EST2_03785
ko:K06204	paz:TIA2EST2_03795
ko:K03101	paz:TIA2EST2_03800
ko:K06180	paz:TIA2EST2_03805
ko:K00873	paz:TIA2EST2_03810
ko:K06199	paz:TIA2EST2_03815
ko:K15987	paz:TIA2EST2_07715
ko:K02259	paz:TIA2EST2_07730
ko:K00036	paz:TIA2EST2_07745
ko:K01057	paz:TIA2EST2_07755
ko:K01873	paz:TIA2EST2_07770
ko:K03544	paz:TIA2EST2_07785
ko:K01358	paz:TIA2EST2_07790
ko:K01358	paz:TIA2EST2_07795
ko:K03545	paz:TIA2EST2_07805
ko:K04567	paz:TIA2EST2_07865
ko:K01808	paz:TIA2EST2_07885
ko:K01972	paz:TIA2EST2_07895
ko:K01256	paz:TIA2EST2_07905
ko:K03701	paz:TIA2EST2_03985
ko:K03703	paz:TIA2EST2_04005
ko:K06958	paz:TIA2EST2_04010
ko:K00134	paz:TIA2EST2_04025
ko:K00927	paz:TIA2EST2_04030
ko:K01803	paz:TIA2EST2_04035
ko:K03075	paz:TIA2EST2_04040
ko:K11754	paz:TIA2EST2_04050
ko:K00940	paz:TIA2EST2_04060
ko:K13288	paz:TIA2EST2_07990
ko:K11737	paz:TIA2EST2_07995
ko:K01207	paz:TIA2EST2_08005
ko:K14161	paz:TIA2EST2_08025
ko:K03564	paz:TIA2EST2_08065
ko:K03078	paz:TIA2EST2_04305
ko:K00874	paz:TIA2EST2_04320
ko:K08369	paz:TIA2EST2_04325
ko:K00878	paz:TIA2EST2_04330
ko:K00788	paz:TIA2EST2_04335
ko:K01588	paz:TIA2EST2_08280
ko:K01589	paz:TIA2EST2_08285
ko:K03524	paz:TIA2EST2_08300
ko:K06287	paz:TIA2EST2_08320
ko:K00868	paz:TIA2EST2_08335
ko:K03654	paz:TIA2EST2_04505
ko:K11939	paz:TIA2EST2_04515
ko:K00773	paz:TIA2EST2_04520
ko:K09125	paz:TIA2EST2_04550
ko:K07042	paz:TIA2EST2_04575
ko:K01649	paz:TIA2EST2_04595
ko:K00806	paz:TIA2EST2_04600
ko:K03584	paz:TIA2EST2_04610
ko:K01491	paz:TIA2EST2_08485
ko:K00602	paz:TIA2EST2_08505
ko:K11175	paz:TIA2EST2_08510
ko:K00794	paz:TIA2EST2_08515
ko:K14652	paz:TIA2EST2_08520
ko:K00793	paz:TIA2EST2_08525
ko:K11752	paz:TIA2EST2_08530
ko:K01902	paz:TIA2EST2_08540
ko:K01903	paz:TIA2EST2_08545
ko:K03657	paz:TIA2EST2_08550
ko:K02073	paz:TIA2EST2_08555
ko:K02071	paz:TIA2EST2_08560
ko:K02072	paz:TIA2EST2_08565
ko:K06131	paz:TIA2EST2_08570
ko:K01951	paz:TIA2EST2_08585
ko:K00640	paz:TIA2EST2_08590
ko:K04092	paz:TIA2EST2_08595
ko:K03924	paz:TIA2EST2_04760
ko:K06997	paz:TIA2EST2_04780
ko:K09458	paz:TIA2EST2_04790
ko:K02078	paz:TIA2EST2_04795
ko:K00648	paz:TIA2EST2_04800
ko:K00645	paz:TIA2EST2_04805
ko:K00077	paz:TIA2EST2_04810
ko:K00163	paz:TIA2EST2_04830
ko:K08281	paz:TIA2EST2_04850
ko:K02825	paz:TIA2EST2_04860
ko:K00609	paz:TIA2EST2_04865
ko:K01465	paz:TIA2EST2_04870
ko:K01956	paz:TIA2EST2_04875
ko:K01955	paz:TIA2EST2_04880
ko:K03431	paz:TIA2EST2_08765
ko:K02996	paz:TIA2EST2_08770
ko:K02871	paz:TIA2EST2_08775
ko:K03439	paz:TIA2EST2_08805
ko:K06173	paz:TIA2EST2_08810
ko:K04564	paz:TIA2EST2_08850
ko:K07738	paz:TIA2EST2_05005
ko:K03578	paz:TIA2EST2_05025
ko:K10805	paz:TIA2EST2_05030
ko:K03086	paz:TIA2EST2_05040
ko:K02470	paz:TIA2EST2_05095
ko:K07791	paz:TIA2EST2_05100
ko:K02469	paz:TIA2EST2_05110
ko:K02895	paz:TIA2EST2_09010
ko:K02874	paz:TIA2EST2_09015
ko:K02961	paz:TIA2EST2_09020
ko:K02904	paz:TIA2EST2_09025
ko:K02878	paz:TIA2EST2_09030
ko:K02982	paz:TIA2EST2_09035
ko:K02890	paz:TIA2EST2_09040
ko:K02965	paz:TIA2EST2_09045
ko:K02886	paz:TIA2EST2_09050
ko:K02892	paz:TIA2EST2_09055
ko:K02926	paz:TIA2EST2_09060
ko:K02906	paz:TIA2EST2_09065
ko:K02946	paz:TIA2EST2_09070
ko:K01886	paz:TIA2EST2_09090
ko:K02358	paz:TIA2EST2_09110
ko:K13979	paz:TIA2EST2_05240
ko:K01868	paz:TIA2EST2_05255
ko:K00995	paz:TIA2EST2_05265
ko:K02437	paz:TIA2EST2_05290
ko:K08999	paz:TIA2EST2_05305
ko:K07058	paz:TIA2EST2_05315
ko:K05606	paz:TIA2EST2_05395
ko:K05838	paz:TIA2EST2_05405
ko:K00174	paz:TIA2EST2_09250
ko:K00175	paz:TIA2EST2_09255
ko:K01644	paz:TIA2EST2_09325
ko:K00343	paz:TIA2EST2_09340
ko:K02434	paz:TIA2EST2_05495
ko:K01609	paz:TIA2EST2_05525
ko:K01696	paz:TIA2EST2_05530
ko:K01695	paz:TIA2EST2_05535
ko:K00266	paz:TIA2EST2_05550
ko:K07106	paz:TIA2EST2_05575
ko:K01223	paz:TIA2EST2_05600
ko:K02760	paz:TIA2EST2_05605
ko:K02761	paz:TIA2EST2_05610
ko:K02759	paz:TIA2EST2_05615
ko:K02337	paz:TIA2EST2_05620
ko:K00013	paz:TIA2EST2_05630
ko:K00817	paz:TIA2EST2_05635
ko:K01693	paz:TIA2EST2_05640
ko:K02501	paz:TIA2EST2_05645
ko:K01159	paz:TIA2EST2_05660
ko:K01876	paz:TIA2EST2_05750
ko:K07478	paz:TIA2EST2_05755
ko:K01872	paz:TIA2EST2_05765
ko:K07447	paz:TIA2EST2_05770
ko:K07082	paz:TIA2EST2_05775
ko:K00014	paz:TIA2EST2_05780
ko:K01736	paz:TIA2EST2_05785
ko:K00891	paz:TIA2EST2_05790
ko:K01735	paz:TIA2EST2_05795
ko:K07282	paz:TIA2EST2_05800
ko:K02356	paz:TIA2EST2_05815
ko:K03625	paz:TIA2EST2_05820
ko:K00942	paz:TIA2EST2_05830
ko:K03060	paz:TIA2EST2_05835
ko:K13038	paz:TIA2EST2_05840
ko:K00789	paz:TIA2EST2_05845
ko:K04066	paz:TIA2EST2_05850
ko:K00604	paz:TIA2EST2_05855
ko:K03500	paz:TIA2EST2_05860
ko:K01783	paz:TIA2EST2_05875
ko:K01421	paz:TIA2EST2_05895
ko:K03433	paz:TIA2EST2_05910
ko:K03432	paz:TIA2EST2_05915
ko:K00945	paz:TIA2EST2_05925
ko:K03977	paz:TIA2EST2_05930
ko:K06207	paz:TIA2EST2_09740
ko:K01624	paz:TIA2EST2_09780
ko:K03975	paz:TIA2EST2_09795
ko:K03820	paz:TIA2EST2_05985
ko:K01126	paz:TIA2EST2_06000
ko:K00868	paz:TIA2EST2_06005
ko:K00790	paz:TIA2EST2_06010
ko:K00382	paz:TIA2EST2_06015
ko:K15034	paz:TIA2EST2_06040
ko:K02114	paz:TIA2EST2_06075
ko:K02112	paz:TIA2EST2_06080
ko:K02115	paz:TIA2EST2_06085
ko:K02111	paz:TIA2EST2_06090
ko:K02113	paz:TIA2EST2_06095
ko:K02109	paz:TIA2EST2_06100
ko:K02110	paz:TIA2EST2_06105
ko:K02108	paz:TIA2EST2_06110
ko:K02493	paz:TIA2EST2_06135
ko:K02835	paz:TIA2EST2_06140
ko:K02909	paz:TIA2EST2_06145
ko:K03628	paz:TIA2EST2_06150
ko:K00872	paz:TIA2EST2_06155
ko:K01733	paz:TIA2EST2_06160
ko:K00003	paz:TIA2EST2_06165
ko:K01586	paz:TIA2EST2_06170
ko:K00164	paz:TIA2EST2_06180
ko:K00800	paz:TIA2EST2_06220
ko:K06949	paz:TIA2EST2_06225
ko:K02034	paz:TIA2EST2_06255
ko:K06133	paz:TIA2EST2_06340
ko:K07043	paz:TIA2EST2_06430
ko:K03657	paz:TIA2EST2_06445
ko:K03437	paz:TIA2EST2_06940
ko:K07742	paz:TIA2EST2_07400
ko:K02600	paz:TIA2EST2_07405
ko:K09748	paz:TIA2EST2_07410
ko:K07090	paz:TIA2EST2_07420
ko:K01881	paz:TIA2EST2_07430
ko:K11717	paz:TIA2EST2_07660
ko:K09013	paz:TIA2EST2_07665
ko:K09015	paz:TIA2EST2_07675
ko:K09014	paz:TIA2EST2_07680
ko:K07107	paz:TIA2EST2_07930
ko:K02346	paz:TIA2EST2_08115
ko:K00989	paz:TIA2EST2_08135
ko:K01776	paz:TIA2EST2_08140
ko:K04758	paz:TIA2EST2_08145
ko:K04759	paz:TIA2EST2_08150
ko:K06891	paz:TIA2EST2_08165
ko:K00763	paz:TIA2EST2_08170
ko:K03530	paz:TIA2EST2_08175
ko:K00705	paz:TIA2EST2_08180
ko:K03786	paz:TIA2EST2_08195
ko:K09791	paz:TIA2EST2_08210
ko:K00382	paz:TIA2EST2_08375
ko:K00876	paz:TIA2EST2_08395
ko:K01874	paz:TIA2EST2_08410
ko:K02057	paz:TIA2EST2_08425
ko:K02057	paz:TIA2EST2_08430
ko:K07335	paz:TIA2EST2_08440
ko:K00031	paz:TIA2EST2_08460
ko:K01433	paz:TIA2EST2_08465
ko:K00024	paz:TIA2EST2_08470
ko:K13922	paz:TIA2EST2_08475
ko:K03310	paz:TIA2EST2_08615
ko:K04077	paz:TIA2EST2_08625
ko:K04078	paz:TIA2EST2_08630
ko:K02013	paz:TIA2EST2_08660
ko:K02015	paz:TIA2EST2_08665
ko:K02016	paz:TIA2EST2_08670
ko:K03789	paz:TIA2EST2_08685
ko:K06925	paz:TIA2EST2_08695
ko:K02003	paz:TIA2EST2_08715
ko:K00997	paz:TIA2EST2_08730
ko:K00820	paz:TIA2EST2_08735
ko:K02879	paz:TIA2EST2_08895
ko:K03040	paz:TIA2EST2_08900
ko:K02986	paz:TIA2EST2_08905
ko:K02948	paz:TIA2EST2_08910
ko:K02952	paz:TIA2EST2_08915
ko:K02919	paz:TIA2EST2_08920
ko:K02518	paz:TIA2EST2_08925
ko:K01265	paz:TIA2EST2_08930
ko:K03076	paz:TIA2EST2_08940
ko:K01126	paz:TIA2EST2_08955
ko:K02876	paz:TIA2EST2_08970
ko:K02907	paz:TIA2EST2_08975
ko:K02988	paz:TIA2EST2_08980
ko:K02881	paz:TIA2EST2_08985
ko:K02933	paz:TIA2EST2_08990
ko:K02994	paz:TIA2EST2_08995
ko:K02954	paz:TIA2EST2_09000
ko:K02931	paz:TIA2EST2_09005
ko:K02355	paz:TIA2EST2_09125
ko:K02992	paz:TIA2EST2_09130
ko:K02950	paz:TIA2EST2_09135
ko:K03046	paz:TIA2EST2_09155
ko:K03043	paz:TIA2EST2_09160
ko:K02935	paz:TIA2EST2_09165
ko:K02864	paz:TIA2EST2_09170
ko:K02863	paz:TIA2EST2_09175
ko:K02867	paz:TIA2EST2_09180
ko:K02601	paz:TIA2EST2_09185
ko:K00075	paz:TIA2EST2_09200
ko:K02913	paz:TIA2EST2_09215
ko:K01142	paz:TIA2EST2_09220
ko:K00338	paz:TIA2EST2_09235
ko:K00332	paz:TIA2EST2_09240
ko:K00342	paz:TIA2EST2_09345
ko:K00341	paz:TIA2EST2_09350
ko:K00340	paz:TIA2EST2_09355
ko:K00339	paz:TIA2EST2_09360
ko:K00338	paz:TIA2EST2_09365
ko:K00337	paz:TIA2EST2_09370
ko:K00334	paz:TIA2EST2_09385
ko:K00333	paz:TIA2EST2_09390
ko:K00332	paz:TIA2EST2_09395
ko:K00331	paz:TIA2EST2_09400
ko:K00330	paz:TIA2EST2_09405
ko:K03183	paz:TIA2EST2_09435
ko:K02548	paz:TIA2EST2_09470
