ko:K18137	abaj:BJAB0868_02239
ko:K00948	abaj:BJAB0868_00846
ko:K00919	abaj:BJAB0868_00847
ko:K02494	abaj:BJAB0868_00848
ko:K02492	abaj:BJAB0868_00850
ko:K05807	abaj:BJAB0868_00852
ko:K06180	abaj:BJAB0868_00853
ko:K05810	abaj:BJAB0868_00854
ko:K03664	abaj:BJAB0868_00856
ko:K00954	abaj:BJAB0868_00857
ko:K16135	abaj:BJAB0868_00861
ko:K07246	abaj:BJAB0868_00862
ko:K06942	abaj:BJAB0868_01637
ko:K02072	abaj:BJAB0868_01638
ko:K02071	abaj:BJAB0868_01639
ko:K02073	abaj:BJAB0868_01640
ko:K02073	abaj:BJAB0868_01641
ko:K10001	abaj:BJAB0868_01647
ko:K10003	abaj:BJAB0868_01648
ko:K10002	abaj:BJAB0868_01649
ko:K10004	abaj:BJAB0868_01650
ko:K03457	abaj:BJAB0868_01661
ko:K07347	abaj:BJAB0868_01667
ko:K07345	abaj:BJAB0868_01669
ko:K01012	abaj:BJAB0868_01672
ko:K01159	abaj:BJAB0868_01675
ko:K03823	abaj:BJAB0868_01678
ko:K07113	abaj:BJAB0868_01680
ko:K03495	abaj:BJAB0868_02424
ko:K02687	abaj:BJAB0868_02426
ko:K03557	abaj:BJAB0868_02428
ko:K00602	abaj:BJAB0868_02429
ko:K01945	abaj:BJAB0868_02430
ko:K02073	abaj:BJAB0868_02431
ko:K02071	abaj:BJAB0868_02432
ko:K02072	abaj:BJAB0868_02433
ko:K11103	abaj:BJAB0868_02436
ko:K01779	abaj:BJAB0868_02443
ko:K09857	abaj:BJAB0868_02444
ko:K06192	abaj:BJAB0868_02445
ko:K03808	abaj:BJAB0868_02446
ko:K03808	abaj:BJAB0868_02447
ko:K09758	abaj:BJAB0868_02449
ko:K03762	abaj:BJAB0868_02452
ko:K07347	abaj:BJAB0868_02455
ko:K06923	abaj:BJAB0868_02463
ko:K03312	abaj:BJAB0868_02464
ko:K03821	abaj:BJAB0868_02465
ko:K01755	abaj:BJAB0868_00328
ko:K08082	abaj:BJAB0868_00329
ko:K08083	abaj:BJAB0868_00330
ko:K01749	abaj:BJAB0868_00331
ko:K07107	abaj:BJAB0868_00335
ko:K02452	abaj:BJAB0868_00338
ko:K02453	abaj:BJAB0868_00339
ko:K01091	abaj:BJAB0868_00341
ko:K01657	abaj:BJAB0868_00342
ko:K02358	abaj:BJAB0868_00343
ko:K03073	abaj:BJAB0868_00344
ko:K02601	abaj:BJAB0868_00345
ko:K02867	abaj:BJAB0868_00346
ko:K02863	abaj:BJAB0868_00347
ko:K02864	abaj:BJAB0868_00348
ko:K02935	abaj:BJAB0868_00349
ko:K03043	abaj:BJAB0868_00350
ko:K03046	abaj:BJAB0868_00351
ko:K07084	abaj:BJAB0868_00356
ko:K07275	abaj:BJAB0868_00357
ko:K04079	abaj:BJAB0868_00359
ko:K07002	abaj:BJAB0868_00365
ko:K01825	abaj:BJAB0868_00369
ko:K03703	abaj:BJAB0868_00373
ko:K00995	abaj:BJAB0868_00375
ko:K10778	abaj:BJAB0868_00376
ko:K03188	abaj:BJAB0868_01131
ko:K03189	abaj:BJAB0868_01132
ko:K03192	abaj:BJAB0868_01133
ko:K05515	abaj:BJAB0868_01135
ko:K10773	abaj:BJAB0868_01140
ko:K00262	abaj:BJAB0868_01142
ko:K00783	abaj:BJAB0868_01145
ko:K01338	abaj:BJAB0868_01146
ko:K07347	abaj:BJAB0868_01939
ko:K07345	abaj:BJAB0868_01953
ko:K01845	abaj:BJAB0868_02710
ko:K00788	abaj:BJAB0868_02711
ko:K06956	abaj:BJAB0868_02718
ko:K00031	abaj:BJAB0868_02723
ko:K06181	abaj:BJAB0868_02724
ko:K00031	abaj:BJAB0868_02725
ko:K03885	abaj:BJAB0868_02728
ko:K03775	abaj:BJAB0868_02729
ko:K01669	abaj:BJAB0868_02731
ko:K00459	abaj:BJAB0868_02740
ko:K00931	abaj:BJAB0868_02744
ko:K03979	abaj:BJAB0868_02745
ko:K00134	abaj:BJAB0868_02748
ko:K05786	abaj:BJAB0868_02749
ko:K03098	abaj:BJAB0868_02750
ko:K03702	abaj:BJAB0868_02751
ko:K00812	abaj:BJAB0868_02755
ko:K02204	abaj:BJAB0868_03489
ko:K02500	abaj:BJAB0868_03490
ko:K06188	abaj:BJAB0868_03493
ko:K01173	abaj:BJAB0868_03497
ko:K03549	abaj:BJAB0868_03499
ko:K08224	abaj:BJAB0868_03515
ko:K06911	abaj:BJAB0868_03520
ko:K00823	abaj:BJAB0868_03524
ko:K00375	abaj:BJAB0868_03525
ko:K11735	abaj:BJAB0868_03526
ko:K01703	abaj:BJAB0868_00474
ko:K01704	abaj:BJAB0868_00475
ko:K00052	abaj:BJAB0868_00477
ko:K02518	abaj:BJAB0868_00480
ko:K06173	abaj:BJAB0868_00482
ko:K00133	abaj:BJAB0868_00486
ko:K11102	abaj:BJAB0868_00488
ko:K02517	abaj:BJAB0868_00490
ko:K15738	abaj:BJAB0868_00492
ko:K03745	abaj:BJAB0868_00493
ko:K03168	abaj:BJAB0868_00497
ko:K03657	abaj:BJAB0868_00500
ko:K02913	abaj:BJAB0868_00506
ko:K02902	abaj:BJAB0868_00507
ko:K00154	abaj:BJAB0868_00508
ko:K01433	abaj:BJAB0868_00510
ko:K03832	abaj:BJAB0868_00511
ko:K03561	abaj:BJAB0868_00512
ko:K13292	abaj:BJAB0868_00520
ko:K07093	abaj:BJAB0868_00522
ko:K07093	abaj:BJAB0868_00523
ko:K12297	abaj:BJAB0868_01286
ko:K00609	abaj:BJAB0868_01288
ko:K01465	abaj:BJAB0868_01289
ko:K03439	abaj:BJAB0868_01293
ko:K03387	abaj:BJAB0868_01297
ko:K03578	abaj:BJAB0868_01302
ko:K16872	abaj:BJAB0868_01303
ko:K05548	abaj:BJAB0868_01305
ko:K05782	abaj:BJAB0868_01306
ko:K05783	abaj:BJAB0868_01307
ko:K05784	abaj:BJAB0868_01308
ko:K05550	abaj:BJAB0868_01309
ko:K05549	abaj:BJAB0868_01310
ko:K03601	abaj:BJAB0868_01321
ko:K03704	abaj:BJAB0868_01327
ko:K00286	abaj:BJAB0868_01329
ko:K02688	abaj:BJAB0868_02082
ko:K03464	abaj:BJAB0868_02096
ko:K03381	abaj:BJAB0868_02097
ko:K01031	abaj:BJAB0868_02098
ko:K01055	abaj:BJAB0868_02101
ko:K01434	abaj:BJAB0868_02102
ko:K02624	abaj:BJAB0868_02124
ko:K07112	abaj:BJAB0868_02126
ko:K07112	abaj:BJAB0868_02127
ko:K05358	abaj:BJAB0868_02129
ko:K00865	abaj:BJAB0868_02858
ko:K16137	abaj:BJAB0868_02859
ko:K07124	abaj:BJAB0868_02860
ko:K07044	abaj:BJAB0868_02863
ko:K04760	abaj:BJAB0868_02868
ko:K14058	abaj:BJAB0868_02871
ko:K03799	abaj:BJAB0868_02873
ko:K01126	abaj:BJAB0868_02876
ko:K00901	abaj:BJAB0868_02878
ko:K04077	abaj:BJAB0868_02879
ko:K04078	abaj:BJAB0868_02880
ko:K00111	abaj:BJAB0868_02889
ko:K00864	abaj:BJAB0868_02890
ko:K01491	abaj:BJAB0868_02894
ko:K00796	abaj:BJAB0868_02898
ko:K03798	abaj:BJAB0868_02899
ko:K07574	abaj:BJAB0868_02901
ko:K00763	abaj:BJAB0868_03631
ko:K07560	abaj:BJAB0868_03632
ko:K01079	abaj:BJAB0868_03635
ko:K14652	abaj:BJAB0868_03637
ko:K00794	abaj:BJAB0868_03638
ko:K03625	abaj:BJAB0868_03639
ko:K00946	abaj:BJAB0868_03640
ko:K01095	abaj:BJAB0868_03642
ko:K04042	abaj:BJAB0868_03643
ko:K00820	abaj:BJAB0868_03644
ko:K01776	abaj:BJAB0868_03645
ko:K01091	abaj:BJAB0868_03646
ko:K01468	abaj:BJAB0868_03649
ko:K01745	abaj:BJAB0868_03651
ko:K01712	abaj:BJAB0868_03652
ko:K09975	abaj:BJAB0868_03653
ko:K05836	abaj:BJAB0868_03654
ko:K11734	abaj:BJAB0868_03658
ko:K01555	abaj:BJAB0868_03659
ko:K00457	abaj:BJAB0868_03663
ko:K03453	abaj:BJAB0868_03666
ko:K08281	abaj:BJAB0868_03667
ko:K01714	abaj:BJAB0868_03668
ko:K01923	abaj:BJAB0868_03670
ko:K07478	abaj:BJAB0868_03673
ko:K09160	abaj:BJAB0868_03675
ko:K03575	abaj:BJAB0868_03679
ko:K14225	abaj:BJAB0868_tRNA11
ko:K04754	abaj:BJAB0868_00680
ko:K03092	abaj:BJAB0868_00683
ko:K05808	abaj:BJAB0868_00684
ko:K00790	abaj:BJAB0868_00686
ko:K00765	abaj:BJAB0868_00687
ko:K00013	abaj:BJAB0868_00688
ko:K00817	abaj:BJAB0868_00689
ko:K01665	abaj:BJAB0868_00690
ko:K15984	abaj:BJAB0868_00702
ko:K01070	abaj:BJAB0868_00704
ko:K09956	abaj:BJAB0868_00705
ko:K01783	abaj:BJAB0868_00706
ko:K07233	abaj:BJAB0868_00710
ko:K00620	abaj:BJAB0868_00714
ko:K03517	abaj:BJAB0868_00715
ko:K00252	abaj:BJAB0868_00719
ko:K08196	abaj:BJAB0868_00720
ko:K02012	abaj:BJAB0868_01490
ko:K02011	abaj:BJAB0868_01492
ko:K03430	abaj:BJAB0868_01494
ko:K05306	abaj:BJAB0868_01495
ko:K08196	abaj:BJAB0868_01496
ko:K06446	abaj:BJAB0868_01497
ko:K00459	abaj:BJAB0868_01501
ko:K00074	abaj:BJAB0868_01505
ko:K06446	abaj:BJAB0868_01508
ko:K08196	abaj:BJAB0868_01509
ko:K01031	abaj:BJAB0868_01510
ko:K01032	abaj:BJAB0868_01511
ko:K04090	abaj:BJAB0868_01517
ko:K01640	abaj:BJAB0868_01519
ko:K01968	abaj:BJAB0868_01520
ko:K13766	abaj:BJAB0868_01521
ko:K01969	abaj:BJAB0868_01522
ko:K00253	abaj:BJAB0868_01523
ko:K15256	abaj:BJAB0868_01526
ko:K00075	abaj:BJAB0868_02282
ko:K07107	abaj:BJAB0868_02286
ko:K07276	abaj:BJAB0868_03201
ko:K00826	abaj:BJAB0868_03202
ko:K00982	abaj:BJAB0868_03203
ko:K07568	abaj:BJAB0868_03205
ko:K03744	abaj:BJAB0868_03207
ko:K00773	abaj:BJAB0868_03208
ko:K03210	abaj:BJAB0868_03209
ko:K03072	abaj:BJAB0868_03210
ko:K03074	abaj:BJAB0868_03211
ko:K13038	abaj:BJAB0868_03212
ko:K03630	abaj:BJAB0868_03213
ko:K07053	abaj:BJAB0868_03215
ko:K06190	abaj:BJAB0868_03216
ko:K09780	abaj:BJAB0868_03217
ko:K15461	abaj:BJAB0868_03219
ko:K09767	abaj:BJAB0868_03221
ko:K10806	abaj:BJAB0868_03223
ko:K03672	abaj:BJAB0868_03224
ko:K00382	abaj:BJAB0868_03228
ko:K03665	abaj:BJAB0868_03237
ko:K02528	abaj:BJAB0868_03242
ko:K00097	abaj:BJAB0868_03243
ko:K02871	abaj:BJAB0868_03244
ko:K02996	abaj:BJAB0868_03245
ko:K03599	abaj:BJAB0868_03246
ko:K01887	abaj:BJAB0868_00180
ko:K07223	abaj:BJAB0868_00183
ko:K05834	abaj:BJAB0868_00184
ko:K09816	abaj:BJAB0868_00185
ko:K09817	abaj:BJAB0868_00186
ko:K09823	abaj:BJAB0868_00187
ko:K02108	abaj:BJAB0868_00190
ko:K02110	abaj:BJAB0868_00191
ko:K02109	abaj:BJAB0868_00192
ko:K02113	abaj:BJAB0868_00193
ko:K02111	abaj:BJAB0868_00194
ko:K02115	abaj:BJAB0868_00195
ko:K02112	abaj:BJAB0868_00196
ko:K02114	abaj:BJAB0868_00197
ko:K00432	abaj:BJAB0868_00199
ko:K07566	abaj:BJAB0868_00204
ko:K04096	abaj:BJAB0868_00205
ko:K01462	abaj:BJAB0868_00207
ko:K01738	abaj:BJAB0868_00217
ko:K08369	abaj:BJAB0868_01018
ko:K01714	abaj:BJAB0868_01019
ko:K03088	abaj:BJAB0868_01021
ko:K16087	abaj:BJAB0868_01023
ko:K09790	abaj:BJAB0868_01028
ko:K03530	abaj:BJAB0868_01785
ko:K03770	abaj:BJAB0868_01786
ko:K00496	abaj:BJAB0868_01788
ko:K02231	abaj:BJAB0868_01809
ko:K00768	abaj:BJAB0868_01810
ko:K02233	abaj:BJAB0868_01813
ko:K01626	abaj:BJAB0868_01814
ko:K07090	abaj:BJAB0868_01815
ko:K16088	abaj:BJAB0868_01819
ko:K00748	abaj:BJAB0868_01820
ko:K01993	abaj:BJAB0868_01822
ko:K02503	abaj:BJAB0868_01830
ko:K00322	abaj:BJAB0868_02570
ko:K03644	abaj:BJAB0868_02571
ko:K01251	abaj:BJAB0868_02575
ko:K00297	abaj:BJAB0868_02576
ko:K09761	abaj:BJAB0868_02577
ko:K00029	abaj:BJAB0868_02579
ko:K04691	abaj:BJAB0868_02581
ko:K04564	abaj:BJAB0868_02583
ko:K03179	abaj:BJAB0868_02587
ko:K03181	abaj:BJAB0868_02588
ko:K01915	abaj:BJAB0868_02589
ko:K03305	abaj:BJAB0868_02590
ko:K00766	abaj:BJAB0868_02595
ko:K01609	abaj:BJAB0868_02596
ko:K07402	abaj:BJAB0868_02598
ko:K13482	abaj:BJAB0868_02599
ko:K13481	abaj:BJAB0868_02600
ko:K01495	abaj:BJAB0868_02601
ko:K01599	abaj:BJAB0868_02608
ko:K02361	abaj:BJAB0868_02610
ko:K06966	abaj:BJAB0868_03341
ko:K03284	abaj:BJAB0868_03342
ko:K07122	abaj:BJAB0868_03344
ko:K07323	abaj:BJAB0868_03345
ko:K02066	abaj:BJAB0868_03347
ko:K02065	abaj:BJAB0868_03348
ko:K01662	abaj:BJAB0868_03352
ko:K00228	abaj:BJAB0868_03354
ko:K00014	abaj:BJAB0868_03355
ko:K07168	abaj:BJAB0868_03360
ko:K01878	abaj:BJAB0868_03365
ko:K01879	abaj:BJAB0868_03366
ko:K05526	abaj:BJAB0868_03375
ko:K01484	abaj:BJAB0868_03376
ko:K06447	abaj:BJAB0868_03377
ko:K00673	abaj:BJAB0868_03378
ko:K00840	abaj:BJAB0868_03379
ko:K00261	abaj:BJAB0868_03381
ko:K01114	abaj:BJAB0868_02287
ko:K02343	abaj:BJAB0868_02288
ko:K11250	abaj:BJAB0868_02298
ko:K05782	abaj:BJAB0868_02300
ko:K07507	abaj:BJAB0868_02301
ko:K01531	abaj:BJAB0868_02302
ko:K07275	abaj:BJAB0868_02311
ko:K16088	abaj:BJAB0868_02312
ko:K03824	abaj:BJAB0868_02315
ko:K16053	abaj:BJAB0868_02320
ko:K05523	abaj:BJAB0868_03057
ko:K06153	abaj:BJAB0868_03060
ko:K02616	abaj:BJAB0868_03061
ko:K00355	abaj:BJAB0868_03064
ko:K06076	abaj:BJAB0868_03065
ko:K02203	abaj:BJAB0868_03066
ko:K00390	abaj:BJAB0868_03067
ko:K08301	abaj:BJAB0868_03070
ko:K06287	abaj:BJAB0868_03071
ko:K03571	abaj:BJAB0868_03072
ko:K03570	abaj:BJAB0868_03073
ko:K03569	abaj:BJAB0868_03074
ko:K02435	abaj:BJAB0868_03075
ko:K02434	abaj:BJAB0868_03077
ko:K05520	abaj:BJAB0868_03079
ko:K01754	abaj:BJAB0868_03084
ko:K07001	abaj:BJAB0868_03085
ko:K03310	abaj:BJAB0868_03086
ko:K07552	abaj:BJAB0868_03090
ko:K09790	abaj:BJAB0868_03096
ko:K09977	abaj:BJAB0868_03097
ko:K02346	abaj:BJAB0868_00226
ko:K06966	abaj:BJAB0868_00229
ko:K09858	abaj:BJAB0868_00232
ko:K07447	abaj:BJAB0868_00382
ko:K07735	abaj:BJAB0868_00383
ko:K03631	abaj:BJAB0868_00384
ko:K09913	abaj:BJAB0868_00386
ko:K03218	abaj:BJAB0868_00387
ko:K00859	abaj:BJAB0868_00389
ko:K02654	abaj:BJAB0868_00390
ko:K02652	abaj:BJAB0868_00392
ko:K01803	abaj:BJAB0868_00393
ko:K03075	abaj:BJAB0868_00394
ko:K09748	abaj:BJAB0868_00395
ko:K02600	abaj:BJAB0868_00396
ko:K02519	abaj:BJAB0868_00397
ko:K02834	abaj:BJAB0868_00398
ko:K05564	abaj:BJAB0868_00399
ko:K05563	abaj:BJAB0868_00400
ko:K05562	abaj:BJAB0868_00401
ko:K05561	abaj:BJAB0868_00402
ko:K05560	abaj:BJAB0868_00403
ko:K05559	abaj:BJAB0868_00404
ko:K11755	abaj:BJAB0868_00407
ko:K03688	abaj:BJAB0868_00409
ko:K03690	abaj:BJAB0868_00410
ko:K03183	abaj:BJAB0868_00411
ko:K03583	abaj:BJAB0868_00415
ko:K03582	abaj:BJAB0868_00416
ko:K03581	abaj:BJAB0868_00417
ko:K02956	abaj:BJAB0868_00420
ko:K00962	abaj:BJAB0868_00421
ko:K09895	abaj:BJAB0868_01205
ko:K03185	abaj:BJAB0868_01207
ko:K06895	abaj:BJAB0868_01213
ko:K05596	abaj:BJAB0868_01214
ko:K07056	abaj:BJAB0868_01216
ko:K07460	abaj:BJAB0868_01217
ko:K03426	abaj:BJAB0868_01220
ko:K13893	abaj:BJAB0868_01224
ko:K13894	abaj:BJAB0868_01225
ko:K13895	abaj:BJAB0868_01226
ko:K13896	abaj:BJAB0868_01227
ko:K01465	abaj:BJAB0868_01231
ko:K01940	abaj:BJAB0868_01233
ko:K03543	abaj:BJAB0868_01987
ko:K00297	abaj:BJAB0868_02003
ko:K00948	abaj:BJAB0868_02006
ko:K02013	abaj:BJAB0868_02010
ko:K02015	abaj:BJAB0868_02011
ko:K02016	abaj:BJAB0868_02012
ko:K13979	abaj:BJAB0868_02014
ko:K03543	abaj:BJAB0868_02028
ko:K06169	abaj:BJAB0868_02760
ko:K03474	abaj:BJAB0868_02761
ko:K03584	abaj:BJAB0868_02762
ko:K03685	abaj:BJAB0868_02765
ko:K03100	abaj:BJAB0868_02767
ko:K03596	abaj:BJAB0868_02768
ko:K07107	abaj:BJAB0868_02769
ko:K00278	abaj:BJAB0868_02771
ko:K00943	abaj:BJAB0868_02773
ko:K07082	abaj:BJAB0868_02774
ko:K03118	abaj:BJAB0868_00524
ko:K03117	abaj:BJAB0868_00525
ko:K03116	abaj:BJAB0868_00526
ko:K07088	abaj:BJAB0868_00527
ko:K00641	abaj:BJAB0868_00531
ko:K01649	abaj:BJAB0868_00532
ko:K16090	abaj:BJAB0868_00534
ko:K03545	abaj:BJAB0868_00535
ko:K01358	abaj:BJAB0868_00536
ko:K03544	abaj:BJAB0868_00537
ko:K01676	abaj:BJAB0868_00540
ko:K13788	abaj:BJAB0868_00541
ko:K00925	abaj:BJAB0868_00542
ko:K01690	abaj:BJAB0868_00543
ko:K01625	abaj:BJAB0868_00544
ko:K00147	abaj:BJAB0868_00548
ko:K01207	abaj:BJAB0868_00551
ko:K03797	abaj:BJAB0868_00552
ko:K00940	abaj:BJAB0868_00556
ko:K06941	abaj:BJAB0868_00557
ko:K02656	abaj:BJAB0868_00558
ko:K01892	abaj:BJAB0868_00561
ko:K03977	abaj:BJAB0868_00564
ko:K02078	abaj:BJAB0868_00567
ko:K02078	abaj:BJAB0868_00568
ko:K01745	abaj:BJAB0868_00574
ko:K08995	abaj:BJAB0868_01339
ko:K01883	abaj:BJAB0868_01342
ko:K06041	abaj:BJAB0868_01343
ko:K03270	abaj:BJAB0868_01344
ko:K11719	abaj:BJAB0868_01345
ko:K09774	abaj:BJAB0868_01346
ko:K06861	abaj:BJAB0868_01347
ko:K12543	abaj:BJAB0868_01348
ko:K12541	abaj:BJAB0868_01349
ko:K12542	abaj:BJAB0868_01350
ko:K03555	abaj:BJAB0868_01358
ko:K02517	abaj:BJAB0868_01364
ko:K08195	abaj:BJAB0868_01366
ko:K07160	abaj:BJAB0868_01383
ko:K07107	abaj:BJAB0868_00575
ko:K09458	abaj:BJAB0868_00583
ko:K06133	abaj:BJAB0868_00585
ko:K03071	abaj:BJAB0868_00586
ko:K06949	abaj:BJAB0868_00589
ko:K13288	abaj:BJAB0868_00590
ko:K00208	abaj:BJAB0868_00592
ko:K05685	abaj:BJAB0868_00594
ko:K13888	abaj:BJAB0868_00595
ko:K02340	abaj:BJAB0868_00596
ko:K03643	abaj:BJAB0868_00597
ko:K01869	abaj:BJAB0868_00598
ko:K01652	abaj:BJAB0868_00600
ko:K01653	abaj:BJAB0868_00601
ko:K00053	abaj:BJAB0868_00602
ko:K02837	abaj:BJAB0868_00608
ko:K03424	abaj:BJAB0868_00611
ko:K01681	abaj:BJAB0868_00612
ko:K05539	abaj:BJAB0868_00618
ko:K00324	abaj:BJAB0868_00622
ko:K00324	abaj:BJAB0868_00623
ko:K00325	abaj:BJAB0868_00624
ko:K09967	abaj:BJAB0868_01394
ko:K09967	abaj:BJAB0868_01395
ko:K11746	abaj:BJAB0868_01397
ko:K07722	abaj:BJAB0868_01402
ko:K11901	abaj:BJAB0868_01409
ko:K11900	abaj:BJAB0868_01410
ko:K11903	abaj:BJAB0868_01411
ko:K11897	abaj:BJAB0868_01412
ko:K11896	abaj:BJAB0868_01413
ko:K11895	abaj:BJAB0868_01414
ko:K11891	abaj:BJAB0868_01416
ko:K11890	abaj:BJAB0868_01417
ko:K11907	abaj:BJAB0868_01420
ko:K11902	abaj:BJAB0868_01421
ko:K11893	abaj:BJAB0868_01422
ko:K11892	abaj:BJAB0868_01423
ko:K03449	abaj:BJAB0868_01429
ko:K09927	abaj:BJAB0868_01430
ko:K09765	abaj:BJAB0868_01432
ko:K13795	abaj:BJAB0868_00722
ko:K13796	abaj:BJAB0868_00723
ko:K13794	abaj:BJAB0868_00724
ko:K03288	abaj:BJAB0868_00726
ko:K13794	abaj:BJAB0868_00727
ko:K00549	abaj:BJAB0868_00735
ko:K09024	abaj:BJAB0868_00736
ko:K05358	abaj:BJAB0868_00745
ko:K07661	abaj:BJAB0868_00763
ko:K07639	abaj:BJAB0868_00764
ko:K00330	abaj:BJAB0868_00767
ko:K00331	abaj:BJAB0868_00768
ko:K13378	abaj:BJAB0868_00769
ko:K00334	abaj:BJAB0868_00770
ko:K03781	abaj:BJAB0868_01539
ko:K06975	abaj:BJAB0868_01550
ko:K02029	abaj:BJAB0868_01551
ko:K02029	abaj:BJAB0868_01552
ko:K11717	abaj:BJAB0868_01559
ko:K00640	abaj:BJAB0868_01561
ko:K00375	abaj:BJAB0868_01570
ko:K07734	abaj:BJAB0868_01571
ko:K13929	abaj:BJAB0868_01575
ko:K13930	abaj:BJAB0868_01576
ko:K13931	abaj:BJAB0868_01577
ko:K13932	abaj:BJAB0868_01578
ko:K13933	abaj:BJAB0868_01579
ko:K13934	abaj:BJAB0868_01580
ko:K13935	abaj:BJAB0868_01581
ko:K13928	abaj:BJAB0868_01584
ko:K01256	abaj:BJAB0868_02330
ko:K00878	abaj:BJAB0868_02333
ko:K13652	abaj:BJAB0868_02334
ko:K13954	abaj:BJAB0868_02337
ko:K03735	abaj:BJAB0868_02342
ko:K03736	abaj:BJAB0868_02343
ko:K01951	abaj:BJAB0868_02344
ko:K01886	abaj:BJAB0868_02345
ko:K03269	abaj:BJAB0868_02347
ko:K10679	abaj:BJAB0868_02349
ko:K03666	abaj:BJAB0868_02351
ko:K00791	abaj:BJAB0868_02352
ko:K03572	abaj:BJAB0868_02353
ko:K06925	abaj:BJAB0868_02354
ko:K03576	abaj:BJAB0868_02362
ko:K10716	abaj:BJAB0868_02366
ko:K01682	abaj:BJAB0868_02368
ko:K09800	abaj:BJAB0868_02370
ko:K06134	abaj:BJAB0868_02373
ko:K09470	abaj:BJAB0868_02375
ko:K01881	abaj:BJAB0868_03109
ko:K09946	abaj:BJAB0868_03110
ko:K06193	abaj:BJAB0868_03111
ko:K06980	abaj:BJAB0868_03114
ko:K03981	abaj:BJAB0868_03115
ko:K07088	abaj:BJAB0868_03117
ko:K03652	abaj:BJAB0868_03123
ko:K03282	abaj:BJAB0868_03127
ko:K06207	abaj:BJAB0868_03129
ko:K16345	abaj:BJAB0868_03130
ko:K11733	abaj:BJAB0868_03132
ko:K14415	abaj:BJAB0868_03133
ko:K08084	abaj:BJAB0868_03136
ko:K00381	abaj:BJAB0868_03141
ko:K00117	abaj:BJAB0868_03142
ko:K07267	abaj:BJAB0868_03144
ko:K00989	abaj:BJAB0868_00079
ko:K01114	abaj:BJAB0868_00081
ko:K00767	abaj:BJAB0868_00083
ko:K03806	abaj:BJAB0868_00084
ko:K03980	abaj:BJAB0868_00085
ko:K03773	abaj:BJAB0868_00086
ko:K16692	abaj:BJAB0868_00088
ko:K01991	abaj:BJAB0868_00091
ko:K02474	abaj:BJAB0868_00092
ko:K00785	abaj:BJAB0868_00101
ko:K00963	abaj:BJAB0868_00106
