ko:K11707	cpsm:B602_0479
ko:K01963	cpsm:B602_0376
ko:K00566	cpsm:B602_0384
ko:K03696	cpsm:B602_0385
ko:K03800	cpsm:B602_0387
ko:K02437	cpsm:B602_0390
ko:K00350	cpsm:B602_0393
ko:K00349	cpsm:B602_0394
ko:K00348	cpsm:B602_0395
ko:K00347	cpsm:B602_0396
ko:K02313	cpsm:B602_0399
ko:K03438	cpsm:B602_0402
ko:K03587	cpsm:B602_0404
ko:K01928	cpsm:B602_0407
ko:K01448	cpsm:B602_0408
ko:K00263	cpsm:B602_0905
ko:K09458	cpsm:B602_0908
ko:K09710	cpsm:B602_0909
ko:K00791	cpsm:B602_0913
ko:K03926	cpsm:B602_0916
ko:K06960	cpsm:B602_0917
ko:K02563	cpsm:B602_0919
ko:K03588	cpsm:B602_0920
ko:K01925	cpsm:B602_0922
ko:K01000	cpsm:B602_0923
ko:K01929	cpsm:B602_0924
ko:K02356	cpsm:B602_0930
ko:K01241	cpsm:B602_0931
ko:K00615	cpsm:B602_0932
ko:K01872	cpsm:B602_0933
ko:K03723	cpsm:B602_0934
ko:K01599	cpsm:B602_0935
ko:K00231	cpsm:B602_0937
ko:K03210	cpsm:B602_0941
ko:K00351	cpsm:B602_0942
ko:K03466	cpsm:B602_0952
ko:K03310	cpsm:B602_0956
ko:K14441	cpsm:B602_0573
ko:K02913	cpsm:B602_0574
ko:K09808	cpsm:B602_0575
ko:K02871	cpsm:B602_0578
ko:K02996	cpsm:B602_0579
ko:K01057	cpsm:B602_0585
ko:K00036	cpsm:B602_0586
ko:K15580	cpsm:B602_0587
ko:K03402	cpsm:B602_0589
ko:K02029	cpsm:B602_0590
ko:K07058	cpsm:B602_0594
ko:K01783	cpsm:B602_0597
ko:K02356	cpsm:B602_0598
ko:K02160	cpsm:B602_0599
ko:K01961	cpsm:B602_0600
ko:K09125	cpsm:B602_0626
ko:K00773	cpsm:B602_0628
ko:K02337	cpsm:B602_0085
ko:K07783	cpsm:B602_0086
ko:K01892	cpsm:B602_0088
ko:K01876	cpsm:B602_0089
ko:K03216	cpsm:B602_0091
ko:K03671	cpsm:B602_0092
ko:K06925	cpsm:B602_0096
ko:K03820	cpsm:B602_0099
ko:K02535	cpsm:B602_0100
ko:K02372	cpsm:B602_0101
ko:K00677	cpsm:B602_0102
ko:K00604	cpsm:B602_0103
ko:K02906	cpsm:B602_0106
ko:K02926	cpsm:B602_0107
ko:K02892	cpsm:B602_0108
ko:K02886	cpsm:B602_0109
ko:K02965	cpsm:B602_0110
ko:K02890	cpsm:B602_0111
ko:K02982	cpsm:B602_0112
ko:K02878	cpsm:B602_0113
ko:K02904	cpsm:B602_0114
ko:K02961	cpsm:B602_0115
ko:K02874	cpsm:B602_0116
ko:K02895	cpsm:B602_0117
ko:K02931	cpsm:B602_0118
ko:K02994	cpsm:B602_0119
ko:K02933	cpsm:B602_0120
ko:K02881	cpsm:B602_0121
ko:K02988	cpsm:B602_0122
ko:K02876	cpsm:B602_0123
ko:K03076	cpsm:B602_0124
ko:K02952	cpsm:B602_0125
ko:K02948	cpsm:B602_0126
ko:K03040	cpsm:B602_0127
ko:K02879	cpsm:B602_0128
ko:K00134	cpsm:B602_0129
ko:K01159	cpsm:B602_0133
ko:K03550	cpsm:B602_0134
ko:K00940	cpsm:B602_0135
ko:K03800	cpsm:B602_0136
ko:K00794	cpsm:B602_0960
ko:K14652	cpsm:B602_0961
ko:K11752	cpsm:B602_0962
ko:K03611	cpsm:B602_0632
ko:K00979	cpsm:B602_0641
ko:K01937	cpsm:B602_0642
ko:K07447	cpsm:B602_0643
ko:K15581	cpsm:B602_0648
ko:K03319	cpsm:B602_0653
ko:K00850	cpsm:B602_0654
ko:K02527	cpsm:B602_0659
ko:K01869	cpsm:B602_0661
ko:K01972	cpsm:B602_0665
ko:K03695	cpsm:B602_0679
ko:K02065	cpsm:B602_0681
ko:K02066	cpsm:B602_0682
ko:K01845	cpsm:B602_0683
ko:K01875	cpsm:B602_0963
ko:K05837	cpsm:B602_0966
ko:K03524	cpsm:B602_0968
ko:K06178	cpsm:B602_0970
ko:K04487	cpsm:B602_0972
ko:K13819	cpsm:B602_0973
ko:K02409	cpsm:B602_0975
ko:K02411	cpsm:B602_0976
ko:K02412	cpsm:B602_0977
ko:K00057	cpsm:B602_0980
ko:K03569	cpsm:B602_0986
ko:K03545	cpsm:B602_0989
ko:K01358	cpsm:B602_0991
ko:K03544	cpsm:B602_0992
ko:K03977	cpsm:B602_0994
ko:K03070	cpsm:B602_0996
ko:K01613	cpsm:B602_0998
ko:K03650	cpsm:B602_0999
ko:K10773	cpsm:B602_1000
ko:K03311	cpsm:B602_1001
ko:K00382	cpsm:B602_1004
ko:K03644	cpsm:B602_1005
ko:K03222	cpsm:B602_1006
ko:K03223	cpsm:B602_1008
ko:K03226	cpsm:B602_1009
ko:K03228	cpsm:B602_1011
ko:K01962	cpsm:B602_0413
ko:K07083	cpsm:B602_0416
ko:K00208	cpsm:B602_0421
ko:K03575	cpsm:B602_0426
ko:K04487	cpsm:B602_0436
ko:K01494	cpsm:B602_0440
ko:K03551	cpsm:B602_0442
ko:K01255	cpsm:B602_0447
ko:K02340	cpsm:B602_0450
ko:K07056	cpsm:B602_0451
ko:K00164	cpsm:B602_0457
ko:K00658	cpsm:B602_0458
ko:K05810	cpsm:B602_0459
ko:K03526	cpsm:B602_0460
ko:K07735	cpsm:B602_0684
ko:K08999	cpsm:B602_0685
ko:K01807	cpsm:B602_0686
ko:K08602	cpsm:B602_0693
ko:K04078	cpsm:B602_0694
ko:K04077	cpsm:B602_0695
ko:K03581	cpsm:B602_0701
ko:K01874	cpsm:B602_0702
ko:K00942	cpsm:B602_0704
ko:K03470	cpsm:B602_0705
ko:K02884	cpsm:B602_0706
ko:K00554	cpsm:B602_0707
ko:K02959	cpsm:B602_0708
ko:K03106	cpsm:B602_0709
ko:K02493	cpsm:B602_0710
ko:K02835	cpsm:B602_0711
ko:K02909	cpsm:B602_0712
ko:K03100	cpsm:B602_0714
ko:K01870	cpsm:B602_0715
ko:K07175	cpsm:B602_0717
ko:K00426	cpsm:B602_0721
ko:K00425	cpsm:B602_0722
ko:K02517	cpsm:B602_0725
ko:K00873	cpsm:B602_0726
ko:K03701	cpsm:B602_0727
ko:K01873	cpsm:B602_0729
ko:K03495	cpsm:B602_0137
ko:K00995	cpsm:B602_0140
ko:K03301	cpsm:B602_0141
ko:K00859	cpsm:B602_0144
ko:K03628	cpsm:B602_0145
ko:K00762	cpsm:B602_0147
ko:K00975	cpsm:B602_0148
ko:K07099	cpsm:B602_0149
ko:K01772	cpsm:B602_0152
ko:K02034	cpsm:B602_0162
ko:K01890	cpsm:B602_0165
ko:K03584	cpsm:B602_0171
ko:K07714	cpsm:B602_0176
ko:K07710	cpsm:B602_0178
ko:K00991	cpsm:B602_0184
ko:K02836	cpsm:B602_0188
ko:K00790	cpsm:B602_0193
ko:K01887	cpsm:B602_0194
ko:K02455	cpsm:B602_1017
ko:K02453	cpsm:B602_1019
ko:K03572	cpsm:B602_1023
ko:K01868	cpsm:B602_1030
ko:K01867	cpsm:B602_1034
ko:K03702	cpsm:B602_1035
ko:K01689	cpsm:B602_1036
ko:K00240	cpsm:B602_1041
ko:K00239	cpsm:B602_1042
ko:K03424	cpsm:B602_1044
ko:K03562	cpsm:B602_1046
ko:K03641	cpsm:B602_1049
ko:K03640	cpsm:B602_1050
ko:K03648	cpsm:B602_1059
ko:K03657	cpsm:B602_1060
ko:K03092	cpsm:B602_1061
ko:K03168	cpsm:B602_1063
ko:K00655	cpsm:B602_0195
ko:K00945	cpsm:B602_0196
ko:K00981	cpsm:B602_0197
ko:K00806	cpsm:B602_0198
ko:K12257	cpsm:B602_0202
ko:K07462	cpsm:B602_0203
ko:K03797	cpsm:B602_0211
ko:K02950	cpsm:B602_0216
ko:K02992	cpsm:B602_0217
ko:K02355	cpsm:B602_0218
ko:K02946	cpsm:B602_0219
ko:K01770	cpsm:B602_0221
ko:K02888	cpsm:B602_0224
ko:K02899	cpsm:B602_0225
ko:K03979	cpsm:B602_0226
ko:K09817	cpsm:B602_0227
ko:K00788	cpsm:B602_0230
ko:K00878	cpsm:B602_0231
ko:K03310	cpsm:B602_0236
ko:K03101	cpsm:B602_0237
ko:K06204	cpsm:B602_0238
ko:K07738	cpsm:B602_0239
ko:K00793	cpsm:B602_0240
ko:K06969	cpsm:B602_0241
ko:K03437	cpsm:B602_0242
ko:K00912	cpsm:B602_0243
ko:K00658	cpsm:B602_0245
ko:K06041	cpsm:B602_0246
ko:K07164	cpsm:B602_0247
ko:K06137	cpsm:B602_1071
ko:K13941	cpsm:B602_1074
ko:K01633	cpsm:B602_1075
ko:K03086	cpsm:B602_1076
ko:K02968	cpsm:B602_1078
ko:K03581	cpsm:B602_1080
ko:K13789	cpsm:B602_1084
ko:K03046	cpsm:B602_0741
ko:K03043	cpsm:B602_0742
ko:K02935	cpsm:B602_0743
ko:K02864	cpsm:B602_0744
ko:K02863	cpsm:B602_0745
ko:K02867	cpsm:B602_0746
ko:K02601	cpsm:B602_0747
ko:K03073	cpsm:B602_0748
ko:K02358	cpsm:B602_0750
ko:K02518	cpsm:B602_0752
ko:K03523	cpsm:B602_0756
ko:K01714	cpsm:B602_0762
ko:K00928	cpsm:B602_0763
ko:K00133	cpsm:B602_0764
ko:K00215	cpsm:B602_0765
ko:K09125	cpsm:B602_0767
ko:K01012	cpsm:B602_0770
ko:K01935	cpsm:B602_0772
ko:K00833	cpsm:B602_0773
ko:K00800	cpsm:B602_0775
ko:K00891	cpsm:B602_0776
ko:K01736	cpsm:B602_0777
ko:K01735	cpsm:B602_0778
ko:K13832	cpsm:B602_0779
ko:K03758	cpsm:B602_0783
ko:K00024	cpsm:B602_0786
ko:K01810	cpsm:B602_0788
ko:K00600	cpsm:B602_0253
ko:K01358	cpsm:B602_0254
ko:K01778	cpsm:B602_0255
ko:K03183	cpsm:B602_0257
ko:K07042	cpsm:B602_0264
ko:K03652	cpsm:B602_0268
ko:K12573	cpsm:B602_0269
ko:K04043	cpsm:B602_0270
ko:K03687	cpsm:B602_0271
ko:K03705	cpsm:B602_0272
ko:K01881	cpsm:B602_0273
ko:K09131	cpsm:B602_0276
ko:K10206	cpsm:B602_0278
ko:K06966	cpsm:B602_0281
ko:K09996	cpsm:B602_0290
ko:K06167	cpsm:B602_0292
ko:K03665	cpsm:B602_0293
ko:K03527	cpsm:B602_0798
ko:K03321	cpsm:B602_0801
ko:K01265	cpsm:B602_0806
ko:K02956	cpsm:B602_0816
ko:K00962	cpsm:B602_0817
ko:K03798	cpsm:B602_0818
ko:K04075	cpsm:B602_0819
ko:K07091	cpsm:B602_0820
ko:K11720	cpsm:B602_0821
ko:K01889	cpsm:B602_0824
ko:K02887	cpsm:B602_0825
ko:K02916	cpsm:B602_0826
ko:K02520	cpsm:B602_0827
ko:K03625	cpsm:B602_0828
ko:K00075	cpsm:B602_0829
ko:K03439	cpsm:B602_0832
ko:K09760	cpsm:B602_0836
ko:K01902	cpsm:B602_0840
ko:K01903	cpsm:B602_0841
ko:K03110	cpsm:B602_0842
ko:K06890	cpsm:B602_0843
ko:K03834	cpsm:B602_0844
ko:K00820	cpsm:B602_0845
ko:K03431	cpsm:B602_0846
ko:K02400	cpsm:B602_0469
ko:K02405	cpsm:B602_0470
ko:K01866	cpsm:B602_0472
ko:K03596	cpsm:B602_0475
ko:K03301	cpsm:B602_0477
ko:K00099	cpsm:B602_0483
ko:K03629	cpsm:B602_0486
ko:K02338	cpsm:B602_0487
ko:K03664	cpsm:B602_0488
ko:K03734	cpsm:B602_0489
ko:K01491	cpsm:B602_0490
ko:K02902	cpsm:B602_0497
ko:K00705	cpsm:B602_0498
ko:K04058	cpsm:B602_0500
ko:K03230	cpsm:B602_0501
ko:K03229	cpsm:B602_0502
ko:K06942	cpsm:B602_0503
ko:K11753	cpsm:B602_0504
ko:K02834	cpsm:B602_0506
ko:K02519	cpsm:B602_0507
ko:K02600	cpsm:B602_0508
ko:K02945	cpsm:B602_0509
ko:K00384	cpsm:B602_0510
ko:K00997	cpsm:B602_0511
ko:K03217	cpsm:B602_0514
ko:K02313	cpsm:B602_0515
ko:K00688	cpsm:B602_0518
ko:K01698	cpsm:B602_0001
ko:K00346	cpsm:B602_0002
ko:K03582	cpsm:B602_0009
ko:K03583	cpsm:B602_0010
ko:K07146	cpsm:B602_0012
ko:K02986	cpsm:B602_0013
ko:K01151	cpsm:B602_0014
ko:K03980	cpsm:B602_0016
ko:K06861	cpsm:B602_0023
ko:K00748	cpsm:B602_0849
ko:K03621	cpsm:B602_0867
ko:K02911	cpsm:B602_0868
ko:K08301	cpsm:B602_0870
ko:K00630	cpsm:B602_0871
ko:K00919	cpsm:B602_0875
ko:K02939	cpsm:B602_0876
ko:K02963	cpsm:B602_0877
ko:K02990	cpsm:B602_0878
ko:K01056	cpsm:B602_0879
ko:K02897	cpsm:B602_0880
ko:K00703	cpsm:B602_0882
ko:K00995	cpsm:B602_0883
ko:K14164	cpsm:B602_0884
ko:K03555	cpsm:B602_0890
ko:K03703	cpsm:B602_0891
ko:K02954	cpsm:B602_0893
ko:K02919	cpsm:B602_0894
ko:K01883	cpsm:B602_0896
ko:K04567	cpsm:B602_0897
ko:K04066	cpsm:B602_0901
ko:K00655	cpsm:B602_0903
ko:K09779	cpsm:B602_0318
ko:K02435	cpsm:B602_0319
ko:K02434	cpsm:B602_0321
ko:K06888	cpsm:B602_0333
ko:K02528	cpsm:B602_0335
ko:K01662	cpsm:B602_0336
ko:K03602	cpsm:B602_0338
ko:K03601	cpsm:B602_0339
ko:K01803	cpsm:B602_0340
ko:K03075	cpsm:B602_0342
ko:K01462	cpsm:B602_0344
ko:K06287	cpsm:B602_0347
ko:K03733	cpsm:B602_0349
ko:K01338	cpsm:B602_0352
ko:K02970	cpsm:B602_0355
ko:K03686	cpsm:B602_0356
ko:K11381	cpsm:B602_0357
ko:K08719	cpsm:B602_0981
ko:K00059	cpsm:B602_0530
ko:K02342	cpsm:B602_0097
ko:K00972	cpsm:B602_0979
ko:K01596	cpsm:B602_0985
ko:K00970	cpsm:B602_0993
ko:K03227	cpsm:B602_1010
ko:K01985	cpsm:B602_1088
ko:K00939	cpsm:B602_0581
ko:K01409	cpsm:B602_0588
ko:K02030	cpsm:B602_0151
ko:K02035	cpsm:B602_0160
ko:K02033	cpsm:B602_0161
ko:K00567	cpsm:B602_0163
ko:K07098	cpsm:B602_0185
ko:K02454	cpsm:B602_1018
ko:K01262	cpsm:B602_1022
ko:K07315	cpsm:B602_1037
ko:K00241	cpsm:B602_1043
ko:K03386	cpsm:B602_1053
ko:K02428	cpsm:B602_1057
ko:K01885	cpsm:B602_0206
ko:K00380	cpsm:B602_0220
ko:K09815	cpsm:B602_0228
ko:K01934	cpsm:B602_1069
ko:K02049	cpsm:B602_0636
ko:K02035	cpsm:B602_0645
ko:K02035	cpsm:B602_0646
ko:K02035	cpsm:B602_0647
ko:K15582	cpsm:B602_0649
ko:K10823	cpsm:B602_0650
ko:K15583	cpsm:B602_0651
ko:K06889	cpsm:B602_0655
ko:K06889	cpsm:B602_0662
ko:K01719	cpsm:B602_0252
ko:K03307	cpsm:B602_0286
ko:K03856	cpsm:B602_0288
ko:K00700	cpsm:B602_0296
ko:K02124	cpsm:B602_0731
ko:K02123	cpsm:B602_0732
ko:K02120	cpsm:B602_0733
ko:K02118	cpsm:B602_0734
ko:K02117	cpsm:B602_0735
ko:K02121	cpsm:B602_0737
ko:K00616	cpsm:B602_0740
ko:K00652	cpsm:B602_0771
ko:K04763	cpsm:B602_0789
ko:K02433	cpsm:B602_0320
ko:K03471	cpsm:B602_0325
ko:K00784	cpsm:B602_0350
ko:K01679	cpsm:B602_0802
ko:K00813	cpsm:B602_0006
ko:K00970	cpsm:B602_0848
ko:K01408	cpsm:B602_0872
ko:K01909	cpsm:B602_0902
ko:K11189	cpsm:B602_0362
ko:K08483	cpsm:B602_0363
ko:K02806	cpsm:B602_0378
ko:K02806	cpsm:B602_0379
ko:K07258	cpsm:B602_0079
ko:K01082	cpsm:B602_0904
ko:K01507	cpsm:B602_0906
ko:K07117	cpsm:B602_0954
ko:K06910	cpsm:B602_0955
ko:K02342	cpsm:B602_0417
ko:K06179	cpsm:B602_0425
ko:K07052	cpsm:B602_0428
ko:K00033	cpsm:B602_0473
ko:K03177	cpsm:B602_0505
ko:K02067	cpsm:B602_0680
ko:K11709	cpsm:B602_0482
ko:K11708	cpsm:B602_0481
ko:K11710	cpsm:B602_0480
ko:K14226	cpsm:B602_0950
ko:K14233	cpsm:B602_0823
ko:K14232	cpsm:B602_0467
ko:K14234	cpsm:B602_0047
ko:K03559	cpsm:B602_1047
ko:K14219	cpsm:B602_0026
ko:K00895	cpsm:B602_0656
ko:K01834	cpsm:B602_0971
ko:K11645	cpsm:B602_0543
ko:K09810	cpsm:B602_0576
ko:K14234	cpsm:B602_0568
ko:K14223	cpsm:B602_0881
ko:K14220	cpsm:B602_0697
ko:K14236	cpsm:B602_0569
ko:K14227	cpsm:B602_0637
ko:K02028	cpsm:B602_0591
ko:K14233	cpsm:B602_0229
ko:K01980	cpsm:B602_1089
ko:K14224	cpsm:B602_0052
ko:K17103	cpsm:B602_0835
ko:K14219	cpsm:B602_0174
ko:K04084	cpsm:B602_1045
ko:K14228	cpsm:B602_0792
ko:K14218	cpsm:B602_0005
ko:K14218	cpsm:B602_0638
ko:K14229	cpsm:B602_0051
ko:K14225	cpsm:B602_0057
ko:K14228	cpsm:B602_0093
ko:K14228	cpsm:B602_0131
ko:K14228	cpsm:B602_0180
ko:K14228	cpsm:B602_0168
ko:K14233	cpsm:B602_0139
ko:K14233	cpsm:B602_0332
ko:K14219	cpsm:B602_0409
ko:K14219	cpsm:B602_1054
ko:K14231	cpsm:B602_0223
ko:K14232	cpsm:B602_1085
ko:K14221	cpsm:B602_0563
ko:K14237	cpsm:B602_0564
ko:K14230	cpsm:B602_0657
ko:K14230	cpsm:B602_0658
ko:K14230	cpsm:B602_0755
ko:K14235	cpsm:B602_0749
ko:K14222	cpsm:B602_0925
ko:K01977	cpsm:B602_1090
ko:K14225	cpsm:B602_0988
ko:K14234	cpsm:B602_0751
ko:K14237	cpsm:B602_0831
ko:K01840	cpsm:B602_0374
ko:K06972	cpsm:B602_0837
ko:K07081	cpsm:B602_0258
ko:K03596	cpsm:B602_0474
ko:K00773	cpsm:B602_0627
ko:K01869	cpsm:B602_0660
ko:K01596	cpsm:B602_0984
ko:K07098	cpsm:B602_0186
ko:K04077	cpsm:B602_1055
ko:K22099	cpsm:B602_1072
ko:K08275	cpsm:B602_0492
ko:K08274	cpsm:B602_0787
ko:K18707	cpsm:B602_0294
ko:K03825	cpsm:B602_0189
ko:K03497	cpsm:B602_0068
ko:K03496	cpsm:B602_1031
ko:K03496	cpsm:B602_p0004
ko:K03111	cpsm:B602_0446
ko:K02626	cpsm:B602_0782
ko:K11991	cpsm:B602_0815
ko:K04771	cpsm:B602_0839
ko:K11749	cpsm:B602_0484
ko:K19405	cpsm:B602_0049
ko:K19411	cpsm:B602_0050
ko:K00500	cpsm:B602_0766
ko:K01802	cpsm:B602_0090
ko:K12132	cpsm:B602_0728
ko:K20074	cpsm:B602_0435
ko:K20265	cpsm:B602_0542
ko:K01214	cpsm:B602_0444
ko:K03309	cpsm:B602_0244
ko:K00526	cpsm:B602_0833
ko:K02316	cpsm:B602_0889
ko:K02314	cpsm:B602_0138
ko:K03553	cpsm:B602_1070
ko:K00287	cpsm:B602_1073
ko:K02314	cpsm:B602_p0008
ko:K01520	cpsm:B602_0377
ko:K02335	cpsm:B602_0143
ko:K00525	cpsm:B602_0834
ko:K02031	cpsm:B602_0070
ko:K07033	cpsm:B602_0061
ko:K02050	cpsm:B602_0803
ko:K02051	cpsm:B602_0803
ko:K01829	cpsm:B602_0895
ko:K01534	cpsm:B602_0965
ko:K16239	cpsm:B602_0496
