ko:K02495	seeb:SEEB0189_022330
ko:K14219	seeb:SEEB0189_006055
ko:K01977	seeb:SEEB0189_006525
ko:K14229	seeb:SEEB0189_007470
ko:K14229	seeb:SEEB0189_015595
ko:K14229	seeb:SEEB0189_015575
ko:K14229	seeb:SEEB0189_015580
ko:K14229	seeb:SEEB0189_015585
ko:K14218	seeb:SEEB0189_007505
ko:K14218	seeb:SEEB0189_007510
ko:K14220	seeb:SEEB0189_009395
ko:K14220	seeb:SEEB0189_009475
ko:K14220	seeb:SEEB0189_009465
ko:K14220	seeb:SEEB0189_009405
ko:K14228	seeb:SEEB0189_015895
ko:K14218	seeb:SEEB0189_018050
ko:K14218	seeb:SEEB0189_021675
ko:K14218	seeb:SEEB0189_022395
ko:K14227	seeb:SEEB0189_018055
ko:K14227	seeb:SEEB0189_022400
ko:K14227	seeb:SEEB0189_021680
ko:K14228	seeb:SEEB0189_019955
ko:K14225	seeb:SEEB0189_021635
ko:K14234	seeb:SEEB0189_021645
ko:K14232	seeb:SEEB0189_022665
ko:K01977	seeb:SEEB0189_022875
ko:K11070	seeb:SEEB0189_013460
ko:K00813	seeb:SEEB0189_014580
ko:K05601	seeb:SEEB0189_014860
ko:K14233	seeb:SEEB0189_006045
ko:K17686	seeb:SEEB0189_016805
ko:K19229	seeb:SEEB0189_011030
ko:K19789	seeb:SEEB0189_008400
ko:K00483	seeb:SEEB0189_014075
ko:K01096	seeb:SEEB0189_010955
ko:K03292	seeb:SEEB0189_022265
ko:K02226	seeb:SEEB0189_016065
ko:K17837	seeb:SEEB0189_001175
ko:K01840	seeb:SEEB0189_008985
ko:K00971	seeb:SEEB0189_009040
ko:K04772	seeb:SEEB0189_003120
ko:K03892	seeb:SEEB0189_004725
ko:K00042	seeb:SEEB0189_016700
ko:K00537	seeb:SEEB0189_007075
ko:K01497	seeb:SEEB0189_010950
ko:K01840	seeb:SEEB0189_009045
ko:K17722	seeb:SEEB0189_008580
ko:K17723	seeb:SEEB0189_008575
ko:K05799	seeb:SEEB0189_018625
ko:K13638	seeb:SEEB0189_002795
ko:K03566	seeb:SEEB0189_005215
ko:K00042	seeb:SEEB0189_003630
ko:K01659	seeb:SEEB0189_017465
ko:K00537	seeb:SEEB0189_004745
ko:K02477	seeb:SEEB0189_008720
ko:K00661	seeb:SEEB0189_016935
ko:K01187	seeb:SEEB0189_017290
ko:K03772	seeb:SEEB0189_002595
ko:K00146	seeb:SEEB0189_004235
ko:K01485	seeb:SEEB0189_003190
ko:K05540	seeb:SEEB0189_002935
ko:K04771	seeb:SEEB0189_018260
ko:K03292	seeb:SEEB0189_001115
ko:K03292	seeb:SEEB0189_022270
ko:K00632	seeb:SEEB0189_022435
ko:K11747	seeb:SEEB0189_002575
ko:K01130	seeb:SEEB0189_004270
ko:K00971	seeb:SEEB0189_008980
ko:K14059	seeb:SEEB0189_014545
ko:K08485	seeb:SEEB0189_003245
ko:K01791	seeb:SEEB0189_022735
ko:K01739	seeb:SEEB0189_021840
ko:K07459	seeb:SEEB0189_014850
ko:K07684	seeb:SEEB0189_010660
ko:K14742	seeb:SEEB0189_010390
ko:K03767	seeb:SEEB0189_002500
ko:K06518	seeb:SEEB0189_008605
ko:K02483	seeb:SEEB0189_014090
ko:K02809	seeb:SEEB0189_006705
ko:K02810	seeb:SEEB0189_006705
ko:K17758	seeb:SEEB0189_020590
ko:K17759	seeb:SEEB0189_020590
ko:K11928	seeb:SEEB0189_013955
ko:K00344	seeb:SEEB0189_021220
ko:K13695	seeb:SEEB0189_012825
ko:K08173	seeb:SEEB0189_011990
ko:K18140	seeb:SEEB0189_002910
ko:K00879	seeb:SEEB0189_005240
ko:K03973	seeb:SEEB0189_011065
ko:K10038	seeb:SEEB0189_015215
ko:K08351	seeb:SEEB0189_001660
ko:K18015	seeb:SEEB0189_008135
ko:K12979	seeb:SEEB0189_021010
ko:K03292	seeb:SEEB0189_022020
ko:K17938	seeb:SEEB0189_017425
ko:K12064	seeb:SEEB0189_000120
ko:K18325	seeb:SEEB0189_016375
ko:K03719	seeb:SEEB0189_014770
ko:K11645	seeb:SEEB0189_008810
ko:K03445	seeb:SEEB0189_001000
ko:K01801	seeb:SEEB0189_008630
ko:K18895	seeb:SEEB0189_006310
ko:K01582	seeb:SEEB0189_006755
ko:K10014	seeb:SEEB0189_007805
ko:K01066	seeb:SEEB0189_016845
ko:K07645	seeb:SEEB0189_003980
ko:K03668	seeb:SEEB0189_011265
ko:K02031	seeb:SEEB0189_013285
ko:K05396	seeb:SEEB0189_009710
ko:K00557	seeb:SEEB0189_021700
ko:K13053	seeb:SEEB0189_014210
ko:K04103	seeb:SEEB0189_007540
ko:K18148	seeb:SEEB0189_017725
ko:K18141	seeb:SEEB0189_002905
ko:K00001	seeb:SEEB0189_022130
ko:K11745	seeb:SEEB0189_018955
ko:K17948	seeb:SEEB0189_013925
ko:K00956	seeb:SEEB0189_005485
ko:K01582	seeb:SEEB0189_018135
ko:K02794	seeb:SEEB0189_016400
ko:K00249	seeb:SEEB0189_015065
ko:K01007	seeb:SEEB0189_012790
ko:K21469	seeb:SEEB0189_007175
ko:K03605	seeb:SEEB0189_004145
ko:K18292	seeb:SEEB0189_004280
ko:K18288	seeb:SEEB0189_004290
ko:K08156	seeb:SEEB0189_017330
ko:K10678	seeb:SEEB0189_014985
ko:K19597	seeb:SEEB0189_017540
ko:K07005	seeb:SEEB0189_015790
ko:K07493	seeb:SEEB0189_000370
ko:K19164	seeb:SEEB0189_000335
ko:K05875	seeb:SEEB0189_003785
ko:K18290	seeb:SEEB0189_004285
ko:K05875	seeb:SEEB0189_009880
ko:K18324	seeb:SEEB0189_007155
ko:K18326	seeb:SEEB0189_008860
ko:K05874	seeb:SEEB0189_019680
ko:K18828	seeb:SEEB0189_004955
ko:K04333	seeb:SEEB0189_013860
ko:K00984	seeb:SEEB0189_013255
ko:K04753	seeb:SEEB0189_004010
ko:K01023	seeb:SEEB0189_003910
ko:K18471	seeb:SEEB0189_013080
ko:K18479	seeb:SEEB0189_022250
ko:K18478	seeb:SEEB0189_022235
ko:K18446	seeb:SEEB0189_003860
ko:K18475	seeb:SEEB0189_009690
ko:K18691	seeb:SEEB0189_006720
ko:K18697	seeb:SEEB0189_006710
ko:K18142	seeb:SEEB0189_002900
ko:K18765	seeb:SEEB0189_002980
ko:K08138	seeb:SEEB0189_020280
ko:K18850	seeb:SEEB0189_013425
ko:K06218	seeb:SEEB0189_020125
ko:K18837	seeb:SEEB0189_017960
ko:K18889	seeb:SEEB0189_016990
ko:K18862	seeb:SEEB0189_001755
ko:K18862	seeb:SEEB0189_017235
ko:K03630	seeb:SEEB0189_017930
ko:K21645	seeb:SEEB0189_019810
ko:K11741	seeb:SEEB0189_020680
ko:K20861	seeb:SEEB0189_015020
ko:K20866	seeb:SEEB0189_022225
ko:K20881	seeb:SEEB0189_002390
ko:K20862	seeb:SEEB0189_022590
ko:K07319	seeb:SEEB0189_002925
ko:K18800	seeb:SEEB0189_004605
ko:K18778	seeb:SEEB0189_018685
ko:K18657	seeb:SEEB0189_014265
ko:K18890	seeb:SEEB0189_016985
ko:K18838	seeb:SEEB0189_017945
ko:K06218	seeb:SEEB0189_011775
ko:K03553	seeb:SEEB0189_006025
ko:K18918	seeb:SEEB0189_020130
ko:K18838	seeb:SEEB0189_004935
ko:K03976	seeb:SEEB0189_016820
ko:K01699	seeb:SEEB0189_009265
ko:K19055	seeb:SEEB0189_013170
ko:K03526	seeb:SEEB0189_006940
ko:K15367	seeb:SEEB0189_012550
ko:K18979	seeb:SEEB0189_020595
ko:K18997	seeb:SEEB0189_014020
ko:K18988	seeb:SEEB0189_017430
ko:K18837	seeb:SEEB0189_004940
ko:K19046	seeb:SEEB0189_005445
ko:K19000	seeb:SEEB0189_018120
ko:K08970	seeb:SEEB0189_005000
ko:K19227	seeb:SEEB0189_011040
ko:K07746	seeb:SEEB0189_005345
ko:K19222	seeb:SEEB0189_012710
ko:K19226	seeb:SEEB0189_011045
ko:K19235	seeb:SEEB0189_015160
ko:K19236	seeb:SEEB0189_013500
ko:K19123	seeb:SEEB0189_005440
ko:K15353	seeb:SEEB0189_008355
ko:K19163	seeb:SEEB0189_000330
ko:K13740	seeb:SEEB0189_005780
ko:K15352	seeb:SEEB0189_006285
ko:K15351	seeb:SEEB0189_012510
ko:K00590	seeb:SEEB0189_019945
ko:K19238	seeb:SEEB0189_008050
ko:K19148	seeb:SEEB0189_000890
ko:K22044	seeb:SEEB0189_015225
ko:K15349	seeb:SEEB0189_011355
ko:K19125	seeb:SEEB0189_005455
ko:K19228	seeb:SEEB0189_011035
ko:K19126	seeb:SEEB0189_005460
ko:K19234	seeb:SEEB0189_012665
ko:K19162	seeb:SEEB0189_016925
ko:K19168	seeb:SEEB0189_004660
ko:K09951	seeb:SEEB0189_005470
ko:K19270	seeb:SEEB0189_007910
ko:K19265	seeb:SEEB0189_007535
ko:K01066	seeb:SEEB0189_022205
ko:K08348	seeb:SEEB0189_011665
ko:K03722	seeb:SEEB0189_010385
ko:K19416	seeb:SEEB0189_014145
ko:K19335	seeb:SEEB0189_011135
ko:K19353	seeb:SEEB0189_021750
ko:K19267	seeb:SEEB0189_020370
ko:K19337	seeb:SEEB0189_010045
ko:K19304	seeb:SEEB0189_010030
ko:K19334	seeb:SEEB0189_020045
ko:K19302	seeb:SEEB0189_015030
ko:K19270	seeb:SEEB0189_012920
ko:K19354	seeb:SEEB0189_001330
ko:K19336	seeb:SEEB0189_011130
ko:K19333	seeb:SEEB0189_010285
ko:K21637	seeb:SEEB0189_004225
ko:K07713	seeb:SEEB0189_021490
ko:K02485	seeb:SEEB0189_010735
ko:K03293	seeb:SEEB0189_022685
ko:K06884	seeb:SEEB0189_010860
ko:K06884	seeb:SEEB0189_011960
ko:K06884	seeb:SEEB0189_013975
ko:K19303	seeb:SEEB0189_012370
ko:K02884	seeb:SEEB0189_006465
ko:K01626	seeb:SEEB0189_006480
ko:K14187	seeb:SEEB0189_006485
ko:K03672	seeb:SEEB0189_006575
ko:K03214	seeb:SEEB0189_006580
ko:K03648	seeb:SEEB0189_006585
ko:K05590	seeb:SEEB0189_006605
ko:K00278	seeb:SEEB0189_006615
ko:K03088	seeb:SEEB0189_006620
ko:K03761	seeb:SEEB0189_006550
ko:K14170	seeb:SEEB0189_006495
ko:K05809	seeb:SEEB0189_006500
ko:K05807	seeb:SEEB0189_006505
ko:K06180	seeb:SEEB0189_006510
ko:K13255	seeb:SEEB0189_019630
ko:K13821	seeb:SEEB0189_013960
ko:K03809	seeb:SEEB0189_013980
ko:K01085	seeb:SEEB0189_013990
ko:K08344	seeb:SEEB0189_014005
ko:K05516	seeb:SEEB0189_014015
ko:K02508	seeb:SEEB0189_014030
ko:K02511	seeb:SEEB0189_014035
ko:K02510	seeb:SEEB0189_014040
ko:K02509	seeb:SEEB0189_014045
ko:K01826	seeb:SEEB0189_014050
ko:K00455	seeb:SEEB0189_014055
ko:K05921	seeb:SEEB0189_014065
ko:K00484	seeb:SEEB0189_014080
ko:K07127	seeb:SEEB0189_014085
ko:K02484	seeb:SEEB0189_014095
ko:K05802	seeb:SEEB0189_016905
ko:K03577	seeb:SEEB0189_016910
ko:K05839	seeb:SEEB0189_016930
ko:K02919	seeb:SEEB0189_016945
ko:K02909	seeb:SEEB0189_016950
ko:K07443	seeb:SEEB0189_016960
ko:K09914	seeb:SEEB0189_016965
ko:K10805	seeb:SEEB0189_016970
ko:K03320	seeb:SEEB0189_016975
ko:K04752	seeb:SEEB0189_016980
ko:K05800	seeb:SEEB0189_016995
ko:K01738	seeb:SEEB0189_017000
ko:K11938	seeb:SEEB0189_017005
ko:K06920	seeb:SEEB0189_017015
ko:K12500	seeb:SEEB0189_017020
ko:K02237	seeb:SEEB0189_017025
ko:K03770	seeb:SEEB0189_017030
ko:K03530	seeb:SEEB0189_017035
ko:K01338	seeb:SEEB0189_017040
ko:K03544	seeb:SEEB0189_017045
ko:K01358	seeb:SEEB0189_017050
ko:K03545	seeb:SEEB0189_017055
ko:K05527	seeb:SEEB0189_017060
ko:K07286	seeb:SEEB0189_017065
ko:K08218	seeb:SEEB0189_017070
ko:K02297	seeb:SEEB0189_017075
ko:K02298	seeb:SEEB0189_017080
ko:K02299	seeb:SEEB0189_017085
ko:K02300	seeb:SEEB0189_017090
ko:K09767	seeb:SEEB0189_017115
ko:K00077	seeb:SEEB0189_017120
ko:K03152	seeb:SEEB0189_017125
ko:K05306	seeb:SEEB0189_017130
ko:K03430	seeb:SEEB0189_017135
ko:K12957	seeb:SEEB0189_019960
ko:K00851	seeb:SEEB0189_019965
ko:K00098	seeb:SEEB0189_019970
ko:K00046	seeb:SEEB0189_019975
ko:K06157	seeb:SEEB0189_019980
ko:K06146	seeb:SEEB0189_019985
ko:K11720	seeb:SEEB0189_019990
ko:K07091	seeb:SEEB0189_019995
ko:K01255	seeb:SEEB0189_020000
ko:K02339	seeb:SEEB0189_020005
ko:K01873	seeb:SEEB0189_020010
ko:K03828	seeb:SEEB0189_020020
ko:K06169	seeb:SEEB0189_020030
ko:K09893	seeb:SEEB0189_020035
ko:K00611	seeb:SEEB0189_020040
ko:K01478	seeb:SEEB0189_020050
ko:K00926	seeb:SEEB0189_020055
ko:K00611	seeb:SEEB0189_020060
ko:K00609	seeb:SEEB0189_020080
ko:K00610	seeb:SEEB0189_020085
ko:K09022	seeb:SEEB0189_020090
ko:K01531	seeb:SEEB0189_020095
ko:K03485	seeb:SEEB0189_020100
ko:K02818	seeb:SEEB0189_020105
ko:K02819	seeb:SEEB0189_020105
ko:K01226	seeb:SEEB0189_020110
ko:K01042	seeb:SEEB0189_020145
ko:K01465	seeb:SEEB0189_020150
ko:K13085	seeb:SEEB0189_014115
ko:K11179	seeb:SEEB0189_014150
ko:K01512	seeb:SEEB0189_014155
ko:K06910	seeb:SEEB0189_014165
ko:K06969	seeb:SEEB0189_014170
ko:K11940	seeb:SEEB0189_014175
ko:K06929	seeb:SEEB0189_014180
ko:K09909	seeb:SEEB0189_014185
ko:K01734	seeb:SEEB0189_014190
ko:K07343	seeb:SEEB0189_014205
ko:K03286	seeb:SEEB0189_014215
ko:K09911	seeb:SEEB0189_014220
ko:K04770	seeb:SEEB0189_014225
ko:K01716	seeb:SEEB0189_014230
ko:K09857	seeb:SEEB0189_014235
ko:K06192	seeb:SEEB0189_014240
ko:K03808	seeb:SEEB0189_014245
ko:K15738	seeb:SEEB0189_014250
ko:K12297	seeb:SEEB0189_014255
ko:K07140	seeb:SEEB0189_014260
ko:K01256	seeb:SEEB0189_014275
ko:K11081	seeb:SEEB0189_017150
ko:K11084	seeb:SEEB0189_017155
ko:K11083	seeb:SEEB0189_017160
ko:K11082	seeb:SEEB0189_017165
ko:K03151	seeb:SEEB0189_017170
ko:K03602	seeb:SEEB0189_017175
ko:K00795	seeb:SEEB0189_017180
ko:K01662	seeb:SEEB0189_017185
ko:K01095	seeb:SEEB0189_017195
ko:K00946	seeb:SEEB0189_017200
ko:K03625	seeb:SEEB0189_017205
ko:K00794	seeb:SEEB0189_017210
ko:K11752	seeb:SEEB0189_017215
ko:K07738	seeb:SEEB0189_017220
ko:K05517	seeb:SEEB0189_017230
ko:K06996	seeb:SEEB0189_017250
ko:K03074	seeb:SEEB0189_017255
ko:K03072	seeb:SEEB0189_017260
ko:K03210	seeb:SEEB0189_017265
ko:K00773	seeb:SEEB0189_017270
ko:K07568	seeb:SEEB0189_017275
ko:K08682	seeb:SEEB0189_017280
ko:K03386	seeb:SEEB0189_017285
ko:K11736	seeb:SEEB0189_017295
ko:K03311	seeb:SEEB0189_017300
ko:K07636	seeb:SEEB0189_017305
ko:K07657	seeb:SEEB0189_017310
ko:K03547	seeb:SEEB0189_017320
ko:K00847	seeb:SEEB0189_017335
ko:K03554	seeb:SEEB0189_017340
ko:K09913	seeb:SEEB0189_017345
ko:K14591	seeb:SEEB0189_017350
ko:K00891	seeb:SEEB0189_017360
ko:K09768	seeb:SEEB0189_017365
ko:K00286	seeb:SEEB0189_017370
ko:K08161	seeb:SEEB0189_017390
ko:K03079	seeb:SEEB0189_020435
ko:K03078	seeb:SEEB0189_020440
ko:K02821	seeb:SEEB0189_020445
ko:K02822	seeb:SEEB0189_020450
ko:K03475	seeb:SEEB0189_020455
ko:K03476	seeb:SEEB0189_020460
ko:K03477	seeb:SEEB0189_020465
ko:K06889	seeb:SEEB0189_020470
ko:K09456	seeb:SEEB0189_020485
ko:K08989	seeb:SEEB0189_020500
ko:K10716	seeb:SEEB0189_020510
ko:K09980	seeb:SEEB0189_020520
ko:K03218	seeb:SEEB0189_020525
ko:K12573	seeb:SEEB0189_020530
ko:K13771	seeb:SEEB0189_020535
ko:K01939	seeb:SEEB0189_020540
ko:K09937	seeb:SEEB0189_020545
ko:K04087	seeb:SEEB0189_020550
ko:K04088	seeb:SEEB0189_020555
ko:K03665	seeb:SEEB0189_020560
ko:K03666	seeb:SEEB0189_020565
ko:K00791	seeb:SEEB0189_020570
ko:K03572	seeb:SEEB0189_020575
ko:K01448	seeb:SEEB0189_020580
ko:K06925	seeb:SEEB0189_020585
ko:K09996	seeb:SEEB0189_020615
ko:K13288	seeb:SEEB0189_020620
ko:K05810	seeb:SEEB0189_006515
ko:K03695	seeb:SEEB0189_006520
ko:K05811	seeb:SEEB0189_006555
ko:K00998	seeb:SEEB0189_006560
ko:K05812	seeb:SEEB0189_006570
ko:K11249	seeb:SEEB0189_006595
ko:K15460	seeb:SEEB0189_006610
ko:K03106	seeb:SEEB0189_006445
ko:K02959	seeb:SEEB0189_006450
ko:K02860	seeb:SEEB0189_006455
ko:K00554	seeb:SEEB0189_006460
ko:K02197	seeb:SEEB0189_000785
ko:K02198	seeb:SEEB0189_000790
ko:K02196	seeb:SEEB0189_000780
ko:K02199	seeb:SEEB0189_000795
ko:K02200	seeb:SEEB0189_000800
ko:K04080	seeb:SEEB0189_000820
ko:K04081	seeb:SEEB0189_000825
ko:K07085	seeb:SEEB0189_000830
ko:K00389	seeb:SEEB0189_000845
ko:K07659	seeb:SEEB0189_002360
ko:K07638	seeb:SEEB0189_002365
ko:K01610	seeb:SEEB0189_002370
ko:K04083	seeb:SEEB0189_002380
ko:K04762	seeb:SEEB0189_002385
ko:K08312	seeb:SEEB0189_002400
ko:K05366	seeb:SEEB0189_002405
ko:K12288	seeb:SEEB0189_002410
ko:K12289	seeb:SEEB0189_002415
ko:K12290	seeb:SEEB0189_002420
ko:K12291	seeb:SEEB0189_002425
ko:K02507	seeb:SEEB0189_002430
ko:K00891	seeb:SEEB0189_002435
ko:K01735	seeb:SEEB0189_002440
ko:K03112	seeb:SEEB0189_002445
ko:K01783	seeb:SEEB0189_002455
ko:K01091	seeb:SEEB0189_002460
ko:K01867	seeb:SEEB0189_002465
ko:K02302	seeb:SEEB0189_002475
ko:K02598	seeb:SEEB0189_002480
ko:K00363	seeb:SEEB0189_002485
ko:K06871	seeb:SEEB0189_000855
ko:K00362	seeb:SEEB0189_002490
ko:K07675	seeb:SEEB0189_000930
ko:K07783	seeb:SEEB0189_000935
ko:K07784	seeb:SEEB0189_000940
ko:K02773	seeb:SEEB0189_000960
ko:K02774	seeb:SEEB0189_000965
ko:K02775	seeb:SEEB0189_000970
ko:K11189	seeb:SEEB0189_000985
ko:K07726	seeb:SEEB0189_000990
ko:K01223	seeb:SEEB0189_001005
ko:K07507	seeb:SEEB0189_001060
ko:K01531	seeb:SEEB0189_001065
ko:K07497	seeb:SEEB0189_001105
ko:K01811	seeb:SEEB0189_001120
ko:K16345	seeb:SEEB0189_001130
ko:K03312	seeb:SEEB0189_001135
ko:K03655	seeb:SEEB0189_001140
ko:K00556	seeb:SEEB0189_001145
ko:K03060	seeb:SEEB0189_001155
ko:K00942	seeb:SEEB0189_001160
ko:K01972	seeb:SEEB0189_001165
ko:K00989	seeb:SEEB0189_001190
ko:K00762	seeb:SEEB0189_001195
ko:K05501	seeb:SEEB0189_001200
ko:K13038	seeb:SEEB0189_001210
ko:K03630	seeb:SEEB0189_001215
ko:K02902	seeb:SEEB0189_001220
ko:K02913	seeb:SEEB0189_001225
ko:K10563	seeb:SEEB0189_001230
ko:K00880	seeb:SEEB0189_001505
ko:K08092	seeb:SEEB0189_001535
ko:K00835	seeb:SEEB0189_001550
ko:K01176	seeb:SEEB0189_001555
ko:K03796	seeb:SEEB0189_001565
ko:K02529	seeb:SEEB0189_001570
ko:K01805	seeb:SEEB0189_001575
ko:K00854	seeb:SEEB0189_001580
ko:K01194	seeb:SEEB0189_001865
ko:K03710	seeb:SEEB0189_001870
ko:K07792	seeb:SEEB0189_001885
ko:K01424	seeb:SEEB0189_001890
ko:K00383	seeb:SEEB0189_001895
ko:K07115	seeb:SEEB0189_001900
ko:K01414	seeb:SEEB0189_001910
ko:K15984	seeb:SEEB0189_001915
ko:K03305	seeb:SEEB0189_001920
ko:K06149	seeb:SEEB0189_001925
ko:K06144	seeb:SEEB0189_001930
ko:K16322	seeb:SEEB0189_001935
ko:K07007	seeb:SEEB0189_001940
ko:K01993	seeb:SEEB0189_001945
ko:K13926	seeb:SEEB0189_001950
ko:K01992	seeb:SEEB0189_001955
ko:K07722	seeb:SEEB0189_001960
ko:K06133	seeb:SEEB0189_001965
ko:K09125	seeb:SEEB0189_001985
ko:K04085	seeb:SEEB0189_001990
ko:K03406	seeb:SEEB0189_001995
ko:K01534	seeb:SEEB0189_002000
ko:K08993	seeb:SEEB0189_002015
ko:K03110	seeb:SEEB0189_002025
ko:K09812	seeb:SEEB0189_002030
ko:K09811	seeb:SEEB0189_002035
ko:K03089	seeb:SEEB0189_002040
ko:K01999	seeb:SEEB0189_002045
ko:K01999	seeb:SEEB0189_002055
ko:K01997	seeb:SEEB0189_002060
ko:K01998	seeb:SEEB0189_002065
ko:K01995	seeb:SEEB0189_002070
ko:K01996	seeb:SEEB0189_002075
ko:K05813	seeb:SEEB0189_002085
