ko:K10747	pstt:CH92_14500
ko:K03406	pstt:CH92_08850
ko:K07862	pstt:CH92_08855
ko:K00647	pstt:CH92_08860
ko:K01716	pstt:CH92_08865
ko:K00057	pstt:CH92_08870
ko:K08296	pstt:CH92_08880
ko:K07001	pstt:CH92_08910
ko:K01008	pstt:CH92_08915
ko:K06917	pstt:CH92_08920
ko:K03924	pstt:CH92_08935
ko:K03424	pstt:CH92_08960
ko:K04760	pstt:CH92_08985
ko:K02004	pstt:CH92_08990
ko:K02003	pstt:CH92_08995
ko:K10804	pstt:CH92_09000
ko:K06975	pstt:CH92_09020
ko:K01626	pstt:CH92_09025
ko:K00077	pstt:CH92_09030
ko:K13634	pstt:CH92_09035
ko:K00390	pstt:CH92_09040
ko:K02203	pstt:CH92_09045
ko:K01665	pstt:CH92_09050
ko:K03417	pstt:CH92_09075
ko:K01659	pstt:CH92_09080
ko:K09773	pstt:CH92_09095
ko:K02553	pstt:CH92_09105
ko:K16074	pstt:CH92_09110
ko:K03088	pstt:CH92_09125
ko:K03286	pstt:CH92_09130
ko:K01637	pstt:CH92_09135
ko:K01756	pstt:CH92_09160
ko:K07153	pstt:CH92_09165
ko:K00566	pstt:CH92_09170
ko:K00031	pstt:CH92_09180
ko:K00031	pstt:CH92_09185
ko:K03704	pstt:CH92_09190
ko:K06891	pstt:CH92_09195
ko:K03694	pstt:CH92_09200
ko:K02518	pstt:CH92_09205
ko:K00684	pstt:CH92_09215
ko:K00384	pstt:CH92_09220
ko:K03466	pstt:CH92_09225
ko:K03634	pstt:CH92_09230
ko:K07478	pstt:CH92_09235
ko:K06199	pstt:CH92_09240
ko:K01875	pstt:CH92_09245
ko:K02302	pstt:CH92_09250
ko:K07393	pstt:CH92_09255
ko:K11179	pstt:CH92_09265
ko:K07237	pstt:CH92_09270
ko:K07236	pstt:CH92_09275
ko:K07235	pstt:CH92_09280
ko:K00184	pstt:CH92_09320
ko:K00185	pstt:CH92_09325
ko:K07152	pstt:CH92_09350
ko:K02275	pstt:CH92_09355
ko:K02274	pstt:CH92_09360
ko:K02276	pstt:CH92_09365
ko:K03675	pstt:CH92_09390
ko:K12304	pstt:CH92_09400
ko:K00123	pstt:CH92_09410
ko:K03088	pstt:CH92_09430
ko:K09930	pstt:CH92_09440
ko:K15977	pstt:CH92_09450
ko:K07080	pstt:CH92_09470
ko:K01647	pstt:CH92_09485
ko:K01053	pstt:CH92_09490
ko:K01464	pstt:CH92_09505
ko:K01799	pstt:CH92_09510
ko:K12960	pstt:CH92_09515
ko:K08679	pstt:CH92_09525
ko:K02049	pstt:CH92_09530
ko:K02050	pstt:CH92_09535
ko:K02433	pstt:CH92_09550
ko:K02168	pstt:CH92_09575
ko:K03808	pstt:CH92_09580
ko:K03808	pstt:CH92_09585
ko:K06192	pstt:CH92_09590
ko:K09857	pstt:CH92_09595
ko:K07248	pstt:CH92_09635
ko:K02014	pstt:CH92_09645
ko:K03776	pstt:CH92_09660
ko:K07346	pstt:CH92_09685
ko:K07347	pstt:CH92_09690
ko:K03413	pstt:CH92_09700
ko:K03407	pstt:CH92_09710
ko:K03406	pstt:CH92_09715
ko:K03408	pstt:CH92_09720
ko:K00575	pstt:CH92_09725
ko:K03412	pstt:CH92_09730
ko:K09984	pstt:CH92_09750
ko:K00285	pstt:CH92_09760
ko:K06940	pstt:CH92_09775
ko:K00626	pstt:CH92_09790
ko:K03415	pstt:CH92_09795
ko:K01053	pstt:CH92_09800
ko:K02336	pstt:CH92_09805
ko:K09931	pstt:CH92_09815
ko:K17752	pstt:CH92_09840
ko:K17762	pstt:CH92_09845
ko:K17763	pstt:CH92_09850
ko:K07184	pstt:CH92_09860
ko:K01039	pstt:CH92_10335
ko:K01040	pstt:CH92_10340
ko:K07823	pstt:CH92_10345
ko:K01055	pstt:CH92_10350
ko:K03316	pstt:CH92_10365
ko:K06991	pstt:CH92_10385
ko:K05499	pstt:CH92_10415
ko:K01996	pstt:CH92_01735
ko:K01995	pstt:CH92_01740
ko:K01999	pstt:CH92_01745
ko:K07636	pstt:CH92_01770
ko:K07657	pstt:CH92_01775
ko:K03179	pstt:CH92_01780
ko:K03181	pstt:CH92_01785
ko:K11474	pstt:CH92_01790
ko:K00104	pstt:CH92_01795
ko:K11472	pstt:CH92_01800
ko:K11473	pstt:CH92_01805
ko:K11477	pstt:CH92_01810
ko:K01638	pstt:CH92_01815
ko:K03303	pstt:CH92_01820
ko:K05297	pstt:CH92_01830
ko:K05787	pstt:CH92_01835
ko:K07665	pstt:CH92_01855
ko:K07644	pstt:CH92_01860
ko:K01061	pstt:CH92_01865
ko:K00252	pstt:CH92_01875
ko:K03744	pstt:CH92_01885
ko:K08988	pstt:CH92_01895
ko:K03798	pstt:CH92_01900
ko:K03593	pstt:CH92_01910
ko:K00528	pstt:CH92_01915
ko:K05524	pstt:CH92_01935
ko:K03710	pstt:CH92_01955
ko:K02049	pstt:CH92_01960
ko:K02050	pstt:CH92_01965
ko:K02051	pstt:CH92_01970
ko:K03060	pstt:CH92_02010
ko:K00942	pstt:CH92_02015
ko:K00989	pstt:CH92_02025
ko:K02078	pstt:CH92_02620
ko:K02078	pstt:CH92_02625
ko:K03672	pstt:CH92_02640
ko:K07154	pstt:CH92_02700
ko:K03086	pstt:CH92_02715
ko:K02970	pstt:CH92_02725
ko:K01409	pstt:CH92_02730
ko:K08591	pstt:CH92_02735
ko:K01633	pstt:CH92_02740
ko:K00950	pstt:CH92_02745
ko:K00974	pstt:CH92_02750
ko:K09786	pstt:CH92_02760
ko:K07180	pstt:CH92_02765
ko:K02439	pstt:CH92_02770
ko:K01525	pstt:CH92_02775
ko:K06195	pstt:CH92_02780
ko:K02528	pstt:CH92_02785
ko:K00097	pstt:CH92_02790
ko:K03771	pstt:CH92_02795
ko:K04744	pstt:CH92_02800
ko:K07102	pstt:CH92_02805
ko:K05801	pstt:CH92_02815
ko:K02052	pstt:CH92_02835
ko:K02055	pstt:CH92_02840
ko:K02054	pstt:CH92_02845
ko:K02053	pstt:CH92_02850
ko:K14268	pstt:CH92_02855
ko:K01783	pstt:CH92_02860
ko:K01091	pstt:CH92_02865
ko:K01657	pstt:CH92_02870
ko:K01658	pstt:CH92_02875
ko:K00766	pstt:CH92_02880
ko:K01609	pstt:CH92_02885
ko:K10914	pstt:CH92_02890
ko:K07054	pstt:CH92_03495
ko:K00901	pstt:CH92_03525
ko:K06901	pstt:CH92_03540
ko:K07141	pstt:CH92_03550
ko:K13483	pstt:CH92_03555
ko:K11178	pstt:CH92_03560
ko:K11177	pstt:CH92_03565
ko:K01607	pstt:CH92_03575
ko:K00528	pstt:CH92_03590
ko:K01133	pstt:CH92_03600
ko:K02002	pstt:CH92_03605
ko:K02167	pstt:CH92_03620
ko:K18093	pstt:CH92_03625
ko:K02002	pstt:CH92_03630
ko:K02002	pstt:CH92_03635
ko:K02001	pstt:CH92_03640
ko:K02000	pstt:CH92_03645
ko:K01752	pstt:CH92_03655
ko:K03521	pstt:CH92_03670
ko:K03522	pstt:CH92_03680
ko:K01273	pstt:CH92_03700
ko:K17736	pstt:CH92_03705
ko:K02002	pstt:CH92_03710
ko:K17735	pstt:CH92_03720
ko:K07107	pstt:CH92_03725
ko:K01433	pstt:CH92_03735
ko:K00305	pstt:CH92_03740
ko:K00303	pstt:CH92_03755
ko:K00600	pstt:CH92_03760
ko:K00059	pstt:CH92_04070
ko:K00832	pstt:CH92_04075
ko:K01724	pstt:CH92_04080
ko:K00500	pstt:CH92_04085
ko:K03721	pstt:CH92_04090
ko:K13924	pstt:CH92_04095
ko:K01752	pstt:CH92_04100
ko:K00384	pstt:CH92_04105
ko:K11688	pstt:CH92_04110
ko:K11688	pstt:CH92_04115
ko:K03451	pstt:CH92_04120
ko:K02342	pstt:CH92_04125
ko:K07182	pstt:CH92_04130
ko:K09943	pstt:CH92_04145
ko:K03116	pstt:CH92_04160
ko:K07234	pstt:CH92_04165
ko:K07168	pstt:CH92_04175
ko:K07168	pstt:CH92_04180
ko:K08738	pstt:CH92_04190
ko:K15864	pstt:CH92_04195
ko:K12266	pstt:CH92_04200
ko:K07243	pstt:CH92_04215
ko:K07230	pstt:CH92_04225
ko:K01895	pstt:CH92_04245
ko:K00799	pstt:CH92_04265
ko:K07003	pstt:CH92_04275
ko:K01130	pstt:CH92_04300
ko:K05712	pstt:CH92_04330
ko:K03406	pstt:CH92_04360
ko:K09748	pstt:CH92_04675
ko:K02600	pstt:CH92_04680
ko:K02519	pstt:CH92_04685
ko:K02834	pstt:CH92_04690
ko:K03177	pstt:CH92_04695
ko:K02956	pstt:CH92_04700
ko:K00962	pstt:CH92_04705
ko:K04065	pstt:CH92_04710
ko:K06969	pstt:CH92_04730
ko:K01810	pstt:CH92_04740
ko:K01579	pstt:CH92_04745
ko:K01918	pstt:CH92_04750
ko:K00606	pstt:CH92_04755
ko:K00950	pstt:CH92_04760
ko:K00970	pstt:CH92_04765
ko:K01894	pstt:CH92_04785
ko:K06204	pstt:CH92_04790
ko:K06206	pstt:CH92_04800
ko:K07507	pstt:CH92_04810
ko:K06966	pstt:CH92_04825
ko:K03321	pstt:CH92_04840
ko:K00116	pstt:CH92_04850
ko:K07286	pstt:CH92_04860
ko:K00564	pstt:CH92_04910
ko:K00018	pstt:CH92_04915
ko:K00666	pstt:CH92_04925
ko:K00278	pstt:CH92_05525
ko:K03088	pstt:CH92_05530
ko:K03597	pstt:CH92_05535
ko:K03598	pstt:CH92_05540
ko:K03803	pstt:CH92_05545
ko:K03596	pstt:CH92_05555
ko:K03100	pstt:CH92_05560
ko:K03685	pstt:CH92_05570
ko:K03584	pstt:CH92_05580
ko:K03474	pstt:CH92_05585
ko:K15257	pstt:CH92_05605
ko:K15256	pstt:CH92_05610
ko:K14475	pstt:CH92_05615
ko:K01338	pstt:CH92_05620
ko:K13821	pstt:CH92_05630
ko:K11928	pstt:CH92_05635
ko:K11928	pstt:CH92_05645
ko:K06183	pstt:CH92_05705
ko:K01874	pstt:CH92_05710
ko:K03593	pstt:CH92_05715
ko:K03704	pstt:CH92_05720
ko:K01494	pstt:CH92_05725
ko:K04564	pstt:CH92_05730
ko:K06895	pstt:CH92_05735
ko:K05596	pstt:CH92_05740
ko:K12686	pstt:CH92_05755
ko:K00763	pstt:CH92_05760
ko:K05916	pstt:CH92_05775
ko:K08717	pstt:CH92_05785
ko:K00873	pstt:CH92_05790
ko:K01608	pstt:CH92_05810
ko:K00626	pstt:CH92_10730
ko:K00058	pstt:CH92_10740
ko:K01796	pstt:CH92_10750
ko:K00140	pstt:CH92_10775
ko:K15373	pstt:CH92_10795
ko:K03530	pstt:CH92_10800
ko:K13821	pstt:CH92_10815
ko:K01118	pstt:CH92_10860
ko:K02030	pstt:CH92_10875
ko:K02029	pstt:CH92_10880
ko:K02029	pstt:CH92_10885
ko:K02028	pstt:CH92_10890
ko:K12410	pstt:CH92_10895
ko:K01669	pstt:CH92_10900
ko:K07071	pstt:CH92_10910
ko:K01772	pstt:CH92_10915
ko:K06136	pstt:CH92_10975
ko:K06137	pstt:CH92_10980
ko:K06138	pstt:CH92_10985
ko:K06139	pstt:CH92_10990
ko:K00134	pstt:CH92_11005
ko:K09771	pstt:CH92_11010
ko:K03325	pstt:CH92_11025
ko:K03703	pstt:CH92_11035
ko:K07793	pstt:CH92_11130
ko:K07794	pstt:CH92_11135
ko:K01706	pstt:CH92_11145
ko:K01707	pstt:CH92_11150
ko:K09923	pstt:CH92_13025
ko:K07259	pstt:CH92_13030
ko:K12297	pstt:CH92_13035
ko:K03812	pstt:CH92_13040
ko:K00254	pstt:CH92_13045
ko:K15371	pstt:CH92_13060
ko:K03924	pstt:CH92_13065
ko:K07114	pstt:CH92_13080
ko:K07114	pstt:CH92_13085
ko:K15576	pstt:CH92_13105
ko:K15577	pstt:CH92_13110
ko:K15578	pstt:CH92_13115
ko:K03406	pstt:CH92_13120
ko:K02575	pstt:CH92_13135
ko:K00362	pstt:CH92_13150
ko:K00363	pstt:CH92_13155
ko:K00372	pstt:CH92_13160
ko:K02303	pstt:CH92_13165
ko:K00330	pstt:CH92_13170
ko:K00331	pstt:CH92_13175
ko:K13378	pstt:CH92_13180
ko:K00334	pstt:CH92_13185
ko:K00337	pstt:CH92_13200
ko:K00338	pstt:CH92_13205
ko:K00339	pstt:CH92_13210
ko:K00340	pstt:CH92_13215
ko:K00341	pstt:CH92_13220
ko:K00342	pstt:CH92_13225
ko:K00343	pstt:CH92_13230
ko:K07003	pstt:CH92_13235
ko:K01256	pstt:CH92_13245
ko:K09916	pstt:CH92_13255
ko:K02441	pstt:CH92_13260
ko:K00858	pstt:CH92_13270
ko:K09977	pstt:CH92_13275
ko:K07240	pstt:CH92_13280
ko:K00219	pstt:CH92_13305
ko:K13015	pstt:CH92_13925
ko:K02472	pstt:CH92_13930
ko:K01791	pstt:CH92_13935
ko:K07576	pstt:CH92_13940
ko:K05788	pstt:CH92_13945
ko:K05592	pstt:CH92_13950
ko:K01626	pstt:CH92_13960
ko:K14445	pstt:CH92_13965
ko:K02356	pstt:CH92_13970
ko:K06955	pstt:CH92_13985
ko:K07238	pstt:CH92_13990
ko:K06923	pstt:CH92_14015
ko:K00432	pstt:CH92_14020
ko:K07305	pstt:CH92_14025
ko:K14260	pstt:CH92_14030
ko:K03799	pstt:CH92_14040
ko:K00569	pstt:CH92_14045
ko:K10943	pstt:CH92_14050
ko:K10942	pstt:CH92_14055
ko:K10941	pstt:CH92_14060
ko:K02200	pstt:CH92_14070
ko:K02200	pstt:CH92_14075
ko:K02199	pstt:CH92_14080
ko:K02198	pstt:CH92_14085
ko:K02197	pstt:CH92_14090
ko:K02196	pstt:CH92_14095
ko:K02195	pstt:CH92_14100
ko:K02194	pstt:CH92_14110
ko:K02193	pstt:CH92_14115
ko:K04061	pstt:CH92_14125
ko:K03408	pstt:CH92_14140
ko:K03408	pstt:CH92_14145
ko:K02557	pstt:CH92_14155
ko:K02556	pstt:CH92_14160
ko:K03412	pstt:CH92_14165
ko:K01835	pstt:CH92_10435
ko:K01265	pstt:CH92_10445
ko:K18297	pstt:CH92_10500
ko:K09932	pstt:CH92_10535
ko:K15977	pstt:CH92_10545
ko:K09958	pstt:CH92_10555
ko:K07006	pstt:CH92_10565
ko:K00799	pstt:CH92_10570
ko:K00019	pstt:CH92_10590
ko:K01029	pstt:CH92_10630
ko:K01028	pstt:CH92_10635
ko:K01640	pstt:CH92_10640
ko:K03406	pstt:CH92_10645
ko:K01968	pstt:CH92_10650
ko:K13766	pstt:CH92_10655
ko:K01969	pstt:CH92_10660
ko:K00253	pstt:CH92_10665
ko:K00666	pstt:CH92_10670
ko:K01995	pstt:CH92_10685
ko:K01996	pstt:CH92_10690
ko:K01999	pstt:CH92_10695
ko:K01997	pstt:CH92_10700
ko:K01998	pstt:CH92_10705
ko:K01706	pstt:CH92_11160
ko:K01708	pstt:CH92_11165
ko:K03406	pstt:CH92_11210
ko:K00963	pstt:CH92_11215
ko:K00383	pstt:CH92_11225
ko:K00389	pstt:CH92_11235
ko:K01620	pstt:CH92_11245
ko:K00064	pstt:CH92_11250
ko:K00703	pstt:CH92_11325
ko:K01236	pstt:CH92_11330
ko:K00705	pstt:CH92_11335
ko:K06044	pstt:CH92_11340
ko:K09956	pstt:CH92_11360
ko:K07027	pstt:CH92_11395
ko:K00700	pstt:CH92_11400
ko:K05343	pstt:CH92_11405
ko:K16147	pstt:CH92_11410
ko:K02380	pstt:CH92_11420
ko:K00127	pstt:CH92_11425
ko:K00124	pstt:CH92_11430
ko:K00123	pstt:CH92_11435
ko:K00123	pstt:CH92_11440
ko:K10979	pstt:CH92_11450
ko:K18297	pstt:CH92_11465
ko:K18298	pstt:CH92_11470
ko:K18299	pstt:CH92_11475
ko:K11688	pstt:CH92_11485
ko:K07789	pstt:CH92_11495
ko:K07788	pstt:CH92_11505
ko:K07799	pstt:CH92_11510
ko:K16877	pstt:CH92_11530
ko:K16876	pstt:CH92_11545
ko:K05782	pstt:CH92_11555
ko:K07080	pstt:CH92_11570
ko:K03186	pstt:CH92_11615
ko:K07402	pstt:CH92_11625
ko:K02014	pstt:CH92_11640
ko:K02014	pstt:CH92_11665
ko:K07506	pstt:CH92_11700
ko:K01491	pstt:CH92_11735
ko:K17321	pstt:CH92_11740
ko:K17323	pstt:CH92_11750
ko:K17322	pstt:CH92_11755
ko:K17325	pstt:CH92_11760
ko:K17324	pstt:CH92_11765
ko:K01883	pstt:CH92_11775
ko:K01886	pstt:CH92_11780
ko:K03768	pstt:CH92_11785
ko:K03269	pstt:CH92_11790
ko:K06169	pstt:CH92_11795
ko:K06938	pstt:CH92_11810
ko:K01682	pstt:CH92_11815
ko:K01118	pstt:CH92_11825
ko:K06153	pstt:CH92_11840
ko:K03406	pstt:CH92_11845
ko:K03168	pstt:CH92_11875
ko:K07400	pstt:CH92_11890
ko:K00548	pstt:CH92_11895
ko:K06941	pstt:CH92_11930
ko:K00381	pstt:CH92_11950
ko:K04774	pstt:CH92_11970
ko:K07090	pstt:CH92_12010
ko:K03426	pstt:CH92_12015
ko:K01692	pstt:CH92_12025
ko:K01584	pstt:CH92_12030
ko:K02342	pstt:CH92_12035
ko:K03469	pstt:CH92_12040
ko:K01069	pstt:CH92_12050
ko:K08307	pstt:CH92_12055
ko:K13893	pstt:CH92_12065
ko:K13893	pstt:CH92_12070
ko:K13894	pstt:CH92_12075
ko:K13895	pstt:CH92_12080
ko:K13896	pstt:CH92_12085
ko:K00208	pstt:CH92_12090
ko:K03770	pstt:CH92_12095
ko:K03530	pstt:CH92_12100
ko:K01338	pstt:CH92_12105
ko:K03544	pstt:CH92_12110
ko:K01358	pstt:CH92_12115
ko:K03545	pstt:CH92_12120
ko:K15977	pstt:CH92_12125
ko:K11065	pstt:CH92_12155
ko:K03310	pstt:CH92_12160
ko:K01734	pstt:CH92_12445
ko:K06024	pstt:CH92_12450
ko:K05896	pstt:CH92_12455
ko:K01867	pstt:CH92_12460
ko:K07053	pstt:CH92_12470
ko:K06190	pstt:CH92_12475
ko:K09780	pstt:CH92_12480
ko:K03498	pstt:CH92_12510
ko:K01485	pstt:CH92_12515
ko:K09781	pstt:CH92_12520
ko:K07401	pstt:CH92_12575
ko:K07001	pstt:CH92_12580
ko:K06075	pstt:CH92_12590
ko:K03654	pstt:CH92_12595
ko:K07039	pstt:CH92_12600
ko:K09790	pstt:CH92_12605
ko:K00799	pstt:CH92_12615
ko:K00906	pstt:CH92_12620
ko:K01738	pstt:CH92_12635
ko:K09989	pstt:CH92_12655
ko:K06149	pstt:CH92_12675
ko:K15738	pstt:CH92_12685
ko:K08309	pstt:CH92_12690
ko:K07140	pstt:CH92_12695
ko:K03415	pstt:CH92_12700
ko:K01104	pstt:CH92_12715
ko:K16692	pstt:CH92_12720
ko:K00426	pstt:CH92_13330
ko:K00425	pstt:CH92_13335
ko:K02452	pstt:CH92_13345
ko:K02453	pstt:CH92_13350
ko:K10764	pstt:CH92_13355
ko:K00764	pstt:CH92_13360
ko:K03558	pstt:CH92_13365
ko:K03749	pstt:CH92_13370
ko:K11754	pstt:CH92_13375
ko:K01963	pstt:CH92_13380
ko:K01817	pstt:CH92_13385
ko:K06173	pstt:CH92_13390
ko:K08086	pstt:CH92_13395
ko:K00133	pstt:CH92_13400
ko:K00052	pstt:CH92_13405
ko:K01704	pstt:CH92_13415
ko:K01703	pstt:CH92_13420
ko:K04080	pstt:CH92_13440
ko:K05541	pstt:CH92_13450
ko:K16692	pstt:CH92_13495
ko:K08482	pstt:CH92_13560
ko:K14441	pstt:CH92_13570
ko:K02051	pstt:CH92_13600
ko:K02049	pstt:CH92_13605
ko:K03407	pstt:CH92_14170
ko:K07233	pstt:CH92_14460
ko:K03669	pstt:CH92_14470
ko:K03670	pstt:CH92_14475
ko:K05349	pstt:CH92_14480
ko:K07577	pstt:CH92_14495
ko:K03724	pstt:CH92_14505
ko:K09912	pstt:CH92_14535
ko:K04765	pstt:CH92_14540
ko:K00951	pstt:CH92_14545
ko:K03215	pstt:CH92_14550
ko:K12339	pstt:CH92_14555
ko:K00681	pstt:CH92_14560
ko:K07678	pstt:CH92_14565
ko:K05596	pstt:CH92_14575
ko:K02362	pstt:CH92_14580
ko:K07639	pstt:CH92_14585
ko:K07661	pstt:CH92_14590
ko:K03566	pstt:CH92_14655
ko:K01118	pstt:CH92_14660
ko:K03451	pstt:CH92_14680
ko:K03782	pstt:CH92_14685
ko:K03710	pstt:CH92_14735
ko:K03406	pstt:CH92_14750
ko:K07127	pstt:CH92_05820
ko:K07644	pstt:CH92_05835
ko:K01142	pstt:CH92_05840
ko:K09136	pstt:CH92_05885
ko:K08482	pstt:CH92_05900
ko:K06969	pstt:CH92_05930
ko:K04335	pstt:CH92_05945
ko:K06214	pstt:CH92_05950
ko:K04338	pstt:CH92_05955
ko:K04337	pstt:CH92_05960
ko:K02030	pstt:CH92_06000
ko:K06182	pstt:CH92_06005
ko:K00117	pstt:CH92_06020
ko:K00243	pstt:CH92_06025
ko:K00012	pstt:CH92_06050
ko:K01711	pstt:CH92_06065
ko:K02377	pstt:CH92_06070
ko:K13683	pstt:CH92_06080
ko:K09800	pstt:CH92_12165
ko:K07278	pstt:CH92_12170
ko:K01142	pstt:CH92_12180
ko:K02040	pstt:CH92_12185
ko:K00847	pstt:CH92_12190
ko:K10227	pstt:CH92_12200
ko:K10228	pstt:CH92_12205
ko:K10229	pstt:CH92_12210
ko:K10111	pstt:CH92_12215
ko:K00045	pstt:CH92_12220
ko:K00854	pstt:CH92_12225
ko:K06145	pstt:CH92_12240
ko:K00851	pstt:CH92_12255
ko:K03769	pstt:CH92_12260
ko:K06916	pstt:CH92_12265
ko:K07093	pstt:CH92_12270
ko:K07084	pstt:CH92_12280
ko:K01737	pstt:CH92_12285
ko:K00568	pstt:CH92_12330
ko:K06178	pstt:CH92_12360
ko:K01625	pstt:CH92_12365
ko:K01057	pstt:CH92_12370
ko:K00036	pstt:CH92_12375
ko:K02024	pstt:CH92_12390
ko:K10112	pstt:CH92_12395
ko:K17317	pstt:CH92_12400
ko:K17316	pstt:CH92_12405
ko:K17315	pstt:CH92_12410
ko:K00845	pstt:CH92_12430
ko:K01690	pstt:CH92_12435
ko:K00134	pstt:CH92_12440
ko:K01711	pstt:CH92_12745
ko:K01991	pstt:CH92_12760
ko:K00481	pstt:CH92_12785
ko:K03630	pstt:CH92_12825
ko:K07733	pstt:CH92_12855
ko:K03724	pstt:CH92_12860
ko:K04764	pstt:CH92_12900
ko:K01890	pstt:CH92_12905
ko:K01889	pstt:CH92_12910
ko:K02887	pstt:CH92_12915
ko:K02916	pstt:CH92_12920
ko:K02520	pstt:CH92_12925
ko:K01868	pstt:CH92_12930
ko:K09471	pstt:CH92_12940
ko:K03750	pstt:CH92_12965
ko:K03638	pstt:CH92_12970
ko:K03752	pstt:CH92_12975
ko:K01129	pstt:CH92_13015
ko:K02050	pstt:CH92_13610
ko:K01607	pstt:CH92_13625
ko:K02056	pstt:CH92_13630
ko:K02057	pstt:CH92_13635
ko:K02057	pstt:CH92_13640
ko:K07300	pstt:CH92_13655
ko:K02058	pstt:CH92_13660
ko:K02168	pstt:CH92_13680
ko:K07116	pstt:CH92_13690
ko:K01207	pstt:CH92_13715
ko:K01356	pstt:CH92_13730
ko:K13053	pstt:CH92_13735
ko:K03168	pstt:CH92_13755
ko:K00032	pstt:CH92_21465
ko:K01825	pstt:CH92_13770
ko:K01354	pstt:CH92_13775
ko:K05526	pstt:CH92_13785
ko:K01692	pstt:CH92_13800
ko:K03972	pstt:CH92_13820
ko:K01895	pstt:CH92_13830
ko:K11688	pstt:CH92_13840
ko:K01640	pstt:CH92_13855
ko:K13007	pstt:CH92_13875
ko:K03414	pstt:CH92_14175
ko:K03413	pstt:CH92_14180
ko:K02405	pstt:CH92_14185
ko:K04562	pstt:CH92_14190
ko:K02404	pstt:CH92_14200
ko:K02400	pstt:CH92_14205
ko:K02401	pstt:CH92_14215
ko:K02421	pstt:CH92_14220
ko:K02420	pstt:CH92_14225
ko:K02419	pstt:CH92_14230
ko:K02418	pstt:CH92_14235
ko:K02417	pstt:CH92_14240
ko:K02416	pstt:CH92_14245
