ko:K19079	saum:BN843_6620
ko:K01783	saum:BN843_11300
ko:K02902	saum:BN843_11320
ko:K03655	saum:BN843_11350
ko:K03621	saum:BN843_11370
ko:K00645	saum:BN843_11380
ko:K02078	saum:BN843_11400
ko:K03685	saum:BN843_11410
ko:K03529	saum:BN843_11420
ko:K03110	saum:BN843_11430
ko:K03106	saum:BN843_11450
ko:K02959	saum:BN843_11460
ko:K02860	saum:BN843_11470
ko:K00554	saum:BN843_11480
ko:K02884	saum:BN843_11490
ko:K14540	saum:BN843_11510
ko:K03470	saum:BN843_11520
ko:K01903	saum:BN843_11530
ko:K01902	saum:BN843_11540
ko:K04096	saum:BN843_11570
ko:K03168	saum:BN843_11580
ko:K04094	saum:BN843_11590
ko:K03733	saum:BN843_11600
ko:K01419	saum:BN843_11610
ko:K03667	saum:BN843_11620
ko:K03706	saum:BN843_11630
ko:K02967	saum:BN843_11640
ko:K01887	saum:BN843_6110
ko:K02016	saum:BN843_6130
ko:K02015	saum:BN843_6140
ko:K09936	saum:BN843_6210
ko:K05566	saum:BN843_6260
ko:K05567	saum:BN843_6270
ko:K05569	saum:BN843_6290
ko:K05571	saum:BN843_6310
ko:K05946	saum:BN843_6380
ko:K16323	saum:BN843_6460
ko:K02013	saum:BN843_6480
ko:K02015	saum:BN843_6490
ko:K02015	saum:BN843_6500
ko:K05878	saum:BN843_6510
ko:K05879	saum:BN843_6520
ko:K02945	saum:BN843_14110
ko:K00945	saum:BN843_14130
ko:K03654	saum:BN843_14170
ko:K01356	saum:BN843_14880
ko:K02787	saum:BN843_22320
ko:K02788	saum:BN843_22320
ko:K12410	saum:BN843_22390
ko:K01575	saum:BN843_22480
ko:K01652	saum:BN843_22490
ko:K02996	saum:BN843_22550
ko:K02871	saum:BN843_22560
ko:K06173	saum:BN843_22570
ko:K16785	saum:BN843_22580
ko:K02879	saum:BN843_22610
ko:K03040	saum:BN843_22620
ko:K02948	saum:BN843_22630
ko:K02952	saum:BN843_22640
ko:K02919	saum:BN843_22650
ko:K02518	saum:BN843_22660
ko:K03076	saum:BN843_22680
ko:K02876	saum:BN843_22690
ko:K02907	saum:BN843_22700
ko:K02988	saum:BN843_22710
ko:K02803	saum:BN843_17290
ko:K02804	saum:BN843_17290
ko:K00655	saum:BN843_17300
ko:K01866	saum:BN843_17320
ko:K12551	saum:BN843_17330
ko:K01938	saum:BN843_17350
ko:K01895	saum:BN843_17360
ko:K04766	saum:BN843_17370
ko:K04768	saum:BN843_17380
ko:K02529	saum:BN843_17390
ko:K13853	saum:BN843_17400
ko:K01924	saum:BN843_17430
ko:K03466	saum:BN843_17440
ko:K06878	saum:BN843_17450
ko:K03439	saum:BN843_17510
ko:K00824	saum:BN843_17530
ko:K07007	saum:BN843_17580
ko:K01869	saum:BN843_17610
ko:K07139	saum:BN843_17630
ko:K00318	saum:BN843_17690
ko:K00794	saum:BN843_17700
ko:K14652	saum:BN843_17710
ko:K00793	saum:BN843_17720
ko:K11752	saum:BN843_17730
ko:K00963	saum:BN843_25360
ko:K13732	saum:BN843_25370
ko:K11476	saum:BN843_25410
ko:K04041	saum:BN843_25520
ko:K06999	saum:BN843_25540
ko:K15975	saum:BN843_25550
ko:K15973	saum:BN843_25560
ko:K06975	saum:BN843_25570
ko:K03778	saum:BN843_25600
ko:K16917	saum:BN843_25620
ko:K16916	saum:BN843_25630
ko:K03823	saum:BN843_25650
ko:K01752	saum:BN843_25660
ko:K03629	saum:BN843_20
ko:K02470	saum:BN843_30
ko:K02469	saum:BN843_40
ko:K01745	saum:BN843_60
ko:K01875	saum:BN843_70
ko:K00641	saum:BN843_100
ko:K02939	saum:BN843_130
ko:K01939	saum:BN843_150
ko:K00783	saum:BN843_250
ko:K01154	saum:BN843_270
ko:K07238	saum:BN843_380
ko:K01534	saum:BN843_390
ko:K00926	saum:BN843_430
ko:K00611	saum:BN843_440
ko:K03758	saum:BN843_460
ko:K02071	saum:BN843_8130
ko:K02072	saum:BN843_8140
ko:K02073	saum:BN843_8150
ko:K09013	saum:BN843_8180
ko:K09015	saum:BN843_8190
ko:K11717	saum:BN843_8200
ko:K09014	saum:BN843_8220
ko:K00459	saum:BN843_8260
ko:K07090	saum:BN843_8280
ko:K03644	saum:BN843_8300
ko:K03367	saum:BN843_8370
ko:K03739	saum:BN843_8380
ko:K14188	saum:BN843_8390
ko:K03740	saum:BN843_8400
ko:K03885	saum:BN843_8430
ko:K03885	saum:BN843_8460
ko:K01255	saum:BN843_8470
ko:K07084	saum:BN843_8480
ko:K05571	saum:BN843_8510
ko:K05569	saum:BN843_8530
ko:K05567	saum:BN843_8550
ko:K05566	saum:BN843_8560
ko:K06347	saum:BN843_8580
ko:K00260	saum:BN843_8630
ko:K01126	saum:BN843_8640
ko:K02346	saum:BN843_19320
ko:K03215	saum:BN843_19340
ko:K02434	saum:BN843_19370
ko:K02435	saum:BN843_19390
ko:K01972	saum:BN843_19420
ko:K03657	saum:BN843_19440
ko:K01756	saum:BN843_19470
ko:K08258	saum:BN843_19480
ko:K00763	saum:BN843_19530
ko:K00491	saum:BN843_19540
ko:K14445	saum:BN843_19560
ko:K11755	saum:BN843_27100
ko:K02500	saum:BN843_27110
ko:K01814	saum:BN843_27120
ko:K02501	saum:BN843_27130
ko:K01693	saum:BN843_27140
ko:K00817	saum:BN843_27150
ko:K00013	saum:BN843_27160
ko:K00765	saum:BN843_27170
ko:K16785	saum:BN843_27210
ko:K16786	saum:BN843_27220
ko:K16787	saum:BN843_27220
ko:K07146	saum:BN843_27270
ko:K01304	saum:BN843_27280
ko:K03319	saum:BN843_27340
ko:K05786	saum:BN843_27350
ko:K07241	saum:BN843_27370
ko:K11631	saum:BN843_27400
ko:K11632	saum:BN843_27410
ko:K03704	saum:BN843_27470
ko:K03501	saum:BN843_27520
ko:K03495	saum:BN843_27530
ko:K03650	saum:BN843_27540
ko:K03536	saum:BN843_27550
ko:K02914	saum:BN843_27560
ko:K02313	saum:BN843_27570
ko:K16301	saum:BN843_3500
ko:K07243	saum:BN843_3510
ko:K03118	saum:BN843_3520
ko:K03116	saum:BN843_3530
ko:K00549	saum:BN843_3620
ko:K06942	saum:BN843_3690
ko:K02990	saum:BN843_3710
ko:K02963	saum:BN843_3730
ko:K03387	saum:BN843_3860
ko:K06956	saum:BN843_3890
ko:K03816	saum:BN843_3930
ko:K16169	saum:BN843_3940
ko:K01951	saum:BN843_3960
ko:K02357	saum:BN843_11650
ko:K09903	saum:BN843_11660
ko:K02838	saum:BN843_11670
ko:K00806	saum:BN843_11680
ko:K00981	saum:BN843_11690
ko:K11749	saum:BN843_11700
ko:K01881	saum:BN843_11710
ko:K03763	saum:BN843_11720
ko:K09748	saum:BN843_11730
ko:K02600	saum:BN843_11740
ko:K07742	saum:BN843_11750
ko:K02519	saum:BN843_11770
ko:K02834	saum:BN843_11780
ko:K11753	saum:BN843_11800
ko:K02956	saum:BN843_11810
ko:K00962	saum:BN843_11820
ko:K03466	saum:BN843_11840
ko:K00995	saum:BN843_11910
ko:K09769	saum:BN843_11960
ko:K00174	saum:BN843_11970
