ko:K01006	ftg:FTU_0233
ko:K00790	ftg:FTU_1332
ko:K03977	ftg:FTU_1333
ko:K03798	ftg:FTU_1336
ko:K03701	ftg:FTU_1338
ko:K03624	ftg:FTU_1339
ko:K08084	ftg:FTU_1340
ko:K01810	ftg:FTU_1341
ko:K01255	ftg:FTU_1344
ko:K07091	ftg:FTU_1345
ko:K11720	ftg:FTU_1346
ko:K01902	ftg:FTU_0553
ko:K01903	ftg:FTU_0554
ko:K05539	ftg:FTU_0558
ko:K02470	ftg:FTU_0560
ko:K06215	ftg:FTU_0561
ko:K08681	ftg:FTU_0562
ko:K02687	ftg:FTU_0567
ko:K00024	ftg:FTU_0582
ko:K06134	ftg:FTU_0584
ko:K06193	ftg:FTU_0591
ko:K04761	ftg:FTU_0603
ko:K00945	ftg:FTU_0606
ko:K00831	ftg:FTU_0607
ko:K11076	ftg:FTU_0608
ko:K11075	ftg:FTU_0609
ko:K11074	ftg:FTU_0610
ko:K03594	ftg:FTU_1460
ko:K03040	ftg:FTU_1461
ko:K07478	ftg:FTU_1462
ko:K01524	ftg:FTU_1463
ko:K03671	ftg:FTU_1464
ko:K03628	ftg:FTU_1465
ko:K00973	ftg:FTU_1469
ko:K01953	ftg:FTU_1474
ko:K02474	ftg:FTU_1478
ko:K13012	ftg:FTU_1481
ko:K00278	ftg:FTU_1484
ko:K00767	ftg:FTU_1485
ko:K03517	ftg:FTU_1486
ko:K00942	ftg:FTU_1487
ko:K05592	ftg:FTU_1488
ko:K08137	ftg:FTU_1491
ko:K00965	ftg:FTU_1492
ko:K00849	ftg:FTU_1493
ko:K00979	ftg:FTU_1495
ko:K09791	ftg:FTU_1496
ko:K00382	ftg:FTU_1498
ko:K00627	ftg:FTU_1499
ko:K00163	ftg:FTU_1500
ko:K00859	ftg:FTU_1502
ko:K01867	ftg:FTU_1503
ko:K07106	ftg:FTU_1509
ko:K03762	ftg:FTU_0844
ko:K06187	ftg:FTU_0849
ko:K09747	ftg:FTU_0850
ko:K02563	ftg:FTU_0851
ko:K02437	ftg:FTU_0852
ko:K01868	ftg:FTU_0855
ko:K02520	ftg:FTU_0856
ko:K02916	ftg:FTU_0857
ko:K02887	ftg:FTU_0858
ko:K06901	ftg:FTU_0865
ko:K03774	ftg:FTU_0870
ko:K03527	ftg:FTU_0871
ko:K06208	ftg:FTU_0872
ko:K03562	ftg:FTU_0875
ko:K03641	ftg:FTU_0878
ko:K03640	ftg:FTU_0880
ko:K01669	ftg:FTU_0884
ko:K06876	ftg:FTU_0885
ko:K03453	ftg:FTU_0887
ko:K03179	ftg:FTU_0894
ko:K03181	ftg:FTU_0895
ko:K00989	ftg:FTU_0896
ko:K03799	ftg:FTU_0900
ko:K03744	ftg:FTU_0901
ko:K07646	ftg:FTU_1740
ko:K01548	ftg:FTU_1741
ko:K01547	ftg:FTU_1742
ko:K04773	ftg:FTU_1748
ko:K03071	ftg:FTU_1751
ko:K03565	ftg:FTU_1753
ko:K00925	ftg:FTU_1755
ko:K13788	ftg:FTU_1756
ko:K03313	ftg:FTU_1761
ko:K00655	ftg:FTU_1763
ko:K00655	ftg:FTU_1764
ko:K08289	ftg:FTU_1768
ko:K03695	ftg:FTU_1770
ko:K01695	ftg:FTU_1773
ko:K01696	ftg:FTU_1774
ko:K06895	ftg:FTU_1785
ko:K01256	ftg:FTU_1790
ko:K13993	ftg:FTU_1791
ko:K13498	ftg:FTU_1792
ko:K03611	ftg:FTU_0099
ko:K00912	ftg:FTU_0102
ko:K03525	ftg:FTU_0104
ko:K01839	ftg:FTU_0105
ko:K11535	ftg:FTU_0108
ko:K00943	ftg:FTU_0109
ko:K02837	ftg:FTU_0110
ko:K03110	ftg:FTU_0112
ko:K03657	ftg:FTU_0113
ko:K15580	ftg:FTU_0114
ko:K00864	ftg:FTU_0122
ko:K00111	ftg:FTU_0123
ko:K02440	ftg:FTU_0124
ko:K02358	ftg:FTU_0128
ko:K03073	ftg:FTU_0129
ko:K02601	ftg:FTU_0130
ko:K02867	ftg:FTU_0131
ko:K02863	ftg:FTU_0132
ko:K02864	ftg:FTU_0133
ko:K02935	ftg:FTU_0134
ko:K03043	ftg:FTU_0135
ko:K03046	ftg:FTU_0136
ko:K00789	ftg:FTU_0140
ko:K02959	ftg:FTU_0141
ko:K02860	ftg:FTU_0142
ko:K00554	ftg:FTU_0143
ko:K02884	ftg:FTU_0144
ko:K02205	ftg:FTU_1019
ko:K07735	ftg:FTU_1025
ko:K07447	ftg:FTU_1026
ko:K01869	ftg:FTU_1030
ko:K03643	ftg:FTU_1031
ko:K01494	ftg:FTU_1033
ko:K06131	ftg:FTU_1037
ko:K09823	ftg:FTU_1041
ko:K01890	ftg:FTU_1042
ko:K01889	ftg:FTU_1043
ko:K03305	ftg:FTU_1045
ko:K07727	ftg:FTU_1050
ko:K03551	ftg:FTU_1053
ko:K01662	ftg:FTU_1058
ko:K01951	ftg:FTU_1059
ko:K06173	ftg:FTU_1061
ko:K06861	ftg:FTU_1064
ko:K11719	ftg:FTU_1066
ko:K03270	ftg:FTU_1067
ko:K09158	ftg:FTU_1070
ko:K03801	ftg:FTU_1071
ko:K02297	ftg:FTU_0261
ko:K02298	ftg:FTU_0262
ko:K02299	ftg:FTU_0263
ko:K02300	ftg:FTU_0264
ko:K02536	ftg:FTU_0266
ko:K00868	ftg:FTU_0268
ko:K03924	ftg:FTU_0270
ko:K01304	ftg:FTU_0276
ko:K02339	ftg:FTU_0278
ko:K01873	ftg:FTU_0279
ko:K10679	ftg:FTU_0284
ko:K02967	ftg:FTU_0292
ko:K02357	ftg:FTU_0293
ko:K09903	ftg:FTU_0294
ko:K02838	ftg:FTU_0295
ko:K00806	ftg:FTU_0296
ko:K00981	ftg:FTU_0297
ko:K00995	ftg:FTU_0299
ko:K02950	ftg:FTU_0300
ko:K02992	ftg:FTU_0301
ko:K02355	ftg:FTU_0302
ko:K02946	ftg:FTU_0303
ko:K02906	ftg:FTU_0304
ko:K02926	ftg:FTU_0305
ko:K02892	ftg:FTU_0306
ko:K02886	ftg:FTU_0307
ko:K02965	ftg:FTU_0308
ko:K02890	ftg:FTU_0309
ko:K02982	ftg:FTU_0310
ko:K02878	ftg:FTU_0311
ko:K02961	ftg:FTU_0312
ko:K02874	ftg:FTU_0313
ko:K02895	ftg:FTU_0314
ko:K02931	ftg:FTU_0315
ko:K02954	ftg:FTU_0316
ko:K02994	ftg:FTU_0317
ko:K02933	ftg:FTU_0318
ko:K02881	ftg:FTU_0319
ko:K02666	ftg:FTU_1189
ko:K00812	ftg:FTU_1198
ko:K01443	ftg:FTU_1201
ko:K14540	ftg:FTU_1202
ko:K03427	ftg:FTU_1204
ko:K06207	ftg:FTU_1211
ko:K09801	ftg:FTU_1216
ko:K03664	ftg:FTU_1218
ko:K14058	ftg:FTU_1219
ko:K03601	ftg:FTU_1223
ko:K01776	ftg:FTU_1230
ko:K03702	ftg:FTU_1232
ko:K01141	ftg:FTU_1233
ko:K03495	ftg:FTU_1238
ko:K01807	ftg:FTU_1241
ko:K09125	ftg:FTU_1245
ko:K01613	ftg:FTU_0439
ko:K04042	ftg:FTU_0442
ko:K00820	ftg:FTU_0443
ko:K02970	ftg:FTU_0445
ko:K03704	ftg:FTU_0446
ko:K01265	ftg:FTU_0448
ko:K02621	ftg:FTU_0451
ko:K08309	ftg:FTU_0455
ko:K02337	ftg:FTU_0457
ko:K09808	ftg:FTU_0458
ko:K00605	ftg:FTU_0461
ko:K02437	ftg:FTU_0462
ko:K00282	ftg:FTU_0463
ko:K00283	ftg:FTU_0464
ko:K00014	ftg:FTU_0465
ko:K00703	ftg:FTU_0470
ko:K00688	ftg:FTU_0471
ko:K00705	ftg:FTU_0472
ko:K01878	ftg:FTU_0473
ko:K01928	ftg:FTU_0474
ko:K01929	ftg:FTU_0476
ko:K00133	ftg:FTU_0478
ko:K01733	ftg:FTU_0481
ko:K01611	ftg:FTU_0483
ko:K00797	ftg:FTU_0484
ko:K10536	ftg:FTU_0487
ko:K12251	ftg:FTU_0488
ko:K03269	ftg:FTU_0489
ko:K00762	ftg:FTU_0490
ko:K02558	ftg:FTU_0491
ko:K06169	ftg:FTU_1351
ko:K00757	ftg:FTU_1352
ko:K15633	ftg:FTU_1355
ko:K01875	ftg:FTU_1356
ko:K00847	ftg:FTU_1357
ko:K11103	ftg:FTU_1363
ko:K11900	ftg:FTU_1383
ko:K01079	ftg:FTU_0613
ko:K09799	ftg:FTU_0614
ko:K01775	ftg:FTU_0618
ko:K01752	ftg:FTU_0622
ko:K11717	ftg:FTU_0623
ko:K00954	ftg:FTU_0626
ko:K00800	ftg:FTU_0632
ko:K01673	ftg:FTU_0636
ko:K06956	ftg:FTU_0642
ko:K00820	ftg:FTU_0643
ko:K05810	ftg:FTU_0652
ko:K01173	ftg:FTU_0654
ko:K03820	ftg:FTU_0658
ko:K06189	ftg:FTU_0659
ko:K07042	ftg:FTU_0660
ko:K06168	ftg:FTU_0662
ko:K03545	ftg:FTU_0667
ko:K01358	ftg:FTU_0668
ko:K03544	ftg:FTU_0669
ko:K01338	ftg:FTU_0670
ko:K03530	ftg:FTU_0671
ko:K01962	ftg:FTU_1513
ko:K03555	ftg:FTU_1514
ko:K03071	ftg:FTU_1515
ko:K03733	ftg:FTU_1518
ko:K03834	ftg:FTU_1525
ko:K05516	ftg:FTU_1527
ko:K03578	ftg:FTU_1539
ko:K00031	ftg:FTU_1541
ko:K07516	ftg:FTU_1545
ko:K09859	ftg:FTU_1552
ko:K07337	ftg:FTU_1555
ko:K12573	ftg:FTU_1566
ko:K03685	ftg:FTU_1568
ko:K03100	ftg:FTU_1569
ko:K01624	ftg:FTU_1389
ko:K00873	ftg:FTU_1390
ko:K00927	ftg:FTU_1391
ko:K00134	ftg:FTU_1392
ko:K00615	ftg:FTU_1393
ko:K07040	ftg:FTU_1394
ko:K02911	ftg:FTU_1395
ko:K03621	ftg:FTU_1396
ko:K00648	ftg:FTU_1397
ko:K00645	ftg:FTU_1398
ko:K02078	ftg:FTU_1400
ko:K09458	ftg:FTU_1401
ko:K11901	ftg:FTU_1384
ko:K03675	ftg:FTU_0694
ko:K03305	ftg:FTU_0695
ko:K02217	ftg:FTU_0696
ko:K03770	ftg:FTU_0672
ko:K00791	ftg:FTU_0673
ko:K03666	ftg:FTU_0674
ko:K03665	ftg:FTU_0675
ko:K04088	ftg:FTU_0677
ko:K04087	ftg:FTU_0678
ko:K03978	ftg:FTU_0680
ko:K01687	ftg:FTU_0684
ko:K01653	ftg:FTU_0686
ko:K03723	ftg:FTU_0688
ko:K10773	ftg:FTU_0692
ko:K03644	ftg:FTU_0697
ko:K01159	ftg:FTU_0700
ko:K03550	ftg:FTU_0702
ko:K09760	ftg:FTU_0703
ko:K01590	ftg:FTU_0707
ko:K03652	ftg:FTU_0709
ko:K03811	ftg:FTU_0711
ko:K06987	ftg:FTU_0716
ko:K00948	ftg:FTU_0717
ko:K02897	ftg:FTU_0718
ko:K06942	ftg:FTU_0722
ko:K01056	ftg:FTU_0723
ko:K02654	ftg:FTU_0726
ko:K00322	ftg:FTU_0727
ko:K03305	ftg:FTU_0729
ko:K00286	ftg:FTU_1572
ko:K02527	ftg:FTU_1574
ko:K00795	ftg:FTU_1575
ko:K01004	ftg:FTU_1576
ko:K00748	ftg:FTU_1581
ko:K00677	ftg:FTU_1582
ko:K02372	ftg:FTU_1583
ko:K02536	ftg:FTU_1584
ko:K06142	ftg:FTU_1585
ko:K07277	ftg:FTU_1586
ko:K00099	ftg:FTU_1587
ko:K02469	ftg:FTU_1588
ko:K03648	ftg:FTU_1591
ko:K07461	ftg:FTU_1594
ko:K04754	ftg:FTU_1602
ko:K01676	ftg:FTU_1608
ko:K03655	ftg:FTU_1609
ko:K02902	ftg:FTU_1611
ko:K02913	ftg:FTU_1612
ko:K03610	ftg:FTU_1613
ko:K03609	ftg:FTU_1614
ko:K03608	ftg:FTU_1615
ko:K02065	ftg:FTU_1616
ko:K02066	ftg:FTU_1617
ko:K01883	ftg:FTU_1623
ko:K07320	ftg:FTU_1624
ko:K03667	ftg:FTU_0730
ko:K01419	ftg:FTU_0731
ko:K03800	ftg:FTU_0733
ko:K01866	ftg:FTU_0734
ko:K03438	ftg:FTU_0737
ko:K03586	ftg:FTU_0738
ko:K03587	ftg:FTU_0739
ko:K02956	ftg:FTU_0740
ko:K00962	ftg:FTU_0741
ko:K15724	ftg:FTU_0742
ko:K01627	ftg:FTU_0743
ko:K00876	ftg:FTU_0744
ko:K03060	ftg:FTU_0745
ko:K03215	ftg:FTU_0747
ko:K03811	ftg:FTU_0749
ko:K01689	ftg:FTU_0751
ko:K05589	ftg:FTU_0752
ko:K00991	ftg:FTU_0753
ko:K00060	ftg:FTU_0755
ko:K00761	ftg:FTU_0758
ko:K01129	ftg:FTU_0762
ko:K03782	ftg:FTU_0763
ko:K02445	ftg:FTU_0766
ko:K01126	ftg:FTU_0767
ko:K00432	ftg:FTU_0773
ko:K04762	ftg:FTU_0780
ko:K02672	ftg:FTU_1628
ko:K07018	ftg:FTU_1638
ko:K03466	ftg:FTU_1641
ko:K03634	ftg:FTU_1642
ko:K03607	ftg:FTU_1646
ko:K01193	ftg:FTU_1649
ko:K07560	ftg:FTU_1651
ko:K01591	ftg:FTU_1653
ko:K09941	ftg:FTU_1661
ko:K01465	ftg:FTU_1665
ko:K01956	ftg:FTU_1668
ko:K01955	ftg:FTU_1669
ko:K00609	ftg:FTU_1670
ko:K03837	ftg:FTU_1673
ko:K11752	ftg:FTU_1675
ko:K00793	ftg:FTU_1676
ko:K14652	ftg:FTU_1677
ko:K00794	ftg:FTU_1678
ko:K01462	ftg:FTU_1679
ko:K00566	ftg:FTU_1681
ko:K03596	ftg:FTU_1682
ko:K02313	ftg:FTU_0001
ko:K02338	ftg:FTU_0002
ko:K01876	ftg:FTU_0006
ko:K01756	ftg:FTU_0013
ko:K02435	ftg:FTU_0017
ko:K02434	ftg:FTU_0019
ko:K01586	ftg:FTU_0024
ko:K00330	ftg:FTU_0028
ko:K00331	ftg:FTU_0029
ko:K00332	ftg:FTU_0030
ko:K00333	ftg:FTU_0031
ko:K00334	ftg:FTU_0032
ko:K01534	ftg:FTU_0906
ko:K00057	ftg:FTU_0910
ko:K04485	ftg:FTU_0912
ko:K01736	ftg:FTU_0915
ko:K00812	ftg:FTU_0923
ko:K03631	ftg:FTU_0925
ko:K01491	ftg:FTU_0931
ko:K01933	ftg:FTU_0932
ko:K11175	ftg:FTU_0934
ko:K01588	ftg:FTU_0935
ko:K01589	ftg:FTU_0936
ko:K07460	ftg:FTU_0937
ko:K01414	ftg:FTU_0938
ko:K03168	ftg:FTU_0945
ko:K07023	ftg:FTU_0950
ko:K03101	ftg:FTU_0953
ko:K01870	ftg:FTU_0954
ko:K11753	ftg:FTU_0955
ko:K01657	ftg:FTU_1799
ko:K03720	ftg:FTU_1800
ko:K08301	ftg:FTU_1801
ko:K08311	ftg:FTU_0150
ko:K03806	ftg:FTU_0152
ko:K02622	ftg:FTU_0153
ko:K02492	ftg:FTU_0157
ko:K02835	ftg:FTU_0158
ko:K02493	ftg:FTU_0159
ko:K00783	ftg:FTU_0160
ko:K02221	ftg:FTU_0163
ko:K07566	ftg:FTU_0171
ko:K02945	ftg:FTU_0172
ko:K01921	ftg:FTU_0174
ko:K03589	ftg:FTU_0175
ko:K03590	ftg:FTU_0176
ko:K03531	ftg:FTU_0177
ko:K02535	ftg:FTU_0178
ko:K02343	ftg:FTU_0179
ko:K02836	ftg:FTU_0180
ko:K04567	ftg:FTU_0181
ko:K01425	ftg:FTU_0184
ko:K01915	ftg:FTU_0185
ko:K02340	ftg:FTU_0186
ko:K03098	ftg:FTU_0187
ko:K00602	ftg:FTU_0190
ko:K01939	ftg:FTU_0191
ko:K00760	ftg:FTU_0192
ko:K06077	ftg:FTU_0198
ko:K03809	ftg:FTU_0199
ko:K07058	ftg:FTU_0200
ko:K04066	ftg:FTU_0202
ko:K03885	ftg:FTU_1074
ko:K03086	ftg:FTU_1075
ko:K09117	ftg:FTU_1077
ko:K02970	ftg:FTU_1078
ko:K07259	ftg:FTU_1079
ko:K07107	ftg:FTU_1081
ko:K14058	ftg:FTU_1082
ko:K03773	ftg:FTU_1083
ko:K02523	ftg:FTU_1084
ko:K03789	ftg:FTU_1092
ko:K06178	ftg:FTU_1094
ko:K02656	ftg:FTU_1095
ko:K06941	ftg:FTU_1096
ko:K02939	ftg:FTU_1098
ko:K02963	ftg:FTU_1099
ko:K02990	ftg:FTU_1100
ko:K00228	ftg:FTU_1101
ko:K07154	ftg:FTU_1112
ko:K03554	ftg:FTU_1120
ko:K07146	ftg:FTU_1121
ko:K00243	ftg:FTU_1122
ko:K03656	ftg:FTU_1123
ko:K06980	ftg:FTU_1124
ko:K01255	ftg:FTU_1130
ko:K02988	ftg:FTU_0320
ko:K02907	ftg:FTU_0321
ko:K02876	ftg:FTU_0322
ko:K03076	ftg:FTU_0323
ko:K02919	ftg:FTU_0324
ko:K02952	ftg:FTU_0325
ko:K02948	ftg:FTU_0326
ko:K02986	ftg:FTU_0327
ko:K03040	ftg:FTU_0328
ko:K02879	ftg:FTU_0329
ko:K04079	ftg:FTU_0332
ko:K07568	ftg:FTU_1247
ko:K03185	ftg:FTU_1250
ko:K09895	ftg:FTU_1251
ko:K05527	ftg:FTU_1253
ko:K03975	ftg:FTU_1254
ko:K03975	ftg:FTU_1255
ko:K03584	ftg:FTU_1256
ko:K04487	ftg:FTU_1258
ko:K08300	ftg:FTU_1259
ko:K13292	ftg:FTU_1260
ko:K04075	ftg:FTU_1263
ko:K03305	ftg:FTU_1264
ko:K01442	ftg:FTU_1265
ko:K09889	ftg:FTU_1271
ko:K00600	ftg:FTU_1272
ko:K05807	ftg:FTU_1274
ko:K06180	ftg:FTU_1275
ko:K02066	ftg:FTU_1277
ko:K02065	ftg:FTU_1278
ko:K09761	ftg:FTU_1282
ko:K03305	ftg:FTU_1283
ko:K03446	ftg:FTU_1286
ko:K03543	ftg:FTU_1287
ko:K06911	ftg:FTU_1293
ko:K03686	ftg:FTU_1295
ko:K04043	ftg:FTU_1296
ko:K03687	ftg:FTU_1297
ko:K08304	ftg:FTU_1298
ko:K03305	ftg:FTU_0497
ko:K01886	ftg:FTU_0499
ko:K01610	ftg:FTU_0500
ko:K01000	ftg:FTU_0501
ko:K01925	ftg:FTU_0502
ko:K03588	ftg:FTU_0503
ko:K03599	ftg:FTU_0509
ko:K02341	ftg:FTU_0511
ko:K07574	ftg:FTU_0512
ko:K01698	ftg:FTU_0513
ko:K03216	ftg:FTU_0514
ko:K01887	ftg:FTU_0517
ko:K04744	ftg:FTU_0518
ko:K03771	ftg:FTU_0519
ko:K02528	ftg:FTU_0520
ko:K03786	ftg:FTU_0522
ko:K02160	ftg:FTU_0523
ko:K01961	ftg:FTU_0524
ko:K04568	ftg:FTU_0527
ko:K03524	ftg:FTU_0528
ko:K07462	ftg:FTU_0529
ko:K11073	ftg:FTU_0532
ko:K06949	ftg:FTU_0534
ko:K03572	ftg:FTU_0537
ko:K00384	ftg:FTU_0540
ko:K01091	ftg:FTU_0542
ko:K03500	ftg:FTU_1407
ko:K01972	ftg:FTU_1410
ko:K00606	ftg:FTU_1412
ko:K01918	ftg:FTU_1413
ko:K01579	ftg:FTU_1414
ko:K03525	ftg:FTU_1415
ko:K03581	ftg:FTU_1416
ko:K03582	ftg:FTU_1417
ko:K03583	ftg:FTU_1420
ko:K04758	ftg:FTU_1425
ko:K02426	ftg:FTU_1431
ko:K01881	ftg:FTU_1433
ko:K14287	ftg:FTU_1434
ko:K03625	ftg:FTU_1439
ko:K09160	ftg:FTU_1442
ko:K07090	ftg:FTU_1444
ko:K03439	ftg:FTU_1451
ko:K00858	ftg:FTU_1453
ko:K03424	ftg:FTU_1458
ko:K15984	ftg:FTU_1519
ko:K10716	ftg:FTU_0728
ko:K12340	ftg:FTU_1727
ko:K10563	ftg:FTU_0735
ko:K00639	ftg:FTU_0756
ko:K02446	ftg:FTU_1637
ko:K03498	ftg:FTU_1644
ko:K00569	ftg:FTU_1666
ko:K02050	ftg:FTU_0247
ko:K02049	ftg:FTU_0248
ko:K02653	ftg:FTU_1168
ko:K11179	ftg:FTU_0508
ko:K04774	ftg:FTU_0510
ko:K01424	ftg:FTU_0515
ko:K01525	ftg:FTU_0521
ko:K03548	ftg:FTU_0530
ko:K06201	ftg:FTU_0545
ko:K01092	ftg:FTU_1406
ko:K01719	ftg:FTU_1430
ko:K09806	ftg:FTU_0042
ko:K06179	ftg:FTU_0051
ko:K00845	ftg:FTU_0970
ko:K00652	ftg:FTU_0974
ko:K03342	ftg:FTU_0983
ko:K00241	ftg:FTU_0068
ko:K00383	ftg:FTU_0994
ko:K03499	ftg:FTU_1009
ko:K02342	ftg:FTU_0595
ko:K01784	ftg:FTU_1480
ko:K03769	ftg:FTU_1489
ko:K03316	ftg:FTU_1505
ko:K03784	ftg:FTU_0807
ko:K09966	ftg:FTU_0815
ko:K01784	ftg:FTU_0831
ko:K07025	ftg:FTU_0840
ko:K01424	ftg:FTU_0843
ko:K01580	ftg:FTU_1725
ko:K07052	ftg:FTU_0183
ko:K02074	ftg:FTU_0195
ko:K02077	ftg:FTU_0196
ko:K00616	ftg:FTU_1129
ko:K01934	ftg:FTU_1252
ko:K00058	ftg:FTU_1262
ko:K02067	ftg:FTU_1279
ko:K01916	ftg:FTU_1289
