ko:K22350	pput:L483_17555
ko:K02844	pput:L483_01750
ko:K02848	pput:L483_01755
ko:K03088	pput:L483_01800
ko:K01638	pput:L483_01820
ko:K05786	pput:L483_01830
ko:K02019	pput:L483_01840
ko:K01012	pput:L483_01850
ko:K02170	pput:L483_01860
ko:K02169	pput:L483_01865
ko:K01935	pput:L483_01870
ko:K03556	pput:L483_03890
ko:K13788	pput:L483_03915
ko:K03775	pput:L483_03920
ko:K00432	pput:L483_03925
ko:K06203	pput:L483_03940
ko:K00767	pput:L483_03950
ko:K03806	pput:L483_03965
ko:K03807	pput:L483_03970
ko:K03424	pput:L483_03975
ko:K03435	pput:L483_03980
ko:K02769	pput:L483_03995
ko:K02770	pput:L483_03995
ko:K09954	pput:L483_04000
ko:K07644	pput:L483_04025
ko:K03415	pput:L483_04055
ko:K12542	pput:L483_04060
ko:K12541	pput:L483_04065
ko:K12543	pput:L483_04070
ko:K12266	pput:L483_04080
ko:K05916	pput:L483_04085
ko:K03611	pput:L483_04090
ko:K02297	pput:L483_04095
ko:K02298	pput:L483_04100
ko:K02299	pput:L483_04105
ko:K02300	pput:L483_04110
ko:K03457	pput:L483_08590
ko:K01915	pput:L483_08645
ko:K07010	pput:L483_08650
ko:K09962	pput:L483_08670
ko:K10680	pput:L483_17605
ko:K07038	pput:L483_17620
ko:K05782	pput:L483_17630
ko:K03381	pput:L483_17635
ko:K05548	pput:L483_17640
ko:K05783	pput:L483_17645
ko:K05784	pput:L483_17650
ko:K05550	pput:L483_17655
ko:K05549	pput:L483_17660
ko:K08324	pput:L483_17710
ko:K01915	pput:L483_17725
ko:K01752	pput:L483_17745
ko:K00640	pput:L483_17785
ko:K01991	pput:L483_17840
ko:K02106	pput:L483_17855
ko:K01029	pput:L483_17860
ko:K01028	pput:L483_17865
ko:K03088	pput:L483_22165
ko:K07080	pput:L483_22200
ko:K02168	pput:L483_22215
ko:K03313	pput:L483_22220
ko:K16345	pput:L483_22370
ko:K07235	pput:L483_22375
ko:K07236	pput:L483_22380
ko:K07237	pput:L483_22385
ko:K01433	pput:L483_26630
ko:K01141	pput:L483_26640
ko:K00873	pput:L483_26655
ko:K01676	pput:L483_26670
ko:K05520	pput:L483_26685
ko:K05596	pput:L483_26750
ko:K06895	pput:L483_26755
ko:K04564	pput:L483_26760
ko:K07231	pput:L483_26770
ko:K09947	pput:L483_26800
ko:K07552	pput:L483_26815
ko:K04077	pput:L483_26850
ko:K04078	pput:L483_26855
ko:K07113	pput:L483_26860
ko:K07226	pput:L483_26865
ko:K07443	pput:L483_26875
ko:K08218	pput:L483_26880
ko:K08160	pput:L483_26885
ko:K09767	pput:L483_26895
ko:K00077	pput:L483_26900
ko:K11073	pput:L483_31070
ko:K11073	pput:L483_31075
ko:K12256	pput:L483_31080
ko:K01915	pput:L483_31085
ko:K01915	pput:L483_31090
ko:K14682	pput:L483_31095
ko:K01438	pput:L483_31100
ko:K05800	pput:L483_31110
ko:K00281	pput:L483_31130
ko:K02437	pput:L483_31135
ko:K00605	pput:L483_31140
ko:K02011	pput:L483_31145
ko:K02012	pput:L483_31150
ko:K03185	pput:L483_31165
ko:K09895	pput:L483_31175
ko:K09888	pput:L483_31185
ko:K01993	pput:L483_31205
ko:K02415	pput:L483_31215
ko:K03182	pput:L483_31235
ko:K03628	pput:L483_31245
ko:K03671	pput:L483_31250
ko:K01524	pput:L483_31255
ko:K00937	pput:L483_31260
ko:K09768	pput:L483_31280
ko:K05851	pput:L483_31285
ko:K06140	pput:L483_31290
ko:K06202	pput:L483_31305
ko:K01586	pput:L483_31315
ko:K01778	pput:L483_31320
ko:K09921	pput:L483_31325
ko:K03733	pput:L483_31330
ko:K00951	pput:L483_05850
ko:K00481	pput:L483_18535
ko:K01640	pput:L483_18550
ko:K07507	pput:L483_18555
ko:K03446	pput:L483_18590
ko:K03543	pput:L483_18595
ko:K07084	pput:L483_18630
ko:K02002	pput:L483_18640
ko:K02001	pput:L483_18645
ko:K07088	pput:L483_18655
ko:K00337	pput:L483_22970
ko:K00338	pput:L483_22975
ko:K00339	pput:L483_22980
ko:K00340	pput:L483_22985
ko:K00341	pput:L483_22990
ko:K00342	pput:L483_22995
ko:K00343	pput:L483_23000
ko:K01584	pput:L483_23045
ko:K08307	pput:L483_23070
ko:K13893	pput:L483_23080
ko:K13893	pput:L483_23085
ko:K13894	pput:L483_23090
ko:K13895	pput:L483_23095
ko:K13896	pput:L483_23100
ko:K07667	pput:L483_23125
ko:K07646	pput:L483_23130
ko:K01548	pput:L483_23135
ko:K01547	pput:L483_23140
ko:K01546	pput:L483_23145
ko:K08296	pput:L483_23180
ko:K00057	pput:L483_23190
ko:K01716	pput:L483_23205
ko:K06911	pput:L483_23220
ko:K04079	pput:L483_23230
ko:K12511	pput:L483_27455
ko:K09918	pput:L483_27530
ko:K00263	pput:L483_27535
ko:K01555	pput:L483_27550
ko:K00451	pput:L483_27555
ko:K06205	pput:L483_27590
ko:K09932	pput:L483_27610
ko:K13938	pput:L483_27615
ko:K09948	pput:L483_27620
ko:K00209	pput:L483_27635
ko:K10536	pput:L483_27645
ko:K12251	pput:L483_27650
ko:K10536	pput:L483_27660
ko:K00549	pput:L483_27680
ko:K00297	pput:L483_27685
ko:K06200	pput:L483_27700
ko:K04485	pput:L483_27715
ko:K03282	pput:L483_27720
ko:K00528	pput:L483_27725
ko:K00868	pput:L483_31925
ko:K09007	pput:L483_31955
ko:K06131	pput:L483_31965
ko:K00574	pput:L483_31970
ko:K00382	pput:L483_31975
ko:K07240	pput:L483_31985
ko:K03321	pput:L483_32055
ko:K07644	pput:L483_32090
ko:K07233	pput:L483_32115
ko:K00820	pput:L483_32185
ko:K14261	pput:L483_04120
ko:K06940	pput:L483_04130
ko:K06917	pput:L483_04160
ko:K01008	pput:L483_04165
ko:K02044	pput:L483_04170
ko:K02041	pput:L483_04175
ko:K02042	pput:L483_04180
ko:K02042	pput:L483_04185
ko:K07568	pput:L483_04210
ko:K00773	pput:L483_04215
ko:K03210	pput:L483_04220
ko:K03072	pput:L483_04225
ko:K03074	pput:L483_04230
ko:K15396	pput:L483_04245
ko:K00640	pput:L483_04250
ko:K04487	pput:L483_04260
ko:K05603	pput:L483_30340
ko:K04082	pput:L483_04275
ko:K04044	pput:L483_04280
ko:K04755	pput:L483_04285
ko:K00940	pput:L483_04295
ko:K06941	pput:L483_04300
ko:K02656	pput:L483_04305
ko:K15539	pput:L483_04310
ko:K01892	pput:L483_04320
ko:K03977	pput:L483_04335
ko:K14287	pput:L483_04340
ko:K16090	pput:L483_04355
ko:K01581	pput:L483_04375
ko:K03088	pput:L483_04380
ko:K16091	pput:L483_04390
ko:K05847	pput:L483_04395
ko:K05846	pput:L483_04400
ko:K16088	pput:L483_08675
ko:K17228	pput:L483_08705
ko:K00123	pput:L483_08720
ko:K00126	pput:L483_08725
ko:K06169	pput:L483_08735
ko:K06916	pput:L483_08790
ko:K07233	pput:L483_08810
ko:K08303	pput:L483_08820
ko:K00606	pput:L483_08835
ko:K05306	pput:L483_08840
ko:K03430	pput:L483_08845
ko:K01895	pput:L483_08865
ko:K06204	pput:L483_08890
ko:K05564	pput:L483_08910
ko:K05563	pput:L483_08915
ko:K05562	pput:L483_08920
ko:K05561	pput:L483_08925
ko:K05560	pput:L483_08930
ko:K05559	pput:L483_08935
ko:K05786	pput:L483_13445
ko:K00457	pput:L483_13455
ko:K16088	pput:L483_13500
ko:K03088	pput:L483_13510
ko:K02455	pput:L483_13535
ko:K02456	pput:L483_13540
ko:K14161	pput:L483_17885
ko:K01356	pput:L483_17895
ko:K13928	pput:L483_17905
ko:K08195	pput:L483_17910
ko:K03701	pput:L483_17955
ko:K07088	pput:L483_17970
ko:K01626	pput:L483_18000
ko:K13893	pput:L483_18010
ko:K13894	pput:L483_18015
ko:K13895	pput:L483_18020
ko:K00019	pput:L483_18025
ko:K08276	pput:L483_18030
ko:K01754	pput:L483_18085
ko:K11740	pput:L483_18095
ko:K11739	pput:L483_18100
ko:K03585	pput:L483_18125
ko:K03752	pput:L483_18135
ko:K02302	pput:L483_22405
ko:K01875	pput:L483_22410
ko:K06199	pput:L483_22415
ko:K07478	pput:L483_22420
ko:K03634	pput:L483_22425
ko:K03466	pput:L483_22430
ko:K00684	pput:L483_22435
ko:K02518	pput:L483_22445
ko:K03694	pput:L483_22450
ko:K06891	pput:L483_22455
ko:K03704	pput:L483_22460
ko:K00031	pput:L483_22465
ko:K00031	pput:L483_22470
ko:K00566	pput:L483_22480
ko:K07153	pput:L483_22485
ko:K07090	pput:L483_22520
ko:K03426	pput:L483_22525
ko:K03314	pput:L483_22535
ko:K03098	pput:L483_22545
ko:K06016	pput:L483_22565
ko:K03457	pput:L483_22570
ko:K01464	pput:L483_22575
ko:K06996	pput:L483_22595
ko:K00036	pput:L483_22605
ko:K00703	pput:L483_22620
ko:K01236	pput:L483_22625
ko:K00705	pput:L483_22630
ko:K06044	pput:L483_22635
ko:K05343	pput:L483_22665
ko:K16147	pput:L483_22670
ko:K00798	pput:L483_26910
ko:K00620	pput:L483_26925
ko:K03070	pput:L483_26930
ko:K02535	pput:L483_26950
ko:K03531	pput:L483_26955
ko:K03590	pput:L483_26960
ko:K03589	pput:L483_26965
ko:K01921	pput:L483_26970
ko:K01924	pput:L483_26975
ko:K02563	pput:L483_26980
ko:K03588	pput:L483_26985
ko:K01925	pput:L483_26990
ko:K01000	pput:L483_26995
ko:K01929	pput:L483_27000
ko:K01928	pput:L483_27005
ko:K03587	pput:L483_27010
ko:K03586	pput:L483_27015
ko:K03438	pput:L483_27020
ko:K03925	pput:L483_27025
ko:K07056	pput:L483_27030
ko:K07121	pput:L483_27035
ko:K07460	pput:L483_27040
ko:K03271	pput:L483_27045
ko:K03600	pput:L483_27060
ko:K03599	pput:L483_27065
ko:K00413	pput:L483_27070
ko:K00412	pput:L483_27075
ko:K00411	pput:L483_27080
ko:K02996	pput:L483_27085
ko:K02871	pput:L483_27090
ko:K06916	pput:L483_27105
ko:K01867	pput:L483_27110
ko:K07018	pput:L483_27115
ko:K09908	pput:L483_27120
ko:K01761	pput:L483_27125
ko:K00955	pput:L483_27150
ko:K00957	pput:L483_27155
ko:K04691	pput:L483_27165
ko:K09972	pput:L483_27170
ko:K03320	pput:L483_31345
ko:K04752	pput:L483_31350
ko:K02019	pput:L483_31365
ko:K07391	pput:L483_31400
ko:K03327	pput:L483_31470
ko:K03656	pput:L483_31480
ko:K03816	pput:L483_31485
ko:K01775	pput:L483_31505
ko:K00285	pput:L483_31510
ko:K06940	pput:L483_31520
ko:K12254	pput:L483_31550
ko:K06995	pput:L483_31555
ko:K02913	pput:L483_31560
ko:K02902	pput:L483_31565
ko:K03630	pput:L483_31575
ko:K13038	pput:L483_31580
ko:K15778	pput:L483_31590
ko:K00930	pput:L483_31595
ko:K00762	pput:L483_31600
ko:K01142	pput:L483_31605
ko:K00989	pput:L483_31610
ko:K00942	pput:L483_31620
ko:K00036	pput:L483_04960
ko:K01057	pput:L483_04965
ko:K01625	pput:L483_04970
ko:K01649	pput:L483_04975
ko:K03601	pput:L483_04985
ko:K07090	pput:L483_04995
ko:K01951	pput:L483_05010
ko:K01952	pput:L483_05030
ko:K03118	pput:L483_05040
ko:K03117	pput:L483_05045
ko:K03116	pput:L483_05050
ko:K02460	pput:L483_05055
ko:K07093	pput:L483_05060
ko:K02452	pput:L483_05070
ko:K02453	pput:L483_05075
ko:K02455	pput:L483_05085
ko:K02456	pput:L483_05090
ko:K02457	pput:L483_05095
ko:K02458	pput:L483_05100
ko:K02459	pput:L483_05105
ko:K02461	pput:L483_05110
ko:K11016	pput:L483_05125
ko:K11017	pput:L483_05130
ko:K06938	pput:L483_05160
ko:K08289	pput:L483_05170
ko:K03106	pput:L483_05190
ko:K02959	pput:L483_05195
ko:K02860	pput:L483_05200
ko:K00554	pput:L483_05205
ko:K02884	pput:L483_05210
ko:K03981	pput:L483_05225
ko:K00003	pput:L483_05230
ko:K07347	pput:L483_09560
ko:K15553	pput:L483_09585
ko:K15553	pput:L483_09590
ko:K08223	pput:L483_09600
ko:K09958	pput:L483_09605
ko:K06222	pput:L483_09610
ko:K00381	pput:L483_09620
ko:K07400	pput:L483_09655
ko:K07152	pput:L483_09660
ko:K09190	pput:L483_09705
ko:K02336	pput:L483_09725
ko:K00014	pput:L483_09770
ko:K03786	pput:L483_09775
ko:K15726	pput:L483_09790
ko:K03762	pput:L483_09795
ko:K10680	pput:L483_14200
ko:K01040	pput:L483_14240
ko:K01685	pput:L483_14350
ko:K03786	pput:L483_14380
ko:K05358	pput:L483_18690
ko:K07267	pput:L483_18695
ko:K01438	pput:L483_18700
ko:K03088	pput:L483_18755
ko:K07789	pput:L483_18785
ko:K07788	pput:L483_18790
ko:K07799	pput:L483_18795
ko:K11065	pput:L483_18800
ko:K03837	pput:L483_18810
ko:K00832	pput:L483_18815
ko:K02029	pput:L483_18835
ko:K02029	pput:L483_18840
ko:K00285	pput:L483_18845
ko:K07010	pput:L483_18855
ko:K01707	pput:L483_18860
ko:K07112	pput:L483_18895
ko:K09936	pput:L483_18905
ko:K09136	pput:L483_18955
ko:K07302	pput:L483_18960
ko:K03311	pput:L483_23255
ko:K01902	pput:L483_23260
ko:K01903	pput:L483_23265
ko:K00382	pput:L483_23270
ko:K00658	pput:L483_23275
ko:K00164	pput:L483_23280
ko:K00240	pput:L483_23285
ko:K00239	pput:L483_23290
ko:K00242	pput:L483_23295
ko:K01647	pput:L483_23305
ko:K06940	pput:L483_23315
ko:K03522	pput:L483_23345
ko:K03521	pput:L483_23350
ko:K00311	pput:L483_23355
ko:K13655	pput:L483_23360
ko:K13651	pput:L483_23365
ko:K03088	pput:L483_23385
ko:K13888	pput:L483_23390
ko:K05685	pput:L483_23395
ko:K00817	pput:L483_23420
ko:K06160	pput:L483_23430
ko:K00836	pput:L483_23465
ko:K07141	pput:L483_23480
ko:K07402	pput:L483_23485
ko:K00426	pput:L483_27745
ko:K00425	pput:L483_27750
ko:K06901	pput:L483_27760
ko:K00448	pput:L483_27770
ko:K00449	pput:L483_27775
ko:K03923	pput:L483_27800
ko:K07090	pput:L483_27810
ko:K00995	pput:L483_27820
ko:K00981	pput:L483_27845
ko:K06995	pput:L483_27850
ko:K00140	pput:L483_27860
ko:K03581	pput:L483_27885
ko:K03582	pput:L483_27890
ko:K03583	pput:L483_27895
ko:K17247	pput:L483_27925
ko:K17103	pput:L483_27935
ko:K00053	pput:L483_27940
ko:K01653	pput:L483_27945
ko:K01652	pput:L483_27950
ko:K05365	pput:L483_27965
ko:K02013	pput:L483_27985
ko:K02015	pput:L483_27990
ko:K02016	pput:L483_27995
ko:K06206	pput:L483_28005
ko:K04042	pput:L483_32195
ko:K02114	pput:L483_32200
ko:K02112	pput:L483_32205
ko:K02115	pput:L483_32210
ko:K02111	pput:L483_32215
ko:K02113	pput:L483_32220
ko:K02109	pput:L483_32225
ko:K02110	pput:L483_32230
ko:K02108	pput:L483_32235
ko:K03501	pput:L483_32255
ko:K03495	pput:L483_32260
ko:K03650	pput:L483_32265
ko:K03217	pput:L483_32270
ko:K03536	pput:L483_32275
ko:K02914	pput:L483_32280
ko:K02313	pput:L483_32285
ko:K02338	pput:L483_32290
ko:K03629	pput:L483_32295
ko:K02470	pput:L483_32300
ko:K17218	pput:L483_32320
ko:K07090	pput:L483_32325
ko:K00655	pput:L483_32345
ko:K03273	pput:L483_32350
ko:K01879	pput:L483_32355
ko:K01878	pput:L483_32360
ko:K01246	pput:L483_32365
ko:K02517	pput:L483_32375
ko:K03500	pput:L483_32390
ko:K00604	pput:L483_32395
ko:K01462	pput:L483_32400
ko:K04096	pput:L483_32405
ko:K07566	pput:L483_32410
ko:K05845	pput:L483_04405
ko:K05846	pput:L483_04410
ko:K02837	pput:L483_04420
ko:K11073	pput:L483_04425
ko:K06995	pput:L483_04430
ko:K12372	pput:L483_04450
ko:K12371	pput:L483_04455
ko:K12370	pput:L483_04460
ko:K12369	pput:L483_04465
ko:K12368	pput:L483_04470
ko:K12368	pput:L483_04480
ko:K12368	pput:L483_04485
ko:K15011	pput:L483_04495
ko:K15012	pput:L483_04500
ko:K07088	pput:L483_04505
ko:K11734	pput:L483_04510
ko:K07301	pput:L483_04515
ko:K03642	pput:L483_04520
ko:K02434	pput:L483_04525
ko:K02435	pput:L483_04535
ko:K03569	pput:L483_04540
ko:K03570	pput:L483_04545
ko:K03571	pput:L483_04550
ko:K06287	pput:L483_04555
ko:K08301	pput:L483_04560
ko:K03568	pput:L483_04575
ko:K09889	pput:L483_04580
ko:K03592	pput:L483_04585
ko:K04564	pput:L483_04605
ko:K07238	pput:L483_04610
ko:K06958	pput:L483_04620
ko:K05808	pput:L483_04630
ko:K03092	pput:L483_04635
ko:K06861	pput:L483_04640
ko:K09774	pput:L483_04645
ko:K11719	pput:L483_04650
ko:K03270	pput:L483_04655
ko:K06041	pput:L483_04660
ko:K02065	pput:L483_04665
ko:K02066	pput:L483_04670
ko:K11939	pput:L483_08985
ko:K02471	pput:L483_09015
ko:K02688	pput:L483_09025
ko:K03556	pput:L483_09055
ko:K03119	pput:L483_09090
ko:K07002	pput:L483_09115
ko:K03893	pput:L483_09150
ko:K07090	pput:L483_09180
ko:K11103	pput:L483_09220
ko:K01491	pput:L483_09235
ko:K03545	pput:L483_09265
ko:K06145	pput:L483_13580
ko:K07679	pput:L483_13590
ko:K09984	pput:L483_13600
ko:K05936	pput:L483_13605
ko:K02189	pput:L483_13610
ko:K02034	pput:L483_13645
ko:K06145	pput:L483_13680
ko:K15553	pput:L483_13700
ko:K06911	pput:L483_13720
ko:K03919	pput:L483_13740
ko:K04335	pput:L483_13750
ko:K01640	pput:L483_13770
ko:K11892	pput:L483_13820
ko:K06871	pput:L483_18155
ko:K06214	pput:L483_18205
ko:K04338	pput:L483_18210
ko:K04337	pput:L483_18215
ko:K02456	pput:L483_18225
ko:K02456	pput:L483_18230
ko:K02453	pput:L483_18235
ko:K07152	pput:L483_18280
ko:K13935	pput:L483_18305
ko:K13934	pput:L483_18310
ko:K13933	pput:L483_18315
ko:K13932	pput:L483_18320
ko:K13931	pput:L483_18325
ko:K13930	pput:L483_18330
ko:K13929	pput:L483_18335
ko:K06967	pput:L483_18360
ko:K08303	pput:L483_18370
ko:K13580	pput:L483_18385
ko:K02230	pput:L483_18395
ko:K02234	pput:L483_18400
ko:K00253	pput:L483_22685
ko:K01969	pput:L483_22690
ko:K13766	pput:L483_22695
ko:K01968	pput:L483_22700
ko:K00014	pput:L483_22785
ko:K00995	pput:L483_22830
ko:K03703	pput:L483_22835
ko:K03306	pput:L483_22860
ko:K11735	pput:L483_22875
ko:K02355	pput:L483_22900
ko:K03321	pput:L483_22905
ko:K01637	pput:L483_22920
ko:K00330	pput:L483_22940
ko:K00331	pput:L483_22945
ko:K13378	pput:L483_22950
ko:K00334	pput:L483_22955
ko:K09971	pput:L483_27175
ko:K09970	pput:L483_27180
ko:K09969	pput:L483_27185
ko:K06999	pput:L483_27190
ko:K03732	pput:L483_27195
ko:K03636	pput:L483_27205
ko:K03637	pput:L483_27210
ko:K07175	pput:L483_27215
ko:K09861	pput:L483_27225
ko:K16081	pput:L483_27255
ko:K03543	pput:L483_27310
ko:K03088	pput:L483_27380
ko:K03088	pput:L483_27400
ko:K16091	pput:L483_27410
ko:K02651	pput:L483_27425
ko:K02279	pput:L483_27430
ko:K02280	pput:L483_27435
ko:K02282	pput:L483_27440
ko:K02283	pput:L483_27445
ko:K12510	pput:L483_27450
ko:K07010	pput:L483_31630
ko:K01915	pput:L483_31635
ko:K03060	pput:L483_31645
ko:K03561	pput:L483_31670
